"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2015_Q2",0.18758064516129,"Up",3183000,-1245000,1938000,-2710000,-2710000,-772000,-132000,-132000,-904000,-904000,0,-904000,-904000,-896000,-896000,348000,348000,2924000,2924000,1640000,191000,191000,5103000,1140000,173000,58000,1313000,6416000,3632000,2700000,932000,4552000,4538000,8261000,13000,13000,311000,8572000,5748000,-7830000,-2082000,-2156000,6416000,375000,0.60886,-0.24254,-0.2815,0.41558,-0.13965,0.61772,-3.97588,0.05845,-0.02605,-0.02605,0.09253,-0.06053,0.50679,-0.03497
"12","2015_Q3",0.16078125,"Down",3073000,-1166000,1907000,-2270000,-2270000,-363000,-138000,-138000,-501000,-501000,0,-501000,-501000,-493000,-493000,86999.9999999999,86999.9999999999,2654000,2654000,1391000,130000,130000,4262000,996000,157000,58000,1153000,5415000,3065000,2493000,572000,4620000,4620000,7768000,13000,13000,286000,8054000,5766000,-8323000,-2557000,-2639000,5415000,356000,0.62057,-0.11813,-0.16043,0.18681,-0.09104,0.54866,-3.05191,0.06574,-0.01433,-0.01433,0.08934,-0.07433,0.21718,-0.74105
"13","2015_Q4",0.20609375,"Up",2667000,-950000,1717000,-1943000,-1943000,-226000,-98000,-98000,-324000,-324000,0,-324000,-324000,-322000,-322000,41000,41000,2776000,2776000,1110000,40000,40000,3967000,874000,139000,57000,1013000,4980000,3017000,2487000,530000,4538000,4322000,7641000,12000,12000,268000,7909000,5800000,-8645000,-2845000,-2929000,4980000,342000,0.64379,-0.08474,-0.12073,0.10994,-0.06466,0.51917,-2.70024,0.06867,-0.00936,-0.00936,0.07753,-0.08271,0.12505,-1.33186
"14","2016_Q1",0.323770491803279,"Up",2718000,-1576000,1142000,-2262000,-2262000,-1120000,-142000,-135000,-1262000,-1262000,57000,-1205000,-1205000,-1200000,-1200000,7999.99999999999,7999.99999999999,2426000,2426000,305000,27000,27000,2766000,801000,129000,55000,930000,3696000,3339000,2477000,783000,4091000,4002000,7539000,12000,12000,228000,7767000,5863000,-9845000,-3982000,-4071000,3696000,325000,0.42016,-0.41207,-0.4415,0.29477,-0.32468,0.36689,-1.90789,0.08793,-0.03489,-0.03489,0.07902,-0.11576,0.32137,-0.28304
"15","2016_Q2",0.27921875,"Down",3477000,-983000,2494000,-2844000,-2844000,-350000,-94000,-94000,-444000,-444000,0,-444000,-444000,-444000,-444000,24000,24000,3157000,3157000,173000,20000,20000,3374000,704000,119000,55000,823000,4197000,3629000,2750000,8e+05,4608000,4242000,8346000,12000,12000,208000,8554000,6021000,-10289000,-4268000,-4357000,4197000,305000,0.71729,-0.10066,-0.1277,0.1019,-0.10579,0.40427,-1.96328,0.07267,-0.01291,-0.01291,0.10108,-0.12408,0.1099,-0.80286
"16","2016_Q3",0.19953125,"Down",3286000,-941000,2345000,-2495000,-2495000,-150000,-78000,-78000,-228000,-228000,7.27595761418343e-12,-228000,-228000,-228000,-228000,29000,29000,3237000,3237000,164000,123000,123000,3553000,611000,109000,55000,720000,4273000,4005000,2947000,979000,4534000,4164000,8648000,12000,12000,193000,8841000,6037000,-10516000,-4479000,-4568000,4273000,290000,0.71363,-0.04565,-0.06939,0.04991,-0.05336,0.41085,-1.93542,0.06787,-0.00663,-0.00663,0.09553,-0.13021,0.05345,-1.74
"17","2016_Q4",0.263333333333333,"Up",3627000,-879000,2748000,-2126000,-2126000,622000,-90000,-90000,532000,532000,0,532000,532000,532000,532000,91000,91000,3981000,3981000,96000,28000,28000,4196000,517000,99000,55000,616000,4812000,4116000,3090000,947000,4435000,3907000,8660000,12000,12000,177000,8837000,6049000,-9985000,-3936000,-4025000,4812000,274000,0.75765,0.17149,0.14668,-0.13217,0.11056,0.48453,-2.19553,0.05694,0.01547,0.01538,0.10544,-0.11442,-0.14228,0.29421
"18","2017_Q1",0.287741935483871,"Up",2923000,-714000,2209000,-1691000,-1691000,518000,-294000,-90000,224000,224000,-15000,209000,209000,209000,209000,247000,247000,3028000,3028000,107000,40000,40000,3422000,580000,89000,55000,669000,4091000,3976000,3244000,732000,3651000,3651000,7745000,12000,12000,148000,7893000,6063000,-9776000,-3713000,-3802000,4091000,254000,0.75573,0.17722,0.0715,-0.05497,0.05109,0.44183,-2.07601,0.06209,0.00608,0.00610999999999999,0.08497,-0.10794,-0.05911,0.0135100000000001
"19","2017_Q2",0.352698412698413,"Up",3436000,-923000,2513000,-2030000,-2030000,483000,-121000,-121000,362000,362000,-9000,353000,353000,353000,353000,462000,462000,2902000,2902000,128000,148000,148000,3640000,522000,83000,55000,605000,4245000,3465000,2521000,841000,3051000,3051000,6939000,12000,12000,475000,7414000,6342000,-9422000,-3080000,-3169000,4245000,886000,0.73137,0.14057,0.10274,-0.11139,0.08316,0.52457,-2.33954,0.20872,0.01021,0.01017,0.09942,-0.08912,-0.15544,0.87785
"20","2017_Q3",1.06349206349206,"Up",5042000,-1020000,4022000,-2088000,-2088000,1934000,-394000,-394000,1540000,1540000,-36000,1504000,1504000,1504000,1504000,140000,140000,2505000,2505000,178000,125000,125000,2948000,497000,76000,55000,573000,3521000,3106000,2447000,659000,880000,880000,4624000,12000,12000,551000,5175000,6354000,-7919000,-1565000,-1654000,3521000,1177000,0.7977,0.38358,0.29829,-0.90931,0.42715,0.63754,-3.12878,0.33428,0.04266,0.04111,0.14302,-0.04439,-3.23441,0.53619
"21","2017_Q4",2.30587301587302,"Up",6820000,-1346000,5474000,-2538000,-2538000,2936000,-691000,-691000,2245000,2245000,-44000,2201000,2201000,2201000,2201000,2574000,2574000,2409000,2409000,358000,211000,211000,5552000,338000,94000,86000,432000,5984000,2997000,2092000,905000,880000,880000,4388000,12000,12000,46000,4434000,7357000,-5718000,1639000,1550000,5984000,545000,0.80264,0.4305,0.32273,1.42,0.36781,1.26527,2.86065,0.09108,0.0619,0.05965,0.19179,0.04609,1.04461,-0.69108
"22","2018_Q1",3.74901639344262,"Up",8134000,-1530000,6604000,-3013000,-3013000,3591000,-244000,-244000,3347000,3347000,-40000,3307000,3307000,3307000,3307000,5565000,5565000,2185000,2185000,423000,198000,198000,8371000,188000,370000,370000,558000,8929000,2793000,2255000,538000,880000,880000,4027000,-1.45519152283669e-11,0,5.82076609134674e-11,4027000,7645000,-2411000,4991000,4902000,8929000,354000,0.8119,0.44148,0.40657,0.67462,0.37037,2.07872,0.821500000000001,0.03965,0.09157,0.08736,0.22523,0.1382,0.62919,-1.45113
"23","2018_Q2",2.955625,"Down",6876000,-1236000,5640000,-3686000,-3686000,1954000,-115000,-115000,1839000,1839000,81000,1920000,1920000,1920000,1920000,4366000,4366000,2668000,2668000,710000,615000,615000,8359000,575000,375000,375000,950000,9309000,2773000,2112000,661000,880000,880000,3753000,341000,341000,341000,4094000,7794000,-490000,5304000,5215000,9309000,1e+05,0.82024,0.28418,0.27923,0.36817,0.20625,2.22728,0.78504,0.01074,0.05354,0.05072,0.19174,0.1479,0.33946,-2.18321
"24","2018_Q3",2.74126984126984,"Down",7574000,-1330000,6244000,-3527000,-3527000,2717000,-38000,-38000,2679000,2679000,-260000,2419000,2419000,2419000,2419000,6285000,6285000,2863000,2863000,518000,579000,579000,10245000,778000,370000,370000,1148000,11393000,2323000,1631000,692000,880000,880000,3267000,584000,455000,584000,3851000,7914000,1928000,7631000,7542000,11393000,64000,0.8244,0.35873,0.31938,0.32074,0.21232,3.1359,0.51061,0.00562,0.06742,0.06436,0.21109,0.21268,0.29536,-2.28966
"25","2018_Q4",2.75238095238095,"Up",8130000,-1641000,6489000,-3670000,-3670000,2819000,0,0,2819000,2819000,-228000,2591000,2591000,2591000,2591000,8096000,8096000,2898000,2898000,796000,364000,364000,12154000,829000,314000,314000,1143000,13297000,2608000,1842000,766000,880000,880000,3522000,622000,571000,622000,4144000,8012000,4519000,9242000,9153000,13297000,34000,0.79815,0.34674,0.3187,0.28308,0.19486,3.45088,0.45275,0.00256,0.07243,0.06942,0.22727,0.25835,0.26415,-2.85988
"26","2019_Q1",3.75852459016393,"Up",9337000,-1831000,7506000,-4626000,-4626000,2880000,-1000,-999.999999999998,2879000,2879000,-257000,2622000,2622000,2622000,2622000,10128000,10128000,2791000,2791000,837000,568000,568000,14324000,819000,4108000,3383000,4927000,19251000,5432000,1552000,922000,1551000,1551000,6983000,10000,0,2977000,9960000,8191000,4864000,9380000,9291000,19251000,2967000,0.8039,0.30845,0.28082,0.28221,0.1362,2.05127,1.07201,0.15412,0.07386,0.07082,0.26303,0.26424,0.21373,-2.48646
"27","2019_Q2",6.45793650793651,"Up",9196000,-1784000,7412000,-5156000,-5156000,2256000,0,0,2256000,3136000,-786000,2350000,2350000,2350000,2350000,9419000,9419000,3147000,3147000,968000,738000,738000,14272000,791000,3802000,3230000,4593000,18865000,3764000,1561000,871000,689000,689000,4453000,7000,0,2794000,7247000,8339000,7214000,11707000,11618000,18865000,2787000,0.806,0.24532,0.25555,0.20227,0.12457,3.20503,0.62377,0.14773,0.06628,0.06335,0.25936,0.33018,0.3198,-2.93972
"28","2019_Q3",8.078125,"Up",10297000,-1948000,8349000,-5765000,-5765000,2584000,-2.27373675443232e-13,4.54747350886464e-13,2584000,2584000,-422000,2162000,2162000,2162000,2162000,10054000,10054000,3540000,3540000,1325000,833000,833000,15752000,822000,5265000,4674000,6087000,21839000,2849000,1829000,1009000,979000,979000,3828000,3944000,3944000,3944000,7772000,8626000,9376000,14156000,14067000,21839000,0,0.81082,0.25095,0.20996,0.15369,0.099,4.11494,0.5525,0,0.0608,0.05789,0.28959,0.39812,0.12004,-3.89087
"29","2019_Q4",8.69921875,"Up",11817000,-2261000,9556000,-7061000,-7061000,2495000,1000,1000,2496000,2496000,-463000,2033000,2033000,2033000,2033000,11934000,11934000,4254000,4254000,2129000,321000,321000,18638000,780000,5306000,4590000,6086000,24724000,3429000,1945000,1344000,1090000,1090000,4519000,3813000,3813000,3813000,8332000,8918000,11409000,16481000,16392000,24724000,0,0.80867,0.21114,0.17204,0.12402,0.08223,4.12436,0.5083,0,0.05688,0.05424,0.33063,0.46112,0.10077,-4.78317
"30","2020_Q1",9.625,"Up",14162000,-2821000,11341000,-7610000,-7610000,3731000,-6000,-6000,3725000,3725000,-778000,2947000,2947000,2947000,2947000,14040000,14040000,5833000,5833000,2378000,315000,315000,22566000,858000,4853000,4340000,5711000,28277000,3941000,2141000,1748000,1256000,1256000,5197000,3427000,3427000,3427000,8624000,9232000,14356000,19742000,19653000,28277000,0,0.8008,0.26345,0.20809,0.14995,0.10422,4.34212,0.43881,0,0.08191,0.07856,0.39364,0.54875,0.12769,-3.76307
"31","2020_Q2",16.5661904761905,"Up",15228000,-3401000,11827000,-9369000,-9369000,2458000,-4000,-4000,2454000,2454000,483000,2937000,2937000,2937000,2937000,14585000,14585000,6549000,6549000,3429000,1135000,1135000,25698000,1116000,6408000,5423000,7524000,33222000,4103000,2292000,1772000,1731000,1731000,5834000,4080000,4080000,4080000,9914000,9950000,17293000,23397000,23308000,33222000,0,0.77666,0.16141,0.19287,0.12601,0.08841,4.40487,0.42535,0,0.08112,0.07806,0.42061,0.64625,0.10724,-5.93369
"32","2020_Q3",16.70234375,"Up",19263000,-4061000,15202000,-11117000,-11117000,4085000,-5000,-5000,4080000,4080000,-1063000,3017000,3017000,3017000,3017000,16916000,16916000,7264000,7264000,4707000,946000,804000,29833000,1392000,5534000,5131000,6926000,36759000,4271000,2201000,2070000,1749000,1749000,6020000,3782000,3782000,3782000,9802000,10582000,20310000,27046000,26957000,36759000,-7.27595761418343e-12,0.78918,0.21206,0.15662,0.11192,0.08208,4.95565,0.36362,0,0.08241,0.07961,0.52615,0.73873,0.09815,-4.141
"33","2020_Q4",12.87234375,"Down",20026000,-4296000,15730000,-14321000,-14321000,1409000,-5000,-5000,1404000,1404000,-71000,1333000,1333000,1333000,1333000,41229000,41229000,9365000,9365000,5898000,1061000,1061000,57553000,1670000,5742000,4757000,7412000,64965000,5566000,2627000,2510000,1729000,1729000,7295000,3448000,3448000,3448000,10743000,36514000,21643000,54311000,54222000,64965000,0,0.78548,0.07036,0.06656,0.02458,0.02052,7.88938,0.19813,0,0.03513,0.03415,0.52776,1.43129,0.02311,-29.26118
"34","2021_Q1",15.0980327868852,"Up",25605000,-5659000,19946000,-17649000,-17649000,2297000,-5000,-5000,2292000,2215000,-428000,1787000,1787000,1787000,1787000,39173000,39173000,13837000,13837000,8635000,1378000,1378000,63023000,1925000,7227000,6661000,9152000,72175000,7989000,4709000,2992000,2128000,2128000,10117000,5203000,5203000,5203000,15320000,37235000,23430000,56855000,56855000,72175000,-7.27595761418343e-12,0.77899,0.08971,0.06979,0.03143,0.02476,6.22942,0.26946,-1.0842021724855e-19,0.0467,0.0456,0.66919,1.48498,0.0288,-17.05398
"35","2021_Q2",13.6812698412698,"Down",24127000,-5886000,18241000,-19322000,-19322000,-1081000,-9000,-9000,-1090000,-1090000,384000,-706000,-706000,-706000,-706000,33439000,33439000,14874000,14874000,10957000,1559000,1559000,60829000,2299000,7108000,6177000,9407000,70236000,7168000,3338000,3564000,2147000,2147000,9315000,4768000,4768000,4768000,14083000,37350000,22724000,56153000,56153000,70236000,0,0.75604,-0.0448,-0.02926,-0.01257,-0.01005,6.53022,0.2508,0,-0.01842,-0.01842,0.62961,1.46534,-0.01159,30.9334
"36","2021_Q3",12.71828125,"Down",31022000,-7267000,23755000,-19940000,-19940000,3815000,-45000,-45000,3770000,3770000,-962000,2808000,2808000,2808000,2808000,32330000,32330000,18310000,18310000,9951000,1188000,1188000,61779000,2355000,19564000,19124000,21919000,83698000,6418000,2652000,3363000,2473000,2473000,8891000,17507000,17507000,17507000,26398000,37734000,25532000,57300000,57300000,83698000,0,0.76575,0.12298,0.09052,0.04901,0.03355,6.94849,0.4607,0,0.07328,0.07328,0.80954,1.49528,0.03754,-8.47444
"37","2021_Q4",10.97453125,"Down",34786000,-6837000,27949000,-19903000,-19903000,8046000,-18000,-18000,8028000,8028000,-1921000,6107000,6107000,6107000,6107000,35368000,35368000,24234000,24234000,9154000,1102000,1102000,69858000,2253000,18612000,18236000,20865000,90723000,7761000,2669000,3515000,2531000,2531000,10292000,17048000,17048000,17048000,27340000,38257000,31639000,63383000,63383000,90723000,0,0.80346,0.2313,0.17556,0.09635,0.06731,6.7876,0.43135,0,0.15951,0.15602,0.90859,1.65554,0.07593,-4.39572
"38","2022_Q1",7.01870967741935,"Down",40366000,-7331000,33035000,-21449000,-21449000,11586000,-23000,-23000,11563000,11563000,-2669000,8894000,8894000,8894000,8894000,42612000,42612000,28632000,28632000,10756000,689000,689000,82689000,2186000,48399000,17312000,50585000,133274000,14561000,4739000,3897000,2977000,2977000,22871000,25873000,25873000,36478000,59349000,80438000,18687113.5128998,73925000,73925000,133274000,15938000,0.81839,0.28702,0.22033,0.12031,0.06673,3.61545,0.80283,0.11959,0.26031,0.24484,1.18143,2.16363,0.07686,-2.30226
"39","2022_Q2",7.08370967741936,"Up",31083000,-6921000,24162000,-22256000,-22256000,1906000,-124000,-124000,1782000,1982000,-605000,1377000,1377000,1377000,1377000,39247000,39247000,27845000,27845000,13484000,1600000,1600000,82176000,2191000,47674000,16591000,49865000,132041000,13585000,6541000,3912000,3450000,3450000,22368000,24578000,24578000,33855000,56223000,80913000,1377000,75818000,75818000,132041000,14610000,0.77734,0.06132,0.0443,0.01816,0.01043,3.67382,0.74155,0.11065,0.03259,0.03196,0.73566,1.79345,0.04339,-12.92602
"40","2022_Q3",8.74,"Up",36759000,-7305000,29454000,-25090000,-25090000,4364000,-115000,-115000,4249000,4149000,-803000,3346000,3346000,3346000,3346000,26877000,26877000,27824000,27824000,14572000,1357000,1357000,70630000,2277000,46668000,15639000,48945000,119575000,9976000,5236000,4564000,3514000,3514000,18823000,23794000,23794000,31743000,50566000,81412000,4723000,69009000,69009000,119575000,13282000,0.80127,0.11872,0.09103,0.04849,0.02798,3.75232,0.73275,0.11108,0.08612,0.08387,0.94615,1.77522,0.03154,-3.11526
