"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2017_Q4",13.3663492063492,"Up",179770000,-149249000,-14470000,-66515000,-68264000,30521000,-56660000,-53401000,671000,-26139000,-274000,-26413000,1010000,-25403000,-25403000,15189000,-10214000,-10214000,185028000,185028000,13822000,32320000,32320000,231170000,7863171000,8306726000,-443555000,801800000,373053000,54160000,374587000,8692838000,8924008000,3661961000,97679000,25211000,3539071000,81328000,81328000,3743289000,138563000,138563000,138563000,3881852000,4288665000,-104059000,1014000,4185620000,856536000,5042156000,8924008000,-25403000,66515000,14012000,-32045000,-842000,4547000,-35750000,23079000,-187360000,-187360000,22712000,-170334000,-25211000,0,92667000,67456000,-79799000,-79799000,-79799000,97036000,0,-123379000,0.16978,-0.05682,-0.00203,-0.00114,12.0794,0.06176,0.76988,0,-0.04266,-0.04266,0.75078,17.48045,-0.51527,0.10529,0.00289,-0.02382,-2.46828,-1.9068,-6.06232
"12","2018_Q1",12.2247540983607,"Down",180257000,-153287000,-16953000,-67894000,-68440000,26970000,-32291000,-33243000,1042000,-5321000,-976000,-6297000,-935000,-7232000,-7232000,439000,-6793000,-6793000,219381000,219381000,17082000,31044000,31044000,267507000,7841530000,8329475000,-487945000,779585000,352206000,52015000,375364000,8650154000,8917661000,3684141000,117630000,25211000,3541300000,81408000,81408000,3765549000,130028000,130028000,130028000,3895577000,4300351000,-133693000,10083000,4176741000,845343000,5022084000,8917661000,-7232000,67894000,-8629000,36007000,-3260000,17015000,22252000,88040000,-27178999.9999999,-27179000,734999.999999996,-26057999.9999999,-25211000,-5.96046447753906e-08,-3694000.00000003,-28905000,33077000,33077000,33077000,94864000,0,104627000,0.14962,-0.03769,-0.00135,-0.000759999999999998,-15.40218,0.07104,0.77569,-4.33680868994202e-19,-0.0282900000000001,-0.02828,0.75066,17.39362,0.43571,0.10499,0.00357,0.02031,-3.71132,-2.31258,-8.13426
"13","2018_Q2",12.45671875,"Up",184271000,-146765000,-12631000,-65156000,-68978000,37506000,-34194000,-34066000,-62000,3312000,-120000,3192000,-477000,2715000,2715000,-1601000,1114000,1114000,212547000,212547000,17036000,33032000,33032000,262615000,7824687000,8359621000,-534934000,861582000,333983000,74631000,452968000,8711253000,8973868000,3715482000,128625000,26627000,3560230000,81643000,81643000,3797125000,122673000,122673000,122673000,3919798000,4295612000,-156485000,23312000,4162439000,891631000,5054070000,8973868000,2715000,65156000,-7611000,-24691000,46000,5325000,-30062000,35569000,-25413000,-25413000,-15837000,-53345000,-25211000,16700000,21441000,12930000,-4846000,-4846000,-4846000,102662000,0,53035000,0.20354,0.00605,0.00022,0.00012,47.60772,0.06916,0.77557,0,0.00464,0.00464,0.7668,17.321,0.22069,0.10491,0.00509,0.01024,22.63106,-2.07036,-5.66701
"14","2018_Q3",13.178253968254,"Up",191419000,-149616000,-17195000,-64775000,-67646000,41803000,-32208000,-34715000,2521000,9595000,-46293000,-36698000,120000,-36578000,-36578000,1762000,-34816000,-34816000,233530000,233530000,15549000,32755000,32755000,281834000,7752567000,8318731000,-566164000,855599000,316451000,77115000,462033000,8634079000,8915913000,3712800000,123720000,26621000,3562459000,81806000,81806000,3794606000,115559000,115559000,115559000,3910165000,4300226000,-215353000,28647000,4113520000,892228000,5005748000,8915913000,-36578000,64775000,30301000,12444000,1487000,-4028000,14985000,70942000,-26197000,-26197000,511000.000000004,-27615000,-26626000,7.45058059692383e-09,4005000,-22621000,20706000,20706000,20706000,106578000,0,92705000,0.21838,-0.18188,-0.00696,-0.0039,-2.66271,0.07427,0.78114,0,-0.14486,-0.14486,0.79646,17.11567,0.38573,0.11079,-0.0016,0.0181,-0.764759999999999,-2.19117,-5.58644
"15","2018_Q4",12.044126984127,"Down",192596000,-148873000,-14452000,-64610000,-69811000,43723000,-34043000,-34327000,472000,9680000,36395000,46075000,-1814000,44261000,44261000,-6730000,37531000,37531000,538725000,538725000,16205000,30902000,30902000,585832000,7465255000,8064011000,-598756000,863482000,287222000,84262000,491998000,8355405000,8941237000,3725279000,133995000,26596000,3564688000,84267000,84267000,3809546000,102279000,102279000,102279000,3911825000,4303731000,-201868000,31530000,4133393000,896019000,5029412000,8941237000,44261000,64610000,-46320000,-34894000,-656000,-597000,-33641000,27657000,-34011000,-34011000,-2608000,304087000,-26621000,0,1788000,-28402000,303342000,303342000,303342000,108333000,0,41242000,0.22702,0.19487,0.00746,0.0042,1.09888,0.15378,0.77779,0,0.15609,0.15606,0.80099,17.19039,0.17152,0.11071,0.0125,0.00804,0.70931,-4.97286,-12.32132
"16","2019_Q1",12.1632786885246,"Up",139385000,-107874000,-13285000,-46327000,-48262000,31511000,-36073000,-36609000,268000,-4562000,8547000,3985000.00000001,-968000,3016999.99999999,8595000,-3277000,5317999.99999999,5317999.99999999,339653000,339653000,20076000,25756000,25756000,385485000,7457012000,8101651000,-644639000,913481000,270445000,89215000,553821000,8370493000,8755978000,3717153000,124334000,25902000,3566917000,51170000,51170000,3768323000,95991000,95991000,95991000,3864314000,4204085000,-219906000,16621000,4000800000,890864000,4891664000,8755978000,8594999.99999999,63684000,-6436000,-43488000,-3871000,3500000,-43117000,22355000,-52294000,-52294000,-11446000,-66517000.0000001,-26597000,-27299000,-6866000,-160056000,-204218000,-204218000,-204218000,95195000,-1.86264514923096e-09,380999.999999993,0.22607,0.03815,0.00109,0.00061,0.071640000000001,0.1023,0.78998,2.16840434497101e-19,0.0224400000000001,0.02243,0.5881,16.88026,0.00160999999999994,0.11222,0.0064,8.0000000000002e-05,5.00132,-3.56797,-10.77887
"17","2019_Q2",12.5207936507937,"Up",191792000,-148913000,-17443000,-63089000,-68381000,42879000,-34005000,-33024000,-1027000,8874000,-736000,8138000,-1138000,7e+06,7e+06,-3291000,3709000,3709000,342308000,342308000,20136000,18163000,18163000,380607000,7439667000,8129527000,-689860000,901363000,254354000,144589000,502420000,8341030000,8721637000,3720481000,125599000,25949000,3568933000,56565000,56565000,3777046000,89955000,89955000,89955000,3867001000,4220405000,-239949000,8421000,3988877000,865759000,4854636000,8721637000,7e+06,63089000,-1921000,26283000,-60000,-2544000,28887000,94451000,-27944000,-27944000,23974000,-56645000,-25902000,175161645.896296,-16842000,-42744000,-4938000,-4938000,-4938000,105968000,0,105445000,0.22357,0.01934,0.00076,0.00043,28.4295,0.10077,0.79656,0,0.01589,0.01589,0.82166,17.08889,0.45174,0.11097,0.00599,0.02133,6.98355,-3.2303,-7.98312
"18","2019_Q3",11.7928125,"Down",188583000,-147892000,-17695000,-62625000,-67572000,40691000,-35132000,-34630000,-456000,5559000,-117000,5442000,-268000,5174000,5174000,-2719000,2455000,2455000,283485000,283485000,19695000,22894000,22894000,326074000,7414766000,8149890000,-735124000,1113035000,239326000,145997000,727712000,8527801000,8853875000,3721646000,124460000,25953000,3571233000,64309000,64309000,3785955000,84531000,84531000,254531000,4040486000,4216534000,-260939000,-5525000,3950070000,863319000,4813389000,8853875000,5174000,62625000,-3820000,-51617000,441000,-9749000,-42309000,12362000,-22822000,-22822000,-179207000,-200339000,-25949000,1.7e+08,-3678000,133885000,-54092000,-54092000,-54092000,103316000,1.7e+08,29145000,0.21577,0.01302,0.00051,0.00028,11.87169,0.08613,0.83943,0.0192,0.01048,0.01048,0.80476,16.85651,0.12437,0.11073,0.0056,0.00575,10.56986,-1.09843,-2.78895
"19","2019_Q4",11.83578125,"Up",176610000,-135380000,-16319000,-55971000,-63090000,41230000,-37435000,-36103000,-1332000,3795000,-580000,3215000,583000,3798000,1.1e+07,-3918000,7082000,7082000,298066000,298066000,20400000,25372000,25372000,343838000,7239357000,8003508000,-764151000,996555000,222709000,243565000,530281000,8235912000,8579750000,3721403000,119362000,25307000,3576734000,76768000,76768000,3798171000,78836000,78836000,78836000,3877007000,4136668000,-276659000,-9219000,3850790000,851953000,4702743000,8579750000,1.1e+07,63058000,-4577000,30353000,-705000,6836000,24222000,99834000,-44328000,-44328000,186736000,198597000,-25953000,-166800000,-6102000,-281372000,17059000,17059000,17059000,104288000,0,89730000,0.23345,0.0401,0.00151,0.00083,12.67015,0.09053,0.82441,0,0.03064,0.03063,0.76399,16.65794,0.38816,0.11227,0.00691,0.01877,3.66464,-2.8581,-7.22935
"20","2020_Q1",10.998064516129,"Down",186769000,-141177000,-17099000,-58419000,-65659000,45592000,-44969000,-52922000,-1891000,623000,-12898000,-12275000,511000,-11764000,-52777000,2632000,-50145000,-50145000,306215000,306215000,19231000,25272000,25272000,350718000,7099669000,7889885000,-790216000,1283748000,203169000,459497000,621082000,8383417000,8734135000,3926462000,117356000,25255000,3783851000,66004000,66004000,3992466000,73789000,73789000,110707000,4103173000,4135458000,-349557000,-171000,3785730000,845232000,4630962000,8734135000,-52777000,59575000,48442000,23554000,1169000,-3492000,25877000,78794000,-8822000.00000001,-8822000,-36532000.0000001,-265053000,-25307000,243561000,-15490000,194308000,8049000,8049000,8049000,105167000,36918000,119388000,0.24411,-0.26849,-0.01083,-0.00574,-2.38086,0.08784,0.88603,0.00423,-0.22068,-0.22077,0.82194,16.66037,0.52541,0.11137,-0.00524,0.02518,-0.504680000000001,-2.56066,-5.90667
"21","2020_Q2",7.57809523809524,"Down",183986000,-137690000,-12249000,-58427000,-67014000,46296000,-41784000,-37615000,-4169000,4512000,-203000,4309000,-604000,3705000,5226000,-1878000,3348000,3348000,377689000,377689000,17826000,124591000,20563000,520106000,7082704000,7914868000,-832164000,1151446000,191183000,442474000,517789000,8234150000,8754256000,3922589000,109563000,24342000,3788684000,54723000,54723000,3977312000,69752000,69752000,269752000,4247064000,4104506000,-368767000,-13478000,3722261000,784931000,4507192000,8754256000,5226000,59117000,3124000,-40507000,1405000,-7019000,-34893000,26960000,-30460000,-30460000,33982000,115000,-25255000,166155000,-3888000,39690000,66765000,66765000,66765000,105413000,2e+08,35050000,0.25163,0.0182,0.00074,0.00038,10.46894,0.13077,0.94229,0.02285,0.0147,0.0147,0.80777,16.34225,0.15388,0.11088,0.00599,0.00734,7.54331,-1.68565,-3.83811
"22","2020_Q3",6.6215625,"Down",171118000,-140930000,-17901000,-58716000,-64313000,30188000,-39623000,-35013000,-5866000,-9435000,-258000,-9693000,-138000,-9831000,-7684000.00000001,1414000,-6270000,-6270000,522502000,522502000,18738000,137872000,33957000,679112000,7050336000,7924068000,-873732000,1103734000,179244000,434224000,490266000,8154070000,8833182000,3920646000,105924000,24292000,3790430000,59091000,59091000,3979737000,65769000,65769000,265769000,4245506000,4135761000,-397220000,-15031000,3723510000,864166000,4587676000,8833182000,-7684000,58716000,1235000,23884000,-912000,2871000,21925000,76151000,-16115000,-16115000,0,-2907000,-24342000,111984000,315000.000000001,84963000,158207000,158207000,158207000,88904000,2e+08,96811000,0.17642,-0.0366400000000001,-0.00137,-0.00071,-15.44035,0.17064,0.92542,0.02264,-0.0283,-0.0283,0.77229,16.80488,0.43693,0.10986,0.00372,0.01995,-3.8823,-3.62753,-10.68312
"23","2020_Q4",7.433125,"Up",176775000,-143559000,-16805000,-58889000,-67865000,33216000,-39097000,-35792000,-4409000,-5881000,4000,-5877000,-393000,-6270000,-4123000,-2835000,-6958000,-6958000,515942000,515942000,15289000,134752000,30965000,665983000,7015456000,7935534000,-920078000,1125055000,167675000,430459000,526921000,8140511000,8806494000,3932345000,109228000,24173000,3798944000,59531000,59531000,3991876000,61485000,61485000,261485000,4253361000,4130692000,-426238000,-14208000,3690246000,862887000,4553133000,8806494000,-4123000,58889000,4545000,-22853000,3449000,6975000,-33277000,36458000,-13773000,-13773000,-9000,-16741000,-24292000,6718000,-3173000,-29269000,-9552000,-9552000,-9552000,92105000,2e+08,55872000,0.1879,-0.03936,-0.00153,-0.00079,-8.02989,0.16683,0.93416,0.02271,-0.03142,-0.03142,0.79831,16.66494,0.25231,0.1097,0.0036,0.0116,-3.49123,-3.43024,-9.51174
"24","2021_Q1",8.72868852459016,"Up",182358000,-145525000,-17962000,-59168000,-68395000,36833000,-37561000,-35788000,-3903000,-728000,810960,82960,-358000,-275040,-11165040,-3659000,-14824040,-14824040,434530000,434530000,17502000,30794000,30794000,482826000,6996618000,7963315000,-966697000,1074653000,153519000,425641000,495493000,8071271000,8554097000,3919436000,101901000,16796000,3800739000,62930999.9999999,62930999.9999999,3982367000,55996000,55996000,55996000,4038363000,4122361000,-456393000,-12791000,3653177000,862557000,4515734000,8554097000,-12615000,59168000,20885000,30265000,6715941.86598398,18789032.2050689,-60519229.844949,97703000,-29115000,-13521173.931747,-60000,59568000,-24173000,-2e+08,-3187000,-238854000,-81583000,-81583000,-81583000,96001000,0,97509000,0.20198,-0.08129,-0.00328,-0.00173,-6.57776,0.12124,0.89429,3.46944695195361e-18,-0.0677,-0.0677,0.83282,16.68387,0.44532,0.1104,0.00204,0.02133,-1.63066,-4.52631,-11.7973
"25","2021_Q2",9.96238095238095,"Up",181166000,-139287000,-14364000,-58305000,-66618000,41879000,-38753000,-34739000,-5316000,3126000,-101000,3025000,-1141000,1884000,1884000,-5462000,-3578000,-3578000,464652000,464652000,12653000,23588000,23588000,500893000,6967369000,7979582000,-1012213000,1103686000,144161000,424751000,534774000,8071055000,8571948000,134149000,117260000,16889000,3810412834.31762,3878860000,3878860000,4013009000,53004000,53004000,53004000,4066013000,4113333000,-476051000,-8809000,3628473000,877462000,4505935000,8571948000,1884000,58305000,4818000,-6677000,4850000,16838000,-28365000,58330000,-19339000,-19339000,-41836868.6181615,-26344000,-16796000,12430000,-4504000,-9070000,22916000,22916000,22916000,100184000,0,75309000,0.23116,-0.01975,-0.00079,-0.00042,-21.04779,0.12482,0.90237,0,-0.01636,-0.01636,0.82851,16.59368,0.3444,0.07681,0.0029,0.01652,-4.69424,-4.63799,-11.09511
"26","2021_Q3",8.730625,"Down",182269000,-142415000,-18418000,-59925000,-64072000,39854000,-49561000,-34914000,-15717000,-9707000,13000,-9694000,-434000,-10128000,-10128000,-5815000,-15943000,-15943000,475289000,475289000,13366000,32552000,32552000,521207000,6950934000,7977476000,-1026542000,1060999000,135764000,420543000,504692000,8011933000,8533140000,120792000,103895000,16897000,3824538492.69869,3881833000,3881833000,4002625000,50392000,50392000,50392000,4053017000,4116078000,-507321000,-8478000,3600279000,879844000,4480123000,8533140000,-10128000,59925000,19788000,6543000,-714000,-13140000,20397000,76128000,-32775000,-32775000,-42393000,-66344000,13754000,-5.96046447753906e-08,-3937000,9817000,19601000,19601000,19601000,99779000,0,73981000,0.21865,-0.08747,-0.00356,-0.00187,-4.64034,0.13022,0.90467,0,-0.07291,-0.07291,0.83355,16.46474,0.33833,-0.0629,-0.00655,0.01633,0.8627,-4.76342,-11.92575
