"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",17.5795161290323,"Up",24700000,-14469000,10231000,-2525000,-2525000,7706000,56000,-122000,6000,7762000,7762000,-2696000,5081000,5081000,5081000,-66000,5015000,9000,9000,8040000,7999000,3344000,1719000,1625000,11393000,51319000,26923000,83838000,83838000,162080000,173473000,11080000,4578000,6502000,754000,13254000,86506000,18416000,10668000,7748000,104922000,118176000,3e+06,35689000,16742000,-134000,55297000,55297000,173473000,5081000,5081000,505000,272000,1678000,7536000,-2581000,-2581000,-2581000,-1091000,-3667000,-416000,-3460000,-3460000,-12499000,9039000,-3876000,-7000,-7000,-7000,8211000,87260000,10004000,0.41421,0.31198,0.20304,0.09069,0.02891,1.99482,0.85959,2.13711,0.50302,0.44789,0.44789,2.20595,4.67063,0.89345,0.03715,0.03374,0.06215,0.08295,10.62611,11.32248
"12","2013_Q1",17.6281666666667,"Up",14795000,-11629000,3166000,-2708000,-2708000,457999.999999999,147000,-88000,-150000,605000,604999.999999999,-477000,141000,141000,141000,-65000,76000,11000,11000,4294000,4252000,5082000,2116000,2254000,9387000,53380000,24648000,85207000,85207000,163235000,172622000,9772000,3670000,6102000,760000,11604000,88875000,19441000,10488000,8953000,108316000,119920000,3e+06,35826000,16398000,-2522000,52702000,52702000,172622000,141000,141000,560000,1194000,117000,2012000,-2112000,-2112000,-2112000,-1804000,-3704000,-485000,2375000,2375000,-9935000,12310000,1694000,2000,2000,2000,1018000,89635000,-5e+05,0.21399,0.0309599999999999,0.00514000000000001,0.00144000000000001,0.000439999999999996,-6.57895,0.80895,2.27544,0.51926,0.00678000000000006,0.00678000000000006,1.32039,4.4357,-0.0446200000000001,0.04328,0.00347,-0.00309,6.38158,88.03929,195.68559
"13","2013_Q2",16.9815625,"Down",17382000,-19449000,-2067000,-3265000,-3265000,-5332000,538000,-1e+05,417000,-4794000,-4794000,1655000,-3122000,-3122000,-3122000,-66000,-3188000,24000,24000,7599000,7557000,6453000,2641000,1445000,14076000,53614000,25609000,86845000,86845000,166068000,180144000,12464000,4208000,8256000,767000,13946000,96236000,19752000,11085000,8667000,115988000,129934000,3e+06,36041000,12790000,-1621000,50210000,50210000,180144000,-3122000,-3122000,542000,188000,-2471000,-4863000,-1918000,-1918000,-1918000,-88000,-2006000,-486000,7368000,7368000,-4212000,11580000,6882000,13000,13000,13000,-4790000,97003000,-10834000,-0.11892,-0.30675,-0.18341,-0.06349,-0.0177,3.39837,1.00932,2.58781,0.53847,-0.28414,-0.28414,1.5492,4.20766,-0.9656,0.04332,-0.01618,-0.06489,-0.15245,-20.24614,-18.18811
"14","2013_Q3",19.70625,"Up",23286000,-18126000,5160000,-2774000,-2774000,2386000,214000,22000,-29000.0000000001,2600000,5738000,-1427000,2505000,2505000,2505000,-65000,2440000,34000,34000,10257000,10246000,4713000,2770000,1302000,15004000,54701000,21463000,87959000,87959000,164123000,179127000,11468000,5861000,5607000,741000,12568000,59118000,19809000,10727000,9082000,78927000,91495000,3e+06,72064000,14731000,-2163000,87632000,87632000,179127000,2505000,2505000,545000,-1447000,-2119000,-516000,-2774000,-2774000,-2774000,4735000,2311000,-564000,-37144000,-37144000,-60104000,22960000,-1785000,10000,9999.99999999999,10000,2931000,59859000,-535000,0.22159,0.10247,0.10478,0.02784,0.01362,-0.219260000000002,1.19383,1.04408,0.33417,0.18758,0.18758,1.79013,6.50615,-0.04113,0.04336,0.01796,-0.0032,0.23115,20.41112,25.07334
"15","2013_Q4",22.2759375,"Up",29929000,-17014000,12915000,-2958000,-2958000,9957000,289000,19000,1000,10246000,10246000,-3772000,6607000,6607000,6607000,-66000,6541000,157000,157000,9968000,9962000,3390000,1905000,1485000,13515000,55813000,15173000,90264000,90264000,161250000,174765000,13969000,4811000,9158000,558000,14527000,47404000,18466000,11452000,7014000,65870000,80397000,3e+06,72263000,20773000,-1668000,94368000,94368000,174765000,6607000,6607000,551000,206000,3073000,10437000,-3353000,-3353000,-3353000,5417000,2174000,-565000,-11897000,-11897000,-18902000,7005000,-12488000,123000,123000,123000,10508000,47962000,1.4e+07,0.43152,0.33269,0.21855,0.06931,0.03743,2.14035,0.93034,0.85195,0.27444,0.49587,0.49587,2.2689,6.92654,1.06133,0.04283,0.04419,0.08707,0.08638,4.54939,4.80114
"16","2014_Q1",19.8752459016393,"Down",14287000,-12952000,1335000,-2853000,-2853000,-1518000,-1436000,20000,-6999.99999999999,-2954000,-3049000,309000,-1084000,-1084000,-1084000,-65000,-1149000,82000,82000,6419000,6419000,7096000,2972000,4124000,13597000,86210000,16645000,93462000,93462000,196317000,209914000,13389000,4784000,8605000,569000,14675000,61563000,23023000,18540000,4483000,84586000,99261000,3e+06,88300000,19098000,255000,110653000,110653000,209914000,-1084000,-1084000,765000,-1466000,2396000,611000,-2383000,-2383000,-2383000,-11483000,-14006000,-591000,14147000,14147000,-2758000.00000001,16905000,13320000,-75000,-75000,-75000,-753000,62132000,-1049000,0.09344,-0.10625,-0.08042,-0.01038,-0.00547,0.91297,0.92654,0.89705,0.29599,-0.08399,-0.0839900000000001,1.0443,7.8688,-0.0766800000000001,0.0432,-0.00284999999999998,-0.00536,-0.51436,-82.40372,-40.87615
"17","2014_Q2",19.808253968254,"Down",25882000,-24534000,1348000,-3541000,-3541000,-2193000,257000,20000,153000,-1936000,-1936000,717000,-1219000,-1219000,-1219000,-66000,-1285000,58000,58000,11755000,11738000,6021000,3549000,1632000,17834000,89809000,16898000,94594000,94594000,201301000,219135000,13902000,4997000,8905000,573000,15241000,71264000,23026000,18841000,4185000,94290000,109531000,3e+06,88604000,17287000,713000,109604000,109604000,219135000,-1219000,-1219000,817000,755000,-4473000,-4120000,-4764000,-4764000,-4764000,-16000,-4780000,-592000,9705000,9705000,-7322000,17027000,8876000,-24000,-24000,-24000,-1376000,71837000,-11330000,0.05208,-0.08473,-0.04965,-0.01172,-0.00586,8.81712,1.17013,0.99933,0.32782,-0.09159,-0.09159,1.84476,7.59829,-0.80756,0.0422,-0.00339,-0.05541,-0.4607,-52.16497,-32.73096
"18","2014_Q3",20.28734375,"Up",24802000,-18427000,6375000,-3145000,-3145000,3230000,28000,19000,62000,3258000,3258000,-1145000,2113000,2113000,2113000,-65000,2048000,71000,71000,11178000,11178000,5153000,3742000,1411000,16402000,92269000,17200000,95957000,95957000,205426000,221828000,16154000,5755000,10399000,577000,17533000,60446000,22812000,19139000,3673000,83258000,100791000,12300000,88766000,18808000,1163000,121037000,121037000,221828000,2113000,2113000,845000,308000,3511000,6777000,-4619000,-4619000,-4619000,-6999.99999999814,-4626000,-592000,-10814000,-10814000,-21485000,10671000,-2138000,13000,13000,13000,4075000,61023000,4112000,0.25704,0.13023,0.08257,0.01692,0.00923,2.00781,0.93549,0.83273,0.27509,0.14579,0.14579,1.76552,7.74039,0.29271,0.04214,0.01289,0.02007,0.28906,14.95755,18.87059
"19","2014_Q4",22.05234375,"Up",36476000,-19021000,17455000,-3640000,-3640000,13815000,160000,20000,39000,13975000,13540000,-4608000,8932000,8932000,8932000,-171000,8761000,53000,53000,10805000,10805000,5729000,3039000,2690000,16587000,96842000,19001000,97168000,97168000,213011000,229598000,21777000,5436000,16341000,594000,23166000,51509000,23600000,19972000,3628000,75109000,98275000,12331000,89635000,26935000,2422000,131323000,131323000,229598000,8932000,8932000,902000,765000,4519000,15118000,-4802000,-4802000,-4802000,-978000,-5780000,-774000,-8920000,-8920000,-22160000,13240000,-9706000,-368000,-18000,-18000,14717000,52103000,19042000,0.47853,0.37874,0.24019,0.06671,0.03816,2.1735,0.71601,0.74835,0.22693,0.62285,0.59995,2.5932,8.45955,1.35376,0.05503,0.04606,0.09198,0.08835,3.53673,3.76764
"20","2015_Q1",19.2090163934426,"Down",16302000,-16816000,-514000,-4010000,-4010000,-4524000,226000,1000,94000,-4298000,-4298000,1463000,-2835000,-2835000,-2835000,-158000,-2993000,92000,92000,7236000,7236000,7492000,2658000,3691000,14820000,105873000,27908000,98286000,98286000,232067000,246887000,19741000,6363000,13378000,583000,21133000,67771000,27323000,21041000,6282000,95094000,116227000,12331000,89910000,23308000,5111000,130660000,130660000,246887000,-2835000,-2835000,952000,103000,97000,-1683000,-11681000,-11681000,-11681000,-1756000,-13437000,-793000,16251000,16251000,-60576000,76827000,15509000,389000,39000,39000,-3572000,68354000,-16619000,-0.03153,-0.27751,-0.1836,-0.02291,-0.01212,5.55262,0.70127,0.88954,0.27686,-0.21263,-0.22107,1.15814,8.40644,-1.18066,0.05634,-0.00971999999999999,-0.07343,-0.26495,-19.1103,-15.08886
"21","2015_Q2",19.914126984127,"Up",28011000,-26861000,1150000,-3667000,-3667000,-2517000,314000,-12000,241000,-2203000,-2203000,755000,-1448000,-1448000,-1448000,-159000,-1607000,104000,104000,11319000,11319000,7327000,3870000,1559000,18750000,111478000,23474000,99612000,99612000,234564000,253314000,17491000,8148000,9343000,582000,18848000,81775000,26547000,20103000,6444000,108322000,127170000,12331000,90205000,21066000,2542000,126144000,126144000,253314000,-1448000,-1448000,989000,957000,-6338000,-5840000,-7065000,-7065000,-7065000,-17000,-7082000,-794000,14003000,14003000,-22957000,36960000,12934000,12000,12000,12000,-1528000,82357000,-15686000,0.04106,-0.08986,-0.05737,-0.01274,-0.00634,9.76105,0.9948,1.00813,0.32512,-0.11399,-0.11399,1.98688,8.07299,-1.11264,0.05632,-0.00346,-0.06674,-0.49409,-53.8305,-32.67898
"22","2015_Q3",17.0634375,"Down",28277000,-21021000,7256000,-3116000,-3116000,4140000,-121000,-45000,21000,4019000,4019000,-1456000,2563000,2563000,2563000,-158000,2405000,77000,77000,11738000,11738000,6244000,4237000,1565000,18059000,117867000,28464000,101182000,101182000,247513000,265572000,16733000,6047000,10686000,583000,18084000,87521000,28408000,22384000,6024000,115929000,134013000,12331000,90353000,22837000,6038000,131559000,131559000,265572000,2563000,2563000,980000,515000,262999.999999999,4321000,-9296000,-9296000,-9296000,-7000.00000000023,-9303000,-792000,5747000,5747000,-22963000,28710000,4955000,-26999.9999999999,-27000,-27000,5120000,88104000,-2457000,0.2566,0.14641,0.08505,0.01828,0.00906,-1.02162,0.99862,1.01865,0.33175,0.17033,0.17033,2.00262,8.44391,-0.17401,0.05609,0.01289,-0.0099,0.32931,17.19277,21.26256
"23","2015_Q4",14.40125,"Down",29811000,-18703000,11108000,-3270000,-3270000,7838000,251000,-45000,91000,8089000,8089000,-2776000,5313000,5313000,5313000,-160000,5153000,32000,32000,7626000,7626000,6845000,3986000,2859000,14503000,122007000,30599000,103867000,103867000,256473000,270976000,18742000,5457000,13285000,585000,20091000,84215000,29002000,23294000,5708000,113217000,133308000,12331000,90535000,27356000,7446000,137668000,137668000,270976000,5313000,5313000,1010000,87000,5295000,11705000,-7374000,-7374000,-7374000,-278000,-7652000,-794000,-3304000,-3304000,-30968000,27664000,-4098000,-45000,-45000,-45000,8848000,84800000,9545000,0.37261,0.26292,0.17286,0.03743,0.01902,1.85232,0.72187,0.96833,0.31294,0.36476,0.36476,2.11021,8.87216,0.67566,0.0562,0.02365,0.03796,0.15408,9.58047,10.815
"24","2016_Q1",12.1381967213115,"Down",14212000,-15371000,-1159000,-3719000,-3719000,-4878000,61000,-46000,57000,-4817000,1151000,-497000,654000,654000,654000,-158000,496000,39000,39000,7420000,7420000,6303000,2387000,3916000,13762000,128951000,21555000,105102000,105102000,255608000,269370000,18316000,6611000,11705000,589000,19672000,89079000,27066000,19425000,7641000,116145000,135817000,12281000,90900000,27216000,3156000,133553000,133553000,269370000,654000,654000,1205000,-5728000,1378000,-2491000,-7519000,-7519000,-7519000,5749000,-1770000,-794000,5024000,5024000,-22126000,27150000,4268000,7000,7000,7000,-3673000,89668000,-9317000,-0.08155,-0.34323,0.0349,0.00371,0.00184,-18.78427,0.69957,1.01695,0.33288,0.0351000000000001,0.0351,1.00573,8.58198,-0.65933,0.05619,0.00515,-0.03723,1.60081,-24.40212,-18.37413
"25","2016_Q2",14.94046875,"Up",24987000,-27857000,-2870000,-3464000,-3464000,-6334000,255000,-219000,360000,-6079000,-6079000,2167000,-3912000,-3912000,-3912000,-158000,-4070000,60000,60000,8844000,8844000,6518000,2876000,1650000,15422000,145986000,21791000,108735000,108735000,276512000,291934000,16647000,6683000,9964000,1877000,19253000,97204000,46309000,19546000,26763000,143513000,162766000,12281000,91103000,22439000,3345000,129168000,129168000,291934000,-3912000,-3912000,1128000,321000,-2894000,-5357000,-5861000,-5861000,-5861000,2894000,-2967000,-866000,9401000,9401000,-50824000,60225000,8345000,21000,21000,21000,-5206000,99081000,-16128000,-0.11486,-0.25349,-0.16288,-0.03151,-0.01394,3.96265,0.80102,1.26011,0.3394,-0.28767,-0.28767,1.76612,8.26173,-1.13995,0.06121,-0.01167,-0.05874,-0.21278,-19.02055,-15.63325
"26","2016_Q3",16.2646875,"Up",27365000,-22306000,5059000,-2844000,-2844000,2215000,-431000,-344000,56000.0000000001,1784000,1784000,-562000,1222000,1222000,1222000,-157000,1065000,46000,46000,12005000,12005000,6001000,3128000,1420000,18052000,147962000,24049000,109531000,109531000,281542000,299594000,15467000,5551000,9916000,2464000,18648000,102520000,47387000,20448000,26939000,149907000,168555000,12231000,91274000,22795000,4739000,131039000,131039000,299594000,1222000,1222000,1285000,251000,-3268000,-510000,-4075000,-4075000,-4075000,-454999.999999999,-4530000,-865000,5935000,5935000,-38094000,44029000,5026000,-14000,-14000,-14000,3500000,104984000,-3281000,0.18487,0.08094,0.03892,0.00813,0.00355,-3.08075,0.96804,1.2863,0.35042,0.07516,0.07516,1.93119,8.38447,-0.23155,0.06104,0.00681,-0.01158,0.81221,29.98229,47.37607
"27","2016_Q4",17.5128571428571,"Up",39903000,-22289000,17614000,-3420000,-3420000,14194000,-191000,-473000,47000,14003000,17422000,-6693000,10729000,10729000,10729000,-156000,10573000,96000,96000,12563000,12563000,5426000,2657000,2769000,18085000,149220000,23987000,111073000,111073000,284280000,302365000,22856000,4561000,18295000,2486000,26065000,87100000,47785000,20457000,27328000,134885000,160950000,12231000,91773000,32659000,4752000,141415000,141415000,302365000,10729000,10729000,1450000,-2788000,7346000,16737000,-3327000,-3327000,-3327000,2916000,-411000,-865000,-15411000,-15411000,-38859000,23448000,-16276000,50000,50000,50000,15644000,89586000,26356000,0.44142,0.35571,0.26497,0.07477,0.03497,2.49276,0.69384,1.13814,0.29628,0.74579,0.62781,2.81463,9.11222,1.85907,0.06101,0.04103,0.09454,0.08181,5.7204,6.30478
"28","2017_Q1",16.8311290322581,"Down",19534000,-16830000,2704000,-3591000,-3591000,-887000.000000002,90000,-373000,35000,-797000.000000002,198000,-179000.000000002,18999.9999999981,18999.9999999981,19000.0000000019,-157000,-138000.000000002,38000,38000,9298000,9298000,9163000,2509000,3844000,18499000,177096000,23999000,85854000,85854000,286949000,305448000,20553000,5555000,14998000,2508000,23751000,88164000,54804000,25328000,29476000,142968000,166719000,12231000,91983000,31812000,2703000,138729000,138729000,305448000,18999.9999999981,19000,1476000,5165000,-3226000,3434000,-2989000,-2989000,-2989000,-1620000,-3614000,-866000,1095000,1095000,-28626000,29721000,121999.999999993,-58000,-58000,-58000,589000,90672000,-5446999.99999999,0.13843,-0.04541,-0.00706000000000001,-0.000990000000000005,-0.000449999999999992,39.47101,0.77887,1.20176,0.29685,-0.00973000000000002,-0.0119899999999999,1.37787,8.92276,-0.38421,0.06108,0.00256,-0.01917,-6.27536,153.87776,-102.18038
