"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",16.6532258064516,"Up",1.2953e+10,-2.309e+09,1.0644e+10,-6.589e+09,-3.491e+09,-1.887e+09,-1.211e+09,4.055e+09,-9.37e+08,-9.37e+08,3.118e+09,-3.12e+08,2.806e+09,1.83e+08,2.989e+09,2.25e+08,2.25e+08,3.214e+09,-6e+06,3.208e+09,3.208e+09,2.2968e+10,4.506e+09,1.8462e+10,1.2523e+10,1.2523e+10,7.516e+09,1.412e+10,8.849e+09,5.7127e+10,1.4606e+10,1.3429e+10,9.7441e+10,4.7209e+10,4.437e+10,5.862e+09,1.25476e+11,1.82603e+11,6.492e+09,2.967e+09,1e+06,3.524e+09,7.774e+09,1.4865e+10,1.3455e+10,2.9131e+10,3.1083e+10,4.0274e+10,9.869e+09,6.56e+09,3.309e+09,1.9133e+10,1.1272e+10,7.1357e+10,1.00488e+11,7.2764e+10,-3.6703e+10,5.1256e+10,-5.655e+09,8.1703e+10,4.12e+08,8.2115e+10,1.82603e+11,3.214e+09,3.214e+09,1.656e+09,5.5e+08,-4.17e+08,5.003e+09,-2.85e+08,-2.85e+08,-2.85e+08,-6.377e+09,6.415e+09,-2.47e+08,-1.632e+09,1.9e+07,-172998423.939058,-3.291e+09,1.465e+09,1.465e+09,1e+07,1.475e+09,5.711e+09,3.8857e+10,4.826e+09,0.82174,0.31305,0.24766,0.03907,0.01757,1.50436,1.96104,1.22375,0.21279,0.40926,0.40528,1.65246,10.41793,0.61567,0.2082,6,0.03002,0.02993,0.50873,2.78217,3.91837
"12","2013_Q1",18.377,"Up",1.3891e+10,-2.753e+09,1.1138e+10,-7.578e+09,-4.337e+09,-2.021e+09,-1.22e+09,3.56e+09,-7.58e+08,-7.58e+08,2.802e+09,-7.25e+08,2.077e+09,-5.99e+08,1.478e+09,4.843e+09,4.843e+09,6.321e+09,-6e+06,6.315e+09,6.315e+09,3.2399e+10,1.0081e+10,2.2318e+10,1.0675e+10,1.0675e+10,6.076e+09,1.5681e+10,9.737e+09,6.4831e+10,1.3213e+10,1.4149e+10,9.3605e+10,4.5146e+10,4.3661e+10,1.565e+09,1.20967e+11,1.85798e+11,7.508e+09,2.921e+09,1.733e+09,2.854e+09,6.424e+09,1.5254e+10,1.3812e+10,2.9186e+10,3.1036e+10,4.3898e+10,1.1273e+10,7.782e+09,3.491e+09,2.1193e+10,1.1432e+10,7.4934e+10,1.0412e+11,7.3056e+10,-4.0122e+10,5.424e+10,-5.953e+09,8.126e+10,4.18e+08,8.1678e+10,1.85798e+11,6.321e+09,6.321e+09,2.107e+09,-4.455e+09,9.75e+08,4.948e+09,-5.86e+08,-5.86e+08,-4.94e+08,-2.451e+09,-1.708e+09,6.837e+09,-1.619e+09,-1.353e+09,-8e+07,-6.233e+09,5.552e+09,5.552e+09,2.3e+07,5.575e+09,5.667e+09,3.746e+10,6.655e+09,0.80181,0.25628,0.45461,0.07732,0.03399,1.05384,2.2213,1.27476,0.20162,0.81862,0.81163,1.8007,10.52873,0.86269,0.20987,7,0.04866,0.04082,0.25637,0.89307,1.42163
"13","2013_Q2",19.72328125,"Up",1.241e+10,-2.263e+09,1.0147e+10,-6.146e+09,-3.217e+09,-1.71e+09,-1.219e+09,4.001e+09,-1.45e+08,-1.45e+08,3.856e+09,-1.31e+08,3.725e+09,-1.109e+09,2.616e+09,1.49e+08,1.49e+08,2.765e+09,-1.5e+07,2.75e+09,2.75e+09,3.5346e+10,2.134e+09,3.3212e+10,1.2735e+10,1.2735e+10,7.035e+09,9.647e+09,9.647e+09,6.4763e+10,1.395e+10,1.5392e+10,9.3293e+10,4.4109e+10,4.3752e+10,5.432e+09,1.22635e+11,1.87398e+11,6.126e+09,3.279e+09,5e+06,2.842e+09,8.896e+09,1.2521e+10,1.2521e+10,2.7543e+10,3.1481e+10,4.5547e+10,1.1203e+10,7.733e+09,3.47e+09,2.2445e+10,1.1899e+10,7.7028e+10,1.04571e+11,7.6228e+10,-4.4832e+10,5.6972e+10,-6.156e+09,8.225e+10,5.77e+08,8.2827e+10,1.87398e+11,2.765e+09,2.765e+09,1.774e+09,1.091e+09,-3.327e+09,2.303e+09,-3.28e+08,-3.28e+08,-2.02e+08,-2.246e+09,-8.352e+09,-1.0926e+10,-1.735e+09,6.107e+09,4.6e+07,4.34e+08,-8.189e+09,-8.189e+09,0,-8.189e+09,5.775e+09,4.0377e+10,3.229e+09,0.81765,0.3224,0.2216,0.0332,0.01467,1.17418,2.35134,1.26252,0.21546,0.36303,0.35894,1.63826,10.85293,0.42627,0.22904,7,0.02658,0.01913,0.63091,0.87117,1.25744
"14","2013_Q3",19.599375,"Down",1.2973e+10,-2.242e+09,1.0731e+10,-6.261e+09,-3.591e+09,-1.53e+09,-1.14e+09,4.47e+09,1.07e+09,1.07e+09,5.54e+09,-1.83e+08,5.357e+09,-1.782e+09,3.575e+09,1.0559e+10,1.0559e+10,1.4134e+10,-3.9e+07,1.4095e+10,1.4095e+10,3.3711e+10,2.436e+09,3.1275e+10,1.1523e+10,1.1523e+10,6.282e+09,9.919e+09,9.819e+09,6.1435e+10,1.2443e+10,1.6107e+10,8.935e+10,4.1776e+10,4.2431e+10,5.143e+09,1.179e+11,1.79335e+11,5.997e+09,1.978e+09,1.685e+09,2.334e+09,5.214e+09,1.2239e+10,1.2218e+10,2.345e+10,3.1532e+10,4.5376e+10,1.0988e+10,7.534e+09,3.454e+09,2.2338e+10,1.205e+10,7.6908e+10,1.00358e+11,7.6863e+10,-5.9515e+10,6.7628e+10,-6.465e+09,7.8547e+10,4.3e+08,7.8977e+10,1.79335e+11,1.4134e+10,1.4134e+10,1.626e+09,-9.866e+09,-2.137e+09,3.757e+09,-3.1e+08,-3.1e+08,-3.09e+08,-2.987e+09,4.155e+09,842999999.999994,-1.701e+09,368999999.999999,2.8e+07,-4.034e+09,566000000.000002,566000000.000002,-2.2e+07,5.44e+08,6.096e+09,3.6746e+10,5.431e+09,0.82718,0.34456,1.08649,0.17847,0.0786,0.38531,2.61983,1.27072,0.2049,1.89875,1.879,1.7476,10.57626,0.73161,0.22914,6,0.09805,0.03371,0.12068,0.49787,0.67897
"15","2013_Q4",21.11984375,"Up",1.2643e+10,-2.287e+09,1.0356e+10,-6.139e+09,-3.395e+09,-1.627e+09,-1.117e+09,4.217e+09,-4.11e+08,-4.11e+08,3.806e+09,-2.33e+08,3.573e+09,-9.85e+08,2.588e+09,1.1e+07,1.1e+07,2.599e+09,-9e+06,2.59e+09,2.59e+09,3.3679e+10,2.052e+09,3.1627e+10,1.1371e+10,1.1371e+10,6.482e+09,7.968e+09,7.835e+09,5.95e+10,1.2359e+10,1.5731e+10,8.7931e+10,4.0549e+10,4.24e+10,4.982e+09,1.16021e+11,1.75521e+11,4.84e+09,2.287e+09,1e+06,2.552e+09,4.738e+09,1.0795e+10,1.0774e+10,2.0373e+10,3.1812e+10,4.4982e+10,1.1011e+10,7.588e+09,3.423e+09,2.2432e+10,1.1539e+10,7.6794e+10,9.7167e+10,7.7208e+10,-6.3272e+10,7.0381e+10,-6.383e+09,7.7969e+10,3.85e+08,7.8354e+10,1.75521e+11,2.599e+09,2.599e+09,1.521e+09,1.065e+09,7.15e+08,5.9e+09,-3.28e+08,-3.28e+08,-2.78e+08,-3.513e+09,3.238e+09,-6.03e+08,-1.59e+09,-4.76e+08,-6e+06,-5.631e+09,-3.34e+08,-3.34e+08,-5e+07,-3.84e+08,5.738e+09,3.655e+10,7.11e+09,0.81911,0.33354,0.20486,0.03306,0.01476,2.74517,2.92053,1.2401,0.20824,0.37322,0.36919,1.82188,11.23043,1.02456,0.22912,6,0.02614,0.04447,0.6139,0.50035,0.68082
"16","2014_Q1",21.817868852459,"Up",1.3558e+10,-2.794e+09,1.0764e+10,-7.086e+09,-4.152e+09,-1.811e+09,-1.123e+09,3.678e+09,18000000.0000002,18000000.0000002,3.696e+09,-6.35e+08,3.061e+09,-4.3e+08,2.631e+09,-57000000.0000019,-57000000.0000019,2.574e+09,-6e+06,2.568e+09,2.568e+09,3.2408e+10,2.183e+09,3.0225e+10,9.357e+09,9.357e+09,6.166e+09,8.313e+09,8.313e+09,5.6244e+10,1.2397e+10,1.6406e+10,8.7054e+10,3.9385e+10,4.2519e+10,1.554e+09,1.15857e+11,1.72101e+11,7.367e+09,3.234e+09,1.663e+09,2.47e+09,6.027e+09,9.972e+09,9.972e+09,2.3366e+10,3.0462e+10,4.1653e+10,7.303e+09,4.635e+09,2.668e+09,2.559e+10,8.76e+09,7.2115e+10,9.5481e+10,7.7736e+10,-6.7923e+10,6.9732e+10,-3.271e+09,7.6307e+10,3.13e+08,7.662e+10,1.72101e+11,2.574e+09,2.574e+09,1.489e+09,2.9e+08,1.371e+09,5.724e+09,-4.99e+08,-4.99e+08,-4.17e+08,-2.274e+09,2.915e+09,1.42e+08,-1.554e+09,3.6e+07,4.1e+07,-5.744e+09,1.22e+08,1.22e+08,9e+06,1.31e+08,5.167e+09,3.6489e+10,6.469e+09,0.79392,0.27128,0.18941,0.03352,0.01492,2.51908,2.40709,1.24616,0.21202,0.37845,0.37266,1.99804,11.24048,0.95334,0.22901,6,0.02663,0.0418,0.60514,0.78982,1.10957
"17","2014_Q2",21.0363492063492,"Down",1.1353e+10,-2.045e+09,9.308e+09,-5.78e+09,-3.04e+09,-1.623e+09,-1.117e+09,3.528e+09,-6.23e+08,-6.23e+08,2.905e+09,-5.8e+07,2.847e+09,-5.82e+08,2.265e+09,7.3e+07,7.3e+07,2.338e+09,-9e+06,2.329e+09,2.329e+09,3.3881e+10,2.862e+09,3.1019e+10,9.399e+09,9.399e+09,6.066e+09,8.447e+09,8.447e+09,5.7793e+10,1.2347e+10,1.5822e+10,8.5846e+10,3.8122e+10,4.2467e+10,1.498e+09,1.14015e+11,1.71808e+11,5.156e+09,2.546e+09,1e+06,2.609e+09,9.319e+09,1.0315e+10,1.0315e+10,2.479e+10,2.7649e+10,4.1301e+10,7.178e+09,4.533e+09,2.645e+09,2.5923e+10,8.2e+09,6.895e+10,9.374e+10,7.8303e+10,-6.9204e+10,7.2028e+10,-3.39e+09,7.7769e+10,2.99e+08,7.8068e+10,1.71808e+11,2.338e+09,2.338e+09,1.456e+09,2.32e+08,-1.091e+09,2.935e+09,-2.98e+08,-2.98e+08,-2.92e+08,-1.808e+09,2.008e+09,-9.8e+07,-1.662e+09,2.76e+08,2.5e+07,-2.133e+09,7.04e+08,7.04e+08,-2.5e+07,6.79e+08,4.984e+09,3.6968e+10,4.177e+09,0.81987,0.31075,0.20514,0.02983,0.01356,1.79347,2.3313,1.20075,0.21517,0.34586,0.34121,1.68592,11.54395,0.62028,0.24681,6,0.02553,0.02672,0.71361,0.61938,0.875
"18","2014_Q3",20.915,"Down",1.2773e+10,-2.462e+09,1.0311e+10,-6.28e+09,-3.52e+09,-1.759e+09,-1.001e+09,4.031e+09,53000000.0000001,53000000.0000001,4.084e+09,-80999999.9999999,4.003e+09,-1.082e+09,2.921e+09,0,0,2.921e+09,-9e+06,2.912e+09,2.912e+09,3.4054e+10,3.406e+09,3.0648e+10,1.0388e+10,1.0388e+10,6.249e+09,7.596e+09,7.596e+09,5.8287e+10,1.2179e+10,1.7168e+10,8.4978e+10,3.736e+10,4.2661e+10,1.383e+09,1.14325e+11,1.72612e+11,7.031e+09,2.99e+09,1.65e+09,2.391e+09,5.561e+09,9.346e+09,9.346e+09,2.1938e+10,3.2267e+10,4.1451e+10,7.104e+09,4.483e+09,2.621e+09,2.6309e+10,8.038e+09,7.3718e+10,9.5656e+10,7.8662e+10,-7.0535e+10,7.1627e+10,-3.152e+09,7.6633e+10,3.23e+08,7.6956e+10,1.72612e+11,2.921e+09,2.921e+09,1.424e+09,6e+08,-8.58e+08,4.087e+09,-3.28e+08,-3.28e+08,-2.78e+08,-3.519e+09,2.34e+09,-1.507e+09,-1.658e+09,7.65e+08,1.8e+07,-2.04e+09,5.4e+08,5.4e+08,3999999.99999999,5.44e+08,5.455e+09,3.7828e+10,5.351e+09,0.80725,0.31559,0.22798,0.03784,0.01687,1.83757,2.6569,1.243,0.21915,0.43386,0.42874,1.90305,11.41291,0.79724,0.24702,6,0.02925,0.03425,0.56937,0.69184,0.93624
"19","2014_Q4",21.5415625,"Up",1.2361e+10,-2.368e+09,9.993e+09,-6.33e+09,-3.556e+09,-1.802e+09,-9.72e+08,3.663e+09,-9.5e+07,-9.5e+07,3.568e+09,1.9e+07,3.587e+09,-9.11e+08,2.676e+09,-3e+06,-3e+06,2.673e+09,-7e+06,2.666e+09,2.666e+09,3.3446e+10,2.437e+09,3.1009e+10,9.955e+09,9.955e+09,6.355e+09,7.232e+09,7.232e+09,5.6988e+10,1.2032e+10,1.8451e+10,8.3892e+10,3.6374e+10,4.2724e+10,1.373e+09,1.14375e+11,1.71363e+11,5.706e+09,2.973e+09,0,2.733e+09,5.389e+09,8.824e+09,8.824e+09,1.9919e+10,3.1666e+10,4.1471e+10,6.955e+09,4.364e+09,2.591e+09,2.632e+10,8.196e+09,7.3137e+10,9.3056e+10,7.8953e+10,-7.182e+10,7.4292e+10,-3.467e+09,7.7988e+10,3.17e+08,7.8305e+10,1.71361e+11,2.673e+09,2.673e+09,1.326e+09,3.5e+07,4.3e+08,4.464e+09,-5.61e+08,-5.61e+08,-2.75e+08,-3.927e+09,2.148e+09,-2.535e+09,-1.65e+09,-8.9e+07,1.3e+07,-2.886e+09,-9.57e+08,-9.57e+08,-9e+06,-9.66e+08,4.989e+09,3.7055e+10,5.769e+09,0.80843,0.29634,0.21568,0.03405,0.01556,2.16392,2.86099,1.18838,0.21624,0.39959,0.39504,1.85272,11.68467,0.86468,0.24731,6,0.02752,0.03678,0.6189,0.72339,0.98526
"20","2015_Q1",24.0980327868852,"Up",1.3118e+10,-2.702e+09,1.0416e+10,-8.139e+09,-3.981e+09,-3.209e+09,-9.49e+08,2.277e+09,-3.44e+08,-3.44e+08,1.933e+09,-1.3e+08,1.803e+09,-5.45e+08,1.258e+09,-2.1e+07,-2.1e+07,1.237e+09,-7e+06,1.23e+09,1.23e+09,3.6122e+10,3.343e+09,3.2779e+10,8.401e+09,8.401e+09,5.663e+09,5.409e+09,5.409e+09,5.5595e+10,1.1762e+10,1.7518e+10,8.2692e+10,3.5166e+10,4.2069e+10,1.944e+09,1.11972e+11,1.67567e+11,7.293e+09,3.21e+09,1.711e+09,2.372e+09,5.141e+09,9.153e+09,9.153e+09,2.1587e+10,3.1541e+10,4.2817e+10,1.0264e+10,7.885e+09,2.379e+09,2.3317e+10,9.236e+09,7.4358e+10,9.5945e+10,7.9432e+10,-7.3021e+10,7.2176e+10,-7.316e+09,7.13e+10,3.21e+08,7.1621e+10,1.67566e+11,1.236e+09,1.236e+09,1.331e+09,-1.13e+08,3.142e+09,5.596e+09,-3.96e+08,-3.96e+08,-3.54e+08,-1.464e+09,3.46e+08,-1.514e+09,-1.639e+09,-4.09e+08,-1.79e+08,-3.128e+09,9.54e+08,9.54e+08,-5.3e+07,9.01e+08,3.608e+09,3.6682e+10,6.899e+09,0.79402,0.17358,0.09376,0.01717,0.00734,5.60894,2.57539,1.33962,0.21891,0.18532,0.18311,1.97648,10.73837,1.03947,0.24695,7,0.01898,0.04565,1.33252,0.15521,0.24594
"21","2015_Q2",24.9057142857143,"Up",1.0864e+10,-1.838e+09,9.026e+09,-5.929e+09,-3.104e+09,-1.885e+09,-9.4e+08,3.097e+09,4.6e+07,4.6e+07,3.143e+09,-6e+07,3.083e+09,-7.06e+08,2.377e+09,5e+06,5e+06,2.382e+09,-6e+06,2.376e+09,2.376e+09,2.7708e+10,3.563e+09,2.4145e+10,8.92e+09,8.92e+09,5.786e+09,7.029e+09,7.029e+09,4.9443e+10,1.1527e+10,1.8289e+10,8.1381e+10,3.4334e+10,4.1854e+10,1.477e+09,1.11197e+11,1.6064e+11,5.347e+09,2.724e+09,0,2.623e+09,6.555e+09,8.32e+09,8.32e+09,2.0222e+10,2.937e+10,4.3462e+10,9.051e+09,6.571e+09,2.48e+09,2.4474e+10,9.937e+09,7.2832e+10,9.3054e+10,8.0462e+10,-7.91e+10,7.4471e+10,-8.557e+09,6.7304e+10,2.83e+08,6.7587e+10,1.60641e+11,2.381e+09,2.381e+09,1.26e+09,-1.078e+09,-1.883e+09,6.8e+08,-2.46e+08,-2.46e+08,-2.39e+08,-3.15e+09,1.0666e+10,6.592e+09,-1.758e+09,-1.36e+08,1.22e+08,-6.978e+09,2.94e+08,2.94e+08,-7.4e+07,2.2e+08,4.357e+09,3.5925e+10,2.934e+09,0.83082,0.28507,0.2187,0.03515,0.01479,1.23485,2.44501,1.3768,0.22364,0.36342,0.35828,1.66168,10.29006,0.44876,0.26889,7,0.02813,0.01996,0.7399,1.88593,2.65321
"22","2015_Q3",24.6990625,"Down",1.1853e+10,-2.18e+09,9.673e+09,-5.993e+09,-3.387e+09,-1.735e+09,-8.71e+08,3.68e+09,-5.5e+07,-5.5e+07,3.625e+09,-8.6e+07,3.539e+09,-9.04e+08,2.635e+09,1e+06,1e+06,2.636e+09,-8e+06,2.628e+09,2.628e+09,3.0256e+10,3.67e+09,2.6586e+10,8.951e+09,8.951e+09,5.796e+09,6.712e+09,6.712e+09,5.1715e+10,1.1432e+10,1.765e+10,8.008e+10,3.3424e+10,4.1571e+10,1.45e+09,1.09162e+11,1.60877e+11,7.359e+09,2.93e+09,1.726e+09,2.703e+09,8.394e+09,8.39e+09,8.39e+09,2.4143e+10,2.6729e+10,4.2826e+10,8.498e+09,6.529e+09,1.969e+09,2.4659e+10,9.669e+09,6.9555e+10,9.3698e+10,8.0865e+10,-7.9098e+10,7.362e+10,-8.521e+09,6.6894e+10,2.86e+08,6.718e+10,1.60878e+11,2.636e+09,2.636e+09,1.201e+09,2.48e+08,4e+06,4.089e+09,-2.63e+08,-2.63e+08,-2.58e+08,-2.272e+09,432000000.000002,-2.104e+09,-1.725e+09,-3.67e+08,3.2e+07,-1.873e+09,1.12e+08,1.12e+08,-4e+06,1.08e+08,4.881e+09,3.5123e+10,5.526e+09,0.81608,0.31047,0.22172,0.03912,0.01634,2.10274,2.14203,1.39473,0.21832,0.40483,0.39938,1.8259,10.30041,0.85126,0.26573,6,0.02999,0.03808,0.65639,0.99713,1.32255
"23","2015_Q4",24.42875,"Down",1.2087e+10,-2.22e+09,9.867e+09,-5.929e+09,-3.27e+09,-1.722e+09,-9.37e+08,3.938e+09,-6.61e+08,-6.61e+08,3.277e+09,-5.81e+08,2.696e+09,-5.68e+08,2.128e+09,8e+06,8e+06,2.136e+09,-9e+06,2.127e+09,2.127e+09,2.0658e+10,3.099e+09,1.7559e+10,9.535e+09,9.535e+09,7.678e+09,7.131e+09,7.131e+09,4.5002e+10,1.3695e+10,1.6233e+10,9.5937e+10,4.3297e+10,4.7217e+10,1.512e+09,1.25865e+11,1.70867e+11,8.355e+09,3.294e+09,1.728e+09,3.333e+09,9.818e+09,9.672e+09,9.672e+09,2.7845e+10,2.9079e+10,4.6818e+10,8.725e+09,6.745e+09,1.98e+09,2.8654e+10,9.439e+09,7.5897e+10,1.03742e+11,8.1222e+10,-7.9259e+10,7.4019e+10,-9.17e+09,6.6839e+10,2.86e+08,6.7125e+10,1.70867e+11,2.138e+09,2.138e+09,1.272e+09,1.029e+09,5.91e+08,5.03e+09,-3.25e+08,-3.25e+08,-2.89e+08,-1.156e+09,1.1881e+10,-5.243e+09,-1.728e+09,1.414e+09,1.7e+07,-2.73e+08,-4.86e+08,-4.86e+08,-8.4e+07,-5.7e+08,5.21e+09,3.8897e+10,6.044e+09,0.81633,0.3258,0.17597,0.03169,0.01245,2.84156,1.61616,1.5455,0.22764,0.32718,0.32325,1.85923,10.27707,0.92969,0.2658,6,0.02522,0.03954,0.81241,3.50077,4.63154
"24","2016_Q1",22.3959016393443,"Down",1.4047e+10,-3.41e+09,1.0637e+10,-8.376e+09,-5.048e+09,-2.348e+09,-9.8e+08,2.261e+09,-2.19e+09,-2.19e+09,7.1e+07,-4.25e+08,-3.54e+08,1.88e+08,-1.66e+08,-3e+06,-3e+06,-1.69e+08,-3e+06,-1.72e+08,-1.72e+08,2.329e+10,3.641e+09,1.9649e+10,8.176e+09,8.176e+09,7.513e+09,4.825e+09,4.816e+09,4.3804e+10,1.3766e+10,1.5999e+10,9.3812e+10,4.0356e+10,4.8242e+10,1.794e+09,1.23577e+11,1.67381e+11,8.249e+09,3.62e+09,1.852e+09,2.777e+09,1.0159e+10,1.099e+10,1.099e+10,2.9398e+10,2.874e+10,4.4245e+10,8.119e+09,6.31e+09,1.809e+09,2.6877e+10,9.249e+09,7.2985e+10,1.02383e+11,8.1475e+10,-7.9252e+10,7.1993e+10,-9.522e+09,6.472e+10,2.78e+08,6.4998e+10,1.67381e+11,-1.69e+08,-1.69e+08,1.424e+09,1.606e+09,2.029e+09,4.89e+09,-6.62e+08,-6.62e+08,-6.11e+08,-2.964e+09,1.545e+09,-2.225e+09,-1.729e+09,4.08e+08,-6.2e+07,-1.285e+09,1.38e+09,1.38e+09,-8.38e+08,5.42e+08,3.685e+09,3.8899e+10,4.864e+09,0.75724,0.16096,-0.01224,-0.00265,-0.00103,-28.27907,1.49003,1.57517,0.2324,-0.0264300000000001,-0.02611,2.15862,9.94161,0.74746,0.2657,5,0.01051,0.03283,-10.05233,4.23582,6.90358
"25","2016_Q2",25.24296875,"Up",1.3005e+10,-2.851e+09,1.0154e+10,-6.122e+09,-3.385e+09,-1.731e+09,-1.006e+09,4.032e+09,-3.3e+08,-3.3e+08,3.702e+09,-1.41e+08,3.561e+09,-5.13e+08,3.048e+09,-2737672.3903737,-2737672.3903737,3.048e+09,-9e+06,3.039e+09,3.039e+09,1.9443e+10,2.561e+09,1.6882e+10,9.033e+09,9.033e+09,7.578e+09,5.243e+09,5.243e+09,4.1297e+10,1.3584e+10,1.4146e+10,9.3901e+10,3.9602e+10,4.8558e+10,1.738e+09,1.21631e+11,1.62928e+11,5.77e+09,3.125e+09,0,2.645e+09,1.1546e+10,1.1419e+10,1.1419e+10,2.8735e+10,2.7824e+10,4.3024e+10,7.244e+09,5.264e+09,1.98e+09,2.6547e+10,9.233e+09,7.0848e+10,9.9583e+10,8.1903e+10,-8.4313e+10,7.4971e+10,-9.52e+09,6.3067e+10,2.79e+08,6.3346e+10,1.62929e+11,3.048e+09,3.048e+09,1.425e+09,-5.39e+08,-2.125e+09,1.809e+09,-3.01e+08,-3.01e+08,-3.01e+08,-1.308e+09,6.074e+09,4.355e+09,-1.854e+09,-4.8e+08,-1.32e+08,-7.17e+09,-1.006e+09,-1.006e+09,-7.3e+07,-1.079e+09,5.457e+09,3.937e+10,3.544e+09,0.78078,0.31003,0.23368,0.04797,0.01865,1.16617,1.43717,1.57205,0.24164,0.46883,0.464,2.00629,9.7254,0.54674,0.28602,6,0.03357,0.02432,0.61007,3.65164,4.94221
"26","2016_Q3",26.69234375,"Up",1.3147e+10,-3.175e+09,9.972e+09,-6.178e+09,-3.471e+09,-1.747e+09,-9.6e+08,3.794e+09,-1.068e+09,-1.068e+09,2.726e+09,-3.16e+08,2.41e+09,-3.48e+08,2.062e+09,1000000.00000001,1000000.00000001,2.063e+09,-1.6e+07,2.047e+09,2.047e+09,2.0942e+10,3.411e+09,1.7531e+10,9.138e+09,9.138e+09,7.614e+09,6.15e+09,6.15e+09,4.3844e+10,1.3609e+10,1.3124e+10,1.00079e+11,4.3056e+10,5.06e+10,1.805e+09,1.26812e+11,1.70656e+11,7.322e+09,3.261e+09,1.82e+09,2.241e+09,1.3724e+10,1.1053e+10,1.1053e+10,3.2099e+10,3.0457e+10,4.5035e+10,7.101e+09,5.224e+09,1.877e+09,2.83e+10,9.634e+09,7.5492e+10,1.07591e+11,8.2599e+10,-8.4313e+10,7.335e+10,-8.891e+09,6.277e+10,2.97e+08,6.3067e+10,1.70658e+11,2.063e+09,2.063e+09,1.387e+09,1.212e+09,-1.057e+09,3.605e+09,-4.97e+08,-4.97e+08,-4.01e+08,-1.818e+09,2.143e+09,-4.678e+09,-1.821e+09,3.392e+09,-5.4e+07,1.917e+09,8.44e+08,8.44e+08,5e+06,8.49e+08,5.181e+09,4.4181e+10,3.975e+09,0.7585,0.28858,0.1557,0.03246,0.01199,1.94187,1.3659,1.70598,0.25889,0.32006,0.31646,2.05561,9.81054,0.62151,0.28472,5,0.0254,0.0261,0.88959,4.48543,6.1252
