"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"14","2013_Q3",11.00515625,"Up",239899000,-160226000,79673000,-69180000,-69180000,10493000,-418000,-418000,10075000,10075000,-3971000,6104000,6104000,6104000,6104000,5903000,5903000,14305000,14305000,293582000,21053000,10572000,334843000,69664000,21849000,14164000,3252000,91513000,426356000,169406000,113309000,56097000,171202000,29508000,29508000,76646000,247848000,107762000,-25940000,96686000,178508000,178508000,426356000,6104000,4927000,-1122000,479000,-1601000,-23284000,-13375000,-3521000,-3521000,-2183000,15681000,1082000,17442000,546000,546000,546000,15420000,48934000,-7414000,0.33211,0.04374,0.02544,0.03419,0.01432,-1.21461,1.95584,1.38844,0.11477,0.28112,0.27683,11.04863,8.22125,-0.34145,0.10054,5,0.03225,-0.02885,0.35763,2.7906,4.10092
"15","2013_Q4",9.9990625,"Down",259121000,-171331000,87790000,-72432000,-72432000,15358000,-395000,-395000,14963000,14963000,-5825000,9138000,9138000,9138000,9138000,4931000,4931000,11398000,11398000,287939000,19748000,9052000,324016000,73111000,21929000,14241000,3255000,95040000,419056000,160608000,96562000,64046000,162322000,29626000,29626000,69450000,231772000,109620000,-25940000,103604000,187284000,187284000,419056000,9138000,5151000,-30000,466000,-496000,512000,14771000,-5857000,-5857000,-2202000,-9142000,339000,-9886000,-972000,-972000,-972000,20509000,41538000,20989000,0.3388,0.05927,0.03527,0.04879,0.02181,2.29689,1.99613,1.23754,0.09912,0.41661,0.41118,11.81367,8.53852,0.95692,0.10039,8,0.04388,0.08121,0.24097,1.78492,2.38358
"16","2014_Q1",9.45409836065574,"Down",248037000,-167235000,80802000,-71773000,-71773000,9029000,-479000,-479000,8550000,8550000,-3360000,5190000,5190000,5190000,5190000,9400000,9400000,16301000,16301000,300952000,18356000,6356000,345009000,75608000,21271000,13564000,3274000,96879000,441888000,174749000,104826000,69923000,176316000,30189000,30189000,74802000,251118000,110145000,-25940000,106565000,190770000,190770000,441888000,5190000,5302000,-105000,483000,-588000,-9279000,1108000,-9438000,-9438000,-2196000,15073000,-139000,12799000,4469000,4469000,4469000,14331000,46180000,-1026000,0.32577,0.0364,0.02092,0.02721,0.01175,-0.19769,1.95677,1.31634,0.10451,0.23634,0.23341,11.29495,8.68716,-0.0467200000000001,0.1,6,0.02765,-0.00384,0.42312,2.56646,4.07354
"17","2014_Q2",7.47634920634921,"Down",231263000,-158585000,72678000,-68904000,-68904000,3774000,-434000,-434000,3340000,3340000,-1280000,2060000,2060000,2060000,2060000,5902000,5902000,9860000,9860000,294071000,24843000,14690000,334676000,73564000,20973000,13348000,3192000,94537000,429213000,152932000,96334000,56598000,154318000,29688000,29688000,85336000,239654000,109529000,-26365000,106395000,189559000,189559000,429213000,2060000,5226000,2442000,512000,1930000,-6327000,3401000,-3810000,-3810000,-2311000,105000,-632000,-3089000,-3498000,-3498000,-3498000,9e+06,57034000,143000,0.31427,0.01632,0.00891,0.01087,0.0048,0.06942,2.16874,1.26427,0.13288,0.09372,0.09266,10.52152,8.62416,0.00651,0.10514,4,0.01582,0.00052,1.12184,5.68133,13.54849
"18","2014_Q3",6.166875,"Down",231150000,-155577000,75573000,-71146000,-71146000,4427000,-371000,-371000,4056000,4056000,-1521000,2535000,2535000,2535000,2535000,6230000,6230000,10999000,10999000,324940000,23083000,13198000,365252000,72453000,22849000,14682000,3734000,95302000,460554000,170111000,114413000,55698000,171487000,29887000,29887000,99470000,270957000,110049000,-27144000,106692000,189597000,189597000,460554000,2535000,5308000,203000,473000,-270000,-13651000,-5605000,-4975000,-4875000,-2195000,13897000,4000,10808000,327999.999999999,327999.999999999,327999.999999999,9735000,70959000,-7370000,0.32694,0.01915,0.01097,0.01337,0.0055,-2.9073,2.12991,1.42912,0.15407,0.11531,0.11437,10.51447,8.62432,-0.33524,0.09985,2,0.01629,-0.02538,0.86588,6.6491,14.62141
"19","2014_Q4",7.15671875,"Up",265115000,-179055000,86060000,-73842000,-73842000,12218000,-386000,-386000,11832000,11832000,-4366000,7466000,7466000,7466000,7466000,5641000,5641000,9381000,9381000,307526000,16014000,6159000,338562000,75524000,23309000,15671000,3205000,98833000,437395000,155233000,93857000,61376000,156568000,30022000,30022000,86775000,243343000,110429000,-28304000,111927000,194052000,194052000,437395000,7466000,5413000,-452000,466000,-918000,14859000,27286000,-5942000,-5942000,-2198000,-18605000,3000,-21933000,-589000,-589000,-589000,17631000,58088000,30914000,0.32461,0.04609,0.02816,0.03847,0.01707,4.14064,2.1624,1.25401,0.1328,0.34048,0.33794,12.09025,8.84951,1.4098,0.10024,5,0.03425,0.10956,0.2944,2.9747,4.2926
"20","2015_Q1",7.51934426229508,"Up",250332000,-171194000,79138000,-74382000,-74382000,4756000,-476000,-476000,4280000,4280000,-1465000,2815000,2815000,2815000,2815000,11503000,11503000,15680000,15680000,310088000,20383000,9358000,357654000,78440000,19482000,12792000,2257000,97922000,455576000,162768000,92369000,70399000,163965000,29140000,29140000,96607000,260572000,110952000,-28469000,112521000,195004000,195004000,455576000,2815000,5558000,2625000,473000,2152000,-7545000,3453000,-7838000,-7838000,-2184000,12547000,10000,10247000,5862000,5862000,5862000,10314000,68664000,-3604000.00000001,0.31613,0.019,0.01125,0.01444,0.00618,-1.28028,2.18128,1.33624,0.15072,0.12889,0.1277,11.46209,8.92875,-0.16502,0.1,5,0.01707,-0.01231,0.77584,5.54208,12.01871
"21","2015_Q2",8.19857142857143,"Up",243555000,-166871000,76684000,-72462000,-72462000,4222000,-403000,-403000,3819000,3819000,-1505000,2314000,2314000,2314000,2314000,6299000,6299000,10787000,10787000,305083000,18780000,8341000,340949000,78063000,20011000,13266000,2312000,98074000,439023000,158537000,96616000,61921000,159650000,28842000,28842000,85293000,244943000,110866000,-29411000,112625000,194080000,194080000,439023000,2314000,5426000,577000,508000,69000,11192000,19509000,-7004000,-7004000,-2296000,-13889000,-598000,-17709000,-5204000,-5204000,-5204000,9648000,57564000,15341000,0.31485,0.01733,0.0095,0.01192,0.00527,6.62965,2.1356,1.26207,0.13112,0.1061,0.10519,11.16764,8.89908,0.70343,0.10528,8,0.01644,0.05469,0.99222,5.31354,12.14235
"22","2015_Q3",7.2,"Down",240407000,-163131000,77276000,-72653000,-72653000,4623000,-412000,-412000,4211000,4211000,-1633000,2578000,2578000,2578000,2578000,6790000,6790000,11838000,11838000,336567000,16039000,5910000,371234000,81680000,21097000,14358000,2306000,102777000,474011000,174906000,116182000,58724000,176520000,29315000,29315000,102759000,279279000,111409000,-29662000,112985000,194732000,194732000,474011000,2578000,5511000,-253000,502000,-755000,-18813000,-10977000,-5869000,-5869000,-2188000,19726000,17000.0000000001,17337000,491000,491000,491000,10134000,75058000,-12915000,0.32144,0.01923,0.01072,0.01324,0.00544,-5.0097,2.10307,1.43417,0.15835,0.11807,0.11705,11.01017,8.91834,-0.59148,0.10021,2,0.01593,-0.04318,0.84872,6.73653,14.76703
"23","2015_Q4",5.92515625,"Down",270130000,-184965000,85165000,-74870000,-74870000,10295000,-438000,-438000,9857000,9857000,-3727000,6130000,6130000,6130000,6130000,5831000,5831000,8660000,8660000,318359000,17159000,5903000,350009000,82709000,21273000,14670000,2170000,103982000,453991000,159009000,92217000,66792000,160494000,28538000,28538000,96421000,256915000,111825000,-31664000,116915000,197076000,197076000,453991000,6130000,5285000,-812000,589000,-1401000,6207000,16810000,-5129000,-5129000,-2165000,-8513000,6000,-12640000,-959000,-959000,-959000,15580000,69368000,20385000,0.31527,0.03811,0.02269,0.0311,0.0135,3.32545,2.18082,1.30363,0.1528,0.28211,0.27982,12.43177,9.06972,0.93815,0.09964,5,0.02812,0.06911,0.35318,4.07811,6.17164
"24","2016_Q1",7.11016393442623,"Up",275006000,-189167000,85839000,-78440000,-78440000,7399000,-538000,-538000,6861000,6861000,-2586000,4275000,4275000,4275000,4275000,7119000,7119000,14180000,14180000,299446000,12185000,12185000,332930000,82036000,30063000,23402000,2228000,112099000,445029000,159485000,89961000,69524000,160920000,28040000,28040000,85278000,246198000,112482000,-32649000,118998000,198831000,198831000,445029000,4275000,5188000,3370000,636000,2734000,1470000,14303000,-6565000,-6565000,-2159000,-3397000,27000,-6450000,1288000,1288000,1288000,12587000,58673000,10078000,0.31214,0.0269,0.01555,0.0215,0.00961,2.35743,2.06892,1.23823,0.13184,0.198,0.19631,12.73707,9.20898,0.46677,0.1,7,0.02253,0.03529,0.50503,4.09581,6.96769999999999
"25","2016_Q2",6.01578125,"Down",234528000,-163563000,70965000,-71219000,-71219000,-254000,-452000,-452000,-706000,-706000,-413000,-1119000,-1119000,-1119000,-1119000,6446000,6446000,12271000,12271000,286431000,12924000,12924000,318072000,80765000,27576000,20839000,2304000,108341000,426413000,144124000,85475000,58649000,145466000,27536000,27536000,86200000,231666000,112293000,-32686000,115140000,194747000,194747000,426413000,-1119000,4686000,3194000,639000,2555000,2881000,9642000,-3162000,-3162000,-2824000,-3737000,-562000,-7153000,-673000,-673000,-673000,4432000,60006000,4564000,0.30259,-0.00108,-0.00477,-0.00575,-0.00262,-4.07864,2.18657,1.18957,0.14072,-0.05185,-0.05185,10.86633,9.02317,0.21146,0.13084,4,0.00604,0.01617,-2.52368,12.08484,-210.86614
"26","2016_Q3",7.6465625,"Up",241409000,-165152000,76257000,-72259000,-72259000,3998000,-429000,-429000,3569000,3569000,-1445000,2124000,2124000,2124000,2124000,8145000,8145000,13314000,13314000,304535000,13967000,13967000,339961000,79180000,28170000,21551000,2186000,107350000,447311000,164719000,104730000,59989000,165958000,27396000,27396000,86609000,252567000,112917000,-32686000,114513000,194744000,194744000,447311000,2124000,4636000,-44000,624000,-668000,44000,6760000,-3651000,-3651000,-2711000,1300000,1000,-1410000,1699000,1699000,1699000,8634000,60452000,6472000,0.31588,0.01656,0.0088,0.01091,0.00475,3.04708,2.04848,1.29692,0.13515,0.09813,0.09661,11.15311,8.99718,0.29901,0.12525,6,0.01711,0.0229,1.27637,6.05826,13.08329
"27","2016_Q4",11.0568253968254,"Up",279015000,-189126000,89889000,-76296000,-76296000,13593000,-323000,-323000,13270000,13270000,-5083000,8187000,8187000,8187000,8187000,5479000,5479000,8934000,8934000,289838000,9895000,9895000,314146000,79402000,28368000,21676000,2259000,107770000,421916000,168801000,105025000,63776000,170184000,27352000,27352000,52540000,222724000,113484000,-34259000,119967000,199192000,199192000,421916000,8187000,4967000,441000,527000,-86000,25040000,38635000,-3402000,-3402000,-2694000,-33677000,5000,-37899000,-2666000,-2666000,-2666000,18560000,26571000,45281000,0.32217,0.04872,0.02934,0.0411,0.0194,5.53084,1.84592,1.11814,0.06298,0.37915,0.37552,12.92155,9.22484,2.09702,0.12476,8,0.04299,0.17889,0.32906,1.13642,1.55168
"28","2017_Q1",9.63951612903226,"Down",266283000,-178936000,87347000,-75197000,-75197000,12150000,-347000,-347000,11803000,11803000,-4109000,7694000,7694000,7694000,7694000,7895000,7895000,12200000,12200000,294319000,10085000,10085000,324499000,78420000,30660000,23699000,2528000,109080000,433579000,186201000,109314000,76887000,187527000,29016000,29016000,41015000,228542000,115045000,-34371000,124363000,205037000,205037000,433579000,7694000,4841000,-1822000,529000,-2351000,7921000,18634000,-3894000,-3894000,-3249000,-10367000,372000,-12324000,2416000,2416000,2416000,16991000,13325000,25127000,0.32802,0.04563,0.02889,0.03752,0.01775,3.26579,1.73041,1.11464,0.03073,0.35609,0.35142,12.32392,9.48938,1.16291,0.15037,6,0.04424,0.10157,0.42228,0.31958,0.446909999999998
"29","2017_Q2",9.19095238095238,"Down",252604000,-168982000,83622000,-74644000,-74644000,8978000,-268000,-268000,8710000,8710000,-3384000,5326000,5326000,5326000,5326000,5909000,5909000,10484000,10484000,296529000,9811000,9811000,322733000,77013000,28906000,21913000,2560000,105919000,428652000,168547000,101584000,66963000,169923000,28159000,28159000,51925000,221848000,114838000,-34424000,126390000,206804000,206804000,428652000,5326000,4743000,2414000,584000,1830000,-13560000,-1077000,-4369000,-4369000,-3391000,7695000,-805000,3460000,-1986000,-1986000,-1986000,13721000,25142000,-824000,0.33104,0.03554,0.02108,0.02575,0.01242,-0.15471,1.89929,1.07275,0.05865,0.24563,0.24302,11.64986,9.53761,-0.038,0.15639,5,0.03351,-0.00317,0.63669,1.40172,2.14224
"30","2017_Q3",6.00285714285714,"Down",243671000,-164363000,79308000,-74188000,-74188000,5120000,-380000,-380000,4740000,4740000,-1962000,2778000,2778000,2778000,2778000,6628000,6628000,12125000,12125000,328716000,11531000,11531000,3.59e+08,77438000,28729000,21640000,2656000,106167000,465167000,178280000,116433000,61847000,179978000,27597000,27597000,78407000,258385000,115438000,-34507000,125851000,206782000,206782000,465167000,2778000,4730000,902999.999999999,586000,317000,-26736000,-18325000,-2784000,-2784000,-3271000,25168000,0,21828000,719000.000000002,719000.000000002,719000.000000002,9850000,52508000,-17708000,0.32547,0.02101,0.0114,0.01343,0.00597,-6.37437,1.99469,1.24955,0.11288,0.12774,0.12668,11.20481,9.50853,-0.81427,0.15041,6,0.02108,-0.06172,1.17747,4.65787,8.96094
"31","2017_Q4",4.77063492063492,"Down",270471000,-182923000,87548000,-77358000,-77358000,10190000,-447000,-447000,9743000,9743000,-3793000,5950000,5950000,5950000,5950000,5344000,5344000,8601000,8601000,309331000,11513000,11513000,334789000,77694000,28911000,21559000,2919000,106605000,441394000,159620000,93585000,66035000,161402000,27072000,27072000,76506000,237908000,116193000,-41275000,128568000,203486000,203486000,441394000,5950000,4851000,703000,580000,123000,2347000,13851000,-4221000,-4221000,-3178000,-1288000,206000,-10914000,-1284000,-1284000,-1284000,15041000,51216000,16960000,0.32369,0.03768,0.022,0.02924,0.01348,2.85042,2.07426,1.16916,0.11603,0.27905,0.27791,12.68507,9.54348,0.79542,0.14905,6,0.03239,0.06019,0.53412,3.0498,4.50167
"32","2018_Q1",4.26786885245902,"Down",242889000,-170035000,72854000,-80800000,-80800000,-7946000,-549000,-549000,-8495000,-8495000,-4455000,-12950000,-12950000,-12950000,-12950000,7170000,7170000,10886000,10886000,313905000,18930000,18930000,350891000,77265000,16904000,14172000,2732000,94169000,445060000,181966000,113740000,68226000,183720000,26471000,26471000,74271000,257991000,116744000,-42099000,112424000,187069000,187069000,445060000,-12950000,4898000,12997000,551000,12446000,-3778000,1167000,-5088000,-5088000,-3145000,10109000,-318000,5747000,1826000,1826000,1826000,-3048000,49554000,-7458999.99999999,0.29995,-0.03271,-0.05332,-0.06923,-0.0291,0.575979999999998,1.90992,1.37912,0.11134,-0.61655,-0.61421,11.56394,8.90635,-0.35512,0.14973,4,-0.03727,-0.02835,-0.24286,-13.90551,-5.334
