"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"11","2013_Q4",25.9846875,"Down",1.0703e+10,-9.909e+09,7.94e+08,-4.98e+08,-7.9e+07,-9.3e+07,-3.26e+08,2.96e+08,-5e+07,-7.2e+07,1.9e+07,3e+06,2.46e+08,2.46e+08,-9e+06,2.37e+08,2.37e+08,2.31e+08,2.31e+08,2.37e+08,9.2e+07,1.7e+07,-8.9e+07,2.57e+08,-3.73e+08,-2.6e+07,-4.08e+08,4.21e+08,-2.37e+08,1.68e+08,1.7e+07,1.7e+07,1.7e+07,3.88e+08,7.637e+09,-64999999.9999999,0.07418,0.02766,0.02158,-0.28139,0.67347,0.66957,31.20408,-0.1895
"12","2014_Q1",27.0462295081967,"Up",1.0631e+10,-9.732e+09,8.99e+08,-4.95e+08,-8.3e+07,-9.9e+07,-3.13e+08,4.04e+08,-6.7e+07,-8.9e+07,2.3e+07,-1e+06,3.37e+08,3.37e+08,-1.9e+07,3.18e+08,3.18e+08,3.1e+08,3.1e+08,3.17e+08,1e+08,1.7e+07,-7.4e+07,3.6e+08,-2.58e+08,-1.79e+08,-3.13e+08,1.9e+08,-5.24e+08,-3.9e+07,8e+06,8e+06,8e+06,5.04e+08,7.828e+09,1.91e+08,0.08456,0.038,0.02916,0.61613,0.89855,0.89595,30.81449,0.55362
"13","2014_Q2",29.6479365079365,"Up",1.1684e+10,-1.067e+10,1.014e+09,-5.21e+08,-8.9e+07,-9.6e+07,-3.36e+08,4.93e+08,-6e+07,-7.8e+07,2e+07,-2e+06,4.33e+08,4.33e+08,-4.8e+07,3.85e+08,3.85e+08,3.84e+08,3.84e+08,3.85e+08,9.6e+07,9.3e+07,2.48e+08,8.22e+08,-4.66e+08,-5.8e+07,-5.24e+08,-1.28e+08,-3.27e+08,-3.07e+08,-9e+06,-9e+06,-1.1e+07,5.89e+08,0,4.19e+08,0.08679,0.04219,0.03287,1.09115,1.1261,1.11953,34.26393,1.22874
"14","2014_Q3",30.89921875,"Up",1.1194e+10,-1.028e+10,9.14e+08,-5.5e+08,-9e+07,-1e+08,-3.6e+08,3.64e+08,-5.5e+07,-8.3e+07,2.4e+07,4e+06,3.09e+08,3.09e+08,-2.2e+07,2.87e+08,2.87e+08,2.87e+08,2.87e+08,2.87e+08,1e+08,1.7e+07,-2.63e+08,1.41e+08,-4.49e+08,-1.26e+08,-5.77e+08,4.82e+08,-3.47e+08,4.31e+08,-5e+06,-5e+06,-3e+06,4.64e+08,0,-2.26e+08,0.08165,0.03252,0.02564,-0.78746,0.84164,0.83673,32.82698,-0.66276
"15","2014_Q4",28.306875,"Down",1.1127e+10,-1.0166e+10,9.61e+08,-5.57e+08,-7.8e+07,-9.7e+07,-3.82e+08,4.04e+08,-6e+07,-8.5e+07,2.9e+07,-4e+06,3.44e+08,3.44e+08,-2e+07,3.24e+08,3.24e+08,3.23e+08,3.23e+08,3.24e+08,9.7e+07,4.1e+07,-1.47e+08,3.15e+08,-5.07e+08,-4.8e+07,-5.63e+08,4.1e+08,-3.65e+08,2.56e+08,8e+06,8e+06,8e+06,5.01e+08,0,-1.33e+08,0.08637,0.03631,0.02903,-0.41176,0.94721,0.94169,32.6305,-0.39003
"16","2015_Q1",26.8118032786885,"Down",9.459e+09,-8.384e+09,1.075e+09,-5.37e+08,-6.8e+07,-9.1e+07,-3.78e+08,5.38e+08,-6.7e+07,-1.02e+08,3.5e+07,0,4.71e+08,4.71e+08,-8.1e+07,3.9e+08,3.9e+08,3.9e+08,3.9e+08,3.9e+08,9.1e+07,3.26e+08,-8.1e+07,7.26e+08,-4.82e+08,-6.2e+07,-1.632e+09,1.465e+09,-3.81e+08,1.277e+09,3.71e+08,3.71e+08,3.68e+08,6.29e+08,9.991e+09,1.47e+08,0.11365,0.05688,0.04123,0.37692,1.1437,1.13703,27.739,0.43109
"17","2015_Q2",26.2450793650794,"Down",5.942e+09,-5.042e+09,9e+08,-5.28e+08,-7.8e+07,-1.04e+08,-3.46e+08,3.72e+08,-7.2e+07,-1.05e+08,3.7e+07,-4e+06,3e+08,3e+08,-1.6e+07,2.84e+08,2.84e+08,2.83e+08,2.83e+08,2.84e+08,1.04e+08,7000000.00000006,3.37e+08,7.32e+08,-4.4e+08,-1.62e+08,-6.66e+08,-7.34e+08,-3.71e+08,-6e+06,60000000.0000001,60000000.0000001,54999999.9999999,4.76e+08,9.316e+09,3.89e+08,0.15146,0.06261,0.04763,1.37456,0.82991,0.82507,17.42522,1.14076
"18","2015_Q3",20.30765625,"Down",6.663e+09,-5.848e+09,8.15e+08,-6.04e+08,-7.9e+07,-1.08e+08,-4.17e+08,2.11e+08,-5.4e+07,-1.07e+08,5.2e+07,1e+06,1.57e+08,1.57e+08,-3.3e+07,1.24e+08,1.24e+08,1.24e+08,1.24e+08,1.24e+08,1.08e+08,-1e+06,-3.03e+08,-7.2e+07,-5.89e+08,-8.8e+07,-6.77e+08,7.36e+08,-4.21e+08,3.15e+08,-4.34e+08,-4.34e+08,-4.3e+08,3.19e+08,1.0052e+10,-5.4e+08,0.12232,0.03167,0.01861,-4.35484,0.36364,0.36152,19.53959,-1.58358
"19","2015_Q4",15.263125,"Down",5.551e+09,-4.701e+09,8.5e+08,-5.15e+08,-6e+07,-1.07e+08,-3.48e+08,3.35e+08,-6.7e+07,-1.08e+08,4.5e+07,-4e+06,2.68e+08,2.68e+08,-1.7e+07,2.51e+08,2.51e+08,2.5e+08,2.5e+08,2.51e+08,1.07e+08,-3e+06,2.07e+08,5.62e+08,-5.84e+08,-1.02e+08,-7.26e+08,5.98e+08,-4.38e+08,1.6e+08,-3999999.99999994,-3999999.99999994,-6e+06,4.42e+08,1.0651e+10,81999999.9999999,0.15313,0.06035,0.04504,0.328,0.73314,0.72886,16.27859,0.24047
"20","2016_Q1",12.3485245901639,"Down",4.996e+09,-4.135e+09,8.61e+08,-5.17e+08,-6.1e+07,-1.13e+08,-3.43e+08,3.44e+08,-6.3e+07,-1.12e+08,4.9e+07,-9.31322574615479e-10,2.81e+08,2.81e+08,-3.4e+07,2.47e+08,2.47e+08,2.46e+08,2.46e+08,2.47e+08,1.13e+08,1.4e+08,-3.64e+08,1.36e+08,-4.61e+08,1e+06,-4.61e+08,4.8e+08,-1.49e+08,3.31e+08,6e+06,6e+06,5e+06,4.57e+08,1.1374e+10,-3.34e+08,0.17234,0.06886,0.04924,-1.35772,0.72141,0.7172,14.65103,-0.97947
"21","2016_Q2",14.65859375,"Up",4.111e+09,-3.348e+09,7.63e+08,-4.81e+08,-6.7e+07,-1.14e+08,-3e+08,2.82e+08,-6e+07,-1.12e+08,4.7e+07,5e+06,2.22e+08,2.22e+08,-1.9e+07,2.03e+08,2.03e+08,2.02e+08,2.02e+08,2.03e+08,1.14e+08,-6e+06,3.24e+08,6.35e+08,-1.26e+08,-7.6e+07,-2.87e+08,-1.511e+09,1.168e+09,-3.43e+08,5e+06,5e+06,9e+06,3.96e+08,9.868e+09,6.13e+08,0.1856,0.0686,0.04914,3.03465,0.27862,0.27785,5.67034,0.84552
"22","2016_Q3",17.7784375,"Up",4.949e+09,-4.223e+09,7.26e+08,-5.81e+08,-7.3e+07,-2.05e+08,-3.03e+08,1.45e+08,-5e+07,-1.15e+08,4e+07,2.5e+07,9.5e+07,9.5e+07,6e+06,1.01e+08,1.01e+08,1e+08,1e+08,1.01e+08,2.05e+08,-5.5e+07,-4.99e+08,-2.48e+08,-1.82e+08,-5.3e+07,-2.35e+08,9.19e+08,-4.38e+08,4.81e+08,-2e+06,-2e+06,-2e+06,3.5e+08,1.0788e+10,-3.37e+08,0.1467,0.0293,0.02021,-3.37,0.13793,0.13755,6.82621,-0.46483
"23","2016_Q4",20.0253968253968,"Up",5.171e+09,-4.429e+09,7.42e+08,-3.92e+08,-7e+07,-3.2e+07,-2.9e+08,3.5e+08,-5e+07,-1.12e+08,4.6e+07,1.6e+07,3e+08,3e+08,-2e+06,2.98e+08,2.98e+08,2.97e+08,2.97e+08,2.98e+08,3.2e+07,1000000.00000001,-70000000.0000001,2.61e+08,-8.4e+07,-5.1e+07,-3.32e+08,-2e+08,-15000000.0000005,6.8e+07,-3e+06,-3e+06,-3e+06,3.82e+08,1.1018e+10,2.3e+08,0.14349,0.06769,0.05744,0.774410000000002,0.40966,0.40853,7.13241,0.31724
"24","2017_Q1",20.3903225806452,"Up",5.951e+09,-5.233e+09,7.18e+08,-5.21e+08,-6.9e+07,-1.63e+08,-2.89e+08,1.97e+08,-7.9e+07,-1.28e+08,6.2e+07,-1.3e+07,1.18e+08,1.38e+08,-1e+07,1.28e+08,1.28e+08,1.27e+08,1.27e+08,1.28e+08,1.63e+08,5e+06,-2.11e+08,8.5e+07,-2.88e+08,-1.31e+08,-4.19e+08,6.06e+08,-7.69e+08,3.5e+08,1.6e+07,1.6e+07,1.6e+07,3.6e+08,1.1839e+10,-1.29e+08,0.12065,0.0331,0.02134,-1.01575,0.17517,0.17469,8.20828,-0.17793
"25","2017_Q2",18.174126984127,"Down",6.667e+09,-5.593e+09,1.074e+09,-4.83e+08,-7.4e+07,-1.21e+08,-2.88e+08,5.91e+08,-8.1e+07,-1.29e+08,5.3e+07,-5e+06,5.1e+08,5.1e+08,-6.6e+07,4.44e+08,4.44e+08,4.44e+08,4.44e+08,4.44e+08,1.21e+08,7.4e+07,1.77e+08,8.16e+08,-1.14e+08,-217533131.059446,-1.491e+09,-7.52e+08,-2.46e+08,6.66e+08,-9e+06,-9e+06,-9e+06,7.12e+08,1.122e+10,8.41e+08,0.16109,0.08865,0.0666,1.89414,0.61241,0.61073,9.19586,1.16
"26","2017_Q3",15.4993650793651,"Down",6.078e+09,-5.319e+09,7.59e+08,-5.02e+08,-6.8e+07,-1.29e+08,-3.05e+08,2.57e+08,-5.8e+07,-1.27e+08,6.8e+07,1e+06,1.99e+08,1.99e+08,-1e+07,1.89e+08,1.89e+08,1.88e+08,1.88e+08,1.89e+08,1.29e+08,3.4e+07,2.93e+08,6.45e+08,-4.6e+07,-2.13e+08,-1.63e+08,-7.3e+07,-4.01e+08,-4.74e+08,8e+06,8e+06,9e+06,3.86e+08,1.1154e+10,6.43e+08,0.12488,0.04228,0.03093,3.42021,0.25931,0.2586,8.38345,0.8869
"27","2017_Q4",13.8706349206349,"Down",5.873e+09,-5.327e+09,5.46e+08,-5.02e+08,-6.8e+07,-1.51e+08,-2.83e+08,4.4e+07,-5.6e+07,-1.34e+08,8e+07,-2e+06,-1.2e+07,-1.2e+07,4.6e+07,3.4e+07,3.4e+07,3.3e+07,3.3e+07,3.4e+07,1.51e+08,-4.7e+07,3.19e+08,4.57e+08,-2.11e+08,-9.7e+07,-3.09e+08,3.17e+08,-4.8e+08,-1.63e+08,-1.5e+07,-1.5e+07,-1.4e+07,1.95e+08,1.1407e+10,2.57e+08,0.09297,0.00749,0.00562,7.78788,0.04552,0.04539,8.10069,0.35448
"28","2018_Q1",15.1965573770492,"Up",7.605e+09,-6.746e+09,8.59e+08,-4.89e+08,-6.6e+07,-1.16e+08,-3.07e+08,3.7e+08,-5.6e+07,-1.2e+08,8.9e+07,-2.5e+07,3.14e+08,2.05e+08,-1.4e+07,1.91e+08,1.91e+08,1.91e+08,1.91e+08,1.91e+08,1.16e+08,1.25e+08,1.49e+08,5.81e+08,4.3e+08,-3.9e+07,3.93e+08,-1.496e+09,5.24e+08,-9.72e+08,2e+06,2e+06,4e+06,4.86e+08,9.92e+09,1.079e+09,0.11295,0.04865,0.02512,5.64921,0.26345,0.26272,10.48966,1.48828
"29","2018_Q2",16.861875,"Up",8.398e+09,-7.519e+09,8.79e+08,-4.98e+08,-7.9e+07,-1.27e+08,-2.92e+08,3.81e+08,-3.2e+07,-1.06e+08,7.5e+07,-1e+06,3.49e+08,3.49e+08,-6.1e+07,2.88e+08,2.88e+08,2.88e+08,2.88e+08,2.88e+08,1.27e+08,1.1e+08,-4e+06,5.21e+08,-1.83e+08,2e+06,-2.21e+08,-1.56e+08,-1.55e+08,-3.11e+08,-1.1e+07,-1.1e+07,-1.4e+07,5.08e+08,9.824e+09,3.82e+08,0.10467,0.04537,0.03429,1.32639,0.39724,0.39615,11.58345,0.5269
"30","2018_Q3",17.8412698412698,"Up",8.08e+09,-7.551e+09,5.29e+08,-5.22e+08,-8e+07,-1.29e+08,-3.13e+08,7000000.00000006,-4e+06,-1.11e+08,9.6e+07,1.1e+07,2999999.99999994,8.4e+07,1.6e+07,1e+08,1e+08,99999999.9999999,99999999.9999999,1e+08,1.29e+08,-8.1e+07,3.46e+08,4.94e+08,-1.15e+08,-2.1e+08,-2.85e+08,-4.2e+07,-1.56e+08,-1.98e+08,1.1e+07,1.1e+07,1.1e+07,1.36e+08,9.909e+09,3.51e+08,0.06547,0.000870000000000003,0.01238,3.51,0.13793,0.13755,11.14483,0.48414
"31","2018_Q4",16.3585714285714,"Down",8.791e+09,-7.768e+09,1.023e+09,-5.28e+08,-7.3e+07,-1.29e+08,-3.26e+08,4.95e+08,-2e+06,-1.1e+08,1.1e+08,-2e+06,4.93e+08,7.01e+08,1e+07,7.11e+08,7.11e+08,7.11e+08,7.11e+08,7.11e+08,1.29e+08,-2.04e+08,-3.57e+08,2.79e+08,4.12e+08,-9e+07,3.22e+08,-1.44e+08,-4.62e+08,-6.06e+08,-5e+06,-5e+06,-5e+06,6.24e+08,9.569e+09,6.69e+08,0.11637,0.05631,0.08088,0.94093,0.97799,0.88875,12.09216,0.92022
"32","2019_Q1",17.2004918032787,"Up",8.786e+09,-6.955e+09,1.831e+09,-5.51e+08,-8.4e+07,-1.35e+08,-3.32e+08,1.28e+09,1.75e+08,-1.04e+08,2.94e+08,-1.5e+07,1.455e+09,1.28e+09,-1.63e+08,1.117e+09,1.117e+09,1.117e+09,1.117e+09,1.117e+09,1.35e+08,1.41e+08,-7.9e+07,1.314e+09,-4.14e+08,-2.15e+08,-6.29e+08,-3.59e+08,-2.83e+08,-6.42e+08,4.3e+07,4.3e+07,3.7e+07,1.415e+09,9.209e+09,1.085e+09,0.2084,0.14569,0.12713,0.97135,1.53645,1.39625,12.08528,1.49243
"33","2019_Q2",17.6207936507937,"Up",8.375e+09,-7.119e+09,1.256e+09,-5.38e+08,-7.6e+07,-1.36e+08,-3.26e+08,7.18e+08,2.8e+08,-1.01e+08,3.56e+08,2.5e+07,9.98e+08,9.94e+08,-2.4e+07,9.7e+08,9.7e+08,9.7e+08,9.7e+08,9.7e+08,1.36e+08,-2.62e+08,1.89e+08,1.033e+09,-2.8e+08,-1.49e+08,-4.29e+08,-253927833.621657,-1.98e+08,-1.98e+08,4.06e+08,4.06e+08,4.03e+08,8.54e+08,9.326e+09,7.87e+08,0.14997,0.08573,0.11582,0.81134,1.33425,1.2125,11.51994,1.08253
"34","2019_Q3",16.9465625,"Down",8.253e+09,-7.243e+09,1.01e+09,-5.63e+08,-7.5e+07,-1.47e+08,-3.41e+08,4.47e+08,-2.6e+07,-1.02e+08,8.3e+07,-7000000.00000001,4.21e+08,4.25e+08,2.3e+07,4.48e+08,4.48e+08,4.46e+08,4.46e+08,4.48e+08,1.47e+08,-3.1e+07,-1.33e+08,4.31e+08,-3.6e+08,-1.42e+08,-5.49e+08,3.18e+08,-2.08e+08,1.1e+08,-8e+06,-8e+06,-8e+06,5.94e+08,9.646e+09,7.8e+07,0.12238,0.05416,0.05404,0.17489,0.61348,0.5575,11.35213,0.10729
"35","2019_Q4",14.01609375,"Down",7.887e+09,-6.856e+09,1.031e+09,-5.46e+08,-7.4e+07,-1.56e+08,-3.16e+08,4.85e+08,3e+06,-1.08e+08,1.06e+08,5e+06,4.88e+08,4.95e+08,-4.1e+07,4.54e+08,4.54e+08,4.49e+08,4.49e+08,4.54e+08,1.56e+08,-1.1e+07,-2.85e+08,3.14e+08,-2.71e+08,-1.18e+08,-3.89e+08,6.8e+08,-3.96e+08,2.84e+08,2.09e+08,2.09e+08,2.07e+08,6.41e+08,1.0257e+10,1.26e+08,0.13072,0.06149,0.05693,0.28062,0.61761,0.56125,10.84869,0.17331
"36","2020_Q1",10.6677419354839,"Down",9.154e+09,-9.537e+09,-3.83e+08,7.49e+08,-7.2e+07,-1.62e+08,9.83e+08,3.66e+08,-2.7e+08,-1.14e+08,-1.57e+08,1e+06,95999999.9999998,3.32e+08,-2.4e+07,3.08e+08,3.08e+08,3.06e+08,3.06e+08,3.08e+08,1.62e+08,1.8e+07,2.38e+08,7.26e+08,-1.93e+08,3.22e+08,-3.98e+08,-5.82e+08,-3.34e+08,-9.16e+08,-5.88e+08,-5.88e+08,-5.86e+08,5.28e+08,9.691e+09,5.97e+08,-0.04184,0.03998,0.03343,1.95098,0.42091,0.3825,12.59147,0.82118
"37","2020_Q2",6.77,"Down",8.269e+09,-10422885097.6112,-1570968864.84641,-5.41e+08,-6.9e+07,-1.68e+08,-3.04e+08,7.728e+09,-2.9e+07,-1.08e+08,1.1e+08,-3.1e+07,7.699e+09,-2.824e+09,-2.1e+07,-2.845e+09,-2.845e+09,-2.847e+09,-2.847e+09,-2.845e+09,1.68e+08,3.439e+09,1.28e+08,8.9e+08,-1.41e+08,-1.4e+07,-6.1e+08,-4e+06,-1.88e+08,-1.92e+08,8.8e+07,8.8e+07,7.8e+07,7.896e+09,9.781e+09,7.904e+09,-0.195691067407,0.93457,-0.3443,-2.77626,-3.91609,-3.55875,11.37414,10.87208
"38","2020_Q3",6.05734375,"Down",3.225e+09,-9161442419.3059,-1969975721.36809,-4.9e+08,-7.2e+07,-1.65e+08,-2.53e+08,2.735e+09,-8e+06,-1.07e+08,8.1e+07,1.8e+07,2.727e+09,133000000.000001,1.1e+07,1.44e+08,1.44e+08,1.42e+08,1.42e+08,1.44e+08,1.65e+08,-3e+07,-1.95e+08,8.4e+07,-8.6e+07,5e+06,-2.48e+08,3.17e+08,-2.1e+08,1.07e+08,-5.7e+07,-5.7e+07,-5.6e+07,2.9e+09,1.0122e+10,2.608e+09,-0.255952232462281,0.84806,0.0440300000000001,18.3662,0.19532,0.177500000000001,4.43604,3.58735
"39","2020_Q4",6.35953125,"Up",5.833e+09,-7284778531.34762,-1570244717.20573,3.37e+08,-6e+07,-1.6e+08,5.57e+08,-9.012e+09,-8.3e+08,-9.25e+08,8.9e+07,6e+06,-9.842e+09,1.43e+08,3e+06,1.46e+08,1.46e+08,1.43e+08,1.43e+08,1.46e+08,1.6e+08,63000000.0000005,-8.7e+07,2.82e+08,-1.33e+08,-1e+06,-2.08e+08,1.12e+08,-2.44e+08,-1.32e+08,-5.8e+07,-5.8e+07,-5.8e+07,-8.852e+09,1.0171e+10,-9.075e+09,-0.213874781286421,-1.545,0.02452,-63.46154,0.2,0.2,8.15804,-12.69231
"40","2021_Q1",7.8183606557377,"Up",5.963e+09,-6.325e+09,-362000000.000001,-2.3e+08,-7e+07,-1.6e+08,320382859.606932,-5.92e+08,8.25e+08,7.04e+08,7.5e+07,4.6e+07,233000000.000004,-5.1e+07,2.6e+07,-24999999.9999999,-24999999.9999999,-2.8e+07,-2.8e+07,-2.5e+07,1.6e+08,1.39e+08,-1.6e+07,2.58e+08,5.1e+07,-3e+06,-2.7e+07,2e+06,-1.7e+08,-2.18e+08,1.3e+07,1.3e+07,1.4e+07,-4.32e+08,1.0213e+10,-4.23e+08,-0.0607099999999998,-0.0992799999999996,-0.0047,15.10714,-0.03916,-0.03916,8.33986,-0.59161
