"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q1",13.2327868852459,"Down",970144000,-782942000,187202000,-87025000,-25064000,-61961000,100177000,378000,27000,351000,100555000,100555000,-35567000,64988000,66385000,-48718000,17667000,17667000,126188000,126188000,3118866000,325395000,80348000,245047000,3570449000,7387000,544611000,57698000,233488000,128448000,120729000,551998000,4122447000,381105000,151861000,191452000,92319000,92319000,473424000,1668425000,1676346000,2149770000,519918000,1972677000,4122447000,64988000,1180000,18235000,-75378000,9025000,-2545000,-5267000,3176000,-9537000,-16449000,-160000,-31609000,-32121000,-32121000,-32121000,101357000,1668425000,59001000,0.19296,0.10326,0.01821,0.00896,0.00429,3.33962,7.54176,1.08977,0.40472,0.53434,0.14436,29.34229,15.72507,1.7845,0.00484,0.01617,15.21589,15.39512
"12","2016_Q2",14.7090625,"Up",645329000,-526688000,118641000,-80519000,-29424000,-51095000,38122000,869000,87000,782000,38991000,38991000,-12887000,26104000,26104000,-19291000,6813000,6813000,141124000,141124000,3295803000,230968000,88326000,142642000,3667895000,7483000,574614000,66198000,233749000,144278000,126406000,582097000,4249992000,342439000,154897000,178598000,123273000,123273000,465712000,1787298000,1788293000,2254005000,522338000,1995987000,4249992000,26104000,1078000,3841000,-47606000,-16583000,-705000,-15159000,3976836.34845169,-68683000,105653000,-458000,100202000,14936000,14936000,14936000,39200000,1787298000,3776000,0.18385,0.05907,0.01056,0.00341,0.0016,0.55423,7.87589,1.12927,0.42054,0.21342,0.05618,20.21517,16.36243,0.11828,0.0018,0.001,41.99423,43.18173
"13","2016_Q3",16.87421875,"Up",854316000,-694564000,159752000,-94304000,-31710000,-62594000,65448000,2320000,15000,2305000,67768000,67768000,-22104000,45664000,45664000,-33979000,11685000,11685000,131879000,131879000,3242308000,269784000,83294000,186490000,3643971000,6334000,580783000,66198000,234457000,149844000,126566000,587117000,4231088000,341975000,151083000,175284000,139830000,139830000,481805000,1723380000,1723992000,2205797000,515471000,2025291000,4231088000,45664000,896000,3975000,31714000,82249000,518000,-6479000,1656000,-4305000,-64896000,-2556000,-87169000,-9225000,-9225000,-9225000,66344000,1723380000,120680000,0.18699,0.07661,0.01368,0.00577,0.00276,10.32777,7.56317,1.08913,0.40731,0.37024,0.09644,27.06872,16.33253,3.82371,0.00312,0.03219,23.98862,24.31703
"14","2016_Q4",18.7750793650794,"Up",853417000,-674563000,178854000,-90157000,-29944000,-60213000,88697000,1694000,47000,1647000,90391000,90391000,-31707000,58684000,58684000,-43847000,14837000,14837000,160519000,160519000,3286685000,231131000,75111000,156020000,3678335000,6320000,584880000,66198000,234457000,151606000,129165000,591200000,4269535000,366380000,145944000,193763000,137561000,137561000,503941000,1681944000,1682556000,2186497000,527251000,2083038000,4269535000,58684000,1026000,4386000,12661000,76757000,-747000,-2871000,1890000,-1727999.99999999,-42390000,-146000,-46369000,28660000,28660000,28660000,89723000,1681944000,133344000,0.20957,0.10393,0.01739,0.00712,0.00348,8.98726,7.29914,1.04967,0.39394,0.4878,0.12346,28.05816,17.33466,4.38401,0.00394,0.03541,16.95691,17.15306
"15","2017_Q1",20.1596774193548,"Up",1196967000,-973935000,223032000,-108730000,-31129000,-77601000,114302000,2754000,35000,2719000,117056000,117056000,-40945000,76111000,76111000,-56830000,19281000,19281000,300179000,300179000,3010967000,351727000,73425000,278302000,3662873000,6586000,551467000,66198000,206634000,157909000,115246000,558053000,4220926000,356366000,136636000,209202000,111573000,111573000,467939000,1586533000,1592785000,2060724000,551810000,2160202000,4220926000,76111000,972000,33526000,119570000,230179000,-974000,-7848000,2541000,-6281000,-82822000,-1249000,-83925000,139973000,139973000,139973000,115274000,1586533000,274815000,0.18633,0.09549,0.01611,0.00893,0.00457,14.25315,7.82767,0.95395,0.37587,0.63349,0.15972,39.32734,18.13017,9.02927,0.00514,0.07323,11.1591,11.25399
"16","2017_Q2",23.0384126984127,"Up",769090000,-627397000,141693000,-88394000,-33128000,-55266000,53299000,1175000,90000,1085000,54474000,54474000,-18873000,35601000,35601000,-24125000,11476000,11476000,300839000,300839000,3059016000,232529000,81165000,151364000,3592384000,6055000,550306000,66198000,206634000,171815000,100774000,556361000,4148745000,331053000,136413000,167435000,151751000,151751000,482804000,1463535000,1468217000,1951021000,952126000,2197724000,4148745000,35601000,1071000,4441000,106798000,147911000,-275000,-14561000,403000,-14433000,-132040000,-672000,-133131000,347000,347000,347000,54370000,1463535000,179766000,0.18423,0.0693,0.01492,0.00522,0.00277,15.66452,7.44067,0.88775,0.35277,0.29766,0.09525,19.94838,24.69591,4.66271,0.00313,0.04904,21.38488,21.81459
"17","2017_Q3",22.0936507936508,"Down",908494000,-737074000,171420000,-96174000,-33894000,-62280000,75246000,3160000,89000,3071000,78406000,78406000,-22476000,55930000,55930000,-30237000,25693000,25693000,246477000,246477000,3196024000,245741000,76244000,169497000,3688242000,5933000,563911000,66198000,212925000,178878000,101453000,569844000,4258086000,356164000,168568000,175561000,182440000,182440000,538604000,1454547000,1458550000,1997154000,1344500000,2260932000,4258086000,55930000,1026000,-2020000,-102877000,-47941000,-640000,-9043000,2892000,-6791000,-2778000,283000,661000,-54071000,-54071000,-54071000,76272000,1454547000,-4769000,0.18869,0.08282,0.02828,0.01136,0.00603,-0.18561,6.84778,0.88333,0.3416,0.43481,0.21179,15.37475,22.75343,-0.08071,0.00691,-0.00128,15.83897,16.05494
"18","2017_Q4",23.4009523809524,"Up",908027000,-736709000,171318000,-95265000,-33374000,-61891000,76053000,2922000,135000,2787000,78975000,78975000,-24282000,54693000,54693000,-23073000,31620000,31620000,264862000,264862000,3240664000,235512000,72546000,162966000,3741038000,6229000,570061000,66198000,215666000,184817000,98948000,576290000,4317328000,351666000,146263000,190384000,185604000,185604000,537270000,1462301000,1465408000,2002678000,1374002000,2314650000,4317328000,54693000,897000,126999.999999996,-22912000,32805000,-928000,-5250000,928000,-5250000,-5114999.99999997,-210000,-9466000,18089000,18089000,18089000,76950000,1462301000,77392000,0.18867,0.08376,0.03482,0.01366,0.00732,2.44756,6.96305,0.86522,0.33871,0.43476,0.26093,12.48507,18.89208,1.06411,0.00836,0.02047,15.56126,15.7448
"19","2018_Q1",24.9303278688525,"Up",1299679000,-1045181000,254498000,-112863000,-30381000,-82482000,141635000,2166000,263000,1903000,143801000,143801000,-113375000,30426000,30426000,-7995000,22431000,22431000,573925000,573925000,2956709000,313245000,72334000,240911000,3843879000,7112000,474902000,66198000,118138000,192364000,94488000,482014000,4325893000,346230000,140165000,201540000,132529000,132529000,478759000,1498062000,1500589000,1979348000,1596117000,2346545000,4325893000,30426000,959000,100209000,121864000,253458000,-1578000,-7803000,-140000,-9521000,65301000,0,65389000,309326000,309326000,309326000,142594000,1498062000,376255000,0.19582,0.10898,0.01726,0.00956,0.00519,16.77388,8.02884,0.84352,0.3463,0.28805,0.18586,16.69015,20.49694,4.83177,0.00583,0.0978,6.4809,6.52478
"20","2018_Q2",22.2690625,"Down",752333000,-609231000,143102000,-87453000,-33318000,-54135000,55649000,3589000,343000,3246000,59238000,59238000,-11706000,47532000,47532000,-2599000,44933000,44933000,287970000,287970000,3064520000,215279000,56971000,158308000,3567769000,39044000,477074000,66198000,118032000,196695000,91830000,516118000,4083887000,311379000,142789000,154533000,169823000,169823000,481202000,1405045000,1407055000,1888257000,2175092000,2195630000,4083887000,47532000,5015000,1967999.99999997,-53810000,705000.00000006,-2695000,-2118000,492000,-4321000,-78361000,-203967000,-282599000,-286215000,-286215000,-286215000,60664000,1405045000,15865000,0.19021,0.07397,0.05972,0.02046,0.011,0.353079999999999,7.41429,0.86001,0.34405,0.72401,0.37161,12.12248,35.04765,0.255639999999999,0.01247,0.00439999999999999,18.41413,20.07359
"21","2018_Q3",19.8728571428571,"Down",980828000,-802117000,178711000,-103719000,-35460000,-68259000,74992000,4293000,276000,4017000,79285000,79285000,-19993000,59292000,59292000,-803000,58489000,58489000,320102000,320102000,3194241000,194930000,52029000,142901000,3709273000,38916000,472632000,66198000,117892000,189733000,94320000,511548000,4220821000,341820000,160051000,167315000,191893000,191893000,533713000,1427264000,1428726000,1962439000,2237117000,2258382000,4220821000,59292000,6291000,2401000,-58200000,9784000,-5898000,-1250000,9473000,2325000,19311000,-137000,20024000,32133000,32133000,32133000,81283000,1427264000,37178000,0.1822,0.07646,0.05963,0.0259,0.01386,0.63564,6.94994,0.86896,0.33815,0.52927,0.50684,8.87563,20.24394,0.33643,0.01586,0.01008,13.62108,14.76373
"22","2018_Q4",16.3287301587302,"Down",1036379000,-837380000,198999000,-101318000,-33017000,-68301000,97681000,3184000,670000,2514000,100865000,100865000,-6424000,94441000,94441000,-1417000,93024000,93024000,382054000,382054000,3255300000,203564000,56828000,146736000,3840918000,38258000,452517000,66198000,105356000,179249000,98048000,490775000,4331693000,313412000,124731000,188681000,189116000,189116000,502528000,1456144000,1469955000,1972483000,2333464000,2359210000,4331693000,94441000,6300000,15273000,-70507000,45507000,-5861000,-179000,12306000,6265999.99999999,6901000,2979000,10179000,61952000.0000001,61952000.0000001,61951999.9999999,103981000,1456144000,34037000,0.19201,0.09425,0.08976,0.03943,0.02148,0.36589,7.64319,0.83608,0.33616,0.79965,0.78611,8.90888,20.05883,0.29259,0.02429,0.00889,10.32968,10.99589
"23","2019_Q1",17.8526229508197,"Up",1457853000,-1240472000,217381000,-136269000,-36693000,-99576000,81112000,3905000,350000,3555000,85017000,34128000,-24913000,9215000,9215000,703000,9918000,9918000,329645000,329645000,3965306000,355524000,98225000,257299000,4650475000,86736000,527230000,152116000,145076000,140541000,86587000,613966000,5264441000,418272000,151586000,266686000,202579000,202579000,620851000,2209596000,2224855000,2845706000,2415192000,2418735000,5264441000,9215000,8785000,76663000,-15065000,79598000,-6004000,171000,34731000,-163988000,172482000,-1140000,32876000,-51514000,-51514000,-51514000,89897000,2209596000,93741000,0.14911,0.05564,0.0068,0.0041,0.00188,9.4516,7.49048,1.17653,0.41972,0.09047,0.08908,13.29855,22.0314,0.85511,0.00214,0.02019,20.91228,23.17722
"24","2019_Q2",19.8849206349206,"Up",925092000,-753052000,172040000,-102491000,-36454000,-66037000,69549000,2652000,333000,2319000,72201000,68072000,-16791000,51281000,51281000,-150000,51131000,51131000,171982000,171982000,4101283000,269944000,94459000,175485000,4543209000,85275000,561920000,152116000,145076000,138334000,121963000,647195000,5190404000,393359000,143082000,250277000,246503000,246503000,639862000,2140337000,2155230000,2795092000,2390731000,2395312000,5190404000,51281000,7765000,5526999.99999999,-92867000,-28294000,-6194000,-1089000,3180000,-4103000.00000003,-47251000,-605000,-125656000,-158053000,-158053000,-158053000,77314000,2140337000,-4956000,0.18597,0.07518,0.05527,0.02135,0.00985,-0.0969300000000022,7.1003,1.1669,0.41236,0.46267,0.45788,8.37096,21.63323,-0.0448500000000001,0.01124,-0.00109,25.45923,28.3017
"25","2019_Q3",23.03984375,"Up",1265426000,-1031652000,233774000,-124328000,-42202000,-82126000,109446000,4519000,958000,3561000,113965000,110019000,-28131000,81888000,81888000,-37000,81851000,81851000,196529000,196529000,4073123000,290975000,79794000,211181000,4560627000,84630000,532515000,152116000,145076000,129518000,101899000,617145000,5177772000,406039000,162055000,242712000,246424000,246424000,652463000,2091594000,2122058000,2774521000,2398664000,2403251000,5177772000,81888000,6589000,8544000,76947000,173968000,-5833000,-4026000,12522000,2663000,-74435000,-41000,-152210000,24421000,24421000,24421000,116035000,2091594000,215280000,0.18474,0.08649,0.06468,0.03406,0.01581,2.63015,6.98986,1.15449,0.40396,0.77062,0.76289,11.91393,22.58331,2.02685,0.01809,0.04757,16.33184,17.31507
"26","2019_Q4",24.035,"Up",1105105000,-894031000,211074000,-119488000,-42334000,-77154000,91586000,3062000,959000,2103000,94648000,90421000,-23385000,67036000,67036000,-24000,67012000,67012000,222049000,222049000,4229971000,261515000,85725000,175790000,4713535000,83654000,542671000,149428000,142597000,128363000,118637000,626325000,5339860000,449841000,189556000,252687000,264908000,264908000,714749000,2115430000,2139133000,2853882000,2480202000,2485978000,5339860000,67036000,7733000,10859000,-77925000,7703000.00000003,-6648000,-5051000,5992000,-5707000,23377000,-10645000,23573000,25569000,25569000,25569000,99319000,2115430000,38131000,0.191,0.08288,0.06064,0.02696,0.01255,0.56902,6.59467,1.14799,0.39616,0.63554,0.62722,10.48079,23.52218,0.36163,0.01449,0.00823999999999999,19.06363,20.67326
"27","2020_Q1",21.5,"Down",1466436000,-1259234000,207202000,-151190000,-48861000,-102329000,56012000,1949000,423000,1526000,57961000,53760000,949000,54709000,54709000,-51000,54658000,54658000,326437000,326437000,3967359000,338162000,86152000,252010000,4631958000,85866000,527862000,149428000,140466000,128759000,107110000,613728000,5245686000,493667000,164580000,325368000,246350000,246350000,740017000,1940772000,1959957000,2699974000,2537706000,2545712000,5245686000,54709000,9337000,18902000,156891000,239839000,-11443000,-2600000,1890000,-12153000,-125706000,2304000,-122910000,104776000,104776000,104776000,65349000,1940772000,209848000,0.1413,0.0382,0.03727,0.02147,0.01042,3.83929,6.25926,1.0606,0.36997,0.51651,0.50911,13.8577,23.98112,1.98305,0.01213,0.04657,24.70329,28.82123
"28","2020_Q2",15.7553968253968,"Down",1345699000,-1147943000,197756000,-143143000,-50526000,-92617000,54613000,2986000,560000,2426000,57599000,-28775000,-780999.999999998,-29556000,-29556000,-1875000,-31431000,-31431000,507761000,507761000,5706335000,743188000,177372000,565816000,6957284000,98798000,1206290000,612079000,268693000,127367000,188909000,1305088000,8262372000,631625000,230312000,398186000,320453000,320453000,952078000,3700368000,3887253000,4839331000,3423041000,3423041000,8262372000,-29556000,8601000,23758000,69298000,72101000.0000001,-6031000,-3042000,6713000,-211806000,406412000,1768000,322565000,182860000,182860000,182860000,63214000,3700368000,127262000,0.14695,0.04058,-0.02336,-0.00918,-0.0038,-4.04893,7.30747,1.41375,0.44786,-0.25783,-0.25783,11.03864,28.07889,1.04392,-0.0043,0.01741,50.50475,58.45874
"29","2020_Q3",23.6428125,"Up",1526685000,-1282507000,244178000,-144455000,-51112000,-93343000,99723000,3832000,337000,3495000,103555000,84843000,-17622000,67221000,67221000,-1548000,65673000,65673000,674685000,674685000,5595951000,746769000,205954000,540815000,7017405000,96504000,1208425000,637440000,277106000,112333000,173244000,1304929000,8322334000,633048000,215063000,408665000,319096000,319096000,952144000,3769740000,3945450000,4897594000,3424740000,3424740000,8322334000,67221000,9016000,9825000,165041000,251103000,-11020000,-1548000,15333000,-66982000,-2507000,-16966000,-18650000,165471000,165471000,165471000,108739000,3769740000,280382000,0.15994,0.06532,0.04302,0.01918,0.00789,4.26936,7.37011,1.43006,0.45297,0.50663,0.49925,11.77743,26.41975,2.16297,0.00891,0.03804,28.46315,31.03652
"30","2020_Q4",25.4959375,"Up",1699434000,-1389745000,309689000,-148996000,-45152000,-103844000,160693000,3304000,347000,2957000,163997000,148959000,-33759000,115200000,115200000,-422000,114778000,114778000,547916000,547916000,5300106000,658472000,223891000,434581000,6506494000,95546000,1232408000,663502000,273983000,125132000,162041000,1327954000,7834448000,617456000,188470000,398489000,372009000,372009000,989465000,3180072000,3302848000,4292313000,3542135000,3542135000,7834448000,115200000,9322000,31288000,319015000,474825000,-8225000,-19421000,8807000,-18694000,-576592000,-9888000,-583974000,-127843000,-127843000,-127843000,170015000,3180072000,514564000,0.18223,0.09456,0.06754,0.0324,0.01465,4.48312,6.57577,1.21179,0.40591,0.88425,0.87757,13.09241,27.28854,3.96419,0.01677,0.07517,15.4819,16.38003
"31","2021_Q1",28.0829508196721,"Up",1557502000,-1264906000,292596000,-158873000,-48089000,-110784000,133723000,2660000,362000,2298000,136383000,119090000,-22428000,96662000,96662000,-2243000,94419000,94419000,532843000,532843000,5209653000,698879000,242744000,450841000,6441375000,97927000,1198693000,663197000,238078000,127955000,169463000,1296620000,7737995000,657955000,215047000,430067000,435122000,435122000,1093077000,2928395000,3051168000,4144245000,3504541000,3593750000,7737995000,96662000,10397000,57366000,160828000,325253000,-12484000,-12047000,9209000,-15322000,-277638000,-35777000,-324882000,-14951000,-14951000,-14951000,144120000,2928395000,314892000,0.18786,0.08586,0.06062,0.02627,0.0122,3.33505,5.89288,1.15318,0.37844,0.72681,0.71294,11.98918,26.97689,2.42394,0.01421,0.04739,16.62193,17.91429
