"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","reserve_for_outstanding_claims_losses","premium_reserve_unearned","other_short_term_liabilities","other_long_term_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",49.7465079365079,"Up",1062486000,934415000,116922000,11149000,5205000,5944000,-532328000,-189809000,-142906000,197443000,956000,-12839000,13795000,198399000,198399000,-9351000,186614000,186614000,186614000,-9968000,176646000,13542391000,848200000,2694976000,545618000,3591206000,21222391000,13328462000,9874807000,3453655000,602764000,272874000,15196733000,6.25e+08,2310072000,2206000,2307866000,-3438492000,6430573000,98505000,6025658000,6025658000,21222391000,186614000,6115000,-70830000,80875000,202774000,41176000,-29470000,11706000,-41292000,-167328000,47152000,47152000,8103000,55255000,203558000,992633000,0.18583,0.16626,0.02932,0.00832,2.522,0.04677,1.77598,1.75823,10.68212,54.29762,0.41515,0.01057,0.23376,0.70954,0.73152
"12","2017_Q1",55.711935483871,"Up",999538000,921879000,95517000,-17858000,-20230000,2372000,-540613000,-187306000,-163163000,108456000,38740000,-12774000,51514000,147196000,147196000,1372000,148908000,148908000,148908000,-1.8e+07,130908000,13459507000,1039494000,2313512000,438636000,3562542000,20813691000,12667325000,9697827000,2969498000,555733000,325313000,14541321000,1126074000,2302063000,2206000,2299857000,-3561553000,6527627000,-121841000,6272370000,6272370000,20813691000,148908000,7203000,24739000,-39436000,141414000,-280314000,34583000,-245731000,-41622000,320944000,216627000,216627000,-593000,216034000,115659000,992950000,0.10851,0.13097,0.02087,0.00629,2.31831,0.04771,1.31613,1.30298,10.04924,51.74029,0.41846,0.00852,0.31795,-0.40242,-0.42915
"13","2017_Q2",54.525873015873,"Down",1008534000,938703000,98664000,-28833000,-25050000,-3783000,-606942000,-189792000,-161260000,50540000,-34256000,-12791000,-21465000,16284000,16284000,9337000,19855000,19855000,19855000,-14841000,5014000,13089769000,1165263000,2891811000,609773000,3490351000,21246967000,13171317000,9541963000,3629354000,598139000,253917000,15016602000,1126074000,2278877000,2206000,2276671000,-3674547000,6499262000,699000.00000003,6230365000,6230365000,21246967000,19855000,6467000,379032000,-441615000,-36261000,436031000,5806000,441837000,-53382000,-197191000,208385000,208385000,1678000,210063000,57007000,993229000,0.05011,0.00497,0.000800000000000002,0.00024,2.41023,0.04675,0.05041,0.04991,10.13969,51.31797,0.5367,0.00283,10.64659,-3.01777,-3.40392
"14","2017_Q3",51.8939682539683,"Down",1100706000,981430000,106064000,13212000,-4393000,17605000,-605331000,-204361000,-147815000,143199000,-48870000,-12752000,-36118000,94329000,94329000,3333000,95687000,95687000,95687000,-10656000,85030999.9999999,13445721000,728519000,3050222000,591397000,3683779000,21499638000,13582665000,9878662000,3704003000,773069000,257698000,15606943000,7.75e+08,2285729000,2206000,2283523000,-3804141000,6551801000,84306000,5892695000,5892695000,21499638000,95687000,6171000,-116430000,199726000,185154000,1524000.00000012,-86416000,-84891999.9999998,-49339000,-543566000,-443304000,-443304000,7004000,-436300000,149370000,993511000,0.1301,0.07725,0.01443,0.00395,2.64852,0.04621,0.85489,0.84635,11.06638,51.45274,0.49605,0.00648,0.58025,1.77406,1.85052
"15","2017_Q4",45.0798412698413,"Down",1123737000,1017132000,95171000,11434000,14632000,-3198000,-1235367000,-194726000,-124629000,-430985000,-45344000,-12834000,-32510000,-476329000,-482299000,25877000,-457083000,-457083000,-457083000,-10657000,-467740000,13060650000,1350613000,2968096000,562774000,3876017000,21818150000,14308638000,10787575000,3521063000,792357000,268659000,16363451000,7.75e+08,2293722000,2206000,2291516000,-3807295000,6051659000,141613000,5454699000,5454699000,21818150000,-457083000,6641000,-183747000,797381000,163192000,498495000,-7597000,490898000,-42335000,-45869000,608221000,608221000,7636000,615857000,-424344000,993797000,-0.38353,-0.41624,-0.08575,-0.02144,2.99988,0.04555,-4.70261,-4.65561,11.29793,47.04917,0.42563,-0.02023,-0.09051,0.84086,0.82791
"16","2018_Q1",44.0116393442623,"Down",1358618000,1211495000,100906000,46217000,43037000,3180000,-840132000,-234712000,-148267000,135507000,-61078000,-16434000,-44644000,74428999.9999999,3576999.99999988,-31005000,-27428000,-27428000,-27427999.9999999,-10656000,-38084000,14784210000,948626000,3012419000,474061000,5540861000,24760177000,16638952000,12997553000,3641399000,999653000,403779000,19418913000,7.75e+08,2301372000,2206000,2299166000,-3807156000,5979666000,92382000,5341264000,5341264000,24760177000,-27428000,62192000,-241891000,154271000,-52856000,-91349000,-364984000,-456333000,-42820000,240938000,-268251000,-268251000,910000,-267341000,197699000,1376529000,0.09974,-0.02803,-0.00713,-0.00154,3.63564,0.05559,-0.38289,-0.37907,13.65939,45.90871,0.43051,2e-04,-1.12436,2.16442,3.15779
"17","2018_Q2",49.0915625,"Up",1260177000,1167402000,100999000,-8224000,-14830000,6606000,-661345000,-229260000,-172619000,196953000,-54623000,-16763000,-37860000,142330000,72166000,1036000,73202000,73202000,73202000,-10656000,62546000,13776337000,1227736000,3892957000,721820000,5468459000,25087309000,16694501000,12034643000,4659858000,1395944000,355634000,19822914000,7.75e+08,2291703000,2206000,2289497000,-3793386000,6076294000,-85216000,5264395000,5264395000,25087309000,73202000,68397000,-105933000,-123551000,-87885000,398182000,20237000,418419000,-45929000,-53092000,277442000,277442000,3354000,280796000,265350000,1376835000,0.15629,0.04963,0.01188,0.00249,3.76547,0.05488,0.62883,0.62255,12.66968,45.13588,0.46177,0.00458,0.73432,0.5619,0.75703
"18","2018_Q3",48.9907936507936,"Down",1254146000,1185548000,109962000,-41364000,-45093000,3729000,-706641000,-231952000,-169241000,146312000,27001000,-17098000,44099000,173313000,101135000,-996000.000000004,103517000,103517000,103517000,-10657000,92860000,13696861000,1089407000,3810316000,708679000,5713223000,25018486000,16546884000,11952734000,4594150000,1468765000,372626000,19765481000,7.75e+08,2297839000,2206000,2295633000,-3792291000,6135625000,-163168000,5253005000,5253005000,25018486000,103517000,64800000,-127055000,4172000.00000001,45434000,-111624000,7460999.99999988,-104163000,-43556000,-45068999.9999999,-103798000,-103798000,-14091000,-117889000,211112000,1377206000,0.11666,0.07404,0.01768,0.00371,3.7627,0.05505,1.10239,1.10239,14.88866,53.16086,0.51708,0.00579,0.46905,1.36325,1.96702
"19","2018_Q4",47.5836507936508,"Down",1329343000,1224076000,114419000,-9152000,-17628000,8476000,-794959000,-248315000,-156648000,129421000,-25202000,-16897000,-8305000,104219000,48901000,3525000,54093000,54093000,54093000,-10656000,43437000,13635834000,1053604000,3463360000,682785000,6007443000,24843026000,16268055000,12025947000,4242108000,1521763000,403354000,19570754000,7.75e+08,2306313000,2206000,2304107000,-3792211000,6145482000,-162312000,5272272000,5272272000,24843026000,54093000,49272000,-112143000,182396000,173618000,68990000,25865000,94855000,-43254000,-43277000,225196000,225196000,509000,225705000,178693000,1377582000,0.09736,0.03268,0.00824,0.00175,3.71202,0.05545,0.51566,0.51566,15.78136,53.38959,0.51349,0.00372,0.99579,1.81304,2.50329
"20","2019_Q1",48.6259016393443,"Up",1246740000,1214469000,113127000,-80856000,-72667000,-8189000,-1027342000,-259308000,-142695000,-182605000,14557000,-16674000,31231000,-168048000,-209660000,25921000,-187791000,-187791000,-187791000,-10656000,-198447000,13155560000,1232814000,3007296000,566622000,6170274000,24132566000,15916527000,12280769000,3635758000,1450829000,393178000,19102495000,7.75e+08,2310789000,2206000,2308583000,-3791420000,5912812000,-177110000,5030071000,5030071000,24132566000,-187791000,-342000.000000007,-266095000,333834000,-120394000,175028000,54415000,229443000,-43388000,-44769000,64279999.9999999,64279999.9999999,13342000,77622000.0000001,-182947000,1341961000,-0.14647,-0.15917,-0.03945,-0.00822,3.79766,0.05561,-2.35587,-2.35587,14.80074,50.51429,0.51508,-0.00684,-0.21864,-0.5966,-0.59772
"21","2019_Q2",51.4149206349206,"Up",1261211000,1134212000,107303000,19696000,12767000,6929000,-664028000,-260418000,-178094000,158671000,-22951000,-15895000,-7056000,135720000,107796000,-1234000,108781000,108781000,108781000,-10656000,98125000,13554308000,1151182000,3667923000,703028000,6481141000,25557582000,16810934000,12275771000,4535163000,1600486000,503661000,20257426000,7.75e+08,2298845000,2206000,2296639000,-3779388000,5976603000,29096000,5300156000,5300156000,25557582000,108781000,36846000,-116242000,-87077000,-57692000,-90962000,-11808000,-102770000,-46916000,-55919000,-216381000,-216381000,-7381000,-223762000,195517000,1342345000,0.12581,0.0778,0.01851,0.00384,3.82204,0.05252,1.1649,1.1649,14.97253,53.72061,0.55697,0.00605,0.47812,0.97773,1.20478
"22","2019_Q3",56.1915625,"Up",1285710000,1123607000,137951000,24152000,21229000,2923000,-672463000,-242363000,-168306000,202578000,-3226000,-15607000,12381000,199352000,188882000,-14469000,177047000,177047000,177047000,-10657000,166390000,14297982000,712463000,3732529000,657275000,6469925000,25870174000,16757843000,12254711000,4503132000,1665559000,492547000,20303697000,7.75e+08,2305798000,2206000,2303592000,-3779043000,6108577000,156145000,5566477000,5566477000,25870174000,177047000,24896000,-91640000,-69194000,41109000,-543025000,-20453000,-563478000,-44345000,1578000.00000003,-520791000,-520791000,9247000,-511544000,227474000,1387748000,0.15756,0.12941,0.02989,0.00643,3.64749,0.05364,1.97531,1.97531,15.26337,56.88226,0.52644,0.00871,0.26651,2.96862,3.33346
"23","2019_Q4",54.16296875,"Down",1289126000,1157307000,115760000,16059000,14526000,1533000,-850912000,-260026000,-158352000,19836000,41500000,-18043000,59543000,61336000,45754000,-8147000,38399000,38399000,38399000,-10656000,27743000,14359421000,763825000,3322316000,586440000,6463524000,25495526000,16651510000,12498507000,4153003000,1365928000,504083000,19909656000,7.75e+08,2311689000,2206000,2309483000,-3779017000,6101902000,176296000,5585870000,5585870000,25495526000,38399000,19888000,-27318000,227129000,258098000,-117815000,11220000,-106595000,-44234000,-44265000,107238000,107238000,6599000,113837000,39724000,1388135000,0.01539,0.02152,0.00497,0.00109,3.56429,0.05445,0.32935,0.32935,15.30392,57.11248,0.52513,0.00298,1.59442,15.71619,31.47358
"24","2020_Q1",50.3467741935484,"Down",1337380000,1172052000,117558000,47770000,42711000,5059000,-857395000,-261775000,-168398000,49812000,-71389000,-18562000,-52827000,-21577000,-4985000,158000,-754000,-754000,-754000,-9143000,-9897000,14302375000,1241109000,3071390000,492119000,6497061000,25604054000,16378327000,12752081000,3626246000,1382067000,491495000,20060046000,7.75e+08,2319418000,2206000,2317212000,-3778806000,6056686000,171710000,5544008000,5544008000,25604054000,-753999.999999985,-6401000,145880000,-181236000,-42511000,-7894606000,7893134000,-1472000,-44339000,376116000,332133000,332133000,35773000,367906000,43411000,1808157000,0.03725,-0.0074,-0.00179,-0.00039,3.61833,0.07062,-0.11749,-0.11749,15.87677,56.61552,0.52637,0.00142,-4.48004,13.06231,11.38376
"25","2020_Q2",35.1307936507936,"Down",1110142000,1088625000,93101000,-71584000,-62877000,-8707000,-908073000,-238650000,-159930000,-196511000,38211000,-23472000,61683000,-158300000,-159117000,4867000,-177827000,-177827000,-177827000,-7563000,-185390000,13967465000,755961000,3485043000,611229000,7129070000,25948768000,17477513000,13082273000,4395240000,1387067000,435965000,21109190000,5.5e+08,2310204000,2206000,2307998000,-3766714000,5836007000,-89919000,4839578000,4839578000,25948768000,-177827000,17411000,-168615000,279287000,-49744000,36107000,-13086000,23021000,-46462000,-279953000,-306676000,-306676000,-28718000,-335394000,-179100000,1808645000,-0.17701,-0.167,-0.03831,-0.00714,4.36178,0.0697,-2.20087,-2.20087,13.17911,50.92394,0.55158,-0.00566,-0.25062,-5.87763,-5.35687
"26","2020_Q3",40.1096875,"Up",1204085000,1104003000,45039000,55043000,53046000,1997000,-676262000,-228502000,-143507000,155814000,-30304000,-20595000,-9708999.99999999,125510000,123835000,-10893000,120044000,120044000,120044000,-7562000,112482000,13854350000,1086829000,3527147000,583484000,7307363000,26359173000,17597894000,13179166000,4418728000,1716146000,438237000,21061353000,5.5e+08,2319560000,2206000,2317354000,-3766368000,5913029000,281599000,5297820000,5297820000,26359173000,120044000,16153000,-88127000,107666000,155736000,790937000,-11433000.000001,779504000,-42238000,-542349000,392891000,392891000,14879000,407770000,171967000,1309076000,0.1294,0.09342,0.02123,0.00427,3.97548,0.04966,1.33534,1.33534,14.29436,56.36398,0.50143,0.00628,0.37551,1.29238,1.42636
"27","2020_Q4",45.064375,"Up",1250319000,1091313000,101958000,57048000,55608000,1440000,-879677000,-230564000,-145776000,-5698000,-76308000,-15574000,-60734000,-82006000,-80336000,12056000,-65384000,-65384000,-65384000,-7563000,-72947000,14505666000,1000781000,3131791000,520706000,7294052000,26452996000,17724137000,13653488000,4070649000,1702957000,450623000,21187101000,5.5e+08,2327402000,2206000,2325196000,-3766255000,5804637000,350111000,5265895000,5265895000,26452996000,-65384000,13170000,-221428000,516429000,242787000,-8248407000,7831856000,-416551000,-42164000,-42247000,-216011000,-216011000,7994000,-208017000,7472000,1309384000,-0.00456,-0.05834,-0.01385,-0.00276,4.02346,0.0495,-0.86599,-0.86599,14.84322,55.98498,0.50055,-0.00124,-0.57801,41.30126,-54.15988
"28","2021_Q1",46.9572131147541,"Up",1277408000,1087368000,109503000,80537000,83356000,-2819000,-817240000,-231801000,-147106000,81261000,-87717000,-15408000,-72309000,-6456000,-13515000,6291000,2743000,2743000,2742999.99999997,-7562000,-4819000,14258796000,902831000,2738342000,431439000,7546279000,25877687000,17612652000,13926766000,3685886000,1196819000,462827000,20581993000,5.5e+08,2332260000,2206000,2330054000,-3764568000,5763607000,414395000,5295694000,5295694000,25877687000,2742999.99999997,19063000,403627000,-430709000,-5275999.99999997,-1738135000,1842082000,103947000,-42557000,-44254000.0000001,54416999.9999999,54416999.9999999,7999000,62416000,100324000,1309695000,0.06361,-0.00377000000000002,-0.00091,-0.00019,3.88655,0.05061,-0.0572100000000004,-0.0572099999999995,15.16481,56.33874,0.50522,0.00153,-8.83109,4.0555,5.00688
"29","2021_Q2",50.1606349206349,"Up",1250313000,1103722000,114165000,32426000,29645000,2781000,-714718000,-218871000,-162126000,154598000,-19684000,-15571000,-4113000,134914000,134914000,-20776000,123300000,123300000,123300000,-7563000,115737000,14410152000,895932000,3367142000,577509000,7835092000,27085827000,18576698000,14025274000,4551424000,1621328000,401402000,21909437000,5.5e+08,2318353000,2206000,2316147000,-3749674000,5842850000,214861000,5176390000,5176390000,27085827000,123300000,15096000,-69926000,76676000,145146000,-4334475000,4310249000,-24226000,-46146000,-55527000,65393000,65393000,-8346000,57047000,169694000,1310009000,0.12365,0.09257,0.02236,0.00427,4.23257,0.04837,1.37398,1.37398,14.84315,54.92242,0.54782,0.00636,0.39871,2.44014,2.67840999999999
"30","2021_Q3",47.25453125,"Down",1340720000,1156941000,104671000,79108000,73291000,5817000,-666472000,-219070000,-166803000,288375000,-34838000,-15235000,-19603000,253537000,253537000,-27865000,235470000,235470000,235470000,-7562000,227908000,14657191000,999899000,3393777000,574658000,7956205000,27581730000,18856297000,14157353000,4698944000,1615667000,409678000,22191970000,5.5e+08,2328494000,2206000,2326288000,-3749202000,6034151000,226317000,5389760000,5389760000,27581730000,235470000,16250000,-100157000,238218000,389781000,-2398226000,2075770000,-322456000,-43285000,-43724000,23601000,23601000,5563000,29164000,304625000,1310328000,0.21509,0.16999,0.04229,0.00826,4.11743,0.04751,2.69128,2.67526,15.83203,57.15082,0.51114,0.01044,0.189920000000001,1.01905,1.07648
"31","2021_Q4",49.751875,"Up",1337363000,1211427000,107339000,18597000,10932000,7665000,-1335952842.68833,-389672000,-915546000,32145000,12078000,-15954000,28032000,44223000,44223000,-1186000,54948000,54948000,54948000,-7563000,47385000,15146158000,947542000,2978996000,544384000,8318057000,27935137000,19123278000,14658996000,4464282000,1681802000,484352000,22600082000,5.5e+08,2339101000,2206000,2336895000,-3749011000,6044843000,150122000,5335055000,5335055000,27935137000,54946000,15621000,-154447000,559117000,475237000,-2288033000,1765387000,-522646000,-43231000,-43437000,-90846000,-90846000,607000,-90239000,47766000,1310650000,0.02404,0.03543,0.00888,0.0017,4.23615,0.04692,0.55955,0.55622,15.79239,56.50483,0.5105,0.00345,0.91234,7.60181,11.29594
"32","2022_Q1",53.9995161290323,"Up",1393329000,1237760000,128126000,27443000,20411000,7032000,-1627593000,-94221000,564893000,236408000,-20173000,-15542000,-4631000,216235000,216235000,-12557000,204891000,204891000,204891000,-7562000,197329000,15134317000,844592000,2622676000,465593000,8301792000,27368970000,18743770000,14653094000,4090676000,1356163000,547406000,21958314000,5.5e+08,2348385000,2206000,2346179000,-3749010000,6204745000,56536000,5410656000,5410656000,27368970000,204893000,20010000,55275000,-175520000,104658000,-1586083000,1341216000,-244867000,-43191000,-43407000,-183616000,-183616000,2102000,-181514000,256418000,1310975000,0.16967,0.14162,0.03647,0.00721,4.05835,0.0479,2.32032,2.27361,16.38362,57.1546,0.50787,0.00925,0.21888,1.81884,1.97279
