"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",18.61765625,"Down",92457000,-71233000,21224000,-12967000,-12967000,8257000,-30000,-30000,8227000,8227000,-2409000,5818000,5818000,5818000,5818000,16714000,16464000,62988000,62988000,92313000,5132000,177147000,122194000,35098000,31772000,157292000,334439000,42411000,15579000,26832000,61411000,34215000,28519000,22568000,5696000,34215000,95626000,7823000,246896000,-15906000,238813000,238813000,334439000,5818000,3428000,484000,-6060000,3670000,-2345000,-2100000,-5100000,-3775000,-3775000,120000,-3655000,11685000,1.9e+07,0.22956,0.08931,0.06293,0.02436,0.0174,2.88461,0.40042,0.05681,0.22167,0.22167,3.52269,9.09898,0.08001,0.02711,0.36095,0.19564,0.27686
"12","2013_Q3",23.1271875,"Up",106415000,-79934000,26481000,-12964000,-12964000,13517000,-21000,-21000,13496000,13496000,-4328000,9168000,9168000,9168000,9168000,27102000,26851000,70368000,70368000,84689000,4567000,186726000,120211000,35849000,32245000,156060000,342786000,48619000,17035000,31584000,63619000,32643000,26969000,22729000,5674000,32643000,96262000,7823000,253964000,-15263000,246524000,246524000,342786000,9168000,3377000,557000,4316000,17418000,-1051000,-2099000,-6099000,10268000,10268000,119000,10387000,16894000,1.5e+07,0.24885,0.12702,0.08615,0.03719,0.02675,2.93507,0.39048,0.04376,0.34932,0.34931,4.05459,9.39299,0.07998,0.0383,0.22895,-0.71635,-0.89532
"13","2013_Q4",25.49203125,"Up",101186000,-76701000,24485000,-12448000,-12448000,12037000,-70000,-70000,11967000,11967000,-4021000,7946000,7946000,7946000,7946000,33815000,33563000,64492000,64492000,81147000,9195000,188649000,118853000,38159000,31911000,157012000,345661000,50364000,14554000,35810000,59364000,32600000,26935000,22942000,5665000,32600000,91964000,7987000,259838000,-14128000,253697000,253697000,345661000,7946000,3378000,673000,4631000,16628000,-1726000,-2101000,-8101000,6801000,6801000,-89000,6712000,15415000,9e+06,0.24198,0.11896,0.07853,0.03132,0.02299,3.17784,0.3625,0.02604,0.30266,0.30266,3.85417,9.66332,0.08003,0.03402,0.26441,-1.6098,-2.06156
"14","2014_Q1",25.9086885245902,"Up",91607000,-70142000,21465000,-13355000,-13355000,8110000,2477000,2477000,10587000,10587000,-3415000,7172000,7172000,7172000,7172000,31123000,31123000,59374000,59374000,89946000,8846000,189289000,131189000,35160000,31503000,166349000,355638000,44570000,17882000,26688000,60760000,30738000,18393000,18393000,12345000,30738000,91498000,7953000,264648000,-8461000,264140000,264140000,355638000,7172000,3405000,-1044000,3137000,12670000,-12987000,-2362000,-2362000,-2679000,-2679000,239000,-2440000,11515000,9e+06,0.23432,0.08853,0.07829,0.02715,0.02017,3.11536,0.3464,0.02531,0.2732,0.2732,3.48952,10.0617,0.08997,0.03137,0.32934,-1.92123,-2.72787
"15","2014_Q2",26.2422222222222,"Up",110064000,-82510000,27554000,-12861000,-12861000,14693000,139000,139000,14832000,14832000,-4878000,9954000,9954000,9954000,9954000,22004000,21750000,71902000,71902000,88933000,8370000,191209000,129648000,36948000,31199000,166596000,357805000,43928000,16961000,26967000,55682000,30902000,18563000,18563000,12339000,30902000,86584000,7953000,271911000,-8643000,271221000,271221000,357805000,9954000,3462000,-504000,-14275000,-1363000,-1591000,-2692000,-6529000,-9483000,-9483000,110000,-9373000,18155000,5163000,0.25035,0.1335,0.09044,0.0367,0.02782,3.43395,0.31924,0.01443,0.37916,0.37916,4.19243,10.33103,0.10254,0.04115,0.27044,-0.92762,-1.14619
"16","2014_Q3",25.80453125,"Down",109728000,-82824000,26904000,-13483000,-13483000,13421000,-193000,-193000,13228000,13228000,-4368000,8860000,8860000,8860000,8860000,29701000,29446000,75864000,75864000,88376000,11317000,205258000,132810000,47566000,41170000,180376000,385634000,47991000,20252000,27739000,76024000,31319000,18988000,18988000,12331000,31319000,107343000,7953000,278737000,-8399000,278291000,278291000,385634000,8860000,3586000,741000,159000,13346000,-20275000,-2034000,15470000,8541000,8541000,-845000,7696000,17007000,22667000,0.24519,0.12231,0.08075,0.03184,0.02298,2.69991,0.38572,0.05878,0.33748,0.33748,4.17963,10.60033,0.07748,0.03279,0.22957,-0.41359,-0.5241
"17","2014_Q4",25.32,"Down",110159000,-82093000,28066000,-14046000,-14046000,14020000,261000,261000,14281000,14281000,-4842000,9439000,9439000,9439000,9439000,33196000,33196000,70502000,70502000,92291000,10245000,206234000,131598000,49330000,41082000,180928000,387162000,50696000,19896000,30800000,71879000,31574000,19260000,19260000,12314000,31574000,103453000,8193000,285839000,-10323000,283709000,283709000,387162000,9439000,3703000,-592000,291000,12841000,-2094000,-2363000,-7863000,2884000,2884000,610000,3494000,17723000,17167000,0.25478,0.12727,0.08569,0.03327,0.02438,2.86918,0.36464,0.04434,0.35944,0.35944,4.19485,10.80362,0.08998,0.0355,0.25034,-0.90442,-1.1433
"18","2015_Q1",24.0303278688525,"Down",104974000,-79939000,25035000,-13864000,-13864000,11171000,222000,222000,11393000,11393000,-3505000,7888000,7888000,7888000,7888000,24491000,24491000,70734000,70734000,94760000,10724000,200709000,133964000,46231000,39918000,180195000,380904000,48180000,17908000,30272000,64346000,34591000,25793000,21297000,8798000,34591000,98937000,8192000,291101000,-17326000,281967000,281967000,380904000,7888000,3864000,-1147000,-6426000,4179000,-5304000,-2626000,-7793000,-8918000,-8918000,469000,-8449000,15035000,1.2e+07,0.23849,0.10642,0.07514,0.02797,0.02071,3.11921,0.35088,0.0315,0.30037,0.30037,3.99739,10.73724,0.1,0.032,0.33291,-0.83079,-1.11816
"19","2015_Q2",23.22,"Down",99233000,-75318000,23915000,-13312000,-13312000,10603000,310000,310000,10913000,10913000,-3638000,7275000,7275000,7275000,7275000,27301000,27301000,71593000,71593000,97202000,9111000,205207000,132007000,45600000,39448000,177607000,382814000,51347000,20361000,30986000,63737000,35071000,26285000,21414000,8786000,35071000,98808000,8192000,295750000,-19936000,284006000,284006000,382814000,7275000,3752000,913000,-2977000,8963000,-1397000,-2626000,-5626000,1940000,1940000,870000,2810000,14355000,9e+06,0.241,0.10685,0.07331,0.02562,0.019,3.21959,0.34791,0.02351,0.27703,0.27703,3.77879,10.81493,0.1,0.03018,0.36096,-1.27489,-1.72602
"20","2015_Q3",20.41421875,"Down",103892000,-79751000,24141000,-14258000,-14258000,9883000,-18000,-18000.0000000001,9865000,9865000,-3236000,6629000,6629000,6629000,6629000,25989000,25989000,76785000,76785000,93224000,9576000,205574000,131416000,45087000,39053000,176503000,382077000,48502000,17897000,30605000,56669000,35616000,26836000,21589000,8780000,35616000,92285000,8192000,299753000,-18153000,289792000,289792000,382077000,6629000,3780000,2364000,-4222000,8551000,-2673000,-2626000,-5626000,251999.999999999,251999.999999999,-1564000,-1312000,13663000,6e+06,0.23237,0.09513,0.06381,0.02288,0.01735,3.62763,0.31845,0.0157,0.25243,0.25243,3.9562,11.03526,0.1,0.02793,0.39614,-1.463,-2.02256
"21","2015_Q4",22.97859375,"Up",104229000,-80917000,23312000,-14363000,-14363000,8949000,99000,99000,9048000,9048000,-3155000,5893000,5893000,5893000,5893000,33822000,33822000,74544000,74544000,82790000,9051000,200207000,131995000,45622000,41141000,177617000,377824000,48626000,16330000,32296000,52788000,36220000,27386000,21720000,8834000,36220000,89008000,5095000,301768000,-18047000,288816000,288816000,377824000,5893000,3824000,2872000,14799000,27388000,-5963000,-2608000,-13231000,8194000,8194000,-361000,7833000,12773000,1970000,0.22366,0.08586,0.05654,0.0204,0.0156,3.79266,0.30818,0.00521,0.22522,0.22522,3.9834,11.03792,0.09967,0.026,0.44256,-2.4937,-3.55928
"22","2016_Q1",20.7295081967213,"Down",98796000,-77584000,21212000,-14256000,-14256000,6956000,484000,484000,7440000,7440000,-2128000,5312000,5312000,5312000,5312000,23724000,23724000,76758000,76758000,82818000,6091000,189391000,129887000,44923000,41063000,174810000,364201000,41719000,14529000,27190000,43460000,33720000,30093000,20784000,3627000,33720000,77180000,5095000,304341000,-22415000,287021000,287021000,364201000,5312000,3926000,-3143000,-10314000,-4219000,-1147000,-2739000,-4607000,-9973000,-9973000,-125000,-10098000,10882000,2.3283064365387e-10,0.21471,0.07041,0.05377,0.01851,0.01459,4.35782,0.2689,-8.67361737988404e-19,0.20367,0.20367,3.78799,11.00482,0.10502,0.0251,0.51562,-2.18011,-3.41058
"23","2016_Q2",23.2515625,"Up",100257000,-77360000,22897000,-13669000,-13669000,9228000,31000,31000,9259000,9259000,-2977000,6282000,6282000,6282000,6282000,40191000,40191000,78059000,78059000,77293000,3354000,198897000,127569000,44857000,40876000,172426000,371323000,44741000,17476000,27265000,46379000,32629000,28667000,20970000,3962000,32629000,79008000,5095000,307885000,-20665000,292315000,292315000,371323000,6282000,3872000,-1087000,11043000,20110000,-1212000,-2855730.26471209,-2739000,16159000,16159000,308000,16467000,13100000,0,0.22838,0.09204,0.06266,0.02149,0.01692,4.28851,0.27028,0,0.24084,0.24084,3.84368,11.20684,0.109648291179753,0.01933,0.626271663598596,-3.06802,-4.35533
"24","2016_Q3",22.5940625,"Down",96265000,-73025000,23240000,-13702000,-13702000,9538000,94000,94000,9632000,9632000,-3012000,6620000,6620000,6620000,6620000,49541000,49541000,74676000,74676000,75551000,2561000,202329000,125375000,44280000,40413000,169655000,371984000,46282000,15298000,30984000,46643000,29167000,25224000,21140000,3943000,29167000,75810000,5095000,311766000,-20687000,296174000,296174000,371984000,6620000,3905000,-3087000,6043000,13481000,-1335000,-2918376.97586863,-2739000,9407000,9407000,-57000,9350000,13443000,0,0.24142,0.09908,0.06877,0.02235,0.0178,4.33782,0.25596,-5.42101086242752e-20,0.2538,0.2538,3.69063,11.35479,0.112067739579623,0.02035,0.737733945467201,-3.68526,-5.19407
"25","2016_Q4",23.7690476190476,"Up",91346000,-68676000,22670000,-12819000,-12819000,9851000,551000,551000,10402000,10402000,-3475000,6927000,6927000,6927000,6927000,63681000,63681000,73889000,73889000,74524000,6146000,218240000,124723000,44386000,40227000,169109000,387349000,53197000,14996000,38201000,55430000,30884000,23779000,21307000,7105000,30884000,86314000,5096000,316157000,-20218000,301035000,301035000,387349000,6927000,3827000,-2063000,9927000,18618000,-1782000,-2948858.55466913,-2739000,14097000,14097000,43000,14140000,13678000,0,0.24818,0.10784,0.07583,0.02301,0.01788,3.93722,0.28672,0,0.26549,0.26549,3.50104,11.53783,0.113172042389618,0.02087,0.801558395536507,-4.65572,-6.46442
"26","2017_Q1",26.298064516129,"Up",94203000,-70482000,23721000,-14104000,-14104000,9617000,-628000,-628000,8989000,7189000,-2135000,5054000,5054000,5054000,5054000,57604000,57604000,71424000,71424000,69049000,5823000,203900000,122067000,56851000,42871000,178918000,382818000,47991000,16306000,31685000,49352000,30578000,20709000,20709000,9869000,30578000,79930000,5312000,318041000,-20465000,302888000,302888000,382818000,5054000,3925000,-1376000,-6378000,1225000,-4137000,-2969093.42231308,-3001000,-5913000,-5913000,-164000,-6077000,13542000,1.81898940354586e-12,0.25181,0.10209,0.05365,0.01669,0.0132,4.13154,0.26389,0,0.1937,0.1937,3.61035,11.60823,0.113854896799741,0.01516,0.769296563737209,-4.25373,-5.98981
"27","2017_Q2",22.6957142857143,"Down",92603000,-70351000,22252000,-13594000,-13594000,8658000,-1338000,-1338000,7320000,7320000,-2255000,5065000,5065000,5065000,5065000,60451000,60451000,77554000,77554000,68030000,3324000,209359000,120909000,56020000,42634000,176929000,386288000,47870000,16862000,31008000,48763000,30750000,20880000,20880000,9870000,30750000,79513000,5312000,320105000,-18642000,306775000,306775000,386288000,5065000,3754000,2394000,-3613000,7600000,-1950000,-3001000,-3001000,2649000,2649000,198000,2847000,12412000,0,0.24029,0.0935,0.0547,0.01651,0.01311,4.2934,0.25919,0,0.19411,0.19411,3.54894,11.75693,0.11501,0.0239,0.5925,-4.87037,-6.9821
"28","2017_Q3",24.4633333333333,"Up",97872000,-70627000,27245000,-14084000,-14084000,13161000,-1354000,-1354000,11807000,11807000,-3959000,7848000,7848000,7848000,7848000,66974000,66974000,72884000,72884000,66781000,8842000,215481000,119441000,58544000,42482000,177985000,393466000,46930000,17205000,29725000,47951000,31125000,21055000,21055000,10070000,31125000,79076000,5461000,324974000,-16045000,314390000,314390000,393466000,7848000,3679000,302000,4558000,16387000,-7394000,-3001000,-3001000,5992000,5992000,531000,6523000,16840000,-2.27373675443232e-13,0.27837,0.13447,0.08019,0.02496,0.01995,4.49377,0.25152,0,0.30073,0.30073,3.75033,12.04703,0.11499,0.0314,0.38239,-3.97708,-5.08882
"29","2017_Q4",27.1160317460317,"Up",93976000,-67518000,26458000,-14122000,-14122000,12336000,-281000,-281000,12055000,7957000,-2255000,5702000,5702000,5702000,5702000,75958000,75958000,67964000,67964000,73803000,7398000,225123000,117471000,54070000,37879000,171541000,396664000,46729000,16624000,30105000,47280000,30375000,21238000,21238000,9137000,30375000,77655000,5626000,327701000,-14318000,319009000,319009000,396664000,5702000,3973000,5098000,-5348000,9425000,1823000,-3002000,-3002000,8246000,8246000,738000,8984000,16309000,0,0.28154,0.13127,0.06068,0.01787,0.01437,4.76148,0.24343,0,0.21841,0.21841,3.5997,12.21947,0.11499,0.02491,0.52648,-4.65743,-6.15743
"30","2018_Q1",25.2165573770492,"Down",94938000,-69685000,25253000,-13674000,-13674000,11579000,715000,715000,12294000,12294000,-4354000,7940000,7940000,7940000,7940000,79680000,79680000,67369000,67369000,74967000,5918000,227934000,117071000,50010000,37918000,167081000,395015000,41598000,15798000,25800000,45696000,23824000,15737000,15737000,8087000,23824000,69520000,5626000,332378000,-12509000,325495000,325495000,395015000,7940000,3647000,-4572000,2838000,9853000,-2889000,-3264000,-3264000,3700000,3700000,22000,3722000,15226000,0,0.26599,0.12196,0.08363,0.02439,0.0201,4.98805,0.21358,0,0.30413,0.30413,3.63652,12.46781,0.12502,0.03207,0.41108,-5.23315,-6.88142
"31","2018_Q2",28.13734375,"Up",96604000,-70398000,26206000,-14356000,-14356000,11850000,806000,806000,12656000,12656000,-3039000,9617000,9617000,9617000,9617000,88389000,88389000,65038000,65038000,79132000,5868000,238427000,116053000,50636000,37690000,166689000,405116000,44296000,16348000,27948000,49263000,23305000,15499000,15499000,7806000,23305000,72568000,5626000,338732000,-11810000,332548000,332548000,405116000,9617000,3600000,1116000,189000,14522000,-2033000,-3263000,-3634000,8855000,8855000,-146000,8709000,15450000,0,0.27127,0.12267,0.09955,0.02892,0.02374,4.83988,0.21822,0,0.36837,0.36837,3.70036,12.73807,0.12499,0.03619,0.33929,-5.72097,-7.45899
"32","2018_Q3",31.7692063492063,"Up",111827000,-81962000,29865000,-14872000,-14872000,14993000,-2407000,-2407000,12586000,12586000,-2413000,10173000,10173000,10173000,10173000,83721000,83721000,74058000,74058000,79418000,5297000,242494000,115426000,52627000,36966000,168053000,410547000,44853000,16446000,28407000,48185000,22795000,15190000,15190000,7605000,22795000,70980000,5664000,345647000,-11744000,339567000,339567000,410547000,10173000,3610000,-1456000,-12512000,-184999.999999998,-477000,-3264000,-3352000,-4014000,-4014000,-654000,-4668000,18603000,-8.88178419700125e-16,0.26706,0.13407,0.09097,0.02996,0.02478,5.03256,0.20903,-1.65436122510606e-24,0.38966,0.38966,4.2833,13.00641,0.12502,0.03708,0.32085,-4.5004,-5.58401
"33","2018_Q4",29.8447619047619,"Down",102893000,-75566000,27327000,-14207000,-14207000,13120000,532000,532000,13652000,13652000,-2951000,10701000,10701000,10701000,10701000,101381000,101381000,72662000,72662000,82044000,5501000,261588000,113466000,48757000,36542000,162223000,423811000,50156000,17298000,32858000,54043000,22029000,14341000,14341000,7688000,22029000,76072000,5942000,353116000,-11319000,347739000,347739000,423811000,10701000,3674000,641000,7192000,22208000,-1378000,-3264000,-3264000,17566000,17566000,94000,17660000,16794000,0,0.26559,0.12751,0.104,0.03077,0.02525,4.84037,0.21876,0,0.40973,0.40973,3.93969,13.31464,0.12498,0.03777,0.30502,-6.03674,-7.72721
"34","2019_Q1",31.1493442622951,"Up",103010000,-76487000,26523000,-15847000,-15847000,10676000,746000,746000,11422000,11422000,-1934000,9488000,9488000,9488000,9488000,46458000,46458000,67714000,67714000,87387000,7127000,208686000,113493000,46103000,36185000,159596000,368282000,43233000,16678000,26555000,48465000,26685000,21853000,21853000,4832000,26685000,75150000,7641000,308914000,-23423000,293132000,293132000,368282000,9488000,3600000,2575000,-10998000,4665000,-3580000,-55760000,-55301000,-54216000,-54216000,-707000,-54923000,14276000,-2.22044604925031e-16,0.25748,0.10364,0.09211,0.03237,0.02576,4.30591,0.25637,0,0.36329,0.36329,3.94414,11.22371,2.13499,0.20402,5.8769,-3.25427,-4.35163
"35","2019_Q2",30.1331746031746,"Down",96859000,-73546000,23313000,-14363000,-14363000,8950000,292000,292000,9242000,9242000,-2020000,7222000,7222000,7222000,7222000,50177000,50177000,65617000,65617000,85359000,6838000,207991000,112228000,49125000,35835000,161353000,369344000,39521000,16259000,23262000,45521000,26876000,21689000,21689000,5187000,26876000,72397000,7561000,312645000,-23259000,296947000,296947000,369344000,7222000,3566000,714000,-1843000,9659000,-2124000,-3526000,-3943000,3592000,3592000,127000,3719000,12516000,0,0.24069,0.0924,0.07456,0.02432,0.01955,4.56912,0.2438,0,0.2765,0.2765,3.70839,11.36905,0.135,0.03319,0.48823,-4.00903,-5.60637
