"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",13.6103174603175,"Up",120607000,-66779000,53828000,-24995000,-18704000,-891000,28833000,-14172000,-10330000,-3717000,-125000,14661000,-7899000,6762000,1443000,8205000,8205000,-212000,7993000,-4417000,3576000,135960000,135960000,8585000,8585000,14397000,14397000,158942000,1651437000,205989000,16646000,11958000,177385000,1857426000,2016368000,425361000,58278000,350933000,476789000,659839000,741173000,1217962000,1104685000,-346439000,758246000,40160000,798406000,2016368000,8205000,17637000,7270000,2436000,35548000,-112546000,-121193000,-3568000,-116114000,-15513000,9789000,-3917000,-19576000,-100142000,-100142000,-100142000,46470000,659839000,-65083000,0.44631,0.23907,0.02965,0.00448,0.00177,-18.19994,0.33336,1.52549,0.32724,0.08454,0.08348,2.8514,17.92654,-1.5387,0.36676,0.0124,4.33809,11.27349,18.16942
"12","2017_Q1",14.3098387096774,"Up",111446000,79776000,191222000,-170579000,-18131000,-145259000,20643000,-9792000,-10282000,587000,-97000,10851000,-4513999.99999999,6337000.00000003,375000,6712000,6712000,-204000,6508000,-5374000,1133999.99999999,185644000,185644000,8769000,8769000,8993000,8993000,203406000,1767570000,184560000,16944000,11441000,156175000,1952130000,2155536000,428977000,65106000,337821000,480405000,714078000,795392000,1275797000,1198876000,-363458000,835418000,44321000,879739000,2155536000,6712000.00000001,18654000,-10019000,-12025000,3322000,-41955000,-88292000,1287000,-40668000,-16869000,642000,-637000,76819000,39473000,39473000,39473000,39297000,714078000,-15058000,1.71583,0.18523,0.0101800000000001,0.00129,0.00053,-13.27866,0.42341,1.4502,0.33128,0.0271800000000001,0.0266699999999997,2.67101,20.02232,-0.36089,0.4043,0.01075,14.87566,13.44718,25.5987
"13","2017_Q2",13.6068253968254,"Down",107998000,-30861000,77137000,-61300000,-19462000,-37213000,15837000,2230000,-9724000,12353000,-399000,18067000,10131000,28198000,-2243000,25955000,25955000,-1181000,24774000,-6042000,18732000,47633000,47633000,11024000,11024000,7206000,7206000,65863000,1924050000,134123000,17562000,2856000,113705000,2058173000,2124036000,395146000,65325000,312237000,395146000,758096000,839364000,1234510000,1198393000,-356357000,842036000,47490000,889526000,2124036000,25955000,19950000,-27133000,-1625000,17147000,-62717000,-122718000,-455000,-51549000,-27256000,-77466000,-674000,-105396000,-139798000,-139798000,-139798000,35787000,758096000,-26312000,0.71424,0.14664,0.17345,0.02106,0.00882,-1.40466,0.16668,1.38783,0.35691,0.44903,0.44483,2.58883,20.1845,-0.63073,0.65336,0.0266,1.45505,19.85254,44.86096
"14","2017_Q3",13.5046031746032,"Down",138004000,-35605000,102399000,-68523000,-20114000,-41811000,33876000,-10086000,-10518000,710999.999999998,-279000,23790000,61660000,85450000,-662000,84788000,84788000,-4758000,80030000,-6042000,73988000,59600000,59600000,12374000,12374000,7218000,7218000,79192000,2051750000,65226000,17105000,3567000,44554000,2116976000,2196168000,400548000,71108000,311850000,400548000,758344000,839613000,1240161000,1199506000,-295314000,904192000,51815000,956007000,2196168000,84788000,20573000,-68363000,12577000,49575000,-19938000,-148588000,1450000,-18488000,-18574000,-486000,-48000.0000000002,-19108000,11979000,11979000,11979000,54449000,758344000,47750000,0.742,0.24547,0.53613,0.07739,0.03369,0.64537,0.19771,1.29723,0.3453,1.77271,1.74948,3.3065,21.66396,1.14406,0.44502,0.05155,0.25104,12.833,20.62652
"15","2017_Q4",13.347619047619,"Down",129589000,-36332000,93257000,-68054000,-21658000,-41477000,25203000,-10680000,-11101000,539000,-118000,14523000,-12585000,1938000,1325000,3263000,3263000,90000,3353000,-6040000,-2687000,57529000,57529000,13344000,13344000,8504000,8504000,79377000,2034588000,71489000,16969000,3705000,50815000,2106077000,2185454000,390954000,62166000,311200000,390954000,771978000,853247000,1244201000,1195200000,-309216000,885984000,55269000,941253000,2185454000,3263000,22022000,3934000,-5942000,23277000,-11006000,-10967000,-495000,-11501000,-18579000,14020000,-3253000,-12561000,-785000,-785000,-785000,47225000,771978000,28952000,0.71964,0.19448,-0.02073,-0.00285000000000002,-0.00123,-10.77484,0.20303,1.32186,0.35323,-0.0644,-0.06356,3.10606,21.23574,0.69394,0.44531,0.00886,-6.9144,15.12862,28.34778
"16","2018_Q1",13.456393442623,"Up",122646000,-35824000,86822000,-69316000,-22518000,-39387000,17506000,-10859000,-11048000,164000,25000,6647000,-12031000,-5383999.99999999,-3682000,-9065999.99999999,-9065999.99999999,777000,-8288999.99999999,-6045000,-14334000,17945000,17945000,11999000,11999000,7641000,7641000,37585000,2009572000,91179000,16388000,3569000,71222000,2100751000,2138336000,383568000,58770000,307683000,399668000,769230000,850514000,1250182000,1165492000,-331624000,833868000,54286000,888154000,2138336000,-9066000,23009000,11399000,-8218000,17124000,-10989000,-19012000,-7137000,-18125000,-18577000,9530000,-13000.0000000005,-39446000,-40447000,-40447000,-40447000,40515000,769230000,24990000,0.70791,0.14274,-0.11687,-0.01614,-0.0067,-1.74341,0.09404,1.40762,0.35973,-0.35375,-0.34498,3.02682,20.5793,0.61674,0.45847,0.00244,-1.29601,18.54338,42.91586
"17","2018_Q2",15.3465625,"Up",99639000,-31207000,68432000,-63133000,-21539000,-36503000,5299000,-12205000,-11347000,-201000,-657000,-6906000,-4897000,-11803000,2655000,-9148000,-9148000,1104000,-8044000,-6044000,-14088000,31620000,31620000,11774000,11774000,7974000,7974000,51368000,2033555000,74015000,16184000,3368000,54463000,2107570000,2158938000,383165000,58772000,307283000,419165000,751432000,751432000,1170597000,1155445000,-230131000,925314000,63027000,988341000,2158938000,-9148000,22011000,-4207000,969000,9625000,-10854000,-60448000,42928000,32074000,-18200000,1450000,-108000,-27691000,14008000,14008000,14008000,27310000,751432000,14770000,0.6868,0.05318,-0.14139,-0.01425,-0.00653,-1.04841,0.12255,1.18441,0.34806,-0.35543,-0.35543,2.51384,23.34519,0.37264,0.45918,0.00236,-1.29188,26.35709,135.83921
"18","2018_Q3",17.4760317460317,"Up",133840000,-36276000,97564000,-71376000,-22061000,-41732000,26188000,-11399000,-11859000,537000,-77000.0000000001,14789000,-1782000,13007000,-1170000,11837000,11837000,7e+05,12537000,-6043000,6494000,46869000,46869000,11517000,11517000,7063000,7063000,65449000,2039715000,72556000,15844000,3406000,53306000,2112271000,2177720000,414796000,63015000,334664000,440796000,748483000,748483000,1189279000,1157145000,-234007000,923138000,65303000,988441000,2177720000,11837000,22523000,4956000,2969000,42285000,-19155000,-19141000,-7785000,-26940000,-18097000,17599000,-509000,-1007000,14338000,14338000,14338000,48711000,748483000,33695000,0.72896,0.19567,0.04852,0.00657,0.00298,5.18864,0.14848,1.20319,0.3437,0.16547,0.16547,3.41039,23.52256,0.85859,0.46113,0.01416,2.78673,14.4036,26.79143
"19","2018_Q4",14.7365079365079,"Down",127848000,-36090000,91758000,-70138000,-22764000,-41533000,21620000,-11786000,-12384000,582000,16000,9834000,-4162000,5672000,-2685000,2987000,2987000,-178000,2809000,-6044000,-3235000,37727000,37727000,9425000,9425000,9285000,9285000,56437000,2025534000,84322000,15672000,4487000,64163000,2109856000,2166293000,416575000,65051000,334399000,442575000,748684000,748684000,1191259000,1155815000,-245830000,909985000,65049000,975034000,2166293000,2987000,23240000,1569000,3361000,31157000,-15214000,-15214000,-4387000,-19601000,-18105000,-386000,15000,-18476000,-6920000,-6920000,-6920000,44860000,748684000,35692000,0.71771,0.16911,-0.0253,-0.00332,-0.00149,-11.03308,0.12752,1.22176,0.34561,-0.08227,-0.08227,3.2515,23.1432,0.90774,0.46046,0.00863,-5.5966,15.84835,32.88423
"20","2019_Q1",14.47,"Down",133736000,-37212000,96524000,-74357000,-23467000,-42524000,22167000,-12804000,-12787000,166000,-183000,9363000,-7607000,1756000,933000,2689000,2689000,-1000,2688000,-6043000,-3355000,32598000,32598000,10241000,10241000,8185000,8185000,51024000,2026659000,60947000,13644000,4004000,43299000,2087606000,2138630000,422221000,70947000,334145000,432221000,748886000,748886000,1181107000,1156318000,-263513000,892805000,64718000,957523000,2138630000,2689000,23939000,1196000,3931000,31755000,3244000,-12056000,-6742000,-3498000,-18112000,-16374000,5.82076609134674e-11,-34486000,-6229000,-6229000,-6229000,46106000,748886000,52348000,0.72175,0.16575,-0.02509,-0.0035,-0.00157,-15.60298,0.11805,1.2335,0.35017,-0.08529,-0.08529,3.39998,22.69785,1.33085,0.46046,0.00865,-5.39851,15.53568,32.31326
"21","2019_Q2",14.4590476190476,"Down",114793000,-34922000,79871000,-71027000,-24128000,-41299000,8844000,-12593000,-12815000,181000,41000,-3749000,-9397000,-13146000,5264000,-7882000,-7882000,923000,-6959000,-6044000,-13003000,33526000,33526000,12171000,12171000,8693000,8693000,54390000,2010575000,100311000,2438000,2685000,95188000,2110886000,2165276000,394098000,43085000,333798000,486110000,749065000,749065000,1235175000,1152193000,-289748000,862445000,67656000,930101000,2165276000,-7882000,24541000,-2556000,-8101000,6002000,-8710000,-8710000,570000,-8140000,-18239000,26533000,-96000,3574000,1436000,1436000,1436000,33385000,749065000,11310000,0.69578,0.07704,-0.11327,-0.01398,-0.00601,-0.8698,0.11189,1.328,0.34594,-0.33243,-0.33243,2.93473,22.04874,0.28914,0.46629,0.00312,-1.40268,21.43295,80.90672
"22","2019_Q3",12.66984375,"Down",147501000,-38003000,109498000,-77785000,-23964000,-45721000,31713000,-13092000,-13267000,299000,-124000,18621000,-9031000,9590000,-4031000,5559000,5559000,341000,5900000,-6043000,-142999.999999998,36780000,36780000,10566000,10566000,10767000,10767000,58113000,1999650000,98711000,2333000,6984000,89394000,2098361000,2156474000,400425000,50070000,333133000,492286000,749269000,749269000,1241555000,1153479000,-305990000,847489000,67430000,914919000,2156474000,5559000,24357000,6818000,4135000,40869000,-12520000,-12520000,-4015000,-16535000,-18199000,-169000.000000015,-638000,-19006000,5328000,5328000,5328000,56070000,749269000,51716000,0.74235,0.215,-0.000969999999999999,-0.00016,-7e-05,-361.65035,0.11805,1.35701,0.34745,-0.00365000000000004,-0.00364999999999999,3.76976,21.6597,1.32173,0.46512,0.01085,-127.26573,12.70713,22.46678
"23","2019_Q4",11.9834375,"Down",134995000,-36605000,98390000,-74410000,-24092000,-44705000,23980000,-13076000,-12869000,38000,-245000,10904000,-10948000,-44000,551000,507000,507000,102000,609000,-6044000,-5435000,31621000,31621000,9919000,9919000,10540000,10540000,52080000,1989982000,9.7e+07,2248000,6624000,88128000,2086982000,2139062000,401800000,51882000,332872000,502506000,747718000,747718000,1250224000,1144297000,-322926000,821371000,67467000,888838000,2139062000,507000,24475000,1582000,1039000,27603000,-12476000,-12476000,638000,-11838000,-18222000,9072000,-2429000,-21151000,-5386000,-5386000,-5386000,48455000,747718000,36467000,0.72884,0.17764,-0.04026,-0.00611,-0.00254,-6.70966,0.10364,1.40658,0.34955,-0.1398,-0.1398,3.47244,21.12789,0.93803,0.46872,0.00781,-3.35271,14.7786,29.86226
"24","2020_Q1",9.39322580645161,"Down",132671000,-36778000,95893000,-75447000,-24345000,-70415000,20446000,-13084000,-13001000,173000,-256000,7362000,-9517000,-2155000,-1876000,-4031000,-4031000,812000,-3219000,-6043000,-9262000,27012000,27012000,9213000,9213000,9973000,9973000,46198000,1975973000,100257000,2137000,8446000,89674000,2076230000,2122428000,396964000,47626000,332280000,499512000,747919000,747919000,1247431000,1145342000,-337685000,807657000,67340000,874997000,2122428000,-4031000,24746000,5983000,1940000,28638000,-15230000,-15230000,-1823000,-17053000,-18041000,1615000,-336000,-16761000,-5176000,-5176000,-5176000,45192000,747919000,33778000,0.72279,0.15411,-0.06981,-0.01059,-0.00436,-3.64693999999999,0.09249,1.42564,0.35239,-0.24049,-0.24049,3.44487,20.97125,0.87706,0.46844,0.00541,-1.94784999999999,15.95209,35.25907
"25","2020_Q2",4.9752380952381,"Down",90137000,-29713000,60424000,-66891000,-24188000,-36869000,-6467000,-14061000,-12971000,-1018000,-72000,-20528000,-9942000,-30470000,4498000,-25972000,-25972000,2897000,-23075000,-6044000,-29119000,23936000,23936000,3963000,3963000,8641000,8641000,36540000,1924257000,137564000,1989000,8028000,127547000,2061821000,2098361000,406681000,74699000,331982000,531067000,748140000,748140000,1279207000,1145984000,-389188000,756796000,62358000,819154000,2098361000,-25972000,24637000,-88000,5026000,3603000,-10979000,-10979000,-572000,-11551000,-18051000,21610000,-19000,3540000,-4408000,-4408000,-4408000,18170000,748140000,7719000,0.67036,-0.07175,-0.32305,-0.03555,-0.01388,-0.26508,0.0688,1.56162,0.35654,-0.75508,-0.75508,2.33733,19.62437,0.20016,0.46808,-0.00706,-0.6199,39.85713,-111.98454
"26","2020_Q3",5.4915625,"Up",17441000,-4343000,13098000,-43602000,-24322000,-15093000,-30504000,-14366000,-13479000,-502000,-385000,-44870000,-11038000,-55908000,-15872000,-71780000,-71780000,10360000,-61420000,-6044000,-67464000,23228000,23228000,3801000,3801000,7374000,7374000,34403000,1902464000,117693000,1876000,7527000,108290000,2020157000,2054560000,405932000,74161000,331771000,555149000,748360000,748360000,1303509000,1149826000,-454490000,695336000,55715000,751051000,2054560000,-71780000,24752000,20527000,6541000,-19960000,-4633000,-4633000,-7000,-4640000,0,24740000,-2115000,22625000,-1975000,-1975000,-1975000,-5752000,748360000,12028000,0.75099,-1.74898,-3.86813,-0.08983,-0.03284,-0.178289999999999,0.06197,1.73558,0.36424,-1.74732,-1.74732,0.45172,18.00926,0.31153,-5.55111512312578e-17,-0.04499,-5.55111512312578e-16,-126.06606,-23.7717
"27","2020_Q4",6.36125,"Up",33746000,-9780000,23966000,-47479000,-24055000,-33445000,-23513000,-14091000,-13349000,-669000,-73000,-37604000,-10597000,-48201000,28000,-48173000,-48173000,5032000,-43141000,-6044000,-49185000,13139000,13139000,3741000,3741000,7124000,7124000,24004000,1883335000,118315000,1786000,7082000,109447000,2001650000,2025654000,398409000,6.7e+07,331409000,567451000,748612000,748612000,1316063000,1150593000,-493281000,657312000,52279000,709591000,2025654000,-48173000,25040000,3671000,-3639000,-23101000,-6346000,-6346000,-225000,-6571000,0,647000,18686000,19333000,-10339000,-10339000,-10339000,1527000,748612000,-8486000,0.71019,-0.69676,-1.45751,-0.06931,-0.02428,0.17253,0.0423,1.85468,0.36957,-1.27292,-1.27292,0.87336,17.01143,-0.21962,0,-0.03373,0,481.64571,-31.27942
"28","2021_Q1",8.99475409836066,"Up",35336000,-11150000,24186000,-48635000,-24393000,-24242000,-24449000,-14182000,-13441000,-749000,8000.00000000009,-38631000,-4721000,-43352000,16999.9999999981,-43335000,-43335000,4626000,-38709000,-6044000,-44753000,16637000,16637000,5690000,5690000,9611000,9611000,31938000,1784838000,164212000,1739000,6633000,155840000,1949050000,1980988000,389301000,58453000,330848000,576206000,732533000,732533000,1308739000,1151521000,-528518000,623003000,49246000,672249000,1980988000,-43335000,25638000,3471000,-3781000,-18007000,15209000,-4382000,6038000,21247000,0,19977000,-19873000,104000,3344000,3344000,3344000,1189000,865586000,12600000,0.68446,-0.6919,-1.2665,-0.06657,-0.02259,-0.281549999999998,0.05543,1.94681,0.43695,-1.15818,-1.15818,0.91447,16.12293,0.32608,-2.77555756156289e-17,-0.0291,0,714.00252,-34.72326
