"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",12.775,"Up",6475138,-7565872,-2279795,-5233475,-1090734,-1010908,-99008,-6123,-2101642,-2101642,-2111385,-2111385,-2111385,-2111385,12873411,12873411,5579713,614388,614388,19067512,456842,2448031,99578,2904873,21972385,4583942,1289627,3294315,7787575,2781628,580238,4242045,12029620,210882734,-200720957,9942765,9942765,21972385,-2111385,52602,1276532,1042652,260401,-25468,-25468,53413,53413,-60361,174572,174572,171894,-1038132,3789646,-0.16845,-0.32608,-0.21235,-0.09609,2.44845,1.20989,0.17247,-1.31113,-1.31113,4.02092,6.17425,-0.12785,8.75011,8.32812
"12","2013_Q3",14.75203125,"Up",4295400,-5777129,-2332730,-3402545,-1481729,256563,-100810,2110,-1225166,-1225166,-1236372,-1236372,-1236372,-1236372,15789909,15789909,5234691,667850,667850,21692450,460101,2434360,85907,2894461,24586911,5046071,2992549,2053522,7722385,2426291,577725,3644082,11366467,215398047,-201957329,13220444,13220444,24586911,-1236372,41854,20432,678698,-495388,-45113,-45113,3756990,3756990,3458401,2917900,2917900,2916498,-1439875,3385930,-0.34496,-0.28784,-0.09352,-0.05029,2.80904,0.85976,0.13771,-0.74619,-0.74619,2.59243,7.97901,-0.06496,8.61462,8.37129
"13","2013_Q4",15.3734375,"Up",3488142,-6687324,-4086348,-2556383,-3199182,-717901,-89817,507,-3917083,-3917083,-3945887,-3945887,-3945887,-3945887,15943399,15943399,1613325,209514,209514,17766238,429506,2423047,74594,2852553,20618791,3749784,1159179,2590605,5413239,2877573,592028,3851986,9265225,217476892,-205903216,11353566,11353566,20618791,-3945887,44593,992851,2231718,-676725,-10498,-10498,2258488,2258488,840346,153123,153123,153490,-3154589,2166052,-0.91716,-1.13123,-0.34755,-0.19137,3.282,0.81606,0.10505,-2.27147,-2.27147,2.00797,6.53573,-0.24064,4.3674,4.30652
"14","2014_Q1",15.0473770491803,"Down",3653927,-8721490,-4580313,-4097739,-5067563,654847,-77071,-2565,-4412716,-4412716,-4424709,-4424709,-4424709,-4424709,10480979,10480979,3626638,231491,231491,14339108,386068,2414113,65660,2800181,17139289,4310859,1128172,3182687,6795981,2277317,588745,3007596,9803577,217882347,-210327925,7335712,7335712,17139289,-4424709,43438,-289069,-1586152,-6256492,3.63797880709171e-12,0,-49999.9999999995,-49999.9999999995,791741,-5464751,-5464751,-5462420,-5024125,2873678,-1.38688,-1.21095,-0.60317,-0.25816,2.10994,1.33642,0.16767,-2.53801,-2.53801,2.09589,4.20776,-0.35435,1.51415,1.50118
"15","2014_Q2",11.6526984126984,"Down",3742525,-6144391,-2677452,-3427000,-2401866,173131,-69872,362,-2228735,-2228735,-2258440,-2258440,-2258440,-2258440,9534720,9534720,1649896,401448,401448,11586064,380572,2407585,59132,2788157,14374221,2401182,471803,1929379,3465457,2097974,602398,2583362,6048819,221131134,-212586365,8325402,8325402,14374221,-2258440,39939,337140,-412703,-2294064,-29050,-29050,2719184,2719184,1377445,-945669,-945669,-946259,-2361927,1487402,-0.64178,-0.60345,-0.27127,-0.15712,3.3433,0.72655,0.10348,-1.27858,-1.27858,2.11877,4.71329,-0.18961,3.4071,3.35044
"16","2014_Q3",13.47578125,"Up",3658933,-4828804,-2419909,-2372687,-1169871,724083,-56554,-1912,-445788,-445788,-439120,-439120,-439120,-439120,11265082,11265082,617396,550979,550979,12433457,386541,2403485,55032,2790026,15223483,1831238,437382,1393856,2831238,1287895,572854,1527633,4358871,224110100,-213025485,10864612,10864612,15223483,-439120,36208,-403392,272968,-533336,-42177,-42177,2556400,2556400,2306401,1730888,1730888,1730362,-1133663,1239738,-0.31973,-0.12001,-0.04042,-0.02884,4.39153,0.4012,0.08144,-0.24116,-0.24116,2.00948,5.96682,-0.03279,8.84332,8.56961
"17","2014_Q4",13.225,"Down",962451,-4958481,-3192427,-1728929,-3996030,-607337,-46930,80,-4603367,-4603367,-4628435,-4628435,-4628435,-4628435,19620392,19620392,303667,661360,661360,20585419,362458,2401837,53384,2764295,23349714,2834698,282024,2552674,3884806,1358865,507072,1358865,5243671,235985835,-217653920,18106043,18106043,23349714,-4628435,37125,885094,1582031,-2124185,-13042,-13042,10065680,10065680,10499006,8361779,8361779,8355310,-3958905,993322,-4.15193,-4.80901,-0.25563,-0.19822,5.29896,0.28961,0.04254,-2.35545,-2.35545,0.4898,9.21432,-0.22624,4.70511,4.66139
"18","2015_Q1",12.8380327868852,"Down",1826296,-4449834,-2621936,-1791212,-2623538,7778.99999999977,-37043,708,-2615759,-2615759,-2629400,-2629400,-2629400,-2629400,18643351,18643351,408087,199194,199194,19250632,325772,2401837,53384,2727609,21978241,1586808,391396,1195412,2581789,1122307,493137,1122307,3704096,238786993,-220283320,18274145,18274145,21978241,-2629400,36686,467361,-1397104,-3522457,0,0,2800671,2800671,2550672,-971785,-971785,-977041,-2586852,924655,-1.43653,-1.43974,-0.14389,-0.11964,7.45631,0.2027,0.04207,-1.24527,-1.24527,0.86492,8.65455,-0.12939,6.84952,6.75374
"19","2015_Q2",13.0192063492063,"Up",7068746,-5907662,-2196120,-1613627,1161084,322116,-25325,9196,1483200,1483200,1463395,1463395,1463395,1463395,15724956,15724956,6568247,446240,446240,22739443,324018,2401837,53384,2725855,25465298,3916377,536994,3379383,4536717,905336,485365,905336,5442053,239070952,-218819925,20023245,20023245,25465298,1463395,37106,-115480,-4098382,-2713361,-27752,-27752,84332,84332,-165667,-2906780,-2906780,-2918395,1198190,547666,0.16426,0.20702,0.07308,0.05747,5.01231,0.27179,0.02151,0.69061,0.68687,3.33591,9.44944,0.06814,-12.66685,-13.07166
"20","2015_Q3",12.20859375,"Down",1149570,-3114437,-1819241,-1222527,-1964867,-364997,-13279,-1911,-2329864,-2329864,-2340932,-2340932,-2340932,-2340932,18411839,18411839,1177820,316014,316014,19905673,308256,2401837,53384,2710093,22615766,2903460,208456,2695004,3335486,944368,462621,944368,4279854,239496769,-221160857,18335912,18335912,22615766,-2340932,36687,501425,4456126,2653306,-20925,-20925,292213,292213,42214,2674595,2674595,2686883,-1928180,357793,-1.70922,-2.03635,-0.12767,-0.10351,5.96785,0.23341,0.01582,-1.10279,-1.10279,0.54155,8.63787,-0.1192,9.36326,9.18843
"21","2015_Q4",12.84203125,"Up",1155839,-2814387,-1231035,-1125865,-1658548,349217,-9888,-691,-1309331,-1309331,-1324768,-1324768,-1324768,-1324768,17389409,17389409,659663,196478,196478,18245550,248270,2401837,53384,2650107,20895657,2378414,306172,2072242,2380769,842931,615033,842931,3223700,240157582,-222485625,17671957,17671957,20895657,-1324768,35005,-283320,246110,-1326973,-12000,-12000,567056,567056,317047,-1021926,-1021926,-1022430,-1623543,2355,-1.43493,-1.14615,-0.07496,-0.0634,7.66372,0.18242,0.00011,-0.61979,-0.61979,0.54076,8.26778,-0.07154,10.70933,10.4833
"22","2016_Q1",13.1816393442623,"Up",1266505,-2206974,-975789,-1171493,-940469,-282495,-6089,1543,-1222964,-1222964,-1238400,-1238400,-1238400,-1238400,15569813,15569813,1475339,181714,181714,17226866,233694,2401837,53384,2635531,19862397,2151780,521122,1630658,2179441,1033839,542048,1033839,3213280,240373142,-223724025,16649117,16649117,19862397,-1238400,32806,485876,-1109235,-1828953,-18230,-18230,29531,29531,29531,-1817652,-1817652,-1819596,-907663,16411,-0.74257,-0.97781,-0.07438,-0.06235,7.90426,0.193,0.00083,-0.57768,-0.5808,0.59079,7.7663,-0.06997,17.13566,16.53792
"23","2016_Q2",17.62984375,"Up",1005694,-2260130,-1193298,-1029131,-1254436,42967,-1050,4119,-1211469,-1211469,-1226906,-1226906,-1226906,-1226906,14235621,14235621,1437143,463873,463873,16136637,196143,2401837,53384,2597980,18734617,2171807,166357,2005450,2640111,468022,468022,468022,3108133,240577415,-224950931,15626484,15626484,18734617,-1226906,37701,162945,-328882,-1355142,-150,-150,23237,23237,22352,-1332940,-1332940,-1334192,-1216735,468304,-1.24733,-1.21996,-0.07851,-0.06549,6.11211,0.1989,0.025,-0.57207,-0.57207,0.46893,7.28621,-0.07408,11.31497,10.97491
"24","2016_Q3",20.2075,"Up",245182,-2195798,-818499,-1415000,-1950616,-67841,-18198,-10590,-2018457,-2018457,-2003020,-2003020,-2003020,-2146034,23157883,23157883,1822287,418636,418636,25398806,183695,2348453,40777.0427356777,2532148,27930954,2458234,711106,1747128,3268610,411640,411640,411640,3680250,241157161,-216906457,24250704,24250704,27930954,-2003020,40813,226784,123765,-1611658,-59748,-59748,3910553,3910553,3592364,1920958,1920958,1822128,-1909803,798788,-7.95579,-8.75282,-0.08849,-0.07683,7.77052,0.15176,0.0286,-9.3248,-9.3248,1.06535,105.37252,-0.08429,11.70754,11.46258
"25","2016_Q4",23.0893650793651,"Up",901039,-5690561,-3289647,-2400914,-4789522,-5537,-9610,3871,-4795059,-4795059,-4795059,-4795059,-4795059,-4899607,135948669,69106979,1577785,509857,509857,138036311,153823,2348453,24987.6198489836,2502276,140538587,2566037,614543,1951494,3728470,427077,427077,427077,4155547,244042138,-107671444,136383040,136383040,140538587,-4795059,29314,2145214,727215,-1893316,-119449,-119449,1740190,1740190,2059696,46931,46931,-23035,-4760208,1150845,-5.31555,-5.43773,-0.03593,-0.03486,37.02224,0.03047,0.00819,-2.26357,-2.2356,0.41627,63.00749,-0.03551,28.31763,28.14432
"26","2017_Q1",26.3485483870968,"Up",1084260,-4181349,-1804934,-2376415,-3097089,35262,-9641,44903,-3061827,-3061827,-3061827,-3061827,-3061827,-3182813,2876113,2876112.99999999,1190553,420424,420424,4487089.99999997,177859,33735386,22248,33913245,38400335,4977953,2005208,2972745,5470723,722289,722289,722289,6193012,71035591,-31259449,32207323,32207323,38400335,-3061827,27517,947803,593615,-1492892,-41223,-41222.9999999999,-5672350,-5672350,-691887,-2226002,-2226002,-2227499,-3069572,492770,-2.85641,-2.93547,-0.09882,-0.08289,0.820200000000007,0.19229,0.01283,-0.524,-0.522309999999999,0.17851,5.30146,-0.09523,0.776439999999997,0.769539999999999
"27","2017_Q2",92.3557142857143,"Up",299571,-4816638,-2030516,-2786122,-4517067,-61714,-60603,-1111,-4578781,-4578781,-4578781,-4578781,-4578781,-4697137,15782402,15782402,1040728,1468957,467642,18292087,87937,2348453,36465.4213418727,2436390,20728477,2222992,839465,1383527,2234580,442589,442589,442589,2677169,50118757,-32067449,18051308,18051308,20728477,-4578781,25521,383306,826777,-3343177,-56877,143123,35470,35470,3054250,-145804,-145804,-138405,-4491546,0,-15.07845,-15.67955,-0.26021,-0.2266,8.18592,0.14831,0,-2.0521,-2.0521,0.13088,7.8863,-0.25398,3.5138,3.49395
"28","2017_Q3",74.4377777777778,"Down",3037973,-7049239,-1794510,-5254729,-4011266,-92826,-97156,164,-4104092,-4104092,-3110383,-3110383,-3110383,-3155096,8367773.99999999,8367774,3571703,5056123,1448818,16995600,293233,73553473,22247,73846706,90842306,5428793,1130797,4297996,5527961,8767180,53438,9337725,14865686,120663239,-38948613,75976620,75976620,90842306,-3110383,38458,402365.000000001,-5136491,-7806051,-57647,13626888,11680,11680,-200751.000000001,5620086,5620086,5664240,-3972808,669713,-1.32038,-1.03855,-0.04153,-0.03473,3.07448,0.19566,0.00737,-9.87322,-9.87322,9.50671,237.75319,-0.0369400000000001,1.93769,1.91911
"29","2017_Q4",63.8695238095238,"Down",4591940,-8944308,-3038756,-5905552,-4352368,22657,-2344,10786,-4329711,-31438027,-29905237,-29905237,-29905237,-31867309,17116845,17116845,2902503,6103126,1007032,26122474,280093,47943551,22248,48223644,74346118,4092377,495064,3597313,4180458,12506931,4029896,13097116,17277574,122394067,-68853850,57068544,57068544,74346118,-29905237,37621,27562732,-1953818,-4258702,-15428,-15428,12987875,12987875,12987875,8713745,8713745,8749071,-4314747,678266,-0.94783,-6.93984,-0.5584,-0.42863,6.24871,0.30275,0.00912,-61.36726,-61.36726,8.84275,94.03299,-0.4536,3.80986,3.77693
"30","2018_Q1",50.137868852459,"Down",2808838,-6053701,-1593775,-4459926,-3244863,15614,-2036,-4169,-3229249,-11942865,-8830989,-8830989,-8830989,-11635858,8769465,8769465,10167896,4528506,994332,23465867,603146,38961187,238917,39564333,63030200,3789999,129075,3660924,3839701,10512909,4574507,10512909,14352610,121657648,-77684839,48677590,48677590,63030200,-8830989,37419,9031642,-5044221,-4806149,-28740,-28740,-13018570,-13018570,-1.86264514923096e-09,-4834889,-4834889,-4847381,-3207444,49702,-1.15523,-4.14259,-0.23904,-0.18461,6.11138,0.29485,0.000790000000000001,-21.26326,-21.26326,5.13284,71.99155,-0.19642,2.7186,2.68725
"31","2018_Q2",19.69046875,"Down",2690980,-8194865,-2447894,-5746971,-5503885,281403,-870,257725,-5222482,-4165176,-3173538,-3173538,-3173538,-5064859,4559894,4559894,10377328,4983538,1449364,19920760,1374927,39571034,225133,40945961,60866721,5041293,513168,4528125,5155133,9216840,3776390,9216840,14371973,125360124,-80858377,46494748,46494748,60866721,-3173538,39690,-693555,268702,-3558701,-667463,-667463,18488,18488,18488,-4207676,-4207676,-4209571,-5464195,113840,-2.04531,-1.88216,-0.10893,-0.08321,3.86426,0.30911,0.00187,-7.55005,-7.55005,4.01137,60.43227,-0.09073,0.81367,0.8078
"32","2018_Q3",10.8920634920635,"Down",2417141,-7852942,-2934023,-4918919,-5435801,28557,-1921,-49.9999999999418,-5407244,-10635935,-9138842,-9138842,-9138842,-9838935,4170770,4170770,2854512,4840674,677478,11865956,1475935,38760439,411250,40236374,52102330,5551118,245250,5305868,7066704,8715554,4284510,8715554,15782258,130847371,-89997219,36320072,36320072,52102330,-9138842,67284,5475963,3943738,348143,-171688,-171688,4410,4410,-3459634,-3283179,-3283179,-3331649,-5368517,1515586,-2.24886,-4.07048,-0.2709,-0.18884,1.67914,0.43453,0.02909,-10.3393,-10.3393,2.54007,37.63112,-0.21136,0.49458,0.48846
"33","2018_Q4",3.53857142857143,"Down",2634393,-6692460,-1963734,-4728726,-4058067,71300,-166946,31378,-3986767,-3180542,-2351149,-2351149,-2351149,-2287010,7964002,7964002,2547402,1454626,443929,11966030,1407080,39488271,1149185,40895351,52861381,6683662,150738,6532924,8344627,4833566,1941932,4833566,13178193,137071719,-92348368,39683188,39683188,52861381,-2351149,84751,-748886,1992321,-1022963,-153856,-153856,4334816,4334816,4412576,3235757,3235757,3235757,-3973316,1660965,-1.54042,-0.86814,-0.05763,-0.04326,1.43398,0.33209,0.03142,-1.72149,-1.72149,1.98297,29.87045,-0.04953,1.58634,1.55321
"34","2019_Q1",2.98065573770492,"Down",2588654,-5484624,-2419930,-3064694,-2895970,-173867,99244,-11167,-3069837,-27339293,-24507623,-24507623,-24507623,-25288148,33718713,33718713,3461938,2191483,548094,39372134,1342802,14035606,183682,15378408,54750542,4455809,372860,4082949,4527405,1910571,1852071,1910571,6437976,170208720,-116855991,48312566,48312566,54750542,-24507623,110644,18466159,775433,-5155387,-8135,-8135,0,0,31518475,26354953,26354953,26354953,-2785326,71596,-1.11872,-9.76884,-0.52343,-0.46188,8.6964,0.13326,0.00131,-3.06205,-3.06205,0.31345,5.84999,-0.5028,12.08014,11.6186
"35","2019_Q2",2.6752380952381,"Down",2955592,-5284153,-2066482,-3217671,-2328561,231255,184506,46749,-2097306,-2097306,-2097306,-2097306,-2097306,-2550231,44300170,44300170,2906130,2207752,505949,49414052,1282752,14677026,914827,15959778,65373830,3449272,14753,3434519,3676389,2375331,2316831,2375331,6051720,183315570,-118953297,59322110,59322110,65373830,-2097306,154021,361633,-531235,-2112887,-4246,-4246,4619152.41033661,4619152.41033661,12699108,10581975,10581975,10581975,-2174540,227117,-0.78785,-0.86285,-0.04299,-0.03901,13.44092,0.10201,0.00347,-0.26873,-0.26873,0.31145,6.25117,-0.04118,20.26776,18.92716
"36","2019_Q3",2.21671875,"Down",1626030,-5176914,-2231817,-2945097,-3550884,209996,239217,-29221,-3340888,-3386888,-3386888,-3386888,-3386888,-3386888,41671738,41671738,2629840,1803595,688862,46105173,1222130,14648711,888495,15870841,61976014,3316664,270097,3046567,3480388,2270604,2212104,2270604,5750992,183605370,-122340185,56225022,56225022,61976014,-3386888,75458,356910,-105673,-3060193,-12854,-12854,13517618.0786297,13517618.0786297,-156145,-3229192,-3229192,-3229192,-3475426,163724,-2.18378,-2.08292,-0.06024,-0.05465,13.24714,0.10229,0.00264,-0.2576,-0.2576,0.12367,4.27636,-0.05774,11.94329,11.68949
"37","2019_Q4",1.846875,"Down",643978,-10917357,-2187661,-8729696,-10273379,199567,223301,-23734,-10073812,-10997812,-10939312,-10939312,-10939312,-10486387,39198508,10972482,1012491,1412919,410148,41623918,1162715,13601290,859634,14764005,56387923,2361708,49884,2311824,2466770,4537203,4537203,4537203,7003973,187684657,-133279497,49383950,49383950,56387923,-10939312,87499,7774892,650056,-2426865,15873,-28216596,12668784,12668784,-55795,-30699256,-30699256,-30699256,-10185880,105062,-15.953,-16.28377,-0.21234,-0.18597,16.87385,0.14183,0.00186,-0.70821,-0.70821,0.04349,3.33521,-0.1941,3.838,3.80532
"38","2020_Q1",2.29951612903226,"Up",575801,-4887912,-2014823,-2873089,-4312111,215486,194141,21345,-4096625,-4096625,-4096625,-4096625,-4096625,-4549550,37240072,8962686,1021179,1133498,470228,39394749,1104208,13559063,826868,14663271,54058020,3922999,18231.9999999999,3904767,3922999,4614875,4614875,4614875,8537874,187916424,-137376122,45520146,45520146,54058020,-4096625,70343,276519.999999999,1747710,-2002052,3.63797880709171e-12,-52682.0000000037,0,0,44938,-2009796.00000001,-2009796.00000001,-2009796,-4241768,0,-7.48889,-7.90125,-0.09995,-0.08416,10.042,0.18756,0,-0.30219,-0.30219,0.03825,3.02353,-0.09075,8.77938,8.63616
"39","2020_Q2",5.49380952380952,"Up",2212694,-9519448,-2331917,-7187531,-7306754,175226,149684,25542,-7131528,-7131528,-3885649,-3885649,-3885649,-3885649,32919428,11275214,1994736,4722807,698905,39636971,1062834,13533325,795590,14596159,54233130,6045323,929629,5115694,6045323,6291190,6291190,6291190,12336513,188210979,-141261771,41896617,41896617,54233130,-3885649,73356,1989860,-2524968,-4347401,-18131,6563216,56738.9999999981,56738.9999999981,96713,2312528,2312528,2312528,-7233398,0,-3.3022,-1.75607,-0.09274,-0.07165,6.55663,0.29445,0,-0.25715,-0.25715,0.14643,2.77267,-0.08064,4.55103,4.50534
