"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q3",77.27875,"Down",186780000,-65640000,121140000,-182909000,-105445000,-77464000,-61769000,-6953000,-6953000,-68722000,-68722000,-493000,-69215000,-69215000,-69215000,-69215000,1822382000,262634000,1559748000,100534000,100534000,57894000,37830000,20064000,1980810000,105855000,108233000,35379000,72854000,214088000,2194898000,75306000,6561000,68745000,409026000,409026000,489465000,479964000,86628000,72447000,14181000,566592000,1056057000,1841871000,-702993000,-37000,1138841000,1138841000,2194898000,-69215000,14474000,51447000,-5717000,-9011000,-28409000,46601000,18192000,-4418000,15169000,15169000,-3284000,7467000,16648000,16648000,-15000,16633000,-47295000,485097000,-80928000,0.64857,-0.3307,-0.37057,-0.06078,-0.03153,1.16923,4.04689,0.92731,0.22101,-0.36552,-0.36552,0.98638,6.01416,-0.42738,-0.04046,-0.04731,28.2754,21.64978
"12","2015_Q4",79.9859375,"Up",215070000,-71789000,143281000,-194747000,-109477000,-85270000,-51466000,-8047000,-8047000,-59513000,-59513000,-399000,-59912000,-59912000,-59912000,-59912000,1834659000,192142000,1642517000,118943000,118943000,56144000,37120000,19024000,2009746000,116640000,105932000,35079000,70853000,222572000,2232318000,91628000,9610000,82018000,441324000,441324000,537633000,484855000,80614000,66807000,13807000,565469000,1103102000,1892057000,-762905000,64000,1129216000,1129216000,2232318000,-59912000,15682000,60639000,24633000,41042000,-27699000,-85235000,-112934000,-1123000,2615000,2615000,91000,1583000,-70309000,-70309000,-183000,-70492000,-35784000,489536000,-38451000,0.66621,-0.2393,-0.27857,-0.05306,-0.02684,0.64179,3.73814,0.97687,0.21929,-0.31412,-0.31412,1.12763,5.92059,-0.2016,-0.03526,-0.02263,37.59007,26.13615
"13","2016_Q1",66.187868852459,"Down",595103000,-179579000,415524000,-499995000,-257956000,-242039000,-84471000,-2243000,-2243000,-86714000,-86714000,182000,-86532000,-86532000,-86532000,-86532000,1969459000,300087000,1669372000,293407000,293407000,99442000,77625000,21817000,2362308000,214158000,153628000,15491000,87812000,367786000,2730094000,153938000,19605000,134333000,768741000,768741000,922679000,507476000,163782000,130988000,32794000,671258000,1593937000,2247647000,-1112289000,799000,1136157000,1136157000,2730094000,-86532000,43260000,157895000,90286000,204909000,-67686000,217988000,146961000,8285000,24876000,24876000,6593000,39754000,391624000,391624000,-545000,391079000,-41211000,507476000,-18793000,0.69824,-0.14194,-0.14541,-0.07616,-0.0317,0.21718,2.56027,1.40292,0.18588,-0.44931,-0.44931,3.09005,5.89945,-0.09758,-0.04788,-0.0104,35.47555,17.30751
"14","2016_Q2",76.22046875,"Up",347677000,-108627000,239050000,-310580000,-168802000,-141778000,-71530000,-5838000,-5838000,-77368000,-77368000,-1135000,-78503000,-78503000,-78503000,-78503000,1921535000,270484000,1651051000,128493000,128493000,70965000,50601000,20364000,2120993000,154537000,107031000,34479000,72552000,261568000,2382561000,92583000,13320000,79263000,572212000,572212000,666554000,496230000,103750000,81211000,22539000,599980000,1266534000,2000235000,-883929000,-279000,1116027000,1116027000,2382561000,-78503000,26124000,94955000,120241000,162817000,-53464000,-8268000,-61343999.9999999,9899294.10415541,3380999.99999999,3380999.99999999,376000,3757000,105230000,105230000,638000,105868000,-45406000,497989000,22506000,0.68756,-0.20574,-0.22579,-0.07034,-0.03295,-0.28669,3.18203,1.13486,0.20901,-0.40355,-0.40355,1.78728,5.73707,0.11569,-0.0457,0.0131,31.3515,19.90138
"15","2016_Q3",83.349375,"Up",373657000,-117852000,255805000,-342490000,-180604000,-161886000,-86685000,-21193000,-21193000,-107878000,-107878000,65000,-107813000,-107813000,-107813000,-107813000,1906929000,230578000,1676351000,156282000,156282000,77317000,58412000,18905000,2140528000,172701000,130655000,42953000,87702000,303356000,2443884000,103721000,23668000,80053000,601807000,601807000,706271000,502045000,103593000,81281000,22312000,605638000,1311909000,2085005000,-953350000,320000,1131975000,1131975000,2443884000,-107813000,26662000,122682000,-35009000,6522000,-33327000,10587000,-26779000,12334197.2971224,25395000,25395000,195000,25590000,5333000,5333000,-144000,5189000,-60023000,502788000,-128424000,0.6846,-0.23199,-0.28853,-0.09524,-0.04412,1.19117,3.03075,1.15896,0.20573,-0.54666,-0.54666,1.89459,5.73957,-0.65116,-0.06202,-0.07388,23.39338,16.1982
"16","2016_Q4",80.5761904761905,"Down",413522000,-126885000,286637000,-392569000,-207258000,-185311000,-105932000,-3105000,-3105000,-109037000,-109037000,-1077000,-110114000,-110114000,-110114000,-110114000,1896347000,219893000,1676454000,170851000,170851000,89877000,70378000,19499000,2157075000,195004000,159074000,70353000,88721000,354078000,2511153000,126782000,16953000,109829000,624819000,624819000,751681000,507947000,125998000,93206000,32792000,633945000,1385626000,2156742000,-1031161000,-53999.9999999998,1125527000,1125527000,2511153000,-110114000,30453000,118519000,32698000,71556000,-87223000,132312000,-99120000,-7.45058059692383e-09,4491000,4491000,435000,4926000,-22638000,-22638000,-137000,-22775000,-75479000,508027000,-128927000,0.69316,-0.25617,-0.26628,-0.09783,-0.04385,1.17085,2.86967,1.23109,0.20231,-0.55201,-0.55201,2.07301,5.64233,-0.64632,-0.06258,-0.07327,18.39346,13.10577
"17","2017_Q1",83.0151612903226,"Up",439584000,-130181000,309403000,-398342000,-206786000,-191556000,-88939000,-2291000,-2291000,-91230000,-91230000,2961000,-88269000,-88269000,-88269000,-88269000,1996745000,539923000,1456822000,409780000,409780000,117920000,66590000,51330000,2524445000,365877000,377960000,48787000,170819000,743837000,3268282000,199031000,26824000,172207000,1086212000,1086212000,1285243000,534423000,172008000,135331000,36677000,706431000,1991674000,2681402000,-1406865000,2071000,1276608000,1276608000,3268282000,-88269000,32646000,121361000,43993000,109731000,-53796000,67154000,18358000,0,24812000,24812000,596000,25408000,153497000,153497000,28000,153525000,-56293000,534423000,-69057000,0.70385,-0.20233,-0.2008,-0.06914,-0.02701,0.78235,1.96418,1.56013,0.16352,-0.43779,-0.43779,2.18021,6.3316,-0.3425,-0.04451,-0.03482,25.97698,16.44185
"18","2017_Q2",93.3746031746032,"Up",345430000,-108627000,236803000,-310452000,-168674000,-141778000,-73649000,-5838000,-5838000,-79487000,-79487000,-1135000,-80622000,-80622000,-80622000,-80622000,2080090000,404604000,1675486000,193100000,193100000,98941000,77407000,21534000,2372131000,254697000,149325000,64887000,84438000,404022000,2776153000,172166000,18975000,153191000,798086000,798086000,970252000,514075000,163670000,127970000,35700000,677745000,1647997000,2330099000,-1192911000,-9032000,1128156000,1128156000,2776153000,-64044000,31797000,132633000,79636000,180022000,-60132000,-162757000,-222889000,2252999.99999999,41386825.6219124,41386825.6219124,-44000,2209000,-40658000,-40658000,-132000,-40790000,-41852000,514075000,-21213000,0.68553,-0.21321,-0.2334,-0.07146,-0.02904,0.26312,2.44486,1.46079,0.18518,-0.39556,-0.39556,1.6948,5.53511,-0.10408,-0.04464,-0.01175,37.41793,21.26322
"19","2017_Q3",103.180317460317,"Up",659751000,-186279000,473472000,-541652000,-265888000,-275764000,-68180000,5113000,5113000,-63067000,-63067000,-2887000,-65954000,-65954000,-65954000,-65954000,2067910000,405529000,1662381000,248658000,248658000,113522000,90858000,22664000,2430090000,255118000,144596000,68623000,75973000,399714000,2829804000,152708000,17135000,135573000,854845000,854845000,1007553000,520765000,160640000,124269000,36371000,681405000,1688958000,2444370000,-1300936000,-2588000,1140846000,1140846000,2829804000,-82532000,33501000,144244000,-80087000,15126000,-61524000,262137000,201345000,32274000,41893181.5188928,41893181.5188928,-32000,32242000,248713000,248713000,715000,249428000,-34679000,520765000,-173403000,0.71765,-0.10334,-0.09997,-0.05781,-0.02331,2.62915,2.41187,1.48044,0.18403,-0.31858,-0.31858,3.18677,5.51059,-0.83758,-0.03619,-0.09516,44.61331,22.69207
"20","2017_Q4",106.774444444444,"Up",555389000,-163555000,391834000,-471893000,-232305000,-239588000,-80059000,-3742000,-3742000,-83801000,-83801000,-1745000,-85546000,-85546000,-85546000,-85546000,1913795000,386557000,1527238000,268945000,268945000,111855000,88788000,23067000,2294595000,334265000,293709000,212087000,81622000,627974000,2922569000,197655000,28374000,169281000,900441000,900441000,1098096000,527547000,159467000,123179000,36288000,687014000,1785110000,2549839000,-1415002000,2622000,1137459000,1137459000,2922569000,-85546000,34727000,148122000,46728000,144031000,-63972000,-530780000,-595458000,1178379000,36501000,36501000,-175566000,1039314000,587887000,587887000,-322000,587565000,-45332000,527547000,-60831000,0.70551,-0.14415,-0.15403,-0.07521,-0.02927,0.71109,2.08961,1.56938,0.18051,-0.40894,-0.40894,2.65498,5.4375,-0.2908,-0.04689,-0.03334,30.5799,17.31533
"21","2018_Q1",122.337540983607,"Up",582480000,-170952000,411528000,-492863000,-239409000,-253454000,-81335000,-7096000,-7096000,-88431000,-88431000,-669000,-89100000,-89100000,-89100000,-89100000,3267850000,1134355000,2133495000,528208000,528208000,160920000,97860000,63060000,3956978000,546609000,443837000,34234000,250227000,990446000,4947424000,291124000,20998000,270126000,1426241000,1426241000,2058874000,1149845000,158340000,110906000,47434000,1308185000,3367059000,3354634000,-1727856000,-46413000,1580365000,1580365000,4947424000,-89100000,36949000,145274000,33425000,126548000,-91719000,-265515000,-361978000,0,32555000,32555000,-58000,32497000,-202933000,-202933000,490000,-202443000,-44386000,1491354000,-102011000,0.70651,-0.13964,-0.15297,-0.05638,-0.01801,1.1449,1.92191,2.13056,0.30144,-0.42215,-0.42215,2.75976,7.48768,-0.48332,-0.02758,-0.03158,40.02379,21.84172
"22","2018_Q2",128.07203125,"Up",618643000,-177971000,440672000,-511936000,-248352000,-263584000,-71264000,-3848000,-3848000,-75112000,-75112000,702000,-74410000,-74410000,-74410000,-74410000,3365668000,1036045000,2329623000,354209000,354209000,160932000,97365000,63567000,3880809000,611293000,435730000,29146000,247186000,1047023000,4927832000,306609000,30249000,276360000,1319794000,1319794000,2196654000,939242000,134636000,95270000,39366000,1073878000,3270532000,3489905000,-1801839000,-30766000,1657300000,1657300000,4927832000,-74410000,38664000,157869000,62110000,184233000,-88095000,-196491000,-284586000,2610999.99999988,28526162.1419639,28526162.1419639,-57000,2554000,-97799000,-97799000,-420000,-98219000,-32600000,1509493000,-59287000,0.71232,-0.11519,-0.12028,-0.0449,-0.0151,0.79676,1.76669,1.97341,0.30632,-0.34925,-0.34925,2.90368,7.77874,-0.27827,-0.02254,-0.01796,56.93788,26.04646
"23","2018_Q3",138.936984126984,"Up",671720000,-200230000,471490000,-560472000,-267632000,-292840000,-88982000,1613000,1613000,-87369000,-87369000,1213000,-86156000,-86156000,-86156000,-86156000,2985095000,1693743000,1291352000,457496000,457496000,171447000,105173000,66274000,3614038000,678525000,472497000,35927000,261497000,1151022000,4765060000,293222000,32910000,260312000,1393848000,1393848000,1913947000,950132000,125757000,89376000,36381000,1075889000,2989836000,3869329000,-1887995000,-12431000,1775224000,1775224000,4765060000,-86156000,42226000,176720000,-75174000,57616000,-103883000,1042927000,912307000,38686000,29768714.4165767,29768714.4165767,-350064000,-311378000,658545000,658545000,-162000,658383000,-46756000,1177009000,-227026000,0.70191,-0.13247,-0.12826,-0.04853,-0.01808,2.63506,1.88826,1.6842,0.24701,-0.399,-0.399,3.11079,9.11816,-1.05138,-0.02799,-0.07376,38.67067,20.31968
"24","2018_Q4",141.680476190476,"Up",743189000,-223001000,520188000,-702943000,-384940000,-318003000,-182755000,26617000,26617000,-156138000,-156138000,2807000,-153331000,-153331000,-153331000,-153331000,1582139000,540430000,1041709000,486044000,486044000,203096000,132488000,70608000,2271279000,735443000,1993577000,332583000,283379000,2729020000,5000299000,365551000,28779000,336772000,1460650000,1460650000,2055885000,961139000,150126000,109694000,40432000,1111265000,3167150000,4050005000,-2041823000,3768000,1833149000,1833149000,5000299000,-153331000,57602000,187488000,22537000,114296000,-92729000,254490000,-1268079000,-41297000,44064000,44064000,-63000,2704000,-1151079000,-1151079000,-213000,-1151292000,-125153000,1190823000,-198152000,0.69994,-0.24591,-0.20631,-0.08364,-0.03066,1.29232,1.10477,1.72771,0.23815,-0.70434,-0.70434,3.41392,9.2421,-0.91023,-0.04831,-0.06243,3.1267,2.14121
"25","2019_Q1",181.879508196721,"Up",788628000,-233748000,554880000,-675163000,-337758000,-337405000,-120283000,15150000,15150000,-105133000,-105133000,772000,-104361000,-104361000,-104361000,-104361000,1778418000,638554000,1139864000,704680000,704680000,217498000,136689000,80809000,2700596000,796907000,2023243000,313240000,330878000,2820150000,5520746000,360559000,29093000,331466000,1837618000,1837618000,2430691000,972264000,159349000,111652000,47697000,1131613000,3562304000,4105555000,-2146304000,-809000,1958442000,1958442000,5520746000,-104361000,59619000,208405000,86850000,250513000,-109430000,-75236000,-202426000,-350030000,49503000,49503000,349936000,49409000,97496000,97496000,181000,97677000,-60664000,1204778000,-84016000,0.7036,-0.15252,-0.13233,-0.05329,-0.0189,0.80505,1.11104,1.81895,0.21823,-0.47335,-0.47335,3.57695,8.88283,-0.38107,-0.03141,-0.02529,9.45602,4.76909
"26","2019_Q2",201.939682539683,"Up",825055000,-243219000,581836000,-705222000,-357391000,-347831000,-123386000,7141000,7141000,-116245000,-116245000,-30000.0000000002,-116275000,-116275000,-116275000,-116275000,1891913000,781772000,1110141000,542843000,542843000,230378000,148062000,82316000,2665134000,885789000,2273251000,293897000,600229000,3159040000,5824174000,409122000,35146000,373976000,1798549000,1734442000,2443079000,983507000,352840000,95708000,257132000,1336347000,3779426000,4294595000,-2262960000,13113000,2044748000,2044748000,5824174000,-116275000,61165000,226678000,37595000,209163000,-107369000,39991000,-67355000,-258096327.903605,3455000,3455000,-93000,3362000,145170000,145170000,-327000,144843000,-62221000,1218915000,-131965000,0.70521,-0.14955,-0.14093,-0.05687,-0.01996,1.13494,1.09089,1.84836,0.20929,-0.52069,-0.52069,3.69468,9.15659,-0.59095,-0.03215,-0.03649,10.81625,5.45441
"27","2019_Q3",193.05375,"Down",887752000,-266334000,621418000,-743915000,-365793000,-378122000,-122497000,-106000,-106000,-122603000,-122603000,1891000,-120712000,-120712000,-120712000,-120712000,1926520000,619514000,1307006000,613425000,613425000,249087000,163530000,85557000,2789032000,919523000,2283601000,277953000,616299000,3203124000,5992156000,339098000,32540000,306558000,1861977000,1796423000,3434264000,0,347607000,89219000,258388000,347607000,3781871000,4561499000,-2383672000,32458000,2210285000,2210285000,5992156000,-120712000,67754000,256616000,-103339000,100319000,-115241000,-192587000,-320745000,-27000,58085000,58085000,-107000,57951000,-162475000,-162475000,75000,-162400000,-54743000,1233189000,-275214000,0.69999,-0.13799,-0.13597,-0.05461,-0.02015,2.27992,0.81212,1.71103,0.2058,-0.53317,-0.53317,3.92108,9.76253,-1.21558,-0.03184,-0.0726,12.6652,5.65998
