"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"16","2017_Q4",28.7909523809524,"Up",183341000,-114803000,68538000,-43855000,-42480000,-1375000,24683000,802000,-370000,1172000,25485000,25485000,-10010000,15475000,15475000,15475000,15475000,265475000,182662000,14987000,5828000,9159000,280462000,17130000,80516000,33821000,31579000,143090000,423552000,59640000,8571000,49774000,60675000,47908000,43591000,4317000,55559000,116234000,90657000,215591000,307318000,307318000,423552000,15475000,1375000,4873000,3153000,24876000,-1603000,-85000,-6004000,-40000,-40000.0000000002,18832000,18832000,18832000,26058000,8686000,37618000,0.37383,0.13463,0.08441,0.05036,0.03654,2.43089,4.62237,0.37822,0.02051,0.39646,0.39505,4.69708,7.87329,0.96375,0.04252,0.10337,-9.85452,-10.40348
"17","2018_Q1",31.5531147540984,"Up",202776000,-131730000,71046000,-43643000,-42255000,-1388000,27403000,1215000,-370000,1585000,28618000,28618000,-20138000,8480000,8480000,8480000,8480000,294346000,220786000,26084000,9661000,15115000,320430000,17153000,69982000,22640000,31950000,139234000,459664000,82224000,9202000,73022000,83259000,53862000,49361000,4501000,61513000,144772000,89881000,224071000,314892000,314892000,459664000,8480000,1388000,39783000,-8452000,41199000,-1567000,-31000,673000,-4009000,-3748000,38124000,38124000,38124000,28791000,8686000,38910000,0.35037,0.13514,0.04182,0.02693,0.01845,4.58844,3.84859,0.45975,0.0189,0.21762,0.21748,5.20379,8.08099,0.99854,0.02247,0.10309,-9.92185,-10.42441
"18","2018_Q2",35.664375,"Up",174541000,-101649000,72892000,-49428000,-48053000,-1375000,23464000,849000,-360000,1209000,24313000,24313000,-6302000,18011000,18011000,18011000,18011000,294196000,199370000,14907000,7432000,7475000,309103000,17097000,71194000,21054000,34947000,123864000,432967000,47267000,6482000,37654000,48302000,43601000,38969000,4632000,51252000,99554000,90844000,242095000,333413000,333413000,432967000,18011000,1375000,-28347000,-4028000,-12989000,-1362000,-122000,-6777000,-1650000,-1650000,-21416000,-21416000,-21416000,24839000,8686000,25751000,0.41762,0.13443,0.10319,0.05402,0.0416,1.42974,6.39938,0.29859,0.02006,0.4607,0.45888,4.46454,8.52828,0.65868,0.0467,0.06676,-11.49442,-12.168
"19","2018_Q3",36.6466666666667,"Up",199402000,-119869000,79533000,-50583000,-49080000,-1503000,28950000,1372000,-352000,1724000,30322000,30322000,-8155000,22167000,22167000,22167000,22167000,325505000,240019000,19442000,7654000,11788000,344947000,17159000,80148000,21371000,38140000,129224000,474171000,59513000,8279000,51017000,60600000,48106000,41557000,6549000,54670000,115270000,94295000,264262000,358901000,358901000,474171000,22167000,1503000,12652000,-287000,36035000,-1281000,3000,5357000,-64000,-743000,40649000,40649000,40649000,30453000,7651000,37040000,0.39886,0.14518,0.11117,0.06176,0.04675,1.67095,5.69219,0.32117,0.01614,0.56616,0.56339,5.09289,9.16663,0.94603,0.05346,0.08933,-10.43753,-10.97941
"20","2018_Q4",33.1122222222222,"Down",210590000,-132896000,77694000,-50310000,-48659000,-1651000,27384000,1785000,-342000,2127000,29169000,29169000,-8315000,20854000,20854000,20854000,20854000,301721000,181020000,19636000,6516000,13120000,321357000,18169000,85474000,23635000,41683000,188778000,510135000,67685000,8780000,52942000,68772000,52104000,45418000,6686000,58668000,127440000,97379000,285116000,382695000,382695000,510135000,20854000,1651000,31999.9999999925,9430000,31967000,-1931000,4999.99999999997,-90903000,-63000,-63000,-58999000,-58999000,-58999000,29035000,7651000,44849000,0.36893,0.13003,0.09903,0.05449,0.04088,2.15062,4.67279,0.33301,0.015,0.53208,0.5282,5.37315,9.76437,1.14431,0.04713,0.10137,-10.12812,-10.73875
"21","2019_Q1",37.042131147541,"Up",230283000,-148469000,81814000,-49325000,-47557000,-1768000,32489000,927000,-346000,1273000,33416000,33416000,-7191000,26225000,26225000,26225000,26225000,352119000,214683000,19220000,7904000,11316000,371339000,19550000,92282000,22959000,40046000,195041000,566380000,43859000,11035000,28338000,92856000,57382000,49887000,7495000,63946000,156802000,97462000,311341000,409578000,409578000,566380000,26225000,1768000,27591000,6717000,62301000,-3498000,-319000,-25657000,-3246000,-2981000,33663000,33663000,33663000,34257000,7651000,44667000,0.35528,0.14108,0.11388,0.06403,0.0463,1.70322,3.99908,0.38284,0.01351,0.66977,0.66468,5.88132,10.46043,1.14077,0.05526,0.09411,-10.0554,-10.6026
"22","2019_Q2",35.1087301587302,"Down",160707000,-91688000,69019000,-50750000,-48918000,-1832000,18269000,3026000,-349000,3375000,21295000,21295000,-5657000,15638000,15638000,15638000,15638000,319191000,198132000,20983000,8833000,12150000,340174000,19937000,168361000,20428000,132800000,263342000,603516000,28995000,13175000,8217000,73363000,97493000,36906000,60587000,104057000,177420000,97591000,326979000,426096000,426096000,603516000,15638000,1832000,-31394000,-24674000,-38598000,-1644000,999.999999999942,24073000,-2026000,-2026000,-16551000,-16551000,-16551000,20101000,7651000,-560000,0.42947,0.11368,0.09731,0.0367,0.02591,-0.0358099999999999,4.63686,0.41639,0.01268,0.3978,0.39575,4.08809,10.8391,-0.0142500000000001,0.02944,-0.00105,-15.49873,-17.05293
"23","2019_Q3",32.98046875,"Down",209593000,-127847000,81746000,-54768000,-52836000,-1932000,26978000,2779000,-340000,3119000,29757000,29757000,-8478000,21279000,21279000,21279000,21279000,325667000,206758000,26356000,9593000,12001000,352023000,20854000,186468000,18525000,153054000,287651000,639674000,25165000,11115000,14050000,80767000,108390000,38964000,69426000,108390000,189157000,100102000,348258000,450517000,450517000,639674000,21279000,1932000,21881000,-30857000,14235000,-2482000,0,-4447000,-413000,-1162000,8626000,8626000,8626000,28910000,6564000,4049000,0.39002,0.12872,0.10153,0.04723,0.03327,0.19028,4.3585,0.41987,0.01026,0.54014,0.53826,5.32029,11.43589,0.10278,0.03763,0.00716,-11.03781,-11.82827
"24","2019_Q4",34.76140625,"Up",198220000,-124147000,74073000,-50001000,-48091000,-1910000,24072000,2244000,-329000,2573000,26316000,26316000,-7024000,19292000,19292000,19292000,19292000,350556000,226081000,35784000,9330000,18668000,386340000,21609000,185859000,18513000,152699000,278253000,664593000,27967000,11003000,16964000,84481000,108008000,41695000,66313000,108008000,192489000,102146000,367550000,472104000,472104000,664593000,19292000,1910000,-8478999.99999999,5587000.00000001,18310000,-2517000,-173000,1453000,-440000,-440000,19323000,19323000,19323000,25982000,6564000,36076000,0.37369,0.12144,0.09733,0.04086,0.02903,1.87,4.5731,0.40773,0.00988,0.48911,0.488,5.02548,11.96927,0.91464,0.03288,0.06149,-13.23963,-14.29013
"25","2020_Q1",32.5053225806452,"Down",237908000,-155196000,82712000,-55608000,-53265000,-2343000,27104000,3040000,-370000,3410000,30144000,30144000,-9423000,20721000,20721000,20721000,20721000,383422000,232670000,26745000,10676000,11070000,410167000,22643000,215415000,22122000,170981000,298867000,709034000,33178000,10790000,22388000,101805000,112318000,45628000,66690000,112318000,214123000,104662000,388271000,494911000,494911000,709034000,20721000,2343000,48554000,-40278000,31340000,-2148000,14000,-24501000,-569000,-250000,6589000,6589000,6589000,29447000,6564000,-3556000,0.34766,0.11393,0.0871,0.04187,0.02922,-0.17161,4.02895,0.43265,0.00926,0.52502,0.52311,6.02802,12.53987,-0.0901,0.03376,-0.00579,-12.79784,-13.90415
"26","2020_Q2",27.2590476190476,"Down",190717000,-113757000,76960000,-57324000,-54860000,-2464000,19636000,-649000,-283000,-366000,18987000,18987000,-5917000,13070000,13070000,13070000,13070000,333624000,189760000,18441000,9072000,8440000,352065000,23173000,249881000,20959000,197668000,318264000,670329000,15981000,10642000,5339000,65513000,95520000,28220000,67300000,95520000,161033000,105605000,401308000,509296000,509296000,670329000,13070000,2464000,-18628000,-49699000,-52793000,-2397000,-210000,13097000,-2940000,-2940000,-42636000,-42636000,-42910000,22100000,6564000,-24079000,0.40353,0.10296,0.06853,0.02566,0.0195,-1.84231000000001,5.37397,0.31619,0.00979,0.33054,0.32967,4.82327,12.8802,-0.60896,0.02138,-0.03938,-14.7990999999999,-16.65614
"27","2020_Q3",26.83421875,"Down",117400000,-73743000,43657000,-46271000,-43519000,-2752000,-2614000,2762000,-213000,2975000,148000,148000,-42000,106000,106000,106000,106000,324648000,154880000,23020000,8391000,10405000,347668000,23429000,256937000,17710000,201398000,323147000,670815000,15125000,10914000,4211000,58554000,99348000,31388000,67960000,99348000,157902000,108312000,401414000,512913000,512913000,670815000,106000,2752000,5899000,-7813000,944000,-1793000,0,-29556000,-2e+05,-6392000,-35004000,-35004000,-34880000,138000,0,-9426000,0.37187,-0.02227,9e-04,0.00021,0.00016,-88.92453,5.93756,0.30785,0,0.00267,0.00267,2.96248,12.94287,-0.23786,0.00017,-0.0154,-2352.52174,124.19587
"28","2020_Q4",32.75171875,"Up",158575000,-99707000,58868000,-52328000,-49722000,-2606000,6540000,1416000,-199000,1615000,7956000,7956000,-1916000,6040000,6040000,6040000,6040000,342625000,173112000,30666000,8694000,11949000,373291000,23371000,252958000,15839000,200236000,322834000,696125000,20839000,10601000,10238000,76037000,99054000,33921000,65133000,99054000,175091000,110629000,407454000,521034000,521034000,696125000,6040000,2606000,44294000,-29357000,23583000,-1222000,57000,-4921999.99999999,-486000,-486999.999999999,18174000,18174000,18232000,9146000,4.65661287307739e-10,-19517000,0.37123,0.04124,0.03809,0.01159,0.00868,-3.23129,4.90933,0.33605,-8.67361737988404e-19,0.15221,0.15213,3.99625,13.13057,-0.49185,0.00974,-0.03147,-37.4617300000004,-52.38914
"29","2021_Q1",35.5590163934426,"Up",250214000,-160672000,89542000,-59490000,-56413000,-3077000,30052000,2221000,-205000,2426000,32273000,32273000,-8651000,23622000,23622000,23622000,23622000,401410000,243152000,25255000,10153000,15102000,429078000,23436000,278835000,21374000,205408000,350044000,779122000,43021000,18288000,21007000,120317000,111969000,38745000,73224000,111969000,232286000,113182000,431076000,546836000,546836000,779122000,23622000,3077000,2230000,37425000,66354000,-1533000,97000,4153000,-782000,-511000,69996000,69996000,70040000,33129000,0,77672000,0.35786,0.12011,0.09441,0.0432,0.03032,3.28812,3.56623,0.42478,0,0.59476,0.59185,6.29992,13.76821,1.95564,0.03586,0.1179,-12.11657,-13.35718
"30","2021_Q2",36.2950793650794,"Up",183977000,-109103000,74874000,-54674000,-51677000,-2997000,20200000,898000,-146000,1044000,21098000,21098000,-6086000,15012000,15012000,15012000,15012000,356202000,221708000,26037000,10084000,15953000,382239000,22931000,278981000,20629000,207535000,368843000,751082000,38909000,18919000,11478000,91317000,98096000,28745000,69351000,98096000,189413000,113741000,446088000,561669000,561669000,751082000,15012000,2997000,8853000,-46964000,-20102000,-1099000,210000,3141000,-4516000,-4516000,-21477000,-21477000,-21444000,23197000,0,-18780000,0.40697,0.1098,0.0816,0.02673,0.01999,-1.251,4.18585,0.33723,0,0.37759,0.37414,4.62754,14.12755,-0.47237,0.02275,-0.02846,-15.3555199999999,-17.63376
"31","2021_Q3",37.50765625,"Up",284946000,-178585000,106361000,-64756000,-61797000,-2959000,41605000,1224000,-146000,1370000,42829000,42829000,-11297000,31532000,31532000,31532000,31532000,377586000,230414000,33755000,10402000,23353000,411341000,22746000,286169000,20706000,215620000,406429000,817770000,47193000,20959000,23854000,115519000,105398000,32191000,73207000,105398000,220917000,117461000,477620000,596853000,596853000,817770000,31532000,2959000,8216000,10861000,53568000,-1671000,26000,-44991000,-311000,58000,8635000,8635000,8706000,44564000,0,65051000,0.37327,0.14601,0.11066,0.05283,0.03856,2.06302,3.56081,0.37014,0,0.79312,0.78586,7.16719,15.01253,1.63622,0.0449,0.09263,-8.47289,-9.0755
"32","2021_Q4",45.08125,"Up",332383000,-219194000,113189000,-67523000,-64673000,-2850000,45666000,179000,-144000,323000,45845000,45845000,-11921000,33924000,33924000,33924000,33924000,397909000,281007000,29045000,9232000,19813000,429971000,22890000,291717000,24410000,218333000,445109000,875080000,57749000,20025000,32066000,130562000,112249000,38638000,73611000,112249000,242811000,118974000,511544000,632269000,632269000,875080000,33924000,2850000,5520000,23833000,66127000,-1468000,14000,-13932000,-1623000,-1623000,50572000,50572000,50593000,48516000,0,82802000,0.34054,0.13739,0.10206,0.05365,0.03877,2.44081,3.29323,0.38403,0,0.84937,0.84302,8.32206,15.83037,2.07316,0.04557,0.11122,-8.2016,-8.71346
"33","2022_Q1",46.7027419354839,"Up",495134000,-333327000,161807000,-79922000,-77007000,-2915000,81885000,1646000,-144000,1790000,83531000,83531000,-21529000,62002000,62002000,62002000,62002000,566008000,382140000,35720000,13220000,22500000,608131000,23192000,301265000,33736000,219424000,437067000,1045198000,83188000,15487000,49848000,225630000,123264000,53536000,69728000,123264000,348894000,121848000,573546000,696304000,696304000,1045198000,62002000,2915000,4068000,87325000,156310000,-2619000,0,-52574000,-122000,162000,103898000,103898000,101133000,84800000,0,191035000,0.32679,0.16538,0.12522,0.08904,0.05932,3.08111,2.69526,0.50107,0,1.55238,1.54077,12.39695,17.43375,4.78305,0.07565,0.23309,-6.67462,-6.91223
"34","2022_Q2",43.1864516129032,"Down",319464000,-196768000,122696000,-78446000,-74535000,-3911000,44250000,290000,-160000,450000,44540000,44540000,-11757000,32783000,32783000,32783000,32783000,534683000,315695000,30254000,10373000,19881000,570826000,23249000,333108000,33470000,240204000,409337000,980163000,68293000,24388000,15863000,141563000,163211000,45603000,117608000,163211000,304774000,122782000,554193000,675389000,675389000,980163000,32783000,3911000,10501000,-114730000,-67535000,-1883000,-53000,6983000.00000001,-5943000,-5943000,-66495000,-66495000,-66445000,48161000,0,-56695000,0.38407,0.13851,0.10262,0.04854,0.03345,-1.7294,4.03231,0.45126,0,0.82081,0.81467,7.9986,16.90999,-1.4195,0.03909,-0.06761,-11.10199,-12.08323
