"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","derivative_hedging_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital"
"11","2016_Q4",34.7242857142857,"Up",352660000,-152524000,200136000,-234210000,-32679000,-13482000,-193966000,5917000,-34074000,-46985000,-47206000,221000,-81059000,16420000,-64639000,23732000,-40907000,-40907000,-40907000,-40907000,140799000,140799000,125144000,15326000,109818000,1246609000,3255177000,5923237000,-2668060000,1283647000,107029000,1176618000,4538824000,5785433000,277571000,277571000,51059000,328630000,2894323000,714565000,104705000,156148000,3608888000,3937518000,867108000,994969000,-14162000,1847915000,1847915000,5785433000,-40907000,193966000,-8621000,13701000,158139000,41638000,-147224000,-147224000,-10564000,328578000,-26417000,833073000,980648000,980648000,980648000,159892000,2894323000,191499000,0.5675,-0.09662,-0.116,-0.02214,-0.00707,-4.68133,3.79335,2.13079,0.50028,-0.52083,-0.52083,4.49008,23.52773,2.43817,-0.00749999999999999,0.03509
"12","2017_Q1",26.63,"Down",379900000,-151907000,227993000,-229332000,-31711000,-23028000,-171552000,-3041000,-1339000,-48497000,-46356000,-2141000,-49836000,-280777000,-330613000,129667000,-200946000,-200946000,-200946000,-200946000,151950000,151950000,63320000,8799000,54521000,224642000,6081354000,8917886000,-2836532000,87515000,67575000,19940000,6168869000,6393511000,299708000,299708000,115464000,415172000,2897575000,583631000,98340000,169619000,3481206000,3896378000,1717669000,794020000,-14556000,2497133000,2497133000,6393511000,-200946000,171552000,151298000,15888000,137792000,607116000,-137117000,-137117000,-1505821000,-821000,-98999.9999999963,399735000,-968294000,-968294000,-968294000,170213000,2897575000,663550000,0.60014,-0.00352000000000004,-0.52894,-0.08047,-0.03143,-3.30213,0.54108,1.56034,0.45321,-2.19493,-2.19493,4.14965,27.27617,7.24795,-0.03289,0.11099
"13","2017_Q2",19.1131746031746,"Down",372738000,-138046000,234692000,-183305000,-28817000,-11817000,-137812000,-4859000,51387000,-47186000,-46953000,-233000,4201000,114739000,118940000,-44506000,74434000,74434000,74434000,74434000,108368000,108368000,82031000,8053000,73978000,849546000,5450120000,8039324000,-2589204000,100042000,84195000,15847000.0000001,5550162000,6399708000,299676000,299676000,53809000,353485000,2898603000,532105000,81306000,146468000,3430708000,3784193000,1724123000,906515000,-15123000,2615515000,2615515000,6399708000,74434000,137812000,-105193000,27926000,134979000,589932000,-154401000,-154401000,514827000,-2344000,-173000,-2517000,647289000,647289000,647289000,189199000,2898603000,851563000,0.62964,0.13786,0.1997,0.02846,0.01163,11.44051,2.40334,1.44683,0.45293,0.66902,0.66859,3.35021,23.50856,7.65395,0.01231,0.14084
"14","2017_Q3",15.0646031746032,"Down",120721000,-124376000,-3655000,-198703000,-28237000,-12983000,-153232000,-4251000,-202358000,-43642000,-44595000,953000,-2.46e+08,55031999.9999999,-190968000,71061000,-119907000,-119907000,-119907000,-119907000,105713000,105713000,104083000,18121000,85962000,769317000,5346411000,8464394000,-3117983000,96877000,82194000,14683000,5443288000,6212605000,311476000,311476000,36296000,347772000,2901948000,461057000,69915000,145636000,3363005000,3710777000,1730219000,786608000,-14999000,2501828000,2501828000,6212605000,-119907000,153232000,73568000.0000001,255999.999999996,107149000,-190428000,-212342000,-212342000,-203463000,1.49011611938477e-08,-1000,-3826000.00000003,-100140000,-100140000,-100140000,-49126000,2901948000,-310359000,-0.0302799999999999,-1.67625,-0.99326,-0.04793,-0.0193,2.58833,2.21213,1.48323,0.46711,-1.07743,-1.07812,1.08474,22.48026,-2.78874,-0.0195,-0.05292
"15","2017_Q4",19.4925396825397,"Up",295379000,-122651000,172728000,-177281000,-27564000,-14119000,-134599000,-999000,-4553000,-43230000,-44091000,861000,-47783000,-80599000,-128382000,39270000,-89112000,-89112000,-89112000,-89112000,146056000,146056000,81441000,17756000,63685000,668912000,5417083000,8660155000,-3243072000,92931000,60035000,32896000,5510014000,6178926000,348885000,348885000,87791000,436676000,2905358000,424851000,67676000,148455000,3330209000,3766885000,1735333000,691915000,-15207000,2412041000,2412041000,6178926000,-89112000,134599000,71024000,11971000,128482000,-246108000,-258226000,-258226000,-245357000,-13000,-1218000,-1231000,-118106000,-118106000,-118106000,130046000,2905358000,-143361000,0.58477,-0.01541,-0.30169,-0.03694,-0.01442,1.60877,1.53183,1.5617,0.4702,-0.79885,-0.79885,2.64795,21.62296,-1.28517,-0.01552,-0.02497
"16","2018_Q1",20.8795081967213,"Up",340538000,-122833000,217705000,-183410000,-32665000,-15794000,-131393000,-3558000,34294999.9999999,-45999000,-43618000,-2381000,-11704000,-131699000,-143403000,117145000,-26258000,-26258000,-26258000,-26258000,160154000,160154000,75018000,10752000,64266000,549115000,5554792000,8726367000,-3171575000,72869000,40362000,32507000,5627661000,6176776000,386630000,386630000,172582000,559212000,2908770000,314186000,71402000,162795000,3222956000,3782168000,1742740000,665657000,-13789000,2394608000,2394608000,6176776000,-26258000,131393000,10185000,29460000,144780000,-265030000,-263384000,-263384000,-267537000,3.72529029846191e-09,-19000,-4715000,-127472000,-127472000,-127472000,165688000,2908770000,-187027000,0.6393,0.10071,-0.07711,-0.01097,-0.00425,7.12267,0.98194,1.57945,0.47092,-0.23526,-0.23526,3.05103,21.45437,-1.67566,-0.00368,-0.03329
"17","2018_Q2",22.61765625,"Up",769595000,-120879000,648716000,-176494000,-27682000,-13727000,-130473000,-4612000,472222000,-42676000,-43085000,409000,429546000,-13154000,416392000,-98991000,317401000,317401000,317401000,317401000,192562000,192562000,87293000,9997000,77296000,923192000,5669549000,8563223000,-2893674000,67247000,35128000,32119000,5736796000,6659988000,468108000,468108000,181068000,649176000,2912248000,386467000,53712000,154332000,3298715000,3947891000,1748152000,980444000,-16499000,2712097000,2712097000,6659988000,317401000,130473000,-291626000,-16113000,140135000,189259000,-301521000,-301521000,189259000,-192987096.577906,2688934.58712194,106234127.006897,329394000,329394000,329394000,602695000,2912248000,874832000,0.84293,0.6136,0.41243,0.11703,0.04766,2.75624,1.4221,1.45566,0.43728,2.84165,2.81187,6.89009,24.28106,7.83226,0.05281,0.14554
"18","2018_Q3",27.8026984126984,"Up",443916000,-117400000,326516000,-194684000,-28920000,-14056000,-151765000,57000,131832000,-39852000,-41654000,1802000,91979999.9999999,-75684000,16296000,901000,17196999.9999999,17196999.9999999,17196999.9999999,17196999.9999999,178682000,178682000,160622000,14293000,146329000,955210000,5718450000,8760103000,-3041653000,62825000,31151000,31674000,5781275000,6736485000,446318000,446318000,259338000,1047957000,2573424000,378477000,67583000,133185000,2951901000,3999858000,1755287000,997641000,-16301000,2736627000,2736627000,6736485000,17196999.9999999,151765000,8029999.99999994,-5609000.00000001,171383000,-170363000,-421798000,-421798000,-194978000,-404785346.49562,-132999.999999999,-3836000,-27430999.9999999,-27430999.9999999,-27430999.9999999,283597000,2915725000,106724000,0.73554,0.29698,0.03874,0.00628,0.00255,6.20597,0.9115,1.4616,0.43283,0.15396,0.15131,3.97418,24.49979,0.95545,0.00378,0.0177
"19","2018_Q4",22.4215873015873,"Down",459369000,-127638000,331731000,-253294000,-29464000,-13061000,-201105000,-9664000,78437000,-37305000,-38111000,806000,41132000,-213803000,-172671000,36748000,-135923000,-135923000,-135923000,-135923000,179347000,179347000,96989000,15826000,81163000,453142000,5776187000,9016311000,-3240124000,44392000,8853000,35539000,5820579000,6273721000,429698000,429698000,304159000,733857000,2592952000,347513000,72605000,133959000,2940465000,3674322000,1759326000,856111000,-16038000,2599399000,2599399000,6273721000,-135923000,201105000,146480000,17997000,229659000,-308285000,-309269000,-309269000,-308241000,-352905000,-7613000,-360518000,-439100000,-439100000,-439100000,279542000,2592952000,-47494000,0.72214,0.17075,-0.29589,-0.05229,-0.02167,0.34942,0.61748,1.41353,0.4133,-1.21239,-1.18953,4.09741,23.18573,-0.42363,-0.02454,-0.00856999999999999
"20","2019_Q1",17.2355737704918,"Down",394192000,-121450000,272742000,-230839000,-30438000,-14322000,-181970000,-4109000,41903000,-37987000,-38056000,69000,3916000,387844000,391760000,-82028000,309732000,309732000,309732000,309732000,167536000,167536000,183762000,8632000,175130000,429263000,5831165000,9249118000,-3417953000,92434000,58499000,33935000,5923599000,6352862000,403199000,403199000,62853000,466052000,2596333000,370155000,12496000,134381000,2966488000,3432540000,1766860000,1165842000,-12380000,2920322000,2920322000,6352862000,309732000,181970000,-329646000,17396000,179452000,-265290000,-270600000,-270600000,-273974000,-18000,0,-4319000.00000012,-98841000.0000001,-98841000.0000001,-98841000.0000001,223873000,2596333000,58007000,0.6919,0.1063,0.78574,0.10606,0.04875,0.187279999999999,0.92106,1.1754,0.40869,2.76201,2.73596,3.51518,26.04175,0.51727,0.05357,0.00985
"21","2019_Q2",14.11,"Down",340930000,-121305000,219625000,-221515000,-32086000,-11348000,-177746000,-335000,-1890000,-38297000,-37980000,-317000,-40187000,-183419000,-223606000,46038000,-177568000,-177568000,-177568000,-177568000,145299000,145299000,76021000,8454000,67567000,221334000,5954390000,9541040000,-3586650000,110894000,27202000,83692000,6065284000,6286618000,426550000,426550000,118792000,545342000,2646287000,351764000,13332000,162084000,2998051000,3543393000,1772680000,982662000,-12117000,2743225000,2743225000,6286618000,-177568000,177746000,138483000,-20159000,118502000,-243226000,-249340000,-249340000,-242935000,46500000,-18000,46482000,-77951000,-77951000,-77951000,175856000,2646287000,-133567000,0.64419,-0.00554,-0.52083,-0.06473,-0.02825,0.7522,0.40586,1.29169,0.42094,-1.58187,-1.58187,3.03718,24.43809,-1.18989,-0.03093,-0.02326
"22","2019_Q3",9.920625,"Down",407172000,-123050000,284122000,-247193000,-30920000,-10877000,-206330000,934000,36929000,-40189000,-39627000,-562000,-3260000,67238000,63978000,-13590000,50387999.9999999,50387999.9999999,50387999.9999999,50387999.9999999,165757000,165757000,122965000,8723000,114242000,288734000,5985329000,9759877000,-3774548000,117876000,30180000,87696000,6103205000,6391939000,407883000,407883000,96062000,503945000,2721240000,364911000,12431000,162334000,3086151000,3590096000,1780790000,1033051000,-11998000,2801843000,2801843000,6391939000,50387999.9999999,206330000,-38403000,41613000,259928000,-320381000,-326787000,-326787000,-320353000,71500000,-1026000,66821000,6396000.00000001,6396000.00000001,6396000.00000001,243259000,2721240000,-21919000,0.69779,0.0907,0.12375,0.01798,0.00788,-0.435,0.57295,1.28133,0.42573,0.448839999999999,0.44884,3.62698,24.95807,-0.19525,0.00951,-0.00372
"23","2019_Q4",8.810625,"Down",390317000,-129042000,261275000,-256350000,-32578000,-11626000,-211125000,-1021000,4925000,-41132000,-40584000,-548000,-36207000,94552000,58345000,-16111000,42234000,42234000,42234000,42234000,146211000,146211000,164893000,21751000,143142000,311114000,6029143000,9982324000,-3953181000,112826000,38571000,74255000,6141969000,6453083000,431440000,431440000,59602000,491042000,2735769000,382522000,6014000,159039000,3118291000,3609333000,1785916000,1069642000,-11808000,2843750000,2843750000,6453083000,42234000,211125000,-40530000,-9673000,203156000,-212515000,-212515000,-212515000,-215415000,1.1e+07,-1640000,9360000,-2899000,-2899000,-2899000,216050000,2735769000,9973000,0.66939,0.01262,0.1082,0.01485,0.00654,0.23614,0.63358,1.26922,0.42395,0.37439,0.37439,3.45998,25.20854,0.08841,0.00708,0.00167
"24","2020_Q1",6.92596774193548,"Down",451686000,-127312000,324374000,-302925000,-37213000,-17649000,-228597000,-19466000,21449000,-41458000,-40911000,-547000,-20009000,-109752000,-129761000,27706000,-102055000,-102055000,-102055000,-102055000,184732000,184732000,67892000,12708000,55184000,252634000,5953648000,10131524000,-4177876000,85950000,20624000,65326000,6039598000,6292232000,402008000,402008000,70035000,472043000,2732798000,338397000,3444000,145567000,3071195000,3543238000,1792726000,967587000,-11319000,2748994000,2748994000,6292232000,-102055000,228597000,110368000,5071000,241981000,-234588000,-235127000,-235127000,-234588000,-6500000,-2000,-10894000,-3501000,-3501000,-3501000,250046000,2732798000,-7177000,0.71814,0.04749,-0.22594,-0.03712,-0.01622,0.0703200000000001,0.53519,1.28892,0.43431,-0.90432,-0.90432,4.00243,24.35907,-0.0636,-0.01657,-0.00123
"25","2020_Q2",3.2215873015873,"Down",355734000,-119552000,236182000,-272851000,-27447000,-11349000,-233489000,-566000,-36669000,-42006000,-41512000,-494000,-78675000,-432228000,-510903000,99008000,-411895000,-411895000,-411895000,-411895000,143311000,143311000,481834000,17842000,463992000,625160000,4888338000,9277441000,-4389103000,101527000,44909000,56618000,4989865000,5615025000,359406000,359406000,24057000,383463000,2645384000,244461000,7202000,143341000,2889845000,3273308000,1798284000,554562000,-11129000,2341717000,2341717000,5615025000,-411895000,233489000,415055000,-18517000,218132000,-139306000,-139306000,-139306000,-139309000,-78818000,-92321129.6982495,-78818000,5000,5000,5000,196820000,2645384000,-60011000,0.66393,-0.10308,-1.15787,-0.17589,-0.07336,0.14569,1.6303,1.39782,0.47113,-3.6448,-3.6448,3.14784,20.72151,-0.53103,-0.07873,-0.01147
"26","2020_Q3",2.7503125,"Down",169632000,-80445000,89187000,-225916000,-27227000,-9787000,-180856000,-8046000,-136729000,-40539000,-40354000,-185000,-177268000,51331000,-125937000,36685000,-89252000,-89252000,-89252000,-89252000,127173000,127173000,228286000,16704000,211582000,355469000,4825825000,9362362000,-4536537000,86334000,34390000,51944000,4912159000,5267628000,257053000,257053000,50847000,307900000,2456119000,222777000,24028000,141700000,2678896000,2986796000,1826463000,465310000,-10941000,2280832000,2280832000,5267628000,-89252000,180856000,61471999.9999999,-38737000,114339000,-170903000,-170903000,-170903000,-170808000,149318000,-92671000,56464000,-5000,-5000,-5000,44127000,2456119000,-202198000,0.52577,-0.80603,-0.52615,-0.03913,-0.01694,2.26547,1.15449,1.30952,0.46627,-0.78969,-0.789690000000001,1.50089,20.1806,-1.78903,-0.01777,-0.04077
"27","2020_Q4",3.3396875,"Up",281015000,-95257000,185758000,-216269000,-24452000,-8547000,-181708000,-1562000,-30511000,-43199000,-41519000,-1680000,-73710000,-47551000,-121261000,22969000,-98292000,-98292000,-98292000,-98292000,136613000,136613000,138267000,10221000,128046000,274890000,4765101000,9478543000,-4713442000,82294000,31509000,50785000,4847395000,5122285000,287777000,287777000,89501000,377278000,2353038000,206861000,33068000,139211000,2559899000,2937177000,1828982000,365872000,-9746000,2185108000,2185108000,5122285000,-98292000,181708000,101354000,16843000,201613000,-109476000,-109568000,-109568000,-116643000,-162770000,77800000,-84970000,0,0,0,151197000,2353038000,35595000,0.66103,-0.10857,-0.34977,-0.04498,-0.01919,-0.36214,0.72861,1.34418,0.45937,-0.85953,-0.85953,2.45737,19.10794,0.31126,-0.02071,0.00750000000000001
"28","2021_Q1",12.6667213114754,"Up",320292000,-95963000,224329000,-234933000,-20034000,-11314000,-188934000,-14651000,-10604000,-42092000,-40507000,-1585000,-52696000,-145908000,-198604000,33429000,-165175000,-165175000,-165175000,-165175000,162455000,162455000,41204000,10001000,31203000,203669000,4701866000,9588839000,-4886973000,70896000,23150000,47746000,4772762000,4976431000,371670000,371670000,212069000,583739000,2214319000,162213000,22331000,139882000,2376532000,2960271000,1829061000,200697000,-13598000,2016160000,2016160000,4976431000,-165175000,188934000,181099000,52002000,256860000,-128008000,-128008000,-128008000,-128806000,-127228000,-197000,-128054000,2.3283064365387e-10,2.3283064365387e-10,2.3283064365387e-10,178330000,2214319000,68895000,0.70039,-0.03311,-0.5157,-0.08193,-0.03319,-0.4171,0.3489,1.46827,0.44496,-1.44215,-1.44215,2.79648,17.60316,0.60152,-0.03734,0.01568
