"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",38.0520967741936,"Up",1312073000,-905948000,406125000,-323930000,-314636000,-9294000,82195000,252000,-860000,1112000,82447000,82447000,-32308000,50139000,50139000,50139000,50139000,294493000,294493000,57212000,57212000,1382684000,64901000,35367000,2779000,1799290000,851302000,418989000,99033000,200594000,8269000,111093000,1270291000,3069581000,961840000,665608000,0,296232000,96233000,96233000,1066657000,14157000,283835000,283835000,297992000,1364649000,857108000,1047668000,114000,1704932000,1704932000,3069581000,50139000,30527000,-817000,-63493000,16356000,-62290000,-10411000,-72701000,-15251000,-32573000,26744000,26744000,0,21506000,426000,-55919000,-55919000,8000,-55911000,112722000,22741000,19247000,0.30953,0.06265,0.03821,0.02941,0.01633,0.38387,1.68685,0.80041,0.00741,0.41063,0.39812,10.74562,13.96306,0.15763,0.1249,0.03251,0.00956999999999997,0.30417,-2.41082,-3.30619
"12","2013_Q1",38.2028333333333,"Up",1805301000,-1216650000,588651000,-377547000,-375782000,-1765000,211104000,907000,-725000,1632000,212011000,212011000,-82261000,129750000,129750000,129750000,129750000,345214000,345214000,34625000,34625000,1096186000,119864000,73838000,15737000,1595889000,840135000,451783000,98903000,200594000,4382000,147904000,1291918000,2887807000,845893000,507247000,68746000,269900000,146362000,146362000,1000768000,7762000,291953000,284540000,299715000,1300483000,875466000,911704000,112000,1587324000,1587324000,2887807000,129750000,36469000,20193000,168536000,354948000,-61578000,-18523000,-80101000,-261304000,27461000,6602000,6602000,0,3117000,-224124000,50723000,50723000,-2000,50721000,247573000,16275000,436792000,0.32607,0.11694,0.07187,0.08174,0.04493,3.36641,1.59466,0.81929,0.00564,1.05513,1.02564,14.68071,12.90812,3.55199,2.12492,0.2063,0.23043,2.0139,-1.32865,-1.55818
"13","2013_Q2",39.83765625,"Up",1333701000,-922047000,411654000,-314037000,-312708000,-1329000,97617000,5535000,-669000,6204000,103152000,103152000,-38331000,64821000,64821000,64821000,64821000,113889000,113889000,46064000,46064000,1312737000,130232000,84275000,3250000,1602922000,876734000,458219000,98380000,200594000,3798000,155447000,1334953000,2937875000,923747000,658626000,18469000,246652000,120767000,120767000,1052921000,7137000,301275000,295487000,308412000,1361333000,895463000,961517000,106000,1576542000,1576542000,2937875000,64821000,32808000,-11759000,-161222000,-75352000,-33954000,-34674000,-68628000,-18168000.0000001,-1413000,-67694000,12909000,-80603000,-64000,-87339000,-231319000,-231319000,-6000,-231325000,130425000,15544000,-26420000,0.30866,0.07319,0.0486,0.04112,0.02206,-0.40758,1.52236,0.86349,0.00529,0.52828,0.51502,10.86943,12.84854,-0.21532,0.148069999999999,0.04383,-0.01395,0.28028,-0.75403,-1.00746
"14","2013_Q3",40.25390625,"Up",1531431000,-1052102000,479329000,-342235000,-336950000,-5285000,137094000,1020000,-716000,1736000,138114000,138114000,-53951000,84163000,84163000,84163000,84163000,134765000,134765000,84956000,84956000,1275215000,157739000,109146000,2455000,1652675000,937310000,429486000,97858000,200594000,4114000,126920000,1366796000,3019471000,906050000,598263000,12777000,295010000,111101000,111101000,1025451000,6360000,323205000,314756000,329565000,1355016000,914810000,1030108000,81000,1664455000,1664455000,3019471000,84163000,43506000,8812000,-55723000,80758000,-61525000,-2795000.00000001,-64320000,-15382000,7356000.00000001,9827000.00000001,9827000,0,2662000,4463000.00000001,20901000,20901000,-25000,20876000.0000001,180600000,14660000,117303000,0.31299,0.08952,0.05496,0.05056,0.02787,1.39376,1.61166,0.81409,0.00486,0.6848,0.67012,12.46069,13.54305,0.95445,0.12516,0.04971,0.05858,0.18276,-0.66503,-0.87608
"15","2013_Q4",43.68875,"Up",1400623000,-975723000,424900000,-345846000,-333724000,-12122000,79054000,2039000,-696000,2735000,81093000,81093000,-31116000,49977000,49977000,49977000,49977000,65647000,65647000,81389000,81389000,1570034000,187855000,104806000,34635000,1904925000,1059865000,383105000,98792000,200594000,3286000,80433000,1442970000,3347895000,1054617000,738196000,0,316421000,106847000,106847000,1169004000,122996000,357872000,328712000,480868000,1649872000,938973000,1064511000,78000,1698023000,1698023000,3347895000,49977000,37123000,44994000,-195203000,-63109000,-101383000,-11579000,-112962000,-15427000,129921000,-12816000,12184000,-2.5e+07,5278000,106956000,-69115000,-69115000,-3000,-69118000,116177000,130536000,-149293000,0.30337,0.05644,0.03568,0.02943,0.01493,-2.98723,1.62953,0.97164,0.03899,0.40559,0.39714,11.36676,13.78031,-1.21159,0.1252,0.02991,-0.06828,0.30868,0.55854,0.82082
"16","2014_Q1",43.4308196721312,"Down",1947418000,-1319351000,628067000,-405020000,-402933000,-2087000,223047000,701000,-848000,1549000,223748000,223748000,-85111000,138637000,138637000,138637000,138637000,181731000,181731000,60779000,60779000,1232065000,145496000,99386000,7275000,1620071000,1084529000,366887000,98255000,200594000,2477000,65561000,1451416000,3071487000,847304000,562439000,19825000,265040000,154384000,154384000,1002587000,6476000,370245000,331628000,376721000,1379308000,960153000,1187514000,24000,1692179000,1692179000,3071487000,138637000,41491000,31070000,250375000,461573000,-88806000,-4459000,-93265000,-15455000,-101340000,-141437000,8562000,-149999000,6062000,-252170000,116138000,116138000,-54000,116084000,264538000,7375000.00000003,511218000,0.32251,0.11453,0.07119,0.08193,0.04514,3.68746,1.61589,0.81511,0.0024,1.13,1.10719,15.87293,13.79254,4.16681,0.12597,0.07445,0.24699,0.11148,-0.6591,-0.7817
"17","2014_Q2",39.3857142857143,"Down",1438908000,-998025000,440883000,-328795000,-322589000,-6206000,112088000,1754000,-610000,2364000,113842000,113842000,-43858000,69984000,69984000,69984000,69984000,139372000,139372000,66479000,66479000,1480724000,134327000,93751000,6861000,1820902000,1077254000,371281000,97795000,200594000,2606000,70286000,1448535000,3269437000,1009680000,701005000,34914000,273761000,134406000,134406000,1144545000,6356000,383324000,357359000,389680000,1534225000,973549000,1242140000,31000,1735212000,1735212000,3269437000,69984000,36859000,2532000,-95451000,13924000,-63918000,73388000,9470000,-16619000,-30827000,-17055000,7945000,-2.5e+07,-1259000,-65760000,-42366000,-42366000,7000,-42359000,148947000,6815000,33436000,0.3064,0.0779,0.04864,0.04033,0.02141,0.47777,1.59094,0.88417,0.00208000000000001,0.57772,0.56732,11.87825,14.32426,0.27602,0.13719,0.04075,0.01573,0.23747,-0.88996,-1.18262
"18","2014_Q3",35.98984375,"Down",1688890000,-1186334000,502556000,-390994000,-383054000,-7940000,111562000,1251000,-762000,2013000,112813000,112813000,-43347000,69466000,69466000,69466000,69466000,100132000,100132000,102248000,102248000,1418660000,136120000,90369000,6328000,1757160000,1138182000,360141000,84901000,200594000,3169000,71477000,1498323000,3255483000,1007163000,688442000,12784000,305937000,125258000,125258000,1132882000,6232000,419494000,401021000,425726000,1558608000,980886000,1296434000,40000,1696875000,1696875000,3255483000,69466000,52912000,13189000,2727999.99999994,138295000,-86464000,-75000.0000000149,-86539000,-15045000,22903000,-99065000,934000,-99999000,202000.000000001,-91005000,-39249000,-39249000,9000.00000000001,-39240000,164474000,6693000.00000001,124085000,0.29757,0.06606,0.04113,0.04094,0.02134,1.78627,1.55105,0.91852,0.00206,0.57912,0.57014,14.07995,14.14652,1.03447,0.12543,0.03981,0.05845,0.21658,-0.56811,-0.83755
"19","2014_Q4",37.938125,"Up",1526675000,-1074704000,451971000,-372042000,-357708000,-14334000,79929000,-372000,-858000,486000,79557000,79557000,-30345000,49212000,49212000,49212000,49212000,77933000,77933000,87944000,87944000,1765119000,144869000,92375000,10361000,2075865000,1195274000,384393000,111195000,200594000,2209000,70395000,1579667000,3655532000,1134653000,826945000,0,307708000,123665000,123665000,1258779000,286608000,445991000,422407000,732599000,1991378000,989066000,1330542000,15000,1664154000,1664154000,3655532000,49212000,41229000,52991000,-192894000,-49462000,-120875000,-25559000,-146434000,-14900000,261908000,-73209000,1792000,-75001000,-77000,173722000,-22174000,-22174000,-25000,-22199000,121158000,287069000,-162266000,0.29605,0.05235,0.03223,0.02957,0.01346,-3.29729,1.64911,1.19663,0.07853,0.41655,0.41009,12.92237,14.08605,-1.37348,0.12612,0.02674,-0.06769,0.30277,1.72614,2.61652
"20","2015_Q1",44.5581967213115,"Up",2160006000,-1468750000,691256000,-440776000,-438738000,-2038000,250480000,-678000,-985000,307000,249802000,249802000,-94266000,155536000,155536000,155536000,155536000,221679000,221679000,80292000,80292000,1390767000,106060000,91767000,14293000,1798798000,1203382000,389524000,110162000,200594000,8954000,69814000,1592906000,3391704000,946037000,614511000,47698000,283828000,172259000,172259000,1118833000,5913000,434733000,434733000,440646000,1559479000,1016585000,1471182000,-73000,1832225000,1832225000,3391704000,155536000,48431000,27129000,272125000,503221000,-77750000,-3767000,-81517000,-14698000,-284167000,15450000,15450000,0,5545000,-277870000,143834000,143834000,-88000,143746000,298911000,6450000,587552000,0.32003,0.11596,0.07201,0.08489,0.04586,3.77759,1.60774,0.85114,0.0019,1.32095,1.29884,18.34462,15.56083,4.99,0.12483,0.07488,0.25845,0.0945,-0.72004,-0.85927
"21","2015_Q2",44.7885714285714,"Up",1565308000,-1096320000,468988000,-367076000,-360736000,-6340000,101912000,1516000,-634000,2150000,103428000,103428000,-40083000,63345000,63345000,63345000,63345000,81409000,81409000,63871000,63871000,1623753000,114521000,108773000,5748000,1883554000,1220471000,390084000,110179000,200594000,5448000,73863000,1610555000,3494109000,1078537000,777800000,25176000,275561000,149974000,149974000,1229050000,56981000,464957000,462974000,521938000,1750988000,1030369000,1518237000,-42000,1743121000,1743121000,3494109000,63345000,42576000,48095000,-118508000,35508000,-65724000,-406000,-66130000,-17413000,50881000,-140755000,9245000,-1.5e+08,-2392000,-109679000,-140301000,-140301000,31000,-140270000,144488000,57520000,339000,0.29961,0.06511,0.04047,0.03634,0.01813,0.00535,1.53253,1.00451,0.01646,0.54121,0.53273,13.37367,14.89287,0.0029,0.14877,0.03565,0.000149999999999983,0.27489,-0.16534,-0.234410000000001
"22","2015_Q3",41.2434375,"Down",1822979000,-1269421000,553558000,-405152000,-395935000,-9217000,148406000,-993000.000000001,-840000,-153000,147413000,147413000,-56574000,90839000,90839000,90839000,90839000,123220000,123220000,106753000,106753000,1615722000,104534000,99882000,4652000,1950229000,1297302000,391560000,108240000,200594000,10273000,72453000,1688862000,3639091000,1139450000,783722000,19131000,336597000,142083000,142083000,1282093000,5627000,517873000,517873000,523500000,1805593000,1046247000,1592803000,-109000,1833498000,1833498000,3639091000,90839000,48020000,34291000,-5619000,167531000,-89061000,2.3283064365387e-10,-89061000,-16012000,-29820999.9999999,8624999.99999997,8625000,-2.98023223876953e-08,615999.999999999,-36592000,41878000.0000001,41878000.0000001,-67000,41811000,196426000,6186999.99999997,158320000,0.30366,0.08141,0.04983,0.04954,0.02496,1.74286,1.52113,0.98478,0.0017,0.7812,0.7711,15.67736,15.76782,1.36153,0.1377,0.04532,0.06715,0.17627,-0.59581,-0.7886
"23","2015_Q4",34.36421875,"Down",1642627000,-1154252000,488375000,-411294000,-395015000,-16279000,77081000,-2261000,-1076000,-1185000,74820000,74820000,-27605000,47215000,47215000,47215000,47215000,73799000,73799000,96406000,96406000,1997105000,116474000,107755000,8719000,2283784000,1341166000,404399000,109827000,200594000,20066000,73912000,1745565000,4029349000,1287025000,941973000,0,345052000,133593000,133593000,1421193000,347877000,536973000,536973000,884850000,2306043000,1054880000,1623962000,-125000,1723306000,1723306000,4029349000,47215000,46087000,40970000,-221442000,-87170000,-119177000,-2e+06,-121177000,-15810000,323572000,-149202000,798000,-1.5e+08,382000,158942000,-49405000,-49405000,-16000,-49421000,123168000,348452000,-189846000,0.29731,0.04693,0.02874,0.0274,0.01172,-4.02088,1.60695,1.33815,0.08648,0.41064,0.40526,14.28645,14.98814,-1.65115,0.1375,0.02416,-0.07277,0.33485,2.22991,3.56317
"24","2016_Q1",33.3983606557377,"Down",2240051000,-1568085000,671966000,-464173000,-461389000,-2784000,207793000,-2579000,-1462000,-1117000,205214000,205214000,-76222000,128992000,128992000,128992000,128992000,118936000,118936000,61395000,61395000,1527187000,105172000,99740000,5432000,1812690000,1347885000,398761000,109440000,200594000,6165000,82562000,1746646000,3559336000,1006700000,677864000,39835000,289001000,184386000,184386000,1191675000,5324000,573150000,566696000,578474000,1770149000,1064823000,1737214000,-179000,1789187000,1789187000,3559336000,128992000,56911000,81417000,267151000,534471000,-96066000,0,-96066000,-15480000,-316048000,-55327000,1949000,-57276000,-6359000,-393214000,45191000,45191000,-54000,45137000,264704000,5913000,512011000,0.29998,0.09276,0.05758,0.0721,0.03624,3.96932,1.52113,0.98936,0.00166,1.1454,1.13192,19.89088,15.88736,4.54648,0.13746,0.061,0.2162,0.12001,-0.42698,-0.54392
"25","2016_Q2",35.945625,"Up",1660343000,-1164546000,495797000,-405086000,-398568000,-6518000,90711000,936000,-1131000,2067000,91647000,91647000,-34770000,56877000,56877000,56877000,56877000,92493000,92493000,111973000,111973000,1742948000,123264000,120477000,2787000,2070678000,1406471000,401218000,109053000,200594000,4456000,87115000,1807689000,3878367000,1120355000,778977000,13201000,328177000,162365000,162365000,1283310000,162780000,628144000,612754000,790924000,2074234000,1090099000,1776782000,-87000,1804133000,1804133000,3878367000,56877000,47990000,35275000,-132603000,7539000,-88834000,-8000,-88842000,-17613000,112919000,-34257000,15743000,-5e+07,-6281000,54768000,-26535000,-26535000,92000,-26443000,138701000,163370000,-47966000,0.29861,0.05463,0.03426,0.03153,0.01467,-0.84333,1.61354,1.14971,0.04212,0.50735,0.50211,14.81061,16.09324,-0.42787,0.15711,0.0287,-0.01848,0.30967,0.51101,0.78135
"26","2016_Q3",45.54109375,"Up",1967857000,-1370479000,597378000,-450209000,-441721000,-8488000,147169000,312000,-1618000,1930000,147481000,147481000,-56064000,91417000,91417000,91417000,91417000,112325000,112325000,144458000,144458000,1715530000,112456000,110269000,2187000,2084769000,1475797000,427100000,130062000,200594000,4805000,91639000,1902897000,3987666000,1161073000,790217000,11249000,359607000,153926000,153926000,1315611000,157013000,685442000,670956000,842455000,2158066000,1098311000,1851064000,-125000,1829600000,1829600000,3987666000,91417000,48541000,59382000,23747999.9999999,223088000,-119615000,-23404000,-143019000,-16877000,13784000.0000001,-56768000,235000.000000002,-57003000,-338000,-60199000,19870000,19870000,-38000,19832000,195710000,157625000,155907000,0.30357,0.07479,0.04646,0.04997,0.02292,1.70545,1.58464,1.17953,0.03953,0.82156,0.81536,17.6851,16.44259,1.40113,0.15167,0.04052,0.05833,0.18462,0.23146,0.30781
