"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","impairment_of_goodwill_intangibles","sale_of_business","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","assets_held_for_sale","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","short_term_borrowings","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",7.7708064516129,"Down",4.132e+09,-3.177e+09,9.55e+08,-6.4e+07,-6.4e+07,-6.4e+07,8.91e+08,-3.06e+08,-2.94e+08,-3.82e+08,8.8e+07,-6e+06,-6e+06,5.85e+08,-1.863e+09,-1.893e+09,3e+07,-1.278e+09,-1.71e+08,2.5e+07,-1.424e+09,-1.402e+09,-1.66e+08,-1.568e+09,-1.568e+09,2.816e+09,1.943e+09,8.73e+08,2.671e+09,2.671e+09,7.96e+08,2.401e+09,2.26e+08,1.49011611938477e-08,1.744e+09,8.684e+09,2.5484e+10,3.5046e+10,-9.562e+09,7.188e+09,1.967e+09,4.62e+08,6.71e+08,1.334e+09,2.729e+09,3.2672e+10,4.1356e+10,5.191e+09,2.327e+09,4.26e+08,2.438e+09,2.335e+09,2.335e+09,2.98023223876953e-08,2.98023223876953e-08,7.526e+09,1.9225e+10,1.9225e+10,6.691e+09,1.417e+09,3.719e+09,2.5916e+10,3.3442e+10,8.548e+09,8e+06,8.54e+09,-7.8e+08,-4.39e+08,-2.905e+09,4.424e+09,3.49e+09,7.914e+09,4.1356e+10,-1.402e+09,3.32e+08,1.879e+09,2.9e+07,1.85e+09,2.06e+08,-1.6e+07,3.3e+07,7.5e+07,1.14e+08,1.015e+09,-5.08e+08,-5.1e+08,9.5e+07,1e+08,8.9e+07,-3.24e+08,-2.03e+08,-1.2e+07,-1.91e+08,-4.34e+08,2.43e+08,-2.08e+08,-4.81e+08,2.1e+08,4.3e+07,2.53e+08,6e+06,2.59e+08,1.223e+09,2.156e+10,1.092e+09,0.23112,0.21563,-0.37948,-0.19813,-0.03791,-0.69643,1.15387,4.22568,0.52133,-2.09906,-2.09906,5.53146,5.92236,1.46185,-0.04336,0.03019,15.32625,21.03704
"12","2013_Q1",8.50816666666667,"Up",4.357e+09,-3.494e+09,8.63e+08,-4.9e+07,-4.9e+07,-4.9e+07,8.14e+08,-3.04e+08,-2.75e+08,-3.62e+08,8.7e+07,-6.2e+07,3.3e+07,5.1e+08,28000000.0000002,3.1e+07,4999999.99999999,5.38e+08,-1.71e+08,-1.4e+07,3.53e+08,3.23e+08,-1.48e+08,1.75e+08,1.75e+08,2.593e+09,1.9e+09,6.93e+08,2.539e+09,2.539e+09,7.19e+08,2.614e+09,2.22e+08,3.87e+08,1.806e+09,8.465e+09,2.4635e+10,3.378e+10,-9.145e+09,8.73e+09,1.999e+09,3.24e+08,9.4e+08,1.196e+09,2.698e+09,3.3365e+10,4.183e+10,5.179e+09,2.545e+09,2.87e+08,2.347e+09,2.505e+09,2.505e+09,6.35e+08,6.35e+08,8.319e+09,1.8216e+10,1.8216e+10,7.703e+09,1.179e+09,3.523e+09,2.5919e+10,3.4238e+10,8.533e+09,8e+06,8.525e+09,-7.8e+08,-2.64e+08,-2.92e+09,4.569e+09,3.023e+09,7.592e+09,4.183e+10,3.23e+08,3.56e+08,9.8e+07,6.1e+07,37000000.0000002,-5e+06,-5e+07,3.4e+07,2.7e+07,-1.6e+07,7.72e+08,-4.85e+08,-5.27e+08,1.16e+08,2.07e+08,1.5e+08,-2.19e+08,-2.23e+08,1e+06,-2.24e+08,-7.93e+08,5.69e+08,-2.71e+08,-5.24e+08,2.9e+07,-8e+06,2.1e+07,-4e+06,17000000.0000001,1.17e+09,2.0721e+10,8.51e+08,0.19807,0.18683,0.04017,0.02305,0.00418,4.86286,1.01755,4.50975,0.49536,0.23553,0.243059999999999,5.86406,6.14939,1.14536,0.00569,0.02363,15.49402,22.27027
"13","2013_Q2",9.40671875,"Up",4.15e+09,-3.401e+09,7.49e+08,-5.4e+07,-5.4e+07,-5.4e+07,6.95e+08,-2.93e+08,-3.05e+08,-3.7e+08,6.5e+07,-3e+07,4.2e+07,4.02e+08,-9.2e+07,-48000000.0000002,3e+06,3.1e+08,-8.3e+07,4e+06,2.31e+08,1.99e+08,-1.17e+08,8.2e+07,8.2e+07,3.152e+09,2.301e+09,8.51e+08,2.633e+09,2.633e+09,7.55e+08,2.718e+09,2.56e+08,68000000.0000001,2.163e+09,9.258e+09,2.6012e+10,3.5757e+10,-9.745e+09,7.448e+09,1.999e+09,4.17e+08,9.86e+08,1.195e+09,2.746e+09,3.346e+10,4.2718e+10,5.617e+09,2.951e+09,4.15e+08,2.251e+09,3.615e+09,3.615e+09,5.4e+07,53999999.9999999,9.286e+09,1.8269e+10,1.8269e+10,7.344e+09,1.239e+09,3.713e+09,2.5613e+10,3.4899e+10,8.535e+09,8e+06,8.527e+09,-7.68e+08,-1.82e+08,-2.952e+09,4.633e+09,3.186e+09,7.819e+09,4.2718e+10,1.99e+08,3.29e+08,2.39e+08,1.3e+07,2.26e+08,-1.49e+08,4.2e+07,-4e+06,1.74e+08,-3.61e+08,6.18e+08,-3.95e+08,-4.01e+08,1e+06,1e+06,-1.87e+08,-5.81e+08,4.97e+08,1.5e+07,4.82e+08,-1.009e+09,1.491e+09,-1.57e+08,3.1e+08,3.47e+08,1.7e+07,3.64e+08,-8e+06,3.56e+08,1.024e+09,2.1884e+10,5.63e+08,0.18048,0.16747,0.01976,0.01049,0.00192,6.86585,0.99698,4.46336,0.51229,0.11007,0.10948,5.57047,6.21879,0.7557,0.00302,0.0152,18.29297,26.95252
"14","2013_Q3",9.5271875,"Up",3.945e+09,-3.044e+09,9.01e+08,-5.3e+07,-5.3e+07,-5.3e+07,8.48e+08,-2.96e+08,-2.74e+08,-3.37e+08,6.3e+07,-1.8e+07,-4e+06,5.52e+08,-1.45e+08,0,2e+07,4.07e+08,-7.6e+07,2e+06,3.33e+08,3.33e+08,-1.66e+08,1.67e+08,1.67e+08,2.314e+09,1.611e+09,7.03e+08,2.417e+09,2.417e+09,7.63e+08,2.316e+09,1.87e+08,0,1.922e+09,7.81e+09,2.5868e+10,3.5615e+10,-9.747e+09,7.158e+09,1.999e+09,4.08e+08,8.96e+08,1.177e+09,2.678e+09,3.3026e+10,4.0836e+10,5.232e+09,2.622e+09,2.75e+08,2.335e+09,3.041e+09,3.041e+09,0,0,8.273e+09,1.8029e+10,1.8029e+10,6.649e+09,1.195e+09,3.251e+09,2.4678e+10,3.2951e+10,8.489e+09,8e+06,8.481e+09,-7.86e+08,-1.5e+07,-2.939e+09,4.749e+09,3.136e+09,7.885e+09,4.0836e+10,3.33e+08,3.32e+08,6.3e+07,-5.9e+07,1.22e+08,-1.61e+08,1.49e+08,-8e+06,-4.26e+08,1.24e+08,5.67e+08,-4.28e+08,-4.65e+08,1.31e+08,1.34e+08,1.72e+08,-1.25e+08,-7.06e+08,1.8e+07,-7.24e+08,-2.366e+09,1.642e+09,-3.55e+08,-1.109e+09,-6.67e+08,-9e+06,-6.76e+08,-3.1e+07,-7.07e+08,1.18e+09,2.107e+10,6.67e+08,0.22839,0.21496,0.04233,0.02118,0.00409,3.99401,0.94403,4.17895,0.51597,0.22356,0.22237,5.28112,6.35743,0.8929,0.00553,0.01873,15.89492,22.11792
"15","2013_Q4",10.6021875,"Up",3.996e+09,-3.069e+09,9.27e+08,-5.3e+07,-5.3e+07,-5.3e+07,8.74e+08,-2.31e+08,-2.73e+08,-3.58e+08,8.5e+07,3.2e+07,1e+07,6.43e+08,-1.93e+08,-7.4e+07,3e+06,4.5e+08,-1.26e+08,1.5e+07,3.39e+08,2.23e+08,-1.52e+08,7.1e+07,7.1e+07,2.929e+09,2.031e+09,8.98e+08,2.326e+09,2.326e+09,7.11e+08,2.285e+09,1.99e+08,4.58e+08,1.456e+09,8.251e+09,2.5082e+10,3.4613e+10,-9.531e+09,7.917e+09,1.941e+09,3.25e+08,8.21e+08,1.025e+09,2.654e+09,3.2999e+10,4.125e+10,4.668e+09,2.156e+09,3.96e+08,2.116e+09,2.503e+09,2.503e+09,8.38e+08,8.38e+08,8.009e+09,1.8533e+10,1.8533e+10,6.664e+09,1.116e+09,3.042e+09,2.5197e+10,3.3206e+10,8.505e+09,8e+06,8.497e+09,-8.3e+08,5.6e+07,-2.918e+09,4.813e+09,3.231e+09,8.044e+09,4.125e+10,2.23e+08,3.21e+08,2.56e+08,-3.6e+07,2.92e+08,5.5e+07,-5.6e+07,6e+06,-3.26e+08,4.31e+08,8.55e+08,-4.55e+08,-4.64e+08,3.2e+07,3.2e+07,-1.38e+08,-5.61e+08,5.23e+08,-5.5e+07,5.78e+08,-1.21e+08,6.99e+08,-2.85e+08,1.64e+08,4.58e+08,1.5e+07,4.73e+08,2e+06,4.75e+08,1.195e+09,2.1036e+10,9.21e+08,0.23198,0.21872,0.01777,0.00883000000000001,0.00172,12.97183,1.03022,4.12805,0.50996,0.09556,0.09505,5.3782,6.47779,1.23957,0.0028,0.02577,15.1523,20.71739
"16","2014_Q1",10.5445901639344,"Down",3.8e+09,-3.13e+09,6.7e+08,-6e+07,-6e+07,-6e+07,6.1e+08,-3.6e+08,-3.55e+08,-4.17e+08,6.2e+07,-6e+06,1e+06,2.5e+08,-3.69e+08,-3.45e+08,0,-1.19e+08,-5.8e+07,4e+06,-1.73e+08,-2.04e+08,-2e+06,-2.06e+08,-2.06e+08,2.31e+09,1.642e+09,6.68e+08,2.363e+09,2.363e+09,6.84e+08,2.382e+09,1.79e+08,4.64e+08,1.573e+09,7.739e+09,2.5112e+10,3.4716e+10,-9.604e+09,7.56e+09,1.622e+09,2.97e+08,6.66e+08,1.01e+09,2.711e+09,3.2672e+10,4.0411e+10,4.636e+09,2.259e+09,2.63e+08,2.114e+09,2.18e+09,2.18e+09,8.37e+08,8.37e+08,7.653e+09,1.8869e+10,1.8869e+10,6.16e+09,1.119e+09,3.299e+09,2.5029e+10,3.2682e+10,8.451e+09,8e+06,8.443e+09,-1.089e+09,-1.5e+08,-2.882e+09,4.33e+09,3.399e+09,7.729e+09,4.0411e+10,-2.04e+08,3.12e+08,6.56e+08,-7.6e+07,7.32e+08,-8.9e+07,1.1e+07,2.2e+07,-1.8e+08,5.8e+07,6.75e+08,-7.1e+08,-6.58e+08,-1e+06,3e+06,2.04e+08,-5.07e+08,9.1e+07,0,9.1e+07,-1.104e+09,1.195e+09,-3.03e+08,-5.01e+08,-3.33e+08,-2.7e+07,-3.6e+08,-2.2e+07,-3.82e+08,9.22e+08,2.1049e+10,1.81e+08,0.17632,0.16053,-0.05421,-0.02665,-0.0051,-0.878640000000001,1.01124,4.22849,0.52087,-0.27951,-0.27651,5.15604,5.87517,0.24559,-0.00504,0.00518,20.3243,30.71967
"17","2014_Q2",10.7714285714286,"Up",4.262e+09,-3.468e+09,7.94e+08,-5.1e+07,-5.1e+07,-5.1e+07,7.43e+08,-3.25e+08,-3.1e+08,-3.73e+08,6.3e+07,-1.9e+07,4e+06,4.18e+08,-3e+08,-1.66e+08,203297731.452836,1.18e+08,-5.4e+07,2.5e+07,8.9e+07,6.6e+07,-1.24e+08,-5.8e+07,-5.8e+07,2.034e+09,1.413e+09,6.21e+08,2.586e+09,2.586e+09,6.87e+08,2.682e+09,1.99e+08,4.61e+08,1.841e+09,7.989e+09,2.5353e+10,3.5296e+10,-9.943e+09,7.631e+09,1.468e+09,2.93e+08,6.8e+08,1.03e+09,3.031e+09,3.2984e+10,4.0973e+10,4.953e+09,2.632e+09,3.95e+08,1.926e+09,2.075e+09,2.075e+09,8.12e+08,8.12e+08,7.84e+09,1.941e+10,1.941e+10,6.004e+09,1.145e+09,3.191e+09,2.5414e+10,3.3254e+10,8.432e+09,8e+06,8.424e+09,-1.064e+09,-2.08e+08,-2.967e+09,4.193e+09,3.526e+09,7.719e+09,4.0973e+10,6.6e+07,3.06e+08,4.51e+08,5.6e+07,3.95e+08,-6.02e+08,-2.19e+08,-1.2e+07,4.15e+08,-7.86e+08,2.21e+08,-3.99e+08,-3.99e+08,2.9e+07,2.9e+07,4.4e+07,-3.26e+08,1.54e+08,6.5e+07,8.9e+07,-1.215e+09,1.304e+09,-2.5e+08,-1.32e+08,-2.37e+08,3e+07,-2.07e+08,-2.2e+07,-2.29e+08,1.049e+09,2.1485e+10,1.02e+08,0.1863,0.17433,-0.01361,-0.00751,-0.00142,-1.75862,1.01901,4.30807,0.52437,-0.08011,-0.08011,5.88674,5.79144,0.14088,-0.000620000000000001,0.0029,18.54242,26.179
"18","2014_Q3",11.1878125,"Up",4.311e+09,-3.492e+09,8.19e+08,-5.2e+07,-5.2e+07,-5.2e+07,7.67e+08,-2.27e+08,-2.5e+08,-3.23e+08,7.3e+07,7000000.00000001,1.6e+07,5.4e+08,-1.22e+08,-6.3e+07,424100659.531602,4.18e+08,-1.57e+08,2e+07,2.81e+08,2.75e+08,-1.42e+08,1.33e+08,1.33e+08,1.939e+09,1.515e+09,4.24e+08,2.689e+09,2.689e+09,7.1e+08,2.069e+09,1.77e+08,0,1.702e+09,7.407e+09,2.5628e+10,3.5723e+10,-1.0095e+10,6.398e+09,1.468e+09,2.99e+08,6.56e+08,1e+09,2.975e+09,3.2026e+10,3.9433e+10,4.572e+09,2.13e+09,2.72e+08,2.17e+09,2.095e+09,2.095e+09,0,0,6.667e+09,1.9628e+10,1.9628e+10,5.552e+09,1.114e+09,3.106e+09,2.518e+10,3.1847e+10,8.404e+09,8e+06,8.396e+09,-1.095e+09,-7.5e+07,-3.023e+09,4.211e+09,3.375e+09,7.586e+09,3.9433e+10,2.75e+08,3.19e+08,7.9e+07,-4e+06,8.3e+07,-4.41e+08,-9.3e+07,-2.7e+07,-6.09e+08,2.88e+08,2.32e+08,-4.93e+08,-5.09e+08,1.33e+08,8.61e+08,2.95e+08,-6.5e+07,1.99e+08,6.5e+07,1.34e+08,-1.797e+09,1.931e+09,-2.49e+08,-1.18e+08,4.9e+07,4.5e+07,9.4e+07,8e+06,1.02e+08,1.086e+09,2.1723e+10,3.09e+08,0.18998,0.17792,0.03085,0.01753,0.00337,2.32331,1.11099,4.19813,0.55088,0.18345,0.18269,5.94621,5.80828,0.42621,0.00485,0.00886,18.21731,25.794
"19","2014_Q4",10.310625,"Down",4.441e+09,-3.674e+09,7.67e+08,-4.5e+07,-4.5e+07,-4.5e+07,7.22e+08,-4.01e+08,-3.21e+08,-3.9e+08,6.9e+07,-7.9e+07,-1e+06,3.21e+08,2.85e+08,-1.5e+07,3.63e+08,6.06e+08,-9.2e+07,-6e+06,5.08e+08,5.08e+08,-2e+07,4.88e+08,4.88e+08,2.356e+09,1.67e+09,6.86e+08,2.755e+09,2.755e+09,7.41e+08,2.035e+09,2.08e+08,0,1.679e+09,7.887e+09,2.5067e+10,3.5048e+10,-9.981e+09,6.029e+09,1.468e+09,2.83e+08,6.93e+08,7.04e+08,2.881e+09,3.1096e+10,3.8983e+10,4.726e+09,2.203e+09,4.02e+08,2.121e+09,2.347e+09,2.347e+09,5.96046447753906e-08,0,7.073e+09,1.8719e+10,1.8719e+10,5.547e+09,1.165e+09,3.158e+09,2.4266e+10,3.1339e+10,8.363e+09,8e+06,8.355e+09,-1.203e+09,4.13e+08,-3.176e+09,4.397e+09,3.247e+09,7.644e+09,3.8983e+10,5.08e+08,3.12e+08,-1.46e+08,3.1e+07,-1.77e+08,8.9e+07,-1.82e+08,-3.6e+07,1.8e+08,1.27e+08,7.63e+08,-4.68e+08,-4.81e+08,7.78e+08,7.78e+08,-2.83e+08,2.7e+07,-2.19e+08,-1.16e+08,-1.03e+08,-6.46e+08,5.43e+08,-2.31e+08,-5.94e+08,1.96e+08,0,1.96e+08,-4.1e+07,1.55e+08,1.034e+09,2.1066e+10,7.47e+08,0.17271,0.16258,0.10989,0.06384,0.01252,1.53074,1.11509,4.09982,0.54039,0.67684,0.65946,6.1595,6.09847,1.03606,0.0153,0.02181,18.09478,25.91413
"20","2015_Q1",9.52196721311475,"Down",3.11e+09,-2.51e+09,6e+08,-3.9e+07,-3.9e+07,-3.9e+07,5.61e+08,-1.11e+08,-2.5e+08,-3.65e+08,1.15e+08,1.02e+08,3.7e+07,4.5e+08,-1.49e+08,-1.1e+07,-5e+06,3.01e+08,-6.8e+07,-2e+07,2.13e+08,2.98e+08,-9.2e+07,2.06e+08,2.06e+08,2.248e+09,1.539e+09,7.09e+08,2.709e+09,2.709e+09,7.02e+08,2.167e+09,1.75e+08,0,1.717e+09,7.826e+09,2.5151e+10,3.5113e+10,-9.962e+09,5.989e+09,1.458e+09,2.81e+08,6.62e+08,5.37e+08,3.051e+09,3.114e+10,3.8966e+10,4.864e+09,2.278e+09,2.6e+08,2.326e+09,2.133e+09,2.133e+09,0,0,6.997e+09,1.8725e+10,1.8725e+10,5.841e+09,1.277e+09,3.222e+09,2.4566e+10,3.1563e+10,8.417e+09,8e+06,8.409e+09,-1.371e+09,5.12e+08,-3.286e+09,4.272e+09,3.131e+09,7.403e+09,3.8966e+10,2.98e+08,3.08e+08,3.7e+07,-3.6e+07,73000000.0000001,-68000000.0000001,-2.6e+07,2.7e+07,-7.1e+07,2000000.00000003,5.75e+08,-6.56e+08,-6.27e+08,1.39e+08,1.39e+08,2.25e+08,-2.92e+08,-2.6e+07,-1.2e+07,-1.4e+07,-1.94e+09,1.926e+09,-1.88e+08,-4.18e+08,-1.35e+08,-1.6e+07,-1.51e+08,4000000.00000001,-1.47e+08,8.69e+08,2.0858e+10,2.13e+08,0.19293,0.18039,0.06624,0.02783,0.00529,1.03398,1.11848,4.26354,0.53529,0.29014,0.29261,4.38028,6.0169,0.3,0.0071,0.00625,21.41542,33.17291
"21","2015_Q2",10.2779365079365,"Up",3.984e+09,-3.263e+09,7.21e+08,-5.5e+07,-5.5e+07,-5.5e+07,6.66e+08,-3.01e+08,-2.73e+08,-3.63e+08,9e+07,-2.3e+07,-5e+06,3.65e+08,-3e+07,-8e+06,1e+06,3.35e+08,-9.6e+07,1.5e+07,2.54e+08,2.54e+08,-1.12e+08,1.42e+08,1.42e+08,1.919e+09,1.337e+09,5.82e+08,2.807e+09,2.807e+09,7.07e+08,2.209e+09,1.29e+08,2.7e+07,1.88e+09,7.642e+09,2.2848e+10,3.25e+10,-9.652e+09,7.507e+09,1.465e+09,2.61e+08,5.97e+08,5.86e+08,4.446e+09,3.0355e+10,3.7997e+10,4.742e+09,2.051e+09,3.46e+08,2.345e+09,1.831e+09,1.831e+09,9e+06,9e+06,6.582e+09,1.857e+10,1.857e+10,5.487e+09,1.223e+09,3.06e+09,2.4057e+10,3.0639e+10,8.538e+09,8e+06,8.53e+09,-1.39e+09,4.23e+08,-3.549e+09,4.022e+09,3.336e+09,7.358e+09,3.7997e+10,2.54e+08,2.98e+08,9.7e+07,-1.2e+07,1.09e+08,-2.12e+08,-3.37e+08,-3.5e+07,2.73e+08,-1.13e+08,4.37e+08,-6.19e+08,-6.19e+08,-1.7e+07,0,-8.4e+07,-7.2e+08,8e+06,3.9e+07,-3.1e+07,-6.05e+08,5.74e+08,2.1e+08,1.13e+08,-1.7e+08,-5e+06,-1.75e+08,-2.7e+07,-2.02e+08,9.64e+08,2.0401e+10,2.29e+08,0.18097,0.16717,0.03564,0.0193,0.00374,1.61268,1.16105,4.16404,0.53691,0.2017,0.20113,5.65909,5.71307,0.32528,0.00638,0.00689,19.1722,27.75075
"22","2015_Q3",9.31828125,"Down",3.43e+09,-2.675e+09,7.55e+08,-5e+07,-5e+07,-5e+07,7.05e+08,-1.41e+08,-1.62e+08,-2.67e+08,1.05e+08,1.5e+07,5999999.99999999,5.64e+08,-1.56e+08,-3.7e+07,-1e+06,4.08e+08,-1.27e+08,-1.49011611938477e-08,2.81e+08,2.64e+08,-1.95e+08,6.9e+07,6.9e+07,1.461e+09,1.022e+09,4.39e+08,2.877e+09,2.877e+09,7.34e+08,2.443e+09,1.15e+08,8e+06,2.107e+09,7.515e+09,2.344e+10,3.3436e+10,-9.996e+09,7.629e+09,1.473e+09,2.41e+08,5.71e+08,5.62e+08,4.632e+09,3.1069e+10,3.8584e+10,4.555e+09,1.994e+09,2.44e+08,2.317e+09,1.999e+09,1.999e+09,9e+06,9e+06,6.563e+09,1.8764e+10,1.8764e+10,5.635e+09,1.281e+09,3.11e+09,2.4399e+10,3.0962e+10,8.713e+09,8e+06,8.705e+09,-1.662e+09,2.58e+08,-3.445e+09,3.864e+09,3.758e+09,7.622e+09,3.8584e+10,2.64e+08,2.99e+08,5.8e+07,2.9e+07,2.9e+07,-4.68e+08,-1.07e+08,-1.9e+07,-94000000.0000001,-2.48e+08,1.53e+08,-5.49e+08,-5.49e+08,1000000.00000001,2e+06,1.98e+08,-3.5e+08,1.37e+08,-3.7e+07,1.74e+08,-1.767e+09,1.941e+09,8.2e+07,-1.24e+08,-3.21e+08,1.7e+07,-3.04e+08,8000000.00000001,-2.96e+08,1.004e+09,2.0763e+10,1.14e+08,0.22012,0.20554,0.02012,0.00905,0.00179,1.65217,1.14506,4.06219,0.53812,0.09957,0.09928,4.94949,5.57576,0.1645,0.00412,0.00335,19.2251,27.37872
"23","2015_Q4",7.8028125,"Down",3.522e+09,-2.857e+09,6.65e+08,-4.5e+07,-4.5e+07,-4.5e+07,6.2e+08,-2.33e+08,-2.39e+08,-3.65e+08,1.26e+08,1.2e+07,-6e+06,3.87e+08,-2.27e+08,-2.31e+08,2.4e+07,1.6e+08,-4.3e+07,8.1e+07,1.98e+08,2.03e+08,-2.3e+07,1.8e+08,1.8e+08,1.89e+09,1.437e+09,4.53e+08,2.477e+09,2.477e+09,6.7e+08,2.183e+09,1.21e+08,5.2e+07,1.855e+09,7.22e+09,2.2463e+10,3.1727e+10,-9.264e+09,7.317e+09,1.473e+09,2.51e+08,5.03e+08,6.01e+08,4.489e+09,2.978e+10,3.7e+10,4.204e+09,1.729e+09,3.41e+08,2.134e+09,2.3e+09,2.3e+09,3e+07,3e+07,6.534e+09,1.8398e+10,1.8398e+10,5.069e+09,1.185e+09,2.906e+09,2.3467e+10,3.0001e+10,8.718e+09,8e+06,8.71e+09,-1.763e+09,3.7e+08,-3.758e+09,3.567e+09,3.432e+09,6.999e+09,3.7e+10,2.03e+08,2.83e+08,2.36e+08,-2.5e+07,2.61e+08,1.93e+08,1.3e+08,4.3e+07,5.9e+07,-3.9e+07,9.15e+08,-5.19e+08,-5.19e+08,9.5e+07,9.4e+07,-1.45e+08,-5.69e+08,3.61e+08,3.1e+07,3.3e+08,-1.011e+09,1.341e+09,-9.5e+07,9.7e+07,4.43e+08,-5e+06,4.38e+08,-2.1e+07,4.17e+08,9.03e+08,2.0698e+10,6.2e+08,0.18881,0.17604,0.05111,0.02572,0.00486,3.44444,1.10499,4.28647,0.55941,0.2651,0.26393,5.18704,5.25331,0.91311,0.00757,0.01892,20.82835,30.33548
"24","2016_Q1",7.84196721311475,"Up",3.24e+08,1.98e+08,5.22e+08,-4.6e+07,-4.6e+07,-4.6e+07,4.76e+08,-4.8e+07,-2.15e+08,-1.5e+08,-6.5e+07,1.02e+08,6.5e+07,4.28e+08,-3.42e+08,-3.26e+08,5e+06,8.6e+07,-1.46e+08,8999999.99999999,-5.1e+07,4.1e+07,-1.26e+08,-84999999.9999999,-84999999.9999999,1.726e+09,1.257e+09,4.69e+08,2.302e+09,2.302e+09,6.71e+08,2.143e+09,1.06e+08,4.24e+08,1.613e+09,6.842e+09,2.2022e+10,3.0961e+10,-8.939e+09,7.606e+09,1.157e+09,3.4e+08,4.1e+08,6.1e+08,4.207e+09,2.9628e+10,3.647e+10,4.093e+09,1.571e+09,2.36e+08,2.286e+09,2.172e+09,2.172e+09,6.61e+08,6.61e+08,6.926e+09,1.7909e+10,1.7909e+10,4.926e+09,1.09e+09,2.794e+09,2.2835e+10,2.9761e+10,8.726e+09,8e+06,8.718e+09,-1.837e+09,1.43e+08,-3.883e+09,3.149e+09,3.56e+09,6.709e+09,3.647e+10,4.1e+07,2.64e+08,2.74e+08,-4.2e+07,3.16e+08,5e+07,-6.4e+07,-1.5e+07,-2.07e+08,3.36e+08,6.29e+08,-6.21e+08,-6.21e+08,3.9e+07,4.2e+07,-1.45e+08,-7.27e+08,1.12e+08,-1.1e+07,1.23e+08,-8.44e+08,9.67e+08,-2.9e+07,-58000000.0000001,-1.56e+08,1.8e+07,-1.38e+08,-1.2e+07,-1.5e+08,7.4e+08,2.0081e+10,3.15e+08,1.61111,1.46914,-0.26235,-0.01267,-0.00233,-3.70588,0.98787,4.43598,0.55062,-0.12649,-0.1263,0.48214,4.68601,0.46875,-0.00057,0.00993,24.80405,38.56092
