"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",28.3670967741935,"Up",210413000,-145160000,-142232000,-1995000,65253000,-9059000,-9741000,-10166000,425000,56194000,55668000,-11291000,44377000,44377000,44377000,44377000,118732000,115064000,66196000,66196000,29749000,29749000,214677000,52822000,12530000,203042000,14554000,66006000,22962000,99520000,268394000,483071000,99470000,44245000,55225000,10065000,97639000,76949000,207174000,808911000,36383000,19992000,16391000,845294000,1052468000,108520000,-930487000,258474000,-5904000,-569397000,-569397000,483071000,44377000,1995000,2569000,33217000,82158000,-6289000,-6289000,-6289000,-222000,-1348000,-7859000,-611355000,4196000,4250000,-54000,-444995000,-370696000,-370696000,370000,-370326000,67248000,818976000,105467000,0.31012,0.2109,-0.07794,0.09186,2.37661,1.03622,-1.84839,1.69535,0.77222,0.76973,3.66146,-9.90824,1.83526,10.63837,2.29307,0.36881,13.77639,10.41286,10.73122
"12","2013_Q1",33.305,"Up",179525000,-133953000,-134860000,-1702000,45572000,-9906000,-9982000,-10366000,384000,35666000,35666000,-10624000,25042000,25377000,25377000,25377000,137663000,134177000,52270000,52270000,43537000,36669000,233470000,51651000,12755000,212896000,13473000,65813000,15418000,118192000,277302000,510772000,94266000,38714000,55552000,8195000,73676000,71154000,176137000,847150000,36389000,20399000,15990000,883539000,1059676000,110828000,-927776000,272260000,-4216000,-548904000,-548904000,510772000,25377000,2237000,7847000,-3762000,31699000,-2918000,-2918000,-2918000,-506000,-26968000,-30392000,-21341000,2036000,2395000,-359000,17810000,19116999.9999999,19116999.9999999,-3999.99999999994,19113000,47809000,855345000,51753000,0.25385,0.14136,-0.0462299999999996,0.04968,2.03937,1.3255,-1.93053,1.67461,0.44159,0.44017,3.12397,-9.55164,0.90057,0.371359999999999,0.13627,0.15096,0.840960000000001,15.01144,15.74831
"13","2013_Q2",36.8909375,"Up",135916000,-105397000,-103356000,-2041000,30519000,-9557000,-10126000,-10770000,644000,20962000,20962000,-5406000,15556000,15523000,15523000,15523000,140603000,140225000,54202000,54202000,44968000,40832000,239773000,71289000,13933000,220978000,12550000,65813000,14969000,127646000,306200000,545973000,96113000,59429000,36684000,8201000,78677000,76316000,182991000,863114000,39197000,19940000,19257000,902311000,1085302000,109580000,-921421000,276745000,-4233000,-539329000,-539329000,545973000,15523000,2175000,4202000,-21755000,145000,-13645000,-13645000,-13645000,-1242000,2800000,-12087000,-503000,1733000,5367000,-3634000,18136000,6194000,6194000,-146000,6048000,32694000,871315000,2700000,0.22454,0.11421,-0.02878,0.02843,0.17394,1.3103,-2.01232,1.59589,0.27012,0.26925,2.36511,-9.38502,0.04698,0.00875,0.04318,0.00727,0.0324,22.35003,23.94286
"14","2013_Q3",37.29015625,"Up",203185000,-141826000,-139438000,-2388000,61359000,-10235000,-10148000,-10807000,659000,51124000,51124000,-15280000,35844000,36027000,36027000,36027000,144167000,143790000,70951000,70951000,40586000,35522000,255704000,69648000,14114000,223246000,11573000,65813000,11187000,134673000,307008000,562712000,102291000,54572000,47719000,8205000,70150000,67757000,180646000,858273000,43814000,20114000,23700000,902087000,1082733000,112165000,-920355000,294266000,-6097000,-520021000,-520021000,562712000,36027000,2520000,12936000,-21641000,29842000,-8390000,-8390000,-8390000,-338000,-820000,-9548000,-10758000,589000,606000,-17000,-14824000,5470000.00000001,5470000.00000001,-1905000,3564999.99999999,63879000,866478000,49128000,0.30199,0.17731,-0.06928,0.06402,1.36364,1.4155,-2.08209,1.53982,0.62692,0.62489,3.53568,-9.04904,0.85489,0.1872,0.11988,0.12588,0.29861,11.30749,11.77188
"15","2013_Q4",41.1834375,"Up",216718000,-153490000,-151218000,-2272000,63228000,-8957000,-10081000,-10757000,676000,54271000,54271000,-15698000,38573000,38716000,38716000,38716000,161524000,161138000,62605000,62605000,34138000,30002000,258267000,65540000,14950000,216952000,10875000,65813000,19496000,120768000,297442000,555709000,106139000,40758000,65381000,9132000,63840000,61401000,179111000,815957000,45365000,21219000,24146000,861322000,1040433000,115157000,-919516000,325005000,-5370000,-484724000,-484724000,555709000,38716000,2399000,-4764000,40151000,76502000,-5887000,-5887000,-5887000,-265000,-2043000,-8195000,-10765000,671000,704000,-33000,-51427000,16880000,16880000,468000,17348000,65627000,825089000,115589000,0.29175,0.17865,-0.07987,0.06967,2.98556,1.44194,-2.14644,1.48475,0.66838,0.66368,3.74136,-8.36813,1.99549,0.18584,0.12828,0.29966,0.27805,10.11116,10.4948
"16","2014_Q1",43.7439344262295,"Up",168831000,-127689000,-125334000,-2355000,41142000,-8827000,-9635000,-10203000,568000,32315000,32315000,-8938000,23377000,23443000,23443000,23443000,168195000,167795000,82385000,82385000,56394000,29710000,306974000,67852000,47822000,133774000,9953000,65813000,27183660.7574637,58008000,249448000,556422000,100570000,41663000,58907000,10088000,63680000,61188000,174338000,783471000,51484000,22527000,23808000,834955000,1009293000,118354000,-918031000,353023000,-6217000,-452871000,-452871000,556422000,23443000,2488000,40710000,-19217000,47424000,-5232000,-5475000,-5475000,-831000,6471000,408000,-10773000,1906000,2187000,-281000,-40169000,7663000,7663000,-1006000,6657000,43630000,793559000,28119000,0.24369,0.13885,-0.05177,0.04213,1.19946,1.7608,-2.22865,1.42618,0.40471,0.40187,2.91465,-7.81823,0.48544,0.18598,0.08725,0.0717,0.45954,14.33335,15.20014
"17","2014_Q2",41.0412698412698,"Down",159736000,-118564000,-116286000,-2278000,41172000,-9644000,-9668000,-10171000,503000,31528000,31528000,-10059000,21469000,23110000,23110000,23110000,175052000,174878000,59241000,59241000,43421000,36201000,277714000,56664000,51075000,169447000,9204000,65813000,20321000,74109000,277186000,554900000,87503000,44818000,42685000,11026000,69728000,69155000,168257000,795497000,45779000,22387000,23392000,841276000,1009533000,118604000,-917226000,349458000,-5469000,-454633000,-454633000,554900000,23110000,2278000,4678000,-24802000,5264000,5688000,-3015000,-3015000,-890000,-3771000,1027000,-10784000,-2983000,1547000,-4530000,205000,6496000,6496000,587000,7083000,43450000,806523000,34395000,0.25775,0.14468,-0.05083,0.04165,1.48832,1.65053,-2.22054,1.45346,0.39896,0.39616,2.75763,-7.84865,0.59379,0.18617,0.08523,0.08649,0.46664,14.53328,15.33739
"18","2014_Q3",46.18421875,"Up",197664000,-137511000,-135179000,-2332000,60153000,-9919000,-10363000,-10710000,347000,50234000,50234000,-14955000,35279000,35400000,35400000,35400000,211718000,211542000,119763000,119763000,53522000,23789000,385003000,58238000,51762000,133439000,8389000,65813000,1121000,58116000,243439000,628442000,120749000,50892000,69857000,11970000,67944000,67365000,200663000,777536000,62753000,23260000,39493000,840289000,1040952000,119560000,-916893000,389579000,-4756000,-412510000,-412510000,628442000,35400000,2332000,-9376000.00000001,32212000,60568000,-785999.999999998,-4299000,-4299000,-330000,4690000,3574000,-11173000,-14000,-2.3283064365387e-10,-14000.0000000009,-27926000,36216000,36216000,448000,36664000,62485000,789506000,108866000,0.30432,0.17909,-0.08582,0.05633,3.07531,1.91865,-2.52346,1.25629,0.61114,0.60684,3.41241,-7.12145,1.87943,0.19289,0.10591,0.24756,0.31562,9.24683,9.60531
"19","2014_Q4",49.32953125,"Up",215168000,-148182000,-145889000,-2293000,66986000,-11028000,-10140000,-10495000,355000,55958000,55958000,-16542000,39416000,39365000,39365000,39365000,244603000,244392000,109748000,109748000,51075000,24817000,405426000,58381000,51890000,148490000,7516000,65813000,14498000,60663000,258761000,664187000,121031000,64110000,56921000,11967000,66459000,65839000,199457000,774756000,86989000,23118000,63871000,861745000,1061202000,123833000,-933180000,418260000,-5928000,-397015000,-397015000,664187000,39365000,2293000,56144000,-25256000,72546000,-1176000,-4572000,-4572000,-3e+05,-8415000,-9891000,-10810000,-15776000,3437000,-19213000,-28406000,34249000,34249000,-1399000,32850000,69279000,786723000,59389000,0.31132,0.18295,-0.09915,0.05927,1.50868,2.03265,-2.67295,1.18449,0.68188,0.67572,3.72714,-6.8771,1.02874,0.18725,0.10526,0.12458,0.27461,7.82517,8.09303
"20","2015_Q1",56.0537704918033,"Up",185402000,-139145000,-136683000,-2462000,46257000,-10219000,-9554000,-10110000,556000,36038000,36038000,-10729000,25309000,25285000,25285000,25285000,214879000,214879000,95642000,91681000,14908000,13450000,325429000,77309000,57980000,177199000,8912000,65813000,44406000,7463000,312488000,637917000,121367000,57124000,64243000,12349000,66382000,66382000,200098000,772729000,93891000,23987000,69904000,866620000,1066718000,128234000,-982463000,432399000,-6971000,-428801000,-428801000,637917000,25285000,2462000,-59299000,80786000,49234000,-9696000,-9696000,-9060000,-1274000,-1386000,-12356000,-10762000,-49101000,5114000,-54215000,-65134000,-28256000,-28256000,-1257000,-29513000,48719000,785078000,130538000,0.2495,0.13638,-0.05897,0.03964,5.16267,1.62635,-2.48768,1.23069,0.43799,0.43403,3.21154,-7.4277,2.26118,0.18642,0.08007,0.28998,0.42563,11.70383,12.32676
"21","2015_Q2",54.1320634920635,"Down",175245000,-133841000,-131151000,-2690000,41404000,-10370000,-9833000,-10179000,346000,31034000,31034000,-9440000,21594000,21594000,21594000,21594000,200721000,200544000,102013000,102013000,54538000,28864000,357272000,80057000,66697000,157096000,8001000,65813000,18921000,64361000,303850000,661122000,95441000,54631000,40810000,12362000,74085000,73908000,181888000,799628000,93099000,24259000,68840000,892727000,1074615000,132287000,-979828000,442251000,-8203000,-413493000,-413493000,661122000,21594000,2690000,9144000,-49263000,-15835000,-5212000,-6804000,-6804000,-1089000,-968000,-7269000,-11710000,-608000,5619000,-6227000,9773000,-13331000,-13331000,-1004000,-14335000,44094000,811990000,-941000,0.23626,0.12322,-0.05222,0.03266,-0.04358,1.96424,-2.59887,1.2282,0.37882,0.37499,3.07431,-7.25388,-0.01651,0.20543,0.06775,-0.00191,0.54228,13.86286,14.76353
"22","2015_Q3",47.47796875,"Down",232156000,-169239000,-166244000,-2995000,62917000,-10038000,-10780000,-11057000,277000,52879000,52879000,-17066000,35813000,35813000,35813000,35813000,230824000,230650000,118989000,118989000,47764000,21030000,397577000,82375000,69502000,153139000,7268000,65813000,19729000,60329000,305016000,702593000,129986000,72207000,57779000,1124000,70576000,70402000,201686000,800035000,86339000,24237000,62102000,886374000,1088060000,134720000,-979211000,466836000,-7812000,-385467000,-385467000,702593000,35813000,2995000,6220000,13350000,58378000,-3059000,-7750000,-7750000,-647000,1685000,-2021000,-11230000,60000,77000,-17000,-26430000,29927000,29927000,179000,30106000,65912000,801159000,93269000,0.27101,0.15426,-0.09291,0.05097,2.60433,1.97127,-2.82271,1.14029,0.62596,0.62089,4.05775,-6.7374,1.63021,0.19628,0.09371,0.18578,0.31357,8.65298,9.06488
"23","2015_Q4",47.5884375,"Up",241526000,-167723000,-164615000,-3108000,73803000,-11535000,-10462000,-10821000,359000,62268000,62268000,-20849000,41419000,41419000,41419000,41419000,199435000,199261000,114623000,114623000,45475000,19015000,359533000,86786000,90858000,175585000,12181000,79495000,19899000,64010000,353229000,712762000,120799000,59922000,60877000,1706000,68613000,68439000,191118000,815858000,106429000,22145000,82490000,922287000,1113405000,147924000,-1037256000,497237000,-8548000,-400643000,-400643000,712762000,41419000,3108000,21098000,-4510000,61115000,-7192000,-7256000,-7256000,-1241000,-23339000,-53808000,-11233000,-49521000,685000,-50206000,-37740000,-30433000,-30433000,-956000,-31389000,76911000,817564000,86058000,0.30557,0.17149,-0.10338,0.05811,2.07774,1.88121,-2.77905,1.14704,0.72868,0.72375,4.24915,-7.04849,1.51401,0.19762,0.10061,0.16444,0.2712,8.03694,8.37539
"24","2016_Q1",44.8865573770492,"Down",210951000,-163756000,-161007000,-2749000,47195000,-9391000,-10178000,-10776000,598000,37804000,37804000,-8601000,29203000,29203000,29203000,29203000,193441000,193441000,94459000,89352000,23053000,17567000,310953000,88158000,100246000,217653000,11948000,79327000,42434000,16907000,406057000,717010000,135238000,64431000,70807000,1191000,71587000,71587000,208016000,812945000,91948000,22859000,68583000,904893000,1112909000,150846000,-1052864000,514897000,-8778000,-395899000,-395899000,717010000,29203000,2749000,-6277000,35746000,61421000,-6688000,-6688000,-5955000,-243000,-29348000,-36712000,-11041000,-15748000,675000,-16423000,-30261000,-5552000.00000001,-5552000.00000001,-268000,-5820000,49944000,814136000,87603000,0.22372,0.13843,-0.07376,0.04073,2.99979,1.49485,-2.81109,1.13546,0.51964,0.51597,3.75364,-7.04459,1.5588,0.19646,0.07888,0.17171,0.37808,12.42782,13.15171
"25","2016_Q2",45.48125,"Up",207118000,-164245000,-161480000,-2765000,42873000,-12495000,-10253000,-11092000,839000,30378000,30378000,-9215000,21163000,21163000,21163000,21163000,194072000,194072000,110972000,102786000,33072000,25938000,338116000,88345000,110279000,250523000,12025000,79982000,36536000,55295000,449147000,787263000,107235000,60619000,46616000,1016000,112076000,112076000,220327000,892447000,60354000,22415000,37160000,952801000,1173128000,151078000,-1052762000,522854000,-7035000,-385865000,-385865000,787263000,21163000,2765000,-26450000,-18848000,-21370000,-3768000,-5468000,-5306000,-896000,-11215000,-41268000,-11612000,-4720000,4137000,-8857000,62617000,-21000,-21000,652000,631000,45638000,893463000,32237000,0.207,0.10218,-0.05485,0.02688,1.52327,1.53461,-3.04026,1.1349,0.37774,0.37585,3.69689,-6.88737,0.5754,0.20726,0.05771,0.05676,0.54869,15.32475,16.31309
"26","2016_Q3",45.2396875,"Down",241751000,-176809000,-173853000,-2956000,64942000,-9332000,-10397000,-11224000,827000,55610000,55610000,-16788000,38822000,38822000,38822000,38822000,207888000,207888000,134924000,126689000,35231000,34731000,378043000,86784000,108711000,269852000,11676000,79629000,38631000,61115000,465347000,843390000,144701000,74925000,69776000,833000,113763000,113763000,259297000,901352000,56569000,20873000,34975000,957921000,1217218000,153547000,-1071676000,551749000,-7448000,-373828000,-373828000,843390000,38822000,2956000,-105000.000000004,7558000.00000001,49231000,-5766000,-5766000,-5606000,-244000,-6597000,-12607000,-11581000,-19324000,96999.9999999995,-19421000,-22527000,14097000,14097000,-281000,13816000,67898000,902185000,86478000,0.26863,0.16059,-0.10385,0.04603,2.22755,1.45795,-3.25609,1.06971,0.6925,0.68849,4.31228,-6.66824,1.54257,0.20658,0.08617,0.14784,0.29831,10.22559,10.69103
"27","2016_Q4",47.46,"Up",267577000,-189361000,-186375000,-2986000,78216000,-8418000,-10314000,-11150000,836000,69798000,70200000,-22635000,47565000,47565000,47565000,47565000,205953000,205953000,137131000,129422000,28845000,28568000,371929000,86736000,114864000,272747000,11543000,79799000,47002000,50663000,474347000,846276000,136243000,60363000,75880000,660000,121592000,121592000,258495000,866247000,58976000,20890000,37367000,925223000,1183718000,156344000,-1074527000,587837000,-7096000,-337442000,-337442000,846276000,47565000,2986000,10657000,-660000,60548000,-25435000,-6832000,-6672000,-290000,-10453000,-12130000,-11497000,-3112000,2568000,-5680000,-50242000,-1824000,-1824000,-111000,-1935000,81202000,866907000,77742000,0.29231,0.17776,-0.14096,0.05621,1.63444,1.43882,-3.50792,1.02438,0.85509,0.8508,4.81029,-6.06626,1.39758,0.20668,0.10037,0.13212,0.24171,8.13963,8.45037
