"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"23","2016_Q2",11.5040625,"Up",260470000,-184914000,75556000,-58271000,-58271000,17285000,-40000,-40000,17245000,17245000,-6584000,10661000,10661000,10661000,10661000,65998000,65998000,1657000,1657000,303011000,8961000,7550000,379627000,102636000,8695000,8078000,617000,111331000,490958000,89807000,69119000,20688000,89807000,53281000,10159000,43122000,53281000,143088000,62746000,-18558000,303682000,347870000,347870000,490958000,10661000,5853000,-1001000,-11113000,4400000,-4161000,-4161000,-1247000,-1524000,72000,-284000,-3055000,-2816000,-2816000,-2816000,23138000,0,14448000,0.29008,0.06636,0.04093,0.03065,0.02171,1.35522,4.22714,0.41133,0,0.28391,0.28384,6.93662,9.26418,0.38477,0.03321,0.02968,0.03602,0.11697,-2.85236,-3.81822
"24","2016_Q3",12.466875,"Up",231907000,-164677000,67230000,-60570000,-60570000,6660000,-39000,-39000,6621000,6621000,-2517000,4104000,4104000,4104000,4104000,41549000,41549000,3185000,3185000,351220000,10671000,7991000,406625000,103363000,8098000,7045000,1053000,111461000,518086000,136748000,116989000,19759000,136748000,52874000,10022000,42852000,52874000,189622000,63959000,-41953000,306458000,328464000,328464000,518086000,4104000,5920000,602000,-2434000,8192000,-7749000,-7749000,-1286000,-23581000,61000,-25000,-24892000,-24449000,-24449000,-24449000,12580000,1.45519152283669e-11,4914000,0.2899,0.02872,0.0177,0.01249,0.00792,1.19737,2.97354,0.5773,-5.42101086242752e-20,0.11227,0.11224,6.34423,8.98572,0.13443,0.03518,0.01413,0.01289,0.31335,-3.30278,-6.23859
"25","2016_Q4",12.7430158730159,"Up",274524000,-192514000,82010000,-66558000,-66558000,15452000,-42000,-42000,15410000,15410000,-5738000,9672000,9672000,9672000,9672000,33509000,33509000,3540000,3540000,314925000,5630000,5630000,357604000,102932000,9133000,8163000,970000,112065000,469669000,88922000,69986000,18936000,88922000,52723000,10171000,42552000,52723000,141645000,65163000,-51990000,314851000,328024000,328024000,469669000,9672000,5925000,3167000,-9904000,8860000,-5516000,-5516000,-1247000,-10137000,53000,0,-11384000,-8040000,-8040000,-8040000,21377000,0,11695000,0.29874,0.05629,0.03523,0.02949,0.02059,1.20916,4.02155,0.43181,0,0.27463,0.27455,7.79499,9.3141,0.33207,0.03541,0.02868,0.03072,0.12893,-1.56753,-2.16859
"26","2017_Q1",11.9204838709677,"Down",234201000,-169762000,64439000,-65924000,-65924000,-1485000,-42000,-42000,-1527000,-1527000,607000,-920000,-920000,-920000,-920000,62944000,62944000,4424000,4424000,279646000,4737000,4737000,351751000,96216000,10511000,9600000,911000,106727000,458478000,86296000,67808000,18488000,86296000,53300000,10465000,42835000,53300000,139596000,65478000,-59237000,312641000,318882000,318882000,458478000,-920000,6001000,3673000,33583000,42337000,-4406000,-4406000,-1248000,-7139000,37000,-109000,-8496000,29435000,29435000,29435000,4515999.99999999,-2.3283064365387e-10,33086000,0.27514,-0.00634000000000002,-0.00393000000000001,-0.00288999999999999,-0.00201,-35.96304,4.0761,0.43777,0,-0.02643,-0.02642,6.72721,9.15959,0.95036,0.03585,0.000880000000000002,0.0889,-1.35652,-13.938,42.38653
"27","2017_Q2",10.304126984127,"Down",253389000,-181233000,72156000,-58929000,-58929000,13227000,-41000,-41000,13186000,13186000,-4955000,8231000,8231000,8231000,8231000,25261000,25261000,1878000,1878000,309601000,6711000,6711000,343451000,97323000,10581000,9769000,812000,107904000,451355000,92427000,70572000,21855000,92427000,52321000,10597000,41724000,52321000,144748000,61083000,-74332000,319856000,306607000,306607000,451355000,8231000,5835000,-487000,-23292000,-9713000,-7477000,-7477000,-1169000,-19062000,89000,-262000,-20493000,-37683000,-37683000,-37683000,19062000,0,-6752000,0.28476,0.0522,0.03248,0.02685,0.01824,-0.82031,3.71592,0.4721,0,0.24477,0.24471,7.53506,9.11761,-0.20079,0.03476,0.02619,-0.01881,0.14202,-1.3252,-1.90981
"28","2017_Q3",8.70968253968254,"Down",235064000,-166837000,68227000,-61803000,-61803000,6424000,-148000,-148000,6276000,6276000,-2380000,3896000,3896000,3896000,3896000,18531000,18531000,2798000,2798000,357467000,7029000,7029000,385825000,96046000,10941000,10072000,869000,106987000,492812000,114196000,93829000,20367000,114196000,51713000,11141000,40572000,78413000,192609000,61844000,-84114000,322473000,300203000,300203000,492812000,3896000,6126000,1067000,-27876000,-16787000,-5260000,-5260000,-1220000,-10139000,53000,-24000.0000000001,15317000,-6730000,-6730000,-6730000,12550000,26700000,-18206000,0.29025,0.02733,0.01657,0.01298,0.00791,-4.673,3.37862,0.6416,0.05418,0.12105,0.12102,7.30375,9.32771,-0.56568,0.03791,0.01351,-0.04809,0.31314,0.65092,1.27164
"29","2017_Q4",10.9106349206349,"Up",287469000,-201802000,85667000,-67787000,-67787000,17880000,-56000,-56000,17824000,17824000,-7127000,10697000,10697000,10697000,10697000,21050000,21050000,7365000,7365000,302935000,6883000,6883000,338233000,93041000,11432000,10769000,663000,104473000,442706000,81288000,59355000,21933000,81288000,51844000,10974000,40870000,51844000,133132000,62814000,-85138000,331898000,309574000,309574000,442706000,10697000,5983000,458000,18326000,35464000,-3971000,-3971000,-1214000,-401000,54000,-659000,-28974000,2519000,2519000,2519000,23863000,0,45345000,0.298,0.0622,0.03721,0.03455,0.02416,4.23904,4.16092,0.43005,0,0.33522,0.33501,9.00874,9.70147,1.42103,0.03804,0.03296,0.12546,0.11349,-0.88212,-1.17729
"30","2018_Q1",11.3639344262295,"Up",243232000,-173013000,70219000,-70049000,-70049000,170000,-43000,-43000,127000.000000007,127000.000000007,-4018000,-3891000,-3891000,-3891000,-3891000,48254000,48254000,6270000,6270000,260500000,5562000,5562000,320586000,86276000,8718000,8182000,536000,94994000,415580000,56784000,41739000,15045000,56784000,51494000,11372000,40122000,51494000,108278000,65663000,-85099000,326738000,307302000,307302000,415580000,-3891000,5860000,8733000,20682000,31384000,-2945000,-2945000,-1216000,63000,63000,-82000,-1235000,27204000,27204000,27204000,6030000,0,27785000,0.28869,0.000699999999999999,-0.016,-0.01266,-0.00935999999999999,-7.14084,5.64571,0.35235,0,-0.12145,-0.12137,7.59198,9.5918,0.86725,0.03795,-0.00746000000000001,0.07744,-0.31252,-8.00232,-283.84706
"31","2018_Q2",13.2184375,"Up",257445000,-180118000,77327000,-60011000,-60011000,17316000,-38000,-38000,17278000,17278000,-4323000,12955000,12955000,12955000,12955000,35347000,35347000,3199000,3199000,295921000,13175000,13175000,347642000,81644000,8629000,8221000,408000,90273000,437915000,86828000,62593000,24235000,86828000,49577000,11433000,38144000,49577000,136405000,67615000,-105178000,339073000,301510000,301510000,437915000,12955000,5633000,-883000,-9227000,8478000,-963000,-963000,-1169000,-18978000,65000,-275000,-20422000,-12907000,-12907000,-12907000,22949000,0,17082000,0.30036,0.06726,0.05032,0.04297,0.02958,1.31856,4.0038,0.45241,0,0.4172,0.41715,8.29077,9.70984,0.55011,0.03765,0.04023,0.04865,0.09024,-1.54024,-2.04129
"32","2018_Q3",16.8720634920635,"Up",268366000,-184585000,83781000,-68850000,-68850000,14931000,81000,81000,15012000,15012000,-3237000,11775000,11775000,11775000,11775000,38405000,38405000,3918000,3918000,336907000,12094000,12094000,391324000,77254000,8727000,8384000,343000,85981000,477305000,116587000,90928000,25659000,116587000,46954000,12074000,34880000,46954000,163541000,69097000,-104882000,349549000,313764000,313764000,477305000,11775000,5586000,-550000,-11156000,5655000,-1698000,-1415000,-1224000,42000.0000000037,42000,0,-1182000,3058000,3058000,3058000,20517000,4.65661287307739e-10,10900000,0.31219,0.05564,0.04388,0.03753,0.02467,0.92569,3.3565,0.52122,8.67361737988404e-19,0.38612,0.3832,8.80004,10.28869,0.35742,0.04014,0.03604,0.03022,0.10395,-1.87186,-2.57217
