"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",4.07609375,"Up",19124600,-12459023,6665577,-6384250,-6404779,-23305,43834,281327,-123759,-113250,-113250,-10509,157568,157568,-82162,75406,75406,42485,42485,783154,783154,10454102,10454102,19468344,2629217,496996,122320,33334817,12834267,1625708,274159,484148,14459975,47794792,6134991,4586936,1548055,253110,6388101,7627314,3986637,3948980,11613951,18002052,8390120,21997603,30387723,29792740,47794792,75406,535628,347870,-862737,96167,-737432,-737432,937237,-19150,918087,276822,276822,276822,816955,7880424,-701052,0.34853,0.01471,0.00222,0.00143,0.00089,-16.50117,5.21827,0.60424,0.16488,0.00683,0.00683,3.07527,4.88641,-0.11273,0.00102,-0.01683,8.68747,25.22783
"12","2013_Q4",3.705,"Down",19601919,-13472899,6129020,-6230127,-6152223,-13867,-64037,-101107,-118357,-125184,-125184,6827,-219464,-219464,75026,-144438,-144438,-124611,-124611,550225,550225,11406653,11406653,18637239,2557994,476149,157199,33152111,13298768,1465200,322977,103391,14763968,47916079,5718399,4226945,1491454,255839,5974238,7562082,4727050,4695662,12289132,18263370,8526232,21741287,30267519,29652709,47916079,-144438,494272,346854,-923900,-227212,-533361,-533361,687497,-34859,527644,-232929,-232929,-232929,393165,7817921,-1139122,0.31267,-0.00516,-0.00636,-0.0042,-0.0026,9.14142,5.54918,0.61591,0.16316,-0.02156,-0.02156,3.39179,5.23729,-0.19711,9.99999999999959e-06,-0.02699,18.4851,-71.88123
"13","2014_Q1",3.64032786885246,"Down",19244066,-12650310,6593756,-6270618,-6250803,-9337,-10478,323138,-137426,-120569,-120569,-16857,185712,185712,-300390,-114678,-114678,-90531,-90531,750303,750303,9951970,9951970,18234279,2873421,331141,225016,31809973,12827198,777728,340807,275858,13604926,45414899,4565403,3267812,1297591,258628,4824031,7497042,3534110,3450952,11031152,15855183,8679435,21519238,30198673,29559716,45414899,-114678,526421,934520,747810,2094073,-348563,-348563,-1398428,-15299,-1545432,200078,200078,200078,849559,7755670,1549196,0.34264,0.01679,-0.0047,-0.00306,-0.00199,-17.11233,6.59406,0.53638,0.17077,-0.01874,-0.01874,3.9837,6.25141,0.3207,0.00101,0.03792,8.24589,21.67918
"14","2014_Q2",3.6447619047619,"Up",16534930,-11127268,5407662,-6084427,-6045635,-9290,-29502,-676765,-90708,-112929,-112929,22221,-767473,-767473,323801,-443672,-443672,-412136,-412136,726562,726562,8705466,8705466,19212037,3269155,533346,140930,31913220,12656107,740518,352607,237956,13396625,45309845,5520926,4105651,1415275,261447,5782373,7431288,2973859,2883506,10405147,16187520,8816869,20975949,29792818,29122325,45309845,-443672,478576,182214,697997,915115,-226425,-226425,-562935,-17978,-712431,-23740.9999999999,-23740.9999999999,-23740.9999999999,-198189,7692735,-50418.0000000005,0.32704,-0.04093,-0.02493,-0.01415,-0.0091,0.122330000000002,5.51905,0.55585,0.16978,-0.06853,-0.06853,2.74937,4.95385,-0.00838,-0.00705,-0.00127000000000001,-35.14914,-10.29334
"15","2014_Q3",4.12015625,"Up",20190729,-13530814,6659915,-6862692,-6835947,-9893,-16852,-202777,-109806,-111017,-111017,1211,-312583,-312583,156404,-156179,-156179,-143277,-143277,290800,290800,11499812,11499812,18472634,3510538,621777,183697,33773784,12641055,1115831,392189,478167,13756886,47530670,6763876,4957560,1806316,264235,7028111,7363061,4021790,3888989,11384851,18412962,9107238,20693865,29801103,29117708,47530670,-156179,500518,353955,-1207156,-508862,-712076,-712076,934561,-18232,785176,-435762,-435762,-435762,297741,7627296,-1777895,0.32985,-0.01004,-0.0071,-0.00492,-0.00301,12.4088,4.80553,0.63236,0.16047,-0.02373,-0.02373,3.34472,4.93674,-0.29452,-3e-04,-0.04361,24.64053,-36.18012
"16","2014_Q4",4.42171875,"Up",21004130,-13665652,7338478,-6799133,-6756260,-10399,-32474,539345,-106367,-85426,-85426,-20941,432978,432978,-154831,278147,278147,292484,292484,470469,470469,11900893,11900893,17270880,3569087,540540,160614,33211329,13284948,816526,419990,396536,14101474,47312803,6532506,4445561,2086945,267084,6799590,7294977,3827046,3660595,11122023,17921613,9296972,20791950,30088922,29391190,47312803,278147,466287,491688,228171,1464293,-984755,-984755,-65235,-39915,-299869,179669,179669,179669,1005632,7562061,403879,0.34938,0.02568,0.01393,0.00995,0.00618,1.38086,4.88431,0.60976,0.15983,0.04218,0.04218,3.02929,4.33953,0.05825,0.01058,0.0099,7.05188,13.14853
"17","2015_Q1",4.76229508196721,"Up",25247943,-16181636,9066307,-7393815,-7351420,-11030,-31365,1672492,-134834,-104359,-104359,-30475,1537658,1537658,-593047,944611,944611,947156,947156,1089507,1089507,14076349,14076349,17518119,2692631,578843,180135,35376606,13113445,1548563,438696,789358,14662008,50038614,9031670,5438519,3593151,269996,9301666,7227023,3203635,3177597,10430658,19732324,9543686,21462881,31006567,30306290,50038614,944611,577267,-469932,1461826,2513772,-1035428,-1035428,-565042,-16483,-859306,619038,619038,619038,2249759,7497019,3269204,0.35909,0.06624,0.03751,0.03125,0.01893,3.4516,3.80325,0.6511,0.14982,0.11733,0.11733,3.12757,3.84091,0.40497,0.02647,0.07972,2.84809,3.83112
"18","2015_Q2",3.88222222222222,"Down",17358844,-11973453,5385391,-5779098,-5720420,-2515,-56163,-393707,-103914,-101660,-101660,-2254,-497621,-497621,245444,-252177,-252177,-228183,-228183,688620,688620,9053850,9053850,18402610,2747439,641152,189348,30892519,12945317,2191899,462104,1432598,15137216,46029735,5325453,3794483,1530970,272939,5598392,7158329,3591148,3533034,10749477,16347869,9680636,20725501,30406137,29681866,46029735,-252177,491091,376568,127744,743226,-953905,-953905,434249,-113544,-190208,-400887,-400887,-400887,97384,7431268,-974220.999999999,0.31024,-0.02268,-0.01315,-0.00769,-0.00496,4.26947,5.51811,0.55077,0.16144,-0.03635,-0.03635,2.76542,4.84397,-0.1552,-0.00224,-0.02393,69.23774,-17.12606
"19","2015_Q3",3.42234375,"Down",18676107,-13006796,5669311,-6511084,-6474414,-2559,-34111,-841773,-96773,-103374,-103374,6601,-938546,-938546,430673,-507873,-507873,-490144,-490144,668450,668450,10088549,10088549,18677269,3663791,676972,149931,33098059,12824217,2394060,504215,1889845,15218277,48316336,6256195,4962299,1293896,275004,6531199,7088031,5299129,5039422,12387160,18918359,10046378,20093599,30139977,29397977,48316336,-507873,505808,-95482,-296049,-393596,-901668,-901668,1431767,-21458,1275094,-20170,-20170,-20170,-335965,7363035,-1964355,0.30356,-0.04507,-0.02624,-0.01667,-0.01014,4.00771,5.06768,0.64353,0.15239,-0.07948,-0.07948,3.02861,4.88765,-0.31855,-0.00844,-0.0467,-19.92644,-7.95296
"20","2015_Q4",3.071875,"Down",20781340,-15072497,5708843,-6114173,-6084514,-2600,-27059,-405330,-110917,-114248,-114248,3331,-516247,-516247,-46106,-562353,-562353,-572572,-572572,556105,556105,10810394,10810394,18621098,3050858,599129,129399,33038455,13978787,2015678,517404,1285828,15994465,49032920,7324630,5891227,1433403,277969,7602599,7016986,5608306,5546559,12625292,20227891,10163137,19373673,29536810,28805029,49032920,-562353,508660,689894,31691,667892,-959270,-959270,431920,-105436,179033,-112345,-112345,-112345,103330,7294955,-778143,0.27471,-0.0195,-0.02755,-0.01988,-0.01168,1.35903,4.34568,0.70223,0.14878,-0.09219,-0.09219,3.34619,4.75598,-0.1253,-0.01033,-0.01866,65.21678,-16.62559
"21","2016_Q1",2.43377049180328,"Down",16752447,-11720105,5032342,-5773330,-5763206,-3186,-6938,-740988,-121661,-120639,-120639,-1022,-862649,-862649,-2112393,-2975042,-2975042,-2964766,-2964766,1083072,1083072,9189498,9189498,17816080,1058776,564024,134428,29147426,13903919,1977473,523665,1453808,15881392,45028818,5362153,4116927,1245226,280999,5643152,6946008,6551108,6551108,13497116,19140268,10363012,16267595,26630607,25888550,45028818,-2975042,570927,2330358,258583,184826,-429450,-429450,932052,-18799,771591,526967,526967,526967,-170061,7227007,1771465,0.30039,-0.04423,-0.17698,-0.11452,-0.06584,-0.59751,5.1651,0.73933,0.1605,-0.48193,-0.48193,2.72318,4.32892,0.28796,-0.07117,0.04466,-36.12783,-8.29154
"22","2016_Q2",2.45265625,"Up",14047890,-10545459,3502431,-5105541,-5087481,-3282,-14778,-1603110,-140211,-157814,-157814,17603,-1743321,-1743321,-23872,-1767193,-1767193,-1745021,-1745021,538695,538695,7579185,7579185,17603332,933788,530490,42974,26655000,14673631,831054,537343,293711,15504685,42159685,4559561,3463661,1095900,284062,4843623,6874247,6117799,6117799,12992046,17835669,10565671,14522574,25088245,24324016,42159685,-1767193,499185,221789,1062436,16217,-312315,-312315,-68698.0000000001,-38270,-248279,-544377,-544377,-544377,-1103925,7158309,-329932.000000001,0.24932,-0.11412,-0.12422,-0.07174,-0.04139,0.18907,5.50311,0.73325,0.16979,-0.27873,-0.27873,2.24383,4.00727,-0.0527,-0.04265,-0.00877,-5.99643,-4.12923
"23","2016_Q3",2.30296875,"Down",16340153,-11788858,4551295,-5406974,-5351577,-3846,-51551,-855679,-136974,-135704,-135704,-1270,-992653,-992653,9531,-983122,-983122,-983122,-983122,660678,660678,8867183,8867183,16542028,904415,486605,57486,26974304,14251613,968772,570514,398258,15220385,42194689,5400021,4217905,1182116,287937,6187958,6800083,5619475,5619475,12419558,18607516,10811950,12775223,23587173,23587173,42194689,-983122,498722,304092,761928,581620,-243848,-243848,-70289,-145500,-215789,121983,121983,121983,-356957,7088020,151592,0.27853,-0.05237,-0.06017,-0.04168,-0.0233,-0.15419,4.35916,0.78888,0.16798,-0.15465,-0.15465,2.57039,3.71039,0.02385,-0.02709,0.00418,-18.00593,-7.51139
"24","2016_Q4",2.89825396825397,"Up",16915135,-11453444,5461691,-5117953,-5074839,-4194,-38920,343738,-162735,-166154,-166154,3419,181003,181003,7160,188163,188163,188163,188163,1772817,1772817,9046269,9046269,14944113,522285,451017,46230,26285484,13845348,982239,589682,392557,14827587,41113071,4161890,2912600,1249290,291042,4852932,6725928,5621177,5621177,12347105,17200037,10949648,12963386,23913034,23913034,41113071,188163,496809,151482,553397,1389851,-79478,-79478,-171050,-27184,-198234,1112139,1112139,1112139,840547,7016970,1307306,0.32289,0.02032,0.01112,0.00787,0.00458,6.94773,5.41641,0.71927,0.17067,0.02644,0.02644,2.37726,3.36075,0.18373,0.00515,0.03577,6.23898,15.25625
"25","2017_Q1",3.28935483870968,"Up",17312823,-11103104,6209719,-5311633,-5246838,-5581,-59214,898086,-138210,-161138,-161138,22928,759876,759876,1282,761158,761158,761158,761158,1879064,1879064,8916245,8916245,15023966,502608,431780,70828,26321883,13399158,944747,575010,369737,14343905,40665788,3831895,2636420,1195475,294214,4126109,6651780,5122910,5122910,11774690,15900799,11080595,13684394,24764989,24764989,40665788,761158,560261,119240,-272867,1167792,-40642,-40642,-970976,-9777,-1020903,106247,106247,106247,1458347,6945994,1143556,0.35868,0.05187,0.04396,0.03074,0.01872,1.50239,6.37935,0.64207,0.17081,0.12603,0.12603,2.86659,4.10049,0.18935,0.02066,0.03105,3.47443,5.64192
"26","2017_Q2",2.75222222222222,"Down",14606252,-9795853,4810399,-5229728,-5192648,-5829,-31251,-419329,-217038,-147813,-147813,-69225,-636367,-636367,20600,-615767,-615767,-615767,-615767,1245681,1245681,8534088,8534088,16041350,495726,446335,49391,26316845,12898307,901120,566904,334216,13799427,40116272,4267391,3068143,1199248,309505,4576896,6564731,4703376,4703376,11268107,15845003,11218236,13053033,24271269,24271269,40116272,-615767,506342,226834,-186321,-68912,-65840,-65840,-471758,-11279,-498631,-633383,-633383,-633383,87013,6874236,-185748,0.32934,-0.02871,-0.04216,-0.02537,-0.01535,0.30165,5.74993,0.65283,0.17136,-0.09493,-0.09493,2.25171,3.74167,-0.02864,-0.01718,-0.00518,64.68637,-13.42277
"27","2017_Q3",2.38603174603175,"Down",15847473,-10184434,5663039,-5943551,-5898502,-6135,-38914,-280512,49242,-118153,-118153,167395,-231270,-231270,-7812,-239082,-239082,-239082,-239082,797027,797027,9503970,9503970,17539699,590328,557012,33316,28431024,12601783,955161,585881,369280,13556944,41987968,5906129,4529856,1376273,251216,6157345,6545863,5054975,5054975,11600838,17758183,11416793,12812992,24229785,24229785,41987968,-239082,301146,303812,-798232,-432356,-137146,-137146,222843,-101036,120848,-448654,-448654,-448654,20634,6797079,-906932,0.35735,-0.0177,-0.01509,-0.00987,-0.00569,3.79339,4.61742,0.73291,0.16188,-0.03685,-0.03685,2.44246,3.73437,-0.13978,-0.00663,-0.02514,290.78472,-21.38964
"28","2017_Q4",2.4684126984127,"Up",16432243,-11126456,5305787,-5471853,-5426018,-6650,-39185,-166066,-114999,-126658,-126658,11659,-281065,-281065,-14095,-295160,-295160,-295160,-295160,529264,529264,9300973,9300973,18354925,510067,468487,41580,28695229,12601351,792743,612132,180611,13394094,42089323,5662207,4315670,1346537,248212,5910419,6482701,5531574,5531574,12014275,17924694,11647263,12517366,24164629,24164629,42089323,-295160,424972,232655,-791323,-428856,-265082,-265082,433834,-7193,426175,-267763,-267763,-267763,258906,6730913,-783404,0.32289,-0.01011,-0.01796,-0.01221,-0.00701,2.65417,4.85502,0.74177,0.15992,-0.04548,-0.04548,2.53185,3.72325,-0.12071,-0.0081,-0.02151,23.95328,-37.34448
"29","2018_Q1",2.53901639344262,"Up",17206880,-12188178,5018702,-5469807,-5451589,-7090,-11128,-451105,-144402,-130411,-130411,-13991,-595507,-595507,6745,-588762,-588762,-588762,-588762,891169,891169,8940540,8940540,16781449,490220,418122,72098,27103378,12210692,825110,624264,200846,13035802,40139180,3946151,2590252,1355899,250726,4196877,6419607,5833174,5833174,12252781,16449658,11762021,11927501,23689522,23689522,40139180,-588762,443059,148513,240243,243053,-115799,-115799,239420,-3666,234651,361905,361905,361905,-8046,6670333,109653,0.29167,-0.02622,-0.03422,-0.02485,-0.01467,-0.18624,6.45799,0.69439,0.16618,-0.08759,-0.08759,2.55972,3.52409,0.01631,-0.01627,0.00303,-718.26547,-12.81113
"30","2018_Q2",3.076875,"Up",17551040,-12322220,5228820,-5559517,-5557693,-7239,5415,-330697,-118923,-128826,-128826,9903,-449620,-449620,39485,-410135,-410135,-410135,-410135,528949,528949,11309222,11309222,17621540,475451,453328,22123,29935162,11892289,783889,642686,106085,12676178,42611340,6720406,4996246,1724160,253266,6973672,6355868,6024558,6024558,12380426,19354098,11739876,11517366,23257242,23257242,42611340,-410135,408284,143440,-439547,-297958,-67564,-67564,138801,-135499,3302.00000000023,-362220,-362220,-362220,77587.0000000001,6609134,-469009,0.29792,-0.01884,-0.02337,-0.01763,-0.00963,1.14355,4.2926,0.83218,0.1551,-0.06151,-0.06151,2.63229,3.4881,-0.07034,-0.01143,-0.01307,78.36603,-18.38597
"31","2018_Q3",3.90285714285714,"Up",26887689,-17931414,8956275,-7398128,-7400779,-9053,11704,1558147,-151577,-152467,-152467,890,1406570,1406570,-15705,1390865,1390865,1390865,1390865,278381,278381,20682902,20682902,18763575,597423,575506,21917,40322281,11903341,782530,619430,96973,12685871,53008152,12444474,9888494,2555980,255775,14381552,6290086,7128525,7128525,13418611,27800163,12299805,12908184,25207989,25207989,53008152,1390865,450378,570872,-5161250,-2749135,-159840,-159840,2718030,-59576,2658407,-250568,-250568,-250568,2008525,6545861,-3296860,0.3331,0.05795,0.05173,0.05518,0.02624,-2.37037,2.80375,1.10283,0.12349,0.18122,0.18122,3.50322,3.28437,-0.42955,0.03577,-0.08479,3.12044,4.02239
"32","2018_Q4",4.66079365079365,"Up",23116584,-16090042,7026542,-6367006,-6370244,-9286,12524,659536,-203723,-194262,-194262,-9461,455813,455813,-17460,438353,438353,438353,438353,1037128,1037128,14587773,14587773,17313444,560298,501049,59249,33498643,11558542,755257,620492,89792,12313799,45812442,7156050,4059504,3096546,258338,7414388,6224345,5874177,5874177,12098522,19512910,12952995,13346537,26299532,26299532,45812442,438353,482125,625765,2546706,4092949,-317882,-317882,-2978092,-38228,-3016320,758747,758747,758747,1141661,6482683,3387945,0.30396,0.02853,0.01896,0.01667,0.00957000000000001,7.72881,4.51806,0.74195,0.1415,0.05696,0.05696,3.00369,3.41727,0.44022,0.01134,0.08764,4.76984999999996,8.25665
"33","2019_Q1",4.32491803278689,"Down",20273277,-13611714,6661563,-6808175,-6802240,-9190,3255,-146612,-214049,-132862,-132862,-81187,-360661,-360661,10331,-350330,-350330,-350330,-350330,177413,177413,12832890,12832890,17474755,561972,500021,61951,31047030,11204639,846791,635035,162475,12051430,43098460,6766889,3256153,3510736,260954,7027843,6158630,3101150,3101150,9259780,16287623,13816140,12994697,26810837,26810837,43098460,-350330,476810,922798,1111114,2160392,-189109,-189109,-2829488,0,-2830998,-859715,-859715,-859715,330198,6419584,1241872,0.32859,-0.00723,-0.01728,-0.01307,-0.00813,-3.54486,4.41772,0.6075,0.14895,-0.04203,-0.04203,2.43232,3.21668,0.149,-0.00964,0.03418,18.90433,-42.57613
