"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",6.8021875,"Down",7342000,-5697000,1645000,-1452000,-1299000,194000,-10000,-10000,184000,184000,-7000,177000,177000,177000,177000,4665000,4665000,5579000,5579000,10993000,1618000,562000,22855000,6271000,363000,363000,6634000,29489000,2929000,1100000,1829000,192000,3121000,2658000,-845000,-1165000,1813000,4934000,14531000,-1800000,11909000,-85000,24555000,24555000,29489000,177000,153000,-10000,-671000,-351000,-478000,-478000,-5000,-74000,-79000,-908000,-908000,-908000,347000,2850000,-795000,0.22405,0.02642,0.02411,0.00721,0.006,-4.49153,7.32297,0.20094,0.09665,0.08213,0.0821,3.40696,11.39443,-0.36891,0.00666,-0.02993,-5.23055,-9.35567
"12","2013_Q3",7.3921875,"Up",8067000,-5873000,2194000,-1490000,-1335000,704000,-11000,-11000,693000,693000,-189000,504000,504000,504000,504000,4942000,4942000,5825000,5825000,11451000,1209000,527000,23427000,6626000,353000,353000,6979000,30406000,3713000,1406000,1901000,192000,3905000,2652000,-845000,-1165000,1807000,5712000,14531000,-1760000,12008000,-85000,24694000,24694000,30406000,504000,155000,67000,103000,829000,-511000,-511000,-6000,-35000,-41000,277000,277000,277000,859000,2844000,640000,0.27197,0.08727,0.06248,0.02041,0.01658,1.26984,5.99923,0.23131,0.09353,0.21743,0.21734,3.48016,10.65315,0.2761,0.01888,0.02398,-2.44237,-2.98011
"13","2013_Q4",7.5734375,"Up",7727000,-5594000,2133000,-1658000,-1506000,519000,-10000,-10000,509000,509000,-151000,358000,358000,358000,358000,4998000,4998000,5438000,5438000,11933000,1237000,563000,23606000,6588000,351000,351000,6939000,30545000,3601000,1463000,2138000,192000,3793000,2647000,-845000,-1165000,1802000,5595000,14531000,-1862000,12366000,-85000,24950000,24950000,30545000,358000,152000,59000,182000,751000,-92000,-92000,-5000,-192000,-603000,56000,56000,56000,671000,2839000,912000,0.27605,0.06717,0.04633,0.01435,0.01172,2.54749,6.22357,0.22425,0.09294,0.15531,0.15531,3.35228,10.8243,0.39566,0.02836,0.03385,-3.21759,-4.15992
"14","2014_Q1",7.36770491803279,"Down",7174000,-5635000,1539000,-1678000,-1498000,-142000,-10000,-10000,-152000,-152000,88000,-64000,-64000,-64000,-64000,4502000,4502000,4990000,4990000,11929000,1368000,311000,22789000,6860000,354000,354000,7214000,30003000,3125000,1216000,1909000,2641000,5766000,21000,-583000,-1065000,-562000,5204000,14547000,-2024000,12302000,-26000,24799000,24799000,30003000,-64000,180000,150000,91000,357000,-439000,-439000,-178000,-236000,-414000,-496000,-496000,-496000,38000,2662000,-398000,0.21452,-0.01979,-0.00892,-0.00258,-0.00213,6.21875,3.95231,0.20985,0.08872,-0.028,-0.02797,3.13823,10.84821,-0.1741,-0.00238,-0.01481,-48.42105,12.95775
"15","2014_Q2",6.63142857142857,"Down",6990000,-5438000,1552000,-1745000,-1576000,-192000,-9000,-9000,-201000,-201000,56000,-145000,-145000,-145000,-145000,3627000,3627000,5188000,5188000,12504000,1633000,558000,22952000,7113000,359000,359000,7472000,30424000,3763000,1462000,2301000,2640000,6403000,16000,-583000,-1065000,-567000,5836000,14568000,-2111000,12157000,-26000,24588000,24588000,30424000,-145000,169000,80000,-4e+05,-296000,-418000,-418000,-5000,-156000,-161000,-875000,-875000,-875000,-23000,2656000,-897000,0.22203,-0.02747,-0.02074,-0.0059,-0.00477,6.18621,3.58457,0.23735,0.0873,-0.06766,-0.06396,3.26178,11.47364,-0.41857,-0.00544,-0.03364,42.21739,5.05729
"16","2014_Q3",6.5034375,"Down",7995000,-5850000,2145000,-1514000,-1343000,642000,-10000,-10000,632000,632000,-185000,447000,447000,447000,447000,3317000,3317000,5576000,5576000,12855000,1360000,465000,23108000,7404000,361000,361000,7765000,30873000,3712000,1759000,1953000,2640000,6352000,12000,-583000,-1065000,-571000,5781000,14568000,-2054000,12604000,-26000,25092000,25092000,30873000,447000,171000,57000,-489000,186000,-459000,-459000,-4000.00000000006,-33000,-37000,-310000,-310000,-310000,813000,2652000,50000,0.26829,0.0803,0.05591,0.01781,0.01448,0.111860000000001,3.63791,0.23039,0.0859,0.20878,0.19735,3.73424,11.71976,0.02335,0.01646,0.00184000000000001,-0.817959999999999,-1.03583
"17","2014_Q4",5.904375,"Down",8031000,-6125000,1906000,-1412000,-1262000,498000,-12000,-12000,486000,-4933000,1632000,-3301000,-3301000,-3301000,-3301000,3769000,3769000,5739000,5739000,12850000,3144000,529000,25502000,8157000,362000,362000,8519000,34021000,9077000,1496000,7581000,3641000,12718000,4000,-583000,-1065000,-579000,12139000,14579000,-1974000,9303000,-26000,21882000,21882000,34021000,-3301000,150000,-1768000,5279000,360000,-9e+05,-9e+05,992000,0,992000,452000,452000,452000,648000,3645000,3395000,0.23733,0.06201,-0.41103,-0.15085,-0.09703,-1.02848,2.00519,0.55475,0.10714,-1.54397,-1.45933,3.75631,10.2348,1.58793,-0.13234,0.1361,-0.19136,-0.249
"18","2015_Q1",5.7455737704918,"Down",8630000,-7112000,1518000,-1561000,-1399000,-43000,-16000,-16000,-59000,-237000,110000,-127000,-126999.999999999,-126999.999999999,-126999.999999999,4166000,4166000,6022000,6022000,12040000,3262000,450000,25490000,9375000,380000,380000,9755000,35245000,8745000,1345000,7369000,548000,9293000,4072000,36000,-519000,4108000,13401000,14591000,-1909000,9176000,-14000,21844000,21844000,35245000,-126999.999999999,162000,-57000,834000.000000001,812000,-1377000,-1377000,975000,-13000,962000,397000,397000,397000,119000,4620000,-534000.000000001,0.1759,-0.00498,-0.01472,-0.00581000000000004,-0.00360000000000001,4.20472,2.74292,0.61349,0.13108,-0.0590699999999997,-0.0558499999999997,4.01395,10.16,-0.24837,-0.00479000000000002,-0.02015,3.81513,-10.55814
"19","2015_Q2",5.97507936507936,"Up",8171000,-6476000,1695000,-1928000,-1765000,-231000,-21000,-21000,-252000,4198000,-1427000,2771000,2771000,2771000,2771000,3252000,3252000,6465000,6465000,12105000,1947000,550000,23769000,9495000,385000,385000,9880000,33649000,4561000,2042000,2519000,548000,5109000,3913000,36000,-519000,3949000,9058000,14602000,-1944000,11947000,-14000,24591000,24591000,33649000,2771000,163000,1839000,-5133000,-360000,-281000,-281000,-159000,-114000,-273000,-914000,-914000,-914000,-68000,4461000,-4055000,0.20744,-0.02827,0.33913,0.11268,0.08235,-1.46337,4.65238,0.36835,0.13257,1.27168,1.22556,3.74989,11.28545,-1.86095,0.09526,-0.1394,-17.77941,-5.23377
"20","2015_Q3",6.28203125,"Up",9242000,-6926000,2316000,-1489000,-1312000,955000,-14000,-14000,941000,940999.999999999,-320000,621000,620999.999999999,620999.999999999,620999.999999999,3581000,3581000,6226000,6226000,12105000,1789000,615000,23701000,9652000,383000,383000,10035000,33736000,4427000,1677000,2375000,548000,4975000,3798000,36000,-519000,3834000,8809000,14614000,-1866000,12193000,-14000,24927000,24927000,33736000,620999.999999999,177000,81000,-102000,777000,-333000,-333000,-115000,0,-115000,329000,329000,329000,1132000,4346000,1017000,0.2506,0.10333,0.06719,0.02491,0.01841,1.63768,4.76402,0.35339,0.12882,0.28499,0.27466,4.2414,11.43965,0.46673,0.02119,0.0347,0.675799999999992,0.80105
"21","2015_Q4",7.0003125,"Up",9709000,-6893000,2816000,-1671000,-1486000,1146000,-18000,-18000,1128000,1128000,-384000,744000,744000,744000,744000,2985000,2985000,6647000,6647000,12694000,1890000,830000,24216000,10208000,369000,369000,10577000,34793000,4808000,2019000,2503000,548000,5356000,3662000,36000,-519000,3698000,9054000,14603000,-1787000,12937000,-14000,25739000,25739000,34793000,744000,185000,117000,-393000,653000,-738000,-738000,-136000,0,-511000,-596000,-596000,-596000,1331000,4210000,584000,0.29004,0.11803,0.07663,0.02891,0.02138,0.78495,4.52128,0.35176,0.121,0.34144,0.32906,4.45571,11.8123,0.26801,0.03732,0.01948,0.92036,1.06894
"22","2016_Q1",6.88754098360656,"Down",9607000,-7346000,2261000,-1792000,-1599000,478000,-17000,-17000,461000,461000,-5.82076609134674e-11,461000,461000,461000,461000,3268000,3268000,6838000,6838000,12487000,1658000,326000,24251000,9755000,368000,368000,10123000,34374000,3744000,1518000,2226000,548000,4292000,3524000,253000,-392000,3777000,8069000,14615000,-1702000,13395000,-3000,26305000,26305000,34374000,461000,193000,92000,-585000,161000,253000,253000,-138000,7000,-131000,283000,283000,283000,671000,4072000,339000,0.23535,0.04976,0.04799,0.01753,0.01341,0.73536,5.65028,0.30675,0.11846,0.21041,0.20282,4.38476,12.00593,0.15472,0.01505,0.01107,1.19821,1.68201
"23","2016_Q2",7.9146875,"Up",8947000,-6716000,2231000,-1843000,-1636000,388000,-19000,-19000,369000,369000,-111000,258000,258000,258000,258000,2701000,2701000,6866000,6866000,13406000,2221000,999000,25194000,9729000,373000,373000,10102000,35296000,4989000,1963000,2655000,548000,5537000,3387000,253000,-392000,3640000,9177000,14628000,-1788000,13282000,-3000,26119000,26119000,35296000,258000,207000,88000,-640000,-87000,-178000,-178000,-137000,-165000,-302000,-567000,-567000,-567000,595000,3935000,-112000,0.24936,0.04337,0.02884,0.00988,0.00731,-0.43411,4.55012,0.35135,0.11149,0.11616,0.11406,4.02837,11.76002,-0.05043,0.00851,-0.0037,2.07395,3.18041
"24","2016_Q3",9.6859375,"Up",10296000,-7129000,3167000,-1726000,-1521000,1451000,-17000,-17000,1434000,1434000,-430000,1004000,1004000,1004000,1004000,2716000,2716000,7813000,7813000,13539000,1935000,780000,26003000,10050000,373000,373000,10423000,36426000,5112000,2187000,2704000,548000,5660000,3251000,253000,-392000,3504000,9164000,14649000,-1661000,14277000,-3000,27262000,27262000,36426000,1004000,205000,145000,-3e+05,1054000,-523000,-523000,-136000,0,-516000,15000.0000000001,15000.0000000001,15000.0000000001,1656000,3799000,1263000,0.3076,0.14093,0.09751,0.03683,0.02756,1.25797,4.59417,0.33615,0.10429,0.45225,0.43426,4.63784,12.28018,0.56892,0.0442,0.04033,0.65399,0.74638
"25","2016_Q4",9.76492063492064,"Up",9465000,-7043000,2422000,-1856000,-1658000,575000,-18000,-18000,557000,557000,-191000,366000,366000,366000,366000,2867000,2867000,7347000,7347000,13939000,1662000,401000,25815000,9941000,374000,374000,10315000,36130000,4471000,2116000,2355000,548000,5019000,3114000,253000,-392000,3367000,8386000,14669000,-1565000,14643000,-3000,27744000,27744000,36130000,366000,198000,145000,-304000,405000,-85000,-85000,-137000,-32000,-169000,151000,151000,151000,773000,3662000,575000,0.25589,0.06075,0.03867,0.01319,0.01013,1.57104,5.14345,0.30226,0.10136,0.16494,0.15837,4.26543,12.50293,0.25913,0.01156,0.01816,1.02846,1.38261
"26","2017_Q1",9.68,"Down",9879000,-7676000,2203000,-2066000,-1853000,129000,-19000,-19000,110000,110000,15000,125000,125000,125000,125000,3515000,3515000,7439000,7439000,13293000,1060000,387000,25307000,9937000,376000,376000,10313000,35620000,4451000,2080000,2371000,548000,4999000,2976000,-235000,-235000,2741000,7740000,14683000,-1551000,14768000,-20000,27880000,27880000,35620000,125000,213000,117000,614000,1069000,-205000,-205000,-138000,-78000,-216000,648000,648000,648000,342000,3524000,736000,0.223,0.01306,0.01265,0.00448,0.00351,5.888,5.06241,0.27762,0.09893,0.0568200000000001,0.05418,4.49045,12.67273,0.33455,0.00401,0.02361,0.0263199999999999,0.0697699999999994
"27","2017_Q2",9.33269841269841,"Down",9103000,-7042000,2061000,-2042000,-1832000,19000,-23000,-23000,-4000,-4000,30000,26000,26000,26000,26000,3252000,3252000,6907000,6907000,13323000,871000,665000,24353000,9720000,870000,379000,10590000,34943000,4012000,1546000,2466000,548000,4560000,2818000,-235000,-235000,2583000,7143000,14685000,-1659000,14794000,-20000,27800000,27800000,34943000,26000,210000,68000,-246000,58000,-3000,-3000,-158000,-160000,-318000,-263000,-263000,-263000,229000,3366000,-50000,0.22641,0.00209,0.00286,0.00094,0.00074,-1.92308,5.34057,0.25694,0.09633,0.01155,0.01133,4.04398,12.35007,-0.02221,0.00084,-0.00162,0.49782,6
"28","2017_Q3",8.96460317460317,"Down",9616000,-8032000,1584000,-1420000,-1630000,164000,-15000,-15000,149000,149000,-44000,105000,105000,105000,105000,2588000,2588000,7298000,7298000,13070000,584000,378000,23540000,9883000,1245000,754000,11128000,34668000,4092000,1568000,2148000,548000,4640000,2681000,-235000,-235000,2446000,7086000,14689000,-1610000,14523000,-20000,27582000,27582000,34668000,105000,218000,55000,-517000,-139000,-388000,-388000,-137000,0,-137000,-664000,-664000,-664000,382000,3229000,-479000,0.16473,0.01705,0.01092,0.00381,0.00303,-4.5619,5.07328,0.25691,0.09314,0.04665,0.04577,4.27188,12.25322,-0.21279,0.00343,-0.01567,1.67801,3.90854
"29","2017_Q4",9.61253968253968,"Up",11325000,-8233000,3092000,-2086000,-2086000,1006000,-18000,-18000,988000,988000,-317000,671000,671000,671000,671000,2045000,2045000,9100000,9100000,12993000,726000,363000,24864000,11021000,876000,385000,11897000,36761000,5594000,2500000,3094000,548000,6142000,2567000,-235000,-235000,2332000,8474000,14691000,-1578000,15194000,-20000,28287000,28287000,36761000,671000,209000,141000,-201000,820000,-830000,-830000,-114000,-43000,-533000,-543000,-543000,-543000,1215000,3115000,501000,0.27302,0.08883,0.05925,0.02372,0.01825,0.74665,4.04819,0.29957,0.08474,0.29664,0.29289,5.00663,12.50531,0.22149,0.03359,0.01607,0.88066,1.06362
"30","2018_Q1",9.73,"Up",11400000,-7303000,4097000,-3144000,-2259000,963000,-21000,-21000,942000,942000,-427000,515000,515000,515000,515000,4707000,4707000,8424000,8424000,12791000,249000,249000,26171000,11021000,794000,385000,11815000,37986000,4447000,1377000,2656000,681000,5128000,2950000,1081000,1081000,4031000,9159000,14694000,-1544000,15709000,-32000,28827000,28827000,37986000,515000,248000,124000,2026000,2913000,-775000,-775000,530000,8000,524000,2662000,2662000,2662000,1211000,3631000,2889000,0.35939,0.08447,0.04518,0.01787,0.01356,5.60971,5.10355,0.31772,0.09559,0.22352,0.22343,4.94792,12.51172,1.25391,0.01536,0.08614,-0.88852,-1.11734
"31","2018_Q2",9.10765625,"Down",10559000,-8312000,2247000,-1825000,-1613000,422000,-25000,-25000,397000,397000,-66000,331000,331000,331000,331000,3886000,3886000,9130000,9130000,13120000,419000,419000,26555000,11287000,790000,381000,12077000,38632000,4931000,2025000,2428000,7e+05,5631000,2851000,1109000,1109000,3960000,9591000,14694000,-1661000,16040000,-32000,29041000,29041000,38632000,331000,244000,1000.00000000001,-689000,-113000,-511000,-511000,-45000,-117000,-197000,-821000,-821000,-821000,666000,3551000,-468000,0.2128,0.03997,0.03135,0.0114,0.00857,-1.4139,4.71586,0.33026,0.09192,0.1441,0.1441,4.59687,12.64301,-0.20374,0.00982,-0.01389,-0.503,-0.79384
"32","2018_Q3",10.0026984126984,"Up",11946000,-9219000,2727000,-1816000,-2028000,911000,-27000,-27000,884000,884000,-177000,707000,707000,707000,707000,3199000,3199000,9960000,9960000,13587000,578000,429000,27324000,11502000,788000,379000,12290000,39614000,5599000,2546000,2637000,723000,6322000,2771000,1137000,1137000,3908000,10230000,14715000,-1630000,16325000,-26000,29384000,29384000,39614000,707000,258000,85000,-1174000,-124000,-473000,-473000,-302000,-33000,-90000,-687000,-687000,-687000,1169000,3494000,-301000,0.22828,0.07626,0.05918,0.02406,0.01785,-0.42574,4.32205,0.34815,0.0882,0.31187,0.30085,5.26952,12.96162,-0.13277,0.02078,-0.00885,0.25235,0.32382
"33","2018_Q4",10.3974603174603,"Up",12768000,-8828000,3940000,-2074000,-2074000,1866000,-28000,-28000,1838000,1838000,-381000,1457000,1457000,1457000,1457000,2379000,2379000,10780000,10780000,14651000,495000,495000,28305000,11713000,785000,376000,12498000,40803000,5383000,2579000,2670000,723000,6106000,2589000,1166000,1166000,3755000,9861000,14749000,-1566000,17785000,-26000,30942000,30942000,40803000,1457000,259000,147000,-1630000,233000,-468000,-468000,-182000,0,-585000,-820000,-820000,-820000,2125000,3312000,408000,0.30858,0.14615,0.11411,0.04709,0.03571,0.28003,4.6356,0.31869,0.08117,0.63486,0.61296,5.5634,13.48235,0.17778,0.05251,0.01152,0.43906,0.5
"34","2019_Q1",11.3847540983607,"Up",12584000,-9413000,3171000,-2028000,-2028000,1143000,-27000,-27000,1116000,1116000,-113000,1003000,1003000,1003000,1003000,2598000,2598000,10586000,10586000,15150000,810000,496000,29144000,11875000,666000,371000,12541000,41685000,5280000,2494000,2773000,723000,6003000,2410000,1198000,1198000,3608000,9611000,14773000,-1522000,18788000,35000,32074000,32074000,41685000,1003000,264000,179000,-609000,837000,-414000,-414000,-19000,-25000,-204000,219000,219000,219000,1407000,3133000,497000,0.25199,0.09083,0.0797,0.03127,0.02406,0.49551,4.85491,0.29965,0.07516,0.44998,0.42002,5.64558,14.38941,0.22297,0.02755,0.01365,0.38024,0.46807
