"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q1",11.2450819672131,"Up",1428000,-4428000,-2241000,-2187000,-3e+06,35000,0,35000,-2965000,-2965000,5000,-2960000,-2960000,-2960000,-2960000,13023000,9125000,1231000,1231000,229000,564000,560000,15047000,299000,1224000,1224000,1523000,16570000,2496000,2496000,1029000,1029000,3525000,5038000,5038000,5038000,8563000,175265000,-167257000,8007000,8007000,16570000,-2960000,64000,292000,-79000,-2683000,-2000,8878000,0,0,6195000,6195000,6195000,-2936000,0,-2.10084,-2.07283,-0.36968,-0.17864,4.26865,1.06944,0,-1.38337,-1.38337,0.66738,3.7421,-0.22691,4.43563,4.341
"12","2018_Q2",13.6609375,"Up",214000,-4053000,-2621000,-1432000,-3839000,-866000,-904000,38000,-4705000,-10605000,-10000,-10615000,-10615000,-10615000,-10615000,20418000,20418000,52000,52000,309000,466000,417000,21245000,280000,1074000,1074000,1354000,22599000,2457000,2457000,575000,575000,3032000,12900000,12900000,18900000,21932000,176168000,-175501000,667000,666999.999999999,22599000,-10615000,52000,7097000,849000,-2617000,-24000,3876000,4908599.77281897,10034000,11293000,11293000,11293000,-3787000,6e+06,-17.93925,-49.6028,-15.91454,-0.46971,7.00693,32.88156,0.2655,-4.85547,-4.85547,0.0978900000000001,0.3051,-0.5425,3.80724,3.75567
"13","2018_Q3",6.2868253968254,"Down",436000,-5014000,-2949000,-2065000,-4578000,-1545000,-1639000,94000,-6123000,-6658000,-11000,-6669000,-6669000,-6669000,-6669000,28598000,9667000,180000,180000,282000,906000,8e+05,29966000,270000,896000,896000,1166000,31132000,2441000,2441000,482000,482000,2923000,20079000,20079000,20079000,23002000,190300000,-182170000,8130000,8130000,31132000,-6669000,46000,2507000,-185000,-4301000,-35000,-18943000,-1134000.00000001,12493000,-10751000,-10751000,-10751000,-4532000,0,-10.5,-15.29587,-0.8203,-0.21422,10.2518,2.82927,0,-2.01622,-2.01622,0.13181,2.45793,-0.23641,6.31024,6.24683
"14","2018_Q4",4.20650793650794,"Down",370000,-4469000,-3011000,-1458000,-4099000,133000,-1000.00000000023,134000,-3966000,4455000,-5000,4450000,4450000,4450000,4450000,24600000,6669000,193000,193000,354000,1056000,888000,26203000,265000,749000,749000,1014000,27217000,2303000,2303000,334000,334000,2637000,11658000,11658000,11658000,14295000,190644000,-177720000,12922000,12922000,27217000,4450000,25000,-8166000,-327000,-4018000,-20000,1067000,-47000,-47000,-2998000,-2998000,-2998000,-4074000,0,-11.07838,12.02703,0.344370000000001,0.1635,9.93667,1.10625,0,0.93199,0.93199,0.07749,2.70633,0.18104,6.03829,6.00146
"15","2019_Q1",5.22967213114754,"Up",444000,-4798000,-3023000,-1775000,-4354000,117000,-11000,128000,-4237000,-662000,16000,-646000,-646000,-646000,-646000,21823000,11998000,165000,165000,181000,707000,704000,22876000,395000,753000,753000,1148000,24024000,2645000,2645000,409000,409000,3054000,8155000,8155000,8155000,11209000,191181000,-178366000,12815000,12815000,24024000,-646000,31000,-2780000,7e+05,-2695000,-161000,8025000,-1000,-1000,5329000,5329000,5329000,-4323000,0,-9.80631,-1.45495,-0.05041,-0.02689,7.4905,0.87468,0,-0.13467,-0.13467,0.09256,2.67142,-0.03081,5.04811,5.01217
"16","2019_Q2",5.3215873015873,"Up",158000,-4376000,-2812000,-1564000,-4218000,120000,-291525.844251261,120000,-4098000,-12593000,-19000,-12612000,-12612000,-12612000,-12612000,17793000,10438000,79000,79000,187000,506000,506000,18565000,460000,2925000,2925000,3385000,21950000,2062000,2062000,906000,906000,2968000,18349000,18349000,18349000,21317000,191611000,-190978000,633000,633000,21950000,-12612000,34000,9050000,-441000,-3969000,-88000,2422000,-16000,-12999.9999999998,-1560000,-1560000,-1560000,-4184000,0,-26.6962,-79.82278,-19.92417,-0.57458,6.25505,33.67615,-1.73472347597681e-18,-2.6404,-2.6404,0.03308,0.13252,-0.66442,4.25263,4.21835
"17","2019_Q3",4.79890625,"Down",203000,-5185000,-3145000,-2040000,-4982000,-264000,-365000,101000,-5246000,4236000,1000,4237000,4237000,4237000,4237000,20027000,14646000,125000,125000,839000,1009000,1009000,2.2e+07,639000,2707000,2707000,3346000,25346000,3265000,3265000,892000,892000,4157000,12903000,12903000,12903000,17060000,195027000,-186741000,8286000,8286000,25346000,4237000,43000,-8595000,-145000,-4460000,-227000,1790000,-603000,6878000,4208000,4208000,4208000,-4939000,0,-24.54187,20.87192,0.51134,0.16717,5.29228,2.05889,0,0.83807,0.83807,0.04015,1.63894,0.19996,4.05487,4.01987
"18","2019_Q4",5.02015625,"Up",392000,-6584000,-4477000,-2107000,-6192000,-222000,-340000,118000,-6414000,-14191000,4000,-14187000,-14187000,-14187000,-14187000,30896000,20541000,127000,127000,1843000,740000,740000,33606000,1283000,2413000,2413000,3696000,37302000,5016000,5016000,983000,983000,6023000,16933000,16933000,17046000,23069000,214472000,-200928000,13544000,14233000,37302000,-14187000,56000,9317000,1057000,-3757000,-562000,-5497000,5244000,15149000,5895000,5895000,5895000,-6136000,137000,-15.79592,-36.19133,-0.99677,-0.38033,5.57961,1.62081,0.00367,-2.03912,-2.03912,0.05634,1.9467,-0.45322,5.01287,4.96754
"19","2020_Q1",4.35322580645161,"Down",416000,-5405000,-3133000,-2272000,-4989000,119000,-7999.99999999994,127000,-4870000,-6323000,12000,-6311000,-6311000,-6243000,-6243000,25332000,8417000,602000,602000,1794000,712000,712000,28440000,1799000,2335000,2335000,4134000,32574000,4685000,4685000,999000,999000,5708000,18433000,18433000,18540000,24248000,214875000,-207171000,7705000,8326000,32574000,-6311000,61000,2301000,-1063000,-5012000,-584000,-7084000,636000.000000001,-28000,-12124000,-12124000,-12124000,-4928000,131000,-11.99279,-15.00721,-0.74982,-0.19166,4.98248,2.91232,0.00402,-0.72067,-0.72067,0.04802,0.88943,-0.23217,5.11384,5.05131
"20","2020_Q2",3.89206349206349,"Down",309000,-6099000,-3723000,-2376000,-5790000,69000,-3000,72000,-5721000,2440000,-17000,2423000,2423000,2525000,2525000,16018000,12973000,309000,309000,5971000,1460000,1460000,23758000,2540000,5950000,5950000,8490000,32248000,4912000,4912000,865000,865000,5808000,14087000,14087000,14217000,20025000,215661000,-204646000,11015000,12223000,32248000,2423000,74000,-7146000,-4621000,-9270000,-778000,13130000,7000,696000.000000002,4556000,4556000,4556000,-5716000,161000,-18.73786,8.17152000000001,0.20658,0.0783,4.09056,1.6383,0.00499,0.29187,0.29108,0.03572,1.27323,0.0953899999999999,2.77414,2.73869
"21","2020_Q3",3.37921875,"Down",281000,-7157000,-3674000,-3483000,-6876000,4000,-5999.99999999999,10000,-6872000,-9904000,10000,-9894000,-9894000,-9689000,-9689000,15595000,14995000,403000,403000,8772000,1326000,1326000,26096000,3403000,8279000,8279000,11682000,37778000,6937000,6937000,908000,908000,8364000,13056000,13056000,15798000,24162000,226455000,-214335000,12120000,13616000,37778000,-9894000,108000,5245000,-2737000,-7278000,-971000,1479000,9908000,9821000,4022000,4022000,4022000,-6768000,3261000,-24.46975,-34.48043,-0.71159,-0.25647,3.12004,1.77453,0.08632,-1.03878,-1.04139,0.03013,1.29941,-0.32369,1.8224,1.79378
"22","2020_Q4",3.055,"Down",314000,-7895000,-4292000,-3603000,-7581000,-21999.9999999999,-23000,999.999999999942,-7603000,-7155000,-8000.00000000001,-7163000,-7163000,-6389000,-6389000,10201000,10201000,373000,373000,9416000,1204000,1204000,21194000,3484000,9199000,8498000,12683000,33877000,6711000,6711000,992000,992000,8408000,10919000,10919000,13467000,21875000,232005000,-220725000,11280000,12002000,33877000,-7163000,213000,1924000,-1893000,-6919000,-281000,-181000,2539000,2307000,-4793000,-4793000,-4793000,-7368000,3253000,-24.14331,-20.34713,-0.53233,-0.18859,2.52069,1.82261,0.09602,-0.59531,-0.59531,0.02926,1.05104,-0.2441,0.943,0.9165
"23","2021_Q1",3.06901639344262,"Up",7130000,-8475000,-4778000,-3697000,-1345000,642000,-15000,657000,-703000,8469000,139000,8608000,8608000,8898000,8898000,25667000,14042000,1406000,1406000,3812000,811000,811000,31696000,3539000,12113000,11335000,15652000,47348000,4105000,4105000,1068000,1068000,6314000,10377000,10377000,12482000,18796000,239496000,-211825000,27725000,28552000,47348000,8608000,267000,-12504000,-3122000,-6751000,2856000,2856000,-7999.99999999907,7736000,3841000,3841000,3841000,-1078000,3246000,-0.18864,1.24797,0.31164,0.18793,5.01996,0.65831,0.06856,0.7998,0.7998,0.64088,2.48721,0.21098,20.7987,16.66989
"24","2021_Q2",2.72825396825397,"Down",827999.999999999,-5228000,-4069000,-1159000,-5256000,7454000,-9000,7463000,2198000,1681000,175472.112787215,1681000,1681000,2058000,2058000,51936000,32848000,1113000,1113000,2663000,901000,901000,56613000,3480000,10707000,9949000,14187000,70800000,3418000,3418000,1058000,1058000,5617000,19384000,19384000,19480000,25097000,254270000,-209767000,44503000,45703000,70800000,1681000,256000,-6172000,-472000,-4707000,-485000,-485000,-1988000,21997000,16805000,16805000,16805000,-5e+06,1237000,-6.34783,2.48551,0.04503,0.0290700000000001,10.07887,0.54913,0.01747,0.20665,0.20665,0.0831400000000001,4.46861,0.03103,10.1398,9.64593
"25","2021_Q3",2.34796875,"Down",1406000,-7501000,-6370000,-1131000,-7682000,2760000,1000,2759000,-4922000,-5420000,93982.253591864,-5420000,-5420000,-5259000,-5259000,43977000,43977000,1147000,1147000,3897000,1895000,1895000,50916000,3740000,16142000,10426000,19882000,70798000,5189000,5189000,1322000,1322000,7651000,20381000,20381000,20468000,28119000,256616000,-215027000,41640000,42679000,70798000,-5421000,276000,-597000,-491000,-6233000,-228000,17367000,-4000.00000000023,-4000,11130000,11130000,11129000,-7406000,1227000,-5.46373,-3.7404,-0.12322,-0.07428,6.65482,0.65885,0.01733,-0.24723,-0.24723,0.0661,1.95454,-0.08181,5.77235,5.56496
"26","2021_Q4",1.63125,"Down",2376000,-7350000,-6312000,-1038000,-7485000,-21999.9999999991,-15000,-7000.00000000047,-7507000,-2835000,1000.00000000009,-2834000,-2834000,-2173000,-2173000,35526000,35526000,1453000,1453000,5447000,1408000,1408000,43834000,2634000,12760000,7207000,15394000,59228000,5004000,5004000,1449000,1449000,6489000,12438000,12438000,12516000,19005000,257009000,-217203000,39845000,40223000,59228000,-2837000,304000,-3341000,-2394000,-8268000,-204000,-204000,-18000,21000.0000000019,-8451000,-8451000,-8451000,-7181000,114000,-3.15025,-0.914560000000001,-0.05402,-0.03669,6.75512,0.47249,0.00192,-0.10215,-0.10215,0.1117,1.87016,-0.04117,4.93135,4.73106
"27","2022_Q1",1.19338709677419,"Down",2170000,-15456000,-6187000,-9269000,-8332000,-98000,3000,-101000,-8430000,-9558000,-3000,-9561000,-9561000,-9286000,-9286000,28685000,28685000,1370000,1370000,4433000,9e+05,9e+05,35388000,2291000,6239000,5755000,8530000,43918000,3638000,3638000,1402000,1402000,5040000,7682000,7682000,7682000,12722000,257578000,-226485000,31093000,31196000,43918000,-9557000,209000,3594000,-906000,-6660000,-71000,-70000,-114000,-114000,-6844000,-6844000,-6841000,-8123000,0,-3.83963,-4.27926,-0.29767,-0.21144,7.02143,0.40781,0,-0.93242,-0.93242,0.21789,3.12209,-0.23885,3.53133,3.44275
"28","2022_Q2",1.15112903225806,"Down",3220000,-4744000,-4349000,-395000.000000002,-4982000,13000,-1000,14000,-4969000,-4610000,158477.183189539,-4610000,-4610000,-4488000,-4488000,24551000,24551000,2768000,2768000,3235000,945000,691000,31499000,1468000,5832000,5361000,7300000,38799000,3440000,3440000,1369000,1369000,4809000,3748000,3748000,3748000,8557000,277169000,-246971000,30261000,30242000,38799000,-4610000,162000,435000.000000001,-872000,-4885000,747000,747000.000000001,4000,4000,-4134000,-4134000,-4134000,-4820000,0,-1.5472,-1.39379,-0.1484,-0.11567,6.55001,0.28295,0,-0.20237,-0.20237,0.14519,1.36166,-0.13204,5.09357,4.92794
"29","2022_Q3",0.85328125,"Down",3858000,-5010000,-4651000,-359000,-4600000,13000,30000,-17000,-4587000,-3797000,555931.549568618,-3797000,-3797000,-3777000,-3777000,21234000,21234000,3854000,3854000,3275000,1695000,1441000,30058000,954000,3996000,3610000,4950000,35008000,3391000,3391000,1349000,1349000,4740000,3500000,3500000,3500000,8240000,277492000,-250748000,26807000,26768000,35008000,-3797000,141000,2082000,-1791000,-3365000,48000,48000,0,0,-3317000,-3317000,-3317000,-4459000,0,-1.19233,-0.979,-0.1411,-0.10789,6.34135,0.30783,0,-0.17022,-0.17022,0.17387,1.20529,-0.12479,4.76205,4.61609
