"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2020_Q1",46.6864516129032,"Down",527002000,-296973000,230029000,-187905000,-181891000,-6014000,42124000,-1679000,-1679000,40445000,40445000,-5104000,35341000,35341000,35341000,35341000,27037000,27037000,69301000,69301000,581865000,23283000,20415000,701486000,456289000,1166534000,109299000,227447000,829788000,1622823000,2324309000,471266000,368459000,102807000,-107774.620940536,81275000,81275000,552541000,142606000,864826000,18378000,846448000,1007432000,1559973000,370514000,394015000,-193000,764336000,764336000,2324309000,35341000,20704000,160000,-61141000,-4936000,-54993000,-54993000,-875000,6180000,6180000,-2445000,2860000,-57069000,-57069000,-57069000,62828000,142606000,-48202000,0.43649,0.07993,0.06706,0.04624,0.0152,-1.36391,1.26956,2.04095,0.06135,0.34931,0.33527,5.20882,7.55459,-0.47642,0.01995,-0.02721,1.83945,2.74354
"12","2020_Q2",45.6074603174603,"Down",554937000,-318905000,236032000,-189358000,-183924000,-5434000,46674000,-1807000,-1807000,44867000,44867000,-7804000,37063000,37063000,37063000,37063000,289931000,289931000,50561000,50561000,588941000,21562000,21562000,950995000,473081000,1209804000,109291000,227447000,873066000,1682885000,2633880000,429912000,319815000,100423000,1808000,74777000,74777000,506497000,413326000,904768000,13633000,891135000,1318094000,1824591000,378336000,431078000,-125000,809289000,809289000,2633880000,37063000,22088000,-1777000,-32706000,24668000,-38384000,-38384000,274125000,4914000,4914000,-2429000,276610000,262894000,262894000,262894000,68762000,415134000,5475999.99999999,0.42533,0.08411,0.06679,0.0458,0.01407,0.14775,1.87759,2.25456,0.15761,0.36469,0.35127,5.46042,7.96317,0.0538799999999999,0.01741,0.00257,1.82082,2.6825
"13","2020_Q3",68.69703125,"Up",462352000,-265660000,196692000,-175603000,-172170000,-3433000,21089000,-2303000,-2303000,18786000,19801000,12203000,32004000,32004000,32004000,32004000,134420000,134420000,54118000,54118000,594269000,47174000,19203000,829981000,481770000,1216979000,109283000,227447000,880249000,1698749000,2528730000,432202000,326032000,106170000,2558000,98930000,98930000,533690000,206977000,937567000,38930000,898637000,1144544000,1678234000,387447000,463082000,-33000,850496000,850496000,2528730000,32004000,22301000,28597000,-10865000,72037000,-27610000,-27610000,-200362000,4877000,4877000,-4453000,-199938000,-155511000,-155511000,-155511000,43390000,209535000,-7288000,0.42542,0.04561,0.06922,0.03763,0.01266,-0.22772,1.55517,1.97324,0.08286,0.31341,0.30352,4.52776,8.32881,-0.07137,0.01602,-0.00365,1.73116,3.56181
"14","2020_Q4",83.4075,"Up",684847000,-390219000,294628000,-215826000,-210799000,-5027000,78802000,-2024000,-2024000,76778000,76778000,-8004000,68774000,68774000,68774000,68774000,271126000,271126000,55293000,55293000,598461000,49089000,23367000,973969000,506789000,1233638000,109275000,227447000,896916000,1740427000,2714396000,512511000,362457000,150054000,2745000,103662000,103662000,618918000,206793000,957180000,40551000,916629000,1163973000,1782891000,399593000,531856000,56000,931505000,931505000,2714396000,68774000,22860000,6228000,75118000,172980000,-43659000,-43659000,-361000,7746000,7746000,0,7385000.00000006,136706000,136706000,136706000,101662000,209538000,141125000,0.43021,0.11507,0.10042,0.07383,0.02534,2.05201,1.57366,1.91399,0.0772,0.66654,0.64594,6.6374,9.02796,1.36776,0.03278,0.06726,-0.60581,-0.781549999999999
"15","2021_Q1",97.3767213114754,"Up",723652000,-416112000,307540000,-239526000,-231922000,-7604000,68014000,-2255000,-2255000,65759000,65759000,-8619000,57140000,57140000,57140000,57140000,307772000,307772000,50427000,50427000,6.54e+08,28257000,28257000,1040456000,579359000,1260610000,109269000,227447000,923894000,1839969000,2880425000,592572000,417898000,162283000,1647000,104617000,104617000,698836000,207157000,977044000,27990000,949054000,1184201000,1883037000,408228000,588996000,164000,997388000,997388000,2880425000,57140000,24391000,-7948000,62896000,136479000,-102795000,-102795000,-1099000,4061000,4061000,0,2962000,36646000,36646000,36646000,92405000,208804000,61125000,0.42498,0.09399,0.07896,0.05729,0.01984,1.06974,1.48884,1.88797,0.07249,0.55029,0.5333,6.96918,9.60542,0.58867,0.02617,0.028,-1.07102,-1.45511
"16","2021_Q2",103.806984126984,"Up",782537000,-445604000,336933000,-240984000,-233987000,-6997000,95949000,-1388000,-1388000,94561000,94561000,-18765000,75796000,75796000,75796000,75796000,354051000,354051000,60002000,60002000,607649000,40173000,40173000,1061875000,611311000,1291537000,109269000,227447000,954821000,1902848000,2964723000,576175000,402134000,160406000,2103000,94700000,94700000,672978000,195546000,1015479000,32449000,983030000,1211025000,1884003000,415681000,664792000,247000,1080720000,1080720000,2964723000,75796000,26415000,9277000,-10492000,100996000,-45876000,-45876000,-10151000,3685000,3685000,-2375000,-8841000.00000001,46279000,46279000,46279000,122364000,197649000,84761000,0.43056,0.12261,0.09686,0.07013,0.02557,1.11828,1.57787,1.74329,0.06667,0.7283,0.70772,7.51912,10.38425,0.81444,0.03304,0.03695,-1.27817,-1.63005
"17","2021_Q3",119.31265625,"Up",860108000,-494670000,365438000,-266881000,-257891000,-8990000,98557000,-1293000,-1293000,97264000,97264000,-14348000,82916000,82916000,82916000,82916000,366093000,366093000,72804000,72804000,683811000,42733000,42733000,1165441000,727108000,1471746000,153422000,255473000,1062851000,2198854000,3364295000,745536000,529220000,212466000,2103000,112575000,112575000,860214000,195443000,1129036000,34510000,1094526000,1324479000,2184693000,431654000,747708000,240000,1179602000,1179602000,3364295000,82916000,27682000,7372000,37651000,155621000,-86215000,-149569000,336000,5704000,5704000,-49999.9999999995,5990000,12042000,12042000,12042000,126239000,197546000,92023000,0.42487,0.11459,0.0964,0.07029,0.02465,1.10983,1.35483,1.85206,0.05872,0.79671,0.7742,8.26447,11.33437,0.88422,0.03308,0.03672,-1.33514,-1.71015
"18","2021_Q4",128.83984375,"Up",876553000,-511245000,365308000,-281911000,-271178000,-10733000,83397000,-1124000,-1124000,82273000,82273000,-7628000,74645000,74645000,74645000,74645000,330085000,330085000,81480000,81480000,833122000,49522000,49522000,1294209000,836310000,1497591000,152678000,255473000,1089440000,2333901000,3628110000,890998000,634339000,255106000,1577000,119411000,119411000,1011986000,195865000,1155349000,33589000,1121760000,1351214000,2363200000,442353000,822353000,204000,1264910000,1264910000,3628110000,74645000,30399000,4800000,-1569000.00000001,108275000,-145597000,-145810000,-3890000,5429000,5429000,-12000,1527000,-36008000,-36008000,-36008000,113796000,197442000,-25742000,0.41676,0.09514,0.08516,0.05901,0.02057,-0.34486,1.27888,1.86828,0.05442,0.71159,0.69446,8.35616,12.05836,-0.2454,0.02852,-0.00983,-1.16562,-1.5905
"19","2022_Q1",101.289838709677,"Down",914335000,-559748000,354587000,-293498000,-285785000,-7713000,61089000,-1119000,-1119000,59970000,59970000,-10097000,49873000,49873000,49873000,49873000,139444000,139444000,81463000,81463000,1008151000,44287000,40780000,1273345000,929083000,1528267000,151935000,255473000,1111027000,2457350000,3730695000,910818000,661883000,248935000,2103000,119094000,104602000,1032015000,195762000,1179719000,40958000,1138761000,1375481000,2407496000,450438000,872226000,535000,1323199000,1323199000,3730695000,49873000,33700000,2916000,-150039000,-63550000,-129983000,-129983000,0,2981000,2981000,-89000,2892000,-190641000,-190641000,-190641000,94789000,197865000,-175136000,0.38781,0.06681,0.05455,0.03769,0.01337,-3.51164,1.23384,1.81945,0.05304,0.47544,0.464,8.71634,12.61403,-1.66957,0.01847,-0.06485,0.61633,0.95633
"20","2022_Q2",75.3427419354839,"Down",1028734000,-620676000,408058000,-314086000,-304145000,-9941000,93972000,-1162000,-1162000,92810000,92810000,-21859000,70951000,70951000,70951000,70951000,31828000,31828000,97754000,97754000,1149531000,43368000,43368000,1322481000,1007942000,1562964000,151798000,255473000,1146694000,2570906000,3893387000,960050000,688488000,254753000,1577000,131691000,131691000,1093318000,195660000,1201992000,40821000,1161171000,1397652000,2490970000,457151000,943177000,2089000,1402417000,1402417000,3893387000,70951000,34613000,6610000,-115507000,-3332999.99999999,-100904000,-101394000,-1051000,2540000,2540000,-4378000,-2889000,-107616000,-107616000,-107616000,128585000,197237000,-65967000,0.39666,0.09135,0.06897,0.05059,0.01822,-0.92975,1.2096,1.7762,0.05066,0.67317,0.65977,9.76047,13.30592,-0.62588,0.02532,-0.02355,1.28638,1.76019
"21","2022_Q3",80.27421875,"Up",1089846000,-653564000,436282000,-329872000,-321309000,-8563000,106410000,-1672000,-1672000,104738000,104738000,-22906000,81832000,81832000,81832000,81832000,6177000,6177000,97502000,97502000,1344136000,63453000,49265000,1511268000,1085779000,1602330000,151620000,255473000,1187147000,2688109000,4199377000,1062495000,770198000,292297000,1577000,133207000,133207000,1197279000,264157000,1243655000,42887000,1200768000,1507812000,2705091000,466366000,1025009000,2911000,1494286000,1494286000,4199377000,81832000,37953000,8180000,-116779000,11186000,-108606000,-109237000,68074000,4599000,4599000,-273000,72400000,-25651000,-25651000,-25651000,144363000,265734000,-58116000,0.40032,0.09764,0.07509,0.05476,0.01949,-0.71019,1.26225,1.81029,0.06328,0.77533,0.76265,10.32589,14.15781,-0.55063,0.02724,-0.01935,1.79795,2.43922
