"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q3",42.1507936507937,"Up",30268000,-60406000,-13425000,-46981000,-30138000,-1725000,-2757000,1032000,-31863000,-31863000,-49000,-31912000,-31912000,-31912000,-31912000,359398000,290277000,69121000,8933000,8933000,3013000,3013000,371344000,122591000,39204000,9499000,9499000,171294000,542638000,51795000,3261000,48534000,7979000,7979000,59774000,233495000,233495000,233495000,293269000,767571000,-536086000,-1387000,230098000,19271000,249369000,542638000,-31912000,1547000,9955000,652000,-19758000,-976000,17896000,16920000,-1e+05,9145000,9145000,113415000,122460000,119622000,119622000,57000,119679000,-28591000,0,-28866000,-0.99571,-1.05431,-0.12797,-0.05881,0.90455,6.21247,1.17604,0,-0.45826,-0.45826,0.43465,3.3042,-0.41452,-0.06609,-0.05978,12.57032,11.92508
"12","2017_Q4",50.1569841269841,"Up",40550000,-63289000,-12953000,-50336000,-22739000,-1663000,-2769000,1106000,-24402000,-24402000,-57000,-24459000,-24459000,-24459000,-24459000,729972000,651373000,78599000,8628000,8628000,2856000,2856000,741456000,126643000,16767000,10026000,10026000,153436000,894892000,60524000,6407000,54117000,7974000,7974000,68498000,235625000,235625000,235625000,304123000,1146930000,-573823000,-1609000,571498000,19271000,590769000,894892000,-24459000,1510000,10030000,-5515000,-18434000,-3380000,12921000,9541000,-101000,16312000,16312000,353814000,370025000,361132000,361132000,-36000,361096000,-21229000,0,-30067000,-0.56076,-0.60318,-0.0414,-0.02733,1.22928,10.82449,0.51479,0,-0.32229,-0.32229,0.53432,7.53051,-0.39619,-0.0296,-0.03638,34.3856,32.1022
"13","2018_Q1",52.6754098360656,"Up",25408000,-66320000,-13852000,-52468000,-40912000,1845000,-1805000,3650000,-39067000,-39067000,-155000,-39222000,-39222000,-39222000,-39222000,735718000,673658000,62060000,8452000,8452000,4800000,4800000,748970000,129476000,10506000,9698000,9698000,149680000,898650000,69290000,5509000,63781000,16670000,16670000,85960000,264952000,264952000,264952000,350912000,1160919000,-630657000,-1795000,528467000,19271000,547738000,898650000,-39222000,1517000,10271000,26248000,-1186000,-3508000,23505000,19997000,-101000,6354000,6354000,-2840000,3413000,22224000,22224000,61000,22285000,-39395000,0,-16500000,-1.6102,-1.54369,-0.07161,-0.04365,0.42068,8.71301,0.64066,0,-0.4761,-0.4761,0.30842,6.41484,-0.20029,-0.04826,-0.0203,18.67542,17.98294
"14","2018_Q2",52.14453125,"Down",31925000,-72524000,-15550000,-56974000,-40599000,-698000,-2769000,2071000,-41297000,-41297000,-99000,-41396000,-41396000,-41396000,-41396000,703768000,659007000,44761000,9975000,9975000,3420000,3420000,717163000,129880000,10506000,10062000,10062000,150448000,867611000,66408000,3549000,62859000,16934000,16934000,83342000,265480000,265480000,265480000,348822000,1173943000,-670803000,-3622000,499518000,19271000,518789000,867611000,-41396000,1519000,10990000,-3076000,-31963000,-1837000,17136000,15299000,-101000,8959000,8959000,-6813000,2045000.00000006,-14619000,-14619000,-32000,-14651000,-39080000,0,-43894000,-1.2717,-1.29666,-0.07979,-0.04771,1.06034,8.60506,0.67238,0,-0.49957,-0.49957,0.38527,6.02824,-0.52972,-0.05278,-0.05597,18.00839,17.33461
"15","2018_Q3",61.6039682539683,"Up",43951000,-67193000,-15055000,-52138000,-23242000,-104000,-2750000,2646000,-23346000,-23346000,-75000,-23421000,-23421000,-23421000,-23421000,671897000,643803000,28094000,30189000,30189000,17997000,17997000,720083000,128829000,10587000,10420000,10420000,149836000,869919000,52714000,3222000,49492000,37845000,37845000,90559000,264558000,264558000,264558000,355117000,1192366000,-694224000,-2611000,495531000,19271000,514802000,869919000,-23421000,1564000,13601000,-26708000,-34964000,-1684000,16323000,14639000,-1e+05,8384000,8384000,-3192000,5092000,-15233000,-15233000,29000,-15204000,-21678000,0,-49995000,-0.52882,-0.53289,-0.0455,-0.02692,2.13462,7.95153,0.68981,0,-0.27965,-0.27965,0.52479,5.91679,-0.59696,-0.03005,-0.06415,30.99442,28.90874
"16","2018_Q4",44.9595238095238,"Down",29027000,-71799000,-15356000,-56443000,-42772000,341000,-2738000,3079000,-42431000,-42431000,-125000,-42556000,-42556000,-42556000,-42556000,652731000,566722000,86009000,23187000,23187000,2865000,2865000,678783000,127908000,40602000,8348000,8348000,176858000,855641000,62729000,10131000,52598000,37697000,37697000,100426000,264633000,264633000,264633000,365059000,1210661000,-736780000,-2570000,471311000,19271000,490582000,855641000,-42556000,1610000,14420000,34774000,8248000,-1147000,-88058000,-89205000,-52000,7255000,7255000,-3283000,3920000,-77037000,-77037000,-44000,-77081000,-41162000,0,-7409999.99999999,-1.47352,-1.46608,-0.08675,-0.04974,0.17412,6.75904,0.74413,0,-0.50357,-0.50357,0.34348,5.57712,-0.0876799999999999,-0.05635,-0.00981,15.85761,15.26071
"17","2019_Q1",54.2485245901639,"Up",108055000,-88135000,-17851000,-70284000,19920000,1038000,-2734000,3772000,20958000,20958000,-5000,20953000,20953000,20953000,20953000,621402000,89258000,532144000,63684000,63684000,4929000,4929000,690015000,127198000,55820000,7565000,7565000,190583000,880598000,75262000,9139000,66123000,13771000,13771000,89033000,263095000,263095000,263095000,352128000,1227307000,-715827000,-2281000,509199000,19271000,528470000,880598000,20953000,1869000,13101000,-53388000,-17465000,-3168000,-459688000,-462856000,-107000,5249000,5249000,-2324000,2818000,-477503000,-477503000,39000,-477464000,21789000,0,-34762000,0.18435,0.19391,0.03965,0.02379,-1.65905,7.7501,0.66632,0,0.24614,0.24614,1.26934,5.98164,-0.40835,0.02647,-0.04392,-28.51907,-31.19488
"18","2019_Q2",43.7809523809524,"Down",23863000,-72706000,-22210000,-50496000,-48843000,3407000,-770000,4177000,-45436000,-45436000,25000,-45411000,-45411000,-45411000,-45411000,565399000,81672999.9999999,483726000,6023000.00000001,6023000.00000001,7578000,7578000,5.79e+08,45828000,132203000,55366000,55366000,233397000,812397000,70050000,3772000,66278000,23870000,23870000,93920000,209983000,209983000,209983000,303903000,1243321000,-753161000,-937000,489223000,19271000,508494000,812397000,-45411000,2744000,17470000,47677000,22480000,-483000,-26004000.0000001,-26486999.9999999,-3118000,5572000,5572000,-5988000,-3534000,-7541000.00000006,-7541000.00000006,-44000,-7584999.99999994,-46099000,0,1069999.99999999,-2.04681,-1.90299,-0.0893,-0.0559,-0.02356,6.16482,0.59765,0,-0.52986,-0.52986,0.27844,5.70829,0.01248,-0.0632,0.00148999999999998,12.26489,11.57585
"19","2019_Q3",43.93296875,"Up",191566000,-78747000,-26738000,-52009000,112819000,3389000,-737000,4126000,116208000,116208000,-205000,116003000,116003000,116003000,116003000,660761000,74587000,586174000,6453000,6453000,136596000,136596000,805791000,44865000,10915000,53495000,53495000,109275000,915066000,70605000,4060000,66545000,12207000,12207000,82812000,183952000,183952000,183952000,266764000,1266651000,-637158000,-462000,629031000,19271000,648302000,915066000,116003000,2779000,19216000,-166650000,-28652000,-1723000,20493000,18770000,-2934000,7765000,7765000,-2077000,2754000,-7128000,-7128000,42000,-7086000,115598000,0,-52570000,0.58893,0.60555,0.17893,0.12677,-0.45318,9.73037,0.41148,0,1.34185,1.17849,2.21592,7.27624,-0.6081,0.13938,-0.06317,-5.71602,-5.85682
"20","2019_Q4",40.83671875,"Down",33174000,-85786000,-35824000,-49962000,-52854000,3491000,-702000,4193000,-49363000,-49363000,-76000,-49439000,-49439000,-49439000,-49439000,628632000,196592000,432040000,19225000,19225000,133715000,133715000,786480000,43208000,10999000,53277000,53277000,107484000,893964000,74880000,4055000,70825000,12406000,12406000,87286000,192960000,192960000,192960000,280246000,1281268000,-686597000,-224000,594447000,19271000,613718000,893964000,-49439000,3192000,16457000,2307000,-27483000,-1811000,154579000,152768000,-3060000,2373000,2373000,-2549000,-3236000,122049000,122049000,-44000,122005000,-49662000,0,-49090000,-1.59324,-1.49029,-0.08056,-0.0553,0.99294,9.01038,0.45664,0,-0.56816,-0.53828,0.38124,6.83147,-0.56415,-0.06129,-0.06085,12.65821,11.89375
"21","2020_Q1",39.7627419354839,"Down",7974000,-107505000,-50707000,-56798000,-100436000,2385000,-667000,3052000,-98051000,-98051000,-72000,-98123000,-98123000,-98123000,-98123000,533757000,126266000,407491000,28455000,28455000,133391000,133391000,702490000,42743000,61118000,51046000,51046000,154907000,857397000,89904000,6088000,83816000,12841000,12841000,102745000,219246000,219246000,219246000,321991000,1301602000,-784720000,-747000,516135000,19271000,535406000,857397000,-98123000,2432000,19634000,31007000,-45050000,-1738000,-23295000,-25033000,-3216000,5068000,5068000,-2136000,-284000,-70367000,-70367000,41000,-70326000,-98004000,0,-68663000,-12.59544,-12.30537,-0.18327,-0.11444,0.69976,6.83722,0.6014,0,-1.12318,-1.39089,0.09128,5.908,-0.78596,-0.13002,-0.09099,5.44628,5.3144
"22","2020_Q2",37.1407936507936,"Down",24401000,-104505000,-49603000,-54902000,-81074000,2532000,-633000,3165000,-78542000,-78542000,194000,-78348000,-78348000,-78348000,-78348000,535429000,121560000,413869000,58540000,58540000,134028000,134028000,736405000,40058000,223000.000000007,47691000,47691000,87972000,824377000,45174000,2865000,42309000,20927000,20927000,66101000,280647000,280647000,280647000,346748000,1320243000,-863068000,1183000,458358000,19271000,477629000,824377000,-78348000,2868000,19207000,-3213000,-59486000,-459000,56468000,56009000,-2915000,7004000,7004000,-5279000,-1190000,-4667000,-4667000,-39000,-4706000,-78206000,0,-82072000,-3.32257,-3.21085,-0.16404,-0.09504,1.04753,11.1406,0.72598,0,-0.88811,-0.88811,0.2766,5.19568,-0.93032,-0.10332,-0.10823,6.84639,6.6042
"23","2020_Q3",43.04125,"Up",42887000,-124948000,-63535000,-61413000,-85138000,-6000,-651000,645000,-85144000,-85144000,-169000,-85313000,-85313000,-85313000,-85313000,685586000,429269000,256317000,26519000,26519000,6481000,6481000,727168000,36984000,229000,43302000,43302000,80515000,807683000,55479000,5015000,50464000,22092000,22092000,77571000,314969000,314969000,314969000,392540000,1345814000,-948381000,-1561000,395872000,19271000,415143000,807683000,-85313000,2869000,20713000,211396000,149665000,-726000,1.56e+08,153855000,-3278000,9506000,9506000,-1579000,4649000,308169000,308169000,-460000,307709000,-82269000,0,128570000,-1.98517,-1.98925,-0.2055,-0.10563,-1.50704,9.37422,0.94555,0,-0.95374,-0.95374,0.47945,4.42557,1.43732,-0.11685,0.1761,8.33347,8.05264
"24","2020_Q4",42.045625,"Down",44032000,-9496000.00000001,48981000,-58477000,32330000,889000,-580000,1469000,33219000,33219000,-215000,33004000,33004000,33004000,33004000,687866000,532468000,155398000,26252000,26252000,11563000,11563000,737484000,36153000,247000,38131000,38131000,74531000,812015000,98125000,7553000,90572000,20223000,20223000,118348000,222736000,222736000,222736000,341084000,1371293000,-915377000,-4256000,451660000,19271000,470931000,812015000,33004000,2934000,20785000,-58072000,-1348999.99999997,-419000,1e+08,98855000,-3363000,9737000,9737000,-2149000,4225000,101731000,101731000,1468000,103199000,35264000,0,-23012000,0.73424,0.74955,0.07008,0.04064,-0.69725,6.23149,0.72428,0,0.3644,0.3644,0.48615,4.98675,-0.25407,0.04758,-0.03317,-19.50618,-21.2764
"25","2021_Q1",42.5898360655738,"Up",64999000,-120381000,-42249000,-78132000,-57998000,-466000,-538000,274000,-58464000,-58464000,-170000,-58634000,-58634000,-58634000,-58634000,686537000,678393000,8144000,41883000,41883000,10160000,10160000,755110000,33647000,244000,37839000,35111000,71730000,826840000,143122000,24789000,118333000,20065000,20065000,163187000,222204000,222204000,222204000,385391000,1400688000,-974011000,-4499000,422178000,19271000,441449000,826840000,-58634000,3007000,23880000,24519000,-7228000,-2390000,146846000,143768000,-3467000,11582000,11582000,-2456000,5659000,142199000,142199000,3726000,145925000,-54991000,0,-32692000,-0.89229,-0.90208,-0.13282,-0.07091,0.55756,4.62727,0.87301,0,-0.6431,-0.6431,0.71291,4.63046,-0.35857,-0.08835,-0.04926,12.48453,11.83725
"26","2021_Q2",23.0447619047619,"Down",38429000,-105455000,-30779000,-74676000,-70427000,-1194000,-501000,-453000,-71621000,-71621000,-134000,-71755000,-71755000,-71755000,-71755000,544232000,433508000,110724000,40543000,40543000,16155000,16155000,621694000,30933000,93679000,40995000,38512000,165607000,787301000,143842000,24061000,119781000,23205000,23205000,167047000,229981000,229981000,229981000,397028000,1421392000,-1045766000,-4624000,371002000,19271000,390273000,787301000,-71755000,2723000,22371000,1677000.00000001,-44984000,-518000,-196201000,-196719000,-3400000,6077000,6077000,-4757000,-2080000,-243783000,-243783000,-1102000,-244885000,-67704000,0,-66411000,-1.83265,-1.86721,-0.18386,-0.09114,0.92552,3.72167,1.01731,0,-0.7826,-0.7826,0.41913,4.04635,-0.72432,-0.11569,-0.10707,8.0384,7.7276
"27","2021_Q3",14.33984375,"Down",24364000,-155122000,-32555000,-122567000,-133836000,-156000,-355000,-364000,-133992000,-133992000,4000,-133988000,-133988000,-133988000,-133988000,507212000,353361000,153851000,24266000,24266000,8458000,8458000,564466000,30670000,105758000,107724000,104641000,244152000,808618000,196789000,48988000,147801000,35975000,35975000,232764000,296003000,296003000,296003000,528767000,1443975000,-1179754000,-4567000,260580000,19271000,279851000,808618000,-133988000,2519000,45876000,59050000,-26543000,-1697000,-55836000,-57533000,-2127000,5679000,5679000,-1171000,2381000,-81695000,-81695000,1548000,-80147000,-131317000,0,-73968000,-5.49319,-5.49943,-0.47878,-0.1657,0.55205,2.42506,1.88946,0,-1.46135,-1.46135,0.26573,2.83193,-0.80674,-0.23268,-0.12845,3.8625,3.7898
"28","2021_Q4",12.4540625,"Down",155973000,-101733000,-25853000,-75880000,50974000,-1070000,-109000,-1303000,49904000,49904000,-106000,49798000,49798000,49798000,49798000,486402000,274527000,211875000,35994000,35994000,21688000,21688000,573399000,29052000,142636000,105426000,102005000,277114000,850513000,175214000,23868000,151346000,34102000,34102000,209316000,296134000,296134000,296134000,505450000,1458979000,-1129956000,-4158000,325792000,19271000,345063000,850513000,49798000,2475000,16386000,-24404000,44255000,-1575000,-95578000,-122153000,-134000,107000,107000,-806000,-833000,-78731000,-78731000,-103000,-78834000,53449000,0,27576000,0.326810000000001,0.31927,0.14432,0.05855,0.55376,2.73939,1.4648,0,0.53752,0.53657,1.68357,3.5066,0.29766,0.07766,0.04301,-9.1003,-9.54216
"29","2022_Q1",13.9435483870968,"Up",16543000,-148658000,-34738000,-113920000,-135241000,1274000,-110000,1042000,-133967000,-133967000,-111000,-134078000,-134078000,-134078000,-134078000,405190000,171223000,233967000,17401000,17401000,20453000,20453000,474059000,28277000,167796000,103689000,103689000,299762000,773821000,198696000,26097000,172599000,26801000,10944000,225497000,319211000,319211000,319211000,544708000,1477343000,-1264034000,-4163000,209146000,19967000,229113000,773821000,-134078000,2453000,52905000,23760000,-54960000,-1396000,-49171000,-50567000,-231000,838000,838000,-638000,-31000,-105558000,-105558000,2254000,-103304000,-132788000,0,-110313000,-8.17512,-8.10482,-0.5852,-0.17327,0.82275,2.10229,2.37746,0,-1.44724,-1.44468,0.17857,2.25752,-1.19072,-0.24452,-0.20118,3.05141,2.99606
"30","2022_Q2",10.2196774193548,"Down",60827000,-119582000,-30564000,-89018000,-62993000,-99000.0000000005,-97000,-322000,-63092000,-63092000,-113000,-63205000,-63205000,-63205000,-63205000,428075000,185896000,242179000,43883000,43883000,9390000,9390000,524415000,26881000,93488000,101150000,96995000,221519000,745934000,239652000,36353000,203299000,15722000,15722000,255374000,312545000,312545000,312545000,567919000,1490859000,-1327239000,-6505000,158048000,19967000,178015000,745934000,-63205000,2450000,17904000,34375000,-8476000,-1638000,62573000,25935000,-102000,183000,183000,-2974000,-2893000,14566000,14566000,107000,14673000,-60543000,0,-27693000,-1.03561,-1.03909,-0.35505,-0.08473,0.43815,2.05352,3.19029,0,-0.68128,-0.68128,0.65565,1.69352,-0.2985,-0.12884,-0.05645,7.07059,6.7956
"31","2022_Q3",12.8821875,"Up",29806000,-101219000,-30256000,-70963000,-78223000,5622000,-141000,5198000,-72601000,-72601000,-23000,-72624000,-72624000,-72624000,-72624000,438133000,167758000,270375000,33573000,33573000,8038000,8038000,520643000,24505000,45920000,95721000,91227000,166146000,686789000,222459000,29360000,193099000,17881000,17881000,240340000,322702000,322702000,322702000,563042000,1509636000,-1399863000,-6930000,103780000,19967000,123747000,686789000,-72624000,2516000,16806000,20238000,-33064000,-899000,18204000,17305000,-122000,2596000,2596000,-387000,2087000,-13672000,-13672000,-4466000,-18138000,-75707000,0,-56345000,-2.6244,-2.43656,-0.58687,-0.10574,0.77585,2.16628,4.54994,0,-0.77694,-0.77694,0.31887,1.10022,-0.60278,-0.16267,-0.12621,5.78722,5.60108
