"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","total_current_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2013_Q3",2.45359375,"Down",-127601,-415415,-560,-127601,21501,-16558,37569,-106100,-106100,-106100,-106100,-106100,-106100,487,487,0,487,487,2673983,2673983,3435275,3435275,34629755,-38064543,-3434788,-3434788,487,-106100,-3590,-19723,-129302,50000,-79302,-79302,-79302,761292,0.03089,-217.86448,0.00014,-1.00014,1563.22793,-0.01403,-0.01403,-0.45433,0.03969,-5.96237
"12","2013_Q4",1.83546875,"Down",-124074,415008,-39021,-124074,-27850,-14855,-11087,-151924,-151924,-151924,-151924,-151924,-151924,1644.99999999997,1644.99999999997,1835,3480,3480,2799244,2799244,3556844,3590192,34629755,-38216467,-3586712,-3586712,3480,-151924,-3692.00000000012,123426,-32190,33348,1158,1158,1158,757600,0.04236,-43.65632,0.00097999999999998,-1.00097,217.70115,-0.0201,-0.0201,-0.47442,0.0543400000000001,-6.09278
"13","2014_Q1",1.45131147540984,"Down",-1465918,-1082906,-97263,-1465918,-65379,-9703,-53187,-1531297,-2988505,-2988505,-2988505,-2988505,-2988505,345074,345074,48375,393449,393449,1741797,1741797,1952660,2916660,38681761,-41204972,-2523211,-2523211,393449,-2988505,2462053,41944,-484508,827937,343429,343429,343429,1114863,1.18441,-7.59566,0.20149,-1.15593,2.83356,-0.32385,-0.32385,-0.27343,2.21642,-0.52512
"14","2014_Q2",1.39365079365079,"Down",-308904,-78792,-5180,-308904,-15459,-3287,-11468,-324363,358637.000000001,358637,358637,358637,358637,95926.9999999998,95926.9999999998,52825,148752,150887,1620777,1620777,1821141,1881141,39116081,-40846335,-1730254,-1730254,150887,358637,-693499.000000001,-100320,-434990,188170,-249147,-249147,-249147,200364,-0.20727,2.37686,0.0816800000000003,-1.08721,1.32790999999997,0.03827,0.0326500000000001,-0.18464,-0.243990000000001,-0.33809
"15","2015_Q2",1.48714285714286,"Up",-770678,-452053,-318625,-770678,-53691,-77009,23318,-824369,-786718,-786718,-786718,-786718,-786718,6980924,6980924,67576,7048500,7050498,1319840,1319840,1418152,7217372,53193169,-53360043,-166874,-166874,7050498,-786718,1102,92297,-693070,411856,-281214,-281214,-281214,5257532,4.71444,-0.11158,4.9702,-43.25043,0.7457,-0.06095,-0.06095,-0.01293,-0.13728,2.2362
"16","2015_Q3",4.3203125,"Up",-858339,-451193,-407146,-858339,45837,2228.00000000001,43609,-812502,-1724859,-1724859,-1724859,-1724859,-1724859,6310643,6310643,51985,6362628,6364377,1437939,1437939,1528351,2302078,59147201,-55084902,4062299,4062299,6364377,-1724859,920639,133690,-670281,0,-670281,-670281,-670281,224139,-0.4246,-0.271020000000001,4.16307,0.566690000000001,0.0352199999999996,-0.12052,-0.12052,0.28385,-0.35012,7.09103
"17","2015_Q4",7.40671875,"Up",-1512960,-713498,-799462,-1512960,-10644,1254,-11898,-1523604,-4240244,-4240244,-4240244,-4240244,-4240244,7961331,7961331,16054,7977385,7978886,1259051,1259051,1351567,2186944,65117088,-59325146,5791942,5791942,7978886,-4240244,2952657,-142957,-1430296,3080984,1650688,1650688,1650688,150478,-0.73209,-0.53143,5.90232,0.37758,0.01886,-0.22206,-0.22206,0.30332,-0.631,5.16263
"18","2016_Q1",4.3983606557377,"Down",-3966737,-3220234,-746503,-3966737,17227,1702,15525,-3949510,-5356309,-5356309,-5356309,-5356309,-5356309,15290976,15290976,177685,15468661,15469913,2503726,2503726,2660578,4658325,74093043,-63281455,10811588,10811588,15469913,-5356309,2839657,1083044,-1433359,8763004,7329645,7329645,7329645,85570.0000000002,-0.49542,-0.34624,5.81402,0.430860000000003,0.00553000000000005,-0.19112,-0.19112,0.38578,-0.41539,3.83323
"19","2016_Q2",4.83078125,"Up",-4532434,-3368756,-1163678,-3922286,-13513,2142,-15655,-3935799,-3936894,-3954509,-3954509,-3954509,-3954509,13853405,13853405,169552,14022957,14023960,2417431,2417431,2532400,5097725,76162199,-67235964,8926235,8926235,14023960,-3337932.69916881,678691.50870045,844472.396948766,-1814623.36298645,9261988.34953529,7447339.79827882,7447339.79827882,7447339.79827882,82675,-0.44302,-0.28198,5.53742,0.57109,0.0059,-0.11641,-0.11641,0.26275,-0.34167,3.51089
"20","2016_Q3",4.210625,"Down",-2180168,-613990,-1566178,-2153289,-28842,2064,-30906,-2182131,-2030801,-2030801,-2030801,-2030801,-2030801,11950847,11950847,163647,12114494,12115249,2338137,2338137,2431727,2432064,78949950,-69266765,9683185,9683185,12115249,-1025199.83052183,-1085886.35864872,-245099.280583095,-2356110.37364465,5243686.40062588,2887560.97821675,2887560.97821675,2887560.97821675,88482,-0.20972,-0.16762,4.98185,0.25116,0.0073,-0.05768,-0.05768,0.27503,-0.20783,5.50895
"21","2016_Q4",3.56253968253968,"Down",-2293665,-1134845,-1158820,-2245898,11550,2626,8924,-2234348,-2234356,-2240356,-2240356,-2240356,-2240356,9727040,9727040,116427,9843467,9843973,2057531,2057531,2172542,2172887,79178207,-71507121,7671086,7671086,9843973,-2240356,249686,-233386,-2223807,1.86264514923096e-09,-2223807,-2223807,-2223807,88232,-0.29205,-0.22759,4.53085,0.28326,0.00896,-0.06275,-0.06275,0.21484,-0.28873,4.29174
"22","2017_Q1",5.16467741935484,"Up",-6582776,-3217149,-3365627,-6555282,-6318,4490,-10808,-6561600,-6505032,-6511032,-6511032,-6511032,-6511032,9186814,9186814,259471,9446285,9498681,3119993,3119993,3190525,3190525,84326309,-78018153,6308156,6308156,9498681,-6511032,3772574,874685,-1863267,1323041,-540226,-540226,-540226,0,-1.03216,-0.68547,2.96073,0.50578,-1.73472347597681e-18,-0.18224,-0.18224,0.17656,-1.03216,1.40144
"23","2017_Q2",5.78047619047619,"Up",-3168674,-1126184,-2042490,-3133388,17737,3655,14082,-3115651,-3115651,-3146659,-3146659,-3146659,-3146659,21161460,21161460,160126,21321586,21373982,2163465,2163465,2194946,2194946,100343848,-81164812,19179036,19179036,21373982,-3146659,880433,-887400,-3153626,15128272,11974646,11974646,11974646,0,-0.16407,-0.14722,9.71395,0.11445,0,-0.08196,-0.08196,0.49953,-0.16407,6.75354
"24","2017_Q3",4.4447619047619,"Down",-3608947,-1116014,-2492933,-1569361,29869,18147,11722,-1539492,-1539492,-1549087,-1549087,-1549087,-1549087,23351567,23351567,202625,23554192,23606588,2033692,2033692,2119897,2119897,104200590,-82713899,21486691,21486691,23606588,-1549087,1012111,-160766,-697742,2887849,2190107,2190107,2190107,1.81898940354586e-12,-0.0721000000000001,-0.06562,11.11101,0.09866,0,-0.03766,-0.03766,0.52242,-0.0720999999999999,14.87967
"25","2017_Q4",3.93555555555556,"Down",-3705303,-1405026,-2300277,-3636157,-39255,26677,-65932,-3675412,-3600208,-3610085,-3610085,-3610085,-3610085,24793424,24793424,60910,24854334,24906730,1435498,1435498,1454571,1454571,109776143,-86323984,23452159,23452159,24906730,-3610085,998669,-362564,-2973980,4415837,1441857,1441857,1441857,0,-0.15393,-0.14494,17.08705,0.06202,0,-0.08697,-0.08697,0.56499,-0.15393,6.81858
"26","2018_Q1",2.8255737704918,"Down",-5197437,-1361051,-3836386,-5177611,32164,39619,-7454.99999999999,-5145447,-5145447,-5154574,-5154574,-5154574,-5154574,27440257,27440257,345676,27785933,27838329,3584334,3584334,3584334,3584334,115732553,-91478558,24253995,24253995,27838329,-5154574,1098621,1864070,-2191883,4838716,2646833,2646833,2646833,0,-0.21252,-0.18516,7.75205,0.14778,0,-0.12177,-0.12177,0.57295,-0.21252,5.29979
"27","2018_Q2",2.79375,"Down",-4092115,-1397803,-2694312,-4092115,42355,30376,11979,-4049760,-4049760,-4059165,-4059165,-4059165,-4059165,28048644,28048644,242767,28291411,28343807,2798472,2798472,2798472,2798472,121083058,-95537723,25545335,25545335,28343807,-4059165,1121985,-682953,-3620133,4228520,608387,608387,608387,0,-0.1589,-0.14321,10.10959,0.10955,0,-0.0925,-0.0925,0.58212,-0.1589,6.85431
"28","2018_Q3",2.82095238095238,"Up",-4734473,-1489450,-3245023,-4734473,10310,28647,-18337,-4724163,-4724163,-4752024,-4752024,-4752024,-4752024,25656584,25656584,186614,25843198,25895594,3416737,3416737,3416737,3416737,122768604,-100289747,22478857,22478857,25895594,-4752024,1230433,700624,-2820967,428907,-2392060,-2392060,-2392060,0,-0.2114,-0.18351,7.56371,0.152,0,-0.1067,-0.1067,0.50471,-0.2114,5.4191
"29","2018_Q4",2.27,"Down",-4618013,-1620379,-2997634,-2913972,95751,112226,-16475,-2818221,-2849164,-2849164,-2849164,-2849164,-2849164,25827592,25827592,914705,26742297,26794693,3209070,3209070,3209070,3209070,126724534,-103138911,23585623,23585623,26794693,-2849164,1676597,-915567,-2088134,2259142,171007.999999999,171007.999999999,171007.999999999,0,-0.1208,-0.10633,8.33335,0.13606,0,-0.06377,-0.06377,0.52793,-0.1208,8.86336
"30","2019_Q1",2.3883606557377,"Up",-5888990,-1481538,-4407452,-5814463,56887,83843,-26956,-5757576,-5757576,-5793056,-5793056,-5793056,-5793056,22930638,22930638,1393102,24323740,24376136,3884626,3884626,3884626,3884626,129423477,-108931967,20491510,20491510,24376136,-5592383,1487989,51222,-4053172,1156218,-2896954,-2896954,-2896954,8.88178419700125e-16,-0.28271,-0.23765,6.26154,0.18957,0,-0.12725,-0.12725,0.45011,-0.28271,3.94372
"31","2019_Q2",3.10603174603175,"Up",-7473517,-1761307,-5712210,-7398989,74293,78800,-4507,-7324696,-7324696,-7333413,-7333413,-7333413,-7333413,20715169,20715169,1380510,22095679,22095679,4875895,4875895,4875895,4875895,133485164,-116265380,17219784,17219784,22095679,-6919731,2066987,692575,-4160169,1944700,-2215469,-2215469,-2215469,0,-0.42587,-0.33189,4.53162,0.28316,0,-0.1583,-0.1583,0.3717,-0.42587,2.79973
"32","2019_Q3",2.88546875,"Down",-8140038,-2061252,-6078786,-8065511,105665,51465,54200,-7959846,-7959846,-8007894,-8007894,-8007894,-8007894,19457845,19457845,1091935,20549780,20549780,6370604,6370604,6370604,6370604,138745150,-124273274,14179176,14179176,20549780,-7246904,1893152,1022294,-4331458,3074134,-1257324,-1257324,-1257324,0,-0.56476,-0.38968,3.22572,0.44929,0,-0.16993,-0.16993,0.30088,-0.56476,2.41248
"33","2019_Q4",2.6246875,"Down",-7147174,-1388728,-5758446,-7072230,-19709,34838,-54547,-7091939,-7054961,-7074261,-7074261,-7074261,-7074261,21249206,21249206,719065,21968271,21968271,4336607,4336607,4336607,4336607,148979199,-131347535,17631664,17631664,21968271,-6521926,1234204,-2213462,-7501184,9292545,1791361,1791361,1791361,0,-0.40122,-0.32202,5.06577,0.24596,0,-0.14256,-0.14256,0.35532,-0.40122,3.0046
"34","2020_Q1",3.48370967741935,"Up",-6346219,-1635312,-4710907,-3805584,4642.00000000003,42177,-37535,-3800942,-3873295,-3715049,-3715049,-3715049,-3715049,22185630,22185630,3143743,25329373,25329373,1516342,1516342,1516342,5039674,153686459,-133396760,20289699,20289699,25329373,-5606418,1271905,1800207,-2534306,3470730,936424,936424,936424,-3.46944695195361e-18,-0.1831,-0.14667,16.70426,0.24839,-4.13590306276514e-25,-0.0707,-0.0707,0.3861,-0.15601,5.82976
"35","2020_Q2",3.77873015873016,"Up",-9396175,-1470656,-7925519,-8126859,331075,-1559,332634,-7795784,-7795784,-7855065,-7855065,-7855065,-7855065,27458423,27458423,3965644,31424067,31424067,1682799.92616759,1427034.61880844,1684975.41878627,5463917,165948835,-139988685,25960150,25960150,31424067,-7855065,939314,-955627.000000001,-7871378,25979959,18108581,18108581,18108581,0,-0.30258,-0.24997,17.0100882171095,0.21047,0,-0.14341,-0.14341,0.47395,-0.24997,3.37873
"36","2020_Q3",4.30390625,"Up",-6077716,-1601520,-4476196,-5536601,-487023,118459,-605482,-6023624,-6023624,-5973557,-5973557,-5973557,-5973557,26563071,26563071,4457506,31020577,31020577,2579097,2579097,2579097,6228831,172017128,-147225382,24791746,24791746,31020577,-5973557,2025863,831021,-3116673,-10614467,-13731140,-13731140,-13731140,-4.33680868994202e-19,-0.24095,-0.19257,12.02769,0.25125,0,-0.1024,-0.1024,0.42499,-0.21003,4.79772
"37","2020_Q4",5.26921875,"Up",-8106480,-1381478,-6725002,-6786567,304762,56096,248666,-6481805,-6481805,-6486622,-6486622,-6486622,-6486622,27619145,27619145,4011111,31630256,31630256,2968994,2968994,2968994,6949198,178393062,-153712004,24681058,24681058,31630256,-6486622,1251129,1191270,-4044223,5100297,1056074,1056074,1056074,0,-0.26282,-0.20508,10.65353,0.28156,0,-0.10976,-0.10976,0.41764,-0.22632,4.06968
"38","2021_Q1",10.9213114754098,"Up",-7507861,-1402955,-6104906,-6113292,156699,6977,149722,-5956593,-5956593,-5965226,-5965226,-5965226,-5965226,29249018,29249018,5293179,34542197,34542197,7305628,3316574,7305628,7305628,186851752,-159677230,27236569,27236569,34542197,-5965226,660600,-950146,-6254772,7884645,1629873,1629873,1629873,-2.71050543121376e-20,-0.21902,-0.17269,4.72816,0.26823,0,-0.09848,-0.09848,0.44861,-0.21902,4.7845
"39","2021_Q2",14.8109523809524,"Up",-11723390,-3066951,-8656439,-10912660,60273,4910,55363,-10852387,-10852387,-10882367,-10882367,-10882367,-10882367,47357599,47357599,6976647,54334246,54334246,8033469,3816521,8033469,8033469,213833072,-167532295,46300777,46300777,54334246,-10882367,3908771,3472641,-3500955,2539565,-961389.999999998,-961389.999999998,-961389.999999998,0,-0.23504,-0.20029,6.76348,0.17351,0,-0.16926,-0.16926,0.72013,-0.23504,4.33969
"40","2021_Q3",19.904375,"Up",-6627371,-637450,-5989921,-5197086,125455,2747,122708,-5071631,-5071631,-5127920,-5127920,-5127920,-5127920,75859339,75859339,7714899,83574238,83574238,7276831,3618779,7763942,7763942,251497813,-175687517,75810296,75810296,83574238,-5127920,-1123301,-5436047,-11687268,59258979,47571711,47571711,47571711,1.6940658945086e-21,-0.06764,-0.06136,10.76441,0.10241,-2.01948391736579e-28,-0.07481,-0.07481,1.10595,-0.06764,14.59651
"41","2021_Q4",18.99984375,"Down",-11398655,-2434127,-8964528,-9991714,-149427,11453,-160880,-10141141,-10141141,-10180141,-10180141,-10180141,-10180141,157560045,157560045,8859456,166419501,166419501,8829941,4653234,9273772,9273772,343013387,-185867658,157145729,157145729,166419501,-10180141,2293925,365273,-7520943,89221649,81700706,81700706,81700706,0,-0.06478,-0.06117,17.94518,0.05901,0,-0.15327,-0.15327,2.36589,-0.06478,15.76907
"42","2022_Q1",12.2964516129032,"Down",-12251769,-2878983,-9372786,-11298526,-277384,7151.00000000006,-284535,-11575910,-11575910,-11718206,-11718206,-11718206,-11718206,152107745,152107745,9508745,161616490,161616490,10354555,5614774,10354555,10798386,348403968,-197585864,150818104,150818104,161616490,-11718206,3152008,891690,-7674508,2222208,-5452300,-5452300,-5452300,-1.05879118406788e-22,-0.0777,-0.07251,15.60825,0.0716,0,-0.166,-0.166,2.13655,-0.07747,13.46262
"43","2022_Q2",9.47209677419355,"Down",-15383955,-3317036,-12066919,-14650365,1658601,1267618,365983,-12991764,-12991764,-12971718,-12971718,-12971718,-12971718,151146355,151146355,5750013,156896368,156896368,10084831,5450040,10528662,10528662,354759781,-208468231,146367706,146367706,156896368,-12971718,5346508,1830953,-5794257,258243.999999993,-5536013,-5536013,-5536013,0,-0.08862,-0.08268,14.90183,0.07193,0,-0.18376,-0.18376,2.07242,-0.08862,10.3169
"44","2022_Q3",10.55328125,"Up",-7859182,-2665073,-5194109,-6946529,-1322105,-1255130,-41975.0000000001,-8268634,-8268634,-8348460,-8348460,-8348460,-8348460,153342556,153342556,6933592,160276148,160276148,7627276,4995388,8071107,8071107,371033920,-218906042,152205041,152205041,160276148,-8348460,3001722,-1999444,-7346182,14117006,6770824,6770824,6770824,0,-0.05485,-0.05209,19.85801,0.05303,0,-0.10985,-0.10985,2.00174,-0.05485,22.0747
