"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2016_Q3",41.015625,"Up",57874000,-29750000,28124000,-37215000,-23035000,-14180000,-9091000,-1908000,-1905000,-3000.00000000001,-10999000,-10999000,-5000,-11004000,-11004000,-11004000,-11004000,67998000,56929000,28440000,28440000,9009000,6147000,105447000,55763000,3547000,536000,1634000,1377000,59310000,164757000,35202000,7445000,27757000,33530000,33530000,105617000,38341000,52590000,50067000,2523000,90931000,196548000,2.77555756156289e-17,320907000,-352698000,-31791000,-31791000,164757000,-11004000,3267000,6167000,1152000,-418000,-2354000,2345999.99999999,3.4e+07,1430000,1430000,-2682000,32748000,34676000,34676000,34676000,-5824000,75226000,-7021000,0.48595,-0.15708,-0.19014,0.34614,-0.06679,0.63804,0.99839,-6.1825,0.45659,-0.37353,-0.37353,1.96454,-1.07915,-0.23833,-0.1146,-0.07312,-1.24107,-0.79507
"13","2016_Q4",31.9028571428571,"Down",58022000,-29112000,28910000,-35434000,-21353000,-14081000,-6524000,-2074000,-1941000,-133000,-8598000,-8598000,-5000,-8603000,-8603000,-8603000,-8603000,55310000,50800000,27538000,27538000,9137000,5610000,91985000,57874000,3500000,472000,1634000,1394000,61374000,153359000,35816000,4189000,31627000,34899000,34899000,87732000,53284000,47785000,44811000,2974000,101069000,188801000,0,325859000,-361301000,-35442000,-35442000,153359000,-8603000,3309000,6573000,-1906000,-627000,-5897000,603000,-4e+06,525000,525000,-2630000,-6105000,-6129000,-6129000,-6129000,-3215000,70301000,-11013000,0.49826,-0.11244,-0.14827,0.24273,-0.0561,1.28013,1.04848,-5.32704,0.45841,-0.29012,-0.29012,1.95666,-1.1952,-0.37139,-0.1041,-0.13326,-4.66283,-2.29782
"14","2017_Q1",28.6459677419355,"Down",65835000,-35149000,30686000,-36038000,-22704000,-13334000,-5352000,-2033000,-2079000,46000,-7385000,-7385000,-2000,-7387000,-7387000,-7387000,-7387000,58860000,56853000,28340000,28340000,9075000,4449000,96275000,80518000,3617000,408000,1634000,1575000,84135000,180410000,34043000,5829000,28214000,35426000,35426000,92073000,78180000,43468000,40412000,3056000,121648000,213721000,2.22044604925031e-16,335089000,-368400000,-33311000,-33311000,180410000,-7387000,3454000,6556000,-4586000,-1963000,-1844000,656000,4620999.99999999,4752000,4752000,-2013000,7360000,6053000.00000001,6053000.00000001,6053000.00000001,-1898000,100784000,-8326000,0.4661,-0.08129,-0.1122,0.22176,-0.04095,1.12712,1.04564,-6.41593,0.55864,-0.24596,-0.24596,2.19206,-1.10913,-0.27723,-0.06658,-0.07505,-22.08851,-7.83333
"15","2017_Q2",32.0833333333333,"Up",57623000,-32202000,25421000,-37961000,-25780000,-12181000,-12540000,-3043000,-2895000,-148000,-15583000,-15583000,0,-15583000,-15583000,-15583000,-15583000,57671000,57671000,23898000,23898000,9231000,5838000,90800000,78032000,3204000,343000,1634000,1227000,81236000,172036000,25911000,5024000,20887000,29545000,29545000,72610000,91383000,42200000,39366000,2834000,133583000,206193000,0,342322000,-376479000,-34157000,-34157000,172036000,-15583000,4005000,6431000,-2266000,-7413000,-2103000,-103000,8e+06,2454000,2454000,-2120000,8334000,818000,818000,818000,-8535000,108537000,-12904000,0.44116,-0.21762,-0.27043,0.45622,-0.09058,0.82808,1.25052,-6.03662,0.6309,-0.50828,-0.50828,1.87951,-1.11411,-0.4209,-0.13367,-0.11069,-5.9597,-4.0563
"16","2017_Q3",32.012380952381,"Down",55089000,-29696000,25393000,-36213000,-23740000,-12473000,-10820000,-3025000,-3024000,-1000,-13845000,-13845000,-5000,-13850000,-13850000,-13850000,-13850000,59395000,59395000,26952000,26952000,7154000,6247000,93501000,76410000,3129000,279000,1634000,1216000,79539000,173040000,28314000,5146000,23168000,32307000,32307000,83853000,88900000,35381000,32791000,2590000,124281000,208134000,-7.105427357601e-15,345891000,-380985000,-35094000,-35094000,173040000,-13850000,3940000,4776000,6151000,1017000,-1722000,-1722000,4e+06,707000,707000,-2278000,2429000,1724000,1724000,1724000,-6880000,112132000,-2446000,0.46095,-0.19641,-0.25141,0.39465,-0.08004,0.17661,1.11506,-5.93076,0.64801,-0.44563,-0.44563,1.77253,-1.12918,-0.0787,-0.1232,-0.02176,-7.66526,-4.87403
"17","2017_Q4",27.7220634920635,"Down",56251000,-31310000,24941000,-35888000,-23320000,-12568000,-10947000,-3054000,-3063000,9000,-14001000,-14001000,-5000,-14006000,-14006000,-14006000,-14006000,54573000,54573000,33332000,33332000,5417000,5417000,93322000,75035000,2863000,215000,1634000,1014000,77898000,171220000,22306000,1401000,20905000,32649000,32649000,86350000,88378000,33453000,31149000,2304000,121831000,208181000,0,350698000,-387659000,-36961000,-36961000,171220000,-14006000,3903000,6361000,-4930000,-8672000,-2326000,-2326000,8e+06,411000,411000,-2235000,6176000,-4822000,-4822000,-4822000,-7044000,119773000,-14295000,0.44339,-0.19461,-0.24899,0.37894,-0.0818,1.02063,1.08074,-5.63245,0.69953,-0.44913,-0.44913,1.80381,-1.18523,-0.4584,-0.12047,-0.12295,-9.2561,-5.95597
"18","2018_Q1",25.0581967213115,"Down",67879000,-34174000,33705000,-37338000,-25011000,-12327000,-3633000,-3217000,-3217000,-3.63797880709171e-12,-6850000,-6850000,-5000,-6855000,-6855000,-6855000,-6855000,55335000,55335000,30091000,30091000,15859000,15859000,101285000,72681000,18037000,150000,1634000,16253000,90718000,192003000,27620000,4260000,23360000,43804000,43804000,98847000,87843000,14032000,11223000,2809000,101875000,200722000,0,352527000,-361246000,-8719000,-8719000,192003000,-6855000,4058000,6301000,5627000,9131000,-2128000,-2128000,-4e+06,143000,143000,-2384000,-6241000,761999.999999999,761999.999999999,761999.999999999,425000.000000001,115266000,3929000,0.49655,-0.05352,-0.10099,0.78621,-0.0357,-0.57316,1.02466,-23.02122,0.60033,-0.2191,-0.2191,2.16955,-0.27868,0.12558,-0.05685,0.03258,141.01412,-16.49628
"19","2018_Q2",31.3515625,"Up",62363000,-31403000,30960000,-41633000,-29610000,-12023000,-10673000,-3125000,-3125000,0,-13798000,-13798000,-4000,-13802000,-13802000,-13802000,-13802000,54785000,54785000,29678000,29678000,15077000,15077000,99540000,71233000,16982000,86000,1634000,15262000,88215000,187755000,27444000,5557000,21887000,36167000,36167000,91327000,94970000,19432000,16733000,2699000,114402000,205729000,0,357074000,-375048000,-17974000,-17974000,187755000,-13802000,3930000,6563000,-374000,-3683000,-1641000,-1641000,7e+06,222000,222000,-2448000,4774000,-550000,-550000,-550000,-6743000,122686000,-8754000,0.49645,-0.17114,-0.22132,0.76789,-0.07351,0.63426,1.08993,-11.44592,0.65344,-0.44049,-0.44049,1.99031,-0.57364,-0.27938,-0.11118,-0.07051,-10.06985,-6.36194
"20","2018_Q3",38.4650793650794,"Up",60581000,-30721000,29860000,-40915000,-28787000,-12128000,-11055000,-3201000,-3214000,13000,-14256000,-14256000,-5000,-14261000,-14261000,-14261000,-14261000,53292000,53292000,26771000,26771000,13776000,13776000,93839000,71382000,16081000,21000,1634000,14426000,87463000,181302000,26851000,845000,26006000,36868000,36868000,96114000,96011000,16689000,14100000,2589000,112700000,208814000,0,361797000,-389309000,-27512000,-27512000,181302000,-14261000,4027000,6558000,2586000,-1090000,-1920000,-1920000,4e+06,48000,48000,-2531000,1517000,-1493000,-1493000,-1493000,-7028000,128406000,-6357000,0.49289,-0.18248,-0.2354,0.51836,-0.07866,0.44576,0.97633,-7.58992,0.70824,-0.44832,-0.44832,1.90449,-0.8649,-0.19985,-0.12128,-0.05406,-10.68782,-6.79457
"21","2018_Q4",41.7650793650794,"Up",61006000,-31740000,29266000,-37600000,-26924000,-10676000,-8334000,-3251000,-3253000,2000,-11585000,-11585000,-13000,-11598000,-11598000,-11598000,-11598000,51065000,51065000,27624000,27624000,10780000,10780000,89469000,70208000,15472000,0,1634000,13838000,85680000,175149000,30632000,6868000,23764000,37711000,37711000,102458000,95910000,12353000,9873000,2480000,108263000,210721000,0,365335000,-400907000,-35572000,-35572000,175149000,-11598000,3955000,5228000,3206000,791000,-2294000,-2294000,2e+06,192000,192000,-2916000,-724000,-2227000,-2227000,-2227000,-4379000,130025000,-3454000,0.47972,-0.13661,-0.19011,0.32604,-0.06622,0.29781,0.87323,-5.92379,0.74237,-0.36366,-0.36366,1.91288,-1.11538,-0.1083,-0.10859,-0.03234,-18.03151,-9.47444
"22","2019_Q1",51.1024590163934,"Up",74771000,-35413000,39358000,-48995000,-35920000,-13075000,-9637000,-3323000,-3314000,-9000,-12960000,-12960000,-6000,-12966000,-12966000,-12966000,-12966000,190928000,190928000,21077000,21077000,16667000,16667000,228672000,69965000,15302000,-4.65661287307739e-10,1634000,13668000,85267000,313939000,37417000,8687000,28730000,41026000,36540000,78443000,233808000,11898000,9323000,2575000,245706000,324149000,1.45519152283669e-11,403663000,-413873000,-10210000,-10210000,313939000,-12966000,3903000,18411000,3615000,12963000,-2435000,-2435000,164754000,250000,250000,-35669000,129335000,139863000,139863000,139863000,-5734000,233808000,-4548000,0.52638,-0.12889,-0.17341,1.26993,-0.0413,0.35076,2.91514,-31.74819,0.74476,-0.40531,-0.40531,2.33728,-0.31916,-0.14217,-0.05506,-0.01931,-7.4782,-4.44952
"23","2019_Q2",33.5674603174603,"Down",68299000,-32852000,35447000,-44505000,-31415000,-13090000,-9058000,-5145000,-5154000,9000,-14203000,-14203000,-6000,-14209000,-14209000,-14209000,-14209000,144158000,144158000,28247000,28247000,19039000,19039000,191444000,27324000,122261000,14411000,12304000,95546000,149585000,341029000,29054000,4755000,24299000,43097000,36326000,72151000,268537000,10731000,10569000,162000,279268000,351419000,0,410005000,-420395000,-10390000,-10390000,341029000,-14209000,5335000,9390000,-2.1e+07,-20484000,-2955000,-23988000,-357000,89000,89000,-2030000,-2298000,-46770000,-46770000,-46770000,-3723000,268537000,-27672000,0.519,-0.13262,-0.20804,1.36756,-0.04167,1.9475,2.65338,-33.82281,0.78743,-0.44324,-0.44324,2.13055,-0.32411,-0.86321,-0.05285,-0.10292,-33.40827,-13.7314
"24","2019_Q3",25.6440625,"Down",68579000,-32802000,35777000,-45564000,-31103000,-14461000,-9787000,-5148000,-5075000,-73000,-14935000,-14935000,-3000,-14938000,-14938000,-14938000,-14938000,138389000,138389000,32395000,32395000,17070000,17070000,187854000,28803000,118581000,13804000,12857000,91920000,147384000,335238000,31198000,6623000,24575000,43182000,36937000,74380000,270186000,9751000,9613000,138000.000000001,279937000,354317000,1.16415321826935e-10,416254000,-435333000,-19079000,-19079000,335238000,-14938000,5614000,6505000,2842000,23000,-4446000,-4327000,0,45000.0000000001,45000,-1510000,-1465000,-5768999.99999997,-5768999.99999997,-5768999.99999997,-4173000,270186000,-5774000,0.52169,-0.14271,-0.21782,0.78296,-0.04456,0.38653,2.5256,-18.57105,0.80595,-0.45798,-0.45798,2.10257,-0.58494,-0.17703,-0.05726,-0.02213,-31.58327,-13.46654
"25","2019_Q4",22.6340625,"Down",71665000,-35588000,36077000,-43387000,-29299000,-14088000,-7310000,-5250000,-5253000,3000,-12560000,-12560000,-17000,-12577000,-12577000,-12577000,-12577000,130699000,130699000,34672000,34672000,15312000,15312000,180683000,28689000,118776000,13236000,12857000,92683000,147465000,328148000,32446000,8552000,23894000,40933000,33911000,73379000,274507000,7331000,7216000,115000,281838000,355217000,0,420841000,-447910000,-27069000,-27069000,328148000,-12577000,5680000,7110000,-3267000,-3054000,-3203000,-3203000,0,171000,171000,-1604000,-1433000,-7690000,-7690000,-7690000,-1630000,274507000,-8083000,0.50341,-0.102,-0.1755,0.46463,-0.03833,0.64268,2.46233,-13.12265,0.83653,-0.38453,-0.38453,2.19107,-0.8276,-0.24713,-0.04937,-0.03173,-88.22577,-19.67278
"26","2020_Q1",15.1643548387097,"Down",87143000,-42848000,44295000,-42646000,-29561000,-13085000,1649000,-5439000,-5429000,-10000,-3790000,-3790000,-1000,-3791000,-3791000,-3791000,-3791000,130976000,130976000,33754000,33754000,21523000,21523000,186253000,28669000,116761000,12667000,12857000,91237000,145430000,331683000,35335000,9563000,25772000,40300000,33429000,75635000,187949000,93743000,5079000,88664000,281692000,357327000,-19479828.9802828,426058000,-451702000,-25644000,-25644000,331683000,-3791000,5722000,7960000,-4751000,5140000,-2644000,-2644000,-1270000,148000,147999.999999999,-1097000,-2219000,277000.000000007,277000.000000007,277000.000000007,7371000,187949000,-23000,0.5083,0.01892,-0.0435,0.14783,-0.01143,0.00606999999999991,2.46252,-13.93414,0.56665,-0.11566,-0.11566,2.65862,-0.78237,-0.000699999999999951,-0.01481,-9.00000000000137e-05,7.72934000000002,34.55003
"27","2020_Q2",10.9384126984127,"Down",66154000,-33912000,32242000,-37913000,-26145000,-11768000,-5671000,-5460000,-5465000,5000,-11131000,-11131000,-5000,-11136000,-11136000,-11136000,-11136000,114714000,114714000,33450000,33450000,21271000,21271000,169435000,31507000,112679000,12099000,12857000,87723000,144186000,313621000,29482000,6300000,23182000,37976000,29736000,67458000,283764000,4871000,4803000,68000,288635000,356093000,1.49011611938477e-08,420425000,-462897000,-42472000,-42472000,313621000,-11136000,5884000,6670000,-8588000,-7170000,-3821000,-3821000,1e+07,-9310000,73000,-5961000,-5271000,-16262000,-16262000,-16262000,213000,283764000,-12191000,0.48738,-0.08572,-0.16833,0.2622,-0.03551,1.09474,2.51171,-8.38418,0.9048,-0.34119,-0.34119,2.02685,-1.30127,-0.37351,-0.04524,-0.04952,793.66197,-29.80956
"28","2020_Q3",10.97109375,"Up",62174000,-30397000,31777000,-32254000,-21209000,-11045000,-476999.999999999,-5763000,-5765000,2000,-6240000,-11856000,-6000,-11862000,-11862000,-11862000,-12324000,183496000,183496000,29872000,29872000,17851000,17851000,231219000,31430000,109551000,11530000,12857000,85164000,140981000,372200000,24281000,6648000,17633000,37556000,31020000,61837000,276137000,6638000,4638000,2e+06,282775000,344612000,79193000,423154000,-474759000,27588000,27588000,372200000,-11862000,6221000,6363000,4314000,5036000,-3254000,-3254000,-1e+07,79708000,79992000,-2708000,6.7e+07,68782000,68782000,68782000,5744000,276137000,6810000,0.5111,-0.00767,-0.19822,-0.44672,-0.03311,-0.55258,3.73917,12.49137,0.7419,-0.38442,-0.38442,1.93939,-1.60971,0.21242,-0.03971,0.02194,16.1283099999999,-194.21593
"29","2020_Q4",12.19578125,"Up",63583000,-30113000,33470000,-33268000,-21829000,-11439000,202000,-5730000,-5731000,1000,-5528000,-4390000,-6000,-4396000,-4396000,-4396000,-5996000,176047000,108240000,29899000,29899000,14021000,14021000,219967000,30502000,106243000,10962000,12857000,82424000,136745000,356712000,26327000,2475000,23852000,34536000,28239000,60863000,262371000,8125000,4543000,3582000,270496000,331359000,79193000,425315000,-479155000,25353000,25353000,356712000,-4396000,6374000,5696000,5534000,13208000,-2664000,-70449000,-15254000,-360000,-360000,-2401000,-18015000,-75256000,-75256000,-75256000,6576000,262371000,9452000,0.5264,0.00318,-0.0943,-0.2365,-0.01681,-1.57638,3.61413,13.06981,0.73553,-0.18585,-0.18585,1.97076,-1.66877,0.29296,-0.02027,0.03195,13.12713,427.34653
