"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q1",19.4975409836066,"Down",81241000,-43342000,37899000,-28692000,-24716000,-10423000,-14293000,-3976000,9207000,2338000,-4263000,6601000,11545000,11264000,85862000,97126000,97126000,97126000,97126000,76290000,76290000,40259000,40259000,26080000,5221000,5221000,147850000,92999000,143009000,11798000,15714000,28487000,236008000,383858000,4.4e+07,17464000,26536000,2750000,46750000,265393000,48424000,48424000,313817000,360567000,233338000,-209013000,-1034000,23291000,23291000,383858000,97126000,4212000,-82490000,-5762000,13086000,-5954000,-5954000,-715000,2037000,2037000,-172000,1150000,8282000,8282000,-69000,8213000,13419000,268143000,-84159000,0.4665,0.11333,1.19553,4.17011,0.25303,-0.86649,3.16257,15.48096,0.69855,2.58417,2.49073,2.16153,0.61969,-2.23916,0.28578,-0.24763,14.29712,20.83773
"12","2018_Q2",15.39109375,"Down",82630000,-40321000,42309000,-27172000,-23183000,-10640000,-12543000,-3989000,15137000,-3130000,-4050000,920000,12007000,12007000,-3796000.00000001,8211000,8211000,8211000,8211000,73739000,73739000,47834000,47834000,32086000,5598000,5598000,159257000,93777000,139555000,11106000,15714000,29080000,233332000,392589000,42646000,21012000,21634000,2750000,45396000,264972000,48557000,48557000,313529000,358925000,235145000,-200447000,-1034000,33664000,33664000,392589000,8211000,3596000,6408000,-18881000,-665999.999999998,-1135000,-1135000,-715000,720000,720000,-709000,-704000,-2505000,-2505000,-46000,-2551000,18733000,267722000,2513000.00000001,0.51203,0.18319,0.09937,0.243909999999999,0.02092,0.30605,3.50817,10.66198,0.68194,0.21673,0.20791,2.18102,0.88856,0.0663299999999998,0.02346,0.00717999999999999,10.35515,12.81515
"13","2018_Q3",14.6095238095238,"Down",85573000,-41727000,43846000,-27920000,-23705000,-12130000,-11575000,-4215000,15926000,-3962000,-4298000,336000,11964000,11964000,-2219000,9745000,9745000,9745000,9745000,86464000,86464000,44192000,44192000,31474000,4925000,4925000,167055000,96817000,137931000,10409000,15714000,29769000,234748000,401803000,40499000,15313000,25186000,2750000,43249000,264551000,49470000,49470000,314021000,357270000,236265000,-190702000,-1030000,44533000,44533000,401803000,9745000,3493000,5253000,1785000,20276000,-5626000,-5626000,-716000,626000,626000,-1723000,-1813000,12837000,12837000,-112000,12725000,19419000,267301000,17797000,0.51238,0.18611,0.11388,0.21883,0.02425,1.82627,3.86263,8.02259,0.66525,0.25488,0.24735,2.2382,1.16478,0.46549,0.02697,0.04926,9.31237,11.35483
"14","2018_Q4",15.3114285714286,"Up",88900000,-44015000,44885000,-28403000,-24087000,-10478000,-13609000,-4316000,16482000,-3647000,-4446000,799000,12835000,12835000,-3566000,9269000,9269000,9269000,9269000,104584000,104584000,47135000,47135000,34572000,4669000,4669000,190960000,99407000,134451000,9727000,15714000,29652000,233858000,424818000,51827000,20363000,31464000,2750000,54577000,264130000,50603000,50603000,314733000,369310000,237972000,-181432000,-1032000,55508000,55508000,424818000,9269000,3455000,6696000,4857000,24277000,-5005000,-5005000,-715000,234000,234000,-736000,-1217000,18055000,18055000,65000,18120000,19937000,266880000,23355000,0.50489,0.1854,0.10426,0.16698,0.02182,2.51969,3.49891,6.65328,0.62822,0.24175,0.23524,2.31861,1.44771,0.60912,0.02485,0.06262,8.14044,9.84686
"15","2019_Q1",19.9883606557377,"Up",86271000,-42426000,43845000,-26902000,-22351000,-9911000,-12440000,-4551000,16943000,-4201000,-4611000,410000,12742000,12742000,551000,13293000,13293000,13293000,13293000,113401000,113401000,43753000,43753000,33019000,5242000,5242000,195415000,107888000,136528000,9133000,15714000,30232000,244416000,439831000,50005000,17955000,32050000,2750000,52755000,263709000,52365000,52365000,316074000,368829000,240250000,-168140000,-1108000,71002000,71002000,439831000,13293000,3385000,1997000,-1369000,17306000,-7366000,-7366000,-716000,0,0,-218000,-934000,9006000,9006000,-189000,8817000,20328000,266459000,11042000,0.50822,0.19639,0.15408,0.18722,0.03022,0.83066,3.7042,5.19463,0.60582,0.34553,0.33474,2.24249,1.8456,0.28702,0.0341,0.02833,7.52942,9.0337
"16","2019_Q2",25.3926984126984,"Up",86510000,-42426000,44084000,-27915000,-22986000,-10397000,-12589000,-4929000,16169000,-3405000,-4592000,1187000,12764000,12764000,-2815000,9949000,9949000,9949000,9949000,112061000,112061000,45021000,45021000,32044000,6372000,6372000,195498000,112211000,136199000,8686000,15714000,32044000,248410000,443908000,39914000,15323000,24591000,2854000,42768000,263293000,54634000,54634000,317927000,360695000,242456000,-158191000,-1052000,83213000,83213000,443908000,9949000,3323000,5096000,-7900000,10468000,-10550000,-10550000,-717000,606000,606000,-1120000,-1231000,-1313000,-1313000,-27000.0000000001,-1340000,19492000,266147000,3857000,0.50958,0.1869,0.115,0.11956,0.02241,0.38768,4.57113,4.3346,0.59955,0.25773,0.25006,2.24102,2.15561,0.09991,0.02463,0.00955,7.90509,9.52972
"17","2019_Q3",24.6225,"Down",85705000,-41132000,44573000,-30036000,-24241000,-10948000,-13293000,-5795000,14537000,-3231000,-4543000,1312000,11306000,8110000,-1698000,6412000,6412000,6412000,6412000,56885000,56885000,45527000,45527000,32414000,5035000,5035000,139861000,113117000,137272000,8239000,15714000,34149000,250389000,390250000,43221000,17149000,26072000,10136000,53357000,188706000,55940000,55940000,244646000,298003000,244990000,-151779000,-964000,92247000,92247000,390250000,6412000,3254000,8228000,3159000,21053000,-3434000,-3434000,-70069000,-1914000,-1914000,-944000,-72927000,-55308000,-55308000,132000,-55176000,17791000,198842000,19214000,0.52007,0.16962,0.07481,0.06951,0.01643,2.99657,2.62123,3.23049,0.50952,0.16452,0.15894,2.19897,2.36682,0.49298,0.01848,0.05537,7.97915,9.76522
"18","2019_Q4",20.2271875,"Down",85776000,-44187000,41589000,-33072000,-28212000,-10151000,-18061000,-4860000,8517000,-3160000,-2356000,-804000,5357000,5357000,-501000,4856000,4856000,4856000,4856000,78062000,78062000,40632000,40632000,30596000,5096000,5096000,154386000,113531000,134492000,7786000,15714000,33247000,248023000,402409000,49420000,16492000,32928000,10166000,59586000,186373000,55284000,55284000,241657000,301243000,249086000,-146923000,-997000,101166000,101166000,402409000,4856000,3263000,6007000,12316000,26442000,-3336000,-3336000,-2573999.99999999,3054000,3054000,-2380000,-1900000,21206000,21206000,-29000,21177000,11780000,196539000,21261000,0.48486,0.09929,0.05661,0.048,0.01207,4.37829,2.59098,2.97771,0.48841,0.12412,0.12067,2.19236,2.58571,0.54341,0.01376,0.06023,10.05747,13.91065
"19","2020_Q1",15.9820967741935,"Down",89346000,-44781000,44565000,-32127000,-27693000,-10392000,-17301000,-4434000,12438000,-10042000,-2126000,-7916000,2396000,2396000,8054000,10450000,10450000,10450000,10450000,92919000,92919000,43529000,43529000,29180000,7283000,7283000,172911000,116497000,116511000,7336000,15714000,21627000,233008000,405919000,55968000,18608000,37360000,10143000,66111000,183927000,41280000,41280000,225207000,291318000,252034000,-136473000,-960000,114601000,114601000,405919000,10450000,3539000,9197000,-765000,22421000,-4741000,-4741000,-2555000,0,0,-268000,-2823000,14857000,14857000,0,14857000,15977000,194070000,2417000,0.49879,0.13921,0.11696,0.09119,0.02574,0.23129,2.61546,2.54202,0.4781,0.26625,0.26071,2.27639,2.91985,0.06158,0.02986,0.00691,6.33104,8.13242
"20","2020_Q2",13.2149206349206,"Down",90704000,-52702000,38002000,-30877000,-26829000,-10130000,-16699000,-4048000,7125000,-1596000,-1946000,349999.999999999,5529000,5529000,-2192000,3337000,3337000,3337000,3337000,95713000,95713000,44883000,44883000,30814000,8967000,8967000,180377000,108613000,115135000,6930000.00000001,15714000,22037000,223748000,404125000,51816000,18980000,32836000,10143000,61959000,181488000,42280000,42280000,223768000,285727000,253928000,-133136000,-2394000,118398000,118398000,404125000,3337000,3732000,13089000,-10750000,9408000,-2698000,-2698000,-2551000,366000,366000,-1547000,-3732000,2978000,2978000,-184000,2794000,10857000,191631000,-399000,0.41897,0.07855,0.03679,0.02818,0.00826,-0.11957,2.91123,2.41328,0.47419,0.08462,0.08321,2.30021,3.00251,-0.01012,0.00947,-0.00113000000000001,8.83466999999999,13.46218
"21","2020_Q3",13.71359375,"Up",66010000,-40162000,25848000,-31393000,-26975000,-6305000,-20670000,-4418000,-5545000,-1158000,-1914000,756000,-6703000,-6703000,-309000,-7012000,-7012000,-7012000,-7012000,90309000,90309000,46883000,46883000,35334000,8630000,8630000,181156000,122903000,575636000,389512000,57765000,60918000,698539000,879695000,59193000,16301000,42892000,17143000,76336000,210010000,77766000,77766000,287776000,364112000,658337000,-140148000,-2606000,515583000,515583000,879695000,-7012000,4032000,4196000,-3372000,-2156000,-2255000,5307000,-4481000,50000.0000000002,50000.0000000002,-2055000,-6486000,-3335000,-3335000,72000,-3263000,-1513000,227153000,-6831000,0.39158,-0.084,-0.10623,-0.0136,-0.00797,0.97419,2.37314,0.70621,0.25822,-0.16256,-0.16512,1.53031,11.95278,-0.15836,-0.00855,-0.00833,-90.44547,-24.67881
"22","2020_Q4",13.0909375,"Down",88544000,-52284000,36260000,-41510000,-29826000,-11609000,-18217000,-11684000,-5250000,-2212000,-2808000,596000,-7462000,-7462000,1076000,-6386000,-6386000,-6386000,-6386000,87994000,87994000,49206000,49206000,37623000,9709000,9709000,184532000,122381000,572681000,384747000,57765000,60824000,695062000,879594000,63862000,24070000,39792000,18138000,8.2e+07,204669000,79346000,79346000,284015000,366015000,662623000,-146534000,-2510000,513579000,513579000,879594000,-6386000,8531000,3564000,2866000,8575000,-3736000,-3736000,-4134000,344000,344000,-3480000,-7270000,-2431000,-2431000,116000,-2315000,3281000,222807000,1335000,0.40951,-0.05929,-0.07212,-0.01243,-0.00726,-0.20905,2.25039,0.71268,0.25331,-0.0953,-0.0953,1.32143,7.66467,0.01992,-0.00783,0.00164,41.089,-25.67867
"23","2021_Q1",18.1424590163934,"Up",94152000,-55501000,38651000,-39179000,-26541000,-12857000,-13684000,-12638000,-528000,-2315000,-2811000,496000,-2843000,-2843000,-569000,-3412000,-3412000,-3412000,-3412000,79612000,79612000,54002000,54002000,35744000,14867000,9625000,184225000,120171000,565425000,376012000,58632000,60634000,685596000,869821000,58010000,16284000,41726000,20701000,80504000,197699000,77413000,77413000,275112000,355616000,666199000,-149946000,-2048000,514205000,514205000,869821000,-3412000,8394000,4561000,-8974000,569000,-3785000,-3785000,-4325000,0,0,-48000,-4373000,-7589000,-7589000,148000,-7441000,7866000,218400000,-4324000,0.41052,-0.00561,-0.03624,-0.00664,-0.00392,1.26729,2.2884,0.69158,0.25109,-0.05095,-0.05095,1.40605,7.67906,-0.06457,-0.00421,-0.00534,17.64404,-262.85606
"24","2021_Q2",22.9484126984127,"Up",92509000,-51479000,41030000,-40671000,-30311000,-14173000,-16138000,-10360000,358999.999999998,-2169000,-2718000,549000,-1810000,14342000,-5334000,9008000,9008000,9008000,9008000,68861000,68861000,58991000,58991000,30357000,10145000,10145000,168354000,118381000,556713000,371331000,61189000,61361000,675094000,843448000,54339000,19099000,35240000,10251000,64590000,171474000,79265000,79265000,250739000,315329000,670297000,-140938000,-1240000,528119000,528119000,843448000,9008000,8123000,-5965000,-1348000,9818000,13303000,13303000,-35572000,2380000,2380000,-1599000,-34791000,-11670000,-11670000,-21000,-11691000,8482000,181725000,25771000,0.44352,0.00388000000000001,0.09737,0.01706,0.01068,2.8609,2.6065,0.59708,0.21545,0.13426,0.13303,1.3788,7.87133,0.3841,0.01142,0.03266,13.3063,314.3844
"25","2021_Q3",26.12375,"Up",101064000,-54976000,46088000,-72869000,-60808000,-15888231.7532861,-23014902.9428307,-12061000,-26781000,-1755000,-1937000,182000,-28536000,-28536000,1879000,-26657000,-26657000,-26657000,-26657000,91500000,91500000,54892000,54892000,31719000,8102000,8102000,186213000,118493000,553096000,365259000,61189000,61871000,671589000,857802000,63454000,21471000,41983000,10372000,73826000,169249000,106587000,106587000,275836000,349662000,676735000,-167595000,-1e+06,508140000,508140000,857802000,-26657000,9626000,29624000,13276000,25869000,-2656000,-2656000,-2565000,2043000,2043000,-193000,-715000,22498000,22498000,141000,22639000,-17155000,179621000,-8414000,0.45603,-0.26499,-0.26376,-0.05246,-0.03108,0.31564,2.52232,0.68812,0.2094,-0.39488,-0.39854,1.49711,7.52733,-0.12464,-0.03356,-0.01059,-5.13675,-3.29043
"26","2021_Q4",26.59859375,"Up",102073000,-59404000,42669000,-56997000,-45745000,-17482242.3377148,-30823403.9237742,-11252000,-14328000,-5509000,-1569000,-3940000,-19837000,-19837000,6422000,-13415000,-13415000,-13415000,-13415000,91475000,91475000,64054000,64054000,33949000,12043000,12043000,201521000,116441000,529854000,356883000,61189000,45289000,646295000,847816000,66547000,20508000,46039000,10356000,76903000,166741000,104828000,104828000,271569000,348472000,681496000,-181010000,-1142000,499344000,499344000,847816000,-13415000,12339000,15500000,-10084000,4340000,-2420000,-2420000,-2620000,961000,961000,-66999.9999999995,-1726000,194000,194000,-219000,-25000,-1989000,177097000,-20915000,0.41802,-0.14037,-0.13143,-0.02687,-0.01582,1.55908,2.62046,0.69786,0.20889,-0.19837,-0.19837,1.50935,7.3838,-0.30927,-0.01717,-0.02677,-43.04776,-5.97585000000002
"27","2022_Q1",37.5224193548387,"Up",129562000,-71654000,57908000,-93246000,-81953000,-18966881.7532861,-36651702.9428307,-11293000,-35338000,-5669000,-1528000,-4141000,-41007000,-41007000,792000,-40215000,-40215000,-40215000,-40215000,98508000,98508000,89336000,89336000,35129000,12818000,12818000,235791000,116772000,511221000,348510000,61189000,38758000,627993000,863784000,78855000,20787000,58068000,11642000,90497000,163121000,145727000,145727000,308848000,399345000,686149000,-221225000,-485000,464439000,464439000,863784000,-40215000,12200000,57181000,-15277000,13889000,-4544000,-4544000,-2591000,678000,678000,-187000,-2100000,7245000,7245000,-211000,7034000,-23138000,174763000,-43751000,0.44695,-0.27275,-0.31039,-0.08659,-0.04656,1.08793,2.60551,0.85984,0.20232,-0.5891,-0.5891,1.89793,6.80347,-0.6409,-0.05123,-0.05574,-3.29566,-2.15788
"28","2022_Q2",63.0390322580645,"Up",208880000,-79810000,129070000,-70145000,-57942000,-20354000,-37588000,-12203000,58925000,-1024000,-1509000,485000,57901000,57901000,-14939000,42962000,42962000,42962000,42962000,105355000,105355000,172283000,172283000,34249000,12860000,12860000,324747000,116959000,491460000,340204000,61189000,42199000,608419000,933166000,164779000,22383000,142396000,12878000,177657000,159369000,80290000,80290000,239659000,417316000,692202000,-178263000,1911000,515850000,515850000,933166000,42962000,11786000,42090000,-86574000,10264000,-1390000,-1390000,-2609000,5934000,5934000,-5504000,-2179000,6695000,6695000,151000,6846000,70711000,172247000,-2314000,0.61791,0.2821,0.20568,0.08328,0.04604,-0.05386,1.82794,0.80899,0.18458,0.63447,0.63447,3.08478,7.61818,-0.03417,0.05591,-0.00301000000000001,0.94599,1.13521
"29","2022_Q3",75.73875,"Up",223723000,-85694000,138029000,-74825000,-60090000,-21655447.0778565,-30720495.0952822,-14735000,63204000,-1159000,-1469000,310000,62045000,62045000,-18987000,43058000,43058000,43058000,43058000,171427000,171427000,187051000,187051000,33958000,11986000,11986000,404422000,119004000,490398000,331898000,61189000,42156000,609402000,1013824000,204951000,21153000,183798000,14065000,219016000,155664000,71812000,71812000,227476000,446492000,700213000,-135205000,2324000,567332000,567332000,1013824000,43058000,12107000,10791000,6641000,72597000,-4343000,-4343000,-2610000,1423000,1423000,-824000,-2011000,66243000,66243000,-170000,66073000,75311000,169729000,96596000,0.61696,0.28251,0.19246,0.0759,0.04247,2.24339,1.84654,0.787,0.16741,0.62699,0.6082,3.25775,8.26123,1.40659,0.05323,0.11942,-0.02255,-0.02687
