"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","impairment_of_goodwill_intangibles","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",6.87870967741936,"Down",950300000,922600000,-224100000,726200000,-603400000,-416200000,-125300000,-61900000,130800000,-105700000,-107900000,2200000,25100000,7e+05,7e+05,25800000,-9500000,16300000,19300000,19300000,19300000,12300000,12300000,526200000,526200000,539700000,727200000,280800000,390200000,1805400000,12542700000,21499500000,-8956800000,1.96e+08,6294500000,3677300000,215700000,2.04e+09,19033200000,20838600000,1013300000,300100000,1.72e+08,157200000,3.84e+08,1048600000,665200000,524100000,2727100000,6819700000,5.881e+09,939700000,2784300000,2101300000,12700700000,15427800000,4582400000,3100000,4579300000,-40500000,925700000,-56800000,5410800000,5410800000,20838600000,16300000,125300000,4e+07,3800000,22900000,5200000,93200000,1.7e+08,-382900000,-404300000,1e+06,-382400000,-68400000,-106100000,-3800000,-3800000,346400000,346400000,171900000,-40500000,-23200000,-23200000,256100000,7868300000,-112100000,0.76418,0.13764,0.02031,0.00357,0.000929999999999999,-5.80829,0.66202,2.8513,0.37758,0.06647,0.06433,3.27264,18.63371,-0.38605,0.23556,0.00458,-0.00585,3.54404,30.67552,60.06116
"12","2013_Q1",7.59166666666667,"Up",1393600000,1355900000,-426600000,9.67e+08,-668400000,-452100000,-143900000,-72400000,306600000,-107500000,-103900000,-3600000,199100000,4.65661287307739e-10,0,199100000,-6.7e+07,132100000,1.34e+08,1.34e+08,1.34e+08,36300000,36300000,907300000,907300000,495700000,883400000,357200000,261400000,2322700000,12915900000,21902300000,-8986400000,194400000,6411700000,3677300000,243300000,2163800000,1.9522e+10,21844700000,1370100000,538900000,235500000,133700000,4.62e+08,1284100000,665100000,505500000,3319300000,6819100000,6.152e+09,1107300000,2978100000,2.064e+09,12971100000,16290400000,4600700000,3100000,4597600000,-40500000,1059600000,-65500000,5554300000,5554300000,21844700000,132100000,143900000,163800000,159800000,-7999999.99999999,-108600000,25600000,333700000,-474600000,-476600000,1900000,-473900000,-74400000,231500000,-3.2e+08,-3.2e+08,7100000,7099999.99999988,164200000,2.4e+07,22700000,22700000,450500000,8103200000,-65700000,0.69389,0.22001,0.09615,0.02413,0.00613,-0.490299999999999,0.69976,2.93293,0.37095,0.43221,0.42896,4.49498,17.91507,-0.21191,0.23997,0.01052,-0.00332,0.55522,17.90655,26.31083
"13","2013_Q2",8.3015625,"Up",1782200000,1.738e+09,-6.76e+08,1106200000,-684600000,-454300000,-143600000,-86700000,428700000,-94500000,-98600000,4100000,334200000,2e+05,2e+05,334400000,-118400000,2.16e+08,260500000,260500000,260500000,101400000,101400000,1070300000,1070300000,240700000,602500000,228100000,293900000,2014900000,13118900000,22194300000,-9075400000,190400000,6312200000,3666200000,260800000,2065200000,19621500000,21636400000,1280400000,527400000,258200000,1.43e+08,351800000,1220500000,473500000,378400000,2974400000,6803900000,6167400000,1066600000,3003900000,2.09e+09,12971300000,15945700000,4630600000,3100000,4627500000,-48100000,1170500000,-62300000,5690700000,5690700000,21636400000,252400000,143600000,89700000,117100000,-3.8e+07,-48900000,-167600000,449100000,-368800000,-369300000,1200000,-246100000,-74700000,-427100000,-427100000,-427100000,9600000,17200000,-137900000,65100000,-68700000,-68700000,572300000,8024400000,2.73e+08,0.62069,0.24055,0.14617,0.04578,0.01204,1.04798,0.67741,2.80206,0.37088,0.8373,0.83474,5.72834,18.29101,0.87747,0.2401,0.01686,0.01373,0.28676,13.84414,18.48146
"14","2013_Q3",8.56640625,"Up",1201500000,1144300000,-349300000,852200000,-666400000,-452400000,-143300000,-70700000,193800000,-88700000,-1.02e+08,13300000,105100000,2e+05,199999.999999999,105300000,-32900000,72400000,71700000,71700000,71700000,44500000,44500000,716500000,716500000,419700000,526300000,224400000,295500000,1.707e+09,13473900000,22643600000,-9169700000,189100000,6251600000,3666200000,279400000,1990900000,19914600000,21621600000,1214600000,3.93e+08,202100000,203300000,416200000,448400000,4.05e+08,352400000,2.068e+09,7616700000,6234200000,1020300000,3085600000,2086100000,13850900000,15918900000,4649100000,3100000,4.646e+09,-48500000,1164100000,-6.2e+07,5702700000,5702700000,21621600000,72400000,143300000,59700000,51500000,-4200000,168700000,138900000,445400000,-432200000,-432400000,-40100000,-4.72e+08,-74800000,392200000,791400000,-23900000,6600000,6899999.99999999,-30300000,-56900000,-58500000,-58500000,337100000,8065100000,106500000,0.70928,0.1613,0.05968,0.01257,0.00332,1.48536,0.82544,2.79147,0.37301,0.22967,0.22895,3.84869,18.26711,0.34114,0.2396,0.00732,0.00532,1.04324,23.79294,41.38596
"15","2013_Q4",9.03703125,"Up",1076800000,1015400000,-2.43e+08,833800000,-677700000,-468900000,-144500000,-64300000,166600000,-9.9e+07,-103700000,4700000,67600000,9800000,9800000,77400000,-27900000,49500000,48100000,48100000,48100000,14900000,14900000,5.91e+08,5.91e+08,594500000,528700000,246100000,276200000,1729100000,13912400000,2.3171e+10,-9258600000,201600000,6.241e+09,3666200000,327800000,1968600000,2.0355e+10,22084100000,1222900000,369600000,181300000,149900000,522100000,1.362e+09,420700000,390600000,3005600000,7089100000,6288500000,1003100000,3155400000,2105400000,13377600000,16383200000,4676100000,3200000,4672900000,-48600000,1133800000,-60400000,5700900000,5700900000,22084100000,4.8e+07,144500000,35600000,30500000,-11600000,-41300000,70200000,184100000,-478400000,-495600000,-51700000,-533200000,-78100000,388900000,-54200000,-54200000,11900000,1.2e+07,319500000,-29600000,-23800000,-23800000,311100000,8451100000,-180700000,0.77433,0.15472,0.04467,0.00844,0.00218,-3.75676,0.57529,2.87379,0.38268,0.15375,0.15328,3.44185,18.22218,-0.57758,0.24964,0.00617,-0.00884,1.6237,27.11733,50.63745
"16","2014_Q1",9.92754098360656,"Up",564900000,7.12e+08,-694700000,-129800000,65500000.0000001,121200000,-3.9e+07,-16700000,-89900000,-86300000,-7.1e+07,-15300000,-176200000,-11300000,-11300000,-187500000,70600000,-116900000,151800000,151800000,151800000,26800000,26800000,1005800000,1005800000,500400000,579800000,183100000,221400000,2112800000,14365100000,23621600000,-9256500000,2.04e+08,5.972e+09,3666200000,373700000,1656400000,20541100000,22653900000,1531800000,6.19e+08,254800000,136400000,521600000,1240800000,405800000,387300000,3178400000,7593200000,5995700000,527500000,3298700000,2152400000,13588900000,16767300000,4693300000,3200000,4690100000,-48600000,1285500000,-43600000,5886600000,5886600000,22653900000,-116900000,3.9e+07,-50500000,-80700000,21400000,28500000,113600000,358200000,7.7e+07,92200000.0000001,70600000,-640100000,-78300000,364600000,486600000,-5700000.00000003,7500000,7600000,293800000,11900000,341500000,341500000,-50900000.0000001,8.834e+09,-1.6e+07,-0.22978,-0.15914,0.26872,0.02579,0.0067,-0.105399999999999,0.66474,2.84838,0.38995,0.48429,0.4811,1.80221,18.78009,-0.0510399999999999,0.2498,0.01111,-0.00077,0.51581,-173.02947,-97.96663
"17","2014_Q2",10.6952380952381,"Up",2320500000,2243500000,-1061300000,1259200000,-7.51e+08,-501200000,-148700000,-101100000,5.18e+08,-104600000,-109100000,4500000,413400000,15700000,15700000,429100000,-162700000,266400000,266200000,266200000,266200000,3.8e+07,3.8e+07,1271200000,1271200000,225600000,6.71e+08,321100000,345800000,2205800000,14657700000,24016300000,-9358600000,203100000,6040700000,3666200000,407100000,1694500000,20901500000,23107300000,1620100000,714400000,278600000,1.54e+08,473100000,1.343e+09,377700000,369800000,3340800000,7638500000,6115900000,508100000,3412300000,2173700000,13754400000,17095200000,4718800000,3200000,4715600000,-58600000,1394400000,-42500000,6012100000,6012100000,23107300000,266400000,148700000,146100000,148900000,-16700000,-166800000,-302200000,3.94e+08,-3.81e+08,-386300000,-26900000,-407900000,-78500000,104700000,-9100000,-9100000,-1100000,8900000,25100000,11200000,11600000,11600000,666700000,8981500000,281600000,0.54264,0.22323,0.11472,0.04428,0.01152,1.05785,0.66026,2.84347,0.38869,0.84717,0.84475,7.38491,19.13329,0.89618,0.24982,0.01633,0.01334,0.29489,13.41458,17.26544
"18","2014_Q3",11.37796875,"Up",1335100000,1218400000,-371700000,963400000,-755600000,-533100000,-149100000,-73400000,218900000,-101600000,-109100000,7500000,117300000,700000.000000004,699999.999999996,1.18e+08,-39500000,78500000,78200000,78200000,78200000.0000001,1.8e+07,1.8e+07,8.24e+08,8.24e+08,469100000,667700000,320900000,346800000,1978800000,15088800000,2.4533e+10,-9444200000,201900000,5988300000,3666200000,437100000,1614800000,2.1279e+10,23257800000,1392500000,459600000,216100000,2.24e+08,492800000,1631100000,407800000,399100000,3431400000,7640600000,6157500000,466100000,3.491e+09,2180100000,13798100000,17229500000,4737900000,3200000,4734700000,-58800000,1390600000,-41400000,6028300000,6028300000,23257800000,78500000,149100000,43400000,37900000,-8500000,-13400000.0000001,87700000,2.57e+08,-465700000,-466600000,-2.4e+07,-489700000,-78700000,284400000,-4200000,-4200000,7e+06,7200000,212700000,-2e+07,-19400000,-19400000,3.68e+08,9271700000,-71600000,0.72159,0.16396,0.05857,0.01297,0.00336,-0.9156,0.57667,2.8581,0.39865,0.24824,0.24739,4.23824,19.13667,-0.22729,0.24983,0.00731,-0.00334,1.00639,25.14592,42.27364
"19","2014_Q4",12.20171875,"Up",223500000,406800000,-336600000,-113100000,-39200000,43800000,-65300000,-17700000,-173200000,-67800000,-69200000,1400000,-2.41e+08,-17900000,-17900000,-258900000,90700000,-168200000,31400000,31400000,31400000,17700000,17700000,639300000,639300000,667600000,632300000,103600000,2.97e+08,1956900000,15586500000,25119700000,-9533200000,211700000,5.955e+09,3666200000,443500000,1577900000,21753200000,23710100000,1338700000,427700000,189300000,163800000,557900000,1329800000,3.8e+08,373500000,3048500000,8397400000,6256900000,425600000,3.559e+09,2251400000,14654300000,17702800000,4767900000,3200000,4764700000,-58900000,1339900000,-41600000,6007300000,6007300000,23710100000,30900000,65300000,-224600000,-76700000,-170200000,-104800000,-31600000,235500000,-6.6e+07,-61400000,35400000,-614600000,-8.2e+07,454500000,244600000,-503800000,6300000,6300000,378800000,-3e+05,1.15e+08,1.15e+08,-107900000,9727200000,-369400000,-0.50604,-0.77494,0.14049,0.00523,0.00132,-11.76433,0.64192,2.94688,0.41026,0.09955,0.09955,0.70858,19.04552,-1.17114,0.25997,0.00516,-0.0168,2.61146,-89.9861,-56.05947
"20","2015_Q1",12.7729508196721,"Up",1393300000,1388500000,-603300000,7.9e+08,-561600000,-376800000,-123800000,-6.1e+07,228400000,-92100000,-92100000,0,136300000,-1500000,-1500000,134800000,-55300000,79500000,154200000,154200000,154200000,24900000,24900000,920800000,920800000,586200000,630500000,106500000,240600000,2162400000,11057400000,17686900000,-6629500000,204800000,11165200000,1690700000,8300000,1655500000,22427400000,24589800000,1338100000,610100000,169200000,140700000,418100000,1843500000,782700000,410300000,3964300000,8151500000,6298700000,733900000,2182900000,1823500000,14450200000,18414500000,4790800000,3200000,4787600000,-58900000,1.494e+09,-50600000,6175300000,6175300000,24589800000,-119600000,123800000,268100000,51300000,2.01e+08,70100000,1.6e+08,433100000,-369800000,-368200000,-15500000,-604400000,-82100000,261900000,-3900000.00000006,-3900000,7900000,7900000,1.79e+08,7699999.99999999,136100000,136100000,352200000,9.995e+09,107800000,0.567,0.16393,0.11067,0.02497,0.00627,0.699089999999998,0.54547,2.98196,0.40647,0.48824,0.48202,4.41159,19.55279,0.34133,0.25995,0.01052,0.0048,0.53243,28.30806,43.65193
