"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",45.82203125,"Up",2403100000,-1.87e+09,533100000,-355700000,-255700000,-8.8e+07,-1.2e+07,177400000,-16300000,-12600000,-3700000,161100000,161100000,-52900000,8900000,117100000,117100000,9e+05,1.18e+08,1.18e+08,551700000,551700000,1122600000,2005300000,592700000,362400000,4272300000,1391200000,2.328e+09,591500000,1178700000,40700000,393900000,123200000,3719200000,7991500000,2181300000,1027600000,1153700000,85500000,3.14e+08,3.14e+08,2580800000,1155100000,712600000,312800000,238800000,1.61e+08,1867700000,4448500000,1078400000,2.952e+09,-521300000,3509100000,33900000,3.543e+09,7991500000,117100000,62400000,20400000,-461200000,-261300000,-92400000,-1e+05,-92500000,164900000,-12800000,141400000,-212400000,-212400000,-17200000,-229600000,239800000,1240600000,-260900000,0.22184,0.07382,0.0491,0.03331,0.01477,-2.21102,1.65542,1.25557,0.15524,1.21649,1.19072,24.77423,36.17629,-2.68969,0.02323,-0.04747,2.87281,3.88331
"12","2013_Q3",49.11875,"Up",3048200000,-2337900000,710300000,-383200000,-279700000,-91400000,-12100000,327100000,-23700000,-13500000,-10200000,303400000,303400000,-104400000,14100000,213100000,213100000,6e+05,213700000,213700000,680600000,680600000,1286100000,2.043e+09,507300000,295800000,4.517e+09,1410900000,2307100000,589400000,1163600000,41100000,391400000,121600000,3.718e+09,8.235e+09,2350600000,1063800000,1286800000,88100000,336400000,336400000,2775100000,1077500000,712100000,309800000,237900000,164400000,1789600000,4564700000,1099300000,3.156e+09,-619100000,3636200000,34100000,3670300000,8.235e+09,213100000,63100000,29700000,20400000,326300000,-79600000,1.86264514923096e-09,-79600000,-73200000.0000001,-5200000,-88100000,158600000,158600000,-29700000,128900000,390200000,1165600000,435400000,0.23302,0.10731,0.07011,0.05822,0.02595,2.03744,1.62769,1.24369,0.14154,2.1963,2.15206,31.32785,37.37102,4.47482,0.04027,0.07848,1.24295,1.48273
"13","2013_Q4",51.74953125,"Up",2475900000,-1919700000,556200000,-357200000,-258100000,-87300000,-11800000,1.99e+08,-25400000,-14100000,-11300000,173600000,173600000,-62500000,14100000,125200000,125200000,1e+06,126200000,126200000,620500000,620500000,1182300000,2181800000,519300000,3.1e+08,4503900000,1491400000,2338700000,576300000,1176300000,43300000,408900000,133900000,3830100000,8.334e+09,2.283e+09,968500000,1314500000,92500000,366500000,366500000,2.742e+09,1000600000,724400000,312300000,240600000,171500000,1.725e+09,4.467e+09,1106900000,3272500000,-546900000,3832500000,34500000,3.867e+09,8.334e+09,125200000,64200000,-9e+05,-84500000,1.04e+08,-88900000,1e+05,-88800000,-87600000,-9e+05,-98200000,-8.3e+07,-8.3e+07,22900000,-60100000,263200000,1093100000,152300000,0.22465,0.08037,0.05097,0.03264,0.01514,1.20681,1.64256,1.15516,0.13116,1.29569,1.26834,25.41992,39.34805,1.56366,0.02391,0.02679,1.79559,2.37487
"14","2014_Q1",46.5724590163934,"Down",2859700000,-2268700000,5.91e+08,-393800000,-295200000,-86700000,-11900000,197200000,-32700000,-17800000,-14900000,164500000,164500000,-38700000,11100000,136900000,136900000,2400000,139300000,139300000,1047200000,1047200000,940600000,2016100000,513200000,2.72e+08,4517100000,1602300000,2319400000,565600000,1178700000,24400000,416100000,134600000,3921700000,8438800000,2349500000,960300000,1389200000,110500000,3.52e+08,3.52e+08,2.812e+09,938500000,643500000,246400000,251200000,145900000,1.582e+09,4.394e+09,1118900000,3.402e+09,-510700000,4010200000,34600000,4044800000,8438800000,136900000,69700000,1100000,420300000,6.28e+08,-128300000,-19500000,-147800000,-62200000,10100000,-61900000,418300000,418300000,8399999.99999999,426700000,266900000,1.049e+09,597600000,0.20667,0.06896,0.04871,0.03444,0.01651,4.29002,1.60637,1.08633,0.12431,1.42872,1.39719,29.33026,41.13026,6.12923,0.02599,0.10416,0.00674000000000041,0.00912999999999942
"15","2014_Q2",48.172380952381,"Up",2333400000,-1818500000,514900000,-359200000,-2.67e+08,-82200000,-1e+07,155700000,-25100000,-13900000,-11200000,130600000,130600000,-46400000,1.5e+07,99200000,99200000,4e+05,99600000,99600000,193900000,193900000,1211300000,2442400000,549300000,318600000,4396900000,1.603e+09,2319800000,552500000,1187200000,21900000,434100000,124100000,3922800000,8319700000,2336100000,1037200000,1298900000,118700000,331500000,331500000,2786300000,1014300000,639500000,240500000,247300000,151700000,1653800000,4440100000,821100000,3491300000,-469100000,3843300000,36300000,3879600000,8319700000,99200000,69400000,-6e+05,-6.79e+08,-5.11e+08,-99900000,0,-99900000,57300000,-9200000,-252200000,-863100000,-863100000,9800000,-853300000,225100000,1.133e+09,-507400000,0.22067,0.06673,0.04268,0.02567,0.01197,-5.09438,1.57804,1.14447,0.13618,1.04512,1.03106,24.48478,40.32844,-5.32424,0.01944,-0.08977,4.17192,6.03147
"16","2014_Q3",43.3378125,"Down",2750300000,-2118800000,631500000,-364800000,-262300000,-92500000,-1e+07,266700000,-28600000,-15700000,-12900000,238100000,238100000,-83200000,11100000,1.66e+08,1.66e+08,2200000,168200000,168200000,323300000,323300000,1233400000,2437900000,5.39e+08,319700000,4533600000,1603500000,2332200000,541600000,1190600000,23600000,448200000,128200000,3935700000,8469300000,2323800000,948700000,1375100000,94400000,372500000,372500000,2790700000,979200000,6.37e+08,234300000,241800000,160900000,1616200000,4406900000,823900000,3649200000,-445300000,4027800000,34600000,4062400000,8469300000,1.66e+08,69900000,5300000,15600000,256800000,-54100000,-99999.9999999925,-54200000,-55100000,-6e+06,-71400000,131200000,131200000,-1800000,129400000,336600000,1073600000,381300000,0.22961,0.09697,0.06116,0.0414,0.01986,2.26694,1.62454,1.0848,0.12676,1.79127,1.76866,29.28967,42.89457,4.0607,0.03092,0.06605,2.22906,2.81327
"17","2014_Q4",38.80265625,"Down",2154800000,-1732900000,421900000,-310300000,-221700000,-78200000,-10400000,111600000,-2.4e+07,-13900000,-10100000,87600000,84700000,-34200000,1.2e+07,62500000,62500000,2500000,6.5e+07,6.5e+07,320900000,320900000,1083600000,2315100000,485800000,260100000,4205400000,1525300000,2383200000,569600000,1226500000,2.2e+07,432200000,132900000,3908500000,8113900000,2047200000,819500000,1227700000,88400000,2.28e+08,2.28e+08,2363600000,1332800000,624200000,215500000,251800000,156900000,1.957e+09,4320600000,743400000,3703900000,-687400000,3759900000,33400000,3793300000,8113900000,62500000,71500000,-38100000,-5.7e+07,38900000,-73100000,-130300000,-203400000,247200000,-4100000,181900000,17400000,17400000,-19800000,-2400000,183100000,1421200000,87200000,0.1958,0.05179,0.03017,0.01714,0.00801,1.34154,1.77924,1.13901,0.17516,0.69519,0.69296,23.04599,40.21283,0.93262,0.0129,0.01493,6.00928,9.85932
"18","2015_Q1",41.182131147541,"Up",2485200000,-1987200000,4.98e+08,-339100000,-244400000,-84100000,-10600000,158900000,-29800000,-14900000,-14900000,129100000,85600000,-23900000,14800000,76500000,76500000,1100000,77600000,77600000,363700000,363700000,963800000,1750700000,232500000,232500000,3310700000,1530400000,2527700000,553800000,1192800000,215900000,424100000,141100000,4058100000,7368800000,1914300000,670200000,1244100000,94300000,208300000,208300000,2216900000,997600000,657400000,2.69e+08,211700000,176700000,1.655e+09,3871900000,583400000,3771600000,-906500000,3448500000,48400000,3496900000,7368800000,76500000,69600000,6e+06,501600000,653700000,-71800000,-3800000.00000003,-75600000,-3.5e+08,-1400000,-520100000,5.8e+07,5.8e+07,-15200000,42800000,228500000,1091900000,682200000,0.20039,0.06394,0.03122,0.02219,0.01053,8.79124,1.49339,1.10724,0.14818,0.85369,0.84995,27.33993,37.93729,7.50495,0.01668,0.13004,3.18687,4.58276
"19","2015_Q2",44.7001587301587,"Up",1702600000,-1354700000,347900000,-290500000,-211200000,-68800000,-10500000,57400000,-2e+07,-10200000,-9800000,37400000,26800000,-10600000,13700000,29900000,29900000,2e+05,30100000,30100000,338900000,338900000,1027100000,1840700000,463100000,2.57e+08,3669800000,1389500000,2205200000,533300000,1120100000,23900000,398700000,129200000,3594700000,7264500000,1834900000,7.7e+08,1064900000,83100000,162800000,162800000,2080800000,1424500000,651400000,249900000,230600000,170900000,2075900000,4156700000,517500000,3.791e+09,-1250100000,3058400000,49400000,3107800000,7264500000,29900000,64600000,-12600000,-367900000,-2.86e+08,-62500000,-5200000,-67700000,445800000,-5700000,366900000,13200000,13200000,-3.8e+07,-24800000,1.22e+08,1507600000,-297800000,0.20433,0.03371,0.01768,0.00969,0.00414,-9.89369,1.76365,1.33751,0.20753,0.33896,0.3382,19.17342,34.44144,-3.3536,0.00775,-0.05654,9.57951,20.36063
"20","2015_Q3",45.1775,"Up",2069300000,-1619700000,449600000,-295700000,-213100000,-71700000,-10900000,153900000,-20800000,-11300000,-9500000,133100000,129100000,-37900000,14400000,105600000,105600000,1500000,107100000,107100000,498200000,498200000,1047200000,1816300000,427900000,220900000,3789600000,1415400000,2265400000,536200000,1149300000,2.2e+07,421500000,136400000,3680800000,7470400000,1909600000,765600000,1.144e+09,77500000,386200000,386200000,2373300000,1215500000,667800000,249900000,234500000,183400000,1883300000,4256600000,459600000,3887500000,-1181900000,3165200000,48600000,3213800000,7470400000,105600000,6.5e+07,-5200000,148600000,3.14e+08,-3.8e+07,-18600000,-56600000,-12900000,-1e+06,-8.7e+07,170400000,170400000,-11100000,159300000,218900000,1.293e+09,367400000,0.21727,0.07437,0.05176,0.03333,0.01434,3.43044,1.59676,1.32448,0.17308,1.2226,1.22121,23.62215,36.13242,4.19406,0.02275,0.071,3.63088,5.16439
"21","2015_Q4",41.78078125,"Down",1736400000,-1370700000,365700000,-286600000,-205800000,-7e+07,-10800000,79100000,-8500000,-10600000,2100000,70600000,70600000,-17600000,14200000,67200000,67200000,-1e+05,67100000,67100000,425400000,425400000,946700000,1699300000,429100000,218700000,3500500000,1361500000,2209600000,520700000,1123700000,20100000,403300000,141800000,3571100000,7071600000,1741500000,650300000,1091200000,87400000,383300000,383300000,2212200000,1230200000,655700000,2.4e+08,232900000,182800000,1885900000,4098100000,400400000,3944200000,-1417200000,2927400000,46100000,2973500000,7071600000,67200000,64600000,-9500000,-78100000,44200000,-45400000,-6800000,-52600000,29400000,-2e+05,-43700000,-52100000,-52100000,-20700000,-72800000,143700000,1317600000,37800000,0.21061,0.04555,0.03864,0.02257,0.00949,0.56334,1.58236,1.37821,0.18632,0.77483,0.77393,20.05081,33.8037,0.43649,0.01567,0.00764,6.20877,11.27939
"22","2016_Q1",42.6788524590164,"Up",1.959e+09,-1561600000,397400000,-304400000,-222200000,-71700000,-10500000,9.3e+07,-32400000,-13300000,-19100000,60600000,52900000,-6400000,14800000,61300000,61300000,8e+05,62100000,62100000,426700000,426700000,836800000,1423400000,211400000,211400000,2898300000,1347100000,2252300000,507700000,1114500000,100700000,392900000,136500000,3599400000,6497700000,1732500000,625600000,1106900000,8.9e+07,363900000,363900000,2185400000,925200000,503800000,233900000,86400000,183500000,1.429e+09,3614400000,302500000,3.996e+09,-1460200000,2838300000,4.5e+07,2883300000,6497700000,61300000,65900000,-4400000,329200000,4.52e+08,-6.4e+07,1400000,-63900000,-279900000,6e+05,-389600000,-1500000,-1500000,2800000,1300000,158900000,1014200000,430500000,0.20286,0.04747,0.0317,0.02154,0.00956,6.93237,1.32621,1.25356,0.15609,0.73059,0.73059,23.04706,33.39176,5.06471,0.01645,0.09781,3.69729,6.3172
"23","2016_Q2",45.66734375,"Up",1559300000,-1244600000,314700000,-293400000,-211200000,-71200000,-1.1e+07,21300000,-21800000,-10500000,-11300000,-5e+05,-2400000,4e+05,12200000,10200000,10200000,-2400000,7800000,7800000,247900000,247900000,942500000,1725800000,296900000,296900000,3213100000,1.38e+09,2383100000,535600000,1169200000,110100000,4.19e+08,149200000,3763100000,6976200000,1739700000,673900000,1065800000,93100000,430500000,430500000,2263300000,1257500000,5.22e+08,231200000,95500000,195300000,1779500000,4042800000,247100000,3.993e+09,-1365900000,2874200000,59200000,2933400000,6976200000,10200000,66500000,-11200000,-413700000,-348200000,-35200000,-38800000,-86100000,317500000,-8e+05,245900000,-188400000,-188400000,9600000,-178800000,87800000,1350600000,-361500000,0.20182,0.01366,0.005,0.00266,0.00112,-46.34615,1.41965,1.3782,0.1936,0.09398,0.09386,18.78675,34.62892,-4.35542,0.00387,-0.07522,12.55923,51.76995
"24","2016_Q3",42.81375,"Down",1995600000,-1568600000,4.27e+08,-306300000,-217800000,-77100000,-11400000,120700000,-27900000,-11900000,-1.6e+07,92800000,90700000,-54800000,13500000,49400000,49400000,900000.000000001,50300000,50300000,324700000,324700000,9.46e+08,1764100000,271400000,271400000,3306200000,1355100000,2354600000,520800000,1176100000,87800000,424700000,145200000,3709700000,7015900000,1866800000,741100000,1125700000,93700000,185600000,185600000,2146100000,1378700000,508300000,218100000,93900000,196300000,1.887e+09,4033100000,192300000,4032500000,-1301100000,2923700000,59100000,2982800000,7015900000,49400000,67800000,35800000,130600000,283600000,-35900000,0,-35200000,-103400000,-1500000,-175700000,72699999.9999999,72699999.9999999,4100000,76800000.0000001,188500000,1472400000,3.38e+08,0.21397,0.06048,0.02521,0.01686,0.00717,6.71968,1.54056,1.35212,0.20987,0.61341,0.61267,24.33659,35.65488,4.12195,0.01231,0.0681,6.08859,9.5087
"25","2016_Q4",48.297619047619,"Up",1761600000,-1408100000,353500000,-2.93e+08,-214100000,-6.6e+07,-12900000,60500000,-11900000,-12100000,2e+05,48600000,47100000,-19500000,11800000,39400000,39400000,6e+05,4e+07,4e+07,297800000,297800000,1055500000,1781300000,294500000,294500000,3429100000,1388200000,2723700000,637100000,1416700000,86700000,435300000,147900000,4111900000,7.541e+09,1841600000,694800000,1146800000,109500000,206900000,206900000,2.158e+09,1875800000,545600000,2.11e+08,1.3e+08,204600000,2421400000,4579400000,1.48e+08,4.062e+09,-1309800000,2900200000,61400000,2961600000,7.541e+09,39400000,6.8e+07,3e+06,-173200000,-62800000,-60400000,-346500000,-406900000,502200000,-1e+05,441600000,-28100000,-28100000,1200000,-26900000,128500000,1985300000,-85600000,0.20067,0.03434,0.02271,0.01351,0.0053,-2.14,1.58902,1.54626,0.26327,0.49566,0.49505,21.829,35.93804,-1.06072,0.00919,-0.01558,13.1323,27.89256
