"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",17.38796875,"Up",51055000,-23742000,27313000,-17648000,-15667000,-1981000,9665000,433000,33000,33000,4e+05,10098000,10059000,-3450000,6609000,6609000,6651000,6651000,74566000,48861000,25705000,38694000,38694000,41082000,5729000,4401000,160071000,33414000,87540000,17613000,61726000,120954000,281025000,13767000,9948000,22569000,12758000,10721000,2037000,12758000,35327000,100117000,146853000,-1393000,245577000,245698000,281025000,6609000,1981000,424000,-457000,8557000,-3601000,3824000,-3177000,2026000,2394000,7774000,7774000,-222000,7552000,11646000,0,11038000,0.53497,0.18931,0.13027,0.02707,0.02367,1.6596,7.09252,0.14378,0,0.06959,0.06802,0.5342,2.56951,0.11549,0.02573,0.04271,-6.40271,-7.71505
"12","2014_Q1",16.3383606557377,"Down",56006000,-27625000,28381000,-18145000,-16265000,-1880000,10236000,-187000,30000,30000,-217000,10049000,10127000,-3150000,6977000,6977000,7032000,7032000,85369000,50032000,35337000,38737000,38737000,38315000,6026000,4564000,168447000,34345000,87766000,19005000,59491000,122111000,290558000,9377000,9212000,17719000,14552000,12449000,2103000,14552000,32271000,105708000,153885000,-1372000,258221000,258287000,290558000,6977000,2139000,-92000,-2419000,6605000,-1926000,-9632000,-11558000,4921000,6166000,1213000,1213000,-42000,1171000,12375000,0,11180000,0.50675,0.18277,0.12556,0.02723,0.0242,1.58987,9.50657,0.12494,0,0.0733,0.07205,0.58382,2.69174,0.11654,0.02577,0.04098,-6.89851,-8.34007
"13","2014_Q2",14.8549206349206,"Down",58548000,-28184000,30364000,-17946000,-15860000,-2086000,12418000,-521000,31000,31000,-552000,11897000,11897000,-4200000,7697000,7697000,7839000,7839000,84375000,43608000,40767000,43649000,43649000,43757000,6125000,4663000,177906000,35813000,94418000,20728000,63576000,130231000,308137000,14004000,11654000,22839000,14576000,12449000,2127000,14576000,37415000,110116000,161724000,-1042000,270798000,270722000,308137000,7697000,2029000,-796000,-3366000,5564000,-2041000,-5430000,-17483000,3806000,5391000,-6528000,-6528000,104000,-6424000,14447000,0,13240000,0.51862,0.2121,0.13389,0.02896,0.02544,1.68899,7.78957,0.1382,0,0.0813,0.07941,0.60721,2.80848,0.13731,0.02748,0.04641,-5.84031,-6.79457
"14","2014_Q3",15.7803125,"Up",59599000,-30108000,29491000,-19802000,-17498000,-2304000,9689000,38000.0000000001,28000,28000,10000,9727000,9727000,-3500000,6227000,6227000,6206000,6206000,79092000,43613000,35479000,45800000,45800000,47330000,6634000,5172000,178856000,38233000,102624000,25423000,66538000,140857000,319713000,11670000,11358000,23290000,14613000,12449000,2164000,14613000,37903000,114095000,167930000,-160000,281865000,281810000,319713000,6227000,2141000,384000,-3477000,5275000,-2450000,5288000,-9230000,3065000,3587000,-368000,-368000,373000,4999.99999999907,11830000,0,9403000,0.49482,0.16257,0.10413,0.02202,0.01941,1.51515,7.67952,0.1345,0,0.06386,0.06212,0.61326,2.90032,0.09675,0.02094,0.03172,-6.68571,-8.16307
"15","2014_Q4",16.4428125,"Up",61996000,-31291000,30705000,-20412000,-18306000,-2106000,10293000,-39000,29000,29000,-68000,10254000,10254000,-3700000,6554000,6554000,6576000,6576000,68810000,43277000,25533000,48068000,48068000,51861000,7230000,5768000,175969000,39838000,114543000,31545000,70728000,154381000,330350000,13305000,11772000,24534000,14692000,12449000,2243000,14692000,39226000,116359000,174506000,336000,291201000,291124000,330350000,6554000,2471000,-847000,-1687000,6491000,-2856000,9946000,-10095000,1241000,3082000,-522000,-522000,185000,-337000,12764000,0,11921000,0.49527,0.16603,0.10607,0.02259,0.01991,1.8128,7.17245,0.13474,0,0.067,0.06671,0.63161,2.96675,0.12145,0.0215,0.03898,-5.39094,-6.68513
"16","2015_Q1",18.31,"Up",67262000,-35224000,32038000,-21047000,-19217000,-1830000,10991000,124000,27000,27000,96999.9999999999,11115000,11153000,-3600000,7553000,7553000,7537000,7537000,76496000,40675000,35821000,51901000,51901000,51178000,9171000,7461000,188746000,41949000,114606000,34912000,68190000,156555000,345301000,13396000,13396000,24967000,14034000,12155000,1879000,14034000,39001000,123947000,182043000,371000,306361000,306300000,345301000,7553000,2539000,-354000,-5400000,4338000,-4196000,-10288000,-14484000,6739000,7548000,-2598000,-2598000,-3000.00000000006,-2601000,13530000,0,7534000,0.47632,0.16341,0.11205,0.02461,0.02183,0.9996,7.55982,0.12733,0,0.07716,0.07513,0.68859,3.13637,0.07713,0.02353,0.02352,-5.65381,-6.95988
"17","2015_Q2",17.3238095238095,"Down",67599000,-33523000,34076000,-20637000,-18233000,-2404000,13439000,29000,45000,45000,-16000,13468000,13709000,-4800000,8909000,8909000,8883000,8883000,88097000,53457000,34640000,51689000,51689000,55087000,6296000,4616000,201169000,42700000,113793000,34220000,68190000,156493000,357662000,14445000,13002000,24475000,14322000,12290000,2032000,14322000,38797000,127822000,190926000,152000,318900000,318865000,357662000,8909000,2515000,42000,-1041000,10425000,-2511000,1181000,-1330000,2933000,3798000,12893000,12893000,-111000,12782000,15954000,0,17202000,0.50409,0.1988,0.13141,0.02786,0.02484,1.93651,8.21937,0.12167,0,0.09058,0.08933,0.68932,3.25186,0.17541,0.02666,0.05163,-5.52194,-6.55532
"18","2015_Q3",19.68015625,"Up",68455000,-34247000,34208000,-21311000,-18837000,-2474000,12897000,-17000,47000,47000,-64000,12880000,12426000,-4600000,7826000,7826000,7806000,7806000,94305000,49058000,45247000,52107000,52107000,53497000,5841000,4131000,205750000,43106000,117061000,33619000,70402000,160167000,365917000,12200000,11307000,24123000,15011000,12935000,2076000,15011000,39134000,129552000,198732000,-1486000,326798000,326783000,365917000,7826000,2655000,785000,1676000,12942000,-2194000,-10607000,-17315000,315000,582000,-3791000,-3791000,-608000,-4399000,15552000,0,19634000,0.49972,0.1884,0.11403,0.02389,0.02133,2.51524,8.5292,0.11976,0,0.07925,0.07833,0.69494,3.3176,0.19932,0.02284,0.05744,-6.06385,-7.31217
"19","2015_Q4",20.39625,"Up",68409000,-34706000,33703000,-21543000,-19176000,-2367000,12160000,-443000,66000,66000,-509000,11717000,11633000,-4225000,7408000,7408000,7453000,7453000,102148000,57484000,44664000,52887000,52887000,55096000,7215000,5535000,217346000,43543000,117546000,30873000,70119000,161089000,378435000,15454000,10592000,26551000,15171000,13071000,2100000,15171000,41722000,132722000,206185000,-2134000,336773000,336713000,378435000,7408000,2682000,688000,-674000,10104000,-2156000,583000,-3613000,1561000,2101000,8592000,8592000,-166000,8426000,14842000,0,16237000,0.49267,0.17775,0.10895,0.02213,0.01969,2.17859,8.18598,0.12391,0,0.07553,0.07446,0.69326,3.41286,0.16455,0.02118,0.04614,-6.88236,-8.40033
"20","2016_Q1",19.0424590163934,"Down",78611000,-40913000,37698000,-23076000,-20744000,-2332000,14622000,-314000,70000,70000,-384000,14308000,14308000,-4875000,9433000,9433000,9384000,9384000,114164000,66061000,48103000,59208000,59208000,51601000,6222000,4231000,231195000,44473000,116513000,46394000,70119000,160986000,392181000,14966000,13691000,25456000,15762000,13711000,2051000,15762000,41218000,137847000,215569000,-2442000,350974000,350963000,392181000,9433000,2797000,956000,-2865000,10321000,-2758000,-3439000,-6197000,3749000,4552000,8676000,8676000,-99000,8577000,17419000,0,16671000,0.47955,0.186,0.11937,0.02674,0.02393,1.77653,9.08214,0.11744,0,0.09488,0.09365,0.7948,3.54853,0.16855,0.02559,0.04546,-6.55399,-7.80769
"21","2016_Q2",18.64234375,"Down",74860000,-37068000,37792000,-22897000,-20324000,-2573000,14895000,-456000,68000,68000,-524000,14439000,14439000,-5150000,9289000,9289000,9323000,9323000,110955000,42326000,68629000,59041000,59041000,56107000,9258000,6958000,235361000,49294000,124731000,33895000,75292000,174025000,409386000,17054000,14762000,26899000,16581000,14495000,2086000,16581000,43480000,144214000,224892000,-3155000,365951000,365906000,409386000,9289000,2704000,-583000,-4810000,6600000,-2821000,-20526000,-36473000,4293000,6173000,-23700000,-23700000,-35000,-23735000,17599000,0,15118000,0.50484,0.19897,0.12454,0.02548,0.02277,1.62158,8.7498,0.11883,0,0.09395,0.0926,0.75439,3.68783,0.15235,0.02437,0.03953,-6.30462,-7.44914
"22","2016_Q3",21.39671875,"Up",79611000,-41387000,38224000,-23612000,-20993000,-2619000,14612000,-420000,51000,51000,-471000,14192000,14192000,-5050000,9142000,9142000,9073000,9073000,123018000,71378000,51640000,57604000,57604000,61485000,8370000,6077000,250477000,51865000,123441000,32591000,75147000,175306000,425783000,20971000,20682000,31227000,16654000,14478000,2176000,16654000,47881000,147362000,233965000,-3449000,377878000,377902000,425783000,9142000,2976000,685000,1458000,14261000,-4994000,16989000,11567000,2318000,2881000,28709000,28709000,343000,29052000,17588000,0,19102000,0.48013,0.18354,0.11397,0.02401,0.02131,2.10537,8.02117,0.1267,0,0.091,0.08986,0.79849,3.79009,0.19159,0.023,0.04841,-6.99443,-8.41897
"23","2016_Q4",22.207619047619,"Up",76725000,-41530000,35195000,-23941000,-21491000,-2450000,11254000,384000,119000,119000,265000,11638000,11638000,-3350000,8288000,8288000,8311000,8311000,125158000,66862000,58296000,56156000,56156000,65448000,8178000,5885000,254940000,51901000,125400000,32235000,75978000,177301000,432241000,18405000,15403000,27782000,16585000,14478000,2107000,16585000,44367000,151291000,242276000,-5694000,387873000,387874000,432241000,8288000,3149000,1215000,-5501000,7151000,-3330000,-6656000,-13047000,1733000,1980000,-3916000,-3916000,-6e+05,-4516000,14403000,0,8922000,0.45872,0.14668,0.10832,0.02143,0.01923,1.07352,9.17645,0.11439,0,0.08317,0.08212,0.76784,3.88173,0.08929,0.02055,0.02206,-8.68972,-11.1212
"24","2017_Q1",24.48,"Up",90079000,-48226000,41853000,-26228000,-23980000,-2248000,15625000,-381000,84000,84000,-465000,15244000,15244000,-5425000,9819000,9819000,9857000,9857000,107796000,55257000,52539000,67652000,67652000,64371000,8407000,8407000,248226000,54683000,147031000,58525000,88506000,201714000,449940000,15800000,15800000,28598000,17181000,14758000,2423000,17181000,45779000,156011000,252133000,-3946000,404198000,404161000,449940000,9819000,3352000,3112000,-8964000,7319000,-3077000,5757000,-23196000,4019000,4274000,-11603000,-11603000,-2000,-11605000,18977000,0,12361000,0.46463,0.17346,0.10943,0.02439,0.02191,1.25403,8.67984,0.11327,0,0.09848,0.09747,0.9,4.03842,0.1235,0.02339,0.02934,-5.68035,-6.89894
"25","2017_Q2",23.9393650793651,"Down",83645000,-43166000,40479000,-25737000,-23059000,-2678000,14742000,492000,123000,123000,369000,15234000,15234000,-5300000,9934000,9934000,9881000,9881000,129226000,76187000,53039000,59354000,59354000,69839000,10188000,8432000,268607000,54739000,145269000,38047000,88215000,200008000,468615000,19787000,17966000,32638000,18757000,16533000,2224000,18757000,51395000,161714000,262014000,-6524000,417204000,417220000,468615000,9934000,3476000,788000,6078000,20276000,-3446000,-5e+05,-3946000,4053000,4781000,21111000,21111000,-181000,20930000,18218000,0,26150000,0.48394,0.17624,0.11813,0.02368,0.02109,2.64649,8.22989,0.12318,0,0.09851,0.09709,0.83391,4.15939,0.26071,0.02266,0.05998,-7.09331,-8.76584
"26","2017_Q3",25.7003174603175,"Up",90717000,-47126000,43591000,-26739000,-23971000,-2768000,16852000,-81000,296000,296000,-377000,16771000,16771000,-5600000,11171000,11171000,11151000,11151000,142106000,86297000,55809000,64902000,64902000,71683000,9710000,7962000,288401000,55533000,143377000,36641000,87581000,198910000,487311000,18670000,17287000,33869000,18669000,16418000,2251000,18669000,52538000,169702000,273165000,-8130000,434737000,434773000,487311000,11171000,3562000,-530000,-4930000,9273000,-2792000,-2770000,-5999000,6292000,8040000,11314000,11314000,-1204000,10110000,20414000,0,18292000,0.48052,0.18576,0.12292,0.02565,0.02288,1.64039,8.51519,0.12084,0,0.11058,0.10946,0.89958,4.31099,0.18139,0.02459,0.04034,-6.9612,-8.43259
"27","2017_Q4",30.3046031746032,"Up",88385000,-47505000,40880000,-26529000,-23888000,-2641000,14351000,1377000,271000,271000,1106000,15728000,15728000,-5350000,10378000,10378000,10288000,10288000,124582000,59883000,64699000,67367000,67367000,75396000,9425000,7678000,276770000,60975000,169553000,47207000,104080000,230528000,507298000,19251000,17072000,34723000,20919000,17692000,3227000,20919000,55642000,175766000,283453000,-7689000,451530000,451656000,507298000,10378000,3653000,3000,1605000,15639000,-6764000,-8890000,-49244000,5499000,6694000,-26911000,-26911000,497000,-26414000,18004000,0,18195000,0.46252,0.16237,0.1164,0.02278,0.02028,1.76857,7.9708,0.1232,0,0.10138,0.09957,0.87096,4.44945,0.1793,0.02177,0.0385,-6.91968,-8.68107
"28","2018_Q1",30.1277049180328,"Down",95530000,-51556000,43974000,-24974000,-22676000,-2298000,1.9e+07,-60000,148000,148000,-208000,18940000,18940000,-6450000,12490000,12490000,12473000,12473000,143635000,77567000,66068000,68576000,68576000,73144000,7606000,7606000,292961000,61748000,173700000,68941000,104759000,235448000,528409000,17180000,16244000,36002000,20650000,17048000,3602000,20650000,56652000,182891000,295926000,-7203000,471614000,471757000,528409000,12490000,4e+06,786000,-2190000,15086000,-1576000,-1369000,-2946999.99999999,5304000,5555000,17694000,17694000,-10000,17684000,2.3e+07,0,25684000,0.46032,0.19889,0.13057,0.02644,0.0236,2.05917,8.13735,0.12009,0,0.12262,0.12186,0.93911,4.63621,0.25249,0.02533,0.05216,-6.245,-7.55974
"29","2018_Q2",36.8746875,"Up",94209000,-49285000,44924000,-28500000,-25402000,-3098000,16424000,812000,369000,369000,443000,17236000,17236000,-5300000,11936000,11936000,11914000,11914000,159990000,58456000,101534000,66341000,66341000,73413000,11190000,11190000,310934000,63285000,173115000,49357000,105073000,236400000,547334000,22697000,16665000,38322000,21759000,16917000,4842000,21759000,60081000,186248000,307773000,-7e+06,487021000,487253000,547334000,11936000,3993000,1401000,1341000,18671000,-4415000,-35466000,-39881000,1956000,1956000,-19254000,-19254000,143000,-19111000,20417000,0,22643000,0.47685,0.17434,0.12646,0.02445,0.02177,1.90054,8.11372,0.12331,0,0.11692,0.11552,0.92456,4.77959,0.22222,0.02341,0.04448,-7.83612,-9.74123
"30","2018_Q3",42.6238095238095,"Up",100698000,-52449000,48249000,-30251000,-27284000,-2967000,17998000,1055000,429000,429000,626000,19053000,19053000,-1900000,17153000,17153000,17100000,17100000,175835000,64425000,111410000,74859000,74859000,73713000,15533000,15533000,339940000,66874000,174214000,48179000,104290000,241088000,581028000,19386000,17427000,37945000,22439000,16943000,5496000,22439000,60384000,201952000,324873000,-6466000,520359000,520644000,581028000,17153000,4275000,1265000,-13957000,8736000,-5994000,-9876000,-16338000,14439000,14439000,6837000.00000001,6837000.00000001,-868000,5969000.00000001,22273000,0,4222000,0.47915,0.17873,0.16981,0.03284,0.02943,0.2469,8.95876,0.11598,0,0.16676,0.16446,0.98204,5.07469,0.04117,0.03149,0.00777,-7.89454,-9.7697
"31","2018_Q4",31.278253968254,"Down",94904000,-50303000,44601000,-28688000,-25852000,-2836000,15913000,1368000,524000,524000,844000,17281000,17281000,-7e+05,16581000,16581000,16586000,16586000,192155000,82066000,110089000,73209000,73209000,77506000,9334000,9334000,352204000,72514000,170883000,48529000,99478000,243397000,595601000,20614000,19654000,37293000,16373000,11400000,4973000,16373000,53666000,205499000,341459000,-5303000,541655000,541935000,595601000,16581000,4414000,1026000,-2852000,19169000,-5888000,1321000,-4567000,2521000,2521000,17123000,17123000,518000,17641000,20327000,0,12287000,0.46996,0.16767,0.17477,0.03061,0.02785,0.74081,9.44424,0.09903,0,0.1609,0.158,0.92067,5.2546,0.1192,0.02971,0.02201,-9.45319,-12.07535
"32","2019_Q1",30.2396721311475,"Down",108119000,-59621000,48498000,-28639000,-26685000,-1954000,19859000,36000,721000,721000,-685000,19895000,19895000,-2350000,17545000,17545000,17545000,17545000,210810000,83074000,127736000,79086000,79086000,76005000,9888000,9888000,375789000,73069000,169151000,69593000,99558000,242220000,618009000,20915000,20750000,38688000,19146000,14103000,5043000,19146000,57834000,210850000,359071000,-9746000,560175000,560175000,618009000,17545000,4376000,-1779000,2413000,22555000,-4649000,-17647000,-22296000,4345000,3922000,4181000,4181000,-3173000,1008000,24235000,0,24349000,0.44856,0.18368,0.16227,0.03132,0.02839,1.3878,9.71332,0.10324,0,0.16977,0.16692,1.04618,5.42038,0.23561,0.03029,0.04203,-8.69858,-10.61534
