"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",31.6807936507936,"Down",1.556e+09,-5.81e+08,9.75e+08,-7.19e+08,-7.19e+08,2.56e+08,-8e+07,-8.8e+07,8e+06,1.76e+08,1.76e+08,-6.6e+07,1.1e+08,1.1e+08,1.1e+08,1.1e+08,6e+06,6e+06,6.24e+08,5.24e+08,4.49e+08,9.14e+08,5.68e+08,1.993e+09,1.77e+10,1.77e+10,3.191e+09,4.11e+08,2.78e+09,2.0891e+10,2.2884e+10,5.28e+08,4.34e+08,1.335e+09,9.55e+08,3.8e+08,6.57e+08,5.44e+08,2.52e+09,5.86e+09,5.86e+09,7.658e+09,7.08e+08,4.029e+09,2.921e+09,1.3518e+10,1.6038e+10,5.602e+09,1.111e+09,-9e+06,6.704e+09,1.42e+08,6.846e+09,2.2884e+10,1.1e+08,1.95e+08,7.9e+07,-7.3e+07,3.12e+08,-4.17e+08,-5e+06,-1.7e+07,-4.39e+08,-9.9e+07,2.41e+08,-1.4e+07,1.28e+08,1e+06,1e+06,1e+06,4.51e+08,7.195e+09,2.7e+07,0.62661,0.16452,0.07069,0.01607,0.00481,0.24545,0.79087,2.34268,0.31441,0.45342,0.45342,6.41385,27.63397,0.11129,0.40808,6,0.00963,0.00124,0.9,15.94013,28.08203
"22","2015_Q3",32.12375,"Up",1.401e+09,-3.52e+08,1.049e+09,-7.43e+08,-7.43e+08,3.06e+08,-7.9e+07,-8.9e+07,1e+07,2.27e+08,1.58e+08,-5.9e+07,9.9e+07,1.51e+08,1.51e+08,1.51e+08,2e+06,2e+06,5.68e+08,4.56e+08,5e+08,9.21e+08,6.2e+08,1.991e+09,1.7986e+10,1.7986e+10,3.175e+09,4.11e+08,2.764e+09,2.1161e+10,2.3152e+10,5.84e+08,4.86e+08,1.281e+09,8.86e+08,3.95e+08,6.91e+08,5.33e+08,2.556e+09,5.981e+09,5.981e+09,7.709e+09,6.89e+08,3.995e+09,3.025e+09,1.369e+10,1.6246e+10,5.608e+09,1.161e+09,-5e+06,6.764e+09,1.42e+08,6.906e+09,2.3152e+10,9.9e+07,1.92e+08,1.54e+08,2.6e+07,4.69e+08,-4.29e+08,-2e+06,-5e+06,-4.36e+08,-1e+08,6.6e+07,-3e+06,-3.7e+07,-4e+06,-4e+06,-4e+06,4.98e+08,7.262e+09,1.54e+08,0.74875,0.21842,0.10778,0.02187,0.00652,1.01987,0.77895,2.35245,0.31367,0.62242,0.62242,5.77494,27.88129,0.63479,0.4122,5,0.01147,0.00704,0.66225,14.57831,23.72549
"23","2015_Q4",34.945625,"Up",1.833e+09,-4.5e+08,1.383e+09,-7.57e+08,-7.57e+08,6.26e+08,-7.3e+07,-8.7e+07,1.4e+07,5.53e+08,5.53e+08,-2.08e+08,3.45e+08,3.45e+08,3.45e+08,3.45e+08,7.2e+07,7.2e+07,6.21e+08,5.08e+08,5.48e+08,7.42e+08,5e+08,1.983e+09,1.8307e+10,1.8307e+10,3.169e+09,4.11e+08,2.758e+09,2.1476e+10,2.3459e+10,6.28e+08,5.25e+08,1.178e+09,7.83e+08,3.95e+08,6.83e+08,4.93e+08,2.489e+09,5.981e+09,5.981e+09,7.833e+09,6.66e+08,4.146e+09,3.021e+09,1.3814e+10,1.6303e+10,5.614e+09,1.405e+09,-5e+06,7.014e+09,1.42e+08,7.156e+09,2.3459e+10,3.45e+08,1.95e+08,2.34e+08,-9e+06,7.61e+08,-4.86e+08,-4e+06,3e+06,-4.87e+08,-9.9e+07,-1.03e+08,-2e+06,-2.04e+08,7e+07,7e+07,7e+07,8.21e+08,7.159e+09,5.34e+08,0.7545,0.34152,0.18822,0.04821,0.01471,1.54783,0.79671,2.27823,0.30517,1.42209,1.41451,7.55565,28.91179,2.20115,0.40808,7,0.02005,0.02411,0.28696,8.63216,11.32109
"24","2016_Q1",37.5508196721311,"Up",1.308e+09,-4.24e+08,8.84e+08,-7.44e+08,-7.44e+08,1.4e+08,-7.9e+07,-9.1e+07,1.2e+07,6.1e+07,61000000.0000001,-3e+07,3.1e+07,3e+07,3e+07,3e+07,2.92e+08,2.92e+08,4.86e+08,3.88e+08,5.38e+08,6.01e+08,5.87e+08,1.917e+09,1.8799e+10,1.8799e+10,2.924e+09,4.11e+08,2.513e+09,2.1723e+10,2.364e+10,8.66e+08,7.77e+08,6.96e+08,3.01e+08,3.95e+08,5.31e+08,4.59e+08,2.093e+09,6.88e+09,6.88e+09,7.579e+09,5.8e+08,3.945e+09,3.054e+09,1.4459e+10,1.6552e+10,5.618e+09,1.331e+09,-3e+06,6.946e+09,1.42e+08,7.088e+09,2.364e+10,3.1e+07,1.95e+08,7.4e+07,1.88e+08,4.89e+08,-5.85e+08,-3e+06,-1e+06,-6.14e+08,-1.04e+08,4.6e+08,-1.1e+07,3.45e+08,2.2e+08,2.2e+08,2.2e+08,3.35e+08,7.576e+09,-32000000.0000001,0.67584,0.10703,0.02294,0.00423,0.00127,-1.06667,0.91591,2.33521,0.32047,0.12366,0.12366,5.39159,28.63149,-0.1319,0.42869,5,0.00602,-0.00144,3.46667,21.74328,52.02857
"25","2016_Q2",40.64921875,"Up",1.434e+09,-4.93e+08,9.41e+08,-7.21e+08,-7.21e+08,2.2e+08,-8.2e+07,-9.5e+07,1.3e+07,1.38e+08,1.38e+08,-3.1e+07,1.07e+08,1.07e+08,1.07e+08,1.07e+08,1.3e+07,1.3e+07,4.84e+08,4.28e+08,4.83e+08,4.78e+08,4.64e+08,1.458e+09,1.9e+10,1.9e+10,2.927e+09,4.11e+08,2.516e+09,2.1927e+10,2.3385e+10,5.28e+08,4.29e+08,7.16e+08,5.81e+08,1.35e+08,5.95e+08,4.9e+08,1.839e+09,6.881e+09,6.881e+09,7.654e+09,5.81e+08,3.987e+09,3.086e+09,1.4535e+10,1.6374e+10,5.541e+09,1.333e+09,-5e+06,6.869e+09,1.42e+08,7.011e+09,2.3385e+10,1.07e+08,2.1e+08,6.7e+07,-3.5e+07,3.49e+08,-4.96e+08,-5e+06,-9e+06,-5.1e+08,-1.03e+08,2e+07,-3e+06,-1.18e+08,-2.79e+08,-2.79e+08,-2.79e+08,4.3e+08,7.597e+09,-7e+07,0.65621,0.15342,0.07462,0.01526,0.00458,-0.65421,0.79282,2.33547,0.32487,0.44106,0.44106,5.91096,28.3141,-0.28854,0.42457,5,0.00943,-0.00314,0.96262,17.63721,34.47273
"26","2016_Q3",42.625625,"Up",1.427e+09,-3.42e+08,1.085e+09,-7.6e+08,-7.6e+08,3.25e+08,-8.5e+07,-9.5e+07,1e+07,2.4e+08,2.4e+08,-9.2e+07,1.48e+08,1.48e+08,1.48e+08,1.48e+08,1.3e+07,1.3e+07,5.1e+08,4.45e+08,5.15e+08,5.56e+08,5.42e+08,1.594e+09,1.9324e+10,1.9324e+10,2.875e+09,4.11e+08,2.464e+09,2.2199e+10,2.3793e+10,6.01e+08,4.99e+08,1.209e+09,7.78e+08,4.31e+08,6.2e+08,4.69e+08,2.43e+09,6.605e+09,6.605e+09,7.694e+09,5.37e+08,4.085e+09,3.072e+09,1.4299e+10,1.6729e+10,5.547e+09,1.376e+09,-1e+06,6.922e+09,1.42e+08,7.064e+09,2.3793e+10,1.48e+08,2.09e+08,1.08e+08,-5.1e+07,4.14e+08,-5.04e+08,-4e+06,-1.7e+07,-5.25e+08,-1.03e+08,2.17e+08,-3e+06,1.11e+08,0,0,0,5.34e+08,7.814e+09,7.1e+07,0.76034,0.22775,0.10371,0.02095,0.00622,0.47973,0.65597,2.3682,0.32842,0.61006,0.61006,5.88211,28.53256,0.29266,0.42457,4,0.01112,0.00315,0.69595,14.60861,24.00308
"27","2016_Q4",41.7795238095238,"Down",1.859e+09,-4.17e+08,1.442e+09,-7.51e+08,-7.51e+08,6.91e+08,-8.7e+07,-9.7e+07,1e+07,6.04e+08,6.04e+08,-2.33e+08,3.71e+08,3.71e+08,3.71e+08,3.71e+08,1.8e+07,1.8e+07,5.92e+08,5.43e+08,5.51e+08,4.38e+08,4.23e+08,1.599e+09,1.9647e+10,1.9647e+10,2.888e+09,4.11e+08,2.477e+09,2.2535e+10,2.4134e+10,6.23e+08,5.13e+08,1.039e+09,6.08e+08,4.31e+08,6.29e+08,4.43e+08,2.291e+09,6.607e+09,6.607e+09,7.901e+09,4.99e+08,4.311e+09,3.091e+09,1.4508e+10,1.6799e+10,5.552e+09,1.643e+09,-2e+06,7.193e+09,1.42e+08,7.335e+09,2.4134e+10,3.71e+08,2.06e+08,2.57e+08,-3.8e+07,7.96e+08,-4.96e+08,-4e+06,-1.6e+07,-5.16e+08,-1.03e+08,-1.7e+08,-2e+06,-2.75e+08,5e+06,5e+06,5e+06,8.97e+08,7.646e+09,5.96e+08,0.77569,0.37171,0.19957,0.05058,0.01537,1.60647,0.69795,2.29025,0.31681,1.52927,1.52738,7.66282,29.64963,2.45672,0.42457,6,0.02071,0.02605,0.27763,8.5039,11.03907
"28","2017_Q1",45.4775806451613,"Up",1.356e+09,-4.55e+08,9.01e+08,-7.56e+08,-7.56e+08,1.45e+08,-8.6e+07,-9.5e+07,9e+06,5.9e+07,5.9e+07,-2.6e+07,33000000.0000001,3.3e+07,3.3e+07,3.3e+07,9e+06,9e+06,5e+08,4.37e+08,5.27e+08,5.57e+08,5.57e+08,1.593e+09,2.0113e+10,2.0113e+10,2.993e+09,4.11e+08,2.582e+09,2.3106e+10,2.4699e+10,8.98e+08,8.05e+08,1.239e+09,5.58e+08,6.81e+08,5.37e+08,4.91e+08,2.674e+09,6.595e+09,6.595e+09,8.185e+09,7.69e+08,4.319e+09,3.097e+09,1.478e+10,1.7454e+10,5.558e+09,1.568e+09,-2.3e+07,7.103e+09,1.42e+08,7.245e+09,2.4699e+10,33000000.0000001,2.1e+08,5.8e+07,2.64e+08,5.64e+08,-5.8e+08,-2e+06,-8e+06,-5.9e+08,-1.07e+08,1.84e+08,-9.2e+07,16999999.9999999,-9e+06,-9e+06,-9e+06,3.55e+08,7.834e+09,64999999.9999999,0.66445,0.10693,0.02434,0.00455,0.00134,1.9697,0.59574,2.40911,0.31718,0.13603,0.13603,5.58945,29.27865,0.26793,0.44106,5,0.00602,0.00279,3.24242,22.04225,53.96552
"29","2017_Q2",47.5509523809524,"Up",1.515e+09,-5.16e+08,9.99e+08,-7.57e+08,-7.57e+08,2.42e+08,-8.1e+07,-9.9e+07,1.8e+07,1.61e+08,1.61e+08,-5.7e+07,1.04e+08,1.04e+08,1.04e+08,1.04e+08,8e+06,8e+06,5.24e+08,4.57e+08,4.67e+08,4.51e+08,4.51e+08,1.45e+09,2.0298e+10,2.0298e+10,3.063e+09,4.11e+08,2.652e+09,2.3361e+10,2.4811e+10,5.6e+08,4.6e+08,1.595e+09,9.14e+08,6.81e+08,6.07e+08,5.3e+08,2.762e+09,6.597e+09,6.597e+09,8.246e+09,7.68e+08,4.374e+09,3.104e+09,1.4843e+10,1.7605e+10,5.524e+09,1.563e+09,-2.3e+07,7.064e+09,1.42e+08,7.206e+09,2.4811e+10,1.04e+08,2.17e+08,7.5e+07,-6.5e+07,3.31e+08,-5.04e+08,-6e+06,-2.9e+07,-5.39e+08,-1.07e+08,3.56e+08,-1.8e+07,2.07e+08,-1e+06,-1e+06,-1e+06,4.59e+08,8.192e+09,-5.3e+07,0.65941,0.15974,0.06865,0.01443,0.00419,-0.50962,0.52498,2.4431,0.33018,0.42869,0.42869,6.24485,29.11789,-0.21847,0.44106,6,0.00892,-0.00224,1.02885,17.83007,33.81818
"30","2017_Q3",49.8765079365079,"Up",1.537e+09,-2.09e+08,1.328e+09,-9.41e+08,-9.41e+08,3.87e+08,-7.9e+07,-9.9e+07,2e+07,3.08e+08,3.08e+08,-1.14e+08,1.94e+08,1.94e+08,1.94e+08,1.94e+08,1e+07,1e+07,5.23e+08,4.46e+08,5.12e+08,5.26e+08,5.26e+08,1.571e+09,2.0589e+10,2.0589e+10,3.094e+09,4.11e+08,2.683e+09,2.3683e+10,2.5254e+10,6.26e+08,5.22e+08,1.47e+09,8.92e+08,5.78e+08,6.69e+08,5.47e+08,2.765e+09,6.821e+09,6.821e+09,8.368e+09,7.58e+08,4.496e+09,3.114e+09,1.5189e+10,1.7954e+10,5.53e+09,1.649e+09,-2.1e+07,7.158e+09,1.42e+08,7.3e+09,2.5254e+10,1.94e+08,2.16e+08,1.52e+08,-3e+07,5.32e+08,-4.94e+08,6e+06,-3.2e+07,-5.2e+08,-1.07e+08,1.02e+08,-5000000.00000001,-1e+07,2e+06,2e+06,2e+06,6.03e+08,8.291e+09,1.93e+08,0.86402,0.25179,0.12622,0.02658,0.00768,0.99485,0.56817,2.45945,0.3283,0.79967,0.79671,6.33553,29.50536,0.79555,0.44106,7,0.01256,0.00806,0.55155,13.733,21.39793
"31","2017_Q4",53.412380952381,"Up",1.723e+09,-3.62e+08,1.361e+09,-7.92e+08,-7.92e+08,5.69e+08,-7.4e+07,-9.7e+07,2.3e+07,4.95e+08,4.95e+08,-2.05e+08,2.9e+08,2.9e+08,2.9e+08,2.9e+08,9e+06,9e+06,5.92e+08,5.07e+08,5.47e+08,4.33e+08,4.33e+08,1.581e+09,2.0906e+10,2.0906e+10,3.13e+09,4.11e+08,2.719e+09,2.4036e+10,2.5617e+10,6.54e+08,5.48e+08,1.223e+09,4.46e+08,7.77e+08,7.04e+08,5.45e+08,2.581e+09,6.922e+09,6.922e+09,8.627e+09,7.11e+08,4.771e+09,3.145e+09,1.5549e+10,1.813e+10,5.536e+09,1.83e+09,-2.1e+07,7.345e+09,1.42e+08,7.487e+09,2.5617e+10,2.9e+08,2.2e+08,2.15e+08,5.9e+07,7.84e+08,-5.25e+08,-791972.88712116,0,-5.25e+08,-1.06e+08,-1.46e+08,-3e+06,-2.55e+08,4e+06,4e+06,4e+06,7.89e+08,8.145e+09,5.28e+08,0.7899,0.33024,0.16831,0.03873,0.01132,1.82069,0.61255,2.42153,0.31795,1.19538,1.18512,7.10223,30.27617,2.17642,0.43693,5,0.01632,0.02177,0.36552,10.31179,14.29877
"32","2018_Q1",48.4875409836066,"Down",1.399e+09,-2.88e+08,1.111e+09,-8.99e+08,-8.99e+08,2.12e+08,-7.1e+07,-9.6e+07,2.5e+07,1.41e+08,1.41e+08,-2e+08,-5.9e+07,-5.9e+07,-5.9e+07,-5.9e+07,1e+07,1e+07,5.15e+08,4.45e+08,5.22e+08,5.65e+08,5.65e+08,1.612e+09,2.1466e+10,2.1466e+10,2.867e+09,4.11e+08,2.456e+09,2.4333e+10,2.5945e+10,1.001e+09,9.02e+08,1.325e+09,4.84e+08,8.41e+08,6.14e+08,5.62e+08,2.94e+09,7.094e+09,7.094e+09,8.585e+09,5.45e+08,2.555e+09,5.485e+09,1.5679e+10,1.8619e+10,5.542e+09,1.66e+09,-1.8e+07,7.184e+09,1.42e+08,7.326e+09,2.5945e+10,-5.9e+07,2.23e+08,1.78e+08,1.29e+08,4.71e+08,-6.09e+08,-1.6e+07,5e+06,-6.2e+08,-1.11e+08,2.78e+08,-7e+06,1.6e+08,1.1e+07,1.1e+07,1.1e+07,4.35e+08,8.419e+09,1.55e+08,0.79414,0.15154,-0.04217,-0.00805000000000001,-0.00227,-2.62712,0.5483,2.5415,0.32449,-0.2432,-0.2432,5.76669,29.61253,0.63891,0.45754,3,0.00214,0.00637,-1.88136,19.33103,39.66509
"33","2018_Q2",50.7696875,"Up",1.585e+09,-5.22e+08,1.063e+09,-7.9e+08,-7.9e+08,2.73e+08,-7.8e+07,-1.01e+08,2.3e+07,1.95e+08,1.95e+08,-4.2e+07,1.53e+08,1.53e+08,1.53e+08,1.53e+08,3e+07,3e+07,6.12e+08,5.14e+08,4.53e+08,4.72e+08,4.72e+08,1.567e+09,2.1666e+10,2.1666e+10,2.846e+09,4.11e+08,2.435e+09,2.4512e+10,2.6079e+10,5.94e+08,4.97e+08,2.13e+09,9.6e+08,1.17e+09,6.21e+08,5.3e+08,3.345e+09,6.766e+09,6.766e+09,8.596e+09,5.41e+08,2.611e+09,5.444e+09,1.5362e+10,1.8707e+10,5.548e+09,1.699e+09,-1.7e+07,7.23e+09,1.42e+08,7.372e+09,2.6079e+10,1.53e+08,2.3e+08,5.8e+07,-1.83e+08,2.58e+08,-5.79e+08,-4e+06,-1.4e+07,-5.97e+08,-1.11e+08,4.75e+08,-2.1e+07,3.6e+08,2.1e+07,2.1e+07,2.1e+07,5.03e+08,8.896e+09,-2.17e+08,0.67066,0.17224,0.09653,0.02075,0.00587,-1.4183,0.46846,2.53757,0.34112,0.62989,0.62602,6.52532,29.76534,-0.89337,0.45698,6,0.01062,-0.00873,0.72549,17.62624,32.47619
"34","2018_Q3",56.0755555555556,"Up",1.563e+09,-1.57e+08,1.406e+09,-1.021e+09,-1.021e+09,3.85e+08,-7.1e+07,-1e+08,2.9e+07,3.14e+08,3.14e+08,-7.4e+07,2.4e+08,2.4e+08,2.4e+08,2.4e+08,2.9e+07,2.9e+07,6.34e+08,5.6e+08,4.75e+08,5.47e+08,5.47e+08,1.685e+09,2.1998e+10,2.1998e+10,2.956e+09,4.11e+08,2.545e+09,2.4954e+10,2.6639e+10,6.74e+08,5.65e+08,1.353e+09,5.06e+08,8.47e+08,6.84e+08,5.45e+08,2.711e+09,7.613e+09,7.613e+09,8.787e+09,5.45e+08,2.63e+09,5.612e+09,1.64e+10,1.9111e+10,5.578e+09,1.827e+09,-1.9e+07,7.386e+09,1.42e+08,7.528e+09,2.6639e+10,2.4e+08,2.33e+08,8.9e+07,0,5.62e+08,-5.33e+08,3999999.99999999,-3e+06,-5.32e+08,-1.12e+08,7.6e+07,-1e+07,-2.3e+07,7e+06,7e+06,7e+06,6.18e+08,8.966e+09,1.59e+08,0.89955,0.24632,0.15355,0.03188,0.00901,0.6625,0.62154,2.53866,0.33657,0.98482,0.9764,6.41362,30.30776,0.65244,0.45958,6,0.01392,0.00629,0.46667,14.46117,23.21299
"35","2018_Q4",59.7792063492063,"Up",1.724e+09,-3.64e+08,1.36e+09,-8.27e+08,-8.27e+08,5.33e+08,-6.9e+07,-1.01e+08,3.2e+07,4.64e+08,4.64e+08,-1.05e+08,3.59e+08,3.59e+08,3.59e+08,3.59e+08,1.1e+07,1.1e+07,6.89e+08,6.05e+08,5.25e+08,4.15e+08,4.15e+08,1.64e+09,2.2379e+10,2.2379e+10,2.94e+09,4.11e+08,2.529e+09,2.5319e+10,2.6959e+10,6.99e+08,5.91e+08,1.17e+09,5.21e+08,6.49e+08,7.11e+08,5.57e+08,2.58e+09,7.614e+09,7.614e+09,8.967e+09,5.29e+08,2.737e+09,5.701e+09,1.6581e+10,1.9161e+10,5.6e+09,2.073e+09,-1.7e+07,7.656e+09,1.42e+08,7.798e+09,2.6959e+10,3.59e+08,2.36e+08,1.63e+08,1.08e+08,8.66e+08,-5.77e+08,-232222505.032376,-1.3e+07,-5.9e+08,-1.11e+08,-1.84e+08,-1e+06,-2.8e+08,-4e+06,-4e+06,-4e+06,7.69e+08,8.784e+09,4.05e+08,0.78886,0.30916,0.20824,0.04604,0.01332,1.12813,0.63566,2.45717,0.32583,1.47071,1.45757,7.06268,31.3642,1.65916,0.45473,5,0.0184,0.01585,0.30919,11.40832,16.45966
