"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",11.3737096774194,"Down",371617000,-291177000,80440000,-64040000,-47324000,-9860000,-1285000,16400000,-1593000,-1972000,390000,-11000,14807000,14807000,-3766000,11041000,9995000,-73000,9922000,9922000,39106000,39106000,163461000,163461000,31281000,10646000,20635000,233848000,150947000,490929000,51959000,367495000,16963000,641876000,875724000,167901000,21690000,146211000,54307000,231457000,67856000,4431000,4431000,72287000,303744000,446265000,-17034000,125429000,554675000,17305000,571980000,875724000,9995000,9975000,13174000,-11383000,21761000,-11938000,-352000,-28000,-12318000,-8451000,956000,956000,0,-7495000,1948000,1948000,1948000,26375000,122163000,6820000,0.21646,0.04413,0.0267,0.01735,0.01133,0.68736,1.01033,0.53104,0.1395,0.33013,0.32613,12.36456,18.45533,0.22692,0.0142,0.00976,3.14908,5.06445
"12","2013_Q1",11.6193333333333,"Up",350163000,-278731000,71432000,-62981000,-46781000,-9825000,-1152000,8451000,-1805000,-6045000,604000,3636000,6646000,-155457000,34316000,-121141000,-122007000,15195000,-106812000,-106812000,14545000,14545000,169172000,169172000,22071000,10631000,11440000,205788000,156709000,368098000,47050000,209594000,18650000,524807000,730595000,163371000,29175000,134196000,35807000,204787000,66904000,4671000,4671000,71575000,276362000,450824000,-17116000,18617000,452340000,1893000,454233000,730595000,-122007000,10013000,132534000,-4912000,15628000,-16042000,-3755000,53000,-19744000,-18952000,990000,990000,-2483000,-20445000,-24561000,-24561000,-24561000,18464000,102711000,-36806000,0.204,0.02413,-0.30504,-0.23515,-0.1462,0.34459,1.00489,0.60841,0.14059,-3.51818,-3.63863,11.5337,14.89921,-1.21232,-0.19019,-0.06554,4.77502,10.43261
"13","2013_Q2",11.4546875,"Down",328602000,-265507000,63095000,-57728000,-41848000,-9970000,-2056000,5367000,-659000,-1081000,363000,59000,4708000,4708000,-1851000,2857000,2133000,546000,2679000,2679000,7021000,7021000,144659000,144659000,30707000,14478000,16229000,182387000,156481000,373449000,46792000,209994000,24855000,529930000,712317000,163619000,27646000,135973000,35807000,202821000,42952000,4761000,4761000,47713000,250534000,456078000,-17119000,21296000,460270000,1513000,461783000,712317000,2133000,10123000,7417000,12743000,32416000,-10013000,-627000,42000,-16825000,-23952000,837000,837000,0,-23115000,-7524000,-7524000,-7524000,15490000,78759000,20071000,0.19201,0.01633,0.00815,0.0058,0.00376,7.49197,0.89925,0.54254,0.11057,0.08743,0.08613,10.72461,15.02187,0.65506,0.00491,0.03681,4.63125,13.3665
"14","2013_Q3",14.83359375,"Up",315960000,-252772000,63188000,-56652000,-41378000,-9411000,-1224000,6536000,-903000,-703000,337000,-537000,5633000,3346999.99999997,-1342000,2005000,1847000,-7000,1840000,1840000,30118000,30118000,124766000,124766000,26925000,13369000,12006000,181809000,156887000,361557000,43109000,209260000,23932000,518444000,700253000,152038000,21658000,130380000,35807000,191014000,3.9e+07,5209000,5209000,44209000,235223000,458508000,-18056000,23136000,463603000,1427000,465030000,700253000,1847000,9556000,14614000,7544000.00000001,33561000,-9456000,2082000,-16000,-7390000,-3952000,971000,971000,-93000.0000000002,-3074000,23097000,23097000,23097000,16092000,74807000,15522000,0.19999,0.02069,0.00582,0.00395999999999999,0.00263000000000001,8.43587,0.95181,0.50582,0.10683,0.0590500000000006,0.0584299999999997,10.13992,14.87815,0.49814,0.00338000000000002,0.02848,2.77709,6.83736
"15","2013_Q4",16.101875,"Up",301285000,-249139000,52146000,-54830000,-40308000,-8925000,-1653000,-2684000,6253000,-654000,354000,6553000,3569000,-147973000,56929000,-91044000,-91777000,709000,-91068000,-91068000,43626000,43626000,111149000,111149000,79635000,11460000,9819000,234410000,160077000,360082000,42332000,208126000,26501000,520159000,754569000,297625000,24362000,273263000,34855000,332480000,3.6e+07,8297000,8297000,44297000,376777000,462995000,-18080000,-67932000,376998000,794000,377792000,754569000,-91777000,9051000,-47928000,158539000,27885000,-9388000,1643000,9000,-11241000,-3952000,886000,886000,-70000,-3136000,13508000,13508000,13508000,6367000,70855000,98589000,0.17308,-0.00891,-0.30227,-0.24105,-0.12069,-1.08259,0.70503,0.99731,0.0939,-2.89059,-2.89059,9.56309,11.96629,3.12931,-0.1993,0.21576,4.27658,-10.14493
"16","2014_Q1",15.3895081967213,"Down",303497000,-253142000,50355000,-55053000,-41457000,-8565000,-1586000,-4698000,-3195000,-1920000,466000,-1741000,-7893000,-13557000,5037000,-8520000,-9978000.00000001,349000,-9629000.00000003,-9629000.00000003,17303000,17303000,111133000,111133000,76843000,10669000,10785000,205279000,159025000,362102000,36690000,208915000,26283000,521127000,726406000,298512000,20139000,278373000,13904000,312416000,3.3e+07,8511000,8511000,41511000,353927000,467923000,-18176000,-77561000,372201000,278000,372479000,726406000,-9978000.00000001,8653000,11212000,-1485999.99999997,8401000,-11070000,421000,-18000,-11002000,-23951000,748000,748000,-519000,-23722000,-26323000,-26323000,-26323000,3955000,46904000,-13638000,0.16592,-0.01548,-0.03173,-0.02585,-0.01326,1.41635,0.65707,0.95019,0.06457,-0.303920000000001,-0.31172,9.57917,11.74766,-0.43045,-0.0225,-0.0318700000000001,7.48445,-6.30077
"17","2014_Q2",14.17,"Down",298739000,-260179000,38560000,-55925000,-42698000,-7902000,-431000,-17365000,-278000,-1255000,787000,190000,-17643000,-19851000,7618000,-12233000,-12510000,93000,-12417000,-12417000,2840000,2840000,115350000,115350000,85327000,13675000,14309000,203517000,157034000,366839000,34336000,208923000,27589000,523873000,727390000,311762000,24198000,287564000,12952000,324714000,3e+07,9761000,9761000,39761000,364475000,470884000,-18191000,-89978000,362730000,185000,362915000,727390000,-12510000,7936000,641000,-2409000,-6342000,-5532000,645000,-33000,-4920000,-3952000,746000,746000,5000,-3201000,-14463000,-14463000,-14463000,-9429000,42952000,-24988000,0.12908,-0.05813,-0.04156,-0.03421,-0.01707,2.0124,0.62676,1.0043,0.05905,-0.38969,-0.38969,9.37544,11.38369,-0.78421,-0.02988,-0.06012,-4.25411,-2.30993
"18","2014_Q3",19.29359375,"Up",305006000,-243919000,61087000,-48526000,-35524000,-7692000,-1069000,12561000,-208000,-1336000,884000,244000,12353000,12353000,-4743000,7609999.99999999,7670999.99999999,-52000,7619000,7619000,11225000,11225000,110934000,110934000,36752000,10855000,15185000,158911000,148346000,403039000,34112000,205587000,28898000,551385000,710296000,188459000,18886000,169573000,12277000,200736000,1.32e+08,6518000,6518000,138518000,339254000,473668000,-19464000,-82359000,371860000,-818000,371042000,710296000,7670999.99999999,7698000,11341000,-115839000,-89129000,-3536000,1588000,-29000,-4472000,101325000,666000,666000,-5000,101986000,8385000,8385000,8385000,20259000,144277000,-94373000,0.20028,0.04118,0.02498,0.02053,0.01073,-12.38653,0.79164,0.91433,0.20312,0.23624,0.23375,9.45726,11.53019,-2.9262,0.0146,-0.18085,6.56755,10.59247
"19","2014_Q4",24.6925,"Up",300281000,-239620000,60661000,-44413000,-32018000,-6515000,-1697000,16248000,-2293000,-2966000,563000,110000,13955000,13955000,-5358000,8597000,8597000,-158000,8439000,8439000,5542000,5542000,102859000,102859000,34033000,11303000,12577000,142434000,141419000,398360000,34096000,205587000,30199000,539779000,682213000,179065000,19363000,159702000,1.2e+07,191065000,102299000,5748000,5748000,108047000,299112000,477149000,-19483000,-73920000,383761000,-660000,383101000,682213000,8597000,6515000,19336000,-9106000,25342000,-811000,2e+06,-33000,230000,-30906000,552000,552000,-901000,-31255000,-5683000,-5683000,-5683000,22763000,114299000,18204000,0.20201,0.05411,0.0281,0.02203,0.01237,2.15713,0.74547,0.78077,0.16754,0.25992,0.25624,9.24852,11.81967,0.56068,0.01677,0.03618,4.7778,6.69356
"20","2015_Q1",28.2131147540984,"Up",300528000,-239840000,60688000,-44978000,-33404000,-6198000,-2400000,15710000,-292000,-2566000,757000,1517000,15418000,14519000,-5188000,9331000,9331000,-196000,9135000,9135000,8032000,8032000,99325000,99325000,28201000,8493000,19708000,135558000,137455000,396729000,33193000,205587000,33161000,534184000,669742000,147938000,16056000,131882000,1.2e+07,162323000,104372000,5285000,5285000,109657000,271980000,481797000,-19860000,-64785000,397167000,595000,397762000,669742000,9331000,6198000,24476000,-35410000,4595000,-2126000,0,-25999.9999999999,-5138000,2879000,1033000,1033000,-879000,3033000.00000001,2490000,2490000,2490000,21908000,116372000,-10440000,0.20194,0.05227,0.0304,0.02297,0.01364,-1.14286,0.83511,0.68378,0.17376,0.28003,0.26947,9.21272,12.17519,-0.32004,0.01759,-0.0201,4.94523,6.89624
"21","2015_Q2",31.1588888888889,"Up",301572000,-239516000,62056000,-44967000,-33070000,-6537000,-2384000,17089000,1681000,-2404000,1951000,2134000,18770000,-56423000,21591000,-34832000,-34832000,-177000,-35009000,-35009000,3132000,3132000,110651000,110651000,32060000,8504000,23556000,145843000,57088000,420396000,33193000,205587000,35051000,477484000,623327000,150205000,23651000,126554000,1.2e+07,164234000,86444000,5214000,5214000,91658000,255892000,486302000,-19860000,-99794000,366663000,772000,367435000,623327000,-34832000,6537000,59367000,-16589000,14483000,-2113000,0,45000,-2068000,-1.8e+07,685000,685000,0,-17315000,-4900000,-4900000,-4900000,23626000,98444000,-16667000,0.20578,0.05667,-0.11609,-0.09528,-0.05616,0.47608,0.88802,0.69643,0.15793,-1.06934,-1.06934,9.2114,11.19958,-0.50909,-0.07431,-0.03538,4.0342,5.57739
"22","2015_Q3",42.17703125,"Up",314152000,-246948000,67204000,-51677000,-42113000,-4615000,-2193000,15527000,2912000,-2412000,4826000,498000,18439000,18439000,-7566000,10873000,10873000,-236000,10637000,10637000,33201000,33201000,110454000,110454000,24715000,7568000,17147000,168370000,66953000,410110000,33193000,205587000,30845000,477063000,645433000,160700000,21911000,138789000,1.2e+07,176029000,83517000,5837000,5837000,89354000,265383000,490509000,-22026000,-89157000,379341000,709000,380050000,645433000,10873000,4615000,13745000,13321000,42554000,-14555000,-4.65661287307739e-10,5962000,-9754000,-3e+06,569000,569000,-3e+05,-2731000,30069000,30069000,30069000,20142000,95517000,26474000,0.21392,0.04943,0.03386,0.02799,0.01648,2.48886,0.95649,0.69828,0.14799,0.32229,0.31791,9.5186,11.49379,0.80215,0.0221,0.05499,3.09383,4.0134
"23","2015_Q4",39.99546875,"Down",326450000,-256765000,69685000,-50895000,-39551000,-4646000,-3060000,18790000,-1675000,-4929000,1924000,1330000,17115000,15040000,-6465000,8575000,8575000,-135000,8440000,8440000,57051000,57051000,121744000,121744000,37646000,10402000,5641000,216441000,41485000,408510000,33150000,211109000,34259000,449995000,666436000,167464000,24226000,143238000,3750000,171214000,96250000,4998000,4998000,101248000,272462000,495862000,-22029000,-80717000,393131000,843000,393974000,666436000,8575000,4646000,16642000,841000,30704000,-1301000,-5387000,51000,-8037000,3e+06,736000,736000,-2553000,1183000,23850000,23850000,23850000,23436000,1e+08,29441000,0.21346,0.05756,0.02585,0.02142,0.01266,3.48827,1.26415,0.69157,0.15005,0.25477,0.25096,9.8542,11.86703,0.8887,0.01691,0.059,1.83261,2.28574
"24","2016_Q1",38.5834426229508,"Down",338367000,-262111000,76256000,-59560000,-46452000,-4238000,-4187000,16696000,5940000,-967000,1122000,5785000,22636000,22636000,-9564000,13072000,13072000,-161000,12911000,12911000,27502000,27502000,125010000,125010000,22751000,8110000,14641000,175263000,42695000,463757000,44047000,261663000,32802000,506452000,681715000,170193000,25682000,144511000,5e+06,175193000,91630000,4456000,4456000,96086000,271279000,504325000,-26966000,-67806000,409568000,868000,410436000,681715000,13072000,4238000,18652000,-15918000,20044000,16540000,-63330000,152000,-47562000,0,-3968000,613000,1937000,-2031000,-29549000,-29549000,-29549000,20934000,96630000,31120000,0.22536,0.04934,0.03816,0.03146,0.01894,2.41035,1.0004,0.66095,0.14175,0.38887,0.40043,10.19147,12.33601,0.93732,0.02524,0.06084,3.30219,4.14039
"25","2016_Q2",50.47484375,"Up",348817000,-278554000,70263000,-59200000,-46717000,-4473000,-4070000,11063000,-360000,-1090000,-5000,735000,10703000,10703000,-4388000,6315000,6315000,-102000,6213000,6213000,7824000,7824000,153860000,153860000,15045000,9086000,5959000,176729000,43963000,484953000,43548000,285124000,34914000,528916000,705645000,180367000,33627000,146740000,2e+07,200367000,90565000,3934000,3934000,94499000,294866000,510916000,-39529000,-61593000,409809000,970000,410779000,705645000,6315000,4473000,14697000,-13241000,12244000,-6702000,-27682000,230000,-34154000,13750000,-11677000,638000,159000,2232000,-19678000,-19678000,-19678000,15536000,110565000,-19000,0.20143,0.03172,0.01781,0.01512,0.0088,-0.00306,0.88203,0.71782,0.15669,0.18873,0.18542,10.5959,12.44863,-0.00058,0.01183,-4e-05,6.61309,9.2869
"26","2016_Q3",49.90296875,"Down",360746000,-283848000,76898000,-58540000,-45576000,-4975000,-3736000,18358000,-273000,-1294000,363000,658000,18085000,18085000,-7242000,10843000,10843000,-147000,10696000,10696000,9968000,9968000,152213000,152213000,17338000,7931000,9407000,179519000,44617000,486966000,47728000,280349000,37875000,531583000,711102000,184786000,35070000,149716000,5e+06,189786000,89500000,3991000,3991000,93491000,283277000,523618000,-45829000,-50897000,426907000,918000,427825000,711102000,10843000,4975000,1.7e+07,-18167000,14651000,-3213000,48000,2.91038304567337e-11,-3597000,-16250000,569000,569000,6771000,-8910000,2144000,2144000,2144000,23333000,94500000,9195000,0.21316,0.05089,0.02965,0.025,0.01504,0.85967,0.9459,0.66213,0.13289,0.3222,0.31731,10.86683,12.85981,0.27698,0.02032,0.01747,3.62285,4.60464
"27","2016_Q4",42.5219047619048,"Down",361595000,-289143000,72452000,-58093000,-42658000,-5214000,-4750000,14359000,3835000,-1122000,3244000,1713000,18194000,18194000,-6693000,11501000,11501000,-66000,11435000,11435000,8915000,8915000,162500000,162500000,22018000,9948000,12070000,193433000,42960000,485339000,47249000,284552000,39741000,528299000,721732000,176954000,33088000,143866000,5220000,182174000,88874000,4306000,4306000,93180000,275354000,531147000,-46253000,-39462000,445447000,931000,446378000,721732000,11501000,5214000,17768000,-27680000,6803000,-3587000,-3744000,0,-7649000,-1250000,611000,611000,432000,-207000,-1053000,-1053000,-1053000,19573000,94094000,-5001000,0.20037,0.03971,0.03162,0.02562,0.01584,-0.43734,1.0618,0.61686,0.13037,0.3433,0.33808,10.85577,13.37317,-0.15014,0.02099,-0.00918,4.35186,5.9321
"28","2017_Q1",47.6941935483871,"Up",348103000,-289817000,58286000,-40294000,-45097000,-5016000,-3845000,17992000,1024000,-1583000,1986000,621000,19016000,14584000,-5612000,8972000,8972000,-55000,8917000,8917000,30197000,30197000,166056000,166056000,18657000,7397000,11260000,214910000,36999000,482120000,46755000,288957000,38468000,519119000,734029000,176128000,30358000,145770000,5220000,181348000,87809000,3730000,3730000,91539000,272887000,537507000,-46774000,-30545000,460203000,939000,461142000,734029000,8972000,5016000,3043000,11530000,28561000,-2215000,-4144000,2.91038304567337e-11,-6649000,-1250000,665000,665000,-45000,-630000,21282000,21282000,21282000,23008000,93029000,37935000,0.16744,0.05169,0.02562,0.01934,0.01215,4.25423,1.18507,0.59176,0.12674,0.26725,0.26284,10.43287,13.79257,1.13694,0.01598,0.068,2.73088,3.49222
"29","2017_Q2",58.237619047619,"Up",364661000,-290788000,73873000,-48708000,-40417000,-4417000,-3874000,25165000,-43000,-1049000,-106000,1112000,25122000,25122000,-9923000,15199000,15199000,-69000,15130000,15130000,48334000,48334000,172707000,172707000,22061000,10097000,11964000,243102000,36676000,476850000,46220000,292793000,38894000,513526000,756628000,177016000,29444000,147572000,6888000,183904000,85472000,4306000,4306000,89778000,273682000,544463000,-47531000,-14967000,481980000,966000,482946000,756628000,15199000,4417000,15971000,-8490000,27097000,-4385000,-4099000,565000,-8175000,-1250000,1265000,1265000,-8e+05,-785000,18137000,18137000,18137000,29582000,92360000,26630000,0.20258,0.06901,0.04149,0.03133,0.02,1.76008,1.3219,0.56669,0.12207,0.45241,0.44405,10.90396,14.41198,0.79628,0.0261,0.04594,1.48827,1.74949
