"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2013_Q3",28.7434375,"Up",41327000,-4426000,36901000,-29108000,-29108000,7793000,113000,113000,7906000,7906000,-2706000,5200000,5200000,5200000,5200000,73381000,73381000,15463000,15463000,9278000,3400000,3191000,98122000,5811000,6386000,1271000,4460000,12197000,110319000,43184000,28962000,13200000,2090000,2090000,45274000,11676000,11676000,11676000,56950000,9639000,53743000,-2115000,53369000,53369000,110319000,5200000,760000,486000,3532000,9978000,-1209000,-1209000,-1209000,-1472000,0,8506000,8506000,-232000,8274000,8553000,0,13582000,0.8929,0.18857,0.12583,0.09743,0.04714,2.61192,2.16729,1.0671,0,0.3385,0.33585,2.69021,3.47409,0.88413,0.07994,0.20881,-8.57956,-9.41627
"13","2013_Q4",22.003125,"Down",37255000,-4322000,32933000,-28958000,-28958000,3975000,225000,225000,4200000,-17800000,-1236000,-19036000,-19036000,-19036000,-19036000,77900000,77900000,14818000,14818000,10495000,3483000,4504000,103213000,6376000,4366000,1229000,2597000,10742000,113955000,39072000,27676000,10043000,27046000,2046000,66118000,11811000,11811000,11811000,77929000,10014000,34707000,-797000,36026000,36026000,113955000,-19036000,709000,449000,20065000,2187000,-1487000,-1487000,-1487000,562000,0,2749000,2749000,1770000,4519000,4684000,0,24498000,0.88399,0.1067,-0.51096,-0.5284,-0.16705,-1.28693,1.56104,2.16313,0,-1.23916,-1.23916,2.42514,2.34514,1.59471,-0.39793,0.51211,-16.63108,-19.59748
"14","2014_Q1",22.7337704918033,"Up",49874000,-5744000,44130000,-31945000,-31945000,12185000,-394000,-394000,11791000,2963000,-1304000,1659000,1659000,1659000,1659000,66223000,66223000,13986000,13986000,21265000,3598000,2656000,101474000,8245000,5083000,2032000,2647000,13328000,114802000,42590000,31766000,10824000,27972000,1578000,70562000,12905000,12905000,12905000,83467000,10410000,37117000,-530000,31335000,31335000,114802000,1659000,942000,637000,-5940000,-2702000,-1914000,-1914000,-1914000,-1793000,-8452000,-12947000,-12947000,195000,-12752000,13127000,0,6577000,0.88483,0.24432,0.03326,0.05294,0.01445,3.96444,1.43808,2.6637,-9.86076131526265e-32,0.11067,0.11164,3.32715,2.09039,0.43876,0.0374999999999999,0.14867,-5.04479,-5.4348
"15","2014_Q2",19.1052380952381,"Down",40195000,-4777000,35418000,-28421000,-28421000,6997000,122000,122000,7119000,7119000,-2481000,4638000,4638000,4638000,4638000,61035000,61035000,15355000,15355000,5456000,2538000,1388000,81846000,10305000,5092000,2032000,2711000,15397000,97243000,39545000,28999000,9820000,13671000,1959000,53216000,13657000,13657000,13657000,66873000,10805000,41409000,-613000,30370000,30370000,97243000,4638000,701000,410000,-3998000,1751000,-1019000,-1019000,-1019000,-819000,-6048000,-5116000,-5116000,-72000,-5188000,7698000,0,5162000,0.88115,0.17408,0.11539,0.15272,0.04769,1.11298,1.538,2.20194,0,0.31169,0.30982,2.70128,2.04099,0.34691,0.10534,0.11725,-7.92868,-8.72302
"16","2014_Q3",17.30203125,"Down",36883000,-4374000,32509000,-25875000,-25875000,6634000,55000,55000,6689000,10189000,-2266000,7923000,7923000,7923000,7923000,60502000,60502000,16529000,16529000,5783000,2353000,2015000,82814000,9668000,5435000,2476000,2661000,15103000,97917000,34907000,24108000,9100000,1e+07,1801000,44907000,14079000,14079000,14079000,58986000,11200000,49331000,-83000.0000000002,38931000,38931000,97917000,7923000,641000,74000,-9167000,-529000,-405000,-405000,-405000,-405000,-286000,-1220000,-1220000,687000,-532999.999999999,7275000,0,-31000,0.88141,0.17987,0.21481,0.20351,0.08092,-0.00391000000000008,1.84412,1.51514,0,0.53774,0.53555,2.50326,2.64226,-0.00209999999999999,0.14946,-0.000580000000000011,-8.31643,-9.11999
"17","2014_Q4",13.183125,"Down",41871000,-5383000,36488000,-29885000,-29885000,6603000,262000,262000,6865000,745000,-158000,587000,587000,587000,587000,57206000,57206000,15695000,15695000,6823000,2265000,3604000,79724000,9553000,5313000,2523000,2563000,14866000,94590000,33466000,21437000,10272000,6963000,1227000,40429000,14302000,14302000,14302000,54731000,11243000,51867000,-1734000,39859000,39859000,94590000,587000,790000,170000,-3426000,-1879000,-1761000,-1761000,-1761000,-1759000,0,-3638000,-3638000,-1549000,-5187000,7393000,0,2364000,0.87144,0.1577,0.01402,0.01473,0.00621,4.02726,1.97195,1.37312,0,0.03985,0.03974,2.84257,2.70597,0.16049,0.01084,0.04365,-7.73786,-8.66364
"18","2015_Q1",9.92770491803279,"Down",34291000,-4640000,29651000,-28332000,-28332000,1319000,-348000,-348000,971000.000000001,-152000.000000001,66000.0000000002,-86000,-86000,-86000,-86000,55417000,55417000,16124000,16124000,7829000,2676000,3756000,79370000,9498000,4439000,1432000,3007000,13937000,93307000,40246000,26858000,12814000,2865000,1472000,43111000,14369000,14369000,14369000,57480000,30749000,29197000,-2602000,35827000,35827000,93307000,-86000,854000,899000,-2597000,-930000,-628000,-628000,-628000,-604000,1641000,107000,107000,-2450000,-2343000,2173000,0,-1118000,0.86469,0.03846,-0.00250999999999999,-0.00240000000000003,-0.000920000000000004,13,1.84106,1.60438,0,-0.00583999999999996,-0.00585000000000008,2.32829,2.43258,-0.07591,-0.00171000000000003,-0.02227,-25.50253,-42.0144
"19","2015_Q2",12.1366666666667,"Up",39145000,-4546000,34599000,-28528000,-28528000,6071000,-446000,-446000,5625000,2536000,-1806000,730000,730000,730000,730000,53975000,53975000,15974000,15974000,7495000,2530000,2885000,77444000,8693000,3470000,1482000,1884000,12163000,89607000,33733000,22526000,10518000,1470000,1470000,35203000,14802000,14802000,14802000,50005000,11354000,55031000,-5266000,39602000,39602000,89607000,730000,823000,-158000,-69000,1326000,-189000,-189000,-189000,-132000,794000,1988000,1988000,-2822000,-834000,6894000,0,8442000,0.88387,0.15509,0.01865,0.01843,0.00815,11.56438,2.19993,1.26269,0,0.04956,0.04956,2.6575,2.68853,0.57312,0.01342,0.15517,-7.82927,-8.89063
"20","2015_Q3",9.37265625,"Down",36792000,-5208000,31584000,-26050000,-26050000,5534000,-218000,-218000,5316000,2110000,-1268000,842000,842000,842000,842000,55283000,55283000,17380000,17380000,6281000,2312000,2060000,78944000,8413000,3628000,1707000,1866000,12041000,90985000,32896000,21485000,10830000,1105000,1105000,34001000,14849000,14849000,14849000,48850000,11502000,56255000,-4105000,42135000,42135000,90985000,842000,687000,98999.9999999999,-2086000,-458000,-564000,-564000,-564000,-564000,1219000,197000,197000,1697000,1894000,6221000,2.71050543121376e-20,4839000,0.85845,0.15041,0.02289,0.01998,0.00925,5.74703,2.32181,1.15937,0,0.05716,0.05716,2.49776,2.86049,0.32851,0.01478,0.08492,-8.88651,-9.9897
"21","2015_Q4",8.803125,"Down",33728000,-4742000,28986000,-25209000,-25209000,3777000,-202000,-202000,3575000,658000,8199000,8857000,8857000,8857000,8857000,34570000,34570000,17822000,17822000,6315000,2639000,1745000,58707000,8361000,3903000,1935000,1953000,12264000,70971000,41200000,23031000,17312000,1268000,1268000,42468000,6117000,6117000,6117000,48585000,30895000,16892000,-3884000,22386000,22386000,70971000,8857000,688000,488000,-9826000,207000,-132000,-132000,-132000,-17097000,-3482000,-20372000,-20372000,-1535000,-21907000,4465000,0,-13692000,0.8594,0.11198,0.2626,0.39565,0.1248,-1.5459,1.38238,2.17033,0,0.60129,0.60129,2.28975,1.51976,-0.92953,0.31074,-0.48037,-7.74244,-9.15277
"22","2016_Q1",7.77,"Down",14296000,-3652000,10644000,-9992000,-9992000,652000,-376000,-376000,276000,-2726000,820000.000000002,-1906000,435000,435000.000000002,435000.000000002,35128000,35128000,16398000,16398000,5535000,2167000,1356000,57061000,7905000,3613000,1769000,1844000,11518000,68579000,39930000,23655000,15798000,1085000,1085000,41015000,6177000,6177000,6177000,47192000,7909000,17386000,-3908000,21387000,21387000,68579000,435000,590000,163000,1929000,3117000,-397000,-397000,-397000,-398999.999999998,-1569000,1149000,1149000,-591000,557999.999999996,1242000,-4.33680868994202e-19,1954000,0.74454,0.04561,0.0304300000000001,0.02034,0.00634000000000003,4.49195,1.39122,2.20657,3.23117426778526e-27,0.0295999999999997,0.0296000000000001,0.97265,1.4551,0.13294,0.01578,0.0708899999999998,-28.28341,-53.8773
"23","2016_Q2",7.93921875,"Up",30828000,-3851000,26977000,-21343000,-21343000,5634000,133000,133000,5767000,2979000,-1154000,1825000,2049000,2049000,2049000,28807000,28807000,17414000,17414000,4912000,2204000,436000,51133000,7374000,3566000,1900000,1666000,10940000,62073000,33108000,22118000,9915000,1117000,1117000,34225000,5972000,5972000,5972000,40197000,6157000,19435000,-3716000,21876000,21876000,62073000,2049000,642000,36000,-1313000,1414000,-145000,-145000,-145000,-92000,-7566000,-6244000,-6244000,-77000,-6321000,6276000,0,5972000,0.87508,0.18276,0.06647,0.09366,0.03301,2.91459,1.49402,1.83749,0,0.14205,0.14205,2.13712,1.51653,0.414,0.07358,0.21445,-4.59003,-5.11306
"24","2016_Q3",11.159375,"Up",29798000,-3471000,26327000,-20889000,-20889000,5438000,-91000.0000000001,-91000.0000000001,5347000,3346000,-1548000,1798000,2020000,2020000,2020000,27560000,27560000,18400000,18400000,4278000,1828000,833000,50238000,7228000,2687000,570000,2117000,9915000,60153000,33464000,20843000,10982000,1040000,1040000,34504000,5959000,5959000,5959000,40463000,1860000,21455000,-3625000,19690000,19690000,60153000,2020000,608000,475000,-611999.999999999,2491000,-503000,-503000,-503000,-498000,-3048000,-1055000,-1055000,-192000,-1247000,6046000,3.46944695195361e-18,6479000,0.88352,0.1825,0.06779,0.10259,0.03358,3.20743,1.45601,2.055,-5.16987882845642e-26,0.14361,0.14361,2.11844,1.39983,0.46061,0.07876,0.2526,-4.55839,-5.06804
"25","2016_Q4",11.0869841269841,"Down",26824000,-3271000,23553000,-19448000,-19448000,4105000,251000,251000,4356000,2126000,-748000,1378000,1619000,1619000,1619000,24839000,24839000,16692000,16692000,5674000,2472000,1657000,47205000,6730000,2525000,655000,1870000,9255000,56460000,28961000,18616000,8316000,789000,789000,29750000,5915000,5915000,5915000,35665000,1530000,23074000,-3809000,20795000,20795000,56460000,1619000,606000,-334000,-3880000,-1989000,-154000,-154000,-154000,-154000,-771000,-2914000,-2914000,193000,-2721000,4711000,0,1425000,0.87806,0.15303,0.06036,0.07786,0.02868,0.88017,1.58672,1.71508,0,0.11699,0.11675,1.93829,1.50264,0.10297,0.06061,0.05335,-5.27255,-6.05091
"26","2017_Q1",9.34,"Down",26813000,-3262000,23551000,-19446000,-19446000,4105000,-480000,-480000,3625000,1548000,-542000,1006000,943000,943000,943000,26838000,26838000,14415000,14415000,3213000,1773000,542000,44466000,6158000,2906000,1052000,1854000,9064000,53530000,29104000,19714000,8699000,719000,719000,29823000,5643000,5643000,5643000,35466000,135000,21716000,-3787000,18064000,18064000,53530000,943000,674000,342000,4847000,6806000,-107000,-107000,-107000,-107000,-3935000,2764000,2764000,-8e+05,1964000,4779000,0,10061000,0.87834,0.1531,0.03517,0.0522,0.01762,10.66914,1.491,1.96335,0,0.06904,0.06919,1.96317,1.32259,0.73664,0.03978,0.42439,-5.61582,-6.53788
"27","2017_Q2",9.97222222222222,"Up",28429000,-3207000,25222000,-20803000,-20803000,4419000,7000,7000,4426000,2069000,-1209000,860000,2744000,2744000,2744000,28594000,28594000,14189000,14189000,1848000,1704000,0,44631000,5731000,3807000,1818000,1989000,9538000,54169000,28289000,16611000,9507000,1214000,1214000,29503000,5669000,5669000,5669000,35172000,132000,22685000,-3820000,18997000,18997000,54169000,2744000,579000,-2768000,0,555000,-120000,-120000,-120000,-120000,1128000,1563000,1563000,171000,1734000,4998000,0,6087000,0.88719,0.15544,0.09652,0.14444,0.05066,2.21829,1.51276,1.85145,0,0.2065,0.2065,2.13945,1.42964,0.45808,0.11125,0.24678,-5.72109,-6.47069
"28","2017_Q3",9.33206349206349,"Down",26411000,-3222000,23189000,-19459000,-19459000,3730000,17999.9999999999,17999.9999999999,3748000,1404000,-771000,633000,687000,687000,687000,21331000,21331000,12576000,12576000,2829000,1481000,639000,36736000,5418000,3686000,1860000,1826000,9104000,45840000,24584000,14194000,9334000,954000,954000,25538000,5276000,5276000,5276000,30814000,128000,18585000,-3687000,15026000,15026000,45840000,687000,522000,38000,-3808000,-2561000,-186000,-186000,-186000,-186000,-5062000,-7809000,-7809000,583000,-7226000,4252000,0,1029000,0.87801,0.14123,0.02601,0.04572,0.01499,1.49782,1.43848,2.05071,0,0.05272,0.05261,2.02694,1.15318,0.07897,0.03384,0.05068,-5.0167,-5.71877
"29","2017_Q4",6.8615873015873,"Down",24687000,-3018000,21669000,-19336000,-19336000,2333000,86000,86000,2419000,104000,-680000,-576000,-576000,-576000,-576000,18822000,18822000,11434000,11434000,3897000,1961000,1540000,34153000,5265000,3746000,1800000,1946000,9011000,43164000,24834000,15966000,7932000,897000,897000,25731000,5284000,5284000,5284000,31015000,125000,15580000,-3556000,12149000,12149000,43164000,-576000,504000,227000,-33000,122000,-180000,-180000,-180000,-180000,-2732000,-2790000,-2790000,306000,-2484000,2837000,0,3304000,0.87775,0.0945,-0.02333,-0.04741,-0.01334,-5.73611,1.32731,2.55289,0,-0.04561,-0.04561,1.95494,0.96207,0.26164,-0.03304,0.18953,-6.63447,-8.06772
"30","2018_Q1",6.78065573770492,"Down",26997000,-3462000,23535000,-20248000,-20248000,3287000,62000,62000,3349000,1141000,-466000,675000,675000,675000,675000,22553000,22553000,11769000,11769000,2917000,2141000,517000,37239000,4921000,3512000,1516000,1996000,8433000,45672000,28768000,19105000,8702000,825000,825000,29593000,3001000,3001000,3001000,32594000,125000,16550000,-3597000,13078000,13078000,45672000,675000,470000,692000,2123000,3960000,-252000,-252000,-252000,-252000,-156000,3552000,3552000,189000,3741000,3757000,1.4210854715202e-14,6094000,0.87176,0.12175,0.025,0.05161,0.01478,9.02815,1.25837,2.49228,2.11758236813575e-22,0.05365,0.05356,2.14568,1.03942,0.48434,0.04198,0.379,-6.00293,-6.86127
"31","2018_Q2",13.40921875,"Up",30884000,-3385000,27499000,-21331000,-21331000,6168000,161000,161000,6329000,3818000,-1316000,2502000,2502000,2502000,2502000,23103000,23103000,12898000,12898000,2452000,2189000,89000,38453000,4641000,3542000,1437000,2105000,8183000,46636000,25707000,14817000,9688000,931000,931000,26638000,3114000,3114000,3114000,29752000,298000,20366000,-3780000,16884000,16884000,46636000,2502000,384000,-191000,-2516000,179000,-65000,-65000,-65000,-65000,0,114000,114000,456000,570000,6552000,0,5287000,0.8904,0.19972,0.08101,0.14819,0.05365,2.11311,1.44354,1.76214,0,0.20077,0.20077,2.47825,1.35484,0.42425,0.12511,0.26438,-3.5261,-3.74562
"32","2018_Q3",14.2309523809524,"Up",28075000,-3016000,25059000,-21595000,-21595000,3464000,30000,30000,3494000,1108000,-631000,477000,477000,477000,477000,19409000,19409000,12509000,12509000,2613000,1731000,794000,34531000,4528000,3626000,1476000,2150000,11115000,45646000,24478000,14251000,9141000,966000,966000,25444000,2827000,2827000,2827000,28271000,647000,20843000,-4115000,17375000,17375000,45646000,477000,443000,385000,-704000,601000,-442000,-442000,-442000,-3525000,1.16415321826935e-10,-2924000,-2924000,-780000,-3704000,3907000,0,3392000,0.89257,0.12338,0.01699,0.02745,0.01045,7.11111,1.35714,1.62711,-3.3881317890172e-21,0.03828,0.03732,2.25285,1.39424,0.27219,0.02361,0.1679,-4.96775,-5.60306
