"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"17","2017_Q3",4.10761904761905,"Down",112792000,-78658000,34134000,-32112000,-9393000,-6279000,-16440000,2022000,-927000,-927000,1095000,-2830000,-1735000,-80000,-1815000,-1815000,-1815000,-8817000,3158000,3158000,2946000,2946000,10075000,7078000,6882000,23257000,164112000,10073000,2070000,174185000,197442000,42499000,9350000,33149000,42499000,60888000,50123000,49417000,111011000,153510000,171358000,-3.5e+07,-92366000,43932000,43932000,197442000,-1815000,6279000,1389000,-6008000,-155000,-5612000,-5612000,7986000,-1000,5675000,-92000,-92000,-90000,8301000,60888000,-3239000,0.30263,0.01793,-0.07817,-0.2007,-0.04466,0.36736,0.54724,3.49426,0.30838,-0.21621,-0.21621,2.76591,1.07731,-0.07943,-0.0569,-0.0209,6.95458,28.55094
"18","2017_Q4",4.79111111111111,"Up",114211000,-79561000,34650000,-31870000,-9807000,-6183000,-15880000,2780000,-893000,-893000,1887000,-10263000,-8376000,41000,-8335000,-8335000,-8335000,-8335000,2088000,2088000,2268000,2268000,9965000,7436000,7338000,21757000,155210000,10106000,2120000,165316000,187073000,38415000,9718000,28697000,38415000,63861000,48901000,48236000,112762000,151177000,171668000,-3.5e+07,-100701000,35896000,35896000,187073000,-8335000,6183000,10157000,-6703000,1302000,-5255000,-5255000,2870000,19000,2889000,-1064000,-1064000,-1070000,8963000,63861000,-3036000,0.30339,0.02434,-0.07298,-0.2322,-0.04455,0.36425,0.56637,4.21153,0.34137,-0.20275,-0.20275,2.77819,0.87317,-0.07385,-0.05607,-0.02042,6.892,22.2205
"19","2018_Q1",6.34803278688525,"Up",112774000,-79610000,33164000,-30778000,-9880000,-5884000,-15014000,2386000,-1011000,-1011000,1375000,-2299000,-924000,437000,-487000,-487000,-487000,-487000,3361000,3361000,2434000,2434000,9929000,6334000,6258000,22058000,152593000,10582000,2617000,163175000,185233000,43869000,10929000,32940000,43869000,57624000,47879000,47463000,105503000,149372000,172049000,-3.5e+07,-101188000,35861000,35861000,185233000,-487000,5884000,2102000,3532000,11031000,-3360000,-3360000,-6138000,-249000,-6387000,1284000,1284000,1273000,8270000,57624000,8005000,0.29407,0.02116,-0.00432,-0.01358,-0.00263,-16.43737,0.50282,4.1653,0.31109,-0.01186,-0.01186,2.74553,0.87305,0.19488,-0.00345,0.05663,6.56143,22.74225
"20","2018_Q2",8.83515625,"Up",110526000,-78591000,31935000,-33033000,-10268000,-5820000,-16945000,-1098000,-1138000,-1138000,-2236000,-1580000,-3816000,241000,-3575000,-3575000,-3575000,-3575000,2624000,2624000,1689000,1689000,9948000,5733000,5631000,19994000,148847000,10496000,2575000,159343000,179337000,38557000,9664000,28893000,38557000,62871000,46502000,46331000,109373000,147930000,172676000,-3.5e+07,-106269000,31407000,31407000,179337000,-3575000,5820000,1964000,-5213000,-1004000,-4805000,-4805000,5038000,34000.0000000001,5072000,-737000,-737000,-737000,4722000,62871000,-5537000,0.28894,-0.00993,-0.03235,-0.11383,-0.01993,1.54881,0.51856,4.7101,0.35057,-0.08692,-0.08692,2.68734,0.76363,-0.13463,-0.02539,-0.03933,12.75879,-54.86976
"21","2018_Q3",11.5714285714286,"Up",117395000,-81489000,35906000,-37488000,-14813000,-5797000,-16878000,-1582000,-1154000,-1154000,-2736000,-3206000,-5942000,7000,-5935000,-5935000,-5935000,-5935000,3640000,3640000,1714000,1714000,10089000,7633000,7511000,23076000,144607000,10370000,2548000,154977000,178053000,43387000,6345000,37042000,44043000,62743000,45098000,44933000,107841000,151884000,173373000,-3.5e+07,-112204000,26169000,26169000,178053000,-5935000,5797000,4035000,-56000,3841000,-2246000,-2246000,1377000,-1956000,-579000,1016000,1016000,1016000,4215000,63399000,1906000,0.30586,-0.01348,-0.05056,-0.2268,-0.03333,-0.32115,0.52394,5.80397,0.35607,-0.14415,-0.14415,2.85127,0.63559,0.04629,-0.04407,0.01415,14.1777,-37.77434
"22","2018_Q4",9.30365079365079,"Down",116727000,-80390000,36337000,-32413000,-10399000,-5790000,-16224000,3924000,-1093000,-1093000,2831000,-1792000,1039000,11000,1050000,1050000,1050000,1050000,1918000,1918000,1959000,1959000,9897000,6826000,6704000,20600000,141375000,10357000,2573000,151732000,172332000,29437000,7294000,22143000,30125000,47097000,43135000,42982000,90232000,120357000,198129000,-3.5e+07,-111154000,51975000,51975000,172332000,1050000,5790000,1996000,-16541000,-7705000,-2886000,-2386000,-15657000,869000,8369000,-1722000,-1722000,-1722000,9714000,47785000,-9724000,0.3113,0.03362,0.00899999999999999,0.0202,0.00609,-9.26094999999999,0.68382,2.31567,0.27728,0.02437,0.02342,2.70863,1.20607,-0.22564,0.00735000000000001,-0.06805,4.72174,11.68884
"23","2019_Q1",7.21327868852459,"Down",113193000,-79398000,33795000,-31655000,-10612000,-5465000,-15578000,2140000,-920000,-920000,1220000,-1190000,30000,-11000,19000,19000,19000,19000,4655000,4655000,2391000,2391000,9646000,6659000,6474000,23351000,138774000,9907000,2216000,148681000,172032000,32428000,7854000,24574000,33147000,44183000,42021000,41888000,86204000,119351000,198816000,-3.5e+07,-111135000,52681000,52681000,172032000,19000,5465000,2556000,2174000,10214000,-4401000,-4401000,-3e+06,89000,-3076000,2737000,2737000,2737000,7605000,44902000,5389000,0.29856,0.01891,0.00017,0.00036,0.00011,283.63158,0.70447,2.26554,0.26101,0.00043,0.00045,2.57712,1.19941,0.12269,0.00014,0.0386,5.29218,18.80701
"24","2019_Q2",7.22349206349206,"Up",110046000,-78613000,31433000,-32103000,-10140000,-5507000,-16456000,-670000,-761000,-761000,-1431000,-420000,-1851000,-3.63797880709171e-12,-1851000,-1851000,-1851000,-1851000,1800000,1800000,2254000,2254000,9870000,3257000,3066000,17181000,138381000,229004000,220671000,367385000,384566000,26920000,10563000,16357000,49198000,47035000,242737000,242604000,289772000,338970000,199574000,-3.5e+07,-118978000,45596000,45596000,384566000,-1851000,5507000,996000,-4538000,114000,-4164000,-5551000,2758000,-176000,2582000,-2855000,-2855000,-2855000,4837000,47785000,-3865000,0.28564,-0.00609,-0.01682,-0.0406,-0.00481,2.08805999999993,0.34922,7.4342,0.12426,-0.04213,-0.04213,2.50485,1.03785,-0.0879700000000001,-0.00551,-0.0115,9.50693,-68.63433
"25","2019_Q3",6.70921875,"Down",120190000,-81636000,38554000,-34432000,-11848000,-5661000,-16923000,4122000,-8e+05,-8e+05,3322000,-2884000,438000,0,438000,438000,438000,438000,3338000,3338000,2544000,2544000,9860000,4988000,4797000,20730000,134692000,225934000,217723000,360626000,381356000,29124000,7567000,21557000,51843000,43714000,238896000,238763000,282610000,334453000,200443000,-3.5e+07,-118540000,46903000,46903000,381356000,438000,5661000,3879000,-1084000,8894000,-3701000,-3701000,-3258000,-397000,-3655000,1538000,1538000,1538000,9783000,44652000,4998000,0.32078,0.0343,0.00364,0.00934,0.00115,11.41096,0.39986,7.13074,0.11709,0.00996,0.00996,2.73296,1.06651,0.11365,0.00133,0.01512,4.22304,10.0228
"26","2019_Q4",5.52046875,"Down",118304000,-79603000,38701000,-33321000,-10436000,-5458000,-17427000,5380000,-737000,-737000,4643000,-336000.000000001,4307000,-64000,4243000,4243000,4243000,4243000,3086000,3086000,2279000,2279000,9875000,4482000,4291000,19722000,134682000,223223000,215106000,357905000,377627000,27433000,8145000,19288000,50989000,41963000,233629000,233432000,275592000,326581000,200343000,-3.5e+07,-114297000,51046000,51046000,377627000,4243000,5458000,990000,-3430000,7261000,-5571000,-5571000,-1688000,-254000,-1942000,-251999.999999999,-251999.999999999,-252000,10838000,43088000,1901000,0.32713,0.04548,0.03587,0.08312,0.01124,0.448029999999999,0.38679,6.39778,0.1141,0.09619,0.08966,2.68197,1.15722,0.0431,0.01295,0.0058,3.6909,7.43532
"27","2020_Q1",6.675,"Up",113871000,-76755000,37116000,-32762000,-11022000,-5460000,-16280000,4354000,-644000,-644000,3710000,-4853000,-1143000,-40000,-1183000,-1183000,-1183000,-1183000,10459000,10459000,3503000,3503000,9871000,5489000,5386000,29322000,128867000,220330000,212293000,349197000,378519000,34509000,9351000,25158000,58034000,40497000,229417000,229217000,269914000,327948000,201051000,-3.5e+07,-115480000,50571000,50571000,378519000,-1183000,5460000,5185000,4329000,13791000,-3616000,-3616000,-2460000,-342000,-2802000,7373000,7373000,7373000,9814000,41247000,10567000,0.32595,0.03824,-0.01039,-0.02339,-0.00313,-8.93238,0.50526,6.4849,0.10897,-0.02681,-0.02648,2.5806,1.14607,0.23947,-0.00368,0.03289,3.13715,7.0712
"28","2020_Q2",5.30746031746032,"Down",100348000,-71495000,28853000,-32651000,-10554000,-5335000,-16762000,-3798000,-968000,-968000,-4766000,-1056000,-5822000,-13000,-5835000,-5835000,-5835000,-5835000,50530000,50530000,1926000,1926000,9538000,2862000,2707000,64856000,128669000,220654000,212632000,349323000,414179000,26367000,9350000,17017000,50099000,85382000,233792000,233578000,319174000,369273000,201221000,-3.5e+07,-121315000,44906000,44906000,414179000,-5835000,5335000,995000,-1153000,-658000,-3919000,-3919000,44649000,-999.999999999884,44648000,40071000,40071000,40071000,1537000,86132000,-3522000,0.28753,-0.03785,-0.05815,-0.12994,-0.01409,0.6036,1.29456,8.22324,0.20796,-0.13219,-0.13219,2.27329,1.0173,-0.07979,-0.01599,-0.00965,23.16331,-9.37388
"29","2020_Q3",7.211875,"Up",80157000,-58833000,21324000,-31291000,-10034000,-5397000,-15860000,-9967000,-920000,-920000,-10887000,-2558000,-13445000,-33000,-13478000,-13478000,-13478000,-13478000,62076000,62076000,2406000,2406000,9510000,3742000,3562000,77734000,124640000,220021000,212012000,344661000,422395000,34080000,11380000,22700000,60974000,93040000,236105000,235858000,329145000,390119000,202069000,-3.5e+07,-134793000,32276000,32276000,422395000,-13478000,5397000,3483000,11963000,7365000,-2891000,-2891000,8074000,-1002000,7072000,11546000,11546000,11546000,-4570000,93790000,4535000,0.26603,-0.12434,-0.16815,-0.41759,-0.03191,-0.33647,1.27487,12.08697,0.22204,-0.30484,-0.30484,1.81297,0.73001,0.10257,-0.03721,0.01252,-6.93961,-3.1819
"30","2020_Q4",7.7125,"Up",105982000,-68901000,37081000,-35990000,-10827000,-5541000,-19622000,1091000,-822000,-822000,269000,-369000,-100000.000000002,-27000,-127000,-127000,-127000,-127000,8621000,8621000,3366000,3366000,9680000,4028000,3952000,25695000,123422000,214053000,206059000,337475000,363170000,34649000,13138000,21511000,60944000,41213000,228151000,227879000,269364000,330308000,202782000,-3.5e+07,-134920000,32862000,32862000,363170000,-127000,5541000,792000,-4599000,1607000,-3077000,-3077000,-52034000,49000,-51985000,-53455000,-53455000,-53455000,6632000,42151000,-1017000,0.34988,0.01029,-0.00119999999999998,-0.00386000000000003,-0.000349999999999996,8.00787,0.42162,10.05137,0.11606,-0.00285999999999992,-0.00286000000000003,2.38914,0.7408,-0.02293,-0.000420000000000004,-0.00335,5.05579,30.73327
"31","2021_Q1",9.71213114754098,"Up",107168000,-71679000,35489000,-36304000,-11461000,-5436000,-19407000,-815000,-436000,-436000,-1251000,-2557000,-3808000,-11000,-3819000,-3819000,-3819000,-3819000,7840000,7840000,3428000,3428000,9643000,2803000,2759000,23714000,122917000,2.07e+08,199089000,329917000,353631000,30910000,6402000,24508000,58129000,40949000,224854000,224614000,265803000,323932000,203438000,-3.5e+07,-138739000,29699000,29699000,353631000,-3819000,5436000,2220000,-3027000,810000,-1895000,-1058000,-582000,49000,-533000,-781000,-781000,-781000,4621000,42074000,-290000,0.33115,-0.0076,-0.03564,-0.12859,-0.0108,0.07594,0.40795,10.90717,0.11898,-0.08606,-0.08606,2.41507,0.66928,-0.00654,-0.01287,-0.00098,7.40835,-42.00491
"32","2021_Q2",11.6314285714286,"Up",109577000,-72932000,36645000,-36779000,-10929000,-5587000,-20263000,-134000,-622000,-622000,-756000,-1231000,-1987000,10000,-1977000,-1977000,-1977000,-1977000,3117000,3117000,3350000,3350000,9415000,3588000,3544000,19470000,121724000,201985000,194086000,323709000,343179000,36117000,11458000,24659000,63115000,36018000,215921000,215691000,251939000,315054000,203841000,-3.5e+07,-140716000,28125000,28125000,343179000,-1977000,5587000,1439000,-1270000,3779000,-2733000,-2733000,-5434000,-335000,-5769000.00000001,-4722999.99999999,-4722999.99999999,-4723000,5453000,37143000,1440000,0.33442,-0.00122,-0.01804,-0.07029,-0.00576,-0.72838,0.30848,11.20192,0.10823,-0.04384,-0.04384,2.42975,0.62364,0.03193,-0.00703,0.00512,6.23987,-253.92537
