"","YQ","p","d","revenue","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",27.253125,"Up",160602000,-143029000,-14848000,-128181000,17573000,-21256000,-22928000,1733000,-61000,-3683000,-689000,-4372000,799000,-3573000,-5866000,-139000,-6005000,-6005000,22446000,22446000,61745000,61745000,6798000,5657000,96646000,178151000,512661000,-334510000,52394000,683631000,243729000,427924000,11978000,914176000,1010822000,59585000,18772000,40813000,34987000,34987000,103575000,867088000,145048000,67359000,67359000,56495000,21194000,1012136000,1115711000,242301000,-334185000,-13621000,-105505000,616000,-104889000,1010822000,-3573000,14848000,1439000,13993000,26707000,-2615000,581000,-2034000,-23850000,-1e+05,-23950000,723000,2162000,2162000,32421000,876091000,4.3e+07,0.10942,-0.03739,0.05725,-0.00594,-7.1607,0.9331,-10.63706,0.86671,-1.15936,-1.15936,31.00664,-20.36933,8.3018,-0.00655,0.04693,26.33,48.57708
"12","2013_Q4",32.71875,"Up",167019000,-141139000,-14869000,-126270000,25880000,-19444000,-21857000,1893000,519999.999999999,6436000,-1300999.99999999,5135000,-3165000,1970000,1970000,-173000,1796999.99999999,1796999.99999999,11630000,11630000,63881000,63881000,6277000,7008000,88796000,174682000,513813000,-339131000,51098000,674454000,243729000,418382000,12343000,900234000,989030000,54835000,18499000,36336000,33848000,33848000,100671000,847385000,143603000,61122000,61122000,61968000,20513000,990988000,1091659000,242827000,-332388000,-13715000,-103276000,647000,-102629000,989030000,1970000,14869000,6047000,-12122000,10764000,-1752000,323000,-1429000,-19500000,-651000,-20151000,-10816000,-10816000,-10816000,40749000,859373000,30040000,0.15495,0.01076,-0.01751,0.00182,16.71675,0.88204,-10.63694,0.8689,0.346740000000002,0.34532,32.2275,-19.92783,5.79643,0.002,0.03336,20.80402,32.75668
"13","2014_Q1",44.6868852459016,"Up",165497000,-138345000,-10769000,-127576000,27152000,-18539000,-20976000,2014000,423000,8613000,-171690000,-163077000,74550000,-88527000,-88526000,-163000,-88689000,-88689000,17562000,17562000,63215000,63215000,6409000,17139000,104325000,168913000,511160000,-342247000,50047000,504420000,243729000,242184000,18507000,723380000,827705000,60015000,22448000,28493000,32605000,32605000,106991000,820187000,70217000,30583000,30583000,21224000,18410000,890404000,997395000,243061000,-421077000,7666000,-170350000,660000,-169690000,827705000,-88527000,10879000,107740000,3923000,34015000,-2718000,806000,-1912000,-2.6e+07,-223000,-26223000,5880000,5932000,5932000,38031000,834558000,-35314000,0.16406,-0.53589,0.52265,-0.10715,0.39818,0.97508,-5.87775,1.00828,-17.08284,-17.17315,31.87723,-32.81199,-6.80201,-0.12065,-0.04804,21.48237,30.08972
"14","2014_Q2",41.8650793650794,"Down",177385000,-139885000,-12024000,-127861000,37500000,-17694000,-20707000,2919000,94000,19806000,-321000,19485000,-7383000,12102000,12102000,-210000,11892000,11892000,14878000,14878000,61319000,61319000,7428000,9915000,93540000,163209000,508373000,-345164000,49670000,490863000,243729000,228375000,18759000,703742000,797282000,48352000,20599000,25980000,33268000,33268000,92732000,791339000,68791000,29025000,29025000,20672000,19094000,860130000,952862000,244619000,-407699000,6783000,-156297000,717000,-155580000,797282000,12102000,12024000,9316000,-21449000,11993000,-2163000,-474000,-2637000,-14500000,237000,-14263000,-4907000,-4907000,-4907000,49524000,802451000,33295000,0.2114,0.0670400000000001,-0.07644,0.01492,2.79978,1.00871,-6.12458,1.00648,2.28337,2.23286,34.05945,-30.01037,6.39293,0.01662,0.04652,15.90286,21.00195
"15","2014_Q3",39.6453125,"Down",154093000,-133308000,-12192000,-121116000,20785000,-18831000,-20451000,1593000,27000,1954000,1243000,3197000,-1492000,1705000,1705000,-219000,1486000,1486000,15410359.6320312,15410359.6320312,61808187.6960822,61808187.6960822,6972447.35209254,8309883.35537997,92500878.035586,161782500.81621,509796918.652461,-348014417.836251,49665222.4608154,516234345.34524,243733215.036868,234853682.380559,37647447.927813,727682068.622265,820182946.657851,53220329.0693967,19046442.0817807,26052269.9389759,33043258.79168,33047362.8978142,104952924.976448,784997303.95167,78819933.9130403,24991260.8593652,24991260.8593652,25125606.8710025,28703066.1826726,863817237.86471,968770162.841159,245284868.653489,-403524002.178718,8912946.80546599,-149326186.719762,738970.53645492,-148587216.183307,820182946.657851,1705000,12192000,2388000,6467000,22752000,-562000,-37000,-599000,-2e+07,70000,-19930000,2223000,2223000,2223000,32977000,0,40374000,0.13489,0.00964,-0.178715666974565,0.0358808982164479,27.16958,0.901839859910234,-6.5828436179878,0.981919759156846,0.28456,0.27609,29.50786,-28.5832073836085,7.73137,0.0402487627787856,0.0889558442783673,15.0787595875616,19.5554854199566
"16","2014_Q4",34.95,"Down",163125000,-135588000,-12194000,-123394000,27537000,-19433000,-19569000,1836000,-1700000,8104000,-22496000,-14392000,4880000,-9512000,-9512000.00000001,-234000,-9746000,-9746000,17758000,17758000,61577000,61577000,6325000,11254000,96914000,160874000,508348000,-347474000,49361000,521021000,243729000,221474000,55818000,731256000,828170000,61547000,22116000,26045000,31952000,31952000,122899000,785600000,84665000,28580000,28580000,20585000,35500000,870265000,993164000,245384000,-417445000,6342000,-165719000,725000,-164994000,828170000,-9512000,12194000,21543000,10613000,34838000,-3287000,3e+05,-2987000,2e+06,-30971000,-28971000,2880000,2880000,2880000,39731000,8.15e+08,42177000,0.16881,-0.05975,0.0590699999999998,-0.01177,-4.32762,0.78857,-6.01939,0.9841,-1.86184,-1.80873,31.16284,-31.65839,8.05735,-0.01327,0.05741,20.06599,28.95167
"17","2015_Q1",30.8065573770492,"Down",166274000,-144287000,-12101000,-132186000,21987000,-12056000,-18612000,1949000,4607000,9931000,-4260000,5671000,-2295000,3376000,3376000,-213000,3163000,3163000,16704000,16704000,62343000,62343000,6655000,10433000,96135000,157371000,500972000,-343601000,48451000,509318000,243729000,212657000,52932000,715140000,811275000,56405000,27245000,24348000,30903000,30903000,118708000,773350000,96761000,50170000,50170000,14766000,31825000,870111000,988819000,245860000,-414282000,-9831000,-178253000,709000,-177544000,811275000,3376000,12101000,7407000,-10392000,12492000,-3164000,103000,-3061000,-10250000,-235000,-10485000,-1054000,-1054000,-1054000,34088000,804750000,22827000,0.13223,0.01902,-0.01782,0.0039,7.21688,0.80984,-5.56943,0.99196,0.60312,0.58597,31.70506,-33.98921,4.35264,0.00437,0.03153,23.11799,35.84145
"18","2015_Q2",31.431746031746,"Up",177210000,-142516000,-11496000,-131020000,34694000,-17133000,-18712000,2757000,-1178000,17561000,-1056000,16505000,-6498000,10007000,10007000,-254000,9753000,9753000,15943000,15943000,71959000,71959000,5753000,9955000,103610000,156089000,501714000,-345625000,47588000,502040000,243729000,205901000,52410000,705717000,809327000,57449000,21408000,21901000,30344000,30344000,115993000,756300000,104512000,49812000,49812000,20921000,33779000,860812000,976805000,246350000,-404529000,-10023000,-168202000,724000,-167478000,809327000,10007000,11496000,8421000,-7634000,22290000,-3232000,4e+05,-2832000,-20250000,31000.0000000037,-20219000,-761000,-761000,-761000,46190000,784500000,41822000,0.19578,0.05504,-0.05823,0.01205,4.28812,0.89324,-5.83244,0.96932,1.85874,1.80765,33.77294,-32.05618,7.9705,0.01352,0.05796,16.63903,22.15245
"19","2015_Q3",24.5921875,"Down",156556000,-137328000,-11565000,-125763000,19228000,-14330000,-18301000,1653000,2318000,4898000,-2139000,2759000,-717000,2042000,2042000,-242000,1800000,1800000,11350000,11350000,59551000,59551000,5438000,9438000,85777000,153425000,499441000,-346016000,46302000,494133000,243729000,199077000,51327000,693860000,779637000,47861000,18787000,24397000,30699000,30699000,105960000,736850000,101972000,49021000,49021000,20909000,32042000,838822000,944782000,247033000,-402729000,-10215000,-165911000,766000,-165145000,779637000,2042000,11565000,3024000,544000,17175000,-1575000,79000,-1496000,-20250000,-22000,-20272000,-4593000,-4593000,-4593000,30793000,764250000,30479000,0.12282,0.0115,-0.0109,0.00231,16.93278,0.80952,-5.72092,0.98026,0.3429,0.33411,29.8236,-31.60571,5.80619,0.00257,0.04347,24.45036,39.15644
"20","2015_Q4",18.8109375,"Down",158678000,-133797000,-11396000,-122401000,24881000,-17421000,-18043000,1704000,-1082000,7460000,-3187000,4273000,-2138000,2135000,2135000,-253000,1882000,1882000,18904000,18904000,57712000,57712000,4737000,10552000,91905000,148515000,496957000,-348442000,45968000,486210000,243729000,192383000,50098000,680693000,772598000,56823000,18530000,24109000,30322000,30322000,120045000,712100000,102948000,47540000,47540000,22618000,32790000,815048000,935093000,247955000,-400847000,-10407000,-163299000,804000,-162495000,772598000,2135000,11396000,4223000,8930000,26684000,462000,-61000,401000,-19250000,-281000,-19531000,7554000,7554000,7554000,36277000,7.45e+08,47807000,0.1568,0.01186,-0.01158,0.00244,25.40223,0.76559,-5.7546,0.96428,0.35782,0.34816,30.16864,-31.04721,9.0893,0.00275,0.06975,20.01533,29.18275
"21","2016_Q1",15.6295081967213,"Down",156099000,-130378000,-11106000,-119272000,25721000,-8885000,-17353000,2140000,6328000,16836000,-2461000,14375000,-4241000,10134000,10134000,-253000,9881000,9881000,11134000,11134000,58899000,58899000,3914000,8717000,82664000,143769000,493112000,-349343000,44152000,477240000,243729000,185962000,47549000,665161000,747825000,51352000,20113000,27055000,28929000,28929000,105281000,700872000,100255000,52522000,52522000,22137000,25596000,801127000,906408000,247849000,-390966000,-16276000,-159393000,810000,-158583000,747825000,10134000,11106000,3079000,-15992000,8327000,3509000,210000,3719000,-19128000,-688000,-19816000,-7770000,-7770000,-7770000,36827000,725872000,28585000,0.16477,0.0633,-0.06231,0.01321,2.89293,0.78517,-5.71567,0.97064,1.86441,1.83529,29.45375,-30.07529,5.3936,0.0148,0.04282,19.40799,27.78811
"22","2016_Q2",19.7078125,"Up",168405000,-135162000,-10943000,-124219000,33243000,-13622000,-17066000,2799000,645000.000000001,19621000,-966000,18655000,-7147000,11508000,11508000,-271000,11237000,11237000,11813000,11813000,66580000,66580000,3956000,6193000,88542000,140845000,490505000,-349660000,44003000,470014000,243729000,179346000,46939000,654862000,743404000,52170000,18013000,20721000,28824000,28824000,107129000,677861000,105207000,51152000,51152000,28679000,25376000,783068000,890197000,248417000,-379729000,-16319000,-147631000,838000,-146793000,743404000,11508000,10943000,7390000,-8772000,21069000,1144000,-137000,1007000,-21351000,-46000,-21397000,679000,679000,679000,44186000,703996000,43705000,0.1974,0.06673,-0.07655,0.01512,3.88938,0.8265,-6.0643,0.94699,2.1146,2.08641,31.69082,-27.78152,8.2245,0.01696,0.06598,15.66521,20.82192
"23","2016_Q3",25.809375,"Up",146835000,-129951000,-10941000,-119010000,16884000,-13475000,-16172000,2009000,688000,3409000,28462000,31871000,-12388000,19483000,19483000,-255000,19228000,19228000,16468000,16468000,52139000,52139000,4356000,5886000,78849000,136203000,482513000,-346310000,41465000,461409000,243729000,172730000,44950000,639077000,717926000,42698000,16466000,22655000,29987000,29987000,104085000,625098000,115669000,49775000,49775000,40285000,25609000,740767000,844852000,249065000,-360501000,-16362000,-127798000,872000,-126926000,717926000,19483000,10941000,-16216000,6274000,20482000,-639000,31532000,30893000,-46773000,53000,-46720000,4655000,4655000,4655000,27825000,656498000,45848000,0.11499,0.13095,-0.15149,0.02678,2.38444,0.75754,-6.65626,0.91444,3.61592,3.57724,27.61302,-24.03302,8.62193,0.0298,0.07106,23.00198,37.90749
"24","2016_Q4",29.8761904761905,"Up",150946000,-128047000,-10868000,-117179000,22899000,-14230000,-15642000,1825000,-413000,8669000,-1266000,7403000,-3036000,4367000,4367000,-275000,4092000,4092000,21872000,21872000,53476000,53476000,4038000,6947000,86333000,134378000,483579000,-349201000,40654000,453857000,243729000,166185000,43943000,628889000,715222000,51005000,15449000,22920000,29176000,29176000,111173000,609290000,116902000,48316000,48316000,42740000,25846000,726192000,837365000,249739000,-356409000,-16405000,-123075000,932000,-122143000,715222000,4367000,10868000,4499000,4542000,24276000,-2315000,25999.9999999925,-2288999.99999999,-16216000,-367000,-16583000,5404000,5404000,5404000,33767000,640282000,39030000,0.1517,0.02711,-0.0335,0.00571999999999999,9.53812,0.77656,-6.85561,0.89522,0.76901,0.753240000000001,28.36744,-23.12962,7.33495,0.00644,0.06146,18.31403,27.00598
"25","2017_Q1",28.4596774193548,"Down",148178000,-124869000,-10689000,-114180000,23309000,-20641000,-15353000,1900000,-7188000,2668000,-2402000,266000,395000,661000,661000,-257000,404000,404000,16984000,16984000,51334000,51334000,4252000,4683000,77253000,128562000,475785000,-347223000,39204000,417836000,243729000,158354000,15753000,585602000,662855000,45587000,18143000,24549000,28361000,28361000,99018000,565826000,125552000,55148000,55148000,38308000,32096000,691378000,790396000,250298000,-356005000,-22778000,-128485000,944000,-127541000,662855000,661000,10689000,1000,2012000,13363000,4597000,3e+05,4897000,-23115000,-33000,-23148000,-4888000,-4888000,-4888000,33998000,590896000,40212000,0.1573,0.00273,-0.00317,0.00061,99.53465,0.78019,-6.19719,0.89144,0.07585,0.07351,27.81902,-24.12184,7.54942,0.00069,0.06828,16.88076,24.62191
"26","2017_Q2",22.4365079365079,"Down",153989000,-125106000,-10380000,-114726000,28883000,-9093000,-14952000,2689000,3170000,19790000,-1084000,18706000,-6266000,12440000,12440000,-267000,12173000,12173000,20100000,20100000,56871000,56871000,4709000,4439000,86119000,125093000,474983000,-349890000,40481000,411880000,243729000,152075000,16076000,577454000,663573000,48662000,16840000,20025000,27866000,27866000,101528000,549044000,128109000,54531000,54531000,43766000,29812000,677153000,778681000,250494000,-343832000,-22724000,-116062000,954000,-115108000,663573000,12440000,10380000,7296000,-7228000,22888000,-639999.999999999,-1058000,-1698000,-17750000,-324000,-18074000,3116000,3116000,3116000,39263000,574044000,37661000,0.18757,0.07905,-0.10575,0.01834,3.09381,0.84823,-6.76479,0.86508,2.27414,2.19725,28.76793,-21.68248,7.03576,0.02074,0.06415,14.10855,19.17889
"27","2017_Q3",20.1031746031746,"Down",133387000,-117688000,-10318000,-107370000,15699000,-8481000,-14636000,1728000,4427000,7218000,304000,7522000,-1144000,6378000,6378000,-250000,6128000,6128000,16003000,16003000,47089000,47089000,4452000,4053000,71597000,121561000,473543000,-351982000,39898000,405992000,243729000,145765000,16498000,567451000,639048000,37234000,14342000,20849000,29266000,29266000,9.6e+07,530997000,119472000,53913000,53913000,45215000,20344000,650469000,746469000,251151000,-337704000,-21829000,-108382000,961000,-107421000,639048000,6378000,10318000,-1019000,-5180000,10497000,-361000,172000,-189000,-14499000,94000,-14405000,-4097000,-4097000,-4097000,26017000,560497000,21620000,0.1177,0.04594,-0.05705,0.00959,3.52807,0.7458,-6.949,0.87708,1.13366,1.10474,24.67616,-20.05032,3.99963,0.0107,0.03776,20.92839,34.68336
