"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",24.2440625,"Up",147876000,-41120000,106756000,-104090000,-17558000,2666000,-1623000,-1466000,-164000,7000,1043000,375000,1418000,-329000,1089000,1058000,1058000,1058000,39288000,39288000,26630000,26630000,67456000,3375000,55854000,133374000,539238000,424528000,250414000,33983000,963766000,1097140000,126601000,79282000,47319000,64333000,64333000,378252000,-5859492.1437365,64748000,18587000,24648000,21513000,64748000,4.43e+08,370644000,654140000,654140000,1097140000,1058000,1058000,15035000,10528000,15681000,42302000,-13694000,-1696000,-15390000,0,-22458000,-954000,-1007000,-1389000,-24801000,2111000,2111000,2111000,17701000,187318000,20017000,0.72193,0.01803,0.00715,0.00162,0.00096,18.91966,0.35261,0.67723,0.17073,0.02049,0.01978,2.86432,12.6705,0.38772,0,0.00117,0.02209,0,8.3628,55.52513
"12","2013_Q3",26.04765625,"Up",283594000,-90160000,193434000,-111315000,-22096000,82119000,-775000,-1167000,-631000,1023000,81344000,0,81344000,-31035000,50309000,50298000,50298000,50298000,38917000,38917000,46645000,46645000,70693000,0,61426000,156255000,537333000,435526000,250414000,45740000,972859000,1129114000,191106000,103559000,87547000,11905000,11905000,203011000,153484000,63699000,15805000,24648000,23246000,217183000,420194000,420942000,708920000,708920000,1129114000,50298000,50298000,14991000,-1915000,11752000,75126000,-10076000,-34222000,-44298000,0,-35821000,-2848000,-3039000,7470000,-31199000,-371000,-371000,-371000,97110000,153484000,129821000,0.68208,0.28957,0.17736,0.07095,0.04455,2.58104,0.76969,0.59272,0.13593,0.97087,0.93477,5.47405,13.68387,2.50586,0,0.05431,0.14018,8.88178419700125e-16,1.17977,1.39513
"13","2013_Q4",27.3421875,"Up",185496000,-54375000,131121000,-120868000,-21188000,10253000,2150000,-1401000,-887000,4438000,12403000,0,12403000,-3195000,9208000,9249000,9249000,9249000,43751000,43751000,40278000,40278000,63534000,0,54523000,147563000,576142000,564108000,298225000,60019000,1140250000,1287813000,167487000,93833000,73654000,12119000,12119000,179606000,324782000,59197000,16329000,24648000,18220000,383979000,563585000,430191000,724228000,724228000,1287813000,9249000,9249000,15796000,10752000,-30370000,5427000,-6084000,-6280000,-169736000,0,171295000,-1003000,-1894000,-1149000,169143000,4834000,4834000,4834000,26049000,324782000,-7210000,0.70687,0.05527,0.04986,0.01277,0.00718,-0.77954,0.82159,0.77819,0.2522,0.17792,0.17171,3.56833,13.93175,-0.1387,0,0.00835,-0.00651,0,10.78855,27.40964
"14","2014_Q1",29.0114754098361,"Up",162062000,-47631000,114431000,-119369000,-22229000,-4937999.99999999,-4346000,-2085000,-2460000,199000,-9284000,-375000,-9659000,4086000,-5573000,-5705000,-5705000,-5705000,44708000,44708000,46572000,46572000,69435000,12398000,48110000,160715000,585498000,606048000,300616000,21132000,1191546000,1352261000,145449000,61962000,68301000,67757000,49078000,213206000,69191000,365075000,16706000,30616000,317753000,434266000,647472000,408834000,704789000,704789000,1352261000,-5704999.99999999,-5705000,15928000,11866000,-28999.9999999925,22060000,-18902000,-31854000,-48256000,0,38940000,-4783000,-4783000,-7004000,27153000,957000,957000,957000,10990000,69191000,-12027000,0.70609,-0.03047,-0.0352,-0.00809000000000001,-0.00422,2.10815,0.7538,0.91867,0.05117,-0.10948,-0.10545,3.11,13.52502,-0.2308,0,-0.00501,-0.01056,0,2.22775,-4.95807999999997
"15","2014_Q2",27.6680952380952,"Down",167141000,-43220000,123921000,-122786000,-21465000,1135000,-2704000,-4969000,2290000,-25000,-1569000,431000,-1138000,438000,-7e+05,-7e+05,-7e+05,-7e+05,47164000,47164000,35231000,35231000,66607000,8195000,51312000,149002000,590586000,611495000,300616000,20866000,1202081000,1351083000,119717000,65091000,54626000,90113000,70413000,209830000,365750000,70877000,17018000,30616000,23243000,436627000,646457000,408134000,704626000,704626000,1351083000,-7e+05,-7e+05,15284000,9648000,27852000,52084000,-20083000,-6926000,-27009000,-15186000,-3545000,-7334000,-7402000,3446000,-22619000,2456000,2456000,2456000,16419000,365750000,23750000,0.74142,0.00679,-0.00419,-0.00099,-0.00052,-33.92857,0.71011,0.91745,0.27071,-0.0134,-0.0134,3.19844,13.48386,0.45448,0.2906,0.01269,0.02081,-21.69429,19.4035,280.69251
"16","2014_Q3",29.155,"Up",303472000,-85483000,217989000,-123832000,-18666000,94157000,-2057000,-4956000,2506000,393000,92100000,1.16415321826935e-10,92100000,-34767000,57333000,57333000,57333000,57333000,46670000,46670000,45913000,45913000,61296000,0,54102000,153879000,595926000,613334000,300616000,22737000,1209260000,1363139000,187858000,91484000,96374000,31792000,11061000,219650000,368798000,65606000,14436000,30616000,20554000,434404000,654054000,465467000,709085000,709085000,1363139000,57333000,57333000,15760000,-3337000,11076000,80832000,-18304000,-13675000,-31979000,-1.86264514923096e-09,2982000,-57823000,-62280000,5494000,-49347000,-494000,-494000.000000001,-494000.000000001,109917000,368798000,137456000,0.71832,0.31027,0.18892,0.08085,0.04206,2.39749999999999,0.70056,0.92239,0.27055,1.09013,1.06885,5.7702,13.4825,2.61358,0,0.05014,0.12021,-3.5527136788005e-15,2.93065,3.42117999999999
"17","2014_Q4",30.920625,"Up",173483000,-46492000,126991000,-116320000,-18175000,10671000,-3996000,-5167000,1057000,114000,6675000,-2298000,4377000,-846000,3531000,3531000,3531000,3531000,42041000,42041000,35410000,35410000,48894000,0,43537000,126345000,591678000,614241000,300616000,22512000,1205919000,1332264000,131484000,61527000,69957000,30771000,12496000,162255000,383391000,71619000,15916000,30616000,25087000,455010000,617265000,468998000,714999000,714999000,1332264000,3531000,3531000,17280000,6981000,-45008000,-17216000,-9542000,7248000,-2294000,0,14593000,1773000,-1177000,-1485000,14881000,-4629000,-4629000,-4629000,27951000,383391000,-25753000,0.73201,0.06151,0.02035,0.00494,0.00265,-7.2934,0.77868,0.86331,0.28777,0.06915,0.06802,3.39763,14.00311,-0.50437,0,0.00302,-0.02201,0,12.21244,31.98857
"18","2015_Q1",32.8575409836066,"Up",168104000,-41105000,126999000,-130062000,-17694000,-3062999.99999999,-5143000,-5708000,447000,118000,-8206000,-10633000,-18839000,5075000,-13764000,-13764000,-13764000,-13764000,67936000,67936000,75890000,75890000,98704000,29455000,50730000,242530000,595315000,1518408000,840947000,17941000,2113723000,2356253000,167056000,56351000,93286000,157943000,93580000,336249000,458318000,861685000,16489000,149522000,695674000,1320003000,1656252000,437846000,700001000,700001000,2356253000,-13764000,-13764000,19976000,14408000,5279999.99999999,25900000,-5571000,-7447000,-379018000,-13999.9999999991,385070000,-5816000.00000001,-5741000,-155000,379085000,25967000,25967000,25867000,16913000,469568000,11547000,0.75548,-0.01822,-0.08188,-0.01966,-0.00584,-0.838930000000003,0.72128,2.36607,0.19929,-0.26628,-0.25778,3.25216,13.54229,0.22339,0.000269999999999999,-0.00677000000000001,0.00567999999999999,-0.00102000000000002,23.74694,-131.12373
"19","2015_Q2",38.6714285714286,"Up",250900000,-36200000,214700000,-212400000,-21500000,2300000,1300000,-7300000,3e+06,5600000,3600000,-6400000,-2800000,1200000,-1600000,-1600000,-1600000,-1600000,49525000,49525000,60361000,60361000,92787000,14560000,60520000,202673000,590170000,1509527000,840947000,24242000,2099697000,2302370000,145375000,58150000,87225000,183698000,130381000,341573000,387257000,874797000,17196000,149192000,708409000,1262054000,1603627000,436288000,698743000,698743000,2302370000,-1600000,-1600000,27400000,5400000,58500000,89700000,-9800000,-1300000,-5100000,-17400000,-70600000,-4900000,-4900000,-8200000,-101100000,-16500000,-16500000,-18400000,29700000,399757000,77200000,0.85572,0.00917,-0.00638,-0.00229,-0.00069,-48.25,0.59335,2.29502,0.17363,-0.03083,-0.03083,4.8343,13.46326,1.48748,0.33526,0.00801,0.03912,-10.875,11.79232,152.27478
"20","2015_Q3",42.4840625,"Up",409200000,-75100000,334100000,-219200000,-22100000,114900000,-4200000,-7100000,2900000,9.31322574615479e-10,110700000,-9e+06,101700000,-46600000,55100000,55100000,55100000,55100000,59244000,59244000,66885000,66885000,88937000,0,70178000,215066000,589552000,1494372000,840947000,24353000,2083924000,2298990000,218821000,87781000,131040000,402252000,73829000,634823000,299992000,607738000,13641000,149326000,444771000,907730000,1542553000,491332000,756437000,756437000,2298990000,55100000,55100000,27300000,15700000,6400000,104500000,-12900000,0,-12900000,0,-86000000.0000001,-1e+06,-1e+06,4800000,-82200000.0000001,9400000,9400000.00000001,9700000.00000001,142200000,313742000,182300000,0.81647,0.28079,0.13465,0.07284,0.02397,3.30853,0.33878,2.03924,0.13647,1.06166,1.03766,7.88439,14.57489,3.51252,0,0.03284,0.10865,0,1.78972,2.21494999999999
"21","2015_Q4",45.615,"Up",279800000,-4.1e+07,238800000,-213900000,-24700000,24900000,-4500000,-6700000,2300000,-1e+05,20400000,-15500000,4900000,-7e+05,4200000,4200000,4200000,4200000,51112000,51112000,61659000,61659000,96280000,0,77291000,209051000,571457000,1479807000,841360000,22174000,2051264000,2260315000,183622000,70408000,113214000,414952000,83469000,613574000,272136000,608436000,15684000,149813000,442939000,880572000,1494146000,495535000,766169000,766169000,2260315000,4200000,4200000,27400000,24200000,-26800000,2.9e+07,-8100000,-2300000,-10400000,0,-26600000,-1300000,-1300000,9e+05,-2.7e+07,-8400000,-8400000,-8100000,52300000,287136000,18100000,0.85347,0.08899,0.01501,0.00548,0.00186,4.30952,0.34071,1.95015,0.12703,0.08092,0.07865,5.39114,14.76241,0.34875,0,0.00253,0.01089,0,4.51289,9.47888
"22","2016_Q1",44.1254098360656,"Down",272400000,-37600000,234800000,-217700000,-22500000,17100000,-4100000,-7500000,3e+06,4e+05,1.3e+07,-4700000,8300000,-799999.999999993,7500000.00000001,7500000,7500000.00000001,7500000.00000001,74500000,74500000,67800000,67800000,77300000,1e+06,76300000,219600000,573200000,1484600000,841700000,1.7e+07,2057800000,2277400000,168200000,51200000,97900000,455700000,127300000,640100000,171900000,848200000,16100000,127900000,704200000,1020100000,1660200000,483800000,617200000,617200000,2277400000,7499999.99999999,7499999.99999999,27600000,12600000,-6400000,41300000,-12500000,-17700000,-37100000,-1.86264514923096e-09,201600000,-139200000,-140400000,-42700000,19700000,23900000,23900000,23400000,44700000,188100000,26600000,0.86197,0.06278,0.02753,0.01215,0.00329,3.54667,0.34307,2.68989,0.08259,0.14793,0.14205,5.37278,12.17357,0.52465,-2.77555756156289e-17,0.00454,0.01609,-4.44089209850063e-16,2.54139,6.64327
"23","2016_Q2",42.54671875,"Down",288400000,-35600000,252800000,-243400000,-23100000,9400000,-7300000,-10600000,3800000,-5e+05,2100000,-3100000,-1e+06,3800000,2800000,2800000,2800000,2800000,51100000,51100000,52200000,52200000,94700000,6600000,88100000,1.98e+08,573200000,1467100000,841700000,12900000,2040300000,2238300000,1.59e+08,66400000,92600000,250800000,168500000,420400000,382700000,815800000,16200000,127800000,671800000,1198500000,1618900000,486600000,619400000,619400000,2238300000,2800000,2800000,2.7e+07,-8300000,45100000,66600000,-16400000,0,-1.5e+07,-19100000,203700000,-8e+05,-8e+05,-258900000,-75100000,-23500000,-23500000,-23400000,36400000,393300000,61300000,0.87656,0.03259,0.00971,0.00452,0.00125,21.89286,0.47098,2.61366,0.17571,0.05657,0.0549,5.82626,12.51313,1.23838,0.38586,0.01198,0.03352,6.82143,9.4011,36.40426
"24","2016_Q3",45.49421875,"Up",438500000,-72300000,366200000,-246200000,-24600000,1.2e+08,-5900000,-11100000,4800000,4e+05,114100000,-2600000,111500000,-41700000,69800000,69800000,69800000,69800000,55100000,55100000,61500000,61500000,9.3e+07,-9.31322574615479e-10,9.3e+07,209600000,577900000,1460600000,841700000,16800000,2038500000,2248100000,231500000,97200000,134300000,188300000,102400000,431600000,319700000,8.17e+08,21400000,1.26e+08,669600000,1136700000,1568300000,556400000,679800000,679800000,2248100000,69800000,69800000,26900000,1e+07,-6500000,100200000,-18100000,-1100000,-20600000,-3.72529029846191e-09,-60400000,-16800000,-16800000,1400000,-75800000,3800000,3800000.00000001,4e+06,146900000,331500000,1.64e+08,0.83512,0.27366,0.15918,0.10268,0.03105,2.34957,0.48563,2.307,0.14746,1.4101,1.36863,8.85859,13.73333,3.31313,0,0.03818,0.0897,0,1.88155,2.30333
"25","2016_Q4",47.3265079365079,"Up",303400000,-41500000,261900000,-233500000,-27600000,28400000,-6400000,-11100000,4900000,-2e+05,2.2e+07,-1600000,20400000,-11700000,8700000,8700000,8700000,8700000,56900000,56900000,50800000,50800000,93500000,0,93500000,201200000,573300000,1450200000,841700000,18700000,2023500000,2224700000,195800000,72800000,1.23e+08,182200000,97400000,3.91e+08,312700000,825600000,21400000,133500000,670700000,1138300000,1529300000,565100000,695400000,695400000,2224700000,8700000,8700000,27500000,10400000,-24400000,22200000,-9600000,-1e+06,-10600000,0,-7200000,-2e+05,-2400000,-1700000,-9100000,2500000,2500000,1800000,55900000,325700000,33600000,0.86322,0.09361,0.02868,0.01251,0.00391,3.86207,0.51458,2.19917,0.1464,0.17683,0.1716,6.16667,14.13415,0.68293,0,0.00471,0.01819,0,4.80859,9.46479
"26","2017_Q1",48.6214516129032,"Up",278300000,-38300000,2.4e+08,-221400000,-24900000,18600000,-6500000,-10900000,3900000,5e+05,12100000,25100000,37200000,-10400000,26800000,26800000,26800000,26800000,45300000,45300000,56600000,56600000,144100000,7600000,65700000,2.46e+08,560600000,1447800000,301500000,9900000,2008400000,2254400000,1.57e+08,6.2e+07,73200000,296900000,64300000,468100000,312800000,788500000,24400000,63200000,608600000,1101300000,1569400000,569700000,6.85e+08,6.85e+08,2254400000,26800000,26800000,27200000,14300000,-25900000,42400000,1.5e+07,-19500000,-4500000,-1.86264514923096e-09,2600000,-1.9e+07,-1.9e+07,-25500000,-41900000,-4e+06,-4e+06,-3600000,45800000,3.27e+08,45300000,0.86238,0.06683,0.0963,0.03912,0.01189,1.6903,0.52553,2.29109,0.14505,0.54694,0.54361,5.67959,13.97959,0.92449,2.77555756156289e-17,0.01488,0.02516,0,6.15066,15.14516
"27","2017_Q2",55.1519047619048,"Up",167500000,-36400000,131100000,-122200000,-18600000,8900000,-5700000,-11800000,6100000,0,3200000,-4e+05,2800000,-6e+05,2200000,7300000,7300000,7300000,54900000,54900000,62300000,62300000,96100000,1e+06,95100000,213300000,590700000,1452100000,832200000,19800000,2042800000,2256100000,1.58e+08,65600000,92400000,248600000,165400000,421900000,3.58e+08,787300000,24500000,150300000,612500000,1145300000,1567200000,5.77e+08,688900000,688900000,2256100000,7300000,7300000,24500000,5500000,2.8e+07,65300000,-37500000,-13900000,-51400000,-21800000,46400000,-8500000,-8600000,-33100000,-1.7e+07,-3100000,-3100000,-3100000,33400000,373300000,24500000,0.78269,0.05313,0.04358,0.0106,0.00324,3.35616,0.50557,2.27493,0.16546,0.14928,0.14484,3.42536,14.08793,0.50102,0.44581,0.01573,0.01325,2.9863,9.53293,35.77528
