"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",25.0874193548387,"Up",3.864e+09,-2.271e+09,1.593e+09,-1.073e+09,5.2e+08,-2.1e+07,-2.1e+07,4.99e+08,4.99e+08,-1.91e+08,3.08e+08,3.08e+08,3.08e+08,3.08e+08,1.77e+09,1.72e+09,2.269e+09,7.94e+08,7.94e+08,4.833e+09,2.559e+09,6.15e+08,6.15e+08,3.174e+09,8.007e+09,2.626e+09,1.584e+09,1e+06,1.041e+09,2.628e+09,1.246e+09,9.72e+08,9.72e+08,2.218e+09,4.846e+09,2.899e+09,1.2966e+10,2.19e+08,3.161e+09,3.161e+09,8.007e+09,3.08e+08,1.36e+08,2e+06,-1.91e+08,2.55e+08,-1.52e+08,-5.6e+07,-1.33e+08,-6.1e+07,-3e+07,1.5e+07,-4.42e+08,-3.2e+08,-3.2e+08,1e+06,-3.19e+08,6.56e+08,1.248e+09,5.04e+08,0.41227,0.13458,0.07971,0.09744,0.03847,1.63636,1.83904,1.53306,0.15586,0.64033,0.63244,8.03326,6.57173,1.04782,0.12682,8,0.06857,0.09366,0.19805,-0.79573,-1.00385
"12","2013_Q1",24.6053333333333,"Down",4.725e+09,-2.949e+09,1.776e+09,-1.174e+09,6.02e+08,-1.8e+07,-1.8e+07,5.84e+08,5.84e+08,-2.33e+08,3.51e+08,3.51e+08,3.51e+08,3.51e+08,1.51e+09,1.46e+09,1.758e+09,8.64e+08,8.64e+08,4.132e+09,2.619e+09,7.19e+08,7.19e+08,3.338e+09,7.47e+09,2.344e+09,1.144e+09,1.08e+08,1.092e+09,2.344e+09,1.246e+09,9.86e+08,9.86e+08,2.232e+09,4.576e+09,2.919e+09,1.3259e+10,1.81e+08,2.894e+09,2.894e+09,7.47e+09,3.51e+08,1.38e+08,-7999999.99999999,2.3e+08,7.11e+08,-2.1e+08,-1.9e+07,-3.33e+08,-5.8e+07,-5.48e+08,2e+06,-6.06e+08,-2.28e+08,-2.28e+08,-3.2e+07,-2.6e+08,7.4e+08,1.246e+09,9.93e+08,0.37587,0.12741,0.07429,0.12129,0.04699,2.82906,1.7628,1.5812,0.1668,0.74207,0.73278,9.98943,6.11839,2.09937,0.12262,8,0.07979,0.19372,0.16524,-0.35676,-0.43854
"13","2013_Q2",29.08296875,"Up",3.729e+09,-2.185e+09,1.544e+09,-1.014e+09,5.3e+08,0,0,5.3e+08,5.3e+08,-1.97e+08,3.33e+08,3.33e+08,3.33e+08,3.33e+08,1.61e+09,1.61e+09,1.723e+09,7.98e+08,7.98e+08,4.131e+09,2.608e+09,7e+08,7e+08,3.308e+09,7.439e+09,2.102e+09,1.008e+09,1.6e+08,9.34e+08,2.102e+09,1.247e+09,9.29e+08,9.29e+08,2.176e+09,4.278e+09,2.879e+09,1.3522e+10,1.67e+08,3.161e+09,3.161e+09,7.439e+09,3.33e+08,1.34e+08,3.9e+07,-1.5e+08,3.56e+08,-1.51e+08,-3e+06,-1.04e+08,-7e+07,-4.3e+07,2.7e+07,-8.6e+07,1.66e+08,1.66e+08,-1.6e+07,1.5e+08,6.64e+08,1.247e+09,5.6e+08,0.41405,0.14213,0.0893,0.10535,0.04476,1.68168,1.96527,1.35337,0.16763,0.71767,0.70701,8.03664,6.8125,1.2069,0.15086,8,0.07551,0.10493,0.21021,-0.54669,-0.68491
"14","2013_Q3",31.97078125,"Up",3.868e+09,-2.301e+09,1.567e+09,-1.046e+09,5.21e+08,-1.8e+07,-1.8e+07,5.03e+08,5.03e+08,-2e+08,3.03e+08,3.03e+08,3.03e+08,3.03e+08,1.925e+09,1.925e+09,1.837e+09,8.24e+08,8.24e+08,4.586e+09,2.646e+09,6.88e+08,6.88e+08,3.334e+09,7.92e+09,2.278e+09,1.227e+09,5.7e+07,9.94e+08,2.278e+09,1.247e+09,9.37e+08,9.37e+08,2.184e+09,4.462e+09,2.903e+09,1.3755e+10,1.56e+08,3.458e+09,3.458e+09,7.92e+09,3.03e+08,1.33e+08,-6e+06,7.1e+07,5.01e+08,-1.64e+08,-1e+06,-1.65e+08,-7e+07,30999999.9999999,2e+07,-1.9e+07,3.17e+08,3.17e+08,-2e+06,3.15e+08,6.54e+08,1.247e+09,7.61e+08,0.40512,0.13469,0.07834,0.08762,0.03826,2.51155,2.01317,1.29034,0.15745,0.64744,0.64059,8.26496,7.38889,1.62607,0.14957,8,0.06611,0.13488,0.23102,-1.0367,-1.30134
"15","2013_Q4",29.16625,"Down",3.976e+09,-2.387e+09,1.589e+09,-1.013e+09,5.76e+08,-2e+07,-2e+07,5.56e+08,5.56e+08,-2.19e+08,3.37e+08,3.37e+08,3.37e+08,3.37e+08,9.96e+08,9.96e+08,2.471e+09,9.23e+08,9.23e+08,4.39e+09,2.714e+09,6.82e+08,6.82e+08,3.396e+09,7.786e+09,2.631e+09,1.513e+09,5.4e+07,1.064e+09,2.631e+09,1.247e+09,9.52e+08,9.52e+08,2.199e+09,4.83e+09,2.931e+09,1.4e+10,1.45e+08,2.956e+09,2.956e+09,7.786e+09,3.37e+08,1.31e+08,-7e+06,-3.65e+08,9.6e+07,-1.72e+08,2e+06,-1.7e+08,-9.2e+07,-7.73e+08,7e+06,-8.58e+08,-9.32e+08,-9.32e+08,3e+06,-9.29e+08,7.07e+08,1.247e+09,3.89e+08,0.39965,0.14487,0.08476,0.11401,0.04328,1.1543,1.66857,1.63396,0.16016,0.72786,0.71855,8.58747,6.38445,0.84017,0.1987,5,0.08322,0.07546,0.273,0.35502,0.43576
"16","2014_Q1",30.3059016393443,"Up",4.575e+09,-2.982e+09,1.593e+09,-1.071e+09,5.22e+08,-1.8e+07,-1.8e+07,5.04e+08,5.04e+08,-1.97e+08,3.07e+08,3.07e+08,3.07e+08,3.07e+08,1.51e+09,1.51e+09,1.928e+09,9.92e+08,9.92e+08,4.43e+09,2.758e+09,6.61e+08,6.61e+08,3.419e+09,7.849e+09,2.42e+09,1.242e+09,3.6e+07,1.142e+09,2.445e+09,1.369e+09,9.73e+08,9.73e+08,2.342e+09,4.787e+09,2.954e+09,1.4218e+10,1.35e+08,3.062e+09,3.062e+09,7.849e+09,3.07e+08,1.38e+08,2.7e+07,2.8e+08,7.52e+08,-1.83e+08,-2e+06,-1.85e+08,-8.9e+07,-5.2e+07,-4.4e+07,-4.1e+07,5.26e+08,5.26e+08,-1.2e+07,5.14e+08,6.6e+08,1.394e+09,9.54e+08,0.3482,0.1141,0.0671,0.10026,0.03911,3.10749,1.81186,1.56336,0.1776,0.68374,0.67473,10.18931,6.8196,2.12472,0.19822,5,0.07294,0.17572,0.2899,-0.17576,-0.22222
"17","2014_Q2",30.4834920634921,"Up",3.774e+09,-2.308e+09,1.466e+09,-1.023e+09,4.43e+08,-1.7e+07,-1.7e+07,4.26e+08,4.26e+08,-1.66e+08,2.6e+08,2.6e+08,2.6e+08,2.6e+08,1.544e+09,1.544e+09,1.909e+09,8.67e+08,8.67e+08,4.32e+09,2.703e+09,6.72e+08,6.72e+08,3.375e+09,7.695e+09,2.179e+09,1.101e+09,9.8e+07,9.8e+08,2.203e+09,1.369e+09,1.087e+09,1.087e+09,2.456e+09,4.659e+09,2.2e+07,2.884e+09,1.3e+08,3.036e+09,3.036e+09,7.695e+09,2.6e+08,1.33e+08,1.8e+07,1.02e+08,5.13e+08,-1.62e+08,-1e+06,-1.63e+08,-9.8e+07,-1.97e+08,-2.3e+07,-3.18e+08,3.2e+07,3.2e+07,2e+06,3.4e+07,5.76e+08,1.393e+09,6.82e+08,0.38845,0.11738,0.06889,0.08564,0.03379,2.62308,1.96096,1.53458,0.18103,0.58427,0.5765,8.4809,6.82247,1.53258,0.22022,5,0.0649,0.12364,0.37692,-0.26215,-0.34086
"18","2014_Q3",32.1234375,"Up",3.981e+09,-2.412e+09,1.569e+09,-1.002e+09,5.67e+08,-1.8e+07,-1.8e+07,5.49e+08,5.49e+08,-2.17e+08,3.32e+08,3.32e+08,3.32e+08,3.32e+08,1.518e+09,1.518e+09,1.948e+09,7.78e+08,7.78e+08,4.244e+09,2.739e+09,6.95e+08,6.95e+08,3.434e+09,7.678e+09,2.238e+09,1.227e+09,2.6e+07,9.85e+08,2.262e+09,1.369e+09,1.101e+09,1.101e+09,2.47e+09,4.732e+09,2.2e+07,2.795e+09,1.29e+08,2.946e+09,2.946e+09,7.678e+09,3.32e+08,1.38e+08,-5.4e+07,67000000.0000001,4.83e+08,-1.66e+08,1.21e+08,-4.5e+07,-9.6e+07,-3.68e+08,1e+06,-4.63e+08,-24999999.9999999,-24999999.9999999,-1e+06,-2.6e+07,7.05e+08,1.393e+09,8.23e+08,0.39412,0.14243,0.0834,0.1127,0.04324,2.47892,1.87622,1.60625,0.18143,0.75626,0.74944,9.06834,6.71071,1.87472,0.21868,6,0.07868,0.15129,0.28916,-0.1773,-0.22046
"19","2014_Q4",29.848125,"Down",3.972e+09,-2.376e+09,1.596e+09,-1.042e+09,5.54e+08,-1.8e+07,-1.8e+07,5.36e+08,5.36e+08,-1.85e+08,3.51e+08,3.51e+08,3.51e+08,3.51e+08,9.54e+08,9.54e+08,2.553e+09,8.16e+08,8.16e+08,4.323e+09,2.777e+09,7.19e+08,7.19e+08,3.496e+09,7.819e+09,2.5e+09,1.477e+09,1.2e+07,1.011e+09,2.522e+09,1.358e+09,1.084e+09,1.084e+09,2.442e+09,4.964e+09,2.1e+07,2.68e+09,1.54e+08,2.855e+09,2.855e+09,7.819e+09,3.51e+08,1.41e+08,-1.7e+07,-3.57e+08,1.18e+08,-1.8e+08,0,-1.8e+08,-9.6e+07,-4.05e+08,6e+06,-4.95e+08,-5.57e+08,-5.57e+08,-7e+06,-5.64e+08,6.95e+08,1.38e+09,3.43e+08,0.40181,0.13948,0.08837,0.12294,0.04489,0.97721,1.71412,1.7387,0.17649,0.8125,0.8032,9.19444,6.6088,0.79398,0.22222,7,0.08404,0.06449,0.2735,0.61295,0.76895
"20","2015_Q1",31.8959016393443,"Up",4.708e+09,-3.05e+09,1.658e+09,-1.139e+09,5.19e+08,-1.7e+07,-1.7e+07,5.02e+08,5.02e+08,-1.83e+08,3.19e+08,3.19e+08,3.19e+08,3.19e+08,1.515e+09,1.515e+09,1.889e+09,9.13e+08,9.13e+08,4.317e+09,2.773e+09,6e+08,6e+08,3.373e+09,7.69e+09,2.213e+09,1.173e+09,2e+07,1.02e+09,2.234e+09,1.332e+09,1.141e+09,1.141e+09,2.473e+09,4.707e+09,2.1e+07,2.797e+09,1.65e+08,2.983e+09,2.983e+09,7.69e+09,3.19e+08,1.52e+08,1.07e+08,4.37e+08,1.015e+09,-2.06e+08,-2000000.00000001,-2.08e+08,-9.3e+07,-1.19e+08,2e+06,-2.31e+08,5.76e+08,5.76e+08,-1.5e+07,5.61e+08,6.71e+08,1.353e+09,1.085e+09,0.35217,0.11024,0.06776,0.10694,0.04148,3.40125,1.93241,1.57794,0.17594,0.75236,0.74359,11.10377,7.03538,2.55896,0.21934,9,0.07522,0.1981,0.29154,-0.24143,-0.31214
"21","2015_Q2",30.3826984126984,"Down",3.657e+09,-2.275e+09,1.382e+09,-9.96e+08,3.86e+08,-4e+06,-4e+06,3.82e+08,3.82e+08,-1.43e+08,2.39e+08,2.39e+08,2.39e+08,2.39e+08,1.234e+09,1.234e+09,2.01e+09,8.74e+08,8.74e+08,4.118e+09,2.79e+09,5.87e+08,5.87e+08,3.377e+09,7.495e+09,2.153e+09,1.156e+09,3.7e+07,9.6e+08,2.174e+09,1.331e+09,1.111e+09,1.111e+09,2.442e+09,4.616e+09,2.1e+07,2.718e+09,1.4e+08,2.879e+09,2.879e+09,7.495e+09,2.39e+08,1.48e+08,-1.3e+07,-1.63e+08,2.11e+08,-1.5e+08,0,-1.5e+08,-9.7e+07,-1.97e+08,-4.9e+07,-3.43e+08,-2.82e+08,-2.82e+08,1e+06,-2.81e+08,5.34e+08,1.352e+09,3.64e+08,0.37791,0.10555,0.06535,0.08301,0.03189,1.52301,1.8942,1.60333,0.18039,0.5677,0.56368,8.68646,6.83848,0.86461,0.2304,4,0.0629,0.06814,0.40586,0.22097,0.3057
"22","2015_Q3",26.6303125,"Down",3.898e+09,-2.44e+09,1.458e+09,-1.089e+09,3.69e+08,-1.6e+07,-1.6e+07,3.53e+08,3.53e+08,-1.34e+08,2.19e+08,2.19e+08,2.19e+08,2.19e+08,1.043e+09,1.043e+09,2.005e+09,8.99e+08,8.99e+08,3.947e+09,2.74e+09,6e+08,6e+08,3.34e+09,7.287e+09,2.164e+09,1.206e+09,4e+06,9.54e+08,2.184e+09,1.328e+09,1.104e+09,1.104e+09,2.432e+09,4.616e+09,2e+07,2.507e+09,1.44e+08,2.671e+09,2.671e+09,7.287e+09,2.19e+08,1.46e+08,1.4e+07,52000000.0000001,4.31e+08,-1.51e+08,-1e+06,-1.52e+08,-9.5e+07,-3.72e+08,4000000.00000001,-4.63e+08,-1.84e+08,-1.84e+08,-7e+06,-1.91e+08,5.15e+08,1.348e+09,5.5e+08,0.37404,0.09466,0.05618,0.08199,0.03005,2.51142,1.80723,1.72819,0.18499,0.52518,0.52392,9.34772,6.40528,1.31894,0.22782,5,0.06129,0.10736,0.43379,0.59223,0.82656
