"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",25.2646875,"Up",168249000,-155568000,12681000,-11952000,-11262000,-616000,729000,3787000,-996000,4783000,4516000,3674000,-2510000,1164000,1164000,1399000,1399000,15901000,15901000,97219000,97219000,108749000,10425000,1152000,5969000,232294000,115698000,20319000,10444000,228988000,461282000,66393000,53561000,866000,7264000,73657000,91104000,6336000,1180000,5156000,97440000,171097000,37031000,250289000,1408000,288728000,290185000,461282000,1164000,6266000,6128000,6629000,20187000,-1650000,160000,-1490000,-8714000,348000,-17988000,709000,709000,-54000,655000,6995000,98368000,14484000,0.07537,0.00433,0.00832,0.00482,0.00303,10.35311,3.15373,0.58961,0.21325,0.06966,0.06765,8.3781,14.37745,0.72124,0.00354,0.03668,11.78942,113.12346
"12","2014_Q1",24.4016393442623,"Down",200742000,-175030000,25712000,-14666000,-13445000,-1632000,11046000,4474000,-258000,4732000,15520000,15616000,-5385000,10231000,10231000,10516000,10516000,8755000,8755000,98392000,98392000,110667000,9016000,1388000,5913000,226830000,115164000,20211000,10243000,228636000,455466000,64880000,45544000,851000,65000,64945000,97688000,6353000,1300000,5053000,104041000,168986000,38296000,252112000,-5500000,284908000,286480000,455466000,10231000,5321000,1036000,-11005000,5583000,-3913000,123000,-3790000,-669000,1007000,-8086000,-6293000,-6293000,-853000,-7146000,16367000,97753000,6834000,0.12808,0.05503,0.05239,0.03671,0.02309,0.649869999999998,3.49265,0.58987,0.21462,0.54307,0.50234,10.36676,14.71328,0.35292,0.02692,0.0175,5.43765,8.05703
"13","2014_Q2",23.5346031746032,"Down",168669000,-148684000,19985000,-11700000,-10114000,-1624000,8285000,6085000,-38000,6123000,14370000,14370000,-5751000,8619000,8619000,8870000,8870000,10310000,10310000,90097000,90097000,114432000,11060000,396000,8668000,225899000,115574000,14902000,5149000,227364000,453263000,55730000,40275000,1879000,1316000,57046000,96023000,7081000,1831000,5250000,103104000,160150000,41735000,255724000,-5667000,291792000,293113000,453263000,8619000,4408000,-3216000,-501000,9310000,-5446000,105000,-5341000,-4e+05,1300000,-2495000,1474000,1474000,81000,1555000,12693000,97339000,12497000,0.11849,0.04912,0.05259,0.03026,0.01957,1.40891,3.95994,0.54638,0.21475,0.46044,0.43989,8.75566,15.14701,0.64872,0.02231,0.03144,6.85646,10.50441
"14","2014_Q3",28.2584375,"Up",160617000,-142120000,18497000,-12723000,-11491000,-1145000,5774000,4361000,-761000,5122000,10135000,10135000,-3924000,6211000,6211000,6443000,6443000,15522000,15522000,77536000,77536000,110765000,8576000,1374000,5371000,212399000,116562000,15649000,4510000,233773000,446172000,48674000,35740000,417000,1316000,49990000,101508000,8941000,1991000,6950000,110449000,160439000,44718000,248242000,-8662000,284298000,285733000,446172000,6211000,4217000,-5119000,9611000,14920000,-3717000,227000,-3490000,5500000,897000,-6062000,5368000,5368000,-156000,5212000,9991000,102824000,19809000,0.11516,0.03595,0.04011,0.02255,0.01444,3.0745,4.24883,0.5615,0.23046,0.3367,0.32387,8.39345,14.85671,1.03517,0.01621,0.04983,8.73806,15.11985
"15","2014_Q4",27.66875,"Down",176864000,-157105000,19759000,-13666000,-12290000,-1239000,6093000,2837000,-748000,3585000,8930000,8930000,-4476000,4454000,4454000,4743000,4743000,13159000,13159000,97390000,97390000,110916000,7202000,49999.9999999998,5254000,228667000,118708000,14834000,4508000,231972000,460639000,71298000,53276000,1550000,4905000,76203000,93606000,9610000,2231000,7379000,103216000,179419000,44135000,242142000,-6679000,279598000,281220000,460639000,4454000,4665000,4439000,4649000,18207000,-2041000,-92000,-2133000,-7e+06,369000,-18436000,-2362000,-2362000,-1000,-2363000,10758000,98511000,17842000,0.11172,0.03445,0.02682,0.01687,0.0103,3.76175,3.00076,0.638,0.21386,0.25195,0.24441,9.39517,14.85248,0.94778,0.01218,0.04583,7.93382,14.00821
"16","2015_Q1",32.6250819672131,"Up",181752000,-156731000,25021000,-13690000,-12308000,-1281000,11331000,3241000,-992000,4233000,14572000,14446000,-6010000,8436000,8436000,8767000,8767000,15907000,15907000,93925000,93925000,113370000,8025000,179000,6052000,231227000,123802000,14809000,5086000,237840000,469067000,73087000,51364000,3134000,7215000,80302000,92273000,9754000,2205000,7549000,102027000,182329000,43961000,245673000,-4619000,285015000,286738000,469067000,8436000,4606000,-421000.000000002,1299000,13920000,-5168000,-737000,-5905000,280999.999999998,58000,-5417000,2598000,2598000,150000,2748000,15937000,99488000,18078000,0.13767,0.06234,0.04824,0.03057,0.01869,2.06205,2.87947,0.63587,0.2121,0.47515,0.46094,9.85052,15.44713,0.97978,0.02214,0.04565,5.24446,7.37631
"17","2015_Q2",34.1752380952381,"Up",175561000,-155111000,20450000,-12833000,-11649000,-6e+05,7617000,3219000,-502000,3721000,10836000,10836000,-4161000,6675000,6675000,7077000,7077000,15792000,15792000,92702000,92702000,114024000,7529000,183000,5175000,230047000,122887000,14788000,5001000,240486000,470533000,65372000,46682000,4636000,13347000,78719000,98233000,10019000,2636000,7383000,108252000,186971000,44128000,248949000,-11556000,281521000,283562000,470533000,6675000,4492000,-3874000,-7191000,102000,-7361000,-16000,-7377000,12092000,259000,8191000,916000,916000,-1031000,-115000,12109000,111580000,1718000,0.11648,0.04339,0.04031,0.02496,0.01504,0.24276,2.92238,0.65937,0.23714,0.38695,0.37464,9.59927,15.39291,0.09394,0.01747,0.00424,7.91048,12.57555
"18","2015_Q3",30.379375,"Down",164422000,-141493000,22929000,-12995000,-12971000,38000,9934000,2381000,-9e+05,3281000,12315000,12315000,-3193000,9122000,9122000,9418000,9418000,17897000,17897000,76319000,76319000,115703000,11858000,4434000,5496000,221777000,124328000,14638000,4952000,244714000,466491000,53692000,41853000,2e+05,13353000,67045000,97905000,13448000,5809000,7639000,111353000,178398000,45302000,258367000,-17321000,286348000,288093000,466491000,9122000,4494000,336999.999999999,-4490000,9463000,-5980000,-75000,-6055000,-322000,19000.0000000001,-267000,3141000,3141000,-1036000,2105000,14428000,111258000,7151000,0.13945,0.06042,0.05728,0.03269,0.02019,0.75929,3.30788,0.61924,0.2385,0.51804,0.50144,9.04411,15.75072,0.39334,0.02281,0.01732,6.47082,9.39813
"19","2015_Q4",29.49375,"Down",172187000,-150180000,22007000,-12976000,-12646000,-329000,9031000,4497000,-962000,5459000,13528000,12488000,-2729000,9759000,9759000,10016000,10016000,14752000,14752000,88492000,88492000,105550000,10355000,2991000,5362000,219149000,131228000,14820000,4939000,256202000,475351000,61174000,44007000,1801000,12361000,73535000,99906000,13882000,5784000,8098000,113788000,187323000,45842000,268383000,-28084000,286141000,288028000,475351000,9759000,4338000,-4300000,335000,10132000,-5922000,6000,-5916000,-5056000,-397000,-5448000,-1232000,-1232000,-1913000,-3145000,13369000,112267000,10511000,0.12781,0.05245,0.05817,0.03477,0.02107,1.04942,2.9802,0.65036,0.23618,0.55075,0.53195,9.46811,15.73414,0.57797,0.02418,0.02538,7.29411,10.79781
"20","2016_Q1",23.737868852459,"Down",174951000,-149632000,25319000,-13415000,-12406000,-709000,11904000,6269000,-745000,7014000,18173000,18173000,-3263000,14910000,14910000,15640000,15640000,10013000,10013000,83863000,83863000,111615000,7473000,1451000,6022000,212964000,136222000,13285000,3975000,263408000,476372000,62339000,45023000,676000,12385000,74724000,91725000,10830000,90000,10740000,102555000,177279000,46062000,278331000,-26899000,297494000,299093000,476372000,14910000,4719000,-6329000,5906000,19206000,-2856000,-337000,-3193000,-14875000,355000,-20666000,-4653000,-4653000,-85999.9999999998,-4739000,16623000,104110000,22936000,0.14472,0.06804,0.0894,0.05229,0.03283,1.4665,2.85001,0.59272,0.21855,0.86062,0.83002,9.62697,16.37011,1.26209,0.03777,0.0554,5.66065,7.90465
"21","2016_Q2",25.13125,"Up",162165000,-141181000,20984000,-11297000,-10830000,146000,9687000,2039000,-821000,2860000,11726000,11726000,-3940000,7786000,7786000,8025000,8025000,9954000,9954000,84960000,84960000,112778000,5951000,201000,3597000,213643000,149275000,9931000,4054000,273654000,487297000,57483000,42398000,1437000,14515000,71998000,113710000,10532000,89000.0000000005,10443000,124242000,196240000,46156000,281378000,-38317000,289217000,291057000,487297000,7786000,4383000,-34000,-11348000,787000,-13787000,-347000,-14134000,19826000,9000,14456000,1109000,1109000,-1168000,-59000,14070000,128225000,-7125000,0.1294,0.05974,0.04949,0.02757,0.01647,-0.88785,2.96735,0.67423,0.26314,0.4478,0.43261,9.04888,16.13844,-0.39758,0.01867,-0.01658,8.4059,12.20925
"22","2016_Q3",27.221875,"Up",156336000,-134523000,21813000,-13184000,-12419000,-206000,8629000,-347000,-650000,303000,8282000,8282000,-2088000,6194000,6194000,6464000,6464000,19417000,19417000,78149000,78149000,108975000,7762000,4190000,3572000,214303000,159210000,10518000,4497000,283438000,497741000,48364000,36455000,655000,15050000,63414000,121837000,14108000,3241000,10867000,135945000,199359000,47153000,287139000,-37880000,296412000,298382000,497741000,6194000,4293000,6271000,-2153000,14605000,-11529000,-360000,-11889000,6278000,1257000,6763000,9479000,9479000,-16000,9463000,12922000,136887000,1328000,0.13953,0.0552,0.04135,0.02166,0.01299,0.20545,3.37943,0.66813,0.27502,0.36268,0.35022,8.77159,16.63087,0.0745100000000001,0.01438,0.00296,9.0907,13.6134
"23","2016_Q4",30.7180952380952,"Up",161278000,-137914000,23364000,-13372000,-12142000,-819000,9992000,3449000,-718000,4167000,13441000,13441000,-4166000,9275000,9275000,9689000,9689000,15287000,15287000,82454000,82454000,105944000,6864000,2848000,4016000,210549000,168975000,11480000,5748000,298407000,508956000,58600000,42143000,1404000,15058000,73658000,106703000,16466000,4990000,11476000,123169000,196827000,47840000,296828000,-34096000,310572000,312129000,508956000,9275000,4364000,-1706000,10918000,22851000,-9350000,-1303000,-10653000,-16630000,-199000,-16775000,-4577000,-4577000,447000,-4130000,14356000,121761000,20090000,0.14487,0.06196,0.06008,0.03104,0.01904,2.07349,2.85847,0.6306,0.23924,0.54317,0.52609,9.04126,17.4107,1.12625,0.02151,0.04461,7.41669,10.65592
"24","2017_Q1",28.5770967741935,"Down",163858000,-136387000,27471000,-13581000,-12111000,-1369000,13890000,904000,-729000,1633000,14794000,14794000,-4879000,9915000,9915000,10237000,10237000,16646000,16646000,83422000,83422000,103532000,8292000,3502000,4790000,211892000,185101000,11037000,4909000,313550000,525442000,61522000,41593000,1455000,13786000,75308000,107805000,15384000,4991000,10393000,123189000,198497000,47717000,307065000,-29751000,325031000,326945000,525442000,9915000,4488000,-699999.999999999,4029000,17732000,-15572000,-644000,-16216000,-1489000,620000,-801999.999999996,714000,714000,645000,1359000,18378000,121591000,11714000,0.16765,0.08477,0.06247,0.03131,0.01948,1.14428,2.81367,0.60713,0.23141,0.57363,0.56136,9.18178,18.2131,0.65639,0.02207,0.02525,5.71036,7.55544
"25","2017_Q2",28.2507936507936,"Down",159969000,-136422000,23547000,-10973000,-11410000,70000,12574000,294000,-546000,840000,12868000,12868000,-3726000,9142000,9142000,9403000,9403000,20921000,20921000,82912000,82912000,110002000,11944000,6312000,5632000,225779000,194261000,10694000,4947000,322194000,547973000,63459000,44177000,2032000,13733000,77192000,115821000,17961000,7446000,10515000,133782000,210974000,49432000,316468000,-30554000,335346000,336999000,547973000,9142000,4737000,2215000,-7945000,8149000,-10135000,-49000,-10184000,5052000,106000,6358000,4323000,4323000,-48000,4275000,17311000,129554000,2957000,0.1472,0.0786,0.05878,0.0279,0.01716,0.31447,2.9249,0.62604,0.23642,0.52338,0.51234,8.90399,18.66559,0.16459,0.01941,0.0061,6.27537,8.63949
"26","2017_Q3",31.591746031746,"Up",155155000,-133025000,22130000,-13092000,-12868000,-319000,9038000,-1098000,-731000,-367000,7940000,6278000,-1924000,4354000,4354000,4591000,4591000,28490000,28490000,76854000,76854000,109772000,16574000,11643000,4931000,231690000,197528000,5785000,605000,319154000,550844000,53412000,38820000,2716000,14153000,67565000,119843000,21261000,10332000,10929000,141104000,208669000,52711000,321059000,-31595000,342175000,342175000,550844000,4354000,4994000,6594000,-6795000,9147000,-9208000,-131000,-9339000,6144000,637000,8062000,7870000,7870000,-301000,7569000,14032000,133996000,-47000,0.14263,0.05825,0.02959,0.01342,0.00833,-0.01024,3.42914,0.60983,0.24326,0.25325,0.24894,8.55886,18.8755,-0.00259000000000004,0.00923,-9e-05,7.51896,11.6736
"27","2017_Q4",36.1734920634921,"Up",160896000,-139766000,21130000,-12023000,-1.3e+07,885000,9107000,901000,-699000,1600000,10008000,10008000,-831000,9177000,9177000,9177000,9177000,30231000,30231000,87249000,87249000,109647000,18321000,13616000,4705000,245448000,201516000,5381000,536000,324807000,570255000,61713000,43756000,2779000,16823000,78536000,116474000,21383000,11269000,10114000,137857000,216393000,53351000,330236000,-29725000,353862000,353862000,570255000,9177000,5156000,-1090000,-1253000,11990000,-8532000,1000,-8531000,-2264000,-4000,-2132000,1327000,1327000,414000,1741000,14263000,133297000,5309000,0.13133,0.0566,0.05704,0.02593,0.01609,0.57851,3.12529,0.61152,0.23375,0.50395,0.49624,8.83558,19.43229,0.29154,0.01805,0.01044,7.22611,11.31723
"28","2018_Q1",35.8059016393443,"Down",171250000,-143893000,27357000,-14308000,-13551000,-326000,13049000,1072000,-1085000,2157000,14121000,14121000,-4417000,9704000,9704000,9704000,9704000,35425000,35425000,81121000,81121000,111405000,15686000,9218000,6468000,243637000,203388000,4965000,2771000,327866000,571503000,58994000,41499000,1351000,17060000,76054000,111382000,23261000,11457000,11804000,134643000,210697000,53746000,339940000,-32880000,360806000,360806000,571503000,9704000,5481000,-268000,1859000,16776000,-5254000,-74000,-5328000,-5782000,-172000,-5784000,5664000,5664000,-470000,5194000,18530000,128442000,19552000,0.15975,0.0762,0.05667,0.0269,0.01698,2.01484,3.20347,0.58396,0.22474,0.53202,0.52499,9.38871,19.78103,1.07193,0.01893,0.03815,5.01981,7.12829
"29","2018_Q2",32.93859375,"Down",164242000,-140950000,23292000,-13119000,-12863000,-315000,10173000,1983000,-1104000,3087000,12156000,12156000,-3196000,8960000,8960000,8960000,8960000,42391000,42391000,79924000,79924000,118534000,16634000,9713000,6921000,257483000,203586000,4608000,2413000,323621000,581104000,58801000,41921000,1539000,17065000,75866000,107486000,23628000,12375000,11253000,131114000,206980000,54930000,348900000,-29706000,374124000,374124000,581104000,8960000,5510000,6137000,-4847000,15760000,-5148000,57000,-5091000,-3985000,-263000,-4029000,6640000,6640000,326000,6966000,15683000,124551000,8884000,0.14182,0.06194,0.05455,0.02395,0.01542,0.99152,3.39392,0.55324,0.21434,0.49115,0.48247,9.00301,20.50781,0.48698,0.01715,0.01701,5.23879,8.07628
"30","2018_Q3",31.2819047619048,"Down",167478000,-144802000,22676000,-14902000,-14626000,-348000,7774000,-798000,-1009000,211000,6976000,6976000,4826000,11802000,11802000,11802000,11802000,48615000,48615000,80847000,80847000,116239000,17466000,10612000,6854000,263167000,203699000,6976000,2815000,324298000,587465000,50243000,35420000,1833000,17112000,67355000,115588000,18233000,7140000,11093000,133821000,201176000,57044000,360702000,-31457000,386289000,386289000,587465000,11802000,5625000,-3676000,-9122000,4629000,-6212000,-41999.9999999999,-6254000,8057000,-65000,7992000,6367000,6367000,-143000,6224000,13399000,132700000,-6761000,0.1354,0.04642,0.07047,0.03055,0.02009,-0.57287,3.90716,0.52079,0.22589,0.64587,0.63278,9.16533,21.13988,-0.37,0.02197,-0.01259,6.27547,10.81618
