"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"23","2015_Q4",25.175,"Down",84331000,-60809000,23522000,-19238000,-18041000,-1197000,4284000,-163000,-163000,4121000,4121000,-1234000,2887000,2887000,2887000,2887000,14877000,14877000,78395000,78395000,16152000,7644000,109424000,8187000,76545000,65962000,85632000,195056000,46987000,4869000,42118000,49337000,7994000,57331000,86407000,51318000,137725000,137725000,195056000,2887000,1197000,1495000,-31837000,-26258000,-555000,-555000,-555000,0,-555000,-334000,-334000,-27147000,-27147000,-27147000,5481000,3262000,-25677000,0.27892,0.0508,0.03423,0.02096,0.0148,-8.89401,2.21789,0.41627,0.01672,0.2626,0.25839,7.67064,12.52729,-2.33555,0.01966,-0.17489,-2.11914,-2.71125
"24","2016_Q1",20.6719672131148,"Down",84760000,-62567000,22193000,-19048000,-13526000,-1213000,3145000,-234000,-234000,2911000,2781000,270000,3051000,3321000,3321000,3321000,4104000,4104000,84959000,84959000,4858000,4858000,93921000,8619000,82357000,68844000,91876000,185797000,39830000,4748000,35082000,42189000,1882000,44071000,87087000,54639000,141726000,141726000,185797000,3321000,1213000,2648000,-11862000,-4680000,-897000,-897000,-897000,-4115000,-5012000,-1350000,-1081000,-10773000,-10773000,-10773000,4358000,2991000,-8671000,0.26183,0.0371,0.03918,0.02343,0.01787,-2.61096,2.2262,0.31096,0.0161,0.30163,0.29633,7.69846,12.87248,-0.787560000000001,0.02295,-0.05992,-0.255389999999999,-0.3539
"25","2016_Q2",19.02671875,"Down",92602000,-68283000,24319000,-23666000,-22188000,-1478000,653000,-419000,-419000,234000,234000,-77000,157000,157000,157000,157000,9080000,9080000,105771000,105771000,12573000,3933000,127424000,7683000,93211000,73931000,101794000,229218000,45476000,4275000,41201000,48943000,37885000,86828000,87594000,54796000,142390000,142390000,229218000,157000,2372000,1782000,-10270000,-5959000,-342000,-342000,-342000,-20449000,-20791000,31556000,31726000,4976000,4976000,4976000,3025000,33287000,-7510000,0.26262,0.00705,0.0017,0.0011,0.00068,-47.83439,2.60352,0.60979,0.14522,0.01424,0.01405,8.40156,12.91871,-0.68136,0.00086,-0.04115,8.00231,37.07044
"26","2016_Q3",21.9859375,"Up",100927000,-75232000,25695000,-21302000,-16377000,-1744000,4393000,-663000,-663000,3730000,3730000,-1130000,2600000,2600000,2600000,2600000,8240000,8240000,121124000,121124000,13160000,4520000,142524000,7634000,91844000,73891000,100378000,242902000,45305000,4590000,40715000,47591000,46993000,94584000,90922000,57396000,148318000,148318000,242902000,2600000,851000,3277000,-19034000,-12306000,-369000,-369000,-369000,0,-369000,9089000,11835000,-840000,-840000,-840000,5244000,42464000,-13029000,0.25459,0.04353,0.02576,0.01753,0.0107,-5.01115,2.99477,0.63771,0.17482,0.22883,0.23099,8.88286,13.05386,-1.14672,0.01316,-0.06594,6.52632,7.79058
"27","2016_Q4",30.8220634920635,"Up",103503000,-76079000,27424000,-24928000,-21299000,-1721000,2496000,-506000,-632000,1990000,1990000,-291000,1699000,1699000,1699000,1699000,39446000,39446000,80454000,80454000,13125000,4485000,133025000,5993000,90522000,73851000,97415000,230440000,48197000,4268000,43929000,50441000,29538000,79979000,91366000,59095000,150461000,150461000,230440000,1699000,1720000,4108000,41729000,49256000,-457000,-457000,-457000,0,-457000,-17593000,-17593000,31206000,31206000,31206000,4216000,24967000,45779000,0.26496,0.02412,0.01641,0.01129,0.00737,26.94467,2.63724,0.53156,0.10834,0.15189,0.15106,9.25291,13.45083,4.09253,0.00932,0.2512,-3.4343,-5.80088
"28","2017_Q1",33.8185483870968,"Up",103897000,-74999000,28898000,-20964000,-16976000,-1704000,7934000,2274000,2194000,10208000,10208000,-2601000,7607000,7704000,7704000,7704000,8013000,8013000,116999000,116999000,5998000,5998000,131010000,6648000,91306000,72688000,98854000,229864000,47089000,4486000,42603000,49620000,22482000,72102000,92265000,65497000,157762000,157762000,229864000,7704000,1704000,857000,-41999000,-31734000,-544000,-544000,-544000,423000,-121000,-668000,422000,-31433000,-31433000,-31433000,9638000,25013000,-30304000,0.27814,0.07636,0.07415,0.04883,0.03352,-3.93354,2.64027,0.45703,0.10882,0.66425,0.65762,8.95818,13.60252,-2.61286,0.04215,-0.1658,1.76385,2.14268
"29","2017_Q2",35.9611111111111,"Up",101606000,-74289000,27317000,-22421000,-18873000,-1516000,4896000,-587000,-644000,4309000,6374000,-2115000,4259000,4259000,4259000,4259000,19156000,19156000,116174000,116174000,3959000,3959000,139289000,7049000,91426000,73906000,99375000,238664000,49668000,5453000,44215000,52219000,21877000,74096000,93646000,70922000,164568000,164568000,238664000,4259000,1516000,473000,3367000,9615000,-1162000,-1162000,-1162000,2400000,1238000,-664000.000000002,290000,11143000,11143000,11143000,6412000,24428000,10732000,0.26885,0.04819,0.04192,0.02588,0.01785,2.51984,2.6674,0.45025,0.10235,0.37249,0.36776,8.8863,14.39286,0.9386,0.02253,0.05678,0.82221,1.0768
"30","2017_Q3",35.2095238095238,"Down",103559000,-75048000,28511000,-22590000,-19006000,-1514000,5921000,-2051000,-2095000,3870000,3870000,-1170000,2700000,2700000,2700000,2700000,15873000,15873000,137967000,137967000,3884000,3884000,157724000,7191000,90379000,73906000,98470000,256194000,44020000,3430000,40590000,47072000,40986000,88058000,94514000,73622000,168136000,168136000,256194000,2700000,1514000,4232000,-29436000,-20990000,-609000,-609000,-609000,-9.31322574615479e-10,-608999.999999999,18112000,18316000,-3283000,-3283000,-3283000,7435000,44038000,-21440000,0.27531,0.05718,0.02607,0.01606,0.01054,-7.94074,3.3507,0.52373,0.17189,0.2354,0.23222,9.02868,14.65876,-1.86922,0.01273,-0.10105,3.78816,4.7568
"31","2017_Q4",33.9634920634921,"Down",108593000,-79540000,29053000,-23247000,-19360000,-1781000,5806000,-776000,-840000,5030000,5030000,-1623000,3407000,3407000,3407000,3407000,45688000,45688000,96335000,96335000,6267000,6267000,148290000,7494000,111217000,91821000,119611000,267901000,51852000,4910000,46942000,55259000,40372000,95631000,95241000,77029000,172270000,172270000,267901000,3407000,1781000,3358000,45407000,53953000,-1318000,-1318000,-1318000,-22419000,-23737000,-401000.000000007,-401000,29815000,29815000,29815000,7587000,43779000,53299000,0.26754,0.05347,0.03137,0.01978,0.01272,15.64397,2.68354,0.55512,0.16341,0.29657,0.2927,9.45273,14.99565,4.63954,0.01577,0.2467,-0.25161,-0.3288
"32","2018_Q1",38.3885245901639,"Up",112236000,-81242000,30994000,-24831000,-19663000,-1852000,6163000,-775000,-827000,5388000,5790000,-4350000,1440000,1587000,1587000,1587000,53754000,53754000,93533000,93533000,8379000,8379000,155666000,7489000,108536000,90339000,116025000,271691000,51977000,7381000,44596000,55076000,40306000,95382000,95975000,80334000,176309000,176309000,271691000,1587000,1852000,6265000,489000,10193000,-527000,-527000,-527000,-633000.000000004,-1160000,-967000,-967000,8066000.00000001,8066000.00000001,8066000.00000001,8015000,42959000,12327000,0.27615,0.05491,0.01414,0.009,0.00584,7.76749,2.82639,0.54099,0.15812,0.13814,0.13629,9.76985,15.34723,1.07303,0.00722,0.0561,-1.34685,-1.75158
"33","2018_Q2",54.62578125,"Up",109476000,-81543000,27933000,-23344000,-21537000,-1807000,4589000,1412000,1412000,6001000,6001000,-1115000,4886000,4886000,4886000,4886000,63406000,63406000,83771000,83771000,7250000,7250000,154427000,7384000,111042000,93090000,118426000,272853000,48621000,6468000,42153000,51382000,40650000,92032000,96858000,83963000,180821000,180821000,272853000,4886000,1807000,1213000,6370000,14276000,-416000,-416000,-416000,-3283000,-3699000,-949000,-925000,9652000,9652000,9652000,6396000,42157000,13465000,0.25515,0.04192,0.04463,0.02702,0.01791,2.75583,3.00547,0.50897,0.1545,0.4248,0.41775,9.518,15.72083,1.17067,0.02179,0.06005,-3.32223,-4.63042
"34","2018_Q3",64.7460317460317,"Up",131258000,-95515000,35743000,-28830000,-26495000,-2335000,6913000,-1350000,-1350000,5563000,5563000,-1245000,4318000,4318000,4318000,4318000,69217000,69217000,98721000,98721000,5918000,5918000,173856000,8398000,161172000,133082000,169570000,343426000,52995000,7094000,45901000,56336000,100731000,157067000,98099000,88260000,186359000,186359000,343426000,4318000,2335000,1351000,-2116000,5888000,-1246000,-1246000,-1246000,-58526000,-59772000,59451000,59695000,5811000,5811000,5811000,9248000,101852000,7131000,0.27231,0.05267,0.0329,0.02317,0.01257,1.65146,3.08606,0.84282,0.29658,0.37444,0.36476,11.38207,16.16016,0.61837,0.01491,0.02462,3.52887,4.72082
"35","2018_Q4",68.3701587301587,"Up",137715000,-100927000,36788000,-30800000,-28266000,-2534000,5988000,-1430000,-1430000,4558000,4558000,-927000,3631000,3631000,3631000,3631000,147477000,147477000,106653000,106653000,6935000,6935000,261065000,9453000,160260000,134063000,169713000,430778000,59173000,6737000,52436000,62338000,100630000,162968000,176004000,91806000,267810000,267810000,430778000,3631000,2534000,1458000,-3108000,4515000,-1722000,-1722000,-1722000,-538000,-2260000,-795000.000000015,76005000,78260000,78260000,78260000,8522000,101209000,4619000,0.26713,0.04348,0.02637,0.01356,0.00843,1.2721,4.1879,0.60852,0.23494,0.29796,0.2887,11.30108,21.97686,0.37904,0.00979,0.01246,-5.42924,-7.72679
