"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",18.1671875,"Up",7070292,-4450528,2619764,-2655607,-2383871,-35843,-59554,-64017,-64242,4463,-95397,-95397,-61121,-61121,-61121,-61121,170681,170681,3633247,3633247,6187562,702138,265683,13728,10693628,3427249,809420,291236,445520,4236669,14930297,2652601,2032597,620004,4195141,176291,176291,7024033,1642491,0,-1.13686837721616e-13,1642491,8666524,7060675,-796902,6263773,6263773,14930297,-61121,139936,62682,-254579,-113082,-21722,-25878,4085,-95548,-234508,-234508,-234508,104093,5837632,0.37053,-0.00507,-0.00864,-0.00976,-0.00409,1.52243,1.38359,0.39099,-0.12169,-0.12169,14.07669,12.47094,-0.00505,54.44123,-158.10482
"12","2014_Q1",19.4081967213115,"Up",7263638,-4606563,2657075,-2761212,-2452707,-104137,-58126,-63567,-63576,5441,-162263,-162263,-73089,-73089,-73089,-73089,302050,302050,3246712,3246712,6407553,923134,506836,27197,10879449,3324947,900191,280078,422672,4225138,15104587,3336750,2751894,584856,3818963,178148,178148,7333861,1561776,0,0,1561776,8895637,7078941,-869991,6208950,6208950,15104587,-73089,157358,88575,434852,607696,-19434,-19434,-456893,-456893,131369,131369,131369,53221,5380739,0.3658,-0.01434,-0.01006,-0.01177,-0.00484,1.48345,1.43271,0.35623,-0.14506,-0.14509,14.41589,12.32269,-0.00631,95.42641,-48.7693
"13","2014_Q2",16.1036507936508,"Down",7055428,-4474359,2581069,-2694192,-2379369,-113123,-55386,-59910,-59913,4524,-168509,-168509,-107784,-107784,-107784,-107784,220660,220660,3256432,3256432,6255317,1016015,592605,23310,10748424,3231493,920239,268918,404154,4151732,14900156,3196783,2453441,743342,3938102,166696,166696,7301581,1479490,9.09494701772928e-13,0,1479490,8781071,7096860,-977775,6119085,6119085,14900156,-107784,141806,11194,-162316,-117100,-24700,-4452,40162,40162,-81390,-81390,-81390,28683,5417592,0.36583,-0.01603,-0.01528,-0.01761,-0.00723,1.47207,1.43503,0.36359,-0.21395,-0.21395,14.00496,12.14632,-0.00934,181.18509,-45.94054
"14","2014_Q3",20.291875,"Up",7146787,-4469256,2677531,-2554175,-2315464,123356,-49772,-56010,-56045,6238,73584,73584,44095,44095,44095,44095,418378,418378,3001381,3001381,6568392,1145678,696901,21147,11133829,3144426,857079,257758,409173,4001505,15135334,3391938,2742238,649700,3993156,165807,165807,7550901,1403525,0,0,1403525,8954426,7114588,-933680,6180908,6180908,15135334,44095,114008,101217,-19891.0000000001,239429,-20800,-20800,-20910.9999999999,-20910.9999999999,197718,197718,197718,237364,5396681,0.37465,0.01726,0.00617,0.00713,0.00291,1.4745,1.44872,0.35656,0.08753,0.08745,14.1863,12.26904,0.00381,20.97329,40.3572
"15","2014_Q4",19.21671875,"Down",6185641,-3929523,2256118,-2458498,-2245594,-202380,-52466,-59035,-59038,6569,-254846,-254846,-161752,-161752,-161752,-161752,132394,132394,2905918,2905918,6237266,1152739,711416,14647,10428317,3070195,914686,246600,383890,3984881,14413198,2907224,2308611,598613,3981193,158244,158244,7046661,1329759,1.45519152283669e-11,2.91038304567337e-11,1329759,8376420,7132210,-1095432,6036778,6036778,14413198,-161752,176884,-21472,-123762,-130102,-70153,-70153,-85729,-85729,-285984,-285984,-285984,-25496,5310952,0.36473,-0.03272,-0.02615,-0.02679,-0.01122,1.47989,1.38756,0.36848,-0.32096,-0.32096,12.27417,11.97878,-0.01425,-203.11257,-25.58829
"16","2015_Q1",17.3254098360656,"Down",7056367,-4550713,2505654,-2499297,-2273006,6357.00000000006,-53751,-56866,-56869,3115,-47394.0000000001,-47394.0000000001,-45701,-45701,-45701,-45701,332800,332800,3165396,3165396,6157848,722883,298370,15594,10378927,2980677,935540,235440,396456,3916217,14295144,3050096,2433534,616562,3823483,157753,157753,7031332,1255133,0,0,1255133,8286465,7149812,-1141133,6008679,6008679,14295144,-45701,96845,121283,321620,494047,-61304.9999999998,-61305,-232336,-232336,200406,200406,200406,103202,5078616,0.35509,0.000899999999999991,-0.00648,-0.00761,-0.0032,1.4761,1.37908,0.35527,-0.09066,-0.09075,13.99866,11.92022,-0.00412,45.9857,746.54963
"17","2015_Q2",14.7007936507937,"Down",7216324,-4648752,2567572,-2468456,-2251629,99116,-42630,-45972,-48293,3342,56486,56486,40923,40923,40923,40923,677829,677829,3162301,3162301,6021575,859233,426501,14806,10720938,5426367,2128249,224271,716734,7554616,18275554,3991798,2532039,1459759,1426581,259237,259237,5677616,4388185,2142697,2142697,6530882,12208498,7167266,-1100210,6067056,6067056,18275554,40923,101005,-791395,-631673,-1281140,3782449,4690019,-3063850,-3063850,345029,345029,345029,200121,5814766,0.3558,0.01373,0.00567,0.00675,0.00224,1.88828,2.01226,0.31817,0.08118,0.08108,14.31589,12.03595,0.00292,25.66916,51.8275300000003
"18","2015_Q3",15.6190625,"Up",7303189,-4839578,2463611,-2614393,-2379720,-150782,-75343,-78456,-79736,3113,-226125,-226125,-133542,-133542,-133542,-133542,199593,199593,2957485,2957485,5980659,1103818,640060,9983,10241555,5280003,2155190,213122,698090,7435193,17676748,3265657,2031767,1233890,1814039,302968,302968,5382664,4287992,2056121,2056121,6344113,11726777,7183723,-1233752,5949971,5949971,17676748,-133542,96631,16088,181453,160630,-2101,-909671.000000001,270805,270805,-478236,-478236,-478236,-54151,6102031,0.33733,-0.02065,-0.01829,-0.02244,-0.00755,1.90269,1.9709,0.3452,-0.26492,-0.26492,14.48822,11.80368,-0.00947,-108.99961,-39.14551
"19","2015_Q4",15.27015625,"Down",6690706,-4498819,2191887,-2453858,-2217397,-261971,-82584,-86280,-87127,3696,-344555,-344555,-208013,-208013,-208013,-208013,341434,341434,2853000,2853000,6146117,1120763,772998,8389,10461314,5159797,2381392,201962,684511,7541189,18002503,3523319,2330940,1192379,2174513,302967,302967,6000799,4224972,2018509,2018509,6243481,12244280,7199988,-1441765,5758223,5758223,18002503,-208013,160857,-123294,-483127,-653577,-29491,510309,285109,285109,141841,141841,141841,-101114,6399485,0.3276,-0.03915,-0.03109,-0.03612,-0.01155,1.74332,2.1264,0.35548,-0.41266,-0.41266,13.27316,11.42328,-0.01467,-59.91308,-23.12489
"20","2016_Q1",14.3519672131148,"Down",7907309,-6060920,1846389,-2619652,-2380659,-773263,-111788,-115214,-115686,3426,-885051,-885051,-1949705,-1949705,-1949705,-4809474,3925967,3925967,3346770,3346770,5421787,618485,273629,6748,13313009,5025076,814145,190803,623342,5839221,19152230,3062966,2520327,542639,2205160,303633,303633,5571759,4115968,2158175,1980897,6274143,11845902,6969700,-3391470,7306328,7306328,19152230,-1949705,37103,2073344,547837,708579,-17190,-556990,-49552.0000000001,3432944,3584533,3584533,3584533,-736160,6321128,0.2335,-0.09779,-0.60823,-0.65826,-0.25112,2.38937,1.62132,0.33005,-9.53608,-9.54775,15.67837,7.09481,-0.30467,-3.25359,-3.09747
"21","2016_Q2",14.26765625,"Down",7397196,-4886367,2510829,-2621016,-2355655,-110187,-77025,-79629,-80243,2604,-187212,-187212,-181562,-181562,-181562,-262062,2080775,2080775,3172939,3172939,5465667,701969,358928,8533,11421350,4919640,786318,183133,603185,5705958,17127308,2500022,1955898,544124,1017199,304098,304098,3821319,4039492,2126720,1943285,6166212,9987531,7625255,-3573032,7139777,7139777,17127308,-181562,62773,51425,-500741,-568105,-12650,-12650,-1264437,-1264437,-1845192,-1845192,-1845192,-47414,5056691,0.33943,-0.0149,-0.03543,-0.0367,-0.0153,2.98885,1.39886,0.29524,-0.49571,-0.49571,13.99237,7.66509,-0.0183,-62.7645,-27.00787
"22","2016_Q3",13.6140625,"Down",7474922,-4797940,2676982,-2722998,-2469130,-46016.0000000001,-73015,-75406,-77274,2391,-119031,-119031,-124681,-124681,-124681,-205181,2134140,2134140,3016545,3016545,5470960,680121,331125,8088,11301766,4808736,755685,175463,580222,5564421,16866187,2447551,1844032,603519,1037034,304463,304463,3789048,3961889,2105489,1905673,6067378,9856426,7639866,-3697713,7009761,7009761,16866187,-124681,63479,120390,59833,119021,-7888.00000000001,-7887.99999999988,-57768,-57768,53365,53365,53365,17463,4998923,0.35813,-0.00615999999999999,-0.02745,-0.02927,-0.01217,2.98275,1.4061,0.29639,-0.384220000000001,-0.38422,13.99733,7.38197,-0.01454,164.04873,-62.25624
"23","2016_Q4",12.6806349206349,"Down",7408989,-4922570,2486419,-2870232,-2620238,-383813,-66874,-71514,-71690,4640,-450687,-450687,-450687,-450687,-450687,-531187,1078406,1078406,3337486,3337486,5368257,302862,226437,8143,10087011,4754949,726824,164891,561933,5481773,15568784,2343261,1843418,499843,315929,303807,303807,2962997,3916652,2078608,1868061,5995260,8958257,7691319,-4148400,6610527,6610527,15568784,-450687,68099,-8233,168153,-222668,-23614,-23614,-809452,-809452,-1055734,-1055734,-1055734,-315714,4232581,0.33559,-0.0518,-0.07169,-0.08035,-0.03412,3.40433,1.35515,0.27186,-0.97241,-0.97241,13.56321,6.48582,-0.04111,-9.99061,-8.218
"24","2017_Q1",13.6033870967742,"Up",8130650,-5450737,2679913,-3834743,-3533583,-1154830,-55052,-59715,-59942,4663,-1209882,-1209882,-1145331,-1145331,-1145331,-1276122,966183,966183,3523731,3523731,4997254,267681,256735,10946,9754849,4777565,740284,160123,580161,5517849,15272698,3310712,1914342,1396370,320585,303053,303053,3934350,3834738,1915600,1830449,5750338,9684688,7545880,-5666022,5588010,5588010,15272698,-1145331,66259,90559,1125288,136775,-151794,-151794,-77258,-97204,-112223,-112223,-112223,-1088571,4155323,0.32961,-0.14203,-0.15695,-0.22837,-0.08356,2.47941,1.73312,0.27208,-2.29436,-2.29436,14.61825,3.37983,-0.10945,-2.92966,-2.76157
"25","2017_Q2",14.7811111111111,"Up",8162734,-5368046,2794688,-3043242,-2764357,-248554,-37079,-59320,-59542,22241,-285633,-285633,-285633,-285633,-285633,-374618,868864,868864,3455396,3455396,5285247,300991,295086,5905,9910498,4673913,713449,152453,560996,5387362,15297860,3682579,2755230,927349,318095,302027,302027,4302701,3740383,1888167,1792837,5628550,9931251,7699097,-6040640,5366609,5366609,15297860,-285633,60936,118624,99485,-6588,6114,6114,-96845,-96845,-97319,-97319,-97319,-187618,4058478,0.34237,-0.03045,-0.04589,-0.06981,-0.02449,2.30332,1.85056,0.2653,-0.65919,-0.65919,14.3635,2.91829,-0.03311,-17.00058,-12.83268
"26","2017_Q3",12.7838095238095,"Down",8713355,-5640048,3073307,-3160712,-2851237,-87405,-7914,-63408,-63186,55494,-95319,-95319,-95319,-95319,-95319,-559969,1665739,1665739,3384968,3384968,5584635,470252,430751,39501,11105594,4569570,683674,144783,538891,5253244,16358838,3977857,2792693,1185164,322838,302027,302027,4602722,3657873,1859642,1755225,5517515,10120237,7826646,-6224751,6238601,6238601,16358838,-95319,60502,166749,-174912,-42979.9999999999,-10932,-10932,-77767,850787,796875,796875,796875,-26903,3980711,0.35271,-0.01003,-0.06427,-0.08976,-0.03423,2.41283,1.6222,0.24334,-0.97179,-0.97179,15.12152,2.78,-0.04636,-86.04884,-26.48558
"27","2017_Q4",12.5571428571429,"Down",7715954,-5014175,2701779,-3383851,-3153257,-682072,-72660,-75356,-75356,2696,-754732,-754732,-754732,-754732,-754732,-848711,3352694,3352694,2925080,2925080,5783327,251878,221013,29793,12312979,4578087,830521,137113,693408,5408608,17721587,3349224,2489795,859429,2882101,303490,303490,6534815,3634221,1831114,1717613,5465335,12000150,8174434,-7089703,5721437,5721437,17721587,-754732,63533,113288,-127141,-705052,-127363,-127363,924092,2519370,1686955,1686955,1686955,-618539,6516322,0.35015,-0.0884,-0.10999,-0.14834,-0.04789,1.88421,2.0974,0.36771,-1.40401,-1.40401,12.76443,1.79446,-0.06033,-5.11468000000001,-4.63826
"28","2018_Q1",14.4603278688525,"Up",11166287,-8227563,2938724,-3595107,-3332688,-656383,-74328,-79546,-79546,5218.00000000001,-730711,-730711,-730711,-730711,-730711,-2509830,254705,254705,5281348,5281348,7397682,537188,503800,33388,13470923,4973477,7619477,2754118,562873,12592954,26063877,4472613,2334563,2138050,2517561,647192,647192,7637366,3549535,2552586,2552586,6102121,13739487,11838022,-8014927,12324390,12324390,26063877,-730711,152576,212032,-407605,-773708,46305,-9069784,1086485,6745503,-3097989,-3097989,-3097989,-503807,6067096,0.26318,-0.05878,-0.22477,-0.20365,-0.0963,1.76382,1.11482,0.23278,-3.24715,-3.24715,14.44666,4.94622,-0.11983,-11.53694,-8.85518
"29","2018_Q2",14.71328125,"Up",12797971,-8458580,4339391,-4074550,-4074550,264841,-66194,-76808,-76808,10614,198647,198647,198647,198647,198647,11586,5548214,5548214,5842362,5842362,7154398,727007,592705,134302,19271981,4861743,7614586,2682835,629265,12476329,31748310,5067141,3173001,1894140,7455428,647192,647192,13169761,3460228,2523498,2392389,5983726,19153487,12284369,-8003341,12594823,12594823,31748310,198647,139105,157260,-36189,458823,-13874,-13874,4848560,4848560,5293509,5293509,5293509,403946,10915656,0.33907,0.02069,0.00091,0.000920000000000004,0.000359999999999999,1.46335,1.52074,0.34382,0.0122,0.0122,13.47708,4.5082,0.000450000000000006,13.28752,20.26666
"30","2018_Q3",14.5739682539683,"Down",18081333,-12311353,5769980,-5663297,-4857961,106683,-92335,-103706,-103706,11371,14348,14348,14348,14348,14348,-1314916,3652342,3652342,7385608,7385608,11605299,1033299,893933,139366,23676548,5970836,15921502,7516028,532611,21892338,45568886,6697758,4451050,2246708,7101233,786922,786922,14585913,3373321,4459957,4321444,7833278,22419191,19802351,-8294472,23149695,23149695,45568886,14348,298995,88801,815875,1218019,-60265,-9123282,-441102,6009391,-1895872,-1895872,-1895872,405678,10474554,0.31911,0.0059,-0.07272,-0.0568,-0.02886,1.62325,0.96844,0.22986,-1.14636,-1.14642,15.76358,10.03275,-0.03453,16.81682,63.94845
"31","2018_Q4",13.6652380952381,"Down",16634067,-11342518,5291549,-6455796,-6213490,-1164247,-113185,-118045,-118045,4860,-1277432,-1277432,-1277432,-1277432,-1277432,-1467955,1497455,1497455,7117194,7117194,12389387,831939,720868,111071,21835975,5839436,15708338,7312854,522621,21547774,43383749,6001454,3320322,2681132,6906247,536922,536922,13444623,3280419,4691769,4691769,7972188,21416811,20087549,-9762427,21966938,21966938,43383749,-1277432,318138,252198,-865162,-1572258,-44741,-44741,-287888,-537888,-2154887,-2154887,-2154887,-846109,10186666,0.31812,-0.06999,-0.08825,-0.06683,-0.03384,1.62414,0.97496,0.2348,-0.92645,-0.92645,10.49804,6.51636,-0.03984,-10.26961,-7.46337
"32","2019_Q1",11.7985245901639,"Down",16901539,-11881784,5019755,-5477926,-5331555,-458171,-149962,-129903,-129903,-20059,-608133,-608133,-537819,-537819,-537819,-727715,1696116,1696116,7810846,7810846,10987855,926974,778654,52819,21421791,5850899,14781244,7131758,532872,20632143,42053934,6172668,3412960,2759708,6676767,1735810,1735810,14585245,3275888,2816019,2816019,6091907,20677152,20225107,-10490141,21376782,21376782,42053934,-537819,301270,-8906.00000000006,902673,657218,-111871,-111870.999999999,-346686,-346686,198661,198661,198661,-156901,9952655,0.297,-0.02711,-0.04306,-0.03404,-0.0173,1.46873,0.96727,0.23666,-0.45009,-0.45009,10.45364,6.0211,-0.02131,-52.6226,-18.02065
"33","2019_Q2",8.58603174603175,"Down",17065836,-11518611,5547225,-5496623,-5496623,50602,264999,-120842,-120842,385841,315601,315601,315601,315601,315601,128964,436697,436697,8529395,8529395,10524115,1023769,866027,60457,20513976,5917095,14600627,6950872,533141,20517722,41031698,6684861,4043843,2641018,5422100,2235810,2235810,14342771,3175851,1777035,1777035,4952886,19295657,20455402,-10361177,21736041,21736041,41031698,315601,311244,-331677,-173818,121350,-26065,-26065,-1354704,-1354704,-1259419,-1259419,-1259419,361846,8597951,0.32505,0.00297,0.00756,0.00592999999999999,0.00314,1.43027,0.88773,0.20954,0.07902,0.07676,10.45646,6.18486,0.00402,22.5545,161.28323
"34","2019_Q3",7.135625,"Down",15439965,-10760093,4679872,-4772677,-4772677,-92805,-144076,-141788,-141788,-2288,-236881,-236881,-440830,-440830,-440830,-644098,523524,523524,6930882,6930882,10435504,629694,531024,2401,18519604,5722366,14410461,6769566,524281,20132827,38652431,5411455,3090874,2320581,5543598,1322965,1322965,12278018,3074044,1949076,1745127,5023120,17301138,20714752,-11005275,21351293,21351293,38652431,-440830,332003,310116,805090,1006379,-26398,-26398,19690.9999999998,-893154,86827,86827,86827,239198,8617642,0.3031,-0.00601,-0.04172,-0.03017,-0.01666,1.50835,0.81031,0.22295,-0.39306,-0.40494,9.42229,5.92524,-0.02018,33.83857,-87.2164
"35","2019_Q4",4.12734375,"Down",14551519,-10146362,4405157,-4818093,-4818093,-412936,-117571,-124477,-124477,6906,-530507,-530507,-563387,-563387,-563387,-759627,414255,414255,6853624,6853624,11218935,772226,706584,5659,19259040,5814836,14221425,6588466,516345,20036261,39295301,6864857,4248740,2616117,5247635,1322965,1322965,13435457,3161337,1825035,1588206,4986372,18421829,20996558,-11764902,20873472,20873472,39295301,-563387,297140,185182,505300,424235,-72341,-72341,-461163,-461163,-109269,-109269,-109269,-115796,8408972,0.30273,-0.02838,-0.0522,-0.03639,-0.01933,1.43345,0.88255,0.21399,-0.46229,-0.46229,8.85569,5.61815,-0.02442,-69.04139,-19.36067
