"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio"
"11","2012_Q4",16.8838709677419,"Up",215316000,-160629000,54687000,-30314000,-15057000,-15257000,24373000,-7251000,-7904000,653000,17122000,4016000,-2143000,1873000,1873000,1873000,1873000,133674000,133674000,73430000,71238000,58183000,278342000,838344000,9920000,443320000,39119000,389652000,1291584000,1569926000,134391000,103108000,31283000,12590000,29392000,176373000,421725000,425223000,149410000,184162000,91651000,846948000,1023321000,434048000,100198000,-3141000,546605000,546605000,1569926000,4801000,15057000,17671000,17552000,103865000,-28507000,-31188000,-11053000,-49058000,-72677000,0,0,0,39430000,434315000,30618000,0.25398,0.1132,0.0087,0.00343000000000001,0.00119,16.34704,1.57814,1.87214,0.27665,0.05188,0.0516,5.9639,14.71075,0.84807,0.30615,0.00919,0.02177,5.90123
"12","2013_Q1",19.8431666666667,"Up",63558000,-10446000,53112000,-16685000,-13117000,7152000,36427000,-5297000,-6933000,1636000,31130000,31130000,-3590000,27540000,2967000,2967000,3151000,118637433.768437,118637433.768437,72622051.2041224,66467025.9529462,47354448.0926179,276590808.91346,851705429.463155,10046681.7847595,425842834.754971,38867780.4978364,372762336.957209,1287594946.00289,1564185754.91634,115311000,88406000,26905000,176000,57641000,173128000,421680000,470055000,175424000,203086000,91545000,891735000,1064863000,434138000,92221000,-4385000,537474000,537474000,1602337000,24157000,13117000,4052000,13042000,84165000,-20081000,-7230000,-10943000,-13530000,-25342000,51593000,52575000,52575000,49544000,0,46095000,0.83565,0.57313,0.04958,0.0309355294576891,0.0104179971050171,14.62869,1.78949595377196,1.91384312411425,0.272835942368496,0.08738,0.08689,1.76246,14.6692639452581,1.27821,0.30345,0.0196685113355738,0.0164480940167535,3.47287
"13","2013_Q2",21.0328125,"Up",217954000,-159101000,58853000,-31614000,-14920000,-13778000,27239000,-6119000,-6980000,861000,21120000,21120000,-5886000,15234000,15363000,15363000,14850000,102259000,102259000,73398000,87744000,63853000,300933000,870247000,9417000,401147000,38971000,348116000,1280811000,1581744000,106027000,87240000,18787000,1514000,51418000,158959000,437399000,457741000,166948000,197277000,93516000,895140000,1054099000,435652000,96310000,-4317000,527645000,527645000,1581744000,15444000,14920000,-4430000,-15721000,7813000,-22598000,-13264000,-11307000,1550000,-8601000,-14052000,-14830000,-14830000,42159000,438913000,9726000,0.27002,0.12498,0.06813,0.02814,0.00939,0.65495,1.89315,1.99774,0.27749,0.41164,0.40955,6.04167,14.62628,0.2696,0.31343,0.01836,0.00682999999999999,0.76141
"14","2013_Q3",20.7528125,"Down",212389000,-166590000,45799000,-30020000,-14835000,-12176000,15779000,-6181000,-6877000,696000,9598000,9598000,-2094000,7504000,7701000,7701000,7701000,99370000,99370000,73411000,78372000,57878000,293428000,882220000,9342000,406479000,38971000,353692000,1298041000,1591469000,120007000,97837000,22170000,1299000,43474000,164780000,437353000,464110000,168424000,200578000,95108000,901463000,1066243000,436287000,93221000,-4282000,525226000,525226000,1591469000,7504000,14835000,4233000,12038000,39039000,-26952000,-23276000,-10790000,15193000,-11014000,4749000.00000001,4743000,4743000,30614000,438652000,17794000,0.21564,0.07429,0.03626,0.01466,0.00484,2.31061,1.78073,2.03007,0.27563,0.21291,0.21161,5.87191,14.5209,0.49195,0.29831,0.01295,0.01246,1.40112
"15","2013_Q4",21.21109375,"Up",229768000,-173577000,56191000,-31059000,-15039000,-12857000,25132000,-5173000,-6574000,1401000,19959000,19959000,-5133000,14826000,15138000,15138000,15138000,98164000,98164000,72658000,80426000,60298000,310365000,927447000,9325000,411137000,38971000,358594000,1347909000,1658274000,135460000,109604000,25856000,40520000,43598000,219578000,437306000,471490000,168616000,206039000,96835000,908796000,1128374000,436514000,97569000,-4183000,529900000,529900000,1658274000,14826000,15039000,4247000,12914000,46498000,-57525000,-57868000,-10930000,39100000,28204000,16834000,16842000,16842000,40171000,477826000,693000,0.24456,0.10938,0.06588,0.02857,0.00913,0.04578,1.41346,2.12941,0.28815,0.41841,0.41609,6.35078,14.64641,0.01915,0.3021,0.01762,0.00047,0.72202
"16","2014_Q1",21.7047540983607,"Up",83303000,-40648000,42655000,-16568000,-13082000,-1263000,26087000,-5401000,-6543000,1142000,20686000,10434000,597000,11031000,10393000,10393000,10906000,99548146.5145103,99548146.5145103,76534018.3704677,92411679.7888675,62966290.9736055,307056931.019599,965934446.164722,8998212.0893519,386853070.124811,39023129.0389432,334478333.675297,1361785728.37889,1668842659.39848,121598000,96109000,25489000,51383000,63292000,236273000,389589000,435327000,114964000,220510000,99853000,824916000,1061189000,437117000,99441000,-1728000,534830000,534830000,1596019000,10821000,13082000,10102000,12554000,54431000,-50562000,-54789000,-10791000,-37254000,-57609000,-57967000,-59497000,-59497000,39169000,0,564000,0.51205,0.31316,0.13092,0.0467318349762063,0.0152607632613138,0.0517099999999993,1.48593833310475,2.08853832384611,0.300802127474456,0.30143,0.29972,2.30243,14.9473246334205,0.0155900000000001,0.29825,0.0243626375503969,-0.0121373856420643,0.98946
"17","2014_Q2",21.6457142857143,"Down",214966000,-152376000,62590000,-27189000,-14267000,-9951000,35401000,-5060000,-6595000,1535000,30341000,30341000,-8562000,21779000,22128000,22128000,22128000,99892000,99892000,81875000,103069000,63679000,291449000,994667000,8753000,361334000,38808000,309442000,1364754000,1656203000,126314000,104486000,21828000,12090000,35828000,174232000,498640000,433657000,95676000,240516000,97465000,932297000,1106529000,441516000,109878000,-1720000,549674000,549674000,1656203000,21779000,14267000,-7181000,-41024000,-19057000,-36463000,-37167000,-10993000,69256000,61687000,5463000,5337000,5337000,49668000,510730000,-19257000,0.29116,0.16468,0.10294,0.04026,0.01336,-0.87025,1.67276,2.01306,0.30837,0.61059,0.60738,5.93168,15.16746,-0.53137,0.30334,0.02217,-0.01289,0.49679
"18","2014_Q3",21.25921875,"Down",194364000,-149031000,45333000,-30581000,-14472000,-12722000,14752000,-6782000,-7626000,844000,7970000,7970000,-84000.0000000019,7886000,3672000,3672000,3672000,101088000,101088000,82698000,108561000,65209000,292347000,1022749000,8875000,358503000,38808000,306856000,1390127000,1682474000,134720000,108589000,26131000,28337000,23235000,186292000,498591000,444258000,96199000,246362000,101697000,942849000,1129141000,446165000,108834000,-1666000,553333000,553333000,1682474000,7886000,14472000,-153999.999999998,10485000,23228000,-41725000,-42030000,-11036000,15874000,12181000,-6621000,-7344000,-7344000,29224000,526928000,-1932000,0.23324,0.0759,0.01889,0.00664,0.00218,-0.52614,1.56929,2.04062,0.31319,0.10085,0.10004,5.33824,15.19738,-0.0530600000000001,0.30311,0.00965,-0.00127,3.00545
"19","2014_Q4",22.42625,"Up",196525000,-144561000,51964000,-27442000,-14557000,-9707000,24522000,-7194000,-7688000,494000,17328000,17328000,-4156000,13172000,7866000,7866000,7866000,105119000,105119000,78939000,113726000,66488000,297784000,1050897000,8706000,356898000,38808000,305495000,1416501000,1714285000,137272000,107307000,29965000,39198000,23326000,199796000,498540000,452707000,96882000,256075000,99750000,951247000,1151043000,451333000,113569000,-1660000,563242000,563242000,1714285000,13172000,14557000,7047000,12995000,42857000,-44124000,-44463000,-11090000,10708000,1617000,11000,0,0,39079000,537738000,12106000,0.26441,0.12478,0.04003,0.01397,0.00459,1.53903,1.49044,2.0436,0.31368,0.21494,0.21353,5.37006,15.39064,0.3308,0.30304,0.0122,0.00779,1.40987
"20","2015_Q1",24.4309836065574,"Up",193407000,-137101000,56306000,-31450000,-14778000,-13601000,24856000,-7055000,-7739000,684000,17801000,12196000,2690000,14886000,24057000,24057000,24057000,60172000,60172000,85203000,111194000,63635000,256569000,1093371000,8582000,382177000,31488000,339438000,1484130000,1740699000,135062000,107013000,28049000,11055000,54484000,200601000,498489000,468843000,156349000,207712000,104782000,967332000,1167933000,464526000,112903000,-4663000,572766000,572766000,1740699000,14046000,14778000,7429000,21215000,65446000,-38803000,-40836000,-11142000,-27560000,-24621000,-11000,0,0,39634000,509544000,19356000,0.29113,0.12852,0.12439,0.042,0.01382,0.80459,1.279,2.03911,0.29272,0.65353,0.64957,5.25404,15.55961,0.52582,0.30268,0.02269,0.01248,0.46315
"21","2015_Q2",22.2434920634921,"Down",202841000,-147316000,55525000,-30500000,-14535000,-12463000,25025000,-7171000,-7743000,572000,17854000,17854000,-4073000,13781000,9627000,9627000,9627000,74071000,74071000,84515000,142128000,56892000,300871000,1120616000,10405000,383288000,31488000,340687000,1514309000,1815180000,117592000,95876000,21716000,48856000,47641000,214089000,498437000,516380000,147184000,265913000,103283000,1014817000,1228906000,471456000,119340000,-4522000,586274000,586274000,1815180000,13781000,14535000,-2859000,-27544000,-8350000,-34446000,-18354000,-11498000,37745000,27291000,587000,157000,157000,39560000,547293000,-18357000,0.27374,0.12337,0.04746,0.01642,0.0053,-1.90682,1.40535,2.09613,0.30151,0.25849,0.25673,5.4464,15.74181,-0.4929,0.30873,0.0128,-0.01113,1.19435
"22","2015_Q3",20.70578125,"Down",188153000,-136607000,51546000,-26746000,-14661000,-8823000,24800000,-7135000,-7702000,567000,17665000,17665000,-4008000,13657000,13657000,13657000,13657000,67315000,67315000,81803000,113555000,58924000,262673000,1153116000,10679000,384911000,31488000,342560000,1548706000,1811379000,127196000,101020000,26176000,43247000,27645000,198088000,498384000,525196000,147902000,274026000,103268000,1023580000,1221668000,474894000,119239000,-4422000,589711000,589711000,1811379000,-8717000,14661000,-1620000,21113000,20734000,-46344000,-31441000,-11537000,-6608999.99999999,-13441000,-24148000,-23765000,-23765000,39461000,541631000,18238000,0.27396,0.13181,0.07258,0.02316,0.00754,1.33543,1.32604,2.07164,0.29902,0.36484,0.36304,5.02635,15.75364,0.48721,0.3082,0.01521,0.01101,0.84477
"23","2015_Q4",21.27578125,"Up",200023000,-140925000,59098000,-29472000,-15141000,-10771000,29626000,-7396000,-7730000,334000,22230000,22230000,-6521000,15709000,15709000,15709000,15709000,76502000,76502000,83167000,113773000,60148000,273990000,1166360000,7875000,408277000,38419000,353811000,1582512000,1856502000,119739000,96434000,23305000,87173000,30239000,237151000,498330000,523106000,148429000,271667000,103010000,1021436000,1258587000,479151000,123059000,-4295000,597915000,597915000,1856502000,45015000,15141000,-1160000,-538000,57843000,-31575000,-69677000,-11572000,43570000,35953000,24119000,24156000,24156000,44767000,585503000,19175000,0.29546,0.14811,0.07854,0.02627,0.00846,1.22064,1.15534,2.10496,0.31538,0.41807,0.41566,5.32324,15.9124,0.51031,0.30797,0.01599,0.01124,0.73665
"24","2016_Q1",22.0208196721311,"Up",188787000,-131846000,56941000,-27178000,-16026000,-7964000,29763000,-7281000,-7985000,704000,22482000,21482000,-12444000,9038000,20352000,20352000,20352000,62974000,62974000,85416000,58299000,54299000,206689000,1186471000,8284000,417239000,39732000,361834000,1611994000,1818683000,121097000,89499000,31598000,133094000,16925000,271116000,443846000,498698000,153642000,232175000,112881000,942544000,1213660000,482896000,126025000,-3898000,605023000,605023000,1818683000,15670000,16026000,12961000,5075000,47313000,-44129000,-36498000,-11616000,-5412000,-11373000,-557999.999999993,-548000.000000007,-548000.000000007,45789000,576940000,19179000,0.30162,0.15765,0.1078,0.03364,0.01119,0.94236,0.76236,2.00597,0.31723,0.53944,0.53894,5.00388,16.0364,0.50835,0.30789,0.01902,0.01141,0.57075
"25","2016_Q2",24.36203125,"Up",206242000,-145243000,60999000,-33423000,-18289000,-11455000,27576000,-7594000,-7994000,4e+05,19982000,19982000,-5492000,14490000,14520000,14520000,14520000,73521000,73521000,85410000,50962000,50962000,209893000,1194351000,8411000,420702000,39732000,365704000,1623464000,1833357000,119419000,89826000,29593000,95393000,18083000,232895000,493801000,492941000,144045000,237141000,111755000,986742000,1219637000,488822000,128656000,-3758000,613720000,613720000,1833357000,-30000,18289000,-4675000,-5497000,8117000,-24173000,-24173000,-11889000,11435000,2961000,-13095000,-13095000,-13095000,45865000,589194000,21687000,0.29576,0.13371,0.0704,0.02366,0.00792,1.4936,0.90123,1.98729,0.32137,0.38274,0.38165,5.43644,16.17737,0.57166,0.31339,0.01557,0.01279,0.8188
"26","2016_Q3",28.31015625,"Up",203482000,-145047000,58435000,-31352000,-18525000,-12827000,27083000,-6444000,-7976000,1532000,20639000,20639000,-5083000,15556000,15675000,15675000,15675000,78677000,78677000,81396000,54323000,54323000,214396000,1210565000,8413000,428529000,37572000,375318000,1647507000,1861903000,118935000,86210000,32725000,101771000,12430000,233136000,493804000,498855000,145179000,241201000,112475000,992659000,1225795000,507355000,132401000,-3648000,636108000,636108000,1861903000,-118999.999999998,18525000,3803000,3660000,25850000,-53905000,-52405000,-11930000,4874000,11174000,-15381000,-15381000,-15381000,45608000,595575000,446000,0.28718,0.1331,0.07703,0.02464,0.00842,0.0284499999999999,0.91962,1.92702,0.31987,0.41056,0.40904,5.32963,16.66104,0.01168,0.31247,0.01595,0.00026,0.76108
"27","2016_Q4",30.7252380952381,"Up",197175000,-137874000,59301000,-32017000,-18314000,-10197000,27284000,-7527000,-8026000,499000,19757000,19757000,-5163000,14594000,14616000,14616000,14616000,69556000,69556000,80848000,53310000,53061000,203714000,1237361000,8065000,419767000,37572000,366904000,1665193000,1868907000,109327000,77704000,31623000,122663000,14266000,246256000,460757000,505175000,145371000,245508000,114296000,965932000,1212188000,525411000,134884000,-3576000,656719000,656719000,1868907000,44789000,18314000,5027000,12990000,80776000,-43668000,-46829000,-12133000,-11071000,-5471000,28476000,28476000,28476000,45598000,583420000,20083000,0.30075,0.13837,0.07413,0.02226,0.00782,1.37404,0.82724,1.84582,0.31217,0.37638,0.37471,5.07756,16.91151,0.51717,0.31244,0.01533,0.01151,0.83012
"28","2017_Q1",31.5575806451613,"Up",196640000,-132350000,64290000,-29602000,-18317000,-4204000,34688000,-7416000,-7890000,474000,27272000,22162000,-4481000,17681000,17510000,17510000,17510000,68242000,68242000,83740000,56033000,55371000,208015000,1265399000,8417000,430554000,37572000,378024000,1704370000,1912385000,118930000,89350000,29580000,76084000,20657000,215671000,505341000,521269000,160198000,249440000,111631000,1026610000,1242281000,534425000,139479000,-3800000,670104000,670104000,1912385000,17681000,18317000,5640000,6672000,48643000,-34676000,-35917000,-12292000,-2128000,-12726000,0,0,7.45058059692383e-09,53005000,581425000,29482000,0.32694,0.1764,0.08905,0.02613,0.00916,1.68372,0.9645,1.85386,0.30403,0.44626,0.44271,5.01161,17.07843,0.75139,0.31328,0.01681,0.01663,0.702
"29","2017_Q2",33.0377777777778,"Up",214117000,-148124000,65993000,-31787000,-17854000,-10135000,34206000,-6909000,-7462000,553000,27297000,25892000,-6363000,19529000,19585000,19585000,19585000,82369000,82369000,81473000,55070000,55070000,218912000,1274111000,8125000,429558000,37572000,377360000,1711794000,1930706000,130338000,83622000,46716000,104368000,1268000,235974000,490372000,525237000,160758000,253693000,110786000,1015609000,1251583000,536380000,146438000,-3695000,679123000,679123000,1930706000,19529000,17854000,5121000,-21264000,21201000,-29501000,-30009000,-12626000,19476000,8808000,0,0,0,52060000,594740000,7658000,0.30821,0.15975,0.09147,0.02884,0.01014,0.39101,0.9277,1.84294,0.30804,0.4977,0.49406,5.44124,17.25817,0.19461,0.32086,0.0179,0.00426,0.64468
"30","2017_Q3",35.0493650793651,"Up",212086000,-149614000,62472000,-31476000,-17908000,-9859000,30996000,-6975000,-7527000,552000,24021000,22614000,-5897000,16717000,16778000,16778000,16778000,79029000,79029000,87267000,54347000,54347000,220643000,1285637000,8156000,429620000,37572000,377657000,1723413000,1944056000,124610000,94353000,30257000,100317000,12067000,236994000,490386000,530272000,161277000,257669000,111326000,1020658000,1257652000,539432000,150558000,-3586000,686404000,686404000,1944056000,16717000,17908000,4369000,9092000,48071000,-24686000,-26609000,-12658000,-9313000,-21462000,-9.31322574615479e-10,0,0,48904000,590703000,39207000,0.29456,0.14615,0.07911,0.02444,0.00863,2.33681,0.93101,1.83223,0.30385,0.42516,0.42259,5.37432,17.39367,0.99352,0.32076,0.01629,0.02169,0.75444
