"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2019_Q3",13.343125,"Down",122843000,114083000,3830000,4930000,1303000,3627000,-74299000,-45471000,3073000,1089000,1089000,-368000,721000,721000,721000,721000,577998000,262489000,57045000,21110000,74064000,941279000,1933985000,909574000,371590000,81522000,1495135000,330284000,199836000,5259000,438850000,438850000,1933985000,721000,2796000,-132144000,119721000,-8906000,-493000,-92676000,-2601000,-2333000,-4196000,-15703000,-15703000,-15703000,5869000,132449000,125465000,0.02502,0.00587,0.00164,0.00037,174.01526,3.40694,0.06849,0.02457,0.02456,4.18628,14.95525,4.27563,0.00161,0.0803,-22.1571,-42.31695
"22","2019_Q4",12.64609375,"Down",131699000,123862000,3655000,4182000,805000,3377000,-70052000,-48163000,13484000,11083000,11083000,-2950000,8133000,8133000,8133000,8133000,645074000,229996000,58115000,20873000,75613000,813208000,1842879000,902435000,297937000,66428000,1397649000,331561000,206197000,8550000,445230000,445230000,1842879000,8133000,2782000,54543000,-25721000,39737000,-446000,68807000,-63874000,-4549000,-8352000,-32489000,-32489000,-32489000,16266000,130849000,-6951000,0.10238,0.06175,0.01827,0.00441,-0.854669999999999,3.13916,0.071,0.27944,0.27888,4.52504,15.29763,-0.23883,0.00642,-0.0045,-6.09535,-7.35294
"23","2020_Q1",10.9356451612903,"Down",138502000,131077000,3275000,4150000,1031000,3119000,-66798000,-50192000,21512000,19491000,19491000,-6673000,12818000,12818000,12818000,12818000,595249000,268351000,63685000,20753000,77211000,914421000,1939670000,1099753000,190825000,71045000,1490871000,329571000,217266000,7330000,448799000,448799000,1939670000,12818000,2162000,197095000,-208571000,3504000,-51000,51194288.2371855,47061000,-4290000,-11342000,39223000,39223000,39223000,23674000,129248000,-178275000,0.15532,0.09255,0.02856,0.00661,-13.90818,3.32191,0.06663,0.44405,0.44393,4.79803,15.54745,-6.17586,0.00834,-0.10194,-5.87577,-6.4663
"24","2020_Q2",10.8892063492063,"Down",132706000,126006000,3670000,3030000,59000.0000000002,2971000,-68181000,-51765000,12760000,10794000,10794000,-3174000,7620000,7620000,7620000,7620000,621329000,313360000,62914000,20395000,74895000,787602000,1880495000,1087804000,152657000,64962000,1431198000,330683000,223126000,8842000,449297000,449297000,1880495000,7620000,2024000,-9349999.99999997,85403000,85697000,-76000,19999.9999999404,-25485000,-7986000,-13791000,46421000,46421000,46421000,14784000,125775000,103285000,0.09615,0.05742,0.01696,0.00405,13.55446,3.18542,0.06688,0.26691,0.26691,4.64839,15.73784,3.61784,0.00542,0.05978,-12.68838,-14.70102
"25","2020_Q3",11.55484375,"Up",136013000,129057000,3296000,3660000,-37000,3697000,-78869000,-50180000,6964000,5242000,5242000,-1110000,4132000,4132000,4132000,4132000,706250000,288342000,66188000,19998000,81590000,1004022000,2166390000,1150039000,359683000,68113000,1703891000,332040000,225561000,20263000,462499000,462499000,2166390000,4132000,2015000,25226000,14727000,46100000,-40000,88130000,-71530000,-2011000,-3808000,-29238000,-29238000,-29238000,8979000,126056000,24776000,0.0512,0.03038,0.00893,0.00191,5.99613,3.6841,0.05819,0.14822,0.14803,4.8791,16.59092,0.88877,0.00324,0.01371,-18.07395,-23.30356
"26","2020_Q4",9.65125,"Down",165118000,138229000,2817000,24072000,20355000,3717000,-119719000,-49881000,-4482000,-6733000,-6733000,1500000,-5233000,-5233000,-5233000,-5233000,473854000,509596000,70038000,19134000,86140000,989628000,2148390000,1215624000,296540000,70497000,1705250000,333335000,218645000,6525000,443140000,443140000,2148390000,-5233000,2039000,24608000,-34650000,-13236000,-512000,-88150000,233657000,0,-5579000,214842000,214842000,214842000,-2443000,122589000,-39105000,-0.02714,-0.03169,-0.01181,-0.00244,7.47277,3.84811,0.05706,-0.18867,-0.18852,5.95311,15.97684,-1.40988,-0.00191,-0.02112,158.41465,86.34694
"27","2021_Q1",9.87016393442623,"Up",159548000,151430000,2519000,5599000,2018000,3581000,-106618000,-57987000,-5057000,-7090000,-7090000,9897000,2807000,2807000,2807000,2807000,589019000,440956000,77471000,18685000,89265000,873983000,2089379000,1247227000,189720000,89090000,1647035000,331870000,219782000,6057000,442344000,442344000,2089379000,2807000,2023000,2304000,44516000,51650000,-127000,-171996320.135123,-114580000,0,-5720000,-68650000,-68650000,-68650000,-3034000,120998000,31458000,-0.0317,0.01759,0.00635,0.00134,11.20698,3.72343,0.05791,0.10115,0.10121,5.74902,15.93906,1.13353,0.00236,0.01656,105.45748,63.27032
"28","2021_Q2",8.76063492063492,"Down",147243000,142199000,1293000,3751000,80000,3671000,-97909000,-55166000,-5832000,-7710000,-7710000,2562000,-5148000,-5148000,-5148000,-5148000,650747000,402770000,84336000,18674000,88876000,769391000,2014794000,1232790000,163427000,71628000,1587346000,332003000,212955000,-2145000,427448000,427448000,2014794000,-5148000,2020000,-3400000,45755000,39227000,-421000,-113890000,-73664000.0000001,1408415.97168689,-3749000,-38186000,-38186000,-38186000,-3812000,119501000,38960000,-0.03961,-0.03496,-0.01204,-0.00256,-7.56799,3.71354,0.05931,-0.18499,-0.18499,5.29122,15.36046,1.40004,-0.00188,0.02104,74.30981,48.5715
"29","2021_Q3",6.890625,"Down",150197000,146499000,956000,2742000,-1e+06,3742000,-100834000,-53353000,-3990000,-5915000,-5915000,1965000,-3950000,-3950000,-3950000,-3950000,669760000,446956000,83648000,18565000,95967000,1036730000,2351626000,1288116000,452980000,65856000,1926753000,332290000,207325000,623000,424873000,424873000,2351626000,-3949000,2022000,10283000,56819000,65175000,-1796000,-62491000,-19248000,2137591.79373004,-1754000,44173000,44173000,44173000,-1968000,119801000,51090000,-0.02657,-0.0263,-0.0093,-0.00168,-12.93418,4.53489,0.05094,-0.14155,-0.14155,5.38246,15.22574,1.83086,-0.0012,0.02691,166.2373,81.99373
"30","2021_Q4",6.371875,"Down",167408000,162445000,1548000,3415000,-6000,3421000,-129632000,-53153000,-15377000,-17527000,-17527000,1117000,-16410000,-16410000,-16410000,-16410000,686121000,393411000,74877000,17950000,95425000,980338000,2248122000,1274791000,347825000,9.9e+07,1843097000,332565000,189235000,-405000,405025000,405025000,2248122000,-16412000,2303000,-3680000,-13841000,-31630000,-1297000,-82167000,-20015000,-1005000,-1899000,-53544000,-53544000,-53544000,-13074000,121481000,-29329000,-0.09185,-0.09802,-0.04052,-0.0073,1.78726,4.55058,0.05404,-0.58888,-0.58888,6.00753,14.53455,-1.05249,-0.00775,-0.01543,20.7993,17.6842
"31","2022_Q1",6.04467741935484,"Down",166713000,159928000,1855000,4930000,910000,4020000,-98995000,-50083000,17635000,15618000,-44882000,-4337000,-49219000,-49219000,-49219000,-49219000,694698000,359337000,71925000,17426000,93881000,743495000,1980762000,1205089000,280693000,31172000,1637711000,332800000,138381000,-4573000,343051000,343051000,1980762000,-49218000,2104000,-11081000,45554000,-12641000,2507000,258548000,-11553000,-7187000,-9879000,-34073000,-34073000,-34073000,19739000,120757000,72137000,0.10578,-0.29523,-0.14347,-0.02485,-1.46563,4.77396,0.06096,-1.76172,-1.76172,5.96724,12.279,2.58204,-0.02796,0.04243,-12.08673,-13.52878
"32","2022_Q2",4.20177419354839,"Down",158608000,152929000,2e+06,3679000,-15999.9999999999,3695000,-140038000,-57981000,-39411000,-41383000,-41383000,10624000,-30759000,-30759000,-30759000,-30759000,689489000,286170000,74512000,17144000,90641000,678440000,1836396000,1213823000,121988000,95130000,1554630000,333216000,106001000,-28894000,281766000,281766000,1836396000,-30759000,2047000,-12629000,2134999.99999999,-39206000,-177000,-58969000,-27648000,-5e+06,-4312000,-71166000,-71166000,-71166000,-37364000,123689000,-46030000,-0.24848,-0.19393,-0.10917,-0.01675,1.49647,5.51745,0.06735,-1.11661,-1.11661,5.75779,10.22868,-1.67098,-0.01699,-0.02685,4.3486,4.12273
"33","2022_Q3",2.67875,"Down",163770000,158271000,2163000,3336000,-102000,3438000,-101522000,-55841000,6407000,4656000,-87303000,-563000,-87866000,-87866000,-87866000,-87866000,654324000,290932000,81277000,19622000,99468000,884282000,2029905000,1247087000,449635000,29647000,1849359000,333747000,16547000,-41194000,180543000,180543000,2029902000,-87866000,2053000,100196000,-22712000,-8329000,-4566000,0,13602000,0,-2511000,2762000,2762000,2762000,8460000,122990000,-18255000,0.03912,-0.53652,-0.48668,-0.04329,0.20776,10.24332,0.06059,-3.32153,-3.32153,6.19087,6.82493,-0.69008,-0.0546,-0.01155,-19.8513,-26.21227
