"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2019_Q3",118.09984375,"Down",-180876000,-67393000,-113266000,-102127000,-862000,-862000,-102989000,-276229000,-276403000,-276403000,-276403000,-276403000,1103069000,808591000,56981000,56981000,110799000,110799000,1427418000,117201000,51274000,11825000,320335000,1747753000,151373000,44045000,107328000,10716000,3303000,7413000,162089000,431040000,55457000,55457000,486497000,648586000,3031057000,1099167000,1099167000,1747753000,-276403000,7694000,196787000,-7082000,-79004000,-17281000,152373000,7181000,7181000,6292000,79661000,79661000,79661000,-94433000,431040000,-0.25147,-0.15815,8.80638,0.59007,0.24663,-3.73674,-3.73674,14.85983,-0.17431,7.11646,6.58033
"37","2019_Q4",100.93171875,"Down",-209594000,-75429000,-133949000,-123590000,-2510000,-2510000,-126100000,-126100000,-126326000,-126326000,-126326000,-126326000,1048892000,724829000,68032000,68032000,79015000,79015000,1362299000,119532000,51468000,11975000,340171000,1702470000,203609000,81946000,121663000,12247000,3303000,8944000,215856000,436421000,54989000,54989000,491410000,707266000,3053427000,995204000,995204000,1702470000,-126326000,3789000,28850000,26256000,-67431000,-7975000,-17959000,5181000,5181000,1733000,-83657000,-83657000,-83657000,-119801000,436421000,-0.12693,-0.0742,6.31115,0.71067,0.25635,-1.70264,-1.70264,13.41354,-0.08498,5.1124,4.95567
"38","2020_Q1",114.30564516129,"Up",-304765000,-81424000,-223141000,-220219000,-4773000,-4773000,-224992000,-234992000,-235703000,-235703000,-235703000,-235703000,1124748000,835080000,90879000,90879000,81907000,81907000,1468913000,129620000,224289000,12497000,353909000,1822822000,253621000,68094000,185527000,11146000,3303000,7843000,264767000,681900000,57968000,57968000,739868000,1004635000,3112138000,818187000,818187000,1822822000,-235703000,6647000,57397000,7864000.00000003,-163795000,-17257000,17080000,12030000,12030000,256966000,110251000,110251000,110251000,-213572000,681900000,-0.28808,-0.12931,5.54795,1.22788,0.37409,-3.161,-3.161,10.97266,-0.15128,2.07353,2.01094
"39","2020_Q2",136.081111111111,"Up",-219078000,-82768000,-136144000,-118026000,-7420000,-7420000,-125446000,-17377000,-17492000,-17492000,-17492000,-17492000,2171152000,1764212000,106875000,106875000,96153000,96153000,2547348000,137325000,75910000,12813000,400040000,2947388000,202893000,26595000,176298000,103536000,91073000,12463000,306429000,687953000,808178000,75511000,1496131000,1802560000,3455697000,1144828000,1144828000,2947388000,-17492000,6529000,-78215000,716968000,627790000,98949000,-17680000,323820000,323820000,319022000,929132000,929132000,929132000,-111497000,687953000,-0.01528,-0.00593,8.31301,1.57452,0.23341,-0.22886,-0.22886,14.97839,-0.00662,13.30259,12.56671
"40","2020_Q3",151.9728125,"Up",-262375000,-73688000,-188522000,-138353000,-12447000,-12447000,-150800000,-150800000,-150820000,-150820000,-150820000,-150820000,2061308000,1639959000,104028000,104028000,114435000,114435000,2459421000,153340000,87302000,13105000,423622000,2883043000,250748000,91660000,159088000,104148000,89311000,14837000,354896000,694156000,791125000,82649000,1485281000,1840177000,3505173000,1042866000,1042866000,2883043000,-150820000,6475000,36664000,78000.0000002384,-107603000,-19169000,-34225000,17575000,17575000,17575000,-124253000,-124253000,-124253000,-131878000,694156000,-0.14462,-0.05231,6.92998,1.76454,0.24077,-1.93438,-1.93438,13.37556,-0.05966,10.36679,9.88162
"41","2020_Q4",148.17,"Down",-265977000,-75373000,-190438000,-137068000,-14335000,-14335000,-151403000,-196403000,-196499000,-196499000,-196499000,-196499000,1816104000,1474637000,121827000,121827000,164624000,164624000,2322673000,171715000,84429000,13344000,457991000,2780664000,273591000,74528000,199063000,104797000,89244000,15553000,378388000,700470000,809759000,123777000,1510229000,1888617000,3550865000,892047000,892047000,2780664000,-196499000,6619000,82275000,-130581000,-238186000,-25303000,54075000,18789000,18789000,18789000,-165322000,-165322000,-165322000,-130449000,700470000,-0.22028,-0.07067,6.13834,2.11717,0.25191,-2.50282,-2.50282,11.36206,-0.0818,8.55226,8.13927
"42","2021_Q1",92.2768852459016,"Down",-293450000,-86046000,-207239000,-170716000,-17769000,-17769000,-188485000,-188485000,-189317000,-189317000,-189317000,-189317000,1938571000,1502648000,101340000,101340000,213324000,213324000,2485196000,190430000,309092000,13628000,499522000,2984718000,304643000,111090000,193553000,111383000,89244000,22139000,416026000,992493000,814440000,150952000,1806933000,2222959000,3609885000,761759000,761759000,2984718000,-189317000,7288000,39903000,-32409000,-174535000,-28610000,-123891000,35826000,35826000,326937000,28511000,28511000,28511000,-163428000,992493000,-0.24853,-0.06343,5.97366,2.91819,0.33252,-2.39906,-2.39906,9.65315,-0.0737,5.78896,5.54182
"43","2021_Q2",75.8128571428571,"Down",-266450000,-71131000,-195149000,-141865000,-15528000,-15528000,-157393000,-167393000,-167250000,-167250000,-167250000,-167250000,1737833000,1481836000,118203000,118203000,174981000,174981000,2271350000,203107000,290776000,14124000,493883000,2765233000,257287000,76651000,180636000,107449000,89244000,18205000,364736000,1091110000,773942000,132459000,1865052000,2229788000,3490666000,535445000,535445000,2765233000,-167250000,8930000,35236000,-57287000,-180371000,-21149000,156666000,9226000,9226000,2893000,-20812000,-20812000,-20812000,-132935000,1091110000,-0.31236,-0.06048,6.22738,4.16436,0.39458,-2.10499,-2.10499,6.73906,-0.06967,4.86496,4.55872
"44","2021_Q3",77.02609375,"Up",-312148000,-72347000,-239622000,-167574000,-16185000,-16185000,-183759000,-81759000,-81405000,-81405000,-81405000,-81405000,1727275000,1697275000,127520000,127520000,141666000,141666000,2265217000,203330000,290526000,14105000,493856000,2759073000,316822000,76681000,240141000,108200000,89244000,18956000,425022000,1092985000,755958000,136725000,1848943000,2273965000,3521729000,485108000,485108000,2759073000,-81405000,8447000,-66360000,30172000,-109146000,96106000,321059000,3525999.99999999,3525999.99999999,3526000.00000003,215439000,215439000,215439000,-159127000,1092985000,-0.16781,-0.0295,5.32965,4.68754,0.39614,-1.02456,-1.02456,6.10552,-0.03488,3.98606,3.78513
"45","2021_Q4",85.48796875,"Up",-200420000,-61127000,-139115000,-34458000,-20649000,-20649000,-55107000,-47907000,-48144000,-48144000,-48144000,-48144000,1599113000,1599113000,149787000,149787000,147941000,147941000,2185310000,199249000,277659000,14204000,476908000,2662218000,265172000,44163000,221009000,108271000,89244000,19027000,373443000,1094912000,724335000,127597000,1819247000,2192690000,3554315000,469528000,469528000,2662218000,-48144000,10495000,30266000,-116946000,-124329000,-9241000,20265000,5902000,5902000,5902000,-98162000,-98162000,-98162000,-23963000,1094912000,-0.10254,-0.01808,5.85179,4.66999,0.41128,-0.6041,-0.6041,5.89156,-0.02103,21.04081,14.63234
"46","2022_Q1",76.5790322580645,"Down",-275530000,-78055000,-197296000,-105813000,-16076000,-16076000,-121889000,-121889000,-121981000,-121981000,-121981000,-121981000,2115869000,2115869000,152990000,152990000,149028000,149028000,2604099000,191156000,352719000,14239000,543875000,3147974000,348438000,76741000,271697000,104295000,89244000,15051000,452733000,1096876000,670356000,96112000,1767232000,2219965000,4134777000,928009000,928009000,3147974000,-121981000,10145000,36615000,45895000,-29326000,-2206000.00000001,-2577000,550680000,550680000,549248000,517345000,517345000,517345000,-95668000,1096876000,-0.13144,-0.03875,5.75195,2.39218,0.34844,-1.5306,-1.5306,11.64451,-0.04526,10.65135,9.63013
"47","2022_Q2",73.5666129032258,"Down",-266268000,-71840000,-194250000,-86881000,-17265000,-17265000,-104146000,-104146000,-105025000,-105025000,-105025000,-105025000,2013425000,1233877000,178194000,178194000,140331000,140331000,2530947000,187248000,337959000,13328000,525207000,3056154000,347915000,54007000,293908000,107047000,89244000,17803000,454962000,1098847000,645459000,93220000,1744306000,2199268000,4168965000,856886000,856886000,3056154000,-105025000,10719000,36648000,-43517000,-101175000,-5551000,-785807000,4990000,4990000,4990000,-881992000,-881992000,-881992000,-76162000,1098847000,-0.12257,-0.03437,5.56299,2.56658,0.35955,-1.20013,-1.20013,9.79175,-0.04038,12.00832,10.52679
"48","2022_Q3",100.7934375,"Up",-406824000,-154316000,-252329000,-211132000,-16961000,-16961000,-228093000,-228093000,-231481000,-231481000,-231481000,-231481000,1928019000,868565000,203854000,203854000,129332000,129332000,2469300000,183292000,344261000,13062000,527553000,2996853000,439906000,56207000,383699000,105660000,89244000,16416000,545566000,1100873000,623957000,93968000,1724830000,2270396000,4272196000,726457000,726457000,2996853000,-231481000,9889000,109323000,45454000,-66815000,-9078000,-289991000,339000.000000119,339000.000000119,338999.999999881,-356467000,-356467000,-356467000,-201243000,1100873000,-0.31864,-0.07724,4.52613,3.1253,0.36734,-2.64516,-2.64516,8.30132,-0.09443,4.11019,3.91767
