"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2013_Q2",12.20234375,"Down",196052000,-149791000,46261000,-51337000,-50296000,-5076000,10913000,-1304000,12489000,-272000,5837000,5837000,-1415000,4422000,4422000,4422000,4422000,96870000,96870000,90240000,90240000,162234000,46914000,19272000,396258000,184062000,133408000,64697000,317470000,713728000,104166000,90576000,13590000,6965000,70120000,70120000,181251000,123839000,128145000,15142000,88371000,251984000,433235000,28373000,272547000,-20427000,280493000,280493000,713728000,-25026000,-7465000,837000,-6628000,-2102000,2661000,-11339000,-42993000,-42993000,-42985000,130804000,0.23596,-0.02589,0.02256,0.01577,0.0062,2.18624,1.54455,0.18327,0.52895,0.52649,23.4512,33.55179,0.25144,0.01209,0.47535,-6.68519
"12","2013_Q3",13.1678125,"Up",196017000,-148387000,47630000,-49108000,-48489000,-1478000,8721000,-1148000,10617000,-748000,7243000,7243000,-2096000,5147000,5147000,5147000,5147000,85058000,85058000,81271000,81271000,167470000,45140000,16111000,378939000,185626000,133552000,67886000,319178000,698117000,108712000,90334000,18378000,6969000,57774000,57774000,173455000,129687000,126949000,14573000,89415000,256636000,430091000,12222000,275662000,-19858000,268026000,268026000,698117000,22468000,-6351000,263999.999999998,-6087000,-2032000,-8157000,-28189000,-11808000,-11808000,-11812000,136656000,0.24299,-0.00754,0.02626,0.0192,0.00737,2.18465,1.60466,0.19575,0.63091,0.62891,24.02758,32.85438,0.249080000000001,0.0135,0.39479,-34.91069
"13","2013_Q4",13.42421875,"Up",228614000,-179395000,49219000,-44345000,-43269000,4874000,10610000,-1044000,12094000,-440000,15484000,15484000,-3159000,12325000,12325000,12325000,12325000,79353000,79353000,107630000,107630000,207349000,46195000,15644000,440527000,193864000,143698000,79108000,337562000,778089000,164388000,141919000,22469000,7850000,78230000,78230000,250468000,129123000,122777000,6873000,92830000,251900000,502368000,8305000,284523000,-17107000,275721000,275721000,778089000,9541000,-11089000,-5046000,-16135000,-1999000,-4755000,899000,-5695000,-5695000,-5705000,136973000,0.21529,0.02132,0.05391,0.0447,0.01584,1.75882,1.82202,0.17604,1.54294,1.5414,28.61968,34.5169,0.25025,0.02675,0.16219,11.82191
"14","2014_Q1",13.1167213114754,"Down",311983000,-233802000,78181000,-58209000,-57277000,19972000,10569000,-1279000,12661000,-813000,30541000,27156000,-4600000,22556000,22556000,22556000,22556000,95390000,95390000,120789000,120789000,184445000,46214000,13578000,446838000,219256000,143862000,83582000,363118000,809956000,170923000,133016000,29030000,7859000,59337000,59337000,238119000,152431000,121626000,7648000,89192000,274057000,512176000,7871000,302168000,-12259000,297780000,297780000,809956000,46082000,-30040000,-1844000,-31884000,-1971000,-5552000,1853000,16051000,16051000,16037000,160290000,0.25059,0.06402,0.0723,0.07575,0.02785,1.87653,1.71998,0.1979,2.85014,2.84906,39.42166,37.62699,0.24905,0.04231,0.08738,3.24955
"15","2014_Q2",12.1355555555556,"Down",177413000,-141242000,36171000,-49194000,-48429000,-13023000,10934000,-1454000,12826000,-438000,-2089000,-2089000,565000,-1524000,-1524000,-1524000,-1524000,70070000,70070000,74788000,74788000,193913000,53745000,21498000,392516000,245858000,141626000,81970000,387484000,7.8e+08,113993000,103642000,10351000,7868000,80200000,80200000,202061000,168069000,120327000,7409000,9e+07,288396000,490457000,7799000,294183000,-12439000,289543000,289543000,7.8e+08,-26016000,-31845000,-57000,-31902000,-1964000,1199000,32601000,-25317000,-25317000,-25320000,175937000,0.20388,-0.0734,-0.00859,-0.00526,-0.00195,1.94256,1.6939,0.22556,-0.19419,-0.19419,22.60614,36.89386,0.25025,0.00075,-1.28871,-8.12923
"16","2014_Q3",11.9653125,"Down",200370000,-163847000,36523000,-51981000,-50990000,-15458000,9162000,-1950000,11147000,-35000,-6296000,-6296000,2672000,-3624000,-3624000,-3624000,-3624000,60907000,60907000,85001000,85001000,188148000,59546000,23195000,393602000,254362000,140829000,81576000,395191000,788793000,114156000,99319000,14837000,7877000,112392000,112392000,234425000,147257000,132324000,7355000,101943000,279581000,514006000,7627000,279922000,-12762000,274787000,274787000,788793000,4604000,-9335000,437000,-8898000,-1993000,-1356000,-4897000,-9191000,-9191000,-9163000.00000001,155134000,0.18228,-0.07715,-0.01809,-0.01319,-0.00459,1.67901,1.87056,0.19667,-0.46992,-0.46992,25.98159,35.63109,0.25843,-0.0029,-0.54994,-6.09568
"17","2014_Q4",13.0396875,"Up",221714000,-175171000,46543000,-47284000,-46373000,-741000,9807000,-2046000,12255000,-402000,9066000,9066000,-1367000,7699000,7699000,7699000,7699000,50598000,50598000,97639000,97639000,220607000,70113000,25774000,438957000,252039000,138164000,79972000,390203000,829160000,168479000,149343000,19136000,7886000,111130000,111130000,287495000,138958000,133465000,7312000,102849000,272423000,559918000,7395000,274297000,-12450000,269242000,269242000,829160000,23630000,-6483000,-14000,-6497000,-1927000,-290000,-27392000,-10259000,-10259000,-10309000,146844000,0.20992,-0.00334,0.03472,0.0286,0.00929,1.52683,2.07961,0.1771,1.02448,1.02204,29.50286,35.82728,0.25642,0.01752,0.25029,-129.88664
"18","2015_Q1",13.0283606557377,"Down",297285000,-231450000,65835000,-53538000,-52905000,12297000,8229000,-2116000,12329000,-1984000,20526000,-77254000,36585000,-40669000,-40669000,-40669000,-40669000,61135000,61135000,123466000,123466000,190382000,72164000,13424000,447147000,159644000,163729000,62283000,323373000,770520000,161250000,133668000,23567000,1467000,91964000,91964000,254681000,191431000,112934000,10616000,102318000,304365000,559046000,7235000,224428000,-20189000,211474000,211474000,770520000,17581000,-1703000,-25934000,-27637000,-1871000,-8952000,20667000,10611000,10611000,10537000,192898000,0.22145,0.04136,-0.1368,-0.19231,-0.05278,1.75571,2.64357,0.25035,-5.58257,-5.59639,40.80782,29.02869,0.25683,-0.075,-0.04601,10.71505
"19","2015_Q2",13.0849206349206,"Up",193734000,-155545000,38189000,-47501000,-46416000,-9312000,10719000,-2125000,13725000,-881000,1407000,1407000,-380000,1027000,1027000,1027000,1027000,29312000,29312000,92007000,92007000,187096000,29037000,25599000,337452000,156551000,159634000,64422000,316185000,653637000,125146000,101011000,24135000,1476000,58595000,58595000,185217000,164935000,100535000,10498000,90037000,265470000,450687000,7148000,216927000,-21125000,202950000,202950000,653637000,37472000,-2386000,864000,-1522000,-1850000,2513000,-67757000,-31807000,-31807000,-31823000,166411000,0.19712,-0.04807,0.0053,0.00506,0.00157,1.82193,2.22068,0.25459,0.14286,0.14248,26.94867,28.23063,0.25734,0.00612,1.80136,-14.72283
"20","2015_Q3",12.64296875,"Down",196500000,-161119000,35381000,-46169000,-45219000,-10788000,10457000,-1661000,12376000,-258000,-331000,-331000.000000007,55999.9999999963,-275000,-275000,-275000,-275000,19323000,19323000,88295000,88295000,203167000,29114000,24658000,339899000,154020000,157480000,60961000,311500000,651399000,145730000,116246000,29484000,1485000,45588000,45588000,192803000,166239000,100263000,9831000,90432000,266502000,459305000,6980000,206400000,-21286000,192094000,192094000,651399000,12409000,-287000,-1255000,-1542000,-1838000,-1194000,-20816000,-9948999.99999999,-9949000,-9989000,167724000,0.18006,-0.0549,-0.0014,-0.00143000000000002,-0.000419999999999999,1.76293,2.39104,0.25748,-0.0390199999999996,-0.0390199999999989,27.88025,27.25511,0.26078,0.0034,-6.68364,-13.75612
"21","2015_Q4",10.5153125,"Down",239107000,-196892000,42215000,-48689000,-47551000,-6474000,9749000,-1597000,12498000,-1152000,3275000,3275000,-134000,3141000,3141000,3141000,3141000,11847000,11847000,118097000,118097000,234214000,24111000,19999000,388269000,151767000,162681000,59770000,314448000,702717000,195376000,161040000,34336000,1495000,59128000,59128000,255999000,158650000,103324000,9711000,93613000,261974000,517973000,6849000,200853000,-22958000,184744000,184744000,702717000,9933000,-2968000,-292000,-3260000,-1814000,-1072000,-14151000,-7478000,-7478000,-7476000,160145000,0.17655,-0.02708,0.01314,0.017,0.00447,1.51668,2.80373,0.22789,0.45364,0.45292,34.53307,26.68169,0.26199,0.01106,0.57752,-22.9067
"22","2016_Q1",11.5227868852459,"Up",-481343000,354326000,-127017000,99648000,99081000,-27369000,13997000,421000,11873000,1703000,-13372000,-11588000,9968000,-1620000,18091000,18091000,18091000,52499000,52499000,111020000,111020000,165016000,32899000,12317000,361434000,132539000,136792000,31683000,293974000,655408000,141154000,100300000,40854000,1504000,49088000,49088000,191746000,160113000,102411000,10046000,92365000,262524000,454270000,6837000,217745000,-23444000,201138000,201138000,655408000,48188000,4627000,-51000,-1967000,-1794000,-3076000,4511000,50732000,40598000,40652000,161617000,0.26388,0.05686,-0.03758,0.08994,0.0276,1.88496,2.2585,0.24659,2.64372,2.62302,-70.34093,29.39325,0.26217,0.04275,0.0991700000000002,-3.98692
"23","2016_Q2",13.46703125,"Up",173421000,-133416000,40005000,-47241000,-46259000,-7236000,11017000,-1505000,12951000,-429000,3781000,3781000,-979000,2802000,2802000,2802000,2802000,35718000,35718000,73851000,73851000,164334000,41863000,19680000,315766000,132345000,128871000,33172000,290748000,606514000,103304000,90247000,13057000,1513000,35980000,35980000,140797000,157468000,106230000,13088000,93142000,263698000,404495000,7591000,218743000,-24315000,202019000,202019000,606514000,-3819000,-4359000,18000,-4341000,-1804000,-2635000,-8634000,-16794000,-16794000,-16781000,158981000,0.23068,-0.04173,0.01616,0.01387,0.00462,2.2427,2.00226,0.26212,0.40863,0.40697,25.29109,29.46172,0.26309,0.00986,0.64383,-17.03469
"24","2016_Q3",15.03546875,"Up",178007000,-137478000,40529000,-47452000,-46626000,-6923000,9502000,-1470000,13338000,-2366000,2579000,1677000,1439000,3116000,3116000,3116000,3116000,34257000,34257000,77173000,77173000,167589000,41945000,21925000,320964000,132290000,125626000,34342000,288559000,609523000,119391000,100878000,18513000,1523000,40770000,40770000,161684000,143471000,105396000,12747000,92649000,248867000,410551000,6813000,217728000,-25569000,198972000,198972000,609523000,20788000,-1705000,-2560000,-4265000,-1834000,-13988000,-17862000,-1338999.99999999,-1339000.00000001,-1460999.99999999,144994000,0.22768,-0.03889,0.0175,0.01566,0.00511,1.98513,2.06336,0.23788,0.45449,0.4533,25.96368,29.02159,0.2675,0.01102,0.58858,-15.99552
"25","2016_Q4",20.0595238095238,"Up",-265650000,194968000,-70682000,61971000,62099000,-8711000,14820000,-207000,15409000,-382000,6109000,-11856000,13510000,1654000,-442000,-442000,-442000,44266000,44266000,97613000,97613000,201309000,41061000,28696000,384249000,124626000,155235000,71299000,279861000,664110000,181545000,157253000,24292000,1532000,46429000,46429000,229506000,130524000,107772000,12361000,95411000,238296000,467802000,6776000,214666000,-25134000,196308000,196308000,664110000,29189000,3048000,-45000,-1323000,-1812000,15234000,23610000,51476000,9900000,10009000,132056000,0.26607,0.03279,0.00166,-0.00225,-0.00067,1.67424,2.383,0.19885,-0.06513,-0.06513,-39.14677,28.92838,0.26702,0.00314,-4.09955,-10.07806
"26","2017_Q1",17.6438709677419,"Down",25303000.0000001,-23073000,2230000,-18644000,-18077000,-16414000,14865000,-1136000,14761000,1240000,-1549000,-294999.999999998,-4321000,-4616000,24131000,24131000,24131000,69308000,69308000,13389000,13389000,28927000,270108000,8273000,381732000,115106000,140129000,25158000,286289000,668021000,22477000,6995000,15482000,1744000,197607000,197607000,221828000,94295000,131605000,14271000,47999000,225900000,447728000,6779000,239441000,-25927000,220293000,220293000,668021000,47777000,834000,877000,112000,-1812000,-1175000,9013000,56902000,36382000,36382000,96039000,0.08813,-0.6487,0.95368,0.10954,0.03612,1.72085,2.03242,0.14377,3.56282,3.51201,3.73586,32.52517,0.26753,0.05792,0.0750900000000012,-1.62855
"27","2017_Q2",17.7212698412698,"Up",28300000,-23742000,4558000,-10107000,-9520000,-5549000,13968000,-932000,15263000,-363000,8419000,8819000,-599000,8220000,4978000,4978000,4978000,56426000,56426000,79718000,79718000,158982000,35769000,20476000,330895000,132158000,121332000,36720000,289396000,620291000,101152000,87119000,14033000,1757000,64295000,64295000,167204000,125313000,103248000,13783000,89465000,228561000,395765000,6834000,242379000,-24687000,224526000,224526000,620291000,-42204000,-2814000,198000,-3836000,-1827000,3029000,4202000,-41838000,-24222000,-24222000,127070000,0.16106,-0.19608,0.1759,0.02217,0.00803,1.97899,1.76267,0.20486,0.73141,0.72746,4.1581,32.98942,0.26844,0.01496,0.36701,-12.73094
"28","2017_Q3",17.6125396825397,"Down",28100000,-23503000,4597000,-11185000,-10566000,-6588000,12535000,-928000,13786000,-323000,5947000,8572000,-1340000,7232000,6788000,6788000,6788000,60209000,60209000,85025000,85025000,163759000,34966000,22323000,343959000,132126000,117921000,36767000,277301000,621260000,125126000,104794000,20332000,1212000,59711000,59711000,186049000,99918000,104333000,13386000,90947000,204251000,390300000,6836000,248239000,-24115000,230960000,230960000,621260000,40457000,-1433000,419000,-2172000,-1863000,-27650000,-29513000,8772000.00000001,3783000,3783000,101130000,0.16359,-0.23445,0.24157,0.02939,0.01093,1.84875,1.6899,0.16278,0.99312,0.99095,4.11119,33.79078,0.27257,0.01982,0.27445,-6.21145
"29","2017_Q4",36.2090476190476,"Up",21941000,-19466000,2475000,-12158000,-11723000,-9683000,15164000,-946000,16510000,-4e+05,5481000,5956000,-2625000,3331000,8398000,8398000,8398000,93938000,93938000,9070000,9070000,30580000,30660000,6323000,164248000,116336000,77084000,25903000,220701000,384949000,24308000,8466000,12400000,1168000,17747000,17747000,43223000,57573000,77090000,12924000,50595000,134663000,177886000,9065000,207447000,-9449000,207063000,207063000,384949000,28865000,-2958000,284000,-4641000,-1862000,-10387000,21427000,45651000,36842000,36842000,58741000,0.1128,-0.44132,0.38275,0.04056,0.02182,3.80001,0.85909,0.15259,1.22796,1.22313,3.20822,30.27679,0.27226,0.02992,0.22172,3.63493
"30","2018_Q1",36.4334426229508,"Up",26437000,-21148000,5289000,-16164000,-15682000,-10875000,15982000,-634000,17048000,-432000,5107000,5755000,3925000,9680000,10173000,10173000,10173000,101600000,101600000,14611000,14611000,30015000,30762000,10843000,176988000,120068000,76161000,26645000,212564000,389552000,24779000,7575000.00000001,17204000,1125000,28072000,28072000,53976000,42021000,74107000,11827000,49341000,116128000,170104000,11299000,216490000,-8341000,219448000,219448000,389552000,14187000,-4543000,187000,-4356000,-1130000,28961000,-2168999.99999999,7662000,7662000,7662000,43146000,0.20006,-0.41136,0.3848,0.04636,0.02611,3.27901,0.77514,0.11076,1.48728,1.46733,3.86506,32.08304,0.1652,0.03357,0.11108,5.37508
"31","2018_Q2",32.8728125,"Down",31200000,-25776000,5424000,-11311000,-10627000,-5887000,14814000,-646000,15870000,-410000,8927000,8980000,-804000,8176000,8176000,8176000,8176000,83403000,83403000,14004000,14004000,30115000,34767000,13074000,162289000,119811000,73397000,26062000,211887000,374176000,14184000,8174000,6010000,1081000,25574000,25574000,40839000,34687000,73768000,11293000,49536000,108455000,149294000,11476000,226513000,-13107000,224882000,224882000,374176000,-8029000,-2397000,309000,-2088000,-1144000,-6936000,-8080000,-18197000,-18197000,-18197000,35768000,0.17385,-0.18869,0.26205,0.03636,0.02185,3.97387,0.66388,0.09559,1.18596,1.17827,4.52567,32.61996,0.16594,0.02787,0.13992,8.09156
"32","2018_Q3",30.9657142857143,"Down",33681000,-28835000,4846000,-12677000,-11863000,-7831000,15202000,-569000,15741000,30000,7371000,7581000,-1188000,6393000,6393000,6393000,6393000,79952000,79952000,17908000,17908000,29159000,25367000,12703000,152386000,123632000,71556000,26837000,213632000,366018000,18747000,9120000,9627000,1037000,26137000,26137000,45921000,14946000,74179000,10917000,50323000,89125000,135046000,12213000,231761000,-13002000,230972000,230972000,366018000,26725000,-6511000,319000,-6192000,-1145000,-22784000,-23984000,-3451000,-3451000,-3451000,15983000,0.14388,-0.2325,0.18981,0.02768,0.01747,3.31844,0.58469,0.04367,0.92118,0.92118,4.85317,33.28127,0.16499,0.02347,0.1791,8.16869
"33","2018_Q4",30.2557142857143,"Down",31440000,-25345000,6095000,-12746000,-12032000,-6651000,17252000,-421000,17462000,211000,10601000,10658000,-1458000,9200000,9200000,9200000,9200000,83050000,83050000,12955000,12955000,33182000,22279000,10762000,151466000,126055000,69026000,27136000,215080000,366546000,22896000,9655000,13241000,647000,20643000,20643000,44186000,6849000,75310000,10550000,51821000,82159000,126345000,13283000,239817000,-12899000,240201000,240201000,366546000,20155000,-5384000,242000,-5142000,-1144000,-10487000,-11915000,3098000,3098000,3098000,7496000,0.19386,-0.21155,0.29262,0.0383,0.0251,3.42792,0.526,0.02045,1.32565,1.32565,4.53026,34.6111,0.16484,0.03202,0.12435,11.3598
