"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q4",101.6253125,"Down",103397000,-9645000,93752000,-81816000,-64061000,-17755000,11936000,-6332000,145000,5604000,-14903000,8663000,-6240000,-6240000,-6240000,-6240000,874426000,642450000,231976000,67704000,67704000,53361000,53361000,995491000,15229000,112060000,116529000,15282000,18836000,82411000,243818000,1239309000,57155000,11200000,45955000,66561000,66561000,190795000,38059000,34490000,661779000,852574000,402798000,-16453000,390000,386735000,386735000,1239309000,-6240000,3814000,25712000,-16473000,6813000,-2610000,-24437000,-27047000,4838000,4838000,-88494000,555049000,534815000,534815000,-366000,534449000,15750000,690799000,-11996000,0.90672,0.11544,-0.06035,-0.01614,-0.00504,1.92244,5.21759,2.20454,0.55741,-0.09752,-0.11877,1.61598,6.04425,-0.18748,-0.00559,-0.01075,-11.65886,-15.3843
"12","2020_Q1",124.219516129032,"Up",156450000,-12211000,144239000,-105504000,-84612000,-20892000,38735000,-2670000,6613000,36065000,36065000,-5377000,30688000,30688000,30688000,30688000,786944000,409949000,376995000,129912000,129912000,55129000,55129000,971985000,20296000,187921000,162136000,22083000,36910000,103143000,370353000,1342338000,94781000,9383000,85398000,83895000,83895000,246830000,40280000,31953000,670601000,917431000,412198000,14235000,-1526000,424907000,424907000,1342338000,30688000,2492000,21550000,-34024000,20706000,-5293000,-220550000,-250188000,2091000,2091000,-4248000,-2782000,-232264000,-232264000,-121000,-232385000,41227000,698475000,7287000,0.92195,0.24759,0.19615,0.07222,0.02286,0.237450000000001,3.93787,2.15913,0.52034,0.47089,0.35635,2.40064,6.51998,0.11182,0.02637,0.00626,-2.1459,-2.28396
"13","2020_Q2",129.600158730159,"Up",108831000,-13047000,95784000,-115889000,-89708000,-26181000,-20105000,-11765000,-2462000,-31870000,-31870000,16397000,-15473000,-15473000,-15473000,-15473000,762907000,228020000,534887000,53824000,53824000,63547000,63547000,880278000,24483000,229027000,189534000,18716000,36756000,134062000,443044000,1323322000,66360000,13280000,53080000,78469000,78469000,214062000,45958000,43742000,682875000,896937000,427517000,-1847000,715000,426385000,426385000,1323322000,-15473000,2760000,13371000,19317000,19975000,-4976000,-196920000,-201896000,11600000,11600000,-10378000,1222000,-180699000,-180699000,-1228000,-181927000,-17345000,706150000,-19401000,0.88012,-0.18474,-0.14217,-0.03629,-0.01169,1.25386,4.11226,2.10358,0.53362,-0.23598,-0.23598,1.65979,6.50284,-0.29589,-0.01313,-0.01646,3.27224,2.82303
"14","2020_Q3",136.1453125,"Up",96233000,-9635000,86598000,-104392000,-81136000,-23256000,-17794000,-4966000,4530000,-22760000,-22760000,-12533000,-35293000,-35293000,-35293000,-35293000,735795000,128175000,607620000,68548000,68548000,68556000,68556000,872899000,26785000,238643000,177912000,18005000,36843000,123064000,443340000,1316239000,69880000,11919000,57961000,83958000,83958000,224183000,38888000,36203000,682578000,906761000,443473000,-37140000,3145000,409478000,409478000,1316239000,-35293000,2782000,38583000,-19433000,-13361000,-5413000,-80776000,-86189000,3176000,3176000,-4236000,-1060000,-100610000,-100610000,765000,-99845000,-15012000,714035000,-27325000,0.89988,-0.18491,-0.36675,-0.08619,-0.02681,0.77423,3.89369,2.21443,0.54248,-0.53443,-0.53443,1.45721,6.20055,-0.41377,-0.03036,-0.02351,1.44951,1.22288
"15","2020_Q4",126.04390625,"Down",129717000,-10414000,119303000,-109670000,-84438000,-25232000,9633000,-4467000,5136000,5166000,5166000,-809000,4357000,4357000,4357000,4357000,723211000,95952000,627259000,61526000,61526000,81873000,81873000,866610000,33546000,259277000,197040000,17242000,36930000,142868000,489863000,1356473000,73186000,6481000,66705000,70435000,70435000,215088000,54944000,51822000,705495000,920583000,468088000,-32783000,585000,435890000,435890000,1356473000,4357000,2883000,29051000,-26612000,9679000,-3868000,-42093000,-45961000,5726000,5726000,-1819000,3907000,-32375000,-32375000,152000,-32223000,12516000,722018000,-17155000,0.91972,0.07426,0.03359,0.01,0.00321,-3.93734,4.0291,2.11196,0.53228,0.06594,0.06594,1.96312,6.5967,-0.25962,0.00359,-0.01414,-0.09532,-0.12385
"16","2021_Q1",105.944262295082,"Down",160527000,-10743000,149784000,-125425000,-98977000,-26448000,24359000,-2540000,7177000,21819000,21819000,216000.000000002,22035000,22035000,22035000,22035000,756336000,171891000,584445000,136985000,136985000,79144000,79144000,972465000,40645000,265800000,186385000,16191000,37070000,133124000,492830000,1465295000,86896000,5340000,81556000,108664000,108664000,268179000,62824000,62824000,720325000,988504000,489025000,-10748000,-1493000,476791000,476791000,1465295000,22035000,3676000,30748000,2030000,58489000,-12101000,34301000,22200000,2623000,2623000,-8177000,-5565000,75124000,75124000,1112000,76236000,28035000,730120000,17748000,0.93308,0.15174,0.13727,0.04622,0.01504,0.80545,3.62618,2.07324,0.49828,0.33112,0.33112,2.41223,7.16462,0.2667,0.01735,0.01398,-0.93512,-1.07623
"17","2021_Q2",81.8085714285714,"Down",118759000,-10841000,107918000,-136729000,-105407000,-31322000,-28811000,-10852000,-1254000,-39663000,-39663000,-993000,-40656000,-40656000,-40656000,-40656000,839497000,253760000,585737000,60502000,60502000,87725000,87725000,987724000,43914000,192330000,191779000,15046000,37040000,139693000,428023000,1415747000,70111000,5950000,64161000,95260000,95260000,239133000,60778000,57424000,725128000,964261000,505636000,-51404000,-2753000,451486000,451486000,1415747000,-40656000,3683000,37363000,25578000,25968000,-5643000,70254000,64611000,5243000,5243000,-13071000,-7828000,82751000,82751000,-207000,82544000,-25128000,738112000,-4200000,0.90871,-0.2426,-0.34234,-0.09005,-0.02872,0.10331,4.13044,2.13575,0.52136,-0.60742,-0.60742,1.77432,6.74534,-0.06275,-0.03252,-0.00336,4.03474,3.51897
"18","2021_Q3",75.26234375,"Down",120070000,-12930000,107140000,-142188000,-111322000,-30866000,-35048000,-7579000,2056000,-42627000,-42627000,-813000,-43440000,-43440000,-43440000,-43440000,661876000,283726000,378150000,89439000,89439000,91972000,91972000,843287000,50147000,349316000,228759000,13883000,37037000,177839000,628222000,1471509000,94059000,16594000,77465000,113041000,113041000,282053000,86343000,81472000,757822000,1039875000,530424000,-94844000,-3953000,431634000,431634000,1471509000,-43440000,3703000,40127000,-10520000,-10130000,-4651000,49244000,44593000,520999.999999999,520999.999999999,-4999000,-4478000,29985000,29985000,-19000,29966000,-31345000,746432000,-45703000,0.89231,-0.2919,-0.36179,-0.10064,-0.02952,1.05209,2.98982,2.40916,0.50726,-0.64668,-0.64668,1.78745,6.42551,-0.68037,-0.03436,-0.03615,-2.69759,-2.41258
"19","2021_Q4",69.0621875,"Down",123501000,-15466000,108035000,-153616000,-120159000,-33457000,-45581000,-12336000,-2363000,-57917000,-57917000,-122000,-58039000,-58039000,-58039000,-58039000,596445000,184523000,411922000,72686000,72686000,98734000,98734000,767865000,58460000,413806000,233656000,12676000,36968000,184012000,705922000,1473787000,95307000,12365000,82942000,117986000,117986000,289459000,96300000,91773000,775001000,1064460000,565448000,-152883000,-3245000,409327000,409327000,1473787000,-58039000,4202000,48446000,13896000,8505000,-6920000,-99427000,-109760000,4502000,4502000,-1824000,2678000,-98577000,-98577000,-776000,-99353000,-41379000,754867000,-34281000,0.87477,-0.36907,-0.46995,-0.14179,-0.03938,0.59065,2.65276,2.60051,0.5122,-0.86557,-0.86557,1.84184,6.10442,-0.51125,-0.04604,-0.0272,-3.82856,-3.47561
"20","2022_Q1",59.0356451612903,"Down",173805000,-16516000,157289000,-184114000,-147339000,-36775000,-26825000,-10499000,-497000,-37324000,-37324000,-222000,-37546000,-37546000,-37546000,-37546000,659249000,152375000,506874000,192318000,192318000,81360000,81360000,932927000,71270000,343213000,252278000,21737000,57415000,173126000,666761000,1599688000,123394000,8086000,115308000,208154000,208154000,331548000,101970000,101970000,865386000,1196934000,598717000,-190429000,-5534000,402754000,402754000,1599688000,-37546000,4792000,53416000,18154000,38816000,-6301000,-27011000,-66329000,134000.000000001,134000.000000001,-4581000,-4447000,-31960000,-31960000,-239000,-32199000,-22033000,763416000,-9958000,0.90497,-0.15434,-0.21602,-0.09322,-0.02347,0.26522,2.81385,2.97187,0.47723,-0.55768,-0.55768,2.58158,5.98224,-0.14791,-0.02961,-0.00785,-4.72777,-3.88321
"21","2022_Q2",59.8279032258065,"Up",157941000,-24241000,133700000,-225200000,-175050000,-50150000,-91500000,-4340000,-1950000,-95840000,-104079000,-1488000,-105567000,-105567000,-105567000,-105567000,458374000,147138000,311236000,77514000,77514000,85658000,85658000,621546000,72124000,139889000,643129000,70637000,398921000,173571000,855142000,1476688000,102477000,10921000,91556000,176604000,176604000,363328000,92038000,92038000,882767000,1246095000,466318000,-230227000,-5505000,230593000,230593000,1476688000,-105567000,7389000,64819000,42177000,8818000,-9301000,395084000,-3986000,4741000,4741000,-14126000,-9385000,-4553000,-4553000,-684000,-5237000,-84111000,874976000,-49747000,0.84652,-0.57933,-0.6684,-0.45781,-0.07149,0.47124,1.7107,5.40387,0.59253,-1.56423,-1.56423,2.34028,3.4167,-0.73712,-0.08815,-0.04154,-4.953,-4.55303
"22","2022_Q3",58.63390625,"Down",180623000,-29772000,150851000,-246722000,-189645000,-57077000,-95871000,-9290000,-6843000,-105161000,-105161000,-1605000,-106766000,-106766000,-106766000,-106766000,408903000,111308000,297595000,114237000,114237000,110129000,110129000,633269000,74549000,102756000,645713000,66092000,399898000,179723000,823018000,1456287000,144795000,30531000,114264000,174248000,174248000,319043000,89835000,89835000,965648000,1284691000,512421000,-336993000,-3839000,171596000,171596000,1456287000,-106766000,9671000,73503000,-40536000,-64128000,-3478000,49586000.0000001,46108000,57000,57000,-16463000,-16406000,-34426000,-34426000,-1404000,-35830000,-86200000,875813000,-128609000,0.83517,-0.53078,-0.5911,-0.62219,-0.07331,1.20459,1.9849,7.48672,0.6014,-1.56294,-1.56294,2.64413,2.51188,-1.8827,-0.09388,-0.11309,-5.41659,-4.87019
