"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",6.59016129032258,"Up",49609000,-32397000,17212000,-10003000,-9749000,-254000,7209000,138000,141000,-3000.00000000001,7347000,7347000,-2770000,4577000,4577000,4577000,4577000,45473000,30018000,744000,744000,18719000,2640000,1578000,67576000,2295000,860000,860000,3155000,70731000,8414000,5974000,2194000,8414000,247000,247000,8661000,9000,19999.9999999999,62055000,62070000,62070000,70731000,4577000,254000,277000,999000,6107000,-238000,-351000,-22779000,-22779000,-17023000,-17023000,-17023000,7463000,0,10994000,0.34695,0.14532,0.09226,0.07374,0.06471,2.40201,8.03138,0.13954,0,0.23107,0.22973,2.50449,3.13313,0.55503,1.14999,0.43898,0.17642,4.97684,-6.09313,-6.30781
"12","2013_Q1",8.36,"Up",51120000,-32885000,18235000,-10969000,-10709000,-260000,7266000,40000,42000,-2000,7306000,7306000,-2704000,4602000,4602000,4602000,4602000,33645000,18155000,1439000,1439000,31601000,2072000,1090000,68757000,2132000,2290000,860000,4422000,73179000,8997000,6454000,2381000,8997000,168000,168000,9165000,9000,20000,63987000,64014000,64014000,73179000,4602000,260000,467000,-13880000,-8551000,-97000,-119999.999999999,-3076000,-3192000,-11863000,-11863000,-11863000,7526000,0,-3747000,0.35671,0.14214,0.09002,0.07189,0.06289,-0.814210000000001,7.64221,0.14317,0,0.23225,0.23049,2.57986,3.23013,-0.1891,0.15524,0.11963,-0.05838,0.66841,-4.4705,-4.63047
"13","2013_Q2",8.59890625,"Up",74194000,-50181000,24013000,-16516000,-16268000,-248000,7497000,45000,47000,-2000,7542000,7542000,-2787000,4755000,4755000,4755000,4755000,50463000,34998000,2527000,2527000,21576000,4112000,3129000,78678000,1888000,860000,860000,2748000,81426000,15153000,10272000,2245000,15153000,204000,204000,15357000,9000,382000,65726000,66069000,66069000,81426000,4755000,248000,421000,14421000,19845000,-4000,-25000,-2977000,-2977000,16843000,16843000,16843000,7745000,0,24949000,0.32365,0.10105,0.06409,0.07197,0.0584,5.2469,5.19224,0.23244,0,0.23957,0.2377,3.73811,3.3283,1.257,0.14999,0.11667,0.37646,0.62608,-6.51556,-6.73109
"14","2013_Q3",10.40703125,"Up",60479000,-41227000,19252000,-12720000,-12490000,-230000,6532000,49000,48000,1000,6581000,6581000,-2431000,4150000,4150000,4150000,4150000,51399000,35913000,1384000,1384000,17341000,5166000,3616000,75290000,1685000,860000,860000,2545000,77835000,10527000,8319000,2208000,10527000,150000,150000,10677000,9000,752000,66445000,67158000,67158000,77835000,4150000,230000,553000,-420000,4513000,-27000,-46999.9999999999,-3551000,-3551000,915000.000000007,915000.000000007,915000.000000007,6762000,0,8746000,0.31833,0.108,0.06862,0.06179,0.05332,2.10747,7.15209,0.15898,0,0.20852,0.20704,3.03884,3.37398,0.43945,0.17842,0.11441,0.12994,0.85566,-7.60115,-7.8688
"15","2013_Q4",10.5353125,"Up",50086000,-33197000,16889000,-9841000,-9622000,-219000,7048000,42000,46000,-4000,7090000,7090000,-2549000,4541000,4541000,4541000,4541000,41453000,25937000,1650000,1650000,24541000,3138000,1976000,70782000,1474000,2853000,860000,4327000,75109000,6237000,4043000,2194000,6237000,99000,99000,6336000,9000,1248000,67554000,68773000,68773000,75109000,4541000,219000,122000,-11566000,-6684000,-8000,-29000,-3386000,-3263000,-9976000,-9976000,-9976000,7267000,0,-1758000,0.3372,0.14072,0.09066,0.06603,0.06046,-0.38714,11.34873,0.09213,0,0.2279,0.22616,2.51373,3.45114,-0.08823,0.16994,0.1151,-0.02553,0.74565,-5.70428,-5.88153
"16","2014_Q1",9.45967213114754,"Down",48632000,-31169000,17463000,-10322000,-10152000,-170000,7141000,45000,44000,1000,7186000,7186000,-2660000,4526000,4526000,4526000,4526000,33844000,18305000,1761000,1761000,35727000,2877000,1761000,74209000,1310000,2856000,860000,4166000,78375000,8093000,5768000,2325000,8093000,65000,65000,8158000,9000,1598000,68647000,70217000,70217000,78375000,4526000,170000,295000,-9159000,-4168000,-6000,-28000,-3412000,-3436000,-7632000,-7632000,-7632000,7311000,0,806000,0.35908,0.14684,0.09307,0.06446,0.05775,0.17808,9.16953,0.11618,0,0.22711,0.22579,2.44026,3.52291,0.04044,0.17121,0.11294,0.01147,0.75387,-4.62919,-4.73939
"17","2014_Q2",9.13095238095238,"Down",72541000,-48769000,23772000,-15934000,-15771000,-163000,7838000,53000,44000,9000,7891000,7891000,-2918000,4973000,4973000,4973000,4973000,44708000,29141000,1598000,1598000,32887000,2603000,1516000,81796000,1153000,3074000,860000,4227000,86023000,13884000,8589000,2406000,13884000,0,0,13884000,9000,1970000,70189000,72139000,72139000,86023000,4973000,163000,3e+05,8821000,14257000,-6000,-26000,-3395000,-3395000,10836000,10836000,10836000,8001000,0,19734000,0.3277,0.10805,0.06855,0.06894,0.05781,3.96823,5.89139,0.19246,0,0.24914,0.24751,3.63414,3.61355,0.98863,0.17008,0.116,0.27356,0.68269,-5.5878,-5.70401
"18","2014_Q3",9.7753125,"Up",57576000,-39117000,18459000,-12455000,-12296000,-159000,6004000,42000,44000,-2000,6046000,4332000,-1600000,2732000,2732000,2732000,2732000,50162000,34579000,1957000,1957000,20535000,4510000,1924000,77164000,1361000,904000,860000,2265000,79429000,7582000,5248000,2334000,7582000,0,0,7582000,9000,2390000,69478000,71847000,71847000,79429000,2732000,159000,2444000,3998000,9333000,-366000,-383000,-3551000,-3512000,5438000,5438000,5438000,6163000,0,11395000,0.3206,0.10428,0.04745,0.03803,0.0344,4.17094,10.17726,0.10553,0,0.13649,0.13561,2.8765,3.58903,0.56929,0.17741,0.08745,0.1586,1.29978,-8.13922,-8.35476
"19","2014_Q4",9.5709375,"Down",49284000,-32184000,17100000,-9434000,-9269000,-165000,7666000,46000,50000,-4000,7712000,7712000,-2915000,4797000,4797000,4797000,4797000,52647000,37068000,1352000,1352000,21613000,2143000,1280000,77755000,1222000,865000,860000,2087000,79842000,6295000,3876000,2136000,6295000,0,0,6295000,9000,2755000,70833000,73547000,73547000,79842000,4797000,165000,283000,693000,5938000,-26000,-42000,-3407000,-3407000,2489000,2489000,2489000,7831000,0,11413000,0.34697,0.15555,0.09733,0.06522,0.06008,2.3792,12.35187,0.08559,0,0.2394,0.23792,2.45953,3.66993,0.56957,0.17003,0.11155,0.15518,0.71024,-6.7229,-6.8676
"20","2015_Q1",11.1347540983607,"Up",49994000,-33055000,16939000,-9120000,-8947000,-173000,7819000,44000,46000,-2000,7863000,7863000,-2912000,4951000,4951000,4951000,4951000,51204000,35613000,1931000,1931000,25068000,1380000,1380000,79583000,1569000,1700000,860000,3269000,82852000,7417000,5153000,2214000,7417000,0,0,7417000,9000,3137000,72343000,75435000,75435000,82852000,4951000,173000,419000,-3028000,2515000,-520000,-535000,-3454000,-3435000,-1455000,-1455000,-1455000,7992000,0,7356000,0.33882,0.1564,0.09903,0.06563,0.05976,1.48576,10.72981,0.09832,0,0.24699,0.24578,2.49409,3.76283,0.36697,0.17231,0.11142,0.09751,0.69764,-6.40691,-6.54866
"21","2015_Q2",12.1722222222222,"Up",71634000,-48668000,22966000,-13875000,-13684000,-191000,9091000,46000,50000,-4000,9137000,9137000,-3380000,5757000,5757000,5757000,5757000,58257000,42685000,3089000,3089000,27220000,2479000,1541000,91045000,1488000,910000,860000,2398000,93443000,15561000,9980000,2229000,15561000,-1.13686837721616e-13,-1.13686837721616e-13,15561000,9000,3508000,74454000,77882000,77882000,93443000,5757000,191000,391000,4472000,10811000,-110000,-126000,-3613000,-3613000,7072000,7072000,7072000,9282000,0,17024000,0.3206,0.12691,0.08037,0.07392,0.06161,2.9571,5.85085,0.1998,0,0.28679,0.28503,3.5685,3.8793,0.84806,0.17998,0.12031,0.21859,0.62758,-6.27634,-6.40821
"22","2015_Q3",12.31875,"Up",56725000,-37812000,18913000,-11823000,-11637000,-186000,7090000,51000,55000,-4000,7141000,7141000,-2639000,4502000,4502000,4502000,4502000,57784000,42180000,1624000,1624000,24404000,2287000,1466000,86099000,1367000,934000,860000,2301000,88400000,9156000,7277000,1879000,9156000,0,0,9156000,9000,4007000,75301000,79244000,79244000,88400000,4502000,186000,617000,-2075000,3230000,-64999.9999999995,-81999.9999999999,-3745000,-3653000,-504999.999999998,-504999.999999998,-504999.999999998,7276000,0,7775000,0.33342,0.12499,0.07937,0.05681,0.05093,1.72701,9.40356,0.11554,0,0.22369,0.22236,2.81849,3.93695,0.38632,0.18608,0.10407,0.09811,0.83185,-7.94173,-8.15007
"23","2015_Q4",12.478125,"Up",50933000,-34179000,16754000,-9132000,-8965000,-167000,7622000,51000,55000,-4000,7673000,7673000,-2783000,4890000,4890000,4890000,4890000,62737000,47129000,1365000,1365000,18861000,3457000,2275000,86420000,1202000,961000,860000,2163000,88583000,7708000,5365000,2343000,7708000,5.6843418860808e-14,5.6843418860808e-14,7708000,9000,4418000,76535000,80875000,80875000,88583000,4890000,167000,315000,3222000,8594000,-2000,-19000,-3626000,-3626000,4949000,4949000,4949000,7789000,0,13792000,0.32894,0.14965,0.09601,0.06046,0.0552,2.82045,11.21173,0.09531,0,0.24274,0.24147,2.52832,4.0142,0.68464,0.18,0.1053,0.17053,0.74151,-8.05456,-8.23104
"24","2016_Q1",12.8473770491803,"Up",55392000,-37729000,17663000,-9078000,-8852000,-226000,8585000,105000,30000,75000,8690000,8616000,-3198000,5418000,5418000,5418000,5418000,37639000,37639000,1724000,1724000,25586000,2678000,2435000,67627000,20929000,1723000,860000,22652000,90279000,7084000,5004000,2080000,7084000,0,0,7084000,9000,4891000,78295000,83195000,83195000,90279000,5418000,226000,526000,-7752000,-1582000,-19953000,-4258000,-3700000,-3650000,-9490000,-9490000,-9490000,8811000,0,-15696000,0.31887,0.15499,0.09781,0.06512,0.06001,-2.89701,9.54644,0.08515,0,0.26887,0.26662,2.74885,4.12813,-0.77892,0.18361,0.1096,-0.18867,0.68291,-4.27182,-4.38427
"25","2016_Q2",13.91046875,"Up",72487000,-50035000,22452000,-12052000,-11858000,-194000,10400000,81000,28000,53000,10481000,10481000,-3887000,6594000,6594000,6594000,6594000,44307000,44307000,2075000,2075000,27026000,3865000,3865000,77273000,20766000,1767000,860000,22533000,99806000,13439000,7281000,2503000,13439000,-4.54747350886464e-13,-4.54747350886464e-13,13439000,9000,5354000,81004000,86367000,86367000,99806000,6594000,194000,652000,5666000,13106000,-2604000,-2604000,-3834000,-3834000,6668000,6668000,6668000,10594000,0,17543000,0.30974,0.14347,0.09097,0.07635,0.06607,2.66045,5.74991,0.1556,0,0.32674,0.3243,3.59184,4.27917,0.86928,0.18998,0.12074,0.20312,0.58144,-4.18227,-4.26029
"26","2016_Q3",15.42484375,"Up",60791000,-42727000,18064000,-10333000,-10129000,-204000,7731000,55000,32000,23000,7786000,7786000,-2887000,4899000,4899000,4899000,4899000,51896000,51896000,1369000,1369000,14820000,6507000,6486000,74592000,20576000,1359000,860000,21935000,96527000,8563000,6147000,2416000,8563000,0,0,8563000,9000,5953000,82002000,87964000,87964000,96527000,4899000,204000,1010000,8566000,14679000,-3255000,-3255000,-3950000,-3835000,7589000,7589000,7589000,7935000,0,16133000,0.29715,0.12717,0.08059,0.05569,0.05075,3.29312,8.71097,0.09735,0,0.24212,0.24042,3.0044,4.34689,0.79732,0.19522,0.1006,0.1834,0.80629,-6.54014,-6.71272
"27","2016_Q4",16.5579365079365,"Up",52866000,-36223000,16643000,-8988000,-8531000,-457000,7655000,166000,36000,130000,7821000,7821000,-2998000,4823000,4823000,4823000,4823000,47904000,47904000,1544000,1544000,14925000,3316000,2441000,67689000,29071000,860000,860000,29931000,97620000,7934000,5391000,2543000,7934000,301000,301000,8235000,9000,6451000,82925000,89385000,89385000,97620000,4823000,457000,1314000,-2737000,3857000,-4001000,-4001000,-3848000,-3848000,-3992000,-3992000,-3992000,8112000,0,4372000,0.31481,0.1448,0.09123,0.05396,0.04941,0.90649,8.53151,0.09213,0,0.23814,0.23633,2.61028,4.41298,0.21587,0.19,0.09668,0.04875,0.79784,-5.90533,-6.25787
"28","2017_Q1",16.4972580645161,"Down",63032000,-40877000,22155000,-10458000,-9944000,-514000,11697000,139000,45000,94000,11836000,11836000,-4333000,7503000,7503000,7503000,7503000,58730000,58730000,1808000,1808000,20228000,1019000,1019000,81785000,30164000,860000,860000,31024000,112809000,18355000,15221000,2475000,18355000,1088000,1088000,19443000,9000,6827000,86530000,93366000,93366000,112809000,7503000,514000,1331000,6214000,15562000,-744000,-744000,-3877000,-3992000,10826000,10826000,10826000,12211000,0,22014000,0.35149,0.18557,0.11903,0.08036,0.06651,2.93403,4.45573,0.20824,0,0.37034,0.3679,3.11115,4.60795,1.08657,0.19136,0.12048,0.23307,0.51673,-4.8096,-5.02095
"29","2017_Q2",24.3322222222222,"Up",79657000,-52192000,27465000,-13049000,-12518000,-531000,14416000,324000,83000,241000,14740000,14740000,-5464000,9276000,9276000,9276000,9276000,68525000,68525000,2059000,2059000,23032000,1513000,1513000,95129000,29676000,860000,860000,30536000,125665000,25649000,16205000,3217000,25649000,985000,985000,26634000,9000,7321000,91701000,99031000,99031000,125665000,9276000,531000,418000,3671000,13896000,-43000,-43000,-4058000,-4058000,9795000,9795000,9795000,14947000,0,24039000,0.34479,0.18098,0.11645,0.09367,0.07382,2.59153,3.70888,0.26895,0,0.4571,0.45364,3.92534,4.87961,1.1846,0.19997,0.13332,0.24035,0.43747,-4.58453,-4.7534
"30","2017_Q3",32.1249206349206,"Up",66711000,-43232000,23479000,-11231000,-10704000,-527000,12248000,392000,143000,249000,12640000,12640000,-3880000,8760000,8760000,8760000,8760000,68443000,68443000,2012000,2012000,23005000,1106000,1106000,94566000,29456000,860000,860000,30316000,124882000,19255000,10376000,2871000,19255000,1304000,1304000,20559000,9000,7973000,96341000,104323000,104323000,124882000,8760000,527000,990000,-5870000,4407000,-307000,-307000,-4182000,-4182000,-82000.0000000019,-82000.0000000019,-82000.0000000019,12775000,0,10478000,0.35195,0.1836,0.13131,0.08397,0.07015,1.19612,4.91124,0.19707,0,0.43049,0.42863,3.27834,5.12625,0.51491,0.20551,0.12253,0.0992,0.4774,-5.35757,-5.5881
"31","2017_Q4",31.2503174603175,"Down",60110000,-38166000,21944000,-10476000,-9944000,-532000,11468000,456000,191000,265000,11924000,11924000,-2860000,9064000,9064000,9064000,9064000,80997000,80997000,1715000,1715000,21907000,974000,974000,105593000,29138000,860000,860000,29998000,135591000,24934000,12426000,3034000,24934000,676000,676000,25610000,9000,8685000,101287000,109981000,109981000,135591000,9064000,532000,110000,7136000,16842000,-214000,-214000,-4074000,-4074000,12554000,12554000,12554000,1.2e+07,0,21782000,0.36506,0.19078,0.15079,0.08241,0.06685,2.40313,4.2349,0.23286,0,0.44501,0.44377,2.9512,5.39925,1.06942,0.20002,0.11873,0.19684,0.44947,-6.74975,-7.06287
"32","2018_Q1",36.8232786885246,"Up",67322000,-42403000,24919000,-10915000,-10379000,-536000,14004000,481000,241000,240000,14485000,14485000,-4302000,10183000,10183000,10183000,10183000,77936000,77936000,2292000,2292000,23337000,1670000,882000,105235000,28741000,860000,860000,29601000,134836000,18109000,15274000,2835000,18109000,996000,996000,19105000,9000,9402000,106320000,115731000,115731000,134836000,10183000,536000,1077000,-9562000,2234000,-139000,-139000,-5156000,-5156000,-3061000,-3061000,-3061000,14540000,0,9141000,0.37015,0.20802,0.15126,0.08799,0.07552,0.89767,5.8112,0.16508,0,0.4998,0.49863,3.30431,5.67989,0.44866,0.25307,0.13141,0.07831,0.50633,-5.36011,-5.56527
"33","2018_Q2",31.0603125,"Down",87390000,-57436000,29954000,-14197000,-13641000,-556000,15757000,696000,379000,317000,16453000,16453000,-3871000,12582000,12582000,12582000,12582000,94561000,94561000,2431000,2431000,25046000,1278000,1278000,123316000,28491000,860000,860000,29351000,152667000,27955000,21182000,3526000,27955000,831000,831000,28786000,9000,10121000,113751000,123881000,123881000,152667000,12582000,556000,586000,8310000,22034000,-306000,-306000,-5103000,-5103000,16625000,16625000,16625000,16313000,0,28188000,0.34276,0.18031,0.14398,0.10157,0.08241,2.24034,4.41123,0.23237,0,0.61652,0.61529,4.28214,6.06978,1.38122,0.25005,0.14181,0.22602,0.40558,-5.79667,-6.00121
"34","2018_Q3",30.2147619047619,"Down",71396000,-46141000,25255000,-12052000,-11500000,-552000,13203000,683000,428000,255000,13886000,13886000,-3134000,10752000,10752000,10752000,10752000,87132000,87132000,1786000,1786000,28616000,1594000,976000,119128000,28083000,860000,860000,28943000,148071000,17045000,14278000,2767000,17045000,1185000,1185000,18230000,9000,10902000,118930000,129841000,129841000,148071000,10752000,552000,1152000,-14088000,-1632000,-144000,-144000,-5653000,-5653000,-7429000,-7429000,-7429000,13755000,0,2657000,0.35373,0.18493,0.1506,0.08281,0.07261,0.24712,6.98903,0.1404,0,0.52544,0.52398,3.48903,6.34472,0.12984,0.27625,0.1252,0.02028,0.52576,-6.33457,-6.59941
