"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","other_change_in_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",64.8795161290323,"Down",1.6445e+10,-1.1639e+10,4.806e+09,-2.013e+09,-1.471e+09,-6.34e+08,9.2e+07,2.793e+09,-3.43e+08,-3.26e+08,-1.7e+07,2.45e+09,2.45e+09,-7.53e+08,5e+06,1.702e+09,1.702e+09,-3e+06,1.699e+09,1.699e+09,5.689e+09,5.689e+09,9.814e+09,9.814e+09,1.755e+10,1.1586e+10,1.088e+09,8.865e+09,4.4639e+10,1.5509e+10,1.422e+09,2.8971e+10,4.166e+09,7.372e+09,1.873e+09,1.5361e+10,4.5902e+10,9.0541e+10,1.4576e+10,7.978e+09,6.598e+09,1.1453e+10,5.717e+09,3.035e+09,2.682e+09,3.1746e+10,1.7516e+10,2.3343e+10,1.0708e+10,1.2635e+10,4.0859e+10,7.2605e+10,4.449e+09,-1.0118e+10,2.9541e+10,-5.988e+09,1.7884e+10,5.2e+07,1.7936e+10,9.0541e+10,1.702e+09,7.2e+08,-2.08e+08,-2.08e+08,-9.74e+08,9.9e+07,-1.79e+08,-6.33e+08,-2.61e+08,1.24e+09,-9.34e+08,2.97e+08,2.97e+08,-1.231e+09,-3.4e+07,6.6e+07,-1e+08,6.76e+08,-2.5e+07,-5.56e+08,-8.48e+08,-3.39e+08,-3.87e+08,-3.87e+08,1.6e+07,1.6e+07,9e+08,1.9e+08,5.82e+08,5.82e+08,4e+06,5.86e+08,3.513e+09,2.8969e+10,2.358e+09,0.29225,0.16984,0.10331,0.09473,0.01876,1.38788,1.40613,4.048,0.31995,2.59945,2.54075,25.16065,27.3623,3.60771,0.51867,5,0.02901,0.03357,0.19953,6.62681,8.33512
"12","2013_Q1",71.1608333333333,"Up",1.6075e+10,-1.1899e+10,4.176e+09,-2.36e+09,-1.591e+09,-6.13e+08,-1.56e+08,1.816e+09,-3.24e+08,-3.13e+08,-1.1e+07,1.492e+09,9.12e+08,-2.14e+08,2e+06,7e+08,7e+08,-3e+06,6.97e+08,6.97e+08,5.49e+09,5.49e+09,9.706e+09,9.706e+09,1.5547e+10,1.1395e+10,9.88e+08,8.86e+09,4.2138e+10,1.6461e+10,1.316e+09,2.9055e+10,4.016e+09,6.942e+09,2.011e+09,1.5814e+10,4.6832e+10,8.897e+10,1.3444e+10,6.753e+09,6.691e+09,1.0642e+10,5.329e+09,2.638e+09,2.691e+09,2.9415e+10,1.9086e+10,2.2887e+10,1.1085e+10,1.1802e+10,4.1973e+10,7.1388e+10,4.481e+09,-1.0074e+10,2.9558e+10,-6.433e+09,1.7532e+10,5e+07,1.7582e+10,8.897e+10,7e+08,7.43e+08,6.56e+08,6.56e+08,-1.33e+08,-1.51e+08,1.969e+09,-1.534e+09,-4.17e+08,1.966e+09,-1.273e+09,2.77e+08,2.77e+08,-1.55e+09,-4e+07,6.3e+07,-1.03e+08,1.14e+08,-7.6e+07,-6.39e+08,-1.838e+09,-6.8e+08,3e+08,3e+08,1.1e+07,1.1e+07,8.4e+07,-2.85e+08,-1.57e+08,-1.57e+08,-4.2e+07,-1.99e+08,2.559e+09,2.9728e+10,1.367e+09,0.25978,0.11297,0.04336,0.03964,0.00783,1.96126,1.43253,4.06029,0.33414,1.06591,1.04045,24.58327,26.81144,2.09053,1.03991,4,0.01962,0.01947,0.97561,9.47167,13.34692
"13","2013_Q2",65.23203125,"Down",1.321e+10,-9.639e+09,3.571e+09,-2.164e+09,-1.39e+09,-5.62e+08,-2.12e+08,1.407e+09,-2.8e+08,-3.09e+08,2.9e+07,1.127e+09,1.127e+09,-2.46e+08,1e+06,8.82e+08,8.82e+08,-2e+06,8.8e+08,8.8e+08,5.982e+09,5.982e+09,9.843e+09,9.843e+09,1.5074e+10,1.1246e+10,9.3e+08,8.83e+09,4.2145e+10,1.6276e+10,1.171e+09,2.9151e+10,3.875e+09,6.84e+09,2.112e+09,1.6054e+10,4.6598e+10,8.8743e+10,1.2054e+10,6.221e+09,5.833e+09,1.1468e+10,5.452e+09,2.92e+09,2.532e+09,2.8974e+10,1.8572e+10,2.2879e+10,1.0999e+10,1.188e+10,4.1451e+10,7.0425e+10,4.51e+09,-1.0005e+10,3.0438e+10,-6.669e+09,1.8274e+10,4.4e+07,1.8318e+10,8.8743e+10,8.82e+08,7.23e+08,9.8e+07,9.8e+07,-2.79e+08,2.09e+08,3.08e+08,1.18e+08,-9.14e+08,1.424e+09,-1.056e+09,1.76e+08,1.76e+08,-1.232e+09,-2.5e+07,9.8e+07,-1.23e+08,9.8e+07,0,-4.76e+08,-1.459e+09,0,3.87e+08,3.87e+08,8e+06,8e+06,1.5e+08,5.45e+08,5.1e+08,5.1e+08,-1.8e+07,4.92e+08,2.13e+09,3.004e+10,1.041e+09,0.27033,0.10651,0.06662,0.04804,0.00992,1.18295,1.45458,3.84458,0.33851,1.34105,1.3103,20.13106,27.84822,1.58641,0,4,0.01235,0.01461,0,11.29484,17.09879
"14","2013_Q3",65.32890625,"Up",1.4621e+10,-1.0773e+10,3.848e+09,-2.106e+09,-1.421e+09,-5.48e+08,-1.37e+08,1.742e+09,-3.89e+08,-3.05e+08,-8.4e+07,1.353e+09,1.353e+09,-3.87e+08,-1e+06,9.65e+08,9.65e+08,-5e+06,9.6e+08,9.6e+08,6.11e+09,6.11e+09,9.396e+09,9.396e+09,1.3889e+10,1.141e+10,9.24e+08,8.946e+09,4.0805e+10,1.6352e+10,1.23e+09,2.8988e+10,3.764e+09,6.814e+09,2.153e+09,1.5969e+10,4.657e+10,8.7375e+10,1.264e+10,6.343e+09,5.909e+09,1.2367e+10,4.912e+09,2.738e+09,2.174e+09,2.9919e+10,1.7731e+10,2.2047e+10,1.0866e+10,1.1181e+10,3.9778e+10,6.9697e+10,4.591e+09,-1.094e+10,3.0668e+10,-6.698e+09,1.7621e+10,5.7e+07,1.7678e+10,8.7375e+10,9.65e+08,7.61e+08,1.38e+08,1.38e+08,1.305e+09,2.2e+07,1.056e+09,1.87e+08,4e+07,3.169e+09,-7.83e+08,1.82e+08,1.82e+08,-9.65e+08,-3.5e+07,1.09e+08,-1.44e+08,-2.4e+07,-2.6e+07,-4.99e+08,-1.341e+09,-3.42e+08,8.3e+08,8.3e+08,-9.52e+08,4.8e+07,-1.213e+09,-1.677e+09,1.51e+08,1.51e+08,-2.3e+07,1.28e+08,2.503e+09,3.0098e+10,3.412e+09,0.26318,0.11914,0.06566,0.0543,0.01099,3.55417,1.36385,3.94258,0.34447,1.47715,1.44862,22.49731,27.1134,5.25004,0.52623,5,0.01865,0.04887,0.35625,9.5837,13.77038
"15","2013_Q4",66.41265625,"Up",1.3423e+10,-9.774e+09,3.649e+09,-2.07e+09,-1.319e+09,-4.69e+08,-2.82e+08,1.579e+09,-3.18e+08,-2.94e+08,-2.4e+07,1.261e+09,1.261e+09,-3.1e+08,-1e+06,9.5e+08,9.5e+08,-4e+06,9.46e+08,9.46e+08,6.357e+09,6.357e+09,8.649e+09,8.649e+09,1.3392e+10,1.169e+10,9.88e+08,9.161e+09,4.0088e+10,1.6588e+10,1.329e+09,2.9267e+10,3.718e+09,6.968e+09,1.985e+09,1.6318e+10,4.7184e+10,8.7272e+10,1.2154e+10,6.28e+09,5.874e+09,1.2122e+10,4.843e+09,2.699e+09,2.144e+09,2.9119e+10,1.8064e+10,2.1912e+10,1.0785e+10,1.1127e+10,3.9976e+10,6.9095e+10,4.657e+09,-1.1914e+10,3.1614e+10,-6.247e+09,1.811e+10,6.7e+07,1.8177e+10,8.7272e+10,9.5e+08,7.79e+08,1.41e+08,1.41e+08,1.148e+09,7.61e+08,5.47e+08,-1.48e+08,-1.2e+07,3.018e+09,-7.31e+08,2.35e+08,2.35e+08,-9.66e+08,4.5e+07,9e+07,-4.5e+07,-9.9e+07,-1.67e+08,-4.93e+08,-1.278e+09,-3.88e+08,5.19e+08,5.19e+08,-9.79e+08,2.1e+07,-6.48e+08,-1.496e+09,2.44e+08,2.44e+08,3e+06,2.47e+08,2.358e+09,3.0186e+10,3.085e+09,0.27185,0.11763,0.07048,0.05204,0.01084,3.2611,1.3767,3.80123,0.34588,1.47974,1.45114,20.9964,28.32786,4.82559,0.60691,4,0.01898,0.0439,0.41015,10.1056,15.0912
"16","2014_Q1",73.8562295081967,"Up",1.4402e+10,-1.0541e+10,3.861e+09,-2.234e+09,-1.417e+09,-4.67e+08,-3.5e+08,1.627e+09,-2.4e+08,-2.84e+08,4.4e+07,1.387e+09,1.387e+09,-3.76e+08,-5e+06,1.006e+09,1.006e+09,-3e+06,1.003e+09,1.003e+09,6.081e+09,6.081e+09,8.413e+09,8.413e+09,1.2625e+10,1.1216e+10,9e+08,8.763e+09,3.8335e+10,1.7075e+10,1.397e+09,2.8089e+10,3.596e+09,6.956e+09,5.94e+08,1.6671e+10,4.6561e+10,8.4896e+10,1.2817e+10,6.56e+09,5.875e+09,1.0255e+10,4.225e+09,2.36e+09,1.865e+09,2.7297e+10,1.872e+10,1.8001e+10,6.973e+09,1.1028e+10,3.6721e+10,6.4018e+10,4.709e+09,-1.1854e+10,3.1854e+10,-3.898e+09,2.0811e+10,6.7e+07,2.0878e+10,8.4896e+10,1.006e+09,8.24e+08,1.05e+08,1.05e+08,6.45e+08,-1.57e+08,7.47e+08,-2.3e+07,7.8e+07,2.58e+09,-1.032e+09,2.51e+08,2.51e+08,-1.283e+09,6.2e+07,1.52e+08,-9e+07,1.95e+08,-2e+06,-1.93e+08,-9.68e+08,-3.81e+08,-1.805e+09,-1.805e+09,5.1e+07,5.1e+07,2.52e+08,-1.883e+09,-2.71e+08,-2.71e+08,-5e+06,-2.76e+08,2.451e+09,2.8975e+10,2.44e+09,0.26809,0.11297,0.06964,0.04804,0.01181,2.4327,1.40437,3.06629,0.3413,1.57853,1.54736,22.66604,32.7526,3.8401,0.59962,6,0.0204,0.03596,0.37986,9.34068,14.0713
"17","2014_Q2",82.6828571428571,"Up",1.3241e+10,-9.437e+09,3.804e+09,-2.246e+09,-1.292e+09,-5.08e+08,-4.46e+08,1.558e+09,-2.16e+08,-2.7e+08,5.4e+07,1.342e+09,1.342e+09,-4.18e+08,1e+06,9.25e+08,9.25e+08,-3e+06,9.22e+08,9.22e+08,5.345e+09,5.345e+09,8.565e+09,8.565e+09,1.2888e+10,1.117e+10,9.35e+08,8.834e+09,3.7968e+10,1.6716e+10,1.284e+09,2.8429e+10,3.509e+09,6.986e+09,7e+08,1.6968e+10,4.6429e+10,8.4397e+10,1.2419e+10,6.731e+09,5.688e+09,1.0513e+10,4.363e+09,2.5e+09,1.863e+09,2.7295e+10,1.8803e+10,1.793e+10,6.715e+09,1.1215e+10,3.6733e+10,6.4028e+10,4.773e+09,-1.3442e+10,3.2775e+10,-3.801e+09,2.0305e+10,6.4e+07,2.0369e+10,8.4397e+10,9.25e+08,7.81e+08,1.15e+08,1.15e+08,7.6e+07,-3.7e+07,-2.7e+08,4.03e+08,-2e+07,1.897e+09,-5.55e+08,1.84e+08,1.84e+08,-7.39e+08,1e+07,1.15e+08,-1.05e+08,8e+06,-5e+06,-4.11e+08,-9.48e+08,-3.83e+08,9.44e+08,9.44e+08,-1.646e+09,9.2e+07,-5.66e+08,-1.651e+09,-7.02e+08,-7.02e+08,-3.4e+07,-7.36e+08,2.339e+09,2.9316e+10,2.278e+09,0.28729,0.11766,0.06963,0.04526,0.01092,2.47072,1.39102,3.1434,0.34736,1.4712,1.4422,21.12813,32.39987,3.63491,0.61114,6,0.0193,0.03369,0.4154,10.2484,15.38575
"18","2014_Q3",84.04265625,"Up",1.415e+10,-1.0197e+10,3.953e+09,-2.325e+09,-1.437e+09,-5.16e+08,-3.72e+08,1.628e+09,-2.08e+08,-2.73e+08,6.5e+07,1.42e+09,1.42e+09,-4.19e+08,1e+06,1.002e+09,1.002e+09,-3e+06,9.99e+08,9.99e+08,7.927e+09,7.927e+09,8.057e+09,8.057e+09,1.3055e+10,1.2237e+10,1.307e+09,9.467e+09,4.1276e+10,1.669e+10,1.548e+09,2.8313e+10,3.398e+09,6.969e+09,7.37e+08,1.695e+10,4.6551e+10,8.7827e+10,1.3191e+10,6.86e+09,5.892e+09,1.2407e+10,4.143e+09,2.344e+09,1.799e+09,2.9741e+10,1.7812e+10,1.9351e+10,6.597e+09,1.2754e+10,3.7163e+10,6.6904e+10,4.89e+09,-1.3312e+10,3.2961e+10,-3.683e+09,2.0856e+10,6.7e+07,2.0923e+10,8.7827e+10,1.002e+09,7.89e+08,1.25e+08,1.25e+08,3.21e+08,2.88e+08,-1.69e+08,34999999.9999999,1.67e+08,2.237e+09,-5.38e+08,2.58e+08,2.58e+08,-7.96e+08,-4.61e+08,1.07e+08,-5.68e+08,1.16e+08,-1e+07,-5.51e+08,-1.434e+09,-3.74e+08,8.05e+08,8.05e+08,1.02e+08,1.02e+08,1.299e+09,1.832e+09,2.635e+09,2.635e+09,-5.3e+07,2.582e+09,2.417e+09,3.0219e+10,2.619e+09,0.27936,0.11505,0.0706,0.04775,0.01137,2.62162,1.38785,3.19763,0.34407,1.59508,1.56509,22.59301,33.30034,4.1817,0.59716,8,0.01948,0.03715,0.37437,9.22299999999978,13.69287
"19","2014_Q4",77.72421875,"Down",1.3549e+10,-9.634e+09,3.915e+09,-2.366e+09,-1.446e+09,-5.33e+08,-3.87e+08,1.549e+09,-1.68e+08,-2.85e+08,1.17e+08,1.381e+09,1.381e+09,-3.64e+08,4e+06,1.021e+09,1.021e+09,-4e+06,1.017e+09,1.017e+09,6.082e+09,6.082e+09,7.705e+09,7.705e+09,1.3328e+10,1.1927e+10,1.25e+09,9.307e+09,3.9042e+10,1.6431e+10,1.473e+09,2.7542e+10,3.21e+09,6.801e+09,7.61e+08,1.6505e+10,4.5446e+10,8.4488e+10,1.2983e+10,6.778e+09,6.205e+09,1.0586e+10,4.02e+09,2.165e+09,1.855e+09,2.7589e+10,1.8682e+10,1.9321e+10,6.539e+09,1.2782e+10,3.8003e+10,6.5592e+10,4.968e+09,-1.5765e+10,3.3977e+10,-4.357e+09,1.8823e+10,7.3e+07,1.8896e+10,8.4488e+10,1.021e+09,7.98e+08,8.7e+07,8.7e+07,1.46e+08,1.42e+08,-4.2e+08,8e+07,3.44e+08,2.052e+09,-6.08e+08,2.39e+08,2.39e+08,-8.47e+08,2.9e+07,1.25e+08,-9.6e+07,5.4e+07,-3e+06,-9.6e+07,-6.21e+08,-4.4e+08,-9.58e+08,-9.58e+08,-2.476e+09,2.4e+07,6.34e+08,-3.24e+09,-1.809e+09,-1.809e+09,-3.6e+07,-1.845e+09,2.347e+09,2.9268e+10,2.249e+09,0.28895,0.11433,0.07506,0.05382,0.01204,2.21141,1.41513,3.47121,0.34642,1.66312,1.63295,22.15699,30.78168,3.67784,0.71954,8,0.02159,0.03333,0.43265,9.87899,14.96837
"20","2015_Q1",66.902131147541,"Down",1.4244e+10,-1.145e+10,2.794e+09,-3.591e+09,-2.354e+09,-8.23e+08,-4.14e+08,-7.97e+08,-1.94e+08,-2.8e+08,8.6e+07,-9.91e+08,-9.91e+08,5.09e+08,2e+06,-4.8e+08,-4.8e+08,-6e+06,-4.86e+08,-4.86e+08,7.341e+09,7.341e+09,7.737e+09,7.737e+09,1.2205e+10,1.1584e+10,8.18e+08,9.027e+09,3.8867e+10,1.6577e+10,1.364e+09,2.7873e+10,3.076e+09,6.694e+09,1.404e+09,1.6442e+10,4.5814e+10,8.4681e+10,1.3435e+10,6.515e+09,6.496e+09,1.0982e+10,3.46e+09,1.697e+09,1.763e+09,2.7877e+10,1.8291e+10,2.1687e+10,8.963e+09,1.2724e+10,3.9978e+10,6.7855e+10,5.016e+09,-1.5726e+10,3.3887e+10,-6.431e+09,1.6746e+10,8e+07,1.6826e+10,8.4681e+10,-4.8e+08,7.95e+08,1.813e+09,2.767e+09,-2.57e+08,-2.3e+08,9.6e+08,-2.96e+08,-6.91e+08,1.871e+09,-7.74e+08,2.23e+08,2.23e+08,-9.97e+08,4.07e+08,4.63e+08,-5.6e+07,-8999999.99999999,-1.2e+07,-2.48e+08,-6.24e+08,-4.23e+08,2.52e+08,2.52e+08,2.1e+07,2.1e+07,2.13e+08,62999999.999999,1.31e+09,1.31e+09,-5.1e+07,1.259e+09,-2e+06,2.9273e+10,-1.542e+09,0.19615,-0.05595,-0.03412,-0.02888,-0.00574,3.17284,1.39423,4.03275,0.34569,-0.80424,-0.78999,23.57107,27.7114,-2.55171,0.69998,5,-0.00093,-0.02275,-0.87037,-10966,-27.51819
"21","2015_Q2",69.8036507936508,"Up",1.2702e+10,-8.76e+09,3.942e+09,-2.09e+09,-1.249e+09,-5.24e+08,-3.17e+08,1.852e+09,-8.5e+07,-2.79e+08,1.94e+08,1.767e+09,1.767e+09,-5.21e+08,2e+06,1.248e+09,1.248e+09,-3e+06,1.245e+09,1.245e+09,7.563e+09,7.563e+09,7.586e+09,7.586e+09,1.2099e+10,1.1243e+10,7.68e+08,9.037e+09,3.8491e+10,1.6277e+10,1.252e+09,2.647e+10,2.89e+09,6.493e+09,1.342e+09,1.5515e+10,4.3999e+10,8.249e+10,1.173e+10,6.328e+09,5.402e+09,1.1451e+10,3.385e+09,1.636e+09,1.749e+09,2.6566e+10,1.7308e+10,2.1578e+10,8.877e+09,1.2701e+10,3.8886e+10,6.5452e+10,5.101e+09,-1.6036e+10,3.4998e+10,-7.101e+09,1.6962e+10,7.6e+07,1.7038e+10,8.249e+10,1.248e+09,7.53e+08,-8.8e+07,-8.8e+07,-6.43e+08,6e+06,-8.9e+07,2.28e+08,-7.88e+08,1.27e+09,-6.59e+08,1.67e+08,1.67e+08,-8.26e+08,1.3e+07,8.3e+07,-7e+07,1.38e+08,-2.9e+07,1.24e+08,-3.84e+08,-4.24e+08,9.5e+08,9.5e+08,-3.68e+08,3.2e+07,-7.8e+08,-6.22e+08,2.64e+08,2.64e+08,-4.2e+07,2.22e+08,2.605e+09,2.8759e+10,1.824e+09,0.31034,0.1458,0.09802,0.07307,0.01509,1.46506,1.44888,3.84153,0.34864,2.05819,2.03199,20.99851,28.041,3.01537,0.70094,8,0.02477,0.02707,0.34056,8.13666,11.44492
"22","2015_Q3",62.64640625,"Down",1.2317e+10,-8.674e+09,3.643e+09,-2.162e+09,-1.318e+09,-5.1e+08,-3.34e+08,1.481e+09,-3.45e+08,-2.73e+08,-7.2e+07,1.136e+09,1.136e+09,-3.35e+08,2e+06,8.03e+08,8.03e+08,-1e+06,8.02e+08,8.02e+08,7.821e+09,7.821e+09,7.212e+09,7.212e+09,1.1681e+10,1.1513e+10,8.59e+08,9.213e+09,3.8227e+10,1.6136e+10,1.29e+09,2.6589e+10,2.863e+09,6.55e+09,1.473e+09,1.5474e+10,4.4015e+10,8.2242e+10,1.1245e+10,5.862e+09,4.92e+09,1.0849e+10,3.512e+09,1.754e+09,1.758e+09,2.5606e+10,1.7948e+10,2.1527e+10,8.759e+09,1.2768e+10,3.9475e+10,6.5081e+10,5.142e+09,-1.6144e+10,3.4823e+10,-6.729e+09,1.7092e+10,6.9e+07,1.7161e+10,8.2242e+10,8.03e+08,7.61e+08,2.3e+08,2.3e+08,2.94e+08,3.77e+08,4.21e+08,-5.54e+08,49999999.9999999,2.088e+09,-4.45e+08,2e+08,2e+08,-6.45e+08,-4e+06,4.5e+07,-4.9e+07,-3.3e+07,-3.4e+07,-2.25e+08,-7.07e+08,-4.22e+08,1.022e+09,1.022e+09,-1.24e+08,1e+06,-1.607e+09,-1.131e+09,2.5e+08,2.5e+08,8e+06,2.58e+08,2.242e+09,2.8797e+10,2.426e+09,0.29577,0.12024,0.06511,0.04673,0.00975,3.02494,1.49289,3.79238,0.35015,1.32958,1.31325,20.41943,28.33554,4.02188,0.6996,6,0.01814,0.03595,0.52618,9.35593000000141,14.1634
"23","2015_Q4",57.82421875,"Down",1.0962e+10,-7.872e+09,3.09e+09,-2.023e+09,-1.129e+09,-5.13e+08,-3.81e+08,1.067e+09,-2.84e+08,-2.69e+08,-1.5e+07,7.83e+08,7.83e+08,-2.18e+08,-3e+06,5.62e+08,5.62e+08,-3e+06,5.59e+08,5.59e+08,6.046e+09,6.046e+09,6.783e+09,6.783e+09,1.115e+10,1.1301e+10,9.93e+08,8.862e+09,3.528e+10,1.5955e+10,1.266e+09,2.6468e+10,2.841e+09,6.546e+09,1.559e+09,1.5291e+10,4.3689e+10,7.8969e+10,1.0706e+10,5.206e+09,5.5e+09,1.1807e+10,3.32e+09,1.61e+09,1.71e+09,2.5833e+10,1.6211e+10,2.0957e+10,8.638e+09,1.2319e+10,3.7168e+10,6.3001e+10,5.19e+09,-1.7642e+10,3.5191e+10,-6.843e+09,1.5896e+10,7.2e+07,1.5968e+10,7.8969e+10,5.62e+08,7.58e+08,1.81e+08,1.81e+08,5e+06,2.31e+08,5.08e+08,-5.67e+08,-1.67e+08,1.506e+09,-6.2e+08,1.06e+08,1.06e+08,-7.26e+08,-6.7e+07,1.1e+08,-1.77e+08,-7.1e+07,-7.7e+07,-1.24e+08,-8.82e+08,-4.63e+08,-5e+07,-5e+07,-1.499e+09,1e+06,-2.9e+08,-2.302e+09,-1.678e+09,-1.678e+09,-9.7e+07,-1.775e+09,1.825e+09,2.8018e+10,1.428e+09,0.28188,0.09734,0.05099,0.03501,0.00708,2.55456,1.3657,3.94545,0.3548,0.95003,0.93981,18.63018,27.01564,2.42692,0.78688,5,0.01574,0.02199,0.82826,12.03945,20.59231
"24","2016_Q1",56.2295081967213,"Down",1.103e+10,-8.24e+09,2.79e+09,-2.818e+09,-1.255e+09,-5.72e+08,-9.91e+08,-2.8e+07,-2.19e+08,-2.73e+08,5.4e+07,-2.47e+08,-2.47e+08,1.58e+08,-1e+06,-9e+07,-9e+07,-4e+06,-9.4e+07,-9.4e+07,6.46e+09,6.46e+09,6.695e+09,6.695e+09,9.7e+09,1.0653e+10,1.662e+09,8.991e+09,3.3508e+10,1.609e+10,1.17e+09,2.7574e+10,2.821e+09,6.615e+09,2.489e+09,1.5649e+10,4.4834e+10,7.8342e+10,1.1098e+10,5.023e+09,5.627e+09,1.2318e+10,2.826e+09,1.146e+09,1.68e+09,2.6242e+10,1.6209e+10,2.1006e+10,8.843e+09,1.2163e+10,3.7215e+10,6.3457e+10,5.238e+09,-1.764e+10,2.9246e+10,-2.035e+09,1.4809e+10,7.6e+07,1.4885e+10,7.8342e+10,-9e+07,7.74e+08,2e+06,3.09e+08,1.149e+09,1.5e+08,1.434e+09,-2.72e+08,-1.63e+08,1.835e+09,-7.77e+08,2.87e+08,2.87e+08,-1.064e+09,-7.6e+07,1.13e+08,-1.89e+08,-2.56e+08,-2.6e+08,-4.35e+08,-1.544e+09,-4.48e+08,1.1e+09,1.1e+09,-1000000.00000024,-1e+06,-4.9e+08,1.61e+08,4.52e+08,4.52e+08,-3.8e+07,4.14e+08,7.46e+08,2.8527e+10,9.6e+08,0.25295,-0.00254,-0.00852,-0.00632000000000001,-0.0012,-10.21277,1.27688,4.26315,0.36413,-0.16187,-0.16014,18.99432,25.50198,1.65318,0.77148,6,0.0055,0.0149,-4.76596,29.58043,-788.10714
"25","2016_Q2",63.4015625,"Up",9.461e+09,-6.822e+09,2.639e+09,-1.993e+09,-1.088e+09,-5.08e+08,-3.97e+08,6.46e+08,-2.81e+08,-2.81e+08,0,3.65e+08,3.65e+08,-9.2e+07,-1e+06,2.72e+08,2.72e+08,-1e+06,2.71e+08,2.71e+08,5.886e+09,5.886e+09,6.856e+09,6.856e+09,9.849e+09,1.1157e+10,1.847e+09,9.31e+09,3.3748e+10,1.5935e+10,1.159e+09,2.7465e+10,2.741e+09,6.71e+09,2.486e+09,1.5528e+10,4.4559e+10,7.8307e+10,9.969e+09,5.101e+09,4.868e+09,1.3312e+10,2.934e+09,1.328e+09,1.606e+09,2.6215e+10,1.5556e+10,2.0783e+10,8.6e+09,1.2183e+10,3.6339e+10,6.2554e+10,5.247e+09,-1.7595e+10,2.9517e+10,-1.493e+09,1.5676e+10,7.7e+07,1.5753e+10,7.8307e+10,2.72e+08,7.4e+08,2.69e+08,2.69e+08,-7.91e+08,1.4e+07,-7.4e+07,2.11e+08,-9.42e+08,4.9e+08,-5.67e+08,1.73e+08,1.73e+08,-7.4e+08,-1.3e+07,4.9e+07,-6.2e+07,-1.2e+07,-1.2e+07,2e+07,-5.72e+08,-4.48e+08,4.86e+08,4.86e+08,-4.5e+07,-4.5e+07,-4.96e+08,-5.03e+08,-5.85e+08,-5.85e+08,1.1e+07,-5.74e+08,1.386e+09,2.8868e+10,1.2e+08,0.27893,0.06828,0.02864,0.0172,0.00346,0.4428,1.28735,3.97093,0.36865,0.465,0.46112,16.2337,26.89774,0.2059,0.7687,5,0.01099,0.00183,1.65314,16.58153,35.57585
