"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",11.03875,"Up",3526000,-8083000,-4557000,-3317000,-2171000,-1146000,-7874000,303000,-25000,350000,52000,-7571000,-11384000,-11384000,-11384000,-10953000,-10953000,41367000,41367000,2624000,2624000,9511000,1305000,1305000,54807000,41904000,4425000,705000,2357000,1363000,46329000,101136000,8964000,4581000,4383000,1917000,10932000,5922000,352000,-2.22044604925031e-16,6274000,17206000,168591000,-90298000,5565000,83858000,83930000,101136000,-11384000,2069000,5450000,1550000,-2315000,-647000,-647000,825000,693000,-2269000,-2269000,-250000,-2519000,-5805000,7839000,-1.2924,-2.23313,-3.10635,-0.1305,-0.1083,5.01345,0.205,0.07751,-3.95272,-3.95272,1.27246,30.26272,-0.1189,5.77571,4.25806
"12","2014_Q1",12.7795081967213,"Up",3384000,-6884000,-3500000,-4112000,-2923000,-1189000,-7612000,-268000,1999.99999999999,-248000,55000,-7880000,-17952000,-17952000,-17952000,-17857000,-17857000,36272000,36272000,2272000,2272000,10500000,1080000,1080000,50124000,30473000,5108000,1379000,2275000,1395000,35581000,85705000,10359000,3534000,6825000,2294000,12704000,6169000,339000,0,6508000,19212000,169114000,-108155000,5557000,66516000,66493000,85705000,-17952000,2065000,12305000,-1078000,-4660000,-189000,-1077000,620000,620000,-5117000,-5117000,21999.9999999999,-5095000,-5547000,8463000,-1.03428,-2.24941,-5.27689,-0.26855,-0.20835,3.94553,0.28893,0.09875,-6.42708,-6.42708,1.21797,23.9404,-0.23716,5.01334,3.65331
"13","2014_Q2",10.3796825396825,"Down",3417000,-5754000,-2337000,-3770000,-2644000,-1126000,-6107000,-243000,-37000,-197000,54000,-6350000,-6350000,-6350000,-6350000,-6292000,-6292000,28122000,28122000,2550000,2550000,11342000,1149000,1149000,43163000,29487000,5180000,1431000,2220000,1470000,34667000,77830000,8257000,2455000,5802000,2243000,10551000,5755000,327000,-1.77635683940025e-15,6082000,16633000,169505000,-114447000,6075000,61133000,61197000,77830000,-6350000,1566000,801000,-1445000,-5428000,-563000,-2364000,-562000,-559000,-8351000,-8351000,201000,-8150000,-4541000,7998000,-0.68393,-1.78724,-1.84138,-0.10282,-0.08084,4.09089,0.27179,0.10276,-2.26461,-2.26461,1.22984,22.00295,-0.0905,4.43162,3.29523
"14","2014_Q3",7.97203125,"Down",4171000,-7308000,-3137000,-3482000,-2263000,-1219000,-6619000,191000,-999.999999999985,207000,52000,-6428000,-6428000,-6428000,-6428000,-6409000,-6409000,21511000,21511000,2592000,2592000,10809000,1975000,1975000,36887000,28384000,5089000,1481000,2220000,1330000,33473000,70360000,8431000,3854000,4577000,2115000,10597000,5145000,314000,0,5459000,16056000,170046000,-120856000,5070000,54260000,54304000,70360000,-6428000,1563000,1137000,-475000,-4203000,-974000,-1498000,-654000,-654000,-6355000,-6355000,-256000,-6611000,-5056000,7260000,-0.7521,-1.58691,-1.53656,-0.11802,-0.09109,3.48089,0.29567,0.10318,-2.29862,-2.29862,1.49595,19.46058,-0.10357,2.81863,2.15304
"15","2014_Q4",5.59796875,"Down",4615000,-7408000,-2793000,-3555000,-2530000,-1025000,-6348000,-73000,-23000,-81000,53000,-6421000,-6421000,-6421000,-6421000,-6405000,-6405000,16084000,16084000,2898000,2898000,9756000,1597000,1597000,30335000,27329000,4988000,1556000,2239000,1134000,32317000,62652000,6778000,2555000,4223000,2060000,8889000,4673000,301000,2.8421709430404e-14,4974000,13863000,170538000,-127261000,5485000,48762000,48789000,62652000,-6421000,1824000,1413000,-952000,-4136000,-645000,-689000,-697000,-688000,-5513000,-5513000,86000,-5427000,-4524000,6733000,-0.6052,-1.37551,-1.38787,-0.13128,-0.10223,3.41264,0.28414,0.10747,-2.25124,-2.25124,1.62209,17.13894,-0.11474,2.06698,1.47306
"16","2015_Q1",11.3350819672131,"Up",2278000,-5322000,-3044000,-2671000,-1842000,-829000,-5715000,304000,-22000,-2999.99999999994,360000,-5411000,-5411000,-5411000,-5411000,-5369000,-5369000,12649000,12649000,2171000,2171000,9212000,1909000,1909000,25941000,27063000,4613000,1586000,2204000,764000,31676000,57617000,7535000,2675000,4860000,1934000,9469000,4256000,0,0,4256000,13725000,170953000,-132630000,5583000,43906000,43892000,57617000,-5411000,1661000,793000,1026000,-1931000,-809000,-952000,-563000,-563000,-3446000,-3446000,11000.0000000001,-3435000,-4054000,6190000,-1.33626,-2.50878,-2.35689,-0.12232,-0.09318,2.73957,0.3127,0.10743,-1.88737,-1.88737,0.80079,15.43432,-0.1072,1.59324,1.13018
"17","2015_Q2",8.03698412698413,"Down",2928000,-4471000,-1543000,-2899000,-2151000,-748000,-4442000,71000,-24000,1e+05,30000,-4371000,-4371000,-4371000,-4371000,-4331000,-4331000,8723000,8723000,2066000,2066000,8788000,1755000,1755000,21332000,24676000,4268000,1530000,2119000,562000,28944000,50276000,5944000,1605000,4339000,1797000,7741000,3723000,0,0,3723000,11464000,171400000,-136961000,4426000,38865000,38812000,50276000,-4371000,1307000,715000,-324000,-2673000,-616000,-612000,-469000,-469000,-3754000,-3754000,-172000,-3926000,-3135000,5520000,-0.52698,-1.51708,-1.47917,-0.11159,-0.08614,2.75572,0.29537,0.10979,-1.52253,-1.52253,1.02932,13.66273,-0.09769,1.02169,0.72107
"18","2015_Q3",4.90578125,"Down",4566000,-5217000,-651000,-2488000,-1876000,-612000,-3139000,-52000,-24000,-36000,29000,-3191000,-2904000,-2905000,-2905000,-2902000,-2902000,6734000,6734000,2907000,2907000,7519000,1375000,1375000,18535000,23866000,4109000,1492000,2074000,487000,27975000,46510000,5724000,2294000,3430000,1695000,7419000,3295000,0,0,3295000,10714000,171653000,-139863000,3936000,35726000,35796000,46510000,-2905000,1202000,265000,79000,-1359000,-435000,-84000,-449000,-449000,-1892000,-1892000,-97000,-1989000,-1937000,4990000,-0.14258,-0.68747,-0.63557,-0.08107,-0.0624,2.49832,0.29931,0.10729,-1.01882,-1.01882,1.60301,12.54248,-0.07115,0.90036,0.55559
"19","2015_Q4",4.356875,"Down",3508000,-4367000,-859000,-2215000,-1621000,-594000,-3074000,28000,-26000,-15000,29000,-3046000,-3046000,-3046000,-3046000,-3041000,-3041000,6016000,6016000,2161000,2161000,6618000,1029000,1029000,15824000,23483000,4386000,1481000,2135000,713000,27869000,43693000,5451000,1806000,3645000,1457000,6908000,3126000,-7.27595761418343e-12,0,3126000,10034000,171920000,-142904000,4580000,33596000,33659000,43693000,-3046000,1330000,1002000,818000,104000,-285000,-261000,-535000,-535000,-692000,-692000,-26000,-718000,-1744000,4583000,-0.24487,-0.87628,-0.86688,-0.09035,-0.0696,2.29068,0.29811,0.10489,-1.05444,-1.05444,1.21637,11.6491,-0.07952,0.82167,0.46617
"20","2016_Q1",3.23950819672131,"Down",3122000,-4159000,-1037000,-1827000,-1338000,-489000,-2864000,-66000,-20000,-37000,31000,-2930000,-2996000,-2996000,-2996000,-3e+06,-3e+06,4808000,4808000,2049000,2049000,5924000,891000,891000,13672000,20779000,4069000,1353000,2014000,648000,24848000,38520000,5247000,1650000,3597000,1068000,6315000,2839000,0,0,2839000,9154000,172117000,-145904000,3083000,29296000,29366000,38520000,-2996000,1130000,616000,653000,-597000,-164000,-183000,-355000,-355000,-1135000,-1135000,-73000,-1208000,-1734000,3907000,-0.33216,-0.91736,-0.96092,-0.10216,-0.07788,2.165,0.31172,0.10143,-1.03199,-1.03199,1.07396,10.07774,-0.09016,0.51961,0.31459
"21","2016_Q2",2.104375,"Down",2963000,-4407000,-1444000,-1688000,-1087000,-601000,-3132000,-183000,-16000,-185000,26000,-3315000,-3315000,-3315000,-3315000,-3312000,-3312000,3469000,3469000,1993000,1993000,5210000,1042000,1042000,11714000,19531000,4013000,1311000,2008000,640000,23544000,35258000,5770000,1749000,4021000,703000,6473000,2756000,1.16415321826935e-10,-1.16415321826935e-10,2756000,9229000,172159000,-149216000,3019000,25962000,26029000,35258000,-3315000,1316000,502000,934000,-563000,-361000,-361000,-437000,-437000,-1361000,-1361000,22000,-1339000,-1816000,3459000,-0.48734,-1.05704,-1.11779,-0.12724,-0.09394,1.80967,0.35457,0.09811,-1.13987,-1.13987,1.01975,8.93516,-0.11232,0.00551000000000013,0.00318999999999997
"22","2016_Q3",6.17765625,"Up",2916000,-3711000,-795000,-1825000,-1203000,-622000,-2620000,225000,-13000,203000,27000,-2395000,-2545000,-2545000,-2545000,-2539000,-2539000,5306000,5306000,1185000,1185000,4964000,1025000,1025000,12480000,17962000,3904000,1262000,1982000,607000,21866000,34346000,5034000,1528000,3506000,509000,5543000,2627000,2955000,2955000,5582000,11125000,172317000,-151755000,2596000,23158000,23221000,34346000,-2545000,1285000,265000,-18000,-1013000,-152000,-152000,-254000,2746000,1581000,1581000,256000,1837000,-1335000,3136000,-0.27263,-0.89849,-0.87071,-0.10934,-0.07392,2.25149,0.47909,0.09131,-0.87299,-0.87299,1.00261,7.96245,-0.08662,1.62547,0.82824
"23","2016_Q4",4.40507936507936,"Down",2378000,-3828000,-1450000,-1661000,-1267000,-394000,-3111000,-122000,-13000,-78000,48000,-3233000,-3263000,-3263000,-3263000,-3253000,-3253000,3530000,3530000,1099000,1099000,4398000,840000,840000,9867000,17007000,3831000,1246000,1930000,601000,20838000,30705000,4319000,1701000,2618000,342000,4661000,2602000,3011000,3011000,5613000,10274000,172416000,-155008000,2972000,20380000,20431000,30705000,-3263000,1448000,790000,-308000,-1333000,154000,138000,-254000,-254000,-1449000,-1449000,-327000,-1776000,-1663000,2944000,-0.60976,-1.30824,-1.36796,-0.15922,-0.10594,2.11693,0.50286,0.09588,-1.10873,-1.10873,0.8105,6.94615,-0.12329,0.35238,0.18836
"24","2017_Q1",3.25983870967742,"Down",1883000,-3132000,-1249000,-1619000,-1210000,-409000,-2868000,-22000,-10000,4000,-16000,-2890000,-12181000,-12181000,-12181000,-12171000,-12171000,6030000,6030000,9e+05,9e+05,4067000,640000,640000,11637000,8813000,1785000,44000,1368000,373000,10598000,22235000,4087000,1326000,2761000,314000,4901000,2595000,3097000,3097000,5692000,10593000,175384000,-167179000,3398000,11603000,11642000,22235000,-12181000,1477000,9835000,339000,-530000,-159000,-160000,-120000,3265000,2575000,2575000,-75000.0000000001,2500000,-1391000,2909000,-0.6633,-1.5231,-6.46362,-1.04544,-0.54738,2.37441,0.9099,0.13083,-4.07329,-4.07329,0.63019,3.8832,-0.68965,2.24371,1.08821
"25","2017_Q2",2.9715873015873,"Down",2702000,-2586000,116000,-1299000,-1100000,-199000,-1183000,407000,-9000,-51000,476000,-776000,-696000,-696000,-696000,-690000,-690000,4827000,4827000,1526000,1526000,3777000,788000,788000,10918000,8451000,1728000,60000,1314000,354000,10179000,21097000,3680000,1184000,2496000,313000,4493000,2504000,3083000,3083000,5587000,10080000,175467000,-167869000,3385000,10983000,11017000,21097000,-696000,335000,208000,-968000,-1121000,-69000,-28000,-79000,-79000,-1228000,-1228000,25000,-1203000,-848000,2817000,0.04293,-0.43782,-0.25537,-0.0626300000000002,-0.0327100000000001,2.43,0.91495,0.13353,-0.19613,-0.19613,0.76805,3.12194,-0.04079,2.37028,1.69907
"26","2017_Q3",2.06650793650794,"Down",1830000,-1823000,7000,-1136000,-941000,-195000,-1129000,-20000.0000000001,-8000,-30000,20000,-1149000,-1149000,-1149000,-1149000,-1142000,-1142000,4068000,4068000,1075000,1075000,3782000,589000,589000,9514000,8588000,1761000,63000,1330000,368000,10349000,19863000,6321000,1079000,5242000,327000,7148000,2521000,0,0,2521000,9669000,175548000,-169011000,3634000,10171000,10194000,19863000,-1149000,252000,417000,-158000,-638000,-28000,-10000,-79000,-79000,-727000,-727000,-32000,-759000,-877000,2848000,0.00382999999999998,-0.61694,-0.62404,-0.11203,-0.05749,1.331,0.9485,0.14338,-0.323330000000001,-0.32333,0.51812,2.87967,-0.08756,1.39111,1.0806
"27","2017_Q4",3.3215873015873,"Up",2111000,-2297000,-186000,-1136000,-879000,-257000,-1322000,55000,-9000,35000,29000,-1267000,-1586000,-1586000,-1586000,-1586000,-1586000,3137000,3137000,1277000,1277000,3369000,537000,537000,8320000,8558000,1419000,63000,995000,361000,9977000,18297000,6274000,837000,5437000,335000,7109000,2484000,0,4.65661287307739e-10,2484000,9593000,175568000,-170597000,3733000,8704000,8704000,18297000,-1586000,262000,951000,-485000,-858000,50000,49000,-82000,-128000,-937000,-937000,6000,-931000,-1060000,2819000,-0.08811,-0.62624,-0.7513,-0.18222,-0.08668,1.17035,1.10214,0.15407,-0.44752,-0.44752,0.59565,2.45598,-0.13764,0.3,0.24054
"28","2018_Q1",4.27393442622951,"Up",2571000,-2426000,145000,-988000,-788000,-2e+05,-843000,134000,-8000,73000,69000,-709000,-673000,-673000,-673000,-673000,-673000,3582000,3582000,1111000,1111000,2946000,405000,405000,8044000,8275000,1351000,104000,992000,255000,9626000,17670000,6627000,1145000,5482000,335000,7462000,2391000,0,0,2391000,9853000,175386000,-171270000,3701000,7817000,7817000,17670000,-673000,247000,211000,723000,508000,21000,20000,-83000,-83000,445000,445000,3.63797880709171e-12,445000,-596000,2726000,0.0564,-0.32789,-0.26177,-0.08609,-0.03809,1.078,1.26046,0.15427,-0.18788,-0.18788,0.71776,2.1823,-0.06383,1.43624,1.01542
"29","2018_Q2",3.980625,"Down",2003000,-1951000,52000,-917000,-733000,-184000,-865000,473000,-8000,-17000,498000,-392000,-392000,-392000,-392000,-392000,-392000,3400000,3400000,1307000,1307000,2614000,216000,216000,7537000,8099000,1355000,109000,998000,248000,9454000,16991000,6357000,725000,5632000,339000,7196000,2320000,0,0,2320000,9516000,175410000,-171662000,3727000,7475000,7475000,16991000,-392000,238000,230000,-136000,-60000,-94000,-93000,-84000,-84000,-237000,-237000,55000,-182000,-627000,2659000,0.02596,-0.43185,-0.19571,-0.05244,-0.02307,1.04739,1.27304,0.15649,-0.11061,-0.11061,0.56518,2.1092,-0.03868,1.18182,0.85665
"30","2018_Q3",4.03539682539683,"Up",1543000,-1987000,-444000,-1004000,-781000,-223000,-1448000,107000,-7000,65000,49000,-1341000,-1132000,-1132000,-1132000,-1132000,-1132000,3857000,3857000,335000,335000,2411000,357000,357000,6960000,7951000,1379000,109000,1023000,247000,9330000,16290000,6669000,882000,5787000,349000,7518000,2296000,0,0,2296000,9814000,175434000,-172794000,3836000,6476000,6476000,16290000,-1132000,282000,21999.9999999999,1050000,222000,290000,289000,-89000,-89000,422000,422000,35000,457000,-1166000,2645000,-0.28775,-0.93843,-0.73364,-0.1748,-0.06949,0.92578,1.51544,0.16237,-0.31932,-0.31932,0.43526,1.8268,-0.12411,1.03945,0.83702
"31","2018_Q4",3.8252380952381,"Down",1999000,-1837000,162000,-1095000,-799000,-296000,-933000,26000,-7000,-45000,78000,-907000,-326000,-326000,-326000,-326000,-326000,3739000,3739000,310000,310000,2290000,286000,286000,6625000,7629000,1348000,103000,999000,246000,8977000,15602000,6483000,807000,5676000,342000,7325000,2151000,0,1.81898940354586e-12,2151000,9476000,175487000,-173120000,3759000,6126000,6126000,15602000,-326000,246000,-444000,89000,-435000,467000,467000,-82000,-82000,-50000,-50000,-68000,-118000,-687000,2493000,0.08104,-0.46673,-0.16308,-0.05322,-0.02089,0.90444,1.54685,0.15979,-0.09183,-0.09183,0.5631,1.72563,-0.03782,1.81368,1.33548
"32","2019_Q1",3.16147540983607,"Down",1950000,-2155000,-205000,-1125000,-871000,-254000,-1330000,87000,-5000,-55000,155000,-1243000,-1131000,-1131000,-1131000,-1131000,-1131000,3421000,3421000,282000,282000,1818000,340000,340000,5861000,7213000,1176000,98000,914000,164000,8389000,14250000,6399000,894000,5505000,335000,7234000,2013000,0,0,2013000,9247000,175527000,-174251000,3727000,5003000,5003000,14250000,-1131000,232000,-355000,350000,-904000,496000,550000,-76000,-76000,-430000,-430000,112000,-318000,-1098000,2348000,-0.10513,-0.68205,-0.58,-0.22606,-0.07937,0.8102,1.84829,0.16477,-0.31761,-0.31761,0.5476,1.40494,-0.15386,0.97723,0.80677
