"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",6.06484375,"Up",46758568,-42636191,4122377,-4380524,-4380524,-258147,-220977,-229732,8755,-479124,-479124,262348,-216776,-216776,-216776,-216776,4267155,4267155,16960147,16960147,47645109,5069162,1641071,426674,73941573,27302052,10482315,6022472,847883,37784367,111725940,28924239,24095906,4828333,658491,29582730,23186504,7375943,3881037,30562447,60145177,20317869,31262894,51580763,51580763,111725940,-216776,1057948,130738,-1902467,-930557,-2764571,-2764571,-80171,450869,370698,-3324430,-3324430,-3324430,799801,23844995,-4129585,0.08816,-0.00552,-0.00464,-0.0042,-0.00194,19.05001,2.49948,1.16604,0.21342,-0.05515,-0.05408,11.89663,13.12353,-1.05068,-0.00262,-0.04987,24.47839,-75.8398899999999
"12","2014_Q1",9.98967213114754,"Up",51322342,-45628141,5694201,-4632670,-4632670,1061531,-126784,-205442,78658,934747,934747,-614700,320047,320047,320047,320047,4607731,4607731,19421252,19421252,50644741,4265783,1882680,524268,78939507,28567052,10082358,5949434,910025,38649410,117588917,37468073,31347354,6120719,661086,38129159,21152238,6323789,3377079,27476027,65605186,20400791,31582940,51983731,51983731,117588917,320047,1095457,-277272,3493432,4631664,-2362417,-2340417,-40902,-1909769,-1950671,340576,340576,340576,2156988,21813324,3902703,0.11095,0.02068,0.00624,0.00616,0.00272,12.19416,2.07032,1.26203,0.1855,0.08128,0.07945,13.03329,13.20125,0.99109,0.00399,0.04871,7.97668,16.20828
"13","2014_Q2",10.7571428571429,"Up",56166061,-49877653,6288408,-4855558,-4855558,1432850,-192511,-213960,21449,1240339,1240339,-272875,967464,967464,967464,967464,2797537,2797537,19520637,19520637,52442681,3689516,1586109,459619,78450371,32293609,9882132,5862188,797045,42175741,120626112,38804336,32745601,6058735,663710,39569081,21831383,6239925,3325247,28071308,67640389,20435319,32550404,52985723,52985723,120626112,967464,1172137,78438,157302,2375341,-4900370,-4900370,-24999,739834,714835,-1810194,-1810194,-1810194,2604987,22495093,-1865206,0.11196,0.02551,0.01723,0.01826,0.00802,-1.92793,1.98262,1.27658,0.18649,0.24423,0.2412,14.17894,13.37607,-0.47087,0.01184,-0.02282,7.56148,13.74712
"14","2014_Q3",10.50046875,"Down",56577287,-50581151,5996136,-4839754,-4839754,1156382,-206570,-236094,29524,949812,949812,-165155,784657,784657,784657,784657,5076820,5076820,18880069,18880069,50487435,3879989,1821846,390305,78324313,32523164,9757516,5775710,758907,42280680,120604993,33700210,27502540,6197670,1140123,35074679,25524404,6207223,3286884,31731627,66806306,20463625,33335062,53798687,53798687,120604993,784657,1214730,423177,-2534955,-112391,-1444284,-1444284,72453153,-68316785,3835958,2279283,2279283,2279283,2371112,26664527,-1442972,0.10598,0.02044,0.01387,0.01459,0.00651,-1.83898,2.23307,1.24178,0.22109,0.19808,0.19392,14.28275,13.5813,-0.36427,0.00905,-0.01665,9.10447,18.66832
"15","2014_Q4",7.1509375,"Down",54175196,-49357816,4817380,-4725540,-4725540,91840,-222023,-257098,35075,-130183,-130183,873974,743791,743791,743791,743791,3879181,3879181,19675393,19675393,56192478,3734172,1671113,79940,83481224,32792293,9695302,5689232,783171,42487595,125968819,35509422,30156167,5353255,1146783,36783638,28971328,5563920,3264067,34535248,71318886,20571080,34078853,54649933,54649933,125968819,743791,1215859,-805314,-4357680,-3203344,-1513037,-1513037,29444378,-25925636,3518742,-1197639,-1197639,-1197639,1307699,30118111,-5436992,0.08892,0.0017,0.01373,0.01361,0.0059,-7.30984,2.26952,1.30501,0.23909,0.1875,0.18096,13.6571,13.77678,-1.37062,0.00823,-0.06019,20.06496,285.70264
"16","2015_Q1",6.59524590163934,"Down",55567396,-49842322,5725074,-4779662,-4779662,945412,-220556,-258886,38330,724856,724856,-302077,422779,422779,422779,422779,5440319,5440319,19293791,19293791,53728377,4707993,1826254,356746,83170480,32692908,9616043,5602754,790390,42308951,125479431,33694153,27141079,6553074,3235709,37010798,26621501,6440789,3223129,33062290,70073088,20904712,34501631,55406343,55406343,125479431,422779,1188937,343347,942162,2897225,-508348,-508348,22138476,-22966215,-827739,1561138,1561138,1561138,2134349,29857210,2870240,0.10303,0.01701,0.00761,0.00763,0.00337,6.78897999999999,2.24719,1.26471,0.23795,0.10601,0.10236,13.93265,13.89227,0.71967,0.00461,0.0313,11.43997,25.82672
"17","2015_Q2",8.13587301587302,"Up",54947477,-50201029,4746448,-4514211,-4514211,232237,-216671,-256547,39876,15566,15566,1244,16810,16810,16810,16810,2454303,2454303,19793046,19793046,57545337,5273774,1896509,452936,85066460,33629990,9727523,5501240,1003384,43357513,128423973,36945390,30975751,5969639,3168044,40113434,26422092,6379677,3162017,32801769,72915203,20990329,34518441,55508770,55508770,128423973,16810,1210235,166789,-1975022,-581188,-2038346,-2038346,47379541,-47746023,-366482,-2986016,-2986016,-2986016,1442472,29590136,-2572140,0.08638,0.00423,0.00031,3e-04,0.00013,-153.01249,2.12065,1.31358,0.23041,0.00417,0.00409,13.63957,13.7789,-0.63848,0.000179999999999999,-0.02812,18.81203,116.84543
"18","2015_Q3",6.5915625,"Down",61533519,-55719766,5813753,-4847801,-4847801,965952,-242698,-278516,35818,723254,723254,-576825,146429,146429,146429,146429,2273584,2273584,20476029,20476029,59087958,4611909,1817960,190616,86449480,33868615,9681917,5392208,1066810,43550532,130000012,36730565,30466623,6263942,3677485,40408050,27636170,6204830,2987170,33841000,74249050,21086091,34664871,55750962,55750962,130000012,146429,1252010,81932,-1886907,-406536,-278661,-278661,31752558,-31248080,504478,-180719,-180719,-180719,2217962,31313655,629219,0.09448,0.0157,0.00238,0.00263,0.00113,4.29709,2.13941,1.3318,0.24087,0.03621,0.03544,15.2151,13.78528,0.15558,0.00157,0.00675,13.09313,30.06368
"19","2015_Q4",6.78546875,"Up",53702613,-48007248,5695365,-4907243,-4907243,788122,-225999,-262163,36164,562123,562123,1957,564080,564080,564080,564080,2267284,2267284,18604517,18604517,68646204,5784038,2379021,492768,95302043,33712993,9730621,5283176,1224546,43443614,138745657,40344998,34357440,5987558,1815954,42160952,34127725,6077767,2860107,40205492,82366444,21150263,35228950,56379213,56379213,138745657,564080,1256508,300690,-5480478,-3359200,-1066612,-1066612,69840569,-65421057,4419512,-6300,-6300,-6300,2044630,35943679,-4504417,0.10605,0.01468,0.0105,0.01001,0.00407,-7.98542,2.26043,1.46094,0.25906,0.13914,0.13666,13.24634,13.90655,-1.11106,0.00573,-0.04578,16.47065,42.72993
"20","2016_Q1",6.65327868852459,"Down",60053552,-54240280,5813272,-5162382,-5162382,650890,-247372,-284097,36725,403518,403518,-227425,176093,176093,176093,176093,2868217,2868217,20170723,20170723,68669709,2670498,2103367,486085,94379147,33864527,10082879,5174144,1319901,43947406,138326553,41511821,35838275,5673546,1836514,43489632,34654706,3496828,2759835,38151534,81641166,21280344,35405043,56685387,56685387,138326553,176093,1266519,-337373,333190.999999999,1438430,-2122416,-1418770,17652648,-17071375,581273,600933,600933,600933,1917409,36491220,355608.999999999,0.0968,0.01084,0.00293,0.00311,0.00127,2.01944,2.17015,1.44025,0.2638,0.04336,0.04294,14.78776,13.95837,0.0875700000000001,0.00182,0.00368,17.53564,51.65697
"21","2016_Q2",5.96453125,"Down",64220946,-57990672,6230274,-5045353,-5045353,1184921,-222598,-263179,40581,962323,962323,-303517,658806,658806,658806,658806,2921024,2921024,20687556,20687556,67420476,4984011,2503499,329560,96013067,33413581,9437440,5058790,1155751,42851021,138864088,44346703,38212661,6134042,1971961,46326250,29419502,5223258,2673022,34642760,80969010,21831228,36063850,57895078,57895078,138864088,658806,1290963,25424,3534339,5509532,295059,372807,15488057,-21317589,-5829532,52807,52807,52807,2475884,31391463,6608799,0.09701,0.01845,0.01026,0.01138,0.00474,10.03148,2.07254,1.39855,0.22606,0.15881,0.1571,15.48132,13.95639,1.59314,0.00697,0.06993,11.4991,24.02729
"22","2016_Q3",5.96984375,"Up",69723493,-62126480,7597013,-5534075,-5534075,2062938,-205902,-251108,45206,1857036,1857036,-700738,1156298,1156298,1156298,1156298,4577202,4577202,22382064,22382064,67356773,5117046,2564091,274085,99433085,33022722,9265960,4940275,1102786,42288682,141721767,46614274,39561595,7052679,1970624,49052119,28114095,5071804,2584045,33185899,82238018,22263602,37220147,59483749,59483749,141721767,1156298,1281677,336815,1177833,3952623,-902764,-891872,86101311,-87505884,-1404573,1656178,1656178,1656178,3344615,30084719,4320422,0.10896,0.02959,0.01658,0.01944,0.00816,3.73643,2.02709,1.38253,0.21228,0.27751,0.26964,16.73332,14.27582,1.03688,0.01222,0.04565,7.62644,12.36466
"23","2016_Q4",5.11936507936508,"Down",59206344,-53498248,5708096,-5120848,-5120848,587248,-209649,-250313,40664,377599,377599,-158871,218728,218728,218728,218728,3506609,3506609,20621784,20621784,69550176,4119584,2925413,1194171,97798153,33181712,9539676,4821760,1184888,42721388,140519541,45586179,39305461,6280718,2045035,47841737,29084405,3731773,2537117,32816178,80657915,22422751,37438875,59861626,59861626,140519541,218728,1293388,929568,-3008924,-567240,-886884,-860384,75576969,-75219938,357031,-1070593,-1070593,-1070593,1880636,31129440,-1856301,0.09641,0.00992,0.00369,0.00365,0.00156,-8.4868,2.0442,1.34741,0.22153,0.05245,0.05164,14.19754,14.35468,-0.44514,0.00231,-0.0196,14.68803,47.03776
"24","2017_Q1",4.51645161290323,"Down",60753363,-54770215,5983148,-5493935,-5493935,489213,-200975,-240388,39413,288238,288238,-239411,48827,48827,48827,48827,4325268,4325268,17844228,17844228,67649022,4272366,2128128,1369391,94090884,33080858,9577599,4703245,1418398,42658457,136749341,43983234,37011786,6971448,2003075,45986309,26789910,3897244,2541624,30687154,76673463,22588176,37487702,60075878,60075878,136749341,48827,1253348,659098,2440673,4401946,-1037354,-1152494,17152286,-19583079,-2430793,818659,818659,818659,1742561,28792985,3385291,0.09848,0.00805,8e-04,0.00081,0.00036,69.33236,2.04606,1.27628,0.21055,0.0117,0.01168,14.55503,14.39272,0.81103,0.00053,0.03649,14.04124,50.01445
"25","2017_Q2",5.98539682539683,"Up",59184975,-53414741,5770234,-5359535,-5359535,410699,-183841,-243243,59402,226858,226858,-80261,146597,146597,146597,146597,4140600,4140600,19362950,19362950,72412182,3969589,1882357,1343448,99885321,33850844,9045185,4581830,978843,42896029,142781350,46097531,40064103,6033428,2243117,48384556,30521633,3560256,2241264,34081889,82466445,22680606,37634299,60314905,60314905,142781350,146597,1269941,182452,-3462633,-1863643,-1244331,-1244331,22017658,-19094352,2923306,-184668,-184668,-184668,1680640,32764750,-2946063,0.09749,0.00694,0.00248,0.00243,0.00103,-20.09634,2.06441,1.36726,0.22947,0.03504,0.03478,14.1457,14.41576,-0.70413,0.00152,-0.03048,17.0317,69.69618
"26","2017_Q3",7.72571428571429,"Up",66159942,-60340917,5819025,-5555741,-5555741,263284,-236668,-276538,39870,26616,26616,6678.99999999999,33295,33295,33295,33295,3320993,3320993,21241217,21241217,69954378,4416401,1898499,1624235,98932989,33597144,8795437,4458965,843762,42392581,141325570,44816339,38319850,6496489,2244967,47116802,30176094,3584000,2191474,33760094,80876896,22781080,37667594,60448674,60448674,141325570,33295,1245459,197884,-926772.000000001,549866,-657323,-657323,19692911,-20405061,-712149.999999999,-819607,-819607,-819607,1508743,32421061,-82030.9999999991,0.08795,0.00398,5e-04,0.00055,0.00024,-2.46375999999998,2.09974,1.33794,0.22941,0.00795000000000001,0.00786,15.80598,14.44153,-0.0196000000000002,0.00035,-0.00085,19.28762,110.52729
"27","2017_Q4",9.61206349206349,"Up",62164167,-56477208,5686959,-5353020,-5353020,333939,-244903,-273439,28536,89036,89036,-136888,-47852,-47852,-47852,-47852,3097237,3097237,20715951,20715951,68371266,4397462,2336272,1361821,96581916,33648994,8780082,4336100,1041149,42429076,139010992,43893832,37857243,6036589,2362614,46514897,29027809,2954217,2043253,31982026,78496923,22894327,37619742,60514069,60514069,139010992,-47852,1248827,-143235,1126425,2184165,-1311669,-1311669,18457001,-19553253,-1096252,-223756,-223756,-223756,1582766,31390423,1534410,0.09148,0.00537,-0.00077,-0.00079,-0.00034,-32.06574,2.07637,1.29717,0.22581,-0.01143,-0.01134,14.84761,14.45349,0.36649,-5e-04,0.01618,17.87579,84.72561
"28","2018_Q1",7.90491803278689,"Down",65861091,-57962001,7899090,-5640814,-5640814,2258276,-103103,-342633,239530,2155173,2155173,-897007,1258166,1258166,1258166,1258166,3493324,3493324,26656871,26656871,73571238,5310480,2971087,1999602,109031913,33008714,9145037,4213235,1472816,42153751,151185664,52972052,46160395,6811657,2569294,55611214,30557071,3145234,1783943,33702305,89313519,22994237,38877908,61872145,61872145,151185664,1258166,944649,488861,-3615825,-924149,-292163,-292163,35610186,-33997787,1612399,396087,396087,396087,3202925,33126365,191944,0.11994,0.03429,0.0191,0.02033,0.00832,0.152560000000008,1.96061,1.44352,0.21911,0.30041,0.3007,15.72535,14.77293,0.04583,0.01282,0.00196,9.25187,13.12197
"29","2018_Q2",6.576875,"Down",71224293,-64467239,6757054,-5912146,-5912146,844908,-264063,-308414,44351,580845,580845,-197963,382882,382882,382882,382882,1957292,1957292,26039115,26039115,81294687,4654387,2053540,2067823,113945481,36210595,8653913,4100644,1094283,44864508,158809989,57367415,50615009,6752406,2814445,60450477,32865842,3129442,1765600,35995284,96445761,23103438,39260790,62364228,62364228,158809989,382882,1275044,227358,-1486015,399269,-3823955,-3823955,3250603,-1361949,1888654,-1536032,-1536032,-1536032,2119952,35680287,-2992055,0.09487,0.01186,0.00538,0.00614,0.00241,-7.81456,1.88494,1.54649,0.22467,0.09125,0.08968,16.97439,14.86283,-0.71308,0.00378,-0.02957,15.90743,39.91322
"30","2018_Q3",6.95888888888889,"Up",72959074,-65855506,7103568,-5642273,-5642273,1461295,-309841,-345656,35815,1151454,1151454,-415339,736115,736115,736115,736115,2443852,2443852,26614409,26614409,80955631,4806538,1725393,2521804,114820430,35765579,8873281,3993160,1102564,44638860,159459290,52516356,45468809,7047547,4202132,56971893,36394129,2975527,1626977,39369656,96341549,23120836,39996905,63117741,63117741,159459290,736115,1285158,-198787,-5095218,-3272732,591843.999999999,655245.999999999,6511150.00000001,-3407104,3104046,486560,486560,486560,2746453,40596261,-1341582,0.09736,0.02003,0.01009,0.01166,0.00462,-1.82252,2.01539,1.52638,0.25459,0.17521,0.16975,17.36524,15.02287,-0.31931,0.0069,-0.01257,13.89152,26.10863
"31","2018_Q4",4.04365079365079,"Down",65733723,-59836383,5897340,-5637680,-5637680,259660,-375532,-423584,48052,-115872,-115872,147210,31338,31338,31338,31338,2543294,2543294,26685952,26685952,86257520,6443513,2427051,2230790,121930279,35734560,8467515,3885676,1075961,44202075,166132354,53194143,46264080,6930063,3420033,56614176,43337678,2978344,2001044,46316022,102930198,23173913,40028243,63202156,63202156,166132354,31338,1284490,-1125,-5930617,-4615914,-419193,-231200,2386668,2559888,4946556,99442,99442,99442,1544150,46757711,-4952870,0.08972,0.00395,0.00048,5e-04,0.00019,-158.04678,2.15371,1.62859,0.28145,0.00744,0.00717,15.61532,15.01394,-1.17658,0.000280000000000001,-0.04385,28.6335,170.27812
"32","2019_Q1",2.83524590163934,"Down",68214619,-61369663,6844956,-5897840,-5897840,947116,-443436,-459792,16356,503680,-5918749,1526544,-4392205,-4392205,-4392205,-4392205,1721599,1721599,26638367,26638367,86929793,4739967,1948748,1135810,120029726,35288997,5911247,3088085,1713481,41200244,161229970,55987949,49326402,6661547,3390537,59378486,41081725,1959808,1959808,43041533,102420019,23173913,35636038,58809951,58809951,161229970,-4392205,1273605,4878136,761362,2520898,-80066.0000000002,-80066.0000000002,318916957,-322179484,-3262527,-821695,-821695,-821695,2220721,44472262,1375473,0.10034,0.01388,-0.06439,-0.07468,-0.02724,-0.313160000000067,2.02143,1.74154,0.27583,-1.04206,-1.14192,16.18401,13.95274,0.32633,-0.04173,0.01307,19.2508,45.13773
"33","2019_Q2",2.63396825396825,"Down",71414057,-65625001,5789056,-5934116,-5934116,-145060,-578553,-553490,-25063,-723613,-723613,197006,-526607,-526607,-526607,-526607,1805098,1805098,31161032,31161032,88012795,4729764,1837615,1150473,125708689,34705443,5968522,2993980,1613703,40673965,166382654,57524562,50749140,6775422,3330981,60855543,45357923,1885844,1885844,47243767,108099310,23173913,35109431,58283344,58283344,166382654,-526607,1267528,-118786,-4063231,-3441096,-706808,-706808,82497770,-78266367,4231403,83499,83499,83499,1122468,48688904,-3844577,0.08106,-0.00203,-0.00737,-0.00903999999999998,-0.00317,7.30066,2.06569,1.85472,0.29263,-0.12468,-0.12468,16.90811,13.79926,-0.91025,-0.00484,-0.03532,41.7685,-323.20285
