"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",45.8848387096774,"Up",779500000,-586900000,192600000,-109300000,-109300000,83300000,-10200000,-10200000,-10600000,4e+05,73100000,73100000,-17900000,55200000,55200000,-9e+05,54300000,54300000,466500000,466500000,185800000,185800000,594900000,151400000,108500000,1398600000,566800000,1458300000,302500000,1144900000,10900000,2025100000,3423700000,5.13e+08,292700000,7900000,212400000,83800000,602900000,781700000,262200000,52300000,131300000,78600000,1043900000,1646800000,6.98e+08,1093700000,-56600000,1735100000,41800000,1776900000,3423700000,55200000,31900000,1100000,-16400000,71800000,-21299999,-7700000,-27499999,-7900000,-45400000,1400000,8e+05,-51100000,-6799999,-6799999,1700000,-5099999,115200000,865500000,95400001,0.24708,0.10686,0.06966,0.03056,0.01586,1.75691,2.31979,0.92678,0.2528,1.29594,1.29286,18.60382,41.4105,2.27685,0.18854,7,0.02141,0.03284,0.14549,3.46354,4.78992
"12","2013_Q1",49.3935,"Up",715600000,-554900000,160700000,-113600000,-113600000,47100000,-10500000,-10500000,-10900000,4e+05,36600000,36600000,-5700000,30900000,30900000,-1e+06,29900000,29900000,4.46e+08,4.46e+08,375300000,375300000,5.57e+08,161600000,112900000,1539900000,573100000,1456100000,293200000,1.151e+09,11900000,2029200000,3569100000,463800000,251800000,8500000,203500000,63800000,533900000,754700000,2.84e+08,69200000,1.32e+08,82800000,1038700000,1572600000,903700000,1.115e+09,-65300000,1953400000,43100000,1996500000,3569100000,30900000,3.1e+07,6300000,7300000,75500000,-24200001,-7400000,-35100001,-7900000,-45300000,203600000,-1900000,148500000,188899999,188899999,6e+05,189499999,78100000,818500000,66899999,0.22457,0.06582,0.04178,0.01498,0.00838,2.23746,2.88425,0.78768,0.22933,0.71021,0.70519,16.99762,46.39905,1.58907,0.18765,5,0.0122,0.02159,0.26421,4.76953,7.9087
"13","2013_Q2",47.56265625,"Down",778200000,-578700000,199500000,-123600000,-123600000,75900000,-9900000,-9900000,-10600000,7e+05,6.6e+07,6.6e+07,-15300000,50700000,50700000,-1200000,49500000,49500000,509300000,509300000,411900000,411900000,573100000,158400000,113400000,1652700000,577800000,1447900000,2.82e+08,1153400000,12500000,2025700000,3678400000,524600000,3.28e+08,8500000,188100000,67700000,601400000,754500000,279600000,68700000,1.3e+08,80900000,1034100000,1635500000,907700000,1.156e+09,-64700000,1.999e+09,43900000,2042900000,3678400000,50700000,31600000,1700000,-1.8e+07,6.6e+07,-20600000,-6e+06,-26800000,-8500000,3700000,1200000,6e+05,-3e+06,36200000,36200000,4e+05,36600000,107500000,822200000,84200000,0.25636,0.09753,0.06361,0.02423,0.01346,1.70101,2.74809,0.80058,0.22352,1.1,1.09272,17.29333,44.42222,1.87111,0.18889,6,0.01844,0.02678,0.17172,2.9107,4.12253
"14","2013_Q3",56.6934375,"Up",8.22e+08,-612800000,209200000,-128100000,-128100000,81100000,-9600000,-9600000,-10700000,1100000,71500000,71500000,-17900000,53600000,53600000,-2500000,51100000,51100000,512299999,512299999,414400000,414400000,581700000,1.67e+08,113500000,1675399999,568300000,1424400000,269300000,1142700000,12400000,1992700000,3668099999,548299999,334700000,9e+06,204599999,11100000,581499999,757500000,2.75e+08,69800000,1.31e+08,74200000,1032500000,1613999999,910500000,1.198e+09,-100200000,2008300000,45800000,2054100000,3668099999,53600000,31800000,3300000,2600000,91300000,-26600000,0,-26600000,-8500000,-53600000,1000000.00000003,1e+05,-6.1e+07,3700000,3700000,-1200000,2499999.99999999,112900000,768600000,106800000,0.2545,0.09866,0.06217,0.02488,0.01393,2.09002,2.88117,0.78575,0.20954,1.13556,1.12804,18.26667,44.62889,2.37333,0.18889,5,0.01924,0.03448,0.16634,2.27015,3.1603
"15","2013_Q4",64.92484375,"Up",768200000,-571700000,196500000,-117700000,-117700000,78800000,-9300000,-9300000,-10600000,1300000,69500000,69500000,-1.5e+07,54500000,54500000,-1900000,52600000,52600000,481900000,481900000,462700000,462700000,606100000,166800000,118500000,1717500000,572600000,1419200000,259600000,1143900000,15700000,1991800000,3709300000,544800000,319300000,9e+06,216500000,159600000,720100000,609100000,263899999,67099999,124300000,72500000,872999999,1593099999,913500000,1241600000,-84700000,2070400000,45800000,2116200000,3709299999,54500000,31700000,2700000,-7700000,81200000,-16500000,-1e+05,-18700000,-9100000,-4900000,1e+05,-2e+06,-15900000,46600000,46600000,1700000,48300000,110500000,768700000,101300000,0.25579,0.10258,0.06847,0.02486,0.01418,1.92586,2.38509,0.75281,0.20724,1.16889,1.16115,17.07111,46.00889,2.25111,0.20222,6,0.01959,0.03217,0.173,2.59548,3.63959
"16","2014_Q1",63.2424590163934,"Down",727300000,-549300000,1.78e+08,-124800000,-124800000,53200000,-8700000,-8700000,-10500000,1800000,44500000,-36500000,3700000,-32800000,-32800000,-4e+05,-33200000,-33200000,4.66e+08,4.66e+08,463800000,463800000,618700000,177400000,130600000,1725900000,573400000,1344200000,244200000,1081900000,18100000,1917600000,3643500000,531200000,304600000,9e+06,217600000,158400000,700900000,6.09e+08,231200000,39700000,140300000,51200000,840200000,1541100000,916600000,1199400000,-59800000,2056200000,46200000,2102400000,3643500000,-32800000,33400000,86700000,-20800000,66500000,-17300000,-32300000,-53300000,-9e+06,-1600000,-8e+05,4e+05,-1.1e+07,2200000,2200000,1100000,3300000,86600000,767400000,44800000,0.24474,0.07315,-0.04565,-0.01579,-0.00911,-1.3494,2.46241,0.73302,0.21062,-0.73778,-0.72648,16.16222,45.69333,0.99556,0.2,4,-0.0078,0.01445,-0.27108,3.48037,5.66541
"17","2014_Q2",60.6587301587302,"Down",801200000,-606800000,194400000,-124700000,-124700000,69700000,-8700000,-8700000,-10400000,1700000,6.1e+07,6.1e+07,-1.6e+07,4.5e+07,4.5e+07,-1200000,43800000,43800000,543800000,543800000,406400000,406400000,6.46e+08,162100000,112100000,1758300000,582700000,1385500000,242200000,1123400000,19900000,1968200000,3726500000,579300000,361200000,9e+06,209100000,158900000,754400000,608900000,231700000,40800000,142500000,48400000,840600000,1.595e+09,920300000,1234200000,-69800000,2084700000,46800000,2131500000,3726500000,4.5e+07,32799999,1800000,-33800000,45799999,-22300000,-77300000,-94700000,-9e+06,3e+05,6e+05,1e+06,-7100000,-56000001,-56000001,-3600000,-59600001,102499999,767800000,62399999,0.24264,0.08699,0.05467,0.02055,0.01175,1.42466,2.33073,0.7483,0.20604,0.97333,0.96476,17.80444,46.32667,1.38667,0.2,4,0.01686,0.01993,0.20548,2.18537,3.21377
"18","2014_Q3",60.21375,"Down",850400000,-639400000,2.11e+08,-122300000,-122300000,88700000,-8600000,-8600000,-10300000,1700000,80100000,79100000,-2.1e+07,58100000,58100000,-1900000,56200000,56200000,565200000,565200000,445300000,445300000,659400000,171700000,126700000,1841600000,5.8e+08,1377800000,233700000,1121400000,22700000,1957800000,3799400000,596400000,364500000,9900000,2.22e+08,158200000,761900000,608800000,234300000,4.1e+07,145200000,48100000,843100000,1.605e+09,9.23e+08,1280400000,-57400000,2.146e+09,48400000,2194400000,3799400000,58100000,35200001,4500000.00000001,1700000,99500001,-20500000,-3e+05,-42400000,-9100000,-7e+05,200000.000000001,-8400000,-1.8e+07,39100001,39100001,-2e+05,38900001,123900001,7.67e+08,126100001,0.24812,0.1043,0.06609,0.02561,0.01479,2.24377,2.41712,0.73141,0.20187,1.24612,1.23516,18.85588,47.58315,2.79601,0.20177,5,0.02043,0.03946,0.16192,1.62873,2.27508
"19","2014_Q4",60.58796875,"Up",829800000,-6.26e+08,203800000,-129100000,-129100000,74700000,-7800000,-7800000,-9800000,2e+06,66900000,66900000,-18100000,48800000,48800000,-1300000,47500000,47500000,545700000,545700000,327300000,327300000,681700000,1.64e+08,116500000,1718700000,5.72e+08,1380700000,234900000,1126300000,19500000,1952700000,3671400000,576499999,347900000,9800000,218799999,8300000,592599999,668600000,233500000,4e+07,144900000,48600000,902100000,1494699999,890300000,1318100000,-77300000,2131100000,45600000,2176700000,3671399999,48800000,35600000,4300000,-6900000,81800000,-17600000,-49899999,-65199999,-9900000,-9e+07,-3.5e+07,-3e+05,-135200000,-118599999,-118599999,6e+05,-117999999,110300000,676900000,103900000,0.2456,0.09002,0.05724,0.02182,0.01294,2.18737,2.90027,0.68668,0.18437,1.05322,1.05088,18.39911,47.25277,2.30377,0.21951,6,0.01859,0.03366,0.20842,1.18948,1.75636
"20","2015_Q1",62.6506557377049,"Up",775700000,-587600000,188100000,-140199999,-140199999,47900001,-6100000,-6100000,-8600000,2500000,41800001,-116699999,9e+05,-115799999,-115799999,-7e+05,-116499999,-116499999,447500000,447500000,334100000,334100000,691700000,111200000,111200000,1584500000,531500000,1241200000,202300000,1.004e+09,1.7e+07,1772700000,3357200000,523200000,312200000,9800000,201200000,7800000,560700000,624700000,192500000,6.5e+07,66900000,60600000,817200000,1377900000,896500000,1188900000,-1.51e+08,1934400000,44900000,1979300000,3357200000,-115800000,35100000,152800000,-1e+06,71100000,-10700000,2e+05,-2600000.00000006,-9800000,-42800000,100000.000000007,-5200000,-57700000.0000001,10800000,10800000,-4e+06,6799999.99999997,83000001,632500000,70400001,0.24249,0.06175,-0.15019,-0.05886,-0.0347,-0.604290000000001,2.82593,0.69616,0.1884,-2.60626,-2.58889,17.35347,43.27517,1.57494,0.21924,5,-0.03805,0.0251,-0.08412,2.22892,3.86221
"21","2015_Q2",73.3268253968254,"Up",911700000,-690800000,220900000,-157300000,-157300000,63600000,-12400000,-12400000,-13600000,1200000,51200000,51200000,-13300000,37900000,37900000,-1500000,36400000,36400000,582500000,582500000,229700000,229700000,784100000,204300000,128100000,1800600000,714800000,2452100000,856500000,1561100000,34500000,3166900000,4967500000,623400000,390200000,9800000,223400000,71300000,721300000,1875600000,380800000,107200000,205900000,67700000,2256400000,2977700000,902100000,1215500000,-172100000,1945500000,44300000,1989800000,4967500000,37900000,35900000,3900000,-60200000,17500000,-19900000,-1392500000,-1408100000,-9800000,1313100000,3e+06,-18200000,1288100000,-102500000,-102500000,-1900000,-104400000,99500000,1946900000,32700000,0.24229,0.06976,0.03993,0.01829,0.00733,0.89835,2.49633,1.49648,0.39193,0.81432,0.8071,20.39597,43.52349,0.73154,0.21924,4,0.0107,0.00757,0.26923,13.71256,21.45283
"22","2015_Q3",64.851875,"Down",942200000,-690800000,251400000,-148200000,-148200000,103200000,-15500000,-15500000,-16400000,9e+05,87700000,87700000,-22800000,64900000,64900000,-2100000,62800000,62800000,580300000,580300000,247600000,247600000,768600000,224200000,1.34e+08,1820700000,7.1e+08,2434300000,822700000,1.569e+09,42600000,3144300000,4.965e+09,607300000,382900000,10300000,214100000,75600000,712700000,1817400000,397100000,110800000,221600000,64700000,2214500000,2927200000,905500000,1267900000,-181400000,1.992e+09,45800000,2037800000,4.965e+09,64900000,42200000,4200000,6900000,118200000,-1.7e+07,-8e+06,-37100000,-9900000,-53699999.9999998,7e+05,1e+05,-62800000,18300000,18300000,-4e+05,17900000,145400000,1.893e+09,158100000,0.26682,0.10953,0.06665,0.03082,0.01265,2.51752,2.55465,1.43645,0.38127,1.40179,1.38938,21.03125,44.46429,3.52902,0.22098,6,0.0168,0.03653,0.15764,9.0282,12.71996
"23","2015_Q4",66.64796875,"Up",882300000,-641200000,241100000,-1.41e+08,-1.41e+08,100100000,-14100000,-14100000,-15100000,1e+06,8.6e+07,8.6e+07,-21700000,64300000,64300000,-9e+05,63400000,63400000,5.51e+08,5.51e+08,254600000,254600000,745800000,233900000,135600000,1785300000,694800000,2398300000,804900000,1.564e+09,29400000,3093100000,4878400000,583800000,353300000,10300000,220200000,4.9e+07,680400000,1764700000,402800000,109200000,223600000,7e+07,2167500000,2847900000,897500000,1320700000,-233200000,1.985e+09,45500000,2030500000,4878400000,64300000,4.2e+07,4500000,20700000,131500000,-20700000,-2e+05,-18800000,-10200000,-79100000,-11900000,-1e+05,-101300000,11400000,11400000,-4400000,7e+06,142100000,1813700000,163800000,0.27326,0.11345,0.07186,0.03122,0.013,2.5836,2.6239,1.40256,0.37178,1.41203,1.40889,19.65033,44.20935,3.64811,0.22717,6,0.01733,0.03857,0.16088,8.886,12.61439
"24","2016_Q1",63.2785245901639,"Down",773500000,-553700000,219800000,-1.54e+08,-1.54e+08,65800000,-13900000,-13900000,-15100000,1200000,51900000,-2.8e+07,9400000,-18600000,-18600000,-7e+05,-19300000,-19300000,4.62e+08,4.62e+08,252900000,252900000,7.75e+08,145300000,145300000,1635200000,678500000,2.278e+09,777800000,1465600000,1.6e+07,2956500000,4591700000,561800000,336200000,10300000,215300000,6300000,612800000,1715600000,280500000,105900000,100900000,73700000,1996100000,2608900000,901200000,1291100000,-2.55e+08,1937300000,45500000,1982800000,4591700000,-18600000,39300000,86900000,9500000,117100000,-18800000,-7e+05,-23600000,-10300000,-77200000,299999,-3400000,-90600001,2899999,2899999,-4600000,-1700001,105100000,1721900000,86400000,0.28416,0.08507,-0.02495,-0.00973,-0.0042,-4.47668,2.66841,1.31577,0.375,-0.43468,-0.42794,17.42117,43.63288,1.94595,0.23198,4,-0.00226,0.02168,-0.53368,11.98763,19.14742
"25","2016_Q2",73.21921875,"Up",818200000,-600800000,217400000,-148100000,-148100000,69300000,-13900000,-13900000,-1.5e+07,1100000,55400000,55400000,-12700000,42700000,42700000,-1100000,41600000,41600000,498100000,498100000,249100000,249100000,756800000,145500000,145500000,1649500000,673400000,2277300000,7.68e+08,1472400000,15400000,2950700000,4600200000,541700000,338500000,10300000,192900000,6100000,581900000,1699300000,282800000,106100000,106400000,70300000,1982100000,2.564e+09,897700000,1322500000,-221300000,1998900000,37300000,2036200000,4600200000,42700000,40100000,3900000,-28100000,58600000,-14900000,48557915.4095275,-16600000,-10200000,-17300000,5e+05,-2e+07,-4.7e+07,-5e+06,-5e+06,1200000,-3800000,109400000,1705400000,79100000,0.26571,0.0847,0.05084,0.02043,0.00904,1.90144,2.83468,1.25921,0.37072,0.93065,0.92444,18.30425,44.71812,1.76957,0.22819,8,0.01287,0.01966,0.24519,11.03565,17.42136
"26","2016_Q3",76.30328125,"Up",838600000,-615700000,222900000,-131500000,-131500000,91400000,-13600000,-13600000,-14800000,1200000,77800000,77800000,-19400000,58400000,58400000,-1800000,56600000,56600000,522500000,522500000,271500000,271500000,711400000,131400000,131400000,1636800000,654300000,2249500000,749100000,1.466e+09,13200000,2903800000,4540600000,560400000,341400000,10700000,208300000,3600000,599800000,1610500000,280400000,106200000,105800000,68400000,1890900000,2490700000,899400000,1368400000,-255800000,2.012e+09,37900000,2049900000,4540600000,58400000,38900000,-7399999.99999999,27600000,117500000,-16700000,2.5e+07,14500000,-10300000,-92600000,0,-1800000,-104700000,27300000,27300000,-4900000,22400000,130300000,1614100000,160600000,0.2658,0.10899,0.06749,0.02761,0.01247,2.83746,2.72891,1.21503,0.35548,1.26622,1.25778,18.76063,45.01119,3.59284,0.23043,6,0.01696,0.04072,0.18198,8.37759,11.94311
