"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",26.786875,"Down",110010000,-50091000,59919000,-49914000,-49914000,10005000,-42000,-42000,9963000,11489000,-3310000,8179000,8179000,8210000,8210000,141484000,141484000,66675000,66675000,175136000,36571000,36571000,419866000,46289000,49224000,22434000,26790000,95513000,515379000,60191000,24421000,35770000,60191000,28315000,5689000,22626000,28315000,88506000,161161000,-112328000,279032000,97075000,424940000,426873000,515379000,8179000,2756000,-684000,-28031000,-17780000,-6555000,-4359000,-603000,-2342000,-24481000,-24481000,-1924000,-26405000,12761000,0,-18515000,0.54467,0.09095,0.07463,0.01923,0.01593,-2.25518,6.97556,0.20734,0,0.32168,0.31732,4.3104,16.64995,-0.72545,0.02083,-0.04068,-11.08722,-14.14133
"12","2013_Q3",32.21171875,"Up",138301000,-63483000,74818000,-57778000,-57778000,17040000,-99000,-99000,16941000,16941000,-4287000,12654000,12654000,12454000,12454000,151516000,151516000,74567000,74567000,182718000,38426000,38426000,447227000,47296000,49118000,21667000,27451000,96414000,543641000,77221000,31169000,46052000,77221000,28422000,3880000,24542000,28422000,105643000,162699000,-115172000,290209000,98113000,435849000,437998000,543641000,12654000,3013000,322000.000000002,1596000,17585000,-3815000,-3815000,460000,-3660000,10110000,10110000,-78000.0000000005,10032000,20053000,0,22121000,0.54098,0.12321,0.09005,0.02843,0.02291,1.77622,5.79152,0.2412,0,0.48715,0.48185,5.40978,17.04866,0.86528,0.02944,0.04743,-7.55578,-8.89178
"13","2013_Q4",36.9040625,"Up",189685000,-88415000,101270000,-67186000,-67186000,34084000,-1e+05,-1e+05,33984000,33984000,-10569000,23415000,23415000,23020000,23020000,163146000,163146000,120043000,120043000,178714000,35429000,35429000,497332000,46512000,51147000,21881000,29266000,97659000,594991000,103064000,36620000,66444000,103064000,29259000,3930000,25329000,29259000,132323000,164239000,-119312000,311174000,103974000,460075000,462668000,594991000,23415000,2924000,2260000,-11788000,16811000,-1750000,-1750000,477000,-5718000,9343000,9343000,2287000,11630000,37008000,0,34039000,0.53389,0.17969,0.12136,0.04975,0.03869,1.47867,4.82547,0.286,0,0.90292,0.8908,7.44009,18.0457,1.33512,0.05097,0.0692,-4.4084,-4.78659
"14","2014_Q1",33.6260655737705,"Down",132259000,-63005000,69254000,-62641000,-62641000,6613000,-109000,-109000,6504000,6504000,792999.999999998,7297000,7297000,7193000,7193000,190758000,157659000,68683000,68683000,181305000,44564000,44564000,485310000,47796000,45504000,14891000,30613000,93300000,578610000,83593000,33598000,49995000,83593000,29027000,3518000,25509000,29027000,112620000,165674000,-122406000,316334000,103702000,463304000,465990000,578610000,7297000,3540000,10606000,16457000,37900000,-4872000,-37971000,276000,-4795000,-4866000,-4866000,-621000,-5487000,10153000,1.81898940354586e-12,20945000,0.52362,0.05,0.05439,0.01544,0.01243,2.91186,5.80563,0.24168,-3.3881317890172e-21,0.28272,0.27842,5.19845,18.2102,0.82325,0.01864,0.04231,-18.78834,-28.84591
"15","2014_Q2",33.3880952380952,"Down",120921000,-55770000,65151000,-54230000,-54230000,10921000,-59000,-59000,10862000,10862000,-3433000,7429000,7429000,7365000,7365000,171890000,137827000,77395000,77395000,184443000,47228000,47228000,480956000,46806000,47122000,15058000,32064000,93928000,574884000,68275000,25644000,42631000,68275000,31036000,3792000,27244000,31036000,99311000,168401000,-128657000,321176000,111832000,472752000,475573000,574884000,7429000,3022000,1876000,-24380000,-12053000,-1543000,-1543000,-466000,-8301000,-21897000,-21897000,2065000,-19832000,13943000,0,-8547000,0.53879,0.09032,0.06091,0.01549,0.01281,-1.16049,7.04439,0.20882,0,0.29082,0.28662,4.77477,18.6674,-0.33749,0.01952,-0.01687,-12.32805,-15.7394
"16","2014_Q3",32.48828125,"Down",143591000,-65985000,77606000,-60438000,-60438000,17168000,-89000,-89000,17079000,17079000,-4909000,12170000,12170000,12151000,12151000,169649000,169649000,91214000,91214000,195331000,41018000,41018000,497212000,46141000,48090000,14604000,33486000,94231000,591443000,82757000,37604000,45153000,82757000,31423000,3360000,28063000,31423000,114180000,171758000,-131112000,330791000,103075000,474512000,477263000,591443000,12170000,3075000,1487000,-10358000,6374000,-2783000,31260000,1778000,-3130000,34504000,34504000,-2682000,31822000,20243000,-2.91038304567337e-11,12011000,0.54047,0.11956,0.08462,0.02546,0.02054,0.988479999999999,6.0081,0.23924,5.42101086242752e-20,0.47869,0.47328,5.65675,18.69335,0.47317,0.02887,0.02361,-8.38063,-9.8817
"17","2014_Q4",25.86703125,"Down",188557000,-88715000,99842000,-66509000,-66509000,33333000,-27000,-27000,33306000,33306000,-10889000,22417000,22417000,22209000,22209000,157937000,157937000,128638000,128638000,182663000,37927000,37927000,507165000,45340000,49264000,13899000,35365000,94604000,601769000,92392000,29746000,62646000,92392000,32567000,3578000,28989000,32567000,124959000,173567000,-136579000,350468000,86882000,474338000,476810000,601769000,22417000,3098000,946000,-19433000,7028000,-3234000,-4434000,-70000,-8068000,-5474000,-5474000,-6238000,-11712000,36431000,0,24653000,0.52951,0.17678,0.11778,0.04658,0.03691,1.11005,5.48927,0.26207,0,0.87692,0.867,7.44519,18.72929,0.97343,0.04857,0.0484,-4.33524,-4.73816
"18","2015_Q1",20.9227868852459,"Down",133911000,-66528000,67383000,-57318000,-57318000,10065000,-148000,-148000,9917000,9917000,-33000,9884000,9884000,10051000,10051000,199852000,199852000,74106000,74106000,170788000,34097000,34097000,478843000,46673000,57507000,19985000,37522000,104180000,583023000,65847000,27767000,30933000,65847000,32891000,3695000,29196000,32891000,98738000,175160000,-149811000,358006000,98854000,482209000,484285000,583023000,9884000,3274000,11366000,33723000,58247000,-3690000,-3690000,-936000,-16681000,37876000,37876000,4039000,41915000,13339000,0,43405000,0.50319,0.07516,0.07506,0.02075,0.01724,4.31848,7.27205,0.20388,-4.33680868994202e-19,0.40093,0.39668,5.3417,19.23527,1.73142,0.02429,0.08393,-14.98253,-19.85614
"19","2015_Q2",24.1319047619048,"Up",120461000,-58012000,62449000,-55574000,-55574000,6875000,-99000,-99000,6776000,6776000,-3135000,3641000,3641000,3622000,3622000,185828000,185828000,73472000,73472000,183904000,37705000,37705000,480909000,44354000,59274000,19791000,39483000,103628000,584537000,89676000,25647000,62899000,89676000,34211000,3727000,30484000,34211000,123887000,176859000,-172515000,358992000,95221000,458557000,460650000,584537000,3641000,2981000,3987000,-21783000,-11174000,-1555000,-1555000,-471000,-261000,-12990000,-12990000,-1034000,-14024000,9856000,0,-10347000,0.51842,0.05707,0.03007,0.00786,0.0062,-2.85671,5.36274,0.26894,0,0.14918,0.14742,4.96153,18.88698,-0.42617,0.01265,-0.02091,-18.8543,-27.02953
"20","2015_Q3",21.876875,"Down",145569000,-66531000,79038000,-60804000,-60804000,18234000,-221000,-221000,18013000,18013000,-6081000,11932000,11932000,12052000,12052000,188012000,188012000,80818000,80818000,188515000,31935000,31935000,489280000,42723000,58008000,19652000,38356000,100731000,590011000,70824000,31687000,38182000,70824000,34103000,3750000,30353000,74103000,144927000,178586000,-189576000,368441000,85544000,442995000,445084000,590011000,11932000,3150000,2047000,-3381000,13748000,-2251000,-2251000,24000,-4554000,6943000.00000001,6943000.00000001,-4759000,2184000,21384000,4e+07,21833000,0.54296,0.12526,0.08279,0.02708,0.02043,1.81157,6.90839,0.32562,0.0678,0.50973,0.50418,6.1567,18.73604,0.92341,0.02823,0.04205,-6.92162,-8.11736
"21","2015_Q4",22.02359375,"Up",185629000,-85537000,100092000,-66638000,-66638000,33454000,-302000,-302000,33152000,33152000,-11242000,21910000,21910000,21532000,21532000,181180000,181180000,124438000,124438000,178965000,29954000,29954000,514537000,41331000,57250000,19494000,37756000,98581000,613118000,86380000,29514000,50661000,86380000,33829000,3911000,29918000,73829000,160209000,180215000,-196379000,387432000,79173000,450441000,452909000,613118000,21910000,3307000,2131000,-19682000,7666000,-2214000,-2214000,-140000,-9484000,-4032000,-4032000,-2800000,-6832000,36761000,4e+07,26107000,0.5392,0.18022,0.11599,0.04754,0.03512,1.21247,5.95667,0.35373,0.06524,0.92943,0.91974,8.01265,19.44322,1.1269,0.0457,0.04956,-3.84048,-4.22012
"22","2016_Q1",22.6772131147541,"Up",143264000,-67913000,75351000,-63807000,-63807000,11544000,-360000,-360000,11184000,11184000,-2902000,8282000,8282000,7888000,7888000,228188000,228188000,71030000,71030000,162465000,27352000,27352000,489035000,38553000,57582000,20323000,37259000,96135000,585170000,78182000,27308000,44617000,78182000,30841000,2640000,28201000,65841000,144023000,178454000,-199195000,392788000,68505000,440552000,441147000,585170000,8282000,3718000,1167000,51152000,64319000,-2700000,-3135000,-4044000,-9392000,51792000,51792000,-4784000,47008000,15262000,3.5e+07,66616000,0.52596,0.08058,0.05506,0.01788,0.01348,8.44523,6.25508,0.32647,0.05981,0.34281,0.33982,6.22616,19.14611,2.89509,0.02055,0.1314,-12.65811,-16.73493
"23","2016_Q2",20.88703125,"Down",114063000,-52746000,61317000,-55939000,-55939000,5378000,-318000,-318000,5060000,5060000,-1723000,3337000,3337000,3308000,3308000,203909000,203909000,75771000,75771000,178388000,36472000,36472000,494540000,37247000,62275000,20697000,41578000,99522000,594062000,65761000,27677000,37191000,65761000,33883000,3008000,30875000,68883000,134644000,180899000,-201397000,393113000,86171000,458786000,459418000,594062000,3337000,2901000,2948000,-30270000,-21084000,-764000,-1990000,-1204000,-10130000,-33204000,-33204000,8925000,-24279000,8279000,3.5e+07,-21032000,0.53757,0.04715,0.029,0.0072,0.00557,-6.35792,7.52026,0.29308,0.05892,0.14337,0.14168,4.94357,19.88411,-0.91154,0.01191,-0.03981,-20.4021,-31.4074
"24","2016_Q3",19.22453125,"Down",128086000,-57823000,70263000,-60172000,-60172000,10091000,-295000,-295000,9796000,9796000,-3441000,6355000,6355000,6306000,6306000,205795000,205795000,72737000,72737000,186090000,34807000,34807000,499429000,35726000,63581000,20656000,41088000,99307000,598736000,68809000,26013000,40676000,68809000,35295000,3089000,32206000,70295000,139104000,182522000,-203384000,396432000,83413000,458983000,459632000,598736000,6355000,2787000,4012000,-6402999.99999999,6751000,-1295000,-1379000,-44000.0000000005,-1946000,3426000.00000003,3426000.00000003,-1540000,1885999.99999999,12878000,3.5e+07,8621000,0.54856,0.07878,0.04923,0.01372,0.01053,1.36711,7.25819,0.30264,0.05846,0.27308,0.2719,5.54677,19.87628,0.37333,0.01754,0.01627,-13.26254,-16.92548
"25","2016_Q4",22.2461904761905,"Up",179818000,-81268000,98550000,-67479000,-67479000,31071000,-288000,-288000,30783000,29501000,-9286000,20215000,20215000,20215000,20215000,199758000,199758000,130076000,130076000,169402000,28096000,28096000,527332000,34867000,62279000,20614000,39935000,97146000,624478000,83939000,22443000,55895000,83939000,35442000,3145000,32297000,70442000,154381000,183171000,-203797000,413666000,77057000,470097000,470097000,624478000,20215000,2832000,4845000,-24400000,3492000,-2084000,-2081000,-1328000,-4714000,-3303000,-3303000,-2734000,-6037000,33903000,3.5e+07,16705000,0.54805,0.17279,0.11242,0.043,0.03237,0.82637,6.28232,0.3284,0.05605,0.87682,0.87021,7.79952,20.39024,0.72457,0.04291,0.0309,-4.85969,-5.30263
"26","2017_Q1",21.9367741935484,"Down",130785000,-66098000,64687000,-57246000,-57246000,7441000,-344000,-344000,7097000,7097000,-1865000,5232000,5232000,5232000,5232000,256279000,256279000,66847000,66847000,153167000,28487000,28487000,504780000,34173000,68849000,24837000,42379000,103022000,607802000,71402000,27192000,40061000,71402000,37407000,3322000,34085000,62407000,133809000,185692000,-204398000,415919000,76780000,473993000,473993000,607802000,5232000,2987000,-2197000,62972000,68994000,-2105000,-2106000,960000,-10620000,56268000,56268000,253000.000000001,56521000,10428000,2.5e+07,73160000,0.49461,0.05689,0.04,0.01104,0.00861,13.98318,7.06955,0.2823,0.04113,0.22689,0.22458,5.67151,20.55477,3.17259,0.01531,0.13639,-22.17865,-31.08171
"27","2017_Q2",20.1228571428571,"Down",99265000,-50128000,49137000,-52785000,-52785000,-3648000,-234000,-234000,-3882000,-3882000,-277000,-4159000,-4159000,-4159000,-4159000,233594000,233594000,66457000,66457000,160376000,32555000,32555000,492982000,31962000,70097000,24864000,43847000,102059000,595041000,66860000,22981000,42530000,66860000,38661000,3312000,35349000,63661000,130521000,186968000,-206119000,408778000,74893000,464520000,464520000,595041000,-4159000,2885000,7160000,-22440000,-16554000,-437000,-437000,-692000,-4702000,-21693000,-21693000,-992000,-22685000,-763000,2.5e+07,-23363000,0.49501,-0.03675,-0.0419,-0.00895,-0.00699,5.61746,7.37335,0.28098,0.04201,-0.18024,-0.18024,4.30184,20.13088,-1.01248,-0.00223,-0.04423,273.38663,57.18037
"28","2017_Q3",22.2547619047619,"Up",128781000,-62655000,66126000,-57809000,-57809000,8317000,-261000,-261000,8056000,8056000,-2574000,5482000,5482000,5482000,5482000,162417000,162417000,81513000,81513000,176967000,31825000,31825000,452722000,31412000,149939000,24924000,45715000,181351000,634073000,86096000,35174000,49192000,86096000,44819000,7759000,37060000,69819000,155915000,188192000,-206787000,411275000,85478000,478158000,478158000,634073000,5482000,3124000,2143000,-4217000,6532000.00000001,-2031000,-80004000,-40999.9999999998,-3653000,-77125000,-77125000,5948000,-71177000,11441000,2.5e+07,7767000,0.51348,0.06458,0.04257,0.01146,0.00865,1.41682,5.25834,0.32607,0.03943,0.23747,0.23611,5.57856,20.71293,0.33645,0.01545,0.0141700000000001,-12.01093,-16.52242
"29","2017_Q4",25.5292063492064,"Up",190693000,-86623000,104070000,-78885000,-78885000,25185000,-335000,-335000,24850000,24850000,-7490000,17360000,17360000,17360000,17360000,155484000,155484000,132941000,132941000,169866000,26361000,26361000,484652000,24637000,150277000,23610000,47783000,174914000,659566000,100872000,28014000,67666000,100872000,46253000,7501000,38752000,71253000,172125000,189671000,-208267000,425649000,80388000,487441000,487441000,659566000,17360000,3833000,9568000,-30165000,596000,-1607000,-1607000,107000,-4228000,-5239000,-5239000,-1694000,-6933000,29018000,2.5e+07,4736000,0.54575,0.13207,0.09104,0.03561,0.02632,0.27281,4.80462,0.35312,0.0379,0.7522,0.74593,8.26262,21.12054,0.20521,0.03642,0.00848,-4.49666,-5.18102
"30","2018_Q1",28.1990163934426,"Up",149214000,-70469000,78745000,-65399000,-65399000,13346000,-228000,-228000,13118000,13118000,-47026000,-33908000,-33908000,-33908000,-33908000,214811000,214811000,83098000,83098000,151676000,32015000,32015000,481600000,24671000,139109000,6443000,49273000,163780000,645380000,100296000,24364000,72943000,100296000,74749000,33063000,41686000,74749000,175045000,190147000,-208894000,388739000,100343000,470335000,470335000,645380000,-33908000,3615000,47834000,46609000,64150000,-2291000,-2291000,305000,-8303000,53556000,53556000,5771000,59327000,16961000,-3.72529029846191e-09,108305000,0.52773,0.08944,-0.22724,-0.07209,-0.05254,-3.19408,4.80179,0.37217,0,-1.47087,-1.49204,6.47265,20.40233,4.69809,-0.05674,0.19869,-12.665,-16.09553
"31","2018_Q2",38.3575,"Up",127149000,-59625000,67524000,-59385000,-59385000,8139000,-165000,-165000,7974000,7974000,141000,8115000,8115000,8115000,8115000,176959000,176959000,79965000,79965000,159032000,36213000,36213000,452169000,23560000,136403000,8157000,48042000,159963000,612132000,77955000,29333000,43972000,77955000,73229000,32998000,40231000,73229000,151184000,195134000,-210716000,391526000,85004000,460948000,460948000,612132000,8115000,3383000,-98000,-14020000,-2620000,-1854000,-1854000,3105000,-27685000,-32159000,-32159000,-5693000,-37852000,11522000,0,-4493000,0.53106,0.06401,0.06382,0.01761,0.01326,-0.55367,5.80038,0.32798,0,0.35134,0.34608,5.505,19.95705,-0.19453,0.02381,-0.00841,-15.35836,-21.74211
"32","2018_Q3",41.8255555555556,"Up",144093000,-66259000,77834000,-64974000,-64974000,12860000,-105000,-105000,12755000,12755000,-3615000.00000001,9140000,9140000,9140000.00000001,9140000.00000001,175583000,175583000,83818000,83818000,171417000,37852000,37852000,468670000,24533000,134045000,8074000,50251000,158578000,627248000,90628000,34578000,50054000,90628000,73266000,29718000,43548000,73266000,163894000,198588000,-211677000,396041000,80402000,463354000,463354000,627248000,9139999.99999999,3112000,1958000.00000001,-7458999.99999999,6751000,-3423000,-3423000,1720000,-3776000,-447999.999999993,-447999.999999993,-927999.999999998,-1376000,15972000,-1.86264514923096e-09,8705000,0.54017,0.08925,0.06343,0.01973,0.01457,0.95241,5.17136,0.35371,-3.46944695195361e-18,0.3932,0.38546,6.19888,19.93349,0.37449,0.02565,0.01622,-10.99318,-13.65342
"33","2018_Q4",33.0603174603175,"Down",208949000,-95585000,113364000,-89257000,-89257000,24107000,-2000,-2000,24105000,24105000,2817000,26922000,26922000,26922000,26922000,142668000,142668000,126106000,126106000,183539000,31590000,31590000,483903000,25471000,254542000,17400000,57907000,280013000,763916000,137072000,47164000,80291000,137072000,96240000,29519000,66721000,145830000,282902000,200164000,-213597000,418337000,76110000,481014000,481014000,763916000,26922000,3412000,-6674000,-945000,22715000,-3059000,-96099000,38000,43834000,-29550000,-29550000,-3365000,-32915000,27519000,49590000,20698000,0.54254,0.11537,0.12884,0.05597,0.03524,0.76881,3.53028,0.58814,0.06492,1.15774,1.13605,8.98551,20.68522,0.89008,0.05033,0.03302,-3.38232,-3.86104
