"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",30.94546875,"Down",-27661000,-7430000,-20231000,-27661000,335000,335000,-27326000,-27326000,-27326000,-27326000,-27326000,-27326000,302568000,101142000,5267000,5267000,307835000,3925000,1153000,1153000,5658000,313493000,10779000,2940000,7839000,17287000,539000,539000,6841000,24128000,639556000,-350342000,289365000,289365000,313493000,-27326000,442000,4487000,-2903000,-25300000,-51489000,-51776000,2476000,2476000,2476000,-74600000,-74600000,-74600000,-27219000,6302000,-0.09443,-0.08717,17.80731,0.08338,0.0201,-0.57383,-0.57383,6.07652,-0.09225,10.88453,10.7106
"12","2013_Q3",19.14953125,"Down",-32755000,-6675000,-26080000,-32755000,164000,164000,-32591000,-32591000,-32591000,-32591000,-32591000,-32591000,276680000,55248000,5146000,5146000,281826000,4179000,1161000,1161000,5897000,287723000,14285000,4702000,9583000,20846000,618000.000000001,618000,6971000,27817000,642792000,-382933000,259906000,259906000,287723000,-32591000,429000,2716000,3699000,-25747000,-20615000,-21299000,1152000.00000001,1152000.00000001,1151999.99999999,-45894000,-45894000,-45894000,-32326000,6353000,-0.1254,-0.11327,13.51943,0.10703,0.02208,-0.68017,-0.68017,5.42423,-0.12212,8.36253,8.253
"13","2013_Q4",14.12265625,"Down",-34176000,-7319000,-26857000,-34176000,238000,238000,-33938000,-33938000,-33938000,-33938000,-33938000,-33938000,250303000,53478000,4701000,4701000,255004000,4089000,1165000,1165000,5808000,260812000,16923000,5010000,11913000,23536000,611000,611000,7016000,30552000,646967000,-416871000,230260000,230260000,260812000,-33938000,465000,4010000,3072000,-26391000,24079000,23704000,917000,917000,917000,-1770000,-1770000,-1770000,-33711000,6405000,-0.14739,-0.13012,10.83464,0.13268,0.02456,-0.70626,-0.70626,4.7918,-0.14303,7.23497,7.13653
"14","2014_Q1",13.4193442622951,"Down",-33084000,-6492000,-26592000,-33084000,159000,159000,-32925000,-32925000,-32925000,-32925000,-32925000,-32925000,213886000,68114000,11055000,11055000,224941000,4010000,1177000,1177000,5769000,230710000,15539000,6375000,9164000,22206000,773000,773000,7229000,29435000,650915000,-449796000,201275000,201275000,230710000,-32925000,487000,3556000,-7587000,-36469000,50385000,49977000,1128000,1128000,1128000,14636000,14636000,14636000,-32597000,6456000,-0.16358,-0.14271,10.12974,0.14624,0.02798,-0.68373,-0.68373,4.17972,-0.15791,6.36347,6.2698
"15","2014_Q2",10.4166666666667,"Down",-41295000,-6804000,-34491000,-41295000,-971000,168000,-42266000,-42266000,-42266000,-42266000,-42266000,-42266000,171531000,54971000,22719000,12064000,194250000,3748000,1218000,1218000,5531000,199781000,19615000,5852000,13763000,26123000,605000,605000,605000,26728000,664960000,-492062000,173053000,173053000,199781000,-42266000,468000,5497000,-7254000,-43555000,28636000,28460000,1952000,1952000,1952000,-13143000,-13143000,-13143000,-40827000,0,-0.24424,-0.21156,7.43598,0.15445,0,-0.87419,-0.87419,3.57926,-0.24339,4.20141,4.1538
"16","2014_Q3",11.90890625,"Up",-35222000,-7057000,-28165000,-35222000,-2802000,136000,-38024000,-38024000,-38024000,-38024000,-38024000,-38024000,141158000,85516000,19029000,11310000,160187000,3361000,1492000,1492000,5398000,165585000,19945000,3923000,16022000,26506000,594000,594000,594000.000000004,27100000,668409000,-530086000,138485000,138485000,165585000,-38024000,452000,6338000,1245000,-29989000,60574000,60479000,501000,501000,55000,30545000,30545000,30545000,-34770000,0,-0.27457,-0.22963,6.04342,0.19569,3.46944695195361e-18,-0.78329,-0.78329,2.85278,-0.2734,4.05976,4.00767
"17","2014_Q4",14.56046875,"Up",-52937000,-8042000,-44895000,107702000,-4486000,52000,103216000,103216000,103216000,103216000,103216000,103216000,379002000,321257000,11713000,10032000,390715000,2982000,2595000,2595000,6110000,396825000,29805000,11041000,18764000,58413000,92896000,529000,92896000,151309000,672255000,-426870000,245516000,245516000,396825000,103216000,447000,7714000,126862000,238239000,-2288000,-2381000,913000,913000,-117000,235741000,235741000,235741000,108149000,0,0.4204,0.2601,6.68884,0.61629,0,2.12235,2.07531,5.04835,0.305,-3.50444,-3.51899
"18","2015_Q1",15.2888524590164,"Up",-43464000,-7382000,-36082000,-39108000.0000001,-1051000,-17000,-40159000,-40159000,-40342000,-40342000,-40342000,-40342000,332726000,307405000,11842000,11195000,344568000,18970000,5087000,5087000,24576000,369144000,23715000,5947000,17768000,54877000,104795000,19285000,104795000,159672000,676570000,-467212000,209472000,209472000,369144000,-40342000,406000,4239000,-11283000,-46980000,32293000,31295000,1351000,1351000,1833000,-13852000,-13852000,-13852000,-38702000,0,-0.19259,-0.10929,6.27891,0.76226,-8.67361737988404e-19,-0.82802,-0.84719,4.29941,-0.12837,8.59713,8.50788
"19","2015_Q2",12.8347619047619,"Down",-96978000,-8550000,-88428000,-92615000,-687000,-40000,-93302000,-93302000,-93302000,-93302000,-93302000,-93302000,233053000,223045000,6317000,6317000,239370000,22720000,5044000,5044000,28272000,267642000,18261000,5697000,12564000,44321000,102242000,22661000,102242000,146563000,681483000,-560514000,121079000,121079000,267642000,-93302000,354000,4471000,-11181000,-99658000,15248000,14136000,1162000,1162000,1162000,-84360000,-84360000,-84360000,-92261000,0,-0.77059,-0.34861,5.40083,1.21047,0,-1.90648,-1.90648,2.47406,-0.41779,2.52602,2.51636
"20","2015_Q3",9.22421875,"Down",-43472000,-9410000,-34062000,-38591000,163000,263000,-38428000,-38428000,-38428000,-38428000,-38428000,-38428000,199475000,134607000,8992000.00000001,8992000,208467000,27392000,5019000,5019000,32411000,240878000,27238000,7830000,19408000,58231000,75584000,5413000,95386000,153617000,686100000,-598942000,87261000,87261000,240878000,-38428000,614000,3681000,2288000,-31845000,-54429000,-57286000,1003000,1003000,693000,-88438000,-88438000,-88438000,-37977000,19802000,-0.44038,-0.15953,3.58,1.76043,0.08221,-0.78303,-0.78303,1.77808,-0.21039,4.7311,4.65583
"21","2015_Q4",8.60875,"Down",-47483000,-9753000,-37730000,43260000,-236000,75000,43024000,43024000,42544000,42544000,42544000,42544000,162961000,137284000,137354000,7354000,300315000,28077000,4834000,4834000,32911000,333226000,34104000,11214000,22890000,74312000,105606000,5388000,125303000,199615000,690010000,-556398000,133611000,133611000,333226000,42544000,589000,3857000,-81908000,-34918000,39046000,37599000,95000,95000,-4000,2677000,2677000,2677000,43849000,19697000,0.31842,0.12767,4.04127,1.494,0.05911,0.86492,0.8549,2.71631,0.16432,-3.26721,-3.3117
"22","2016_Q1",6.12,"Down",-48241000,-9352000,-38889000,-39162000,-173000,137000,-39335000,-39335000,-39190000,-39190000,-39190000,-39190000,245231000,188170000,9465999.99999999,9466000,254697000,28240000,5884000,5884000,34124000,288821000,34232000,9628000,24604000,70056000,100617000,5086000,120208000,190264000,694100000,-595588000,98557000,98557000,288821000,-39190000,735000,3448000,117775000,82768000,-31342000,-32352000,570000,570000,470000,50886000,50886000,50886000,-38427000,19591000,-0.39764,-0.13569,3.63562,1.9305,0.06783,-0.79768,-0.80715,2.00604,-0.17914,5.87191,5.76171
"23","2016_Q2",4.67640625,"Down",-50024000,-10836000,-39188000,-40768000,104000,413000,-40664000,-40664000,-40664000,-40664000,-40664000,-40664000,192968000,113755000,15073000,15073000,208041000,27918000,4541000,4541000,32459000,240500000,32049000,9097000,22952000,66772000,92599000,5216000,112082000,178854000,697858000,-636252000,61646000,61646000,240500000,-40664000,693000,3771000,-15673000,-51873000,-22213000,-22483000,43000,43000,-59000,-74415000,-74415000,-74415000,-40075000,19483000,-0.65964,-0.16908,3.11569,2.90131,0.08101,-0.82416,-0.82416,1.24942,-0.23407,4.32901,4.25542
"24","2016_Q3",1.53625,"Down",-68639000,-15692000,-52947000,-59172000,-53000,254000,-59225000,52991000,52991000,52991000,52991000,52991000,146392000,122351000,11085000,11085000,157477000,25719000,4094000,4094000,29813000,187290000,43843000,12741000,31102000,44272000,4814000.00000001,4814000,24187000,68459000,702090000,-583261000,118831000,118831000,187290000,52991000,693000,-106572000,6460999.99999999,-46427000,55075000,54707000,419000,419000,316000,8595999.99999999,8595999.99999999,8595999.99999999,-58479000,19373000,0.44594,0.28294,3.55703,0.576099999999999,0.10344,1.07189,1.07183,2.40368,0.37052,2.17204,2.14661
"25","2016_Q4",1.30603174603175,"Down",-19934000,-7120000,-12814000,-19934000,436000,741000,-19498000,-19498000,-19498000,-19498000,-19498000,-19498000,112298000,98507000,11178000,11178000,123476000,24451000,3975000,3975000,28426000,151902000,25465000,4786000,20679000,25900000,4619000,4619000,23881000,49781000,704879000,-602759000,102121000,102121000,151902000,-19498000,1180000,1322000,-18092000,-35088000,10226000,11349000,0,0,-105000,-23844000,-23844000,-23844000,-18754000,19262000,-0.19093,-0.12836,4.76741,0.48747,0.12681,-0.39323,-0.39323,2.05956,-0.15474,4.96086,4.6672
"26","2017_Q1",2.46032258064516,"Up",-23233000,-8571000,-14662000,-23233000,303000,607000,-22930000,-22930000,-22930000,-22930000,-22930000,-22930000,92064000,74060000,9596000,8444000,101660000,23424000,571000,571000,23995000,125655000,23421000,2413000,21008000,23863000,188999.999999996,189000,19338000,43201000,708146000,-625689000,82454000,82454000,125655000,-22930000,852000,3028999.99999999,-1919000.00000001,-20968000,-4238000,-3244000,-130000,-130000,-235000,-24447000,-24447000,-24447000,-22381000,19149000,-0.27809,-0.18248,4.26015,0.52394,0.15239,-0.45794,-0.45796,1.6467,-0.22526,3.2579,3.13842
"27","2017_Q2",1.92873015873016,"Down",-10476000,-6437000,-4039000,-10476000,1000,303000,-10475000,-10475000,-10475000,-10475000,-10475000,-10475000,75429000,75429000,4881000,4381000,80310000,22732000,565000,565000,23297000,103607000,10127000,733000,9394000,10576000,208000,208000,19242000,29818000,709953000,-636164000,73789000,73789000,103607000,-10475000,692000,1814000,-9206000,-17175000,1.8e+07,1.8e+07,0,0,-108000,717000,717000,717000,-9784000,19034000,-0.14196,-0.1011,7.59361,0.4041,0.18371,-0.20774,-0.20774,1.46339,-0.1126,5.764,5.38326
"28","2017_Q3",1.24206349206349,"Down",-10106000,-6205000,-3901000,-10106000,-6848000,-6548000,-16954000,-16954000,-16954000,-16954000,-16954000,-16954000,66197000,66197000,2580000,2065000,68777000,22040000,28000.0000000001,28000.0000000001,22068000,90845000,10480000,581000,9899000,10936000,208000,208000,21007000,31943000,712020000,-653118000,58902000,58902000,90845000,-16954000,692000,3880000,2675000,-9707000,3.72529029846191e-09,3.72529029846191e-09,70000,70000,-40000,-9747000,-9747000,-9747000,-9414000,20799000,-0.28783,-0.18663,6.28905,0.54231,0.22895,-0.33602,-0.33602,1.1674,-0.21217,4.82239,4.49218
"29","2017_Q4",2.0747619047619,"Up",-13843000,-4505000,-9338000,-7843000,738000,1026000,-7105000,-7105000,-7105000,-7105000,-7105000,-7105000,55575000,33580000,8364000,8364000,63939000,309000,23000,23000,332000,64271000,4871000,354000,4517000,10871000,26000,26000,26000,10897000,713599000,-660223000,53374000,53374000,64271000,-7105000,261000,804000,-4997000,-11037000,-21987000,-22013000,-8000,-8000,-82000,-33132000,-33132000,-33132000,-7582000,6e+06,-0.13312,-0.11055,5.88161,0.20416,0.09335,-0.14032,-0.14032,1.05408,-0.11961,6.53851,6.32092
"30","2018_Q1",2.14360655737705,"Up",-8020000,-4468000,-3552000,-8020000,4000,124000,-8016000,-8016000,-7296000,-7296000,-7296000,-7296000,57609000,34607000,777000,776999.999999998,58386000,219000.000000002,748000,748000,967000,59353000,5595000,459000,5136000,11595000,28000,28000,28000,11623000,715264000,-667519000,47730000,47730000,59353000,-7296000,70000,1595000,6839000,1208000,-998000,-265000.000000004,84000.0000000001,84000.0000000001,83999.9999999999,1027000,1027000,1027000,-7950000,6e+06,-0.15286,-0.12293,5.03545,0.24352,0.10109,-0.14383,-0.14383,0.94094,-0.13572,6.4917,6.43504
"31","2018_Q2",2.02046875,"Down",-9517000,-3606000,-5911000,-9517000,66000,159000,-9451000,-9451000,-9451000,-9451000,-9451000,-9451000,47814000,30575000,1248000,1248000,49062000,156000,748000,748000,904000,49966000,4542000,3e+05,4242000,4542000,27000,27000,27000,4569000,722378000,-676970000,45397000,45397000,49966000,-9451000,63000,958000,-825000,-9255000,5786000,5786000,3437000,3437000,-563000,-4032000,-4032000,-4032000,-9454000,0,-0.20819,-0.18915,10.80185,0.10065,0,-0.18216,-0.18216,0.87498,-0.20806,5.05754,5.02406
"32","2018_Q3",2.06888888888889,"Up",-7135000,-3386000,-3749000,-7135000,172000,172000,-6963000,-6963000,-6963000,-6963000,-6963000,-6963000,49165000,49165000,1273000,1273000,50438000,103000,725000,725000,828000,51266000,5679000,767000,4912000,5679000,31000,30999.9999999999,31000,5710000,729489000,-683933000,45556000,45556000,51266000,-6963000,53000,946000,1138000,-4826000,17260000,17260000,6156000,6156000,6156000,18590000,18590000,18590000,-7082000,0,-0.15284,-0.13582,8.88149,0.12534,0,-0.12441,-0.12441,0.81398,-0.15274,6.94225,6.89068
"33","2018_Q4",1.7984126984127,"Down",-8822000,-3443000,-5379000,13178000,203000,203000,13381000,13381000,13381000,13381000,13381000,13381000,42169000,32216000,22961000,961000,65130000,58000,725000,725000,783000,65913000,6105000,491000,5614000,6105000,36000,36000,36000,6141000,730329000,-670552000,59772000,59772000,65913000,13381000,45000,839000,-21256000,-6991000,-9942000,-9942000,-16000,-16000,-16000,-16949000,-16949000,-16949000,13223000,0,0.22387,0.20301,10.6683,0.10274,0,0.23537,0.23215,1.05136,0.22373,-3.18906,-3.19995
"34","2019_Q1",1.46295081967213,"Down",-8601000,-3813000,-4719000,-8455000,235000,235000,-8220000,-8220000,-8220000,-8220000,-8220000,-8220000,58591000,48616000,1227000,1227000,59818000,28000,369000,369000,397000,60215000,7718000,1197000,6521000,7718000,37999.9999999991,38000.0000000009,38000,7756000,731235000,-678772000,52459000,52459000,60215000,-8220000,30000,843000,23705000,16358000,3.72529029846191e-09,0,42000,42000,42000,16400000,16400000,16400000,-8425000,5.82076609134674e-11,-0.15669,-0.13651,7.75045,0.14785,-8.67361737988404e-19,-0.14435,-0.14638,0.92125,-0.15658,6.95442,6.92975
"35","2019_Q2",1.61031746031746,"Up",-15925000,-3398000,-5766000,-13783000,-15000,289000,-13798000,-13798000,-13744000,-13744000,-13744000,-13744000,70531000,52947000,3641000,3641000,74172000,51000,522000,522000,573000,74745000,7459000,1685000,5774000,7459000,27881000,27881000,27881000,35340000,731918000,-692516000,39405000,39405000,74745000,-13744000,10000,888000,-2829000,-15675000,-7579000,-7612000,0,0,27618000,4331000,4331000,4331000,-13773000,0,-0.34879,-0.18388,9.94396,0.89684,0,-0.24144,-0.24144,0.69223,-0.20426,5.12096,5.11725
"36","2019_Q3",1.3628125,"Down",-10002000,-3771000,-6076000,-9745000,-769000,318000,-10514000,-10514000,-10514000,-10514000,-10514000,-10514000,62999000,42625000,1974000,1974000,64973000,955000,2510000,2510000,3465000,68438000,8190000,1054000,7136000,8190000,30680000,30680000,30680000,38870000,732572000,-703030000,29568000,29568000,68438000,-10514000,8000,1615000,1730000,-7161000,-2682000,-2873000,27000,27000,27000,-10007000,-10007000,-10007000,-9737000,0,-0.35559,-0.15363,7.93321,1.3146,5.42101086242752e-20,-0.18464,-0.18464,0.51926,-0.17451,6.47006,6.46475
"37","2019_Q4",1.09671875,"Down",-10924000,-3641000,-7076000,-10582000,-835000,299000,-11417000,-11417000,-11417000,-11417000,-11417000,-11417000,51989000,21588000,2395000,2395000,54384000,2274000,2450000,2450000,4724000,59108000,8749000,1505000,7244000,8749000,31744000,31744000,31744000,40493000,733037000,-714447000,18615000,18615000,59108000,-11417000,64000,1383000,151000,-9819000,-9920000,-11256000,38000,38000,38000,-21037000,-21037000,-21037000,-10518000,0,-0.61332,-0.19315,6.21602,2.17529,0,-0.20019,-0.20019,0.32641,-0.22671,4.94286,4.91297
"38","2020_Q1",1.15967741935484,"Up",-11862000,-3479000,-8198000,-11554000,172000,-906000,-11382000,-11382000,-11382000,-11382000,-11382000,-11382000,42444000,22260000,2137000,2137000,44581000,2186000,2247000,2247000,4433000,49014000,9698000,1621000,8077000,9698000,31590000,31590000,31590000,41288000,733543000,-725829000,7726000,7726000,49014000,-11382000,137000,39000,2331000,-8875000,10267000,9500000,46999.9999999999,46999.9999999999,47000.0000000019,672000,672000,672000,-11417000,2.27373675443232e-13,-1.47321,-0.23222,4.59693,5.34403,0,-0.19955,-0.19955,0.13545,-0.2895,3.71761,3.67353
"39","2020_Q2",0.952857142857143,"Down",-10928000,-3324000,-7346000,-10500000,-386000,186000,-10886000,-10886000,-10886000,-10886000,-10886000,-10886000,50348000,30485000,2677000,2677000,53025000,2071000,1992000,1992000,4063000,57088000,8463000,1361000,7102000,8463000,50877000,50877000,50877000,59340000,734347000,-736715000,-2252000,-2252000,57088000,-10886000,120000,682000,-1693000,-11777000,448000,430000,-1865184.02122893,-1865184.02122893,19572000,8225000,8225000,8225000,-10380000,0,4.83393,-0.19069,6.26551,-26.34991,0,-0.18984,-0.18984,-0.03927,-0.22388,4.85048,4.79505
"40","2020_Q3",1.02734375,"Up",-8803000,-2937000,-6124000,-8443000,544000,49000.0000000001,-7899000,-9473000,-9473000,-9473000,-9473000,-9473000,42730000,28921000,2064000,2064000,44794000,1951000,1911000,1911000,3862000,48656000,8877000,1289000,7588000,8877000,51163000,51163000,51163000,60040000,734758000,-746188000,-11384000,-11384000,48656000,-9473000,122000,822000,960000,-7569000,6001000,5975000,30000.0000000009,30000.0000000009,29999.9999999963,-1564000,-1564000,-1564000,-8321000,-1.4210854715202e-14,0.83213,-0.19469,5.04607,-5.27407,0,-0.16491,-0.16491,-0.19818,-0.23814,5.1352,5.061
"41","2020_Q4",1.6490625,"Up",-9042000,-2930000,-6112000,-8547000,15000,-62000,-8532000,-9419000,-9419000,-9419000,-9534000,-9534000,41285000,18528000,2190000,2190000,43475000,1830000,1660000,1660000,3490000,46965000,9834000,1132000,8702000,9834000,51258000,51258000,51258000,61092000,741585000,-755722000,-14127000,-14127000,46965000,-9534000,122000,826000,703000,-7883000,-8993000,-8993000,6483000,6483000,6483000,-10393000,-10393000,-10393000,-8425000,0,0.67488,-0.203,4.42089,-4.32449,0,-0.15751,-0.15751,-0.23339,-0.25677,4.9003,4.83035
"42","2021_Q1",3.33622950819672,"Up",-10406000,-3227000,-7179000,-9970000,277000,-173000,-9693000,-10561000,-10561000,-10561000,-10599000,-10599000,34108000,28593000,1912000,1912000,36020000,1710000,1589000,1589000,3299000,39319000,11047000,2982000,8065000,11047000,51261000,51261000,51261000,62308000,743333000,-766321000,-22989000,-22989000,39319000,-10599000,119000,555000,1415000,-8510000,17218000,17219000,1356000,1356000,1356000,10065000,10065000,10065000,-9851000,0,0.46105,-0.26956,3.26061,-2.71034,0,-0.16531,-0.16531,-0.35855,-0.37489,3.46239,3.42106
