"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",33.330625,"Up",265351000,-241050000,24301000,-15147000,-15147000,9154000,17000,17000,9171000,9171000,-2776000,6395000,6395000,6395000,6395000,32744000,32744000,212790000,212790000,54368000,7785000,1635000,307687000,164186000,725000,725000,164911000,472598000,39807000,23834000,15973000,39807000,16450000,16450000,16450000,56257000,48759000,-88134000,455716000,416341000,416341000,472598000,6395000,3352000,-417000,-7549000,1781000,-2588000,-2588000,-413000,70000,70000,-332000,-1139000,-1139000,-1139000,12506000,0,5145000,0.09158,0.0345,0.0241,0.01536,0.01353,0.80453,7.72947,0.13512,0,0.30948,0.30845,12.84122,20.14813,0.24898,0.01999,0.01573,0.01189,0.06458,-2.61826,-3.57702
"12","2013_Q3",38.43171875,"Up",289460000,-249309000,40151000,-16213000,-16213000,23938000,18000,18000,23956000,23956000,-8454000,15502000,15502000,15502000,15502000,1234000,1234000,236172000,236172000,64503000,6002000,3846000,307911000,189621000,543000,543000,190164000,498075000,48364000,25298000,20803000,48364000,18081000,18081000,18081000,66445000,48960000,-88134000,470804000,431630000,431630000,498075000,15502000,3700000,5340000,-26632000,-2090000,-29124000,-29124000,-414000,98999.9999999995,99000,-296000,-31510000,-31510000,-31510000,27638000,0,-19664000,0.13871,0.0827,0.05355,0.03592,0.03112,-1.26848,6.36653,0.15394,0,0.74998,0.74748,14.00387,20.88195,-0.95133,0.02003,0.03539,-0.04373,0.02671,-0.0446499999999999,-0.0515499999999998
"13","2013_Q4",46.4934375,"Up",309927000,-272023000,37904000,-17125000,-17125000,20779000,9000,9000,20788000,20788000,-6986000,13802000,13802000,13802000,13802000,16145000,16145000,236933000,236933000,72613000,4898000,2004000,330589000,193492000,1616000,1616000,195108000,525697000,60407000,30863000,25966000,60407000,19895000,19895000,19895000,80302000,49337000,-88134000,484192000,445395000,445395000,525697000,13802000,3895000,1136000,3952000,22785000,-7753000,-7753000,-414000,270000,270000,-121000,14911000,14911000,14911000,24674000,0,27859000,0.1223,0.06704,0.04453,0.03099,0.02625,2.01848,5.47269,0.18029,0,0.66822,0.66532,15.00494,21.56354,1.34878,0.02004,0.03055,0.05987,0.03,-0.65433,-0.77699
"14","2014_Q1",50.9680327868852,"Up",293514000,-260798000,32716000,-15968000,-15968000,16748000,20000,20000,16768000,16768000,-5557000,11211000,11211000,11211000,11211000,36778000,36778000,215739000,215739000,70780000,6769000,2013000,330066000,194254000,1506000,1506000,195760000,525826000,47918000,23465000,23006000,47918000,21327000,21327000,21327000,69245000,49725000,-88134000,494990000,456581000,456581000,525826000,11211000,3841000,-1059000,10749000,24742000,-4001000,-4001000,-413000,183000,183000,-108000,20633000,20633000,20633000,20589000,0,32894000,0.11146,0.05706,0.0382,0.02455,0.02132,2.93408,6.88814,0.15166,0,0.5412,0.53798,14.16915,22.04108,1.58793,0.01994,0.02432,0.06883,0.03684,-1.78629,-2.19596
"15","2014_Q2",47.9334920634921,"Down",277198000,-245022000,32176000,-15451000,-15451000,16725000,16000,16000,16741000,16741000,-5887000,10854000,10854000,10854000,10854000,36822000,36822000,219147000,219147000,75623000,4476000,1350000,336068000,196790000,1587000,1587000,198377000,534445000,46123000,28469000,17654000,46123000,20790000,20790000,20790000,66913000,50237000,-88134000,505429000,467532000,467532000,534445000,10854000,3895000,3850000,-12116000,6483000,-6425000,-6457000,-414000,330000,330000,18000,44000,44000,44000,20620000,0,7966000,0.11608,0.06034,0.03916,0.02322,0.02031,0.73392,7.28634,0.14312,0,0.52427,0.52085,13.38927,22.58281,0.38478,0.02,0.02307,0.01631,0.03814,-1.78574,-2.20161
"16","2014_Q3",42.9434375,"Down",307088000,-273576000,33512000,-18237000,-18237000,15275000,3000,3000,15278000,15278000,-5125000,10153000,10153000,10153000,10153000,19094000,19094000,238622000,238622000,80182000,2371000,2371000,340269000,200654000,1741000,1741000,202395000,542664000,44328000,20468000,22136000,44846000,20290000,20290000,20290000,65136000,50493000,-88134000,515169000,477528000,477528000,542664000,10153000,3918000,427999.999999999,-24237000,-9738000,-7678000,-7678000,-414000,98000,98000,-312000,-17728000,-17728000,-17728000,19193000,0,-7597000,0.10913,0.04974,0.03306,0.02126,0.01871,-0.74825,7.5875,0.1364,0,0.49013,0.48731,14.82443,23.05228,-0.36674,0.01999,0.02123,-0.01526,0.04078,-0.99484,-1.25002
"17","2014_Q4",36.93625,"Down",297351000,-263279000,34072000,-17441000,-17441000,16631000,13000,13000,16644000,16644000,-5581000,11063000,11063000,11063000,11063000,38844000,38844000,230180000,230180000,80473000,2991000,2577000,352488000,210229000,1636000,1636000,211865000,564353000,55942000,24865000,26180000,55942000,20045000,20045000,20045000,75987000,50683000,-88134000,525817000,488366000,488366000,564353000,11063000,3818000,-1017000,18684000,32548000,-12446000,-12446000,-415000,55000,55000,-352000,19750000,19750000,19750000,20449000,0,32268000,0.11459,0.05593,0.03721,0.02265,0.0196,2.91675,6.30095,0.15559,0,0.53398,0.53139,14.3523,23.57206,1.55749,0.02003,0.02258,0.06347,0.03751,-1.89955,-2.33564
"18","2015_Q1",33.9754098360656,"Down",285342000,-260125000,25217000,-17747000,-17747000,7470000,24000,24000,7494000,7494000,-2441000,5053000,5053000,5053000,5053000,54664000,54664000,206908000,206908000,78251000,5492000,2235000,345315000,226506000,930000,930000,227436000,572751000,59338000,31147000,28191000,59338000,20226000,20226000,20226000,79564000,50865000,-88134000,530456000,493187000,493187000,572751000,5053000,3822000,-448000,25402000,33829000,-17650000,-17650000,-414000,46000,46000,-359000,15820000,15820000,15820000,11292000,0,21485000,0.08837,0.02618,0.01771,0.01025,0.00882,4.25193,5.81946,0.16133,0,0.24387,0.24304,13.77133,23.80246,1.03692,0.01998,0.01065,0.04185,0.08193,-4.84095,-7.3178
"19","2015_Q2",42.9303174603175,"Up",250262000,-217832000,32430000,-16031000,-16031000,16399000,1e+05,1e+05,16499000,16499000,-5710000,10789000,10789000,10789000,10789000,53269000,53269000,195571000,195571000,85354000,2853000,1751000,337047000,235187000,274000,274000,235461000,572508000,47495000,29722000,17773000,48953000,19670000,19670000,19670000,68623000,51189000,-88134000,540830000,503885000,503885000,572508000,10789000,3897000,-175000,-5164000,9347000,-10488000,-10488000,-415000,161000,161000,-254000,-1395000,-1395000,-1395000,20296000,0,10354000,0.12958,0.06553,0.04311,0.02141,0.01885,0.95968,6.88511,0.13619,0,0.52058,0.51915,12.07537,24.31291,0.49959,0.02002,0.0214,0.01978,0.03847,-2.62461,-3.24831
"20","2015_Q3",35.040625,"Down",253748000,-220842000,32906000,-15858000,-15858000,17048000,15000,15000,17063000,17063000,-5711000,11352000,11352000,11352000,11352000,45603000,45603000,200306000,200306000,92562000,3003000,3003000,341474000,243375000,275000,275000,243650000,585124000,48423000,24915000,21779000,50596000,19221000,19221000,19221000,69817000,51673000,-88134000,551768000,515307000,515307000,585124000,11352000,3951000,3119000,-13980000,4442000,-12009000,-12009000,-414000,291000,291000,-99000,-7666000,-7666000,-7666000,20999000,0,721000,0.12968,0.06718,0.04474,0.02203,0.0194,0.0635099999999994,6.74903,0.13549,0,0.54743,0.54483,12.23649,24.84964,0.0347700000000001,0.01996,0.02201,0.00135,0.03647,-2.17167,-2.67498
"21","2015_Q4",40.10171875,"Up",262756000,-224421000,38335000,-16063000,-16063000,22272000,18000,18000,22290000,22290000,-7779000,14511000,14511000,14511000,14511000,58817000,58817000,192005000,192005000,97834000,2732000,2732000,351388000,251473000,454000,454000,251927000,603315000,50094000,26051000,22922000,56718000,19849000,19849000,19849000,76567000,51939000,-91056000,565865000,526748000,526748000,603315000,14511000,4124000,4939000,5221000,28795000,-12348000,-12348000,-414000,-2819000,103000,-3233000,13214000,13214000,13214000,26396000,0,27048000,0.1459,0.08476,0.05523,0.02755,0.02405,1.86397,6.19535,0.14536,0,0.70047,0.69855,12.68372,25.42711,1.30566,0.01998,0.02731,0.04948,0.02853,-2.22825,-2.64085
"22","2016_Q1",35.8570491803279,"Down",250856000,-217805000,33051000,-16541000,-16541000,16510000,22000,22000,16532000,16532000,-5579000,10953000,10953000,10953000,10953000,79152000,79152000,186065000,186065000,95254000,9684000,2340000,370155000,254768000,3193000,3193000,257961000,628116000,54242000,28743000,25499000,54242000,35235000,35235000,35235000,89477000,53291000,-91056000,576404000,538639000,538639000,628116000,10953000,4091000,8860000,4280000,28184000,-8624000,-8624000,-414000,1173000,1173000,775000.000000001,20335000,20335000,20335000,20601000,0,21836000,0.13175,0.06581,0.04366,0.02033,0.01744,1.99361,6.82414,0.16612,0,0.5298,0.52768,12.13389,26.05393,1.05621,0.02003,0.01981,0.03805,0.0378,-3.84214,-4.79419
"23","2016_Q2",38.04078125,"Up",225544000,-195401000,30143000,-17309000,-17309000,12834000,3000,3000,12837000,12837000,-4238000,8599000,8599000,8599000,8599000,78561000,78561000,175215000,175215000,98472000,4153000,1792000,356401000,260251000,3192000,3192000,263443000,619844000,38283000,21579000,16704000,46203000,26347000,26347000,26347000,72550000,53761000,-91056000,584589000,547294000,547294000,619844000,8599000,4846000,-676000,-4430000,8339000,-8654000,-8654000,-414000,114000,114000,-276000,-591000,-591000,-591000,17680000,0,8834000,0.13365,0.0569,0.03813,0.01571,0.01387,1.02733,7.71381,0.13256,0,0.41565,0.41447,10.90217,26.45466,0.42701,0.02001,0.01571,0.0154,0.04815,-4.4435,-6.12132
"24","2016_Q3",37.91515625,"Down",238831000,-210201000,28630000,-16725000,-16725000,11905000,21000,21000,11926000,11926000,-4087000,7839000,7839000,7839000,7839000,81135000,81135000,178765000,178765000,95585000,5796000,2788000,361281000,268624000,6192000,6192000,274816000,636097000,45307000,25090000,20217000,54379000,26768000,26768000,26768000,81147000,53992000,-91056000,592014000,554950000,554950000,636097000,7839000,4084000,1779000,2060000,15762000,-12833000,-12833000,-414000,51000,51000,-355000,2574000,2574000,2574000,15989000,0,9303000,0.11988,0.04985,0.03282,0.01413,0.01232,1.18676,6.64376,0.14622,0,0.37881,0.37751,11.54107,26.81695,0.44955,0.02001,0.01419,0.01599,0.05281,-5.07443,-6.8152
"25","2016_Q4",39.4777777777778,"Up",237168000,-209349000,27819000,-18722000,-18722000,9097000,8000,8000,9105000,9105000,-3106000,5999000,5999000,5999000,5999000,79927000,79927000,183531000,183531000,94415000,8508000,6362000,366381000,277905000,193000,193000,278098000,644479000,45891000,22204000,23687000,52248000,30583000,30583000,30583000,82831000,55105000,-91056000,597599000,561648000,561648000,644479000,5999000,4078000,2782000,2603000,15462000,-17076000,-17076000,-414000,970000,970000,406000,-1208000,-1208000,-1208000,13175000,0,1808000,0.1173,0.03836,0.02529,0.01068,0.00931,0.30138,7.01234,0.14748,0,0.28972,0.28873,11.45407,27.12489,0.08732,0.01999,0.01083,0.00305,0.06901,-6.06657,-8.78608
"26","2017_Q1",44.3545161290323,"Up",239247000,-205722000,33525000,-16595000,-16595000,16930000,16000,16000,16946000,16946000,-5544000,11402000,11402000,11402000,11402000,95753000,95753000,184876000,184876000,93274000,2479000,2479000,376382000,281389000,193000,193000,281582000,657964000,50882000,18577000,27986000,50882000,33973000,33973000,33973000,84855000,55579000,-91056000,608586000,573109000,573109000,657964000,11402000,3803000,-3122000,6914000,18997000,-3019000,-3019000,-414000,281000,281000,-152000,15826000,15826000,15826000,20733000,0,30172000,0.14013,0.07076,0.04766,0.01989,0.01733,2.6462,7.39715,0.14806,0,0.55008,0.54809,11.54221,27.64903,1.45562,0.01997,0.01946,0.0497,0.03631,-4.61839,-5.65582
"27","2017_Q2",42.6639682539683,"Down",279392000,-240187000,39205000,-18737000,-18737000,20468000,16000,16000,20484000,20484000,-6852000,13632000,13632000,13632000,13632000,86482000,86482000,211669000,211669000,95638000,2021000,2021000,395810000,283125000,193000,193000,283318000,679128000,58937000,35642000,20560000,58937000,33194000,33194000,33194000,92131000,56250000,-91056000,621803000,586997000,586997000,679128000,13632000,3798000,-894000,-20982000,-4446000,-4631000,-4631000,-415000,222000,222000,-194000,-9271000,-9271000,-9271000,24266000,0,5505000,0.14032,0.07326,0.04879,0.02322,0.02007,0.40383,6.71582,0.15695,0,0.65734,0.65432,13.47247,28.30538,0.26545,0.02001,0.02265,0.00888,0.03044,-3.56392,-4.22523
"28","2017_Q3",41.7530158730159,"Down",291534000,-255662000,35872000,-19319000,-19319000,16553000,20000,20000,16573000,16573000,-5640000,10933000,10933000,10933000,10933000,85858000,85858000,220553000,220553000,95458000,7295000,3170000,409164000,285941000,193000,193000,286134000,695298000,62566000,37587000,24979000,62566000,34787000,34787000,34787000,97353000,56680000,-91056000,632321000,597945000,597945000,695298000,10933000,3850000,1915000,-11551000,5147000,-5537000,-5537000,-415000,181000,181000,-234000,-624000.000000004,-624000.000000004,-624000.000000004,20403000,0,8955000,0.12305,0.05678,0.0375,0.01828,0.01572,0.81908,6.53972,0.16281,0,0.52684,0.52477,14.04848,28.81385,0.43152,0.02,0.01793,0.01415,0.03796,-4.20811,-5.18685
"29","2017_Q4",45.8909523809524,"Up",292030000,-252943000,39087000,-19142000,-19142000,19945000,148000,148000,20093000,20093000,-6129000,13964000,13964000,13964000,13964000,101367000,101367000,222951000,222951000,95419000,2906000,2906000,422643000,285529000,193000,193000,285722000,708365000,61959000,32158000,29525000,61959000,33763000,33763000,33763000,95722000,57831000,-91056000,645868000,612643000,612643000,708365000,13964000,3965000,-795000,3114000,20248000,-5104000,-5104000,-416000,781000,781000,365000,15509000,15509000,15509000,23910000,0,28049000,0.13385,0.0683,0.04782,0.02279,0.01971,2.00867,6.82133,0.15624,0,0.67274,0.67015,14.06899,29.51501,1.3513,0.02004,0.02225,0.04339,0.02979,-4.23952,-5.08233
"30","2018_Q1",51.5247540983607,"Up",301292000,-259281000,42011000,-19528000,-19528000,22483000,243000,243000,22726000,22726000,5762000,28488000,28488000,28488000,28488000,123362000,123362000,228885000,228885000,92365000,2372000,2372000,446984000,286798000,193000,193000,286991000,733975000,71631000,36330000,35005000,71631000,20999000,20999000,20999000,92630000,58461000,-91056000,673940000,641345000,641345000,733975000,28488000,4071000,-12832000,7337000,27064000,-5418000,-5418000,-415000,764000,764000,349000,21995000,21995000,21995000,26554000,0,22711000,0.13944,0.07462,0.09455,0.04442,0.03881,0.79721,6.24009,0.14443,0,1.36823,1.36417,14.47058,30.8028,1.09077,0.01993,0.04364,0.03429,0.01457,-4.6457,-5.4869
"31","2018_Q2",50.6815625,"Down",291431000,-253937000,37494000,-22887000,-22887000,14607000,343000,343000,14950000,14950000,-3597000,11353000,11353000,11353000,11353000,107827000,107827000,248466000,248466000,94498000,1751000,1751000,452542000,290112000,193000,193000,290305000,742847000,68923000,41097000,23621000,68923000,20688000,20688000,20688000,89611000,59416000,-91056000,684876000,653236000,653236000,742847000,11353000,4109000,331000,-23754000,-7961000,-7463000,-7463000,-417000,306000,306000,-111000,-15535000,-15535000,-15535000,18716000,0,-8904000,0.12865,0.05012,0.03896,0.01738,0.01528,-0.78429,6.56591,0.13718,0,0.5449,0.54292,13.98757,31.35282,-0.42736,0.02001,0.01746,-0.01321,0.03673,-5.76122,-7.38187
"32","2018_Q3",49.6719047619048,"Down",336793000,-292295000,44498000,-21498000,-21498000,2.3e+07,393000,393000,23393000,23393000,-5304000,18089000,18089000,18089000,18089000,102020000,102020000,258414000,258414000,96866000,3885000,2159000,461185000,293364000,165000,165000,293529000,754714000,61625000,34684000,26941000,61625000,21760000,21760000,21760000,83385000,59837000,-91056000,702548000,671329000,671329000,754714000,18089000,4104000,1495000,-21725000,1963000,-7353000,-7353000,-417000,0,0,-417000,-5807000,-5807000,-5807000,27104000,0,3330000,0.13212,0.06829,0.05371,0.02695,0.02397,0.18409,7.48373,0.12421,0,0.86795,0.86505,16.16012,32.21194,0.15978,0.02001,0.0267,0.0048,0.02305,-3.76402,-4.43565
"33","2018_Q4",47.2107936507936,"Down",340732000,-286228000,54504000,-24214000,-24214000,30290000,596000,596000,30886000,30886000,-7208000,23678000,23678000,23678000,23678000,134497000,134497000,270591000,270591000,96006000,2242000,2242000,503336000,295542000,165000,165000,295707000,799043000,81627000,46674000,34015000,81627000,22515000,22515000,22515000,104142000,60149000,-91056000,725808000,694901000,694901000,799043000,23678000,4108000,802000,10541000,39129000,-6360000,-6360000,-417000,125000,125000,-292000,32477000,32477000,32477000,34398000,0,45787000,0.15996,0.0889,0.06949,0.03407,0.02963,1.93374,6.16629,0.14987,0,1.13613,1.13249,16.34912,33.34298,2.19697,0.02001,0.03359,0.06382,0.01761,-3.91002,-4.44031
