"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q4",20.5890625,"Up",1091953000,-868168000,223785000,-161424000,-161424000,62361000,-14884000,-17571000,2687000,47477000,-7935000,39542000,-22500000,17042000,17042000,17042000,17042000,127857000,127857000,568573000,568573000,509444000,51190000,51190000,1257064000,842220000,1246116000,248587000,589983000,194461000,213085000,2088336000,3345400000,730775000,281409000,449366000,67817000,798592000,1446547000,319511000,101687000,10226000,207598000,1766058000,2564650000,670950000,282787000,-172987000,780750000,780750000,3345400000,17042000,34921000,23161000,47163000,122287000,-41345000,-41345000,-35289000,-6056000,1053000,109000,-40183000,-70332000,494000,494000,-367000,-70205000,11899000,11899000,-3714000,8185000,97282000,1514364000,125600000,0.20494,0.05711,0.01561,0.02183,0.00509,7.37003,1.5741,3.28485,0.45267,0.16945,0.16818,10.85748,7.76313,1.24886,0.00652,0.04804,14.25245,22.23356
"12","2020_Q1",19.9438709677419,"Down",1068561000,-868155000,200406000,-158465000,-158465000,41941000,-17938000,-18059000,120999.999999999,24003000,-4163000,19840000,-12044000,7796000,7796000,7796000,7796000,225962000,225962000,469762000,469762000,505078000,42476000,42476000,1243278000,864375000,1273679000,250327000,602500000,183837000,237015000,2138054000,3381332000,702940000,294951000,407989000,65846000,768786000,1451526000,348933000,107937000,9288000,231708000,1800459000,2569245000,672779000,290583000,-151275000,812087000,812087000,3381332000,7796000,34220000,5385000,90416000,137817000,-31621000,-31621000,-25109000,-6512000,555000,58000,-31008000,-11967000,1000,1000,-509000,-12475000,94334000,94334000,3884000,98218000,76161000,1517372000,1.47e+08,0.18755,0.03925,0.0073,0.0096,0.00231,18.85582,1.6172,3.16376,0.44875,0.07747,0.07673,10.61899,8.07024,1.46083,0.00291,0.05488,16.95632,30.79111
"13","2020_Q2",13.181746031746,"Down",979187000,-784818000,194369000,-172584000,-172584000,21785000,-14273000,-16604000,2331000,7512000,-6545000,967000,-1197000,-230000,-230000,-230000,-230000,214297000,214297000,539252000,539252000,524022000,59748000,59748000,1337319000,829730000,1239529000,237233000,587043000,181642000,233611000,2069259000,3406578000,693784000,281863000,411921000,64740000,758524000,1547115000,347171000,105281000,8863000,233027000,1894286000,2652810000,676273000,279646000,-202151000,753768000,753768000,3406578000,-230000,33446000,20998000,-130789000,-76575000,-30156000,-30156000,-22635000,-7521000,7775000,15000,-22366000,94995000,-4999000,1000,-706000,89290000,-9651000,-9651000,-5616000,-15267000,55231000,1611855000,-104517000,0.1985,0.02225,-0.00023,-0.00031,-7e-05,454.42174,1.76305,3.5194,0.47316,-0.00229,-0.00229,9.72894,7.48924,-1.03845,-8e-05,-0.03853,25.30387,64.15231
"14","2020_Q3",20.46046875,"Up",992346000,-773675000,218671000,-166327000,-166327000,52344000,-16578000,-19076000,2498000,35766000,-2266000,33500000,-10403000,23097000,23097000,23097000,23097000,457655000,457655000,549446000,549446000,536742000,45663000,45663000,1589506000,841436000,1267939000,243322000,601401000,183286000,239930000,2109375000,3698881000,748243000,293847000,454396000,69194000,817437000,1692657000,358185000,103950000,9427000,244808000,2050842000,2868279000,681286000,302743000,-153427000,830602000,830602000,3698881000,23097000,32771000,6562000,52460000,114890000,-16381000,-16381000,-12316000,-4065000,722000,12000,-15647000,139301000,78000,78000,-226000,139153000,238396000,238396000,5432000,243828000,85115000,1761851000,131597000,0.22036,0.05275,0.02328,0.02781,0.00624,5.69758000000002,1.9445,3.45325,0.47632,0.22981,0.22653,9.87346,8.26417,1.30934,0.00783,0.0446,15.32275,24.91586
"15","2020_Q4",23.97734375,"Up",1112866000,-867972000,244894000,-181963000,-181963000,62931000,-20163000,-18784000,-1379000,42768000,-1319000,41449000,-15969000,25480000,25480000,25480000,25480000,605779000,605779000,562175000,562175000,509949000,51865000,51865000,1729768000,841035000,1282262000,243679000,613772000,186423000,238388000,2123297000,3853065000,828988000,290826000,538162000,68485000,897473000,1698868000,363414000,100658000,10108000,252648000,2062282000,2959755000,685196000,328223000,-120109000,893310000,893310000,3853065000,25480000,33538000,7936000,105312000,172266000,-20359000,-20359000,-15677000,-4682000,751000,511000,-19097000,-12654000,1143000,1143000,176000,-11335000,141834000,141834000,6340000,148174000,96469000,1767353000,197391000,0.22006,0.05655,0.0229,0.02852,0.00661,7.7469,1.92738,3.31325,0.45869,0.25326,0.2505,11.06119,8.87894,1.96194,0.00843,0.06527,12.0409,18.4579
"16","2021_Q1",27.7752459016393,"Up",1151278000,-907305000,243973000,-181841000,-181841000,62132000,-21034000,-20336000,-698000,41098000,-339000,40759000,2480000,43239000,43239000,43239000,43239000,735820000,735820000,477472000,477472000,512228000,35133000,35133000,1760653000,872585000,1331447000,246055000,639867000,199194000,246331000,2204032000,3964685000,800922000,269891000,531031000,66702000,867624000,1701340000,391257000,115077000,7321000,268859000,2092597000,2960221000,691695000,371462000,-58693000,1004464000,1004464000,3964685000,43239000,34868000,-8708000,75675000,145074000,-3e+07,-3e+07,-27064000,-2936000,5060000,46999.9999999999,-24893000,-10784000,1762000,1762000,-177000,-9199000.00000001,110982000,110982000,19001000,129983000,9.7e+07,1768042000,140195000,0.21191,0.05397,0.03756,0.04305,0.01091,3.24233000000001,2.02928,2.94707,0.44595,0.42908,0.42224,11.42477,9.96785,1.39123,0.01367,0.04431,10.64146,16.61337
"17","2021_Q2",28.2980952380952,"Up",1092383000,-856444000,235939000,-191554000,-191554000,44385000,-7614000,-18455000,10841000,36771000,-927000,35844000,-10359000,25485000,25485000,25485000,25485000,612818000,612818000,633582000,633582000,531549000,45344000,45344000,1823293000,853533000,1306639000,241567000,625738000,196896000,242438000,2160172000,3983465000,862113000,326121000,535992000,40922000,903035000,1718508000,384770000,111215000,7110000,266445000,2103278000,3006313000,699091000,373812000,-95751000,977152000,977152000,3983465000,25485000,34210000,3822000,-128398000,-64881000,-21012000,-21012000,-17894000,-3118000,2489000,177000,-18346000,-8642000,-21878000,1265000,-994882.684710884,-30520000,-113747000,-113747000,-9505000,-123252000,78595000,1759430000,-60456000,0.21599,0.04063,0.02333,0.02608,0.0064,-2.37222,2.01907,3.07661,0.44168,0.2536,0.24829,10.87004,9.7234,-0.60158,0.00816,-0.01937,14.58887,25.83332
"18","2021_Q3",26.66171875,"Down",1245815000,-953898000,291917000,-188691000,-188691000,103226000,-19012000,-18860000,-152000.000000002,84214000,-1145000,83069000,-22359000,60710000,60710000,60710000,60710000,618311000,618311000,619032000,619032000,558885000,48688000,48688000,1844916000,846180000,1313295000,239462000,630158000,191523000,252152000,2159475000,4004391000,860838000,346521000,514317000,42336000,903174000,1677247000,397517000,109628000,7293000,280596000,2074764000,2977938000,707105000,400783000,-81435000,1026453000,1026453000,4004391000,60710000,35465000,18296000,-8849000.00000003,105622000,-23713000,-23713000,-17505000,-6208000,498000,85000.0000000001,-23130000,-46012000,-32689000,1062000,-1106000,-79807000,2685000.00000006,2685000.00000006,3195000,5879999.99999997,138691000,1719583000,128488000,0.23432,0.08286,0.04873,0.05915,0.01516,2.11642,2.0427,2.90119,0.42942,0.60411,0.59147,12.3968,10.21398,1.27855,0.01931,0.04087,7.94047,10.66855
"19","2021_Q4",25.934375,"Down",1146585000,-918513000,228072000,-173774000,-173774000,54298000,-16126000,-19377000,3251000,38172000,-576000,37596000,2946000,40542000,40542000,40542000,40542000,443851000,443851000,590769000,590769000,601941000,59163000,59163000,1695724000,834688000,1296135000,232858000,621504000,200753000,241020000,2130823000,3826547000,892652000,354131000,538521000,45519000,938171000,1670040000,387912000,107060000,7679000,273173000,2057952000,2996123000,716379000,220308000,-106263000,830424000,830424000,3826547000,40542000,33661000,4666000,15674000,94543000,-25865000,-24059777.8272566,-18089930.1328746,-5969847.69438203,-2987000,1870000,-26982000,-17589000,-218071000,3023000,-172000,-235832000,-168271000,-168271000,-6026000,-174297000,87959000,1715559000,74822000,0.19891,0.04736,0.03536,0.04882,0.01059,1.84554,1.80748,3.60794,0.44833,0.42327,0.41444,11.97055,8.66977,0.78115,0.01382,0.0255,14.45796,23.4209
"20","2022_Q1",23.5440322580645,"Down",1286936000,-1067597000,219339000,-150873000,-150873000,68466000,-20311000,-20874000,563000,48155000,-302000,47853000,-5768000,42085000,42085000,42085000,42085000,395596000,395596000,552041000,552041000,615971000,176249000,56825000,1739857000,798804000,1200010000,222181000,545213000,204232000,228384000,1998814000,3738671000,844439000,418774000,425665000,38561000,888868000,1667696000,339889000,61438000,9254000,269197000,2007585000,2896453000,720353000,215611000,-93746000,842218000,842218000,3738671000,42085000,33911000,-420999.999999998,-35193000,40382000,-29103000,-19875985.8900724,-16665419.1754657,-3210566.71460674,3166000,2034000,-23903000,-13808000,-40900000,4834000,-342000,-55050000,-38571000,-38571000,-9464000,-48035000,102377000,1706257000,43849000,0.17044,0.0532,0.0327,0.04997,0.01126,1.04191999999999,1.95739,3.43908,0.45638,0.43937,0.43021,13.43584,8.7929,0.45779,0.01457,0.01518,12.8023,19.14324
"21","2022_Q2",18.1646774193548,"Down",1171022000,-967724000,203298000,-192996000,-192996000,10302000,-11017000,-18354000,7337000,-715000,-1000,-716000,188000,-528000,-528000,-528000,-528000,265649000,265649000,708502000,708502000,674554000,209979000,88727000,1858684000,788499000,1188603000,215817000,539973000,203891000,228922000,1977102000,3835786000,878230000,406493000,471737000,36395000,919408000,1783032000,321571000,59933000,9253000,252385000,2104603000,3024011000,728607000,173760000,-90592000,811775000,811775000,3835786000,-528000,32565000,3609000,-222513000,-186867000,-16380000,-16380000,-15382000,-998000,39000,7075000,-9266000,110623000,-39229000,987000,-111000,71283000,-124850000,-124850000,-4940000,-129790000,42867000,1819427000,-196214000,0.17361,0.0088,-0.00045,-0.00065,-0.00014,371.61742,2.02161,3.72518,0.47433,-0.00585,-0.00569,12.98343,9.00037,-2.17548,-0.00018,-0.06645,36.24648,150.82295
"22","2022_Q3",13.10671875,"Down",1330968000,-1084803000,246165000,-180487000,-180487000,65678000,665000,-20222000,20887000,66343000,-5296000,61047000,-15221000,45826000,45826000,45826000,45826000,272510000,272510000,698893000,698893000,723265000,214288000,91860000,1908956000,762768000,1143586000,204351000,519165000,198199000,221871000,1906354000,3815310000,856251000,420885000,435366000,30815000,893308000,1867838000,317657000,56143000,8282000,253232000,2185495000,3078803000,731149000,155331000,-149973000,736507000,736507000,3815310000,45826000,32513000,22214000,-79397000,21155999.9999999,-18401000,-18401000,-16120000,-2281000,133000,6170000,-12098000,76005000,-63940000,1023000,-2267000,9798000,18856000,18856000,-12041000,6815000,98191000,1898653000,15614000,0.18495,0.04935,0.03443,0.06222,0.01201,0.340719999999976,2.13695,4.18028,0.49764,0.52541,0.52095,15.26006,8.44433,0.17902,0.01552,0.00529,16.56102,24.75933
