"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",4.23741935483871,"Down",72876000,-33069000,39807000,-34400000,-17606000,-16794000,5407000,-2155000,169000,3252000,3465000,-2050000,1415000,1361000,1361000,1361000,94647000,94647000,23735000,23735000,6120000,5076000,131751000,319925000,8136000,92979000,76210000,16769000,421040000,552791000,36101000,10072000,13045000,2719000,10730000,10730000,49550000,63400000,46881000,16519000,293600000,343150000,23774000,187003000,209641000,209641000,552791000,1361000,1361000,16794000,3950000,10874000,32979000,-24572000,-21312000,-21312000,-20965000,-2312000,61321000,73335000,73335000,73335000,22201000,232919000,10553000,0.54623,0.07419,0.01868,0.00649,0.00246,7.75386,2.65895,1.63685,0.42135,0.0285,0.02841,1.52614,4.3902,0.221,5,0.00269,0.02086,6.22819,25.57278
"12","2013_Q1",4.13333333333333,"Down",74998000,-25340000,49658000,-29410000,-12858000,-16552000,20248000,-1880000,329000,18368000,7459000,-2400000,5059000,4916000,4916000,4916000,71086000,71086000,25274000,25274000,10286000,4546000,116435000,365474000,8214000,80617000,74932000,5685000,454305000,570740000,44973000,31729000,13244000,1977000,11190000,11190000,58140000,74752000,57896000,16856000,304752000,362892000,24688000,184023000,207848000,207848000,570740000,4916000,4916000,16553000,23652000,-25602000,19519000,-31698000,-35442000,-35442000,-34939000,0,-8141000.00000001,-23561000,-23561000,-23561000,36801000,231977000,-18099000,0.66212,0.26998,0.06555,0.02365,0.00861,-3.68165,2.00267,1.74595,0.40645,0.1027,0.1009,1.56677,4.34211,-0.3781,7,0.02394,-0.03517,4.37192,7.94602
"13","2013_Q2",4.61125,"Up",76010000,-30700000,45310000,-30101000,-16129000,-13972000,15209000,-1632000,520000,13577000,13725000,-5374000,8351000,8351000,8351000,8351000,67095000,67095000,24566000,24566000,8971000,5790000,107818000,370196000,8448000,80266000,73783000,6483000,458910000,566728000,32374000,20500000,11874000,1238000,11191000,11191000,44803000,74709000,56952000,17757000,304909000,349712000,24973000,192374000,217016000,217016000,566728000,8351000,8351000,13972000,-17000,403000,22709000,-25871000,-26024000,-26024000,-25838000,30000,-862000,-3991000,-3991000,-3991000,29181000,231438000,9087000,0.59611,0.20009,0.10987,0.03848,0.01474,1.08813,2.40649,1.61146,0.40838,0.17418,0.17375,1.58533,4.52626,0.18953,6,0.01596,0.01737,5.63185,10.80564
"14","2013_Q3",5.41125,"Up",77453000,-30529000,46924000,-32425000,-16355000,-16070000,14499000,-1609000,459000,12890000,12920000,-5078000,7842000,7842000,7842000,7842000,73402000,73402000,25019000,25019000,11365000,5548000,117797000,386581000,8578000,83126000,72625000,10501000,478285000,596082000,47351000,34721000,12630000,517000,11282000,11282000,59150000,78620000,60498000,18122000,308820000,367970000,25452000,200216000,228112000,228112000,596082000,7842000,7842000,16070000,3109000,2425000,29446000,-22296000,-22458000,-22458000,-22277000,31000,-861999.999999996,6307000,6307000,6307000,30569000,230717000,15776000,0.60584,0.1872,0.10125,0.03438,0.01316,2.01173,1.9915,1.61311,0.38706,0.1634,0.16285,1.61381,4.75293,0.32871,6,0.01459,0.02935,5.14623,10.85006
"15","2013_Q4",7.14125,"Up",77513000,-31777000,45736000,-32474000,-17482000,-14992000,13262000,-1673000,377000,11589000,11937000,-5220000,6717000,6717000,6717000,6717000,61955000,61955000,24255000,24255000,16953000,5602000,111970000,395456000,8976000,81097000,71673000,9424000,485529000,597499000,37306000,23631000,13675000,1945607.39248738,11161000,11161000,48467000,83945000,64954000,18991000,314145000,362612000,25908000,206933000,234887000,234887000,597499000,6717000,6717000,14992000,6184000,-6530000,21363000,-32321000,-32302000,-32302000,-32276000,8000,-534000,-11447000,-11447000,-11447000,28254000,230200000,-5377000,0.59004,0.17109,0.08666,0.0286,0.01124,-0.80051,2.31023,1.54377,0.38527,0.13989,0.13922,1.61425,4.89164,-0.11198,6,0.01223,-0.00979,5.95473,12.68625
"16","2014_Q1",7.64,"Up",77966000,-32134000,45832000,-33395000,-17707000,-15688000,12437000,-1785000,413000,10652000,10882000,-4206000,6676000,6676000,6676000,6676000,38316000,38316000,25824000,25824000,23119000,5580000,97974000,408963000,9332000,80737000,70816000,9921000,499032000,597006000,26583000,12604000,13979000,5750000,11661000,11661000,43994000,94447000,74547000,19900000,318697000,362691000,26759000,204962000,234315000,234315000,597006000,6676000,6676000,15688000,10644000,-12262000,20746000,-36184000,-36244000,-36244000,-36172000,32000,-8213000,-23639000,-23639000,-23639000,28125000,2.3e+08,-16115000,0.58785,0.15952,0.08563,0.02849,0.01118,-2.41387,2.22699,1.54788,0.38526,0.13894,0.13779,1.6226,4.87648,-0.33538,7,0.02661,-0.02884,6.81543,15.4124
"17","2014_Q2",8.11142857142857,"Up",80452000,-32236000,48216000,-32536000,-17149000,-15387000,15680000,-1420000,628000,14260000,14242000,-5626000,8616000,8616000,8616000,8616000,53681000,53681000,25538000,25538000,14540000,5626000,102336000,405729000,9463000,79067000,69991000,9076000,494259000,596595000,17602000,5727000,11875000,11500000,12042000,12042000,41144000,93343000,72202000,21141000,311843000,352987000,27783000,213578000,243608000,243608000,596595000,8616000,8616000,15387000,-1508000,10102000,32597000,-17112000,-17196000,-17196000,-17109000,305000,-123000,15365000,15365000,15365000,31067000,2.3e+08,29683000,0.59931,0.1949,0.10709,0.03537,0.01444,3.4451,2.48726,1.449,0.38552,0.17906,0.17786,1.67197,5.06272,0.61688,6,0.0152,0.05236,5.67544,11.24483
"18","2014_Q3",7.99953125,"Down",81416000,-32403000,49013000,-33220000,-16624000,-16596000,15793000,-1606000,458000,14187000,14301000,-5686000,8615000,8615000,8615000,8615000,72085000,72085000,26844000,26844000,5277000,4411000,111801000,405810000,9668000,76724000,69165000,7559000,492202000,604003000,20353000,8478000,11294000,17250000,11912000,11912000,49515000,89975000,68228000,21747000,302725000,352240000,28236000,222193000,251763000,251763000,604003000,8615000,8615000,16596000,-2002000,10770000,33979000,-15469000,-15608000,-15608000,-15445000,89000,-129999.999999998,18404000,18404000,18404000,32389000,2.3e+08,33376000,0.60201,0.19398,0.10581,0.03422,0.01426,3.87417,2.25792,1.39909,0.38079,0.17873,0.17711,1.68906,5.22308,0.69242,6,0.01507,0.05838,4.87558,9.99905
"19","2014_Q4",8.140625,"Up",82268000,-33331000,48937000,-34794000,-18063000,-16731000,14143000,-1597000,410000,12546000,12785000,-4782000,8003000,8003000,8003000,8003000,78643000,78643000,27747000,27747000,7987000,4980000,121982000,405843000,9999000,76788000,68680000,8108000,492630000,614612000,21810000,8522000,13288000,2.3e+07,12336000,12336000,57146000,89793000,66637000,23156000,296793000,353939000,28667000,230196000,260673000,260673000,614612000,8003000,8003000,16731000,2639000,-2611000,24762000,-18226000,-18393000,-18393000,-18213000,1000,9000,6558000,6558000,6558000,30874000,2.3e+08,14819000,0.59485,0.17191,0.09728,0.0307,0.01302,1.85168,2.13457,1.35779,0.37422,0.16595,0.16359,1.70588,5.40524,0.30728,7,0.01379,0.02553,4.90241,10.7019
"20","2015_Q1",8.8472131147541,"Up",82810000,-31773000,51037000,-34710000,-17534000,-17176000,16327000,-1494000,535000,14833000,14706000,-6057000,8649000,8649000,8649000,8649000,68917000,68917000,30371000,30371000,20242000,4279000,128324000,405907000,10089000,74922000,68260000,6662000,490918000,619242000,23779000,11151000,12628000,2.3e+07,12375000,12375000,59154000,100492000,76777000,23715000,301742000,360896000,29712000,227512000,258346000,258346000,619242000,8649000,8649000,14610000,13613000,-13217000,23655000,-16874000,-17035000,-17035000,-16871000,0,-16510000,-9726000,-9726000,-9726000,30937000,224250000,6903000,0.61631,0.19716,0.10444,0.03348,0.01397,0.79813,2.16932,1.39695,0.36214,0.17927,0.17696,1.71641,5.35477,0.14308,7,0.03329,0.01184,5.02095,9.51387
"21","2015_Q2",9.61111111111111,"Up",84287000,-30691000,53596000,-35070000,-18733000,-16337000,18526000,-1483000,432000,17043000,17145000,-6859000,10286000,10286000,10286000,10286000,77152000,77152000,28277000,28277000,12518000,5998000,128208000,402174000,10329000,74795000,67939000,6856000,487298000,615506000,18722000,7524000,11198000,2.3e+07,11510000,11510000,53232000,98454000,74075000,24379000,293954000,347186000,30307000,237798000,268320000,268320000,615506000,10286000,10286000,16337000,-678000,-2124000,23821000,-9476000,-9500000,-9500000,-9476000,357000,-6110000,8235000,8235000,8235000,34863000,218500000,30122000,0.63588,0.2198,0.12204,0.03833,0.01671,2.92845,2.40848,1.29393,0.35499,0.21293,0.21034,1.74486,5.55459,0.62357,7,0.01757,0.05147,4.05438,7.62971
"22","2015_Q3",10.959375,"Up",85702000,-30279000,55423000,-35649000,-17985000,-17664000,19774000,-1498000,442000,18276000,17350000,-6876000,10474000,10474000,10474000,10474000,92137000,92137000,29806000,29806000,6751000,5577000,134402000,402877000,10526000,74452000,67535000,6917000,487855000,622257000,21315000,9410000,11406000,2.3e+07,11373000,11373000,55688000,97102000,72241000,24861000,286852000,342540000,30904000,248272000,279717000,279717000,622257000,10474000,10474000,16852000,443000.000000002,8680000,36449000,-15607000,-15635000,-15635000,-15604000,93000,-5860000,14985000,14985000,14985000,36626000,212750000,36575000,0.64669,0.23073,0.12221,0.03744,0.01683,3.49198,2.41348,1.22459,0.3419,0.21649,0.21396,1.77143,5.78167,0.75599,8,0.01777,0.06204,3.2931,6.09958
"23","2015_Q4",13.46421875,"Up",85213000,-30571000,54642000,-37424000,-18306000,-19118000,17218000,-1417000,391000,15801000,13460000,-5464000,7996000,7996000,7996000,7996000,87288000,87288000,32025000,32025000,7307000,6196000,131628000,398435000,10380000,79801000,67274000,12527000,488616000,620244000,21933000,8008000,12250000,2.3e+07,11818000,11818000,56751000,92052000,67511000,24541000,276052000,332803000,31611000,256268000,287441000,287441000,620244000,7996000,7996000,18796000,-2869000,-1070000,22853000,-14319000,-14509000,-14509000,-14284000,-7615000,-13418000,-4849000,-4849000,-4849000,36014000,2.07e+08,26089000,0.64124,0.20206,0.09384,0.02782,0.01289,3.26276,2.3194,1.15781,0.33374,0.16519,0.16303,1.76038,5.93813,0.53896,7,0.01363,0.04448,3.32404,6.95272
"24","2016_Q1",13.4381967213115,"Down",87283000,-29789000,57494000,-35380000,-17797000,-17583000,22114000,-1203000,489000,20911000,20635000,-8527000,12108000,12108000,12108000,12108000,76812000,76812000,29778000,29778000,17174000,8573000,127947000,410018000,10679000,78507000,66993000,11504000,499204000,627151000,26563000,13009000,13554000,22492000,11674000,11674000,60729000,99315000,74868000,21793000,276484000,337213000,32776000,256747000,289938000,289938000,627151000,12108000,12108000,17302000,7613000,-824999.999999999,36198000,-29914000,-30035000,-30035000,-29898000,-1921000,-16776000,-10476000,-10476000,-10476000,39416000,199661000,17204000,0.65871,0.25336,0.13872,0.04176,0.01931,1.42088,2.10685,1.16305,0.31836,0.24986,0.24612,1.80113,5.98304,0.35501,7,0.03938,0.02921,3.11673,5.55526
"25","2016_Q2",18.09375,"Up",92571000,-31762000,60809000,-39165000,-21426000,-17739000,21644000,-1151000,468000,20493000,20249000,-6368000,13881000,13881000,13881000,13881000,89160000,89160000,27012000,27012000,8335000,7623000,128957000,410949000,10860000,78606000,67283000,11323000,500415000,629372000,20524000,10720000,9804000,22508000,11981000,11981000,55013000,99555000,71767000,27788000,271090000,326103000,33274000,270628000,303269000,303269000,629372000,13881000,13881000,17454000,3119000,8716000,43170000,-20392000,-20537000,-20537000,-22827000,-1528000,-7995000,12348000,12348000,12348000,39098000,194043000,33790000,0.65689,0.23381,0.14995,0.04577,0.02206,2.43426,2.34412,1.07529,0.30831,0.28583,0.28185,1.9062,6.24486,0.6958,7,0.02326,0.05661,2.68257,4.84582
"26","2016_Q3",18.77484375,"Up",130309000,-50295000,80014000,-66109000,-33694000,-32415000,13905000,-5759000,146000,8146000,-11887000,4891000,-6996000,-6996000,-6996000,-6996000,40571000,40571000,77392000,77392000,20729000,18562000,158111000,653523000,12526000,631681000,464146000,15805000,1297730000,1455841000,95303000,27951000,37635000,20147000,23024000,23024000,138474000,217834000,142181000,75653000,1013260000,1151734000,44344000,263633000,304107000,304107000,1455841000,-6996000,-6996000,25299000,-36612000,25532000,7223000,-39546000,-39586000,-39586000,-681490000,-13297000,625678000,-48589000,-48589000,-48589000,39204000,815573000,20299000,0.61403,0.10671,-0.05369,-0.02301,-0.00481,-2.90152,1.14181,3.78727,0.56021,-0.14328,-0.1411,2.66868,6.228,0.41572,2,-0.00523,0.01518,19.76844,55.73549
"27","2016_Q4",15.8012698412698,"Down",156836000,-58297000,98539000,-87950000,-41143000,-46807000,10589000,-6549000,2296000,4040000,-11247000,3651000,-7596000,-7596000,-7596000,-7596000,27531000,27531000,79944000,79944000,19926000,17759000,141529000,667741000,10113000,614242000,458401000,10428000,1292096000,1433625000,87513000,34974000,38350000,25972000,21979000,21979000,135464000,216260000,146966000,69294000,999855000,1135319000,44427000,256037000,298306000,298306000,1433625000,-7596000,-7596000,41503000,12841000,-1695000,45053000,-42625000,-42727000,-42727000,-51040000,0,-7053000,-13040000,-13040000,-13040000,52092000,809567000,4121000,0.62829,0.06752,-0.04843,-0.02546,-0.0053,-0.54252,1.04477,3.80589,0.5647,-0.1553,-0.16,3.20649,6.09883,0.08425,4,-0.00574,0.00311,15.01259,73.85362
"28","2017_Q1",16.3390322580645,"Up",155572000,-53166000,102406000,-83786000,-37062000,-46724000,18620000,-7393000,1340000,11227000,4830000,-5014000,-184000,-184000,-184000,-184000,36193000,36193000,69789000,69789000,16440000,16440000,161465000,698122000,10276000,614544000,454532000,14756000,1322942000,1484407000,111795000,72810000,38550000,32041000,20427000,20427000,164263000,227026000,151837000,57451000,1024250000,1188513000,45482000,243624000,295894000,295894000,1484407000,-184000,-184000,59429000,-2842000,9677000.00000001,66080000,-65158000,-70381000,-70381000,-64656000.0000001,-5182000,7237999.99999994,8662000.00000001,8662000.00000001,8662000.00000001,78049000,829265000,27582000,0.65825,0.11969,-0.00118000000000001,-0.000619999999999999,-0.000120000000000001,-149.90217,0.98297,4.01669,0.55865,-0.00376000000000001,-0.00376000000000001,3.17987,6.04803,0.56377,4,0.00852,0.0204,10.16121,42.59248
"29","2017_Q2",18.3155555555556,"Up",153880000,-53761000,100119000,-84957000,-40153000,-44804000,15162000,-7845000,1255000,7317000,2948000,-607000,2341000,2341000,2341000,2341000,39927000,39927000,68709000,68709000,16989000,16989000,150480000,689948000,10607000,601954000,443308000,14645000,1302509000,1452989000,51200000,25390000,21852000,38124000,21029000,21029000,110353000,232328000,149763000,64673000,1043201000,1153554000,46083000,245965000,299435000,299435000,1452989000,2341000,2341000,37878000,16298000,-32019000,24498000,-38470000,-38587000,-38587000,-38481000,-1226000,17717000,3734000,3734000,3734000,53040000,848997000,-16842000,0.65063,0.09853,0.01521,0.00782,0.00161,-7.19436,1.36362,3.85244,0.58431,0.04773,0.04698,3.13721,6.10469,-0.34336,3,0.0017,-0.0122,15.25396,53.36169
"30","2017_Q3",20.0503174603175,"Up",153258000,-53381000,99877000,-87947000,-43022000,-44925000,11930000,-8165000,1224000,3765000,160000,-240000,-80000.0000000005,-79999.9999999995,-79999.9999999995,-79999.9999999995,59774000,59774000,65797000,65797000,18504000,16765000,158069000,679463000,10849000,594618000,436656000,11465000,1284930000,1442999000,47085000,22433000,24652000,44247000,20883000,20883000,112215000,232339000,143197000,71169000,1032121000,1144336000,46766000,245885000,298663000,298663000,1442999000,-80000,-80000,38817000,7453000,16106000,62296000,-30027000,-30179000,-30179000,-36009000,-372000,-6439999.99999999,19847000,19847000,19847000,50747000,844029000,37066000,0.65169,0.07784,-0.000519999999999998,-0.000269999999999999,-5.99999999999999e-05,-463.325,1.40863,3.83153,0.58491,-0.00163,-0.0016,3.12033,6.08077,0.75466,5,-5.99999999999995e-05,0.02696,15.45421,65.73806
"31","2017_Q4",21.8446031746032,"Up",151782000,-55834000,95948000,-84767000,-42199000,-42568000,11181000,-8820000,1003000,2361000,857000,2677000,3534000,3534000,3534000,3534000,75467000,75467000,64396000,64396000,25915000,18226000,173217000,683355000,11319000,579181000,421672000,11012000,1273855000,1447072000,54112000,31462000,22650000,54316000,21109000,21109000,129537000,239504000,142056000,80509000,1018190000,1147727000,43908000,249419000,299345000,299345000,1447072000,3534000,3534000,55602000,-1280000,14055000,71911000,-40582000,-40669000,-40669000,-40585000,-3508000,-15633000,15693000,15693000,15693000,66783000,833002000,37579000,0.63214,0.07366,0.02328,0.01181,0.00244,10.63356,1.3372,3.83413,0.57565,0.07193,0.07081,3.08914,6.09242,0.76483,7,0.00258,0.02739,11.34323,67.75199
