"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"23","2015_Q4",16.6028125,"Down",139510700,-110057300,29453400,-24742400,-24742400,4711000,-55500,-55500,4655500,4655500,-1768800,2886700,2886700,2886700,2886700,7474500,7474500,67211000,67211000,65931500,9353300,5531200,149970300,19902600,14304300,2619600,34206900,184177200,60318400,49158200,11160200,60569500,5804200,2444100,7573400,68142900,57963500,-57134800,115205600,116034300,116034300,184177200,2886700,1229800,-156900,-129100,3830500,-605300,-605300,-62500,0,0,-1717400,1507800,1507800,1507800,5940800,2020300,6975200,0.21112,0.03377,0.02069,0.02488,0.01567,2.41632,2.476,0.58727,0.01097,0.35007,0.3491,16.91859,14.07159,0.84589,0.03667,0.05632,-0.91809,-1.15776
"24","2016_Q1",14.0126229508197,"Down",114154100,-91135200,23018900,-26202100,-26202100,-3183200,-12400,-12400,-3195600,-3195600,1205800,-1989800,-1989800,-1989800,-1989800,16882800,16882800,58315700,58315700,53903900,5917100,5917100,135019500,19895400,14501100,2816400,34396500,169416000,52244800,41986000,10258800,52495900,2686300,2306900,4392800,56888700,58211400,-57245200,111561100,112527300,112527300,169416000,-1989800,1161700,726000,12549400,12447300,1811600,-1154700,-62700,-37899.9999999999,-110400,-1884300,9408300,9408300,9408300,-2021500,1957600,11133700,0.20165,-0.02789,-0.01743,-0.01768,-0.01175,-5.59539,2.572,0.50555,0.01155,-0.24278,-0.24593,13.92803,13.72954,1.35843,-0.00286,0.09502,7.38323,4.68874
"25","2016_Q2",11.94328125,"Down",128860000,-101754000,27106000,-26955700,-26955700,150300,-11400,-11400,138900,138900,-58400,80500,80500,80500,80500,12571800,12571800,61316400,61316400,58295500,5954400,5954400,138138100,19309500,14661200,2976500,33970700,172108800,58610200,49443500,9166700,58636500,2531200,2159100,2580900,61217400,58344400,-57432800,109979800,110891400,110891400,172108800,80500,1176700,-86000,-1047000,124200,-203100,-590800,-1881600,-187600,-187600,-3844400,-4311000,-4311000,-4311000,1327000,76000,135300,0.21035,0.00117,0.00062,0.000730000000000001,0.000469999999999993,1.68075,2.35584,0.55205,0.000439999999999999,0.00971,0.00968,15.54459,13.37701,0.01632,0.01535,0.00119,-9.41658,-83.13906
"26","2016_Q3",10.85921875,"Down",134633800,-105878200,28755600,-26709500,-26709500,2046100,-17200,-17200,2028900,2028900,-1034700,994200,994200,994200,994200,10754800,10754800,70595000,70595000,72251900,5594700,5594700,159196400,18810400,14654100,2969400,33464500,192660900,79784500,69843600,9940900,79811000,2355600,1990700,2398600,82209600,58572000,-57432800,109312100,110451300,110451300,192660900,994200,1098900,-91900,-1618300,382900,-179200,-599800,-6500,68300,5.82076609134674e-11,-1600100,-1817000,-1817000,-1817000,3145000,69500,2382200,0.21358,0.0152,0.00738,0.009,0.00516,2.3961,1.99467,0.74431,0.00036,0.11963,0.11943,16.20084,13.29089,0.28666,0.02353,0.0211,-3.39755,-5.22228
"27","2016_Q4",10.2247619047619,"Down",147198400,-117229800,29968600,-27860700,-27860700,2107900,-37100,-37100,2070800,2070800,-843100,1227700,1227700,1227700,1227700,8354700,8354700,70981800,70981800,63129700,4992000,4992000,147458200,18447500,14637500,2952800,33085000,180543200,68173400,58616300,9557100,68199900,2105900,1708400,2142300,70342200,58760000,-57432800,108873800,110201000,110201000,180543200,1227700,1085600,-29600,-2183700,1e+05,-1531000,-722700,-6600,0,0,-1777400,-2400100,-2400100,-2400100,3193500,62900,321900,0.20359,0.01432,0.00834,0.01114,0.0068,0.2622,2.16215,0.63831,0.00035,0.14753,0.1473,17.68871,13.24277,0.03868,0.02575,0.00286000000000001,-2.59646,-3.93367999999999
"28","2017_Q1",12.1038709677419,"Up",122602900,-96665300,25937600,-27697000,-27697000,-1759400,7100,7100,-1752300,-1752300,895000,-857300,-857300,-857300,-857300,8540100,8540100,64778900,64778900,63984300,3864100,3864100,141167400,13830900,18982200,7304500,32813100,173980500,63946400,53581400,10365000,63972900,1961500,1574700,1991300,65964200,59104400,-57437600,106349500,108016300,108016300,173980500,-857300,877700,-32200,2456000,2444200,1183100,-649700,-6600,64500,-4799.99999999999,-1609100,185400,185400,185400,-881700,56300,1862400,0.21156,-0.01435,-0.00699,-0.00794,-0.00493,-2.1724,2.20668,0.61069,0.00032,-0.10293,-0.10224,14.71943,12.9682,0.2236,0.00736,0.01693,9.62209,4.82198
"29","2017_Q2",12.1912698412698,"Up",140010800,-110844000,29166800,-27881500,-27881500,1285300,-68600,-68600,1216700,1216700,-533800,682900,682900,682900,682900,158700,158700,79792700,79792700,72105700,4685700,4685700,156742800,13485600,19140600,7462900,32626200,189369000,71570200,63111800,8458400,79935200,2117200,1736400,2140000,82075200,59436200,-57502400,105360000,107293800,107293800,189369000,682900,989600,444200,-16264000,-14147300,-182600,-843600,8346800,-64900,-64900,6609500,-8381400,-8381400,-8381400,2274900,49700,-13637900,0.20832,0.00918,0.00488,0.00636,0.00361,-19.97057,1.96087,0.76496,0.00026,0.08179,0.08127,16.76925,12.8507,-1.63343,0.02152,-0.12459,-0.0479100000000017,-0.08481
"30","2017_Q3",11.7346031746032,"Down",145083500,-115160400,29923100,-26674400,-26674400,3248700,-156500,-156500,3092200,3092200,-1318300,1773900,1773900,1773900,1773900,245700,245700,92945900,92945900,73229000,4429200,4429200,170849800,13091100,19097000,7419300,32188100,203037900,79735700,69170600,10565100,93041200,2123200,1749600,2139300,95180500,59900100,-57502400,105459700,107857400,107857400,203037900,1773900,1041400,276500,-5744400,-2652600,-101500,-619500,4956800,76500,99.9999999999927,3359100,87000.0000000019,87000.0000000019,87000.0000000019,4290100,43000,-237500,0.20625,0.02239,0.01223,0.01645,0.00874,-0.133890000000001,1.83628,0.88247,0.00021,0.21206,0.21136,17.34377,12.89363,-0.0283899999999999,0.03134,-0.00216,-0.04725,-0.06239
"31","2017_Q4",14.1428571428571,"Up",146260300,-116660500,29599800,-27413200,-27413200,2186600,-114500,-114500,2072100,2072100,-501900,1570200,1570200,1570200,1570200,42400,42400,85036300,85036300,66500600,4544100,4544100,156123400,12976000,18869700,7192000,31845700,187969100,71988600,62383300,9605300,77952600,1886300,1541800,1895700,79848300,60269700,-57503000,105354100,108120800,108120800,187969100,1570200,999700,15900,6880700,9466500,-291200,-666600,-7326800,-600,-600,-9003200,-203300,-203300,-203300,3186300,36300,10277700,0.20238,0.01495,0.01074,0.01452,0.00835,6.54547,2.0028,0.73851,0.00019,0.18744,0.18574,17.45932,12.90655,1.22687,0.0295,0.0934,-0.00190999999999962,-0.0027899999999999
"32","2018_Q1",19.6119672131148,"Up",148920100,-117381400,31538700,-30357600,-30357600,1181100,-89500,-89500,1091600,1091600,76800,1168400,1168400,1168400,1168400,19400,19400,87862300,87862300,72323000,4489100,4489100,164693800,13662800,21067100,8678900,34729900,199423700,79041700,67041100,12000600,89904400,1465400,1465400,1467700,91372100,60710900,-57503000,104843700,108051600,108051600,199423700,1168400,961900,-2600600,-1443400,-1913700,-1071300,-1409700,4906900,72300,7.27595761418343e-12,3300400,-23000,-23000,-23000,2143000,29600,-448500,0.21178,0.00793,0.00785,0.01081,0.00586,-0.38386,1.83188,0.84563,0.00015,0.13924,0.13532,17.74689,12.87657,-0.0534500000000002,0.02599,-0.00409,0.00476,0.00864
