"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2017_Q2",19.9957142857143,"Up",9.66e+08,-4.43e+08,5.23e+08,-3.73e+08,-2.31e+08,-1.02e+08,-4e+07,1.5e+08,-1.47e+08,-1.47e+08,3e+06,-4.61e+08,-4.7e+07,-5.08e+08,-5.08e+08,-5.07e+08,-5.07e+08,1.454e+09,1.454e+09,1.59e+08,1.59e+08,1.7e+07,3.212e+09,3.212e+09,4.842e+09,7.429e+09,7.429e+09,2.541e+09,1.608e+09,5.16e+08,9.97e+09,1.4812e+10,9.62e+08,1.88e+08,6.41e+08,4.6e+07,8.108e+09,6.743e+09,1.887e+09,1.794e+09,9.3e+07,8.63e+09,1.6738e+10,-3.722e+09,1.796e+09,-1.926e+09,1.4812e+10,1.19e+08,-7.2e+07,-8.3e+07,-5.4e+07,-1.2e+07,-6.2e+07,-2.6e+07,-2.6e+07,-2.6e+07,6.789e+09,0.54141,0.15528,-0.52484,0.26324,-0.03423,0.59719,-8.69055,0.45834,-3.44898,-3.44898,6.57143,-25.31973,-0.07511,35.56667
"12","2017_Q3",22.2242857142857,"Up",1.008e+09,-4.51e+08,5.57e+08,-4.08e+08,-2.46e+08,-9.6e+07,-6.6e+07,1.49e+08,-1.42e+08,-1.42e+08,7e+06,-1.4e+09,-31999999.9999999,-1.432e+09,-1.432e+09,-1.432e+09,-1.432e+09,1.515e+09,1.515e+09,1.58e+08,1.58e+08,1.5e+07,3.17e+09,3.17e+09,4.858e+09,7.431e+09,7.431e+09,2.504e+09,1.608e+09,4.96e+08,9.935e+09,1.4793e+10,9.76e+08,1.87e+08,7.26e+08,4.8e+07,9.488e+09,6.744e+09,1.918e+09,1.825e+09,9.3e+07,8.662e+09,1.815e+10,-5.155e+09,1.798e+09,-3.357e+09,1.4793e+10,8.4e+07,-9.2e+07,-7.3e+07,-9e+06,-1.1e+07,-1.7e+07,-5999999.99999999,-6000000.00000024,-6e+06,6.792e+09,0.55258,0.14782,-1.42063,0.42657,-0.0968,0.51202,-5.40661,0.45914,-9.61074,-9.61074,6.7651,-34.59732,-0.26751,35.41611
"13","2017_Q4",29.0473015873016,"Up",9.93e+08,-4.36e+08,5.57e+08,-4.73e+08,-2.47e+08,-1.5e+08,-7.6e+07,8.4e+07,-1.2e+08,-1.2e+08,-3.6e+07,-4.84e+08,4.5e+07,-4.39e+08,-4.39e+08,-4.33e+08,-4.33e+08,1.515e+09,1.515e+09,1.61e+08,1.61e+08,1.4e+07,3.048e+09,3.048e+09,4.738e+09,7.123e+09,7.123e+09,2.492e+09,1.608e+09,5.22e+08,9.615e+09,1.4353e+10,9.76e+08,2.08e+08,6.37e+08,3.9e+07,9.837e+09,6.438e+09,1.893e+09,1.808e+09,8.5e+07,8.331e+09,1.8168e+10,-5.617e+09,1.802e+09,-3.815e+09,1.4353e+10,6e+07,-8.1e+07,-1.39e+08,-2.5e+07,-7.3e+07,-9.8e+07,-1.77e+08,-1.77e+08,-1.77e+08,6.477e+09,0.56093,0.08459,-0.43605,0.1135,-0.03017,0.48165,-4.76225,0.45126,-2.90604,-2.90604,6.66443,-37.69799,-0.09506,59.07143
"14","2018_Q1",33.4909836065574,"Up",1.901e+09,-9.07e+08,9.94e+08,-8.4e+08,-4.29e+08,-2.78e+08,-1.33e+08,1.54e+08,-2.69e+08,-3.64e+08,-1.15e+08,-24999999.9999999,2.029e+09,2.004e+09,2.004e+09,2.004e+09,2.004e+09,2.558e+09,2.558e+09,4.94e+08,4.94e+08,3.9e+07,3.66e+08,3.66e+08,3.457e+09,1.6154e+10,1.6154e+10,5.825e+09,3.815e+09,3.99e+08,2.1979e+10,2.5436e+10,1.682e+09,3.18e+08,1.326e+09,6.4e+07,1.884e+09,1.8204e+10,2.051e+09,5.77e+08,1.474e+09,2.0255e+10,2.2139e+10,3.226e+09,70999999.9999998,3.297e+09,2.5436e+10,-2.586e+09,-3.53e+08,2.4e+08,-2.62e+08,9.38e+08,6.06e+08,-1.74e+09,-1.74e+09,-1.74e+09,1.8268e+10,0.52288,0.08101,1.05418,0.60783,0.07879,1.83493,6.71489,0.71819,2.98659,2.98659,2.83308,4.80774999999999,0.08486,102.01299
"15","2018_Q2",41.3421875,"Up",1.972e+09,-9.4e+08,1.032e+09,-9.07e+08,-4.27e+08,-2.8e+08,-2e+08,1.25e+08,-3.3e+08,-3.3e+08,-2.05e+08,-2.1e+07,-1.3e+07,-3.4e+07,-3.4e+07,-3.4e+07,-3.4e+07,2.485e+09,2.485e+09,4.39e+08,4.39e+08,4.2e+07,3.57e+08,3.57e+08,3.323e+09,1.5975e+10,1.5975e+10,5.853e+09,3.817e+09,4.37e+08,2.1828e+10,2.5151e+10,1.48e+09,2.39e+08,1.163e+09,6.4e+07,1.697e+09,1.8225e+10,1.927e+09,5.89e+08,1.338e+09,2.0152e+10,2.1849e+10,3.21e+09,9.2e+07,3.302e+09,2.5151e+10,2.2e+07,-8.5e+07,-8.3e+07,-1.8e+07,1.1e+07,-7e+06,-6.8e+07,-6.8e+07,-6.8e+07,1.8289e+10,0.52333,0.06339,-0.01724,-0.0103,-0.00135,1.95816,6.6169,0.72717,-0.04878,-0.04878,2.82927,4.60545,-0.00145,126.432
"16","2018_Q3",45.3793650793651,"Up",2.119e+09,-9.66e+08,1.153e+09,-8.71e+08,-4.46e+08,-2.68e+08,-1.57e+08,2.82e+08,-3.34e+08,-3.34e+08,-5.2e+07,-7e+06,36000000.0000002,2.9e+07,2.9e+07,2.9e+07,2.9e+07,2.687e+09,2.687e+09,4.43e+08,4.43e+08,4e+07,3.07e+08,3.07e+08,3.477e+09,1.5844e+10,1.5844e+10,5.833e+09,3.814e+09,4.44e+08,2.1677e+10,2.5154e+10,1.532e+09,2.5e+08,1.247e+09,6.4e+07,1.753e+09,1.8244e+10,1.851e+09,5.5e+08,1.301e+09,2.0095e+10,2.1848e+10,3.219e+09,87000000.0000001,3.306e+09,2.5154e+10,3.82e+08,-1.3e+08,-1.2e+08,-2e+07,-8e+06,-54999999.9999999,2.07e+08,2.07e+08,2.07e+08,1.8308e+10,0.54412,0.13308,0.01369,0.00876999999999998,0.00115,1.98346,6.60859,0.72784,0.0415500000000002,0.04131,3.03582,4.61175,0.00123999999999998,55.39362
"17","2018_Q4",39.6825396825397,"Down",2.185e+09,-1.015e+09,1.17e+09,-9.38e+08,-4.84e+08,-2.95e+08,-1.59e+08,2.32e+08,-3.41e+08,-3.41e+08,-1.09e+08,0,1.11e+08,1.11e+08,1.11e+08,1.1e+08,1.1e+08,1.563e+09,1.563e+09,4.72e+08,4.72e+08,4e+07,3.05e+08,3.05e+08,2.38e+09,1.6029e+10,1.6029e+10,7.557e+09,4.083e+09,4.64e+08,2.3586e+10,2.5966e+10,1.72e+09,3.25e+08,1.26e+09,1.64e+08,2.053e+09,1.8768e+10,1.978e+09,7.16e+08,1.262e+09,2.0746e+10,2.2799e+10,3.079e+09,8.8e+07,3.167e+09,2.5966e+10,2.88e+08,-1.37e+08,-1.716e+09,7.8e+07,5.13e+08,3.07e+08,-1.121e+09,-1.121e+09,-1.121e+09,1.8932e+10,0.53547,0.10618,0.05034,0.03473,0.00424,1.15928,7.19893,0.72911,0.16153,0.13174,3.20852,4.52129,0.00457,74.86638
"18","2019_Q1",45.6275409836066,"Up",-4.22e+09,1.829e+09,-2.391e+09,2.093e+09,9.76e+08,6.86e+08,4.31e+08,-2.98e+08,8.3e+08,8.33e+08,5.32e+08,1.63e+08,-1.74e+08,-1.1e+07,-1.1e+07,-9999999.99999999,-9999999.99999999,1.491e+09,1.491e+09,4.57e+08,4.57e+08,4.1e+07,2.76e+08,2.76e+08,2.265e+09,1.6045e+10,1.6045e+10,7.465e+09,4.044e+09,4.34e+08,2.351e+10,2.5775e+10,1.672e+09,3.99e+08,1.217e+09,1.64e+08,2e+09,1.8858e+10,1.579e+09,7.3e+08,8.49e+08,2.0437e+10,2.2437e+10,3.25e+09,8.8e+07,3.338e+09,2.5775e+10,-3.69e+08,2.05e+08,6.51e+08,1.051e+09,-5.54e+08,7.99e+08,1.081e+09,1.081e+09,1.081e+09,1.9022e+10,0.56659,0.07062,0.00237,-0.003,-0.00039,1.1325,6.72169,0.738,-0.01497,-0.00885,-6.31737,4.86527,-0.000420000000000001,-58.82886
"19","2019_Q2",49.0225396825397,"Up",2.115e+09,-1.004e+09,1.111e+09,-8.71e+08,-4.6e+08,-2.47e+08,-1.64e+08,2.4e+08,-4.87e+08,-3.49e+08,-2.47e+08,-2.47e+08,2.9e+07,-2.18e+08,-2.18e+08,-2.17e+08,-2.17e+08,1.395e+09,1.395e+09,4.49e+08,4.49e+08,3.9e+07,3.08e+08,3.08e+08,2.191e+09,1.5922e+10,1.5922e+10,7.923e+09,4.044e+09,9.08e+08,2.3845e+10,2.6036e+10,1.717e+09,4.11e+08,1.169e+09,6.4e+07,1.963e+09,8.789e+09,1.2162e+10,6.92e+08,1.147e+10,2.0951e+10,2.2914e+10,3.039e+09,8.3e+07,3.122e+09,2.6036e+10,2.55e+08,-2.18e+08,-2.18e+08,-1.21e+08,-7e+06,-1.28e+08,-9.1e+07,-9.1e+07,-9.1e+07,8.853e+09,0.5253,0.11348,-0.1026,-0.06951,-0.00833,1.11615,7.33953,0.34003,-0.32388,-0.32388,3.15672,4.53582,-0.00899,31.075
"20","2019_Q3",42.44328125,"Down",-842056000,421786000,-420269999.999999,395233000,158300000,132710000,104223000,-25037000,341075000,203692000,316038000,324988000,-49823000,275165000,275165000,274165000,274165000,1.52e+09,1.52e+09,4.76e+08,4.76e+08,3.6e+07,3.71e+08,3.71e+08,2.403e+09,1.5892e+10,1.5892e+10,7.841e+09,4.039e+09,9.12e+08,2.3733e+10,2.6136e+10,1.825e+09,4.16e+08,1.309e+09,6.4e+07,2.095e+09,1.8793e+10,2.44e+09,6.21e+08,1.819e+09,2.1233e+10,2.3328e+10,2.725e+09,8.3e+07,2.808e+09,2.6136e+10,-127142000,120886000,293480000,-124243000,-960999.999999881,-125204000,41133999.9999998,41133999.9999998,41133999.9999998,1.8857e+10,0.4991,0.02973,-0.32559,0.09764,0.01049,1.14702,8.30769,0.7215,0.40677,0.40677,-1.24934,4.04303,0.01137,-692.45517
"21","2019_Q4",49.51125,"Up",663056000,-366786000,296270000,-157233000,-79300000,-52710000,-25223000,139037000,-71075000,-71692000,67962000,55012000,-18177000,36835000,36835000,36835000,36835000,1.313e+09,1.313e+09,4.46e+08,4.46e+08,3.8e+07,9.15e+08,3.59e+08,2.712e+09,1.4988e+10,1.4988e+10,7.775e+09,4.038e+09,8.78e+08,2.2763e+10,2.5475e+10,1.849e+09,4.15e+08,1.3e+09,6.4e+07,2.127e+09,1.8559e+10,2.322e+09,5.91e+08,1.731e+09,2.0881e+10,2.3008e+10,2.388e+09,7.9e+07,2.467e+09,2.5475e+10,132142000,-37886000,-37480000,-69757000,-39000,-69796000,24866000,24866000,24866000,1.8623e+10,0.44683,0.20969,0.05555,0.01493,0.00145,1.27504,9.32631,0.73103,0.05433,0.05433,0.97796,3.52212,0.00157,124.49923
"22","2020_Q1",46.7851612903226,"Down",5.92e+08,-2.94e+08,2.98e+08,-2.04e+08,-1.22e+08,-5.5e+07,-2.7e+07,9.4e+07,-6e+07,-69000000.0000001,3.4e+07,-8e+06,-5e+06,-1.3e+07,-1.3e+07,-1.3e+07,-1.3e+07,2.06e+08,2.06e+08,54000000.0000001,54000000.0000001,1.8e+07,3.27e+08,8000000.00000006,6.05e+08,2.615e+09,2.615e+09,2.421e+09,9.1e+08,2.64e+08,5.036e+09,5.641e+09,4.05e+08,6.2e+07,3.07e+08,2.46e+08,6.88e+08,3.296e+09,5.4e+08,1.97e+08,343000000.000001,3.836e+09,4.524e+09,1.117e+09,80991118.757154,1.117e+09,5.641e+09,5.3e+07,-3.6e+07,3.31e+08,-3.88e+08,-999999.999999985,-3.89e+08,-4999999.99999997,-5e+06,-5e+06,3.542e+09,0.50338,0.15878,-0.02196,-0.01164,-0.0023,0.87936,4.05013,0.6279,-0.01906,-0.0190600000000001,0.868040000000001,1.63783,-0.0025,35.48936
"23","2020_Q2",27.7111111111111,"Down",4.73e+08,-2.54e+08,2.19e+08,-1.73e+08,-9.8e+07,-5e+07,-2.5e+07,4.6e+07,-9e+07,-6.7e+07,-4.4e+07,-2.13e+08,3.7e+07,-1.76e+08,-1.76e+08,-1.76e+08,-1.76e+08,2.677e+09,2.677e+09,3.89e+08,3.89e+08,3.4e+07,3.84e+08,3.55e+08,3.484e+09,1.4836e+10,1.4836e+10,7.66e+09,4.011e+09,8.75e+08,2.2496e+10,2.598e+10,1.739e+09,3.73e+08,1.229e+09,8.76e+08,2.792e+09,1.8889e+10,1.968e+09,5.98e+08,1.37e+09,2.0857e+10,2.3649e+10,2.257e+09,7.4e+07,2.331e+09,2.598e+10,3e+07,-2.3e+07,-1.3e+07,4.55e+08,-7e+06,4.48e+08,4.65e+08,4.65e+08,4.65e+08,1.9765e+10,0.463,0.09725,-0.37209,-0.0755,-0.00677,1.24785,10.14543,0.76078,-0.25806,-0.21027,0.69355,3.30938,-0.00731,371.47826
"24","2020_Q3",43.93609375,"Up",1.27e+08,-6e+07,67000000.0000001,-1.31e+08,-6.7e+07,-4.9e+07,-1.5e+07,-6.4e+07,-5.5e+07,-6.8e+07,-1.19e+08,-1.34e+08,3.4e+07,-1e+08,-1e+08,-1e+08,-1e+08,986554000,950483000,44305000.0000001,44305000.0000001,17369000,486509000,9620000.00000012,1534737000,2546237000,2546237000,2067473000,810187000,65917999.9999999,4613710000,6148447000,330284000,40079000,228521000,111000.000000238,476002000,3744571000,311425000,144973000,166452000,4055996000,4531998000,1616449000,44729404.8587103,1616449000,6148447000,-1.11e+08,-1.8e+07,-2.9e+07,-3.57e+08,-1.19209289550781e-07,4.15e+08,2.75e+08,2.75e+08,2.75e+08,3744682000,0.52756,-0.50394,-0.7874,-0.06186,-0.01626,3.22422,2.80368,0.60905,-1.26567,-1.26567,1.6074,20.45895,-0.01763,-43.09575
