"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q2",2.07661290322581,"Up",-745612,-566291,-179321,-745612,-2513637,-2513637,-3259249,-3259249,-3259249,-3259249,-3259249,-3259249,255966,255966,172255,22255,150000,428221,36974,36974,36974,465195,468945,220067,613175,613175,24057539,-24205519,-147980,-147980,465195,-3259249,1831,2615556,123557,-518305,-14208,-14208,-14208,-14208,-529271,-529271,-529271,-743781,144230,22.02493,-7.0062,0.69837,-4.14363,0.31004,-0.13408,-0.13408,-0.00609,869.13307,0.15023,0.14986
"12","2015_Q3",2.48890625,"Up",-815831,-655659,-160172,-815831,-705115,-705115,-1520946,-1520946,-1520946,-1520946,-1520946,-1520946,167068,167068,179022,29022,150000,346090,35967,35967,35967,382057,554407,249452,1347675,1347675,24760847,-25726465,-965618,-965618,382057,-1520946,2359,854346,78695,-585546,-1352,-1352,-1352,-1352,-88897.9999999999,-88897.9999999999,-88898,-813472,793268,1.5751,-3.98094,0.25681,-1.39566,2.07631,-0.061,-0.061,-0.03873,8.82475,-0.76979,-0.76756
"13","2015_Q4",2.915,"Up",-689104,-561889,-127215,-689104,-875259,-875259,-1564363,-1564363,-1564363,-1564363,-1564363,-1564363,69169,69169,178159,28159,150000,247328,33251,33251,33251,280579,523689,150296,1980419,2424028,25147379,-27290828,-2143449,-2143449,280579,-1564363,2717,893603,-29855,-697898,-1,-1,-1,-1,-97899,-97899,-97899,-686387,1900339,0.72983,-5.57548,0.12489,-1.1309,6.77292,-0.062,-0.062,-0.08496,6.43479,-2.66784,-2.65732
"14","2016_Q1",3.48016393442623,"Up",-864743,-648319,-216424,-864743,-883443,-883443,-1748186,-1748186,-1748186,-1748186,-1748186,-1748186,228465,228465,127287,21152,106135,355752,30535,30535,30535,386287,540936,97438,2661128,3254612,26170689,-29039014,-2868325,-2868325,386287,-1748186,2716,884375,68119,-792976,-2.27373675443232e-13,2.27373675443232e-13,2.27373675443232e-13,0,159296,159296,159296,-862027,2713676,0.60948,-4.52561,0.13368,-1.13467,7.02503,-0.06709,-0.06709,-0.11008,11.30422,-2.88299,-2.87393
"15","2016_Q2",4.05734375,"Up",-590616,-441694,-148922,-590616,-733333,-733333,-1323949,-1323949,-1323949,-1323949,-1323949,-1323949,169057,169057,52463,29020,23443,221520,30055,30055,30055,251575,604188,90123,3380635,3980635,26633903,-30362963,-3729060,-3729060,251575,-1323949,2780,725980,138076,-457113,-2300,-2300,-2300,-2300,-59408,-59408,-59408,-587836,3376447,0.35504,-5.26264,0.06553,-1.06746,13.42123,-0.04982,-0.04982,-0.14033,3.75468,-5.45627,-5.43058
"16","2016_Q3",3.3246875,"Down",-1031432,-868495,-162937,-1031432,-777651,-705426,-1809083,-1809083,-1809083,-1809083,-1809083,-1809083,188713,188713,205223,29022,176201,393936,27148,27148,27148,421084,234400,179576,890885,2573058,30020072,-32172046,-2151974,-2151974,421084,-1809083,2908,1155242,46284,-604649,0,4.54747350886464e-13,4.54747350886464e-13,0,19656,19656,19655.9999999999,-1028524,1373555,0.84066,-4.29625,0.44219,-1.19567,3.26195,-0.06734,-0.06734,-0.0801,7.68821,-1.15198,-1.14873
"17","2016_Q4",3.22587301587302,"Down",-682963,-410590,-272373,-682963,-1416922,-762506,-2099885,-2099885,-2099885,-2099885,-2099885,-2099885,123541,123541,449214,28159,421055,572755,24239,24239,24239,596994,160395,105990,2054171,4166917,30702008,-34271931,-3569923,-3569923,596994,-2099885,2908,1403370,-264365,-957972,0,0,0,0,-65172,-65172,-65172,-680055,1525265,0.58822,-3.51743,0.27883,-1.16723,2.55491,-0.07655,-0.07655,-0.13014,1.45924,-2.06119,-2.05242
"18","2017_Q1",3.24370967741935,"Up",-836354,-597664,-238690,-836354,1431958,-443672,595604,595604,595604,595604,595604,595604,2509215,2509215,365054,15752,349302,2874269,21331,21331,21331,2895600,251144,184743,794588,2813712,33758215,-33676327,81887.9999999991,81887.9999999991,2895600,595604,2908,-1451364,238526,-614326,0,0,0,-9.09494701772928e-13,2385674,2385674,2385674,-833446,1368026,7.2734,0.205690000000001,3.61731,34.36049,0.47245,0.02104,0.03372,0.00288999999999998,0.28106,1.36924,1.36448
"19","2017_Q2",2.93365079365079,"Down",-1282132,-1044345,-237787,-1282132,-440397,-440397,-1722529,-1722529,-1722529,-1722529,-1722529,-1722529,1763909,1763909,255626,26370,229256,2019535,19052,19052,19052,2038587,214511,137261,214511,3187028,34250415,-35398856,-1148441,-1148441,2038587,-1722529,2279,856259,136831,-727160,-33771.6604751205,-33771.6604972962,-33771.6604972962,-33771.7115742783,-745306,-745306,-745306,-1279853,2239237,1.49988,-0.84496,9.4146,-2.77509,1.09843,-0.0603,-0.09753,-0.0402,-0.94433,-0.37139,-0.37073
"20","2017_Q3",3.54984126984127,"Up",-886213,-606720,-279493,-886213,-400059,-400059,-1286272,-1286272,-1286272,-1286272,-1286272,-1286272,876009,876009,218843,24827,194016,1094852,61105,61105,61105,1155957,989139,102482,2952308,3552308,34288777,-36685128,-2396351,-2396351,1155957,-1286272,3494,362294,78131,-842353,-45547,-45547,-45547,-45547,-887900,-887900,-887900,-882719,2563169,0.53676,-1.11273,0.370850000000001,-1.48238,2.21736,-0.04487,-0.03251,-0.0836,-7.71063,-1.91132,-1.90379
"21","2017_Q4",4.9352380952381,"Up",-811449,-516657,-294792,-811449,-390888,-390888,-1202337,-1202337,-1202337,-1202337,-1202337,-1202337,270875,270875,138853,48358,90495,409728,57043,57043,57043,466771,1156001,190182,3430897,4030897,34323339,-37887465,-3564126,-3564126,466771,-1202337,4062,346289,246852,-605134,0,0,0,0,-605134,-605134,-605134,-807387,2874896,0.33734,-2.57586,0.11942,-1.13096,6.15911,-0.03556,-0.03556,-0.10541,1.74446,-3.22525,-3.2091
"22","2018_Q1",6.60065573770492,"Up",-750001,-611603,-138398,-750001,-392286,-392286,-1142287,-1142287,-1142287,-1142287,-1142287,-1142287,670853,670853,107902,16698,91204,778755,52953,52953,52953,831708,230184,230184,230184,4463184,35398276,-39029752,-3631476,-3631476,831708,-1142287,4090,394804,151511,-591882,3.63797880709171e-12,0,0,0,399978,399978,399978,-745911,3186623,0.31455,-1.37342,3.38318,-1.22903,3.83142,-0.03344,-0.09534,-0.10632,-1.89899,-3.37275,-3.35436
"23","2018_Q2",4.759375,"Down",-2259990,-1841227,-418763,-2259990,-439163,-439163,-2699153,-2699153,-2699153,-2699153,-2699153,-2699153,2802044,2802044,140818,48480,92338,2942862,49116,49116,49116,2991978,310295,310295,310295,3908193,40812690,-41728905,-916215,-916215,2991978,-2699153,3837,1882120,141211,-671985,-8307.22409293893,-8307.22280663335,-8307.22280663335,-8304.26007837764,2131191,2131191,2131191,-2256153,2457505,2.94598,-0.90213,9.48408,-4.26559,0.82136,-0.07631,-0.23581,-0.0259,-1.00651,0.15271,0.15245
"24","2018_Q3",3.24206349206349,"Down",-1138998,-615466,-523532,-1138998,-350464,-350464,-1489462,-1489462,-1489462,-1489462,-1489462,-1489462,1841672,1841672,171023,69194,101829,2012695,47717,47717,47717,2060412,148296,148296,148296,4096658,41182121,-43218367,-2036246,-2036246,2060412,-1489462,3980,587914,-69473,-967041,-2581,-2581,-2581,-2581,-960372,-960372,-960371.999999999,-1135018,2685238,0.73147,-0.7229,13.57215,-2.01187,1.30325,-0.04124,-0.0248099999999999,-0.05638,-0.77896,-0.74322,-0.74062
"25","2018_Q4",2.47095238095238,"Down",-1190768,-601783,-588985,-1190768,-254128,-254128,-1444896,-1444896,-1444896,-1444896,-1444896,-1444896,1191587,1191587,178903,44764,134139,1370490,43665,43665,43665,1414155,88683,88683,88683,4291173,41786245,-44663263,-2877018,-2877018,1414155,-1444896,4052,592646,61213,-786985,0,0,0,0,-650085,-650085,-650085,-1186716,2810660,0.50222,-1.02174,15.45381,-1.49153,1.98752,-0.03982,-0.03982,-0.07929,-1.0901,-1.36433,-1.35969
"26","2019_Q1",2.50967213114754,"Up",-963827,-563891,-399936,-963827,-257209,-257209,-1221036,-1221036,-1221036,-1221036,-1221036,-1221036,696826,696826,192794,58819,133975,889620,39614,39614,39614,929234,93616,93616,93616,4553641,42259892,-45884299,-3624407,-3624407,929234,-1221036,4051,599069,123155,-494761,7.27595761418343e-12,7.27595761418343e-12,7.27595761418343e-12,7.27595761418343e-12,-494761,-494761,-494760.999999999,-959776,2936082,0.33689,-1.31402,9.50286,-1.25638,3.15968,-0.03363,-0.03363,-0.09982,-1.46124,-2.3331,-2.3233
"27","2019_Q2",3.09063492063492,"Up",-894759,-506847,-387912,-894759,-792157,-792157,-1686916,-1686916,-1686916,-1686916,-1686916,-1686916,19961808,19961808,225950,39749,186201,20187758,47481,47481,47481,20235239,108646,108646,160828,160828,67645626,-47571215,20074411,20074411,20235239,-1686916,3988,1049652,110113,-523163,-11855,-11855,-11855,-11855,19264982,19264982,19264982,-890771,0,-0.08403,-0.08337,125.5239,0.00801,0,-0.0319,-0.08128,0.37957,-0.08403,22.40958,22.3097
"28","2019_Q3",3.07359375,"Down",-908817,-436220,-472597,-908817,81979.9999999999,81980,-826837,-826837,-826837,-826837,-826837,-826837,18701874,18701874,466580,198014,268566,19168454,597021,597021,597021,19765475,110492,110492,162674,162674,68000853,-48398052,19602801,19602801,19765475,-826837,4455,355227,-238784,-705939,-553995,-553995,-553995,-553995,-1259934,-1259934,-1259934,-904362,0,-0.04218,-0.04183,117.83354,0.00830000000000001,4.44089209850063e-16,-0.02243,-0.01198,0.53173,-0.04218,20.67963,20.57826
"29","2019_Q4",2.678125,"Down",-1105453,-511296,-594157,-1105453,118111,118111,-987342,-987342,-987342,-987342,-987342,-987342,17990279,17990279,544037,86627,457410,18534316,693909,693909,696109,19230425,136555,84373,211257,259741,68356078,-49385394,18970684,18970684,19230425,-987342,5209,353047,-51708,-680794,-30801,-30801,-30801,-30801,-711595,-711595,-711595,-1100244,71318,-0.05205,-0.05134,87.7335,0.01369,0.00371,-0.0186,-0.0186,0.35729,-0.05185,16.28635,16.20961
"30","2020_Q1",2.21822580645161,"Down",-3501836,-2977280,-524556,-3501836,115253,115253,-3386583,-3386583,-3386583,-3386583,-3386583,-3386583,16604011,16604011,627711,46832,580879,17231722,1434575,1434575,1436775,18668497,97549,97549,178651,221215,71219259,-52771977,18447282,18447282,18668497,-3386583,4697,2863159,-116528,-635255,-751013,-751013,-751013,-751013,-1386268,-1386268,-1386268,-3497139,65733,-0.18358,-0.18141,96.45466,0.01199,0.00352,-0.06378,-0.06378,0.34743,-0.18293,4.72909,4.72274
"31","2020_Q2",2.06539682539683,"Down",-1199781,-620781,-579000,-1199781,94503,94503,-1105278,-1105278,-1105278,-1105278,-1105278,-1105278,15950512,15950512,685370,26785,658585,16635882,1427189,1427189,1429389,18065271,123249,123249,265739,302297,71640229,-53877255,17762974,17762974,18065271,-1105278,6684,343264,106862,-648468,-5031,-5031,-5031,-5031,-653499,-653499,-653499,-1193097,60068,-0.06222,-0.06118,62.60234,0.01702,0.00333,-0.02087,-0.02087,0.33541,-0.06201,13.31865,13.24445
"32","2020_Q3",3.56125,"Up",-1180543,-565142,-615401,-1180543,73845,73845,-1106698,-1106698,-1106698,-1106698,-1106698,-1106698,15140054,15140054,791587,126378,665209,15931641,1415156,1415156,1417356,17348997,81303,81303,227602,258065,72074885,-54983953,17090932,17090932,17348997,-1106698,6218,428032,-138010,-810458,-1.16415321826935e-10,1.16415321826935e-10,1.16415321826935e-10,0,-810458,-810458,-810458,-1174325,54318,-0.06475,-0.06379,69.99781,0.0151,0.00313,-0.0209,-0.04936,0.32272,-0.06455,12.8463,12.77864
"33","2020_Q4",5.33203125,"Up",-1037186,-521523,-515663,-1037186,49769,49769,-987417,-987417,-987417,-987417,-987417,-987417,14705621,14705621,748022,89872,658150,15453643,1403474,1403474,1405674,16859317,79861,79861,296936,321148,72509539,-55971370,16538169,16538169,16859317,-987417,5782,518984,28218,-434433,0,0,0,0,-434433,-434433,-434433,-1031404,48484,-0.05971,-0.05857,52.04368,0.01942,0.00288,-0.01864,-0.04404,0.31228,-0.05953,14.21086,14.13164
"34","2021_Q1",16.0654098360656,"Up",-4185953,-3616133,-569820,-4185953,32284,32284,-4153669,-4153669,-4153669,-4153669,-4153669,-4153669,14151523,14151523,630878,56147,574731,14782401,1349495,1349495,1393907,16176308,166614,53428,191442,209179,76092168,-60125039,15967129,15967129,16176308,-4153669,5781,3582629,11161,-554098,7.27595761418343e-12,0,0,2.3283064365387e-10,-554098,-554098,-554098,-4180172,42565,-0.26014,-0.25677,77.21608,0.0131,0.00263,-0.07843,-0.09914,0.3015,-0.25945,3.37521,3.37055
"35","2021_Q2",10.5087301587302,"Down",-2547649,-1999785,-547864,-2547649,19389,19389,-2528260,-2537035,-2537035,-2537035,-2537035,-2537035,13549510,8549510,484576,20962,463614,14034086,1360503,1360503,1374040,15408126,136223,64256,136223,136223,77930700,-62662074,15271903,15271903,15408126,-2537035,5782,1847307,104632,-579314,-25565,-27726,-27726,-5025565,-5604879,-5604879,-5602013,-2541867,0,-0.16612,-0.16466,103.02288,0.00892,0,-0.04791,-0.09293,0.28837,-0.16612,5.33053,5.31844
"36","2021_Q3",6.29875,"Down",-2152549,-1786024,-366525,-2152549,3279,3279,-2149270,-2149270,-2149270,-2149270,-2149270,-2149270,13477264,8477264,516416,169579,346837,13993680,1397795,1397795,1411984,15405664,109771,45271,109771,109771,80114004,-64811344,15295893,15295893,15405664,-2149270,6673,1463904,-58944,-737637,-43921,-43921,-43921,-43921,-62157.9999999991,-62157.9999999991,-72246.0000000009,-2145876,0,-0.14051,-0.13951,127.48066,0.00718,0,-0.0405,-0.08685,0.28821,-0.14051,6.28054,6.26107
"37","2021_Q4",5.09015625,"Down",-1818835,-1394976,-423859,-1818835,12434,12434,-1806401,-1806401,-1806401,-1806401,-1806401,-1806401,12876446,7876446,336266,148510,187756,13212712,1369791,1369791,1392344,14605056,204352,138802,204352,204352,81017202,-66617745,14400704,14400704,14605056,-1806401,9182,903198,266367,-627654,18727,18727,18727,18727,-608927,-608927,-600818,-1809653,0,-0.12544,-0.12368,64.65663,0.01419,0,-0.03407,-0.06941,0.27163,-0.12544,7.11542,7.0795
"38","2022_Q1",3.2641935483871,"Down",-1416864,-1098478,-318386,-1416864,1668,1668,-1415196,-1415196,-1415196,-1415196,-1415196,-1415196,12127456,7127456,190981,68649,122332,12318437,1387342,1387342,1408940,13727377,170152,55402,170152,170152,81605038,-68032941,13557225,13557225,13727377,-1415196,6157,582364,112040,-714635,-23418,-23418,-23418,-23418,-732581,-732581,-748990,-1410707,0,-0.10439,-0.10309,72.39666,0.01255,0,-0.0266,-0.0266,0.25484,-0.10439,8.59672,8.55936
"39","2022_Q2",2.73435483870968,"Down",-1350652,-987932,-362720,-1350652,24528,10968,-1326124,-1326124,-1326124,-1326124,-1326124,-1326124,11394950,11394950,161592,25084,136508,11556542,1380929,1380929,1402017,12958559,453755,144011,453755,453755,81883901,-69359065,12504804,12504804,12958559,-1326124,8642,278863,313176,-725443,-3142,-3142,-3142,4996858,4271415,4271415,4267494,-1342010,0,-0.10605,-0.10234,25.46868,0.03629,0,-0.02493,-0.02493,0.23506,-0.10605,8.49096,8.43663
"40","2022_Q3",2.93387755102041,"Up",-1379070,-1135935,-243135,-1379070,1236,1236,-1377834,-1377834,-1377834,-1377834,-1377834,-1377834,9371030,9371030,348655,209809,138846,9719685,1948599,1948599,1969370,11689055,164992,134935,164992,164992,82294690,-70736899,11524063,11524063,11689055,-1377834,7167,410789,-475942,-1435820,-581093,-581093,-581093,-581093,-2016913,-2016913,-2023920,-1371903,0,-0.11956,-0.11787,58.91004,0.01432,0,-0.0259,-0.0259,0.21662,-0.11956,6.83068,6.79518
