"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",19.174126984127,"Down",285076000,-32590000,252486000,-166333000,-27983000,-96827000,-40431000,86153000,-26883000,-46552000,15311000,4358000,59270000,-115327000,-56057000,-61426000,-117483000,-41548000,-1997000,-43545000,-11555000,-55100000,170545000,170545000,171474000,365556000,9392984000,1439421000,477800000,961620999.999998,10840546000,11206102000,5118177000,118136000,5000041000,5118177000,569107000,569107000,569107000,5687284000,32000,5924106000,-622681000,5301457000,217361000,5518818000,11206102000,-41548000,96827000,83963000,89437000,228679000,-70458000,-70000,14238000,-6816000,-63106000,-118654000,-309134000,150296000,150296000,-55351000,-332843000,-167270000,-167270000,-167270000,182980000,0,263385000,0.88568,0.30221,-0.19328,-0.00998,-0.00492,-4.78013,0.07142,1.03053,-2.01948391736579e-28,-0.13116,-0.1308,0.67858,12.61917,0.62694,0.28244,0.01044,0.04326,-2.15343,-0.93204,-1.97956
"12","2017_Q1",17.671935483871,"Down",297026000,-71050000,225976000,-129019000,3044000,-90884000,-41368000,96957000,-7018000,-43067000,33800000,2249000,89939000,71973000,161912000,-5291000,156621000,80686000,-2413000,78273000,-11555000,66718000,142486000,142486000,181823000,324309000,9394755000,1503435000,504209000,999226000,10906291000,11230600000,5336636000,124517000,5066368000,5336636000,404137000,404137000,404137000,5740773000,32000,5927208000,-671101000,5256139000,233688000,5489827000,11230600000,80686000,90884000,-21196000.0000001,-2803999.99999997,147570000,-21155000,-440000,987000,-62252000,-82860000,-119933000,48867999.9999999,586000,586000,-22290000,-92769000,-28059000,-28059000,-28059000,187841000,1.38777878078145e-17,169173000,0.7608,0.32643,0.22462,0.01215,0.00594,2.53564,0.06077,1.04571,0,0.15768,0.1573,0.70199,12.42223,0.39982,0.28345,0.03167,0.0287,1.79761,-0.75855,-1.46958
"13","2017_Q2",14.6020634920635,"Down",293588000,-42574000,251014000,-156760000,-22230000,-92074000,-41052000,94254000,-26789000,-46482000,18420000,1273000,67465000,10257000,77722000,493000,78215000,78215000,-1482000,76733000,-11555000,65178000,167454000,167454000,176054000,366093000,9345513000,1529111000,504847000,1024264000,10882326000,11248419000,5249563000,124680000,5124883000,5249563000,542279000,542279000,542279000,5791842000,32000,5931428000,-720125000,5211335000,245242000,5456577000,11248419000,78215000,92074000,-19046000,5809000,157052000,-21955000,4236000,13409000,-61065000,-65375000,-126315000,71314000,561000,561000,-12269000,-66709000,24968000,24968000,24968000,186328000,0,169689000,0.85499,0.32104,0.222,0.01194,0.00579,2.60347,0.06974,1.06144,0,0.15395,0.15367,0.69344,12.30878,0.4008,0.29835,0.03192,0.02829,1.938,-0.89871,-1.77662
"14","2017_Q3",14.8088888888889,"Up",297176000,-42703000,254473000,-158843000,-19965000,-95270000,-41512000,95630000,6874000,-46090000,51525000,1439000,102504000,51136000,153640000,1034000,154674000,154674000,-11258000,143416000,-11555000,131861000,143099000,143099000,176907000,342501000,9543381000,1657951000,506449000,1151502000,11215819000,11558320000,5514859000,124679000,5390180000,5514859000,521797000,521797000,521797000,6036656000,32000,5934889000,-703598000,5231323000,290341000,5521664000,11558320000,154674000,95270000,-98517000,-8444999.99999999,142982000,-58568000,27539000,1815000,-52854000,-82068000,-126478000,56943000,412000,412000.000000015,-16146000,-85269000,-24355000,-24355000,-24355000,190900000,2.22044604925031e-16,122853000,0.8563,0.3218,0.44371,0.02388,0.01141,0.93169,0.06211,1.09327,0,0.31125,0.31098,0.70146,12.34811,0.28999,0.29854,0.04275,0.02033,0.95918,-0.7496,-1.49638
"15","2017_Q4",14.334126984127,"Down",294845000,-40262000,254583000,-151794000,-21523000,-88443000,-41127000,102789000,-17106000,-47258000,29051000,1101000,85683000,35836000,121519000,697000,122216000,122216000,-1186000,121030000,-19073000,101957000,156588000,156588000,182012000,361138000,9771654000,1555405000,509448000,1045957000,11341103000,11702241000,5674541000,123270000,5551271000,5674541000,603417000,603417000,603417000,6277958000,32000,5930648000,-717348000,5213332000,210951000,5424283000,11702241000,122216000,88443000,-61064000,44187000,193782000,-99954000,1359000,1639000,-33873000,-130829000,-128389000,176266000,217777000,217777000,-315118000,-49464000,13489000,13489000,13489000,191232000,0,134768000,0.86345,0.34862,0.3458,0.0188,0.00871,1.32181,0.06364,1.15738,-2.58493941422821e-26,0.24064,0.24023,0.6959,12.30452,0.31808,0.30303,0.03821,0.02236,1.25925,-0.81884,-1.52339
"16","2018_Q1",11.9750819672131,"Down",315225000,-44013000,271212000,-159075000,-27972000,-85024000,-44650000,112137000,-24612000,-52126000,28768000,-1254000,87525000,-1615000,85910000,-1344000,84566000,84566000,330000.000000001,84896000,-11431000,73465000,238513000,238513000,189757000,428270000,9817875000,1504316000,483861000,1020455000,11335456000,11763726000,4910734000,128892000,4596140000,5793521000,431915000,431915000,431915000,6225436000,41000,6157020000,-762817000,5394244000,144046000,5538290000,11763726000,84566000,85024000,-22381000,-26844000,120365000,-8866000,898999.999999996,38310000,-46351000,-16008000,-124990000,-117969000,222196000,222196000,-1669000.00000006,-22432000,81925000,81925000,81925000,197161000,-3.5527136788005e-15,162795000,0.86038,0.35574,0.23306,0.01326,0.00625,2.21595,0.07392,1.12407,0,0.17338,0.17347,0.74392,12.73016,0.38419,0.29497,0.03324,0.02727,1.70135,-1.20974,-2.12698
"17","2018_Q2",11.97609375,"Up",304078000,-43331000,260747000,-149163000,-22398000,-81382000,-43252000,111584000,-16875000,-49943000,26889000,6179000,94709000,49325000,144034000,-52000,143982000,143982000,108000,144090000,-14589000,129501000,218313000,218313000,184533000,424222000,9362899000,1573754000,560068000,1013686000,10948280000,11372502000,5229531000,132209000,5097322000,5229531000,624423000,624423000,624423000,5853954000,43000,6168434000,-743911000,5424566000,93982000,5518548000,11372502000,143982000,81382000,-71032000,37947000,192279000,136320000,1473000,2129000,-60496000,79426000,-130241000,-165032000,8868000,33144000,-5500000,-291905000,-20200000,-20200000,-20200000,192966000,0,367285000,0.8575,0.36696,0.42588,0.02347,0.01139,2.83616,0.08112,1.06078,0,0.30586,0.30505,0.71817,12.8117,0.86746,0.3076,0.04228,0.05979,1.00571,-1.13135,-1.95649
"18","2018_Q3",13.5368253968254,"Up",293403000,-41325000,252078000,-144856000,-24029000,-79760000,-40016000,107222000,-14500000,-46434000,28657000,3277000,92722000,72367000,165089000,720000,165809000,165809000,-423000,165386000,-14534000,150852000,305577000,305577000,180451000,517155000,9126945000,1634552000,568698000,1065854000,10774628000,11291783000,5198978000,130262000,5068716000,5198978000,587676000,587676000,587676000,5786654000,43000,6122076000,-710909000,5411210000,93919000,5505129000,11291783000,165809000,79760000,-95783000,9921000,159707000,201152000,9037000,2746000,-64210000,148725000,-134470000,-31140000,-50850000,1.49011611938477e-08,-4707999.99999999,-221168000,87264000,87264000,87264000,186982000,0,397335000,0.85915,0.36544,0.51415,0.0274,0.01336,2.63394,0.09947,1.05114,0,0.35856,0.35751,0.69739,12.8618,0.94443,0.31962,0.04683,0.06521,0.8914,-1.63426,-2.84995
"19","2018_Q4",12.8853968253968,"Down",283080000,-39265000,243815000,-138273000,-21348000,-74972000,-40564000,105542000,-17284000,-44081000,21578000,5219000,88258000,12152000,100410000,315000,100725000,100725000,-567000,100158000,-14534000,85624000,146386000,146386000,183440000,359048000,9043480000,1694967000,580737000,1114230000,10750473000,11109521000,4539763000,130263000,4409500000,5017737000,615613000,615613000,615613000,5633350000,43000,6121553000,-743346000,5378250000,97921000,5476171000,11109521000,100725000,74972000,-29698000,18346000,164345000,55586000,211000,2130000,-55323000,2604000,-132521000,-209419000,457000,457000,15343000,-326140000,-159191000,-159191000,-159191000,180514000,0,254131000,0.86129,0.37283,0.30247,0.01564,0.00771,2.96799,0.07156,1.0287,6.61744490042422e-24,0.20426,0.20345,0.67529,12.82975,0.60623,0.31613,0.03581,0.04172,1.54771,-0.81094,-1.38699
"20","2019_Q1",14.3518032786885,"Up",284201000,-40373000,243828000,-136403000,-20022000,-74266000,-40433000,107425000,-17435000,-42881000,23593000,1853000,89990000,540000,90530000,-2583000,87947000,87947000,214000,88161000,-14534000,73627000,143581000,143581000,184528000,328109000,9250519000,1420472000,570922000,849550000,10670991000,10999100000,4686621000,130262000,4381456000,5179037000,385328000,385328000,385328000,5564365000,43000,6121468000,-787707000,5333804000,100931000,5434735000,10999100000,87947000,74266000,-20367000,-20241000,121605000,60800000,2194000,13598000,-53702000,22890000,-132524000,15863000,103999.999999993,104000,-30743000,-147300000,-2805000,-2805000,-2805000,181691000,4.54747350886464e-13,224833000,0.85794,0.37799,0.25907,0.01355,0.00669,3.05368,0.06335,1.02385,0,0.17562,0.17606,0.67789,12.72227,0.53628,0.3161,0.03542,0.03863,1.79994,-0.79025,-1.33657
"21","2019_Q2",15.3701587301587,"Up",295010000,-40896000,254114000,-139431000,-25831000,-71561000,-42039000,114683000,-16795000,-44395000,24978000,2622000,97888000,19420000,117308000,-630000,116678000,116678000,-509000,116169000,-14534000,101635000,143673000,143673000,183650000,327323000,9221743000,1521134000,566928000,954206000,10742877000,11070200000,4513857000,130444000,4383413000,5096331000,553327000,553327000,553327000,5649658000,43000,6124075000,-804241000,5319877000,100665000,5420542000,11070200000,116678000,71561000,-38921000,5940000,155258000,20724000,-118000,-5336000,-30812000,-15542000,-132521000,-6361000,681000,681000,-1423000,-139624000,92000,92000,92000,186244000,0,213538000,0.86137,0.38874,0.34451,0.01875,0.00918,2.10103,0.06423,1.04227,-1.05879118406788e-22,0.2423,0.24155,0.7033,12.68246,0.50907,0.31593,0.0392,0.03575,1.30389,-0.77142,-1.25278
"22","2019_Q3",16.4090625,"Up",284873000,-43217000,241656000,-131567000,-22633000,-69005000,-39929000,110089000,-7931000,-44097000,35802000,364000,102158000,-1115000,101043000,344000,101387000,101387000,-360000,101027000,-14534000,86493000,113991000,113991000,182369000,296360000,9164375000,1580168000,584983000,995185000,10744543000,11040903000,4550830000,130460000,4420370000,5129195000,520557000,520557000,520557000,5649752000,43000,6129793000,-835934000,5293902000,97249000,5391151000,11040903000,101387000,69005000,-29880000,17759000,158271000,-53807000,6072000,-1647000,-35595000,-84977000,-132705000,28984000,1130000,1130000,-385000.000000015,-102976000,-29682000,-29682000,-29682000,179094000,-7.27595761418343e-12,142702000,0.84829,0.38645,0.30362,0.01604,0.00783,1.64987,0.05778,1.04797,0,0.20608,0.20553,0.67876,12.6135,0.34001,0.31619,0.03708,0.02414,1.53429,-0.63649,-1.03544
"23","2019_Q4",18.3428125,"Up",282871000,-39758000,243113000,-133061000,-23832000,-68874000,-40355000,110052000,-17682000,-43146000,20938000,4526000,92370000,-10783000,81587000,3866000,85453000,85453000,-1463000,83990000,-24942000,59048000,141310000,141310000,191436000,332746000,9172123000,1580262000,585467000,994795000,10752385000,11085131000,4956199000,126203000,4829996000,5530452000,556515000,556515000,556515000,6086967000,29000,5785593000,-883741000,4901881000,96283000,4998164000,11085131000,85453000,68874000,-5414000,20017000,168930000,-31747000,-818000,4754000,-32977000,-60788000,-136054000,411914000,1540000,1540000,-358223000,-80823000,27319000,27319000,27319000,178926000,0,163330000,0.85945,0.38905,0.20875,0.01181,0.00533,2.76605,0.06017,1.21784,-8.470329472543e-22,0.14065,0.14014,0.67378,11.67589,0.38904,0.32407,0.03512,0.0294,2.30413,-0.78977,-1.28403
"24","2020_Q1",15.216935483871,"Down",296130000,-48110000,248020000,-135732000,-24646000,-68439000,-42647000,112288000,-25764000,-45757000,16520000,3473000,86524000,23782000,110306000,-263000,110043000,110043000,-624000,109419000,-16607000,92812000,123947000,123947000,218689000,342636000,9209053000,1436825000,578118000,858707000,10655231000,10997867000,5128115000,126274000,4831759000,5704834000,346183000,346183000,346183000,6051017000,20000,5769551000,-904679000,4864892000,81958000,4946850000,10997867000,110043000,68439000,58750000,-136063000,101169000,387153000,9046000,-25436000,-329877000,40886000,-130285000,12739999.9999999,200661000,200661000,-242534000,-159418000,-17363000,-17363000,-17363000,180727000,-5.82076609134674e-11,432080000,0.83754,0.37918,0.31342,0.01876,0.00844,4.65543,0.06006,1.22321,0,0.21968,0.21877,0.70091,11.51474,1.0227,0.30837,0.04215,0.08163,1.40375,-0.68582,-1.10383
"25","2020_Q2",10.188253968254,"Down",289744000,-42408000,247336000,-132901000,-21017000,-69397000,-42487000,114435000,-20209000,-46060000,24606000,1245000,94226000,-3794000,90432000,-43000,90389000,90389000,-289000,90100000,-6354000,83746000,451796000,451796000,220215000,672011000,9179554000,1453569000,585591000,867978000,10633123000,11305134000,5430129000,126473000,5303656000,5926554000,488168000,488168000,488168000,6414722000,20000,5751602000,-942031000,4809591000,80821000,4890412000,11305134000,90389000,69397000,-14907000,10370000,155249000,-48782000,163000,1436000,-19370000,-66553000,-127255000,396577000,981000,981000,-31150000,239153000,327849000,327849000,327849000,183832000,0,145463000,0.85364,0.39495,0.28903,0.01712,0.00741,1.73695,0.11339,1.31169,-1.35525271560688e-20,0.19488,0.19453,0.67424,11.19195,0.33849,0.29612,0.03923,0.02704,1.51954,-2.45766,-3.94806
"26","2020_Q3",10.83453125,"Up",238916000,-38940000,199976000,-137568000,-22504000,-73559000,-41505000,62408000,-33027000,-48015000,14940000,48000,29381000,718788000,748169000,-51000,748118000,748118000,-225000,747893000,-6354000,741539000,201687000,201687000,250150000,451837000,9397045000,1077537000,585363000,492174000,11108133000,11559970000,4967338000,5366000,4961972000,5446108000,477545000,477545000,477545000,5923653000,20000,5756983000,-200492000,5556511000,79806000,5636317000,11559970000,748118000,73559000,-728151000,-11328000,82198000,32797999.9999999,743000,-2714000,132323000,163150000,-127461000,-365443000,0,0,-2553000.00000001,-495457000,-250109000,-250109000,-250109000,135967000,-9.31322574615479e-10,157488000,0.83701,0.26121,3.10376,0.13156,0.06415,0.21238,0.08297,1.05098,0,1.72464,1.71435,0.55566,12.92306,0.36628,0.29644,0.14214,0.02576,0.17189,-1.48335,-3.23175
"27","2020_Q4",12.25546875,"Up",259792000,-42844000,216948000,-143669000,-28795000,-71704000,-43170000,73279000,-25454000,-46942000,22388000,-9e+05,47825000,-84866000,-37041000,-388000,-37429000,-37429000,-965000,-38394000,-6354000,-44748000,324977000,324977000,239864000,564841000,9373537000,1029023000,589672000,439351000,10959351000,11524192000,5048103000,5366000.00000001,5042737000,5451637000,517185000,517185000,517185000,5968822000,20000,5763429000,-288491000,5474958000,80412000,5555370000,11524192000,-37429000,71704000,69199000,125021000,228495000,30629000,-696000,-13362000,-69788000,-53217000,-49604000,17369000,0,0,-19753000,-51988000,123290000,123290000,123290000,144983000,0,301021000,0.83508,0.28207,-0.17225,-0.00805,-0.00388000000000001,-6.72703,0.10361,1.07442,-2.16840434497101e-19,-0.10407,-0.10364,0.60417,12.73256,0.70006,0.11536,0.000799999999999995,0.04957,-1.10852,-2.24148,-4.43479
