"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"13","2013_Q2",29.8528125,"Up",393719000,-266018000,127701000,-12596000,-16099000,3503000,115105000,-7402000,-7717000,57000,107703000,107703000,-4445000,103258000,147735000,147735000,147735000,266017000,266017000,105693000,105693000,113643000,105405000,38896000,590758000,760238000,1872706000,-1112468000,1565782000,285507000,211677000,2611527000,3202285000,147100000,108493000,38607000,63625000,30059000,33566000,260725000,1150471000,251899000,158829000,93070000,1402370000,1663095000,673098000,968973000,-102881000,1539190000,1539190000,3202285000,147735000,35992000,-13274000,-80793000,89660000,14343000,10138000,24481000,-57744000,-7e+07,-7150000,4091000,6191000,-128703000,-14562000,-14562000,-17000,-14579000,151097000,1200471000,89092000,0.32435,0.29235,0.37523,0.09598,0.04613,0.60305,2.26583,1.0805,0.37488,1.18682,1.13262,3.16291,12.36497,0.71571,0.46388,0.06869,0.02978,0.39086,6.18445999999999,8.11827
"14","2013_Q3",29.8025,"Down",-131777000,61498000,-70279000.0000001,-7732000,-12001000,4269000,-78011000,-9073000,-12086000,2709000,-87084000,-70986000,26387000,-44598999.9999999,87891000,87164000,87164000,343581000,343581000,116538000,116538000,99091000,123007000,67444000,682217000,852432000,1958140000,-1105708000,2080611000,212791000,212791000,3145834000,3828051000,174322000,133255000,41067000,80686000,20158000,60528000,330471000,1591834000,255626000,158594000,97032000,1847460000,2177931000,679803000,1000647000,-116911000,1563539000,1650120000,3828051000,87891000,44221000,28305000,-14405000,146012000,-116162000,-12445000,-268486000,-55478000,251913000,2552000,2552000,1208000,200195000,77721000,77721000,-157000,77564000,-33790000.0000001,1667297000,-190744000,0.53332,0.59199,-0.66145,0.05282,0.02277,-2.18833,2.06438,1.31986,0.43555,0.69163,0.66656,-1.04562,12.40635,-1.51351,0.44021,0.03992,-0.05338,0.63648,-39.17479,-16.96832
"15","2013_Q4",25.3353125,"Down",159261000,-129003000,30258000,-10289000,-13104000,2815000,19969000,-11737000,-10823000,-914000,8232000,8232000,6808000,15040000,58367000,57345000,57345000,260738000,260738000,124360000,124360000,133985000,122098000,59184000,641181000,868432000,1986848000,-1118416000,2103503000,205004000,205004000,3176939000,3818120000,150079000,98970000,51109000,79783000,20146000,59637000,239862000,1646337000,247042000,158663000,88379000,1893379000,2133241000,687357000,995249000,-93153000,1589453000,1684879000,3818120000,58367000,53151000,21897000,-34851000,98564000,-89609000,-5578000,-95187000,-61857000,-27491000,2500000,2562000,790000,-86058000,-82681000,-82681000,-162000,-82843000,73120000,1656337000,-58148000,0.18999,0.12539,0.36007,0.03404,0.01502,-1.014,2.67312,1.26611,0.43381,0.45468,0.4372,1.26275,12.60249,-0.46105,0.49045,0.03322,-0.01621,1.07868,19.08642,69.88828
"16","2014_Q1",23.88,"Down",238515000,-197249000,41266000,-6329000,-14229000,7900000,34937000,-9728000,-10315000,587000,25209000,25209000,6935000,32144000,79805000,79652000,79652000,199644000,199644000,94956000,94956000,138818000,85676000,33584000,519094000,860821000,1981147000,-1120326000,2049378000,256208000,256208000,3166407000,3685501000,113352000,69293000,44059000,50260000,8551000,41709000,276112000,1461724000,192422000,95654000,96768000,1654146000,1930258000,692100000,1015209000,-46139000,1661170000,1755243000,3685501000,79805000,58430000,35058000,39264000,212557000,-60409000,-70939000,-131348000,-61937000,-81022000,873000,896000,-488999.999999998,-142575000,-61366000,-61366000,272000,-61094000,93367000,1574224000,65287000,0.17301,0.14648,0.33395,0.04538,0.02161,0.81965,1.88001,1.09971,0.42714,0.63096,0.62202,1.88938,13.15883,0.51717,0.49063,0.0402,0.01854,0.7776,14.72233,39.34453
"17","2014_Q2",25.1652380952381,"Up",143187000,-115900000,27287000,-12862000,-13237000,375000,14425000,-11686000,-10675000,-1011000,2739000,2739000,7596000,10335000,41343000,41426000,41426000,156071000,156071000,111697000,111697000,141928000,86157000,54577000,495853000,861969000,1999017000,-1137048000,2067549000,217458000,217458000,3146976000,3642829000,129482000,86282000,43200000,53690000,11374000,42316000,297491000,1393887000,193808000,95098000,98710000,1587695000,1885186000,694236000,994624000,-30037000,1658823000,1757643000,3642829000,41343000,46630000,13275000,-1148000,100100000,-34640000,32085000,-2555000,-62545000,-78181000,273000,2027000,-678000,-141131000,-43586000,-43586000,13000,-43573000,61055000,1508206000,17671000,0.19057,0.10074,0.28931,0.02357,0.01137,0.42657,1.66678,1.07256,0.41402,0.32788,0.32257,1.1333,13.12931,0.13986,0.49503,0.03005,0.00511,1.5098,22.14618,93.73553
"18","2014_Q3",25.27078125,"Up",163145000,-123095000,40050000,-2472000,-13861000,11389000,37578000,-19997000,-15611000,-4386000,17581000,17581000,-13557000,4024000,16108000,16353000,16353000,222061000,222061000,19765000,19765000,18484000,24764000,21543000,285074000,6143000,13908000,-7765000,2117655000,223104000,223104000,2346902000,2631976000,42930000,27871000,15059000,48479000,13834000,34645000,91409000,770086000,54614000,24014000,30600000,824700000,916109000,698462000,887648000,30891000,1617001000,1715867000,2631976000,16108000,47671000,14059000,51206000,129044000,-46007000,-46847000,-92854000,-62083000,209508000,1240000,1320000,-118802000,29863000,66053000,66053000,-63000,65990000,85249000,770086000,104005000,0.24549,0.23033,0.10024,0.00953,0.00621,6.36,3.11866,0.5339,0.29259,0.12934,0.12361,1.29035,12.78925,0.8226,0.49103,0.03087,0.04094,3.79643,6.42852,14.58367
"19","2014_Q4",22.36546875,"Down",149829000,-118088000,31741000,338000,-8806000,9144000,32079000,-11300000,-9566000,-1734000,20779000,20779000,11280000,32059000,32059000,32701000,32701000,182831000,182831000,28237000,28237000,12439000,28032000,23821000,251539000,6531000,14437000,-7906000,2058381000,161108000,161108000,2226020000,2477559000,39600000,23126000,16474000,41550000,14954000,26596000,211636000,605162000,49859000,22393000,27466000,655021000,866657000,700581000,820181000,3568999.99999999,1524331000,1610902000,2477559000,32059000,3.4e+07,-8573000,-2561000,54925000,-25037000,-34901000,-59938000,-101249000,-9213000,1298000,1298000,7.5e+07,-34164000,-39177000,-39177000,-53000,-39230000,66079000,735648000,27201000,0.21185,0.2141,0.21826,0.0203,0.0132,0.83181,1.18855,0.53799,0.29692,0.2585,0.25195,1.1844,12.04987,0.21502,0.80038,0.0559,0.01135,3.09621,8.366,17.23299
"20","2015_Q1",21.4314754098361,"Down",147360000,-126777000,20583000,-6376000,-11979000,5603000,14207000,-10464000,-8396000,-2068000,3743000,3743000,4282000,8025000,8336000,8857000.00000001,8857000.00000001,161558000,161558000,24018000,24018000,8383000,19745000,5049000,213704000,6706000,14876000,-8170000,2165934000,66771000,66771000,2239411000,2453115000,35034000,20211000,14823000,37262000,11405000,25857000,202002000,621849000,54113000,33477000,20636000,675962000,877964000,702598000,790697000,-4825000,1488470000,1575151000,2453115000,8336000,29664000,9277999.99999999,-10931000,36347000,-18984000,-22345000,-41329000,-31640000,14713000,910000,934000,0,-16017000,-20999000,-20999000,-274000,-21273000,43871000,751555000,9674000,0.13968,0.09641,0.0601,0.00562,0.00361,1.09224,1.05793,0.55738,0.30637,0.06999,0.06628,1.16441,11.76157,0.0764400000000001,0.25001,0.01701,0.00406,3.57232,13.44845,41.52861
"21","2015_Q2",19.964126984127,"Down",140305000,-107234000,33071000,-5324000,-10898000,5574000,27747000,-10038000,-8544000,-1494000,17709000,17709000,471000,18180000,18180000,17747000,17747000,139049000,139049000,19960000,19960000,13100000,18040000,18040000,190149000,6592000,14967000,-8375000,2144976000,70833000,70833000,2222401000,2412550000,35116000,22228000,12888000,31463000,12461000,19002000,196792000,612804000,54738000,33661000,21077000,667542000,864334000,703588000,776827000,-15088000,1465327000,1548216000,2412550000,18180000,29975000,5342000,-99000,53398000,-13164000,-30575000,-43739000,-31667000,629000,546000,546000,-94000,-30586000,-20927000,-20927000,-1582000,-22509000,57722000,743017000,43988000,0.23571,0.19776,0.12649,0.01146,0.00736,2.47862,0.96624,0.55828,0.30798,0.14017,0.13894,1.10813,11.57315,0.34742,0.25011,0.02106,0.01875,1.78436,10.46339,21.76697
"22","2015_Q3",18.59125,"Down",115801000,-103689000,12112000,-5589000,-12728000,7139000,6523000,-9680000,-8483000,-1197000,-3157000,-3157000,297000,-2860000,-2860000,-1536000,-1536000,91632000,91632000,19444000,19444000,13362000,21222000,21222000,145660000,6434000,14970000,-8536000,2156455000,57772000,57772000,2220661000,2366321000,35035000,22396000,12639000,47425000,15811000,31614000,112460000,722353000,54236000,33396000,20840000,776589000,889049000,694835000,743528000,-34250000,1404113000,1477272000,2366321000,-2860000,23851000,4315000,7179000,32485000,-12154000,-51380000,-63534000,-31754000,26999000,-8790000,172000,-1000,-13546000,-44595000,-44595000,-2822000,-47417000,30374000,752353000,25102000,0.10459,0.05633,-0.0132599999999999,-0.00104,-0.00065,-16.34245,1.29522,0.60182,0.31794,-0.01213,-0.01213,0.91444,11.08781,0.19822,0.25075,0.01323,0.01099,-20.67318,21.75285,101.29097
"23","2015_Q4",18.26328125,"Down",151658000,-116043000,35615000,-7835000,-10689000,2854000,27780000,-9140000,-7581000,-1559000,18640000,18640000,541000,19181000,19181000,19669000,19669000,65755000,65755000,19296000,19296000,14506000,24066000,24066000,123623000,6157000,14942000,-8785000,2105306000,79374000,79374000,2190837000,2314460000,33917000,19301000,14616000,47438000,17238000,30200000,81355000,791233000,65655000,33599000,32056000,856888000,938243000,707070000,657326000,-55976000,1308420000,1376217000,2314460000,19181000,31958000,3941000,2440000,57520000,-11893000,-23705000,-35598000,-30859000,50528000,-64055000,604000,-1583000,-45969000,-24047000,-24047000,-1830000,-25877000,59738000,791233000,49744000,0.23484,0.18318,0.12969,0.01429,0.0085,2.52906,1.51955,0.68176,0.34187,0.15717,0.15697,1.21187,10.45534,0.3975,0.24659,0.02263,0.02228,1.56892,12.14433,26.11512
"24","2016_Q1",17.1145901639344,"Down",161036000,-114752000,46284000,-30550000,-11435000,-19115000,15734000,-5844000,-7091000,1247000,9890000,9890000,-450000,9440000,9440000,10285000,10285000,51777000,51777000,20222000,20222000,15351000,18335000,2091000,105685000,6742000,15815000,-9073000,2132230000,71281000,71281000,2210253000,2315938000,34669000,21479000,13190000,24788000,3685000,21103000,59457000,830554000,64187000,34137000,30050000,894741000,954198000,708827000,612760000,-33503000,1288084000,1361740000,2315938000,9440000,27924000,6412000,-10015000,33761000,-20082000,-3356000,-23438000,-30656000,3e+07,-25584000,795000,-122000,-26362000,-16039000,-16039000,2061000,-13978000,43658000,830554000,14011000,0.28741,0.0977,0.06387,0.00755,0.00444,1.36228,1.7775,0.70072,0.35863,0.08352,0.08299,1.30768,10.45976,0.11377,0.24894,0.01814,0.00621,2.98065,17.83813,49.49644
"25","2016_Q2",20.38640625,"Up",134843000,-107971000,26872000,-3875000,-9779000,5904000,22997000,-8720000,-7098000,-1622000,14277000,14277000,781000,15058000,15058000,14472000,14472000,76204000,76204000,27497000,27497000,17443000,14067000,12890000,135211000,6835000,16184000,-9349000,2130309000,59782000,59782000,2196926000,2332137000,32932000,22242000,10690000,23165000,4076000,19089000,68308000,857429000,70620000,34313000,36307000,928049000,996357000,704174000,595851000,-43581000,1256444000,1335780000,2332137000,15058000,29342000,3938000,-17303000,31035000,-13298000,-6985000,-20283000,-30675000,44800000,-672000,18000,-16000,13437000,24189000,24189000,238000,24427000,52339000,869640000,20957000,0.19928,0.17055,0.10732,0.01083,0.00621,1.44811,1.97943,0.7459,0.37289,0.11808,0.118,1.10025,10.25198,0.171,0.25029,0.01984,0.00921,2.11961,15.15956,34.50172
"26","2016_Q3",21.8903125,"Up",261550000,-138195000,123355000,-1788000,-11252000,9464000,121567000,-7712000,-7961000,249000,113855000,113855000,-2276000,111579000,111579000,109821000,109821000,129654000,129654000,30576000,30576000,14957000,19686000,13489000,194873000,9124000,17750000,-8626000,2374269000,53913000,53913000,2437306000,2632179000,33061000,22833000,10228000,34941000,5571000,29370000,68002000,1052307000,91350000,34525000,56825000,1143657000,1211659000,706677000,674954000,-44857000,1336774000,1420520000,2632179000,111579000,22365000,7782000,-95782000,45944000,114083000,-257883000,-144913000,-30734000,182802000,626000.000000001,626000,-941000,151753000,52784000,52784000,666000,53450000,143932000,1052307000,164509000,0.47163,0.46479,0.41989,0.07731,0.04172,1.49797,2.8657,0.85297,0.39979,0.896,0.89416,2.13392,10.9064,1.34219,0.25075,0.05481,0.06416,0.27986,6.41034,7.58967
"27","2016_Q4",21.9125396825397,"Up",171421000,-116624000,54797000,-5108000,-10607000,5499000,49689000,-8286000,-8544000,258000,41403000,41403000,-779000,40624000,40624000,39355000,39355000,110039000,110039000,24731000,24731000,16064000,63294000,12564000,214128000,11076000,19967000,-8891000,2395813000,50381000,50381000,2457270000,2671398000,38272000,23735000,14537000,30119000,6892000,23227000,100143000,1033288000,89386000,34702000,54684000,1122674000,1222817000,707977000,683596000,-30388000,1361185000,1448581000,2671398000,40624000,31978000,8387000,5940000,86929000,-14066000,-74834000,-88900000,-30686000,12075000,245000,245000,0,-18366000,-20337000,-20337000,722000,-19615000,81667000,1065040000,74320000,0.31966,0.28987,0.22958,0.02717,0.01473,1.88845,2.13822,0.84415,0.39868,0.32101,0.32026,1.39824,11.10284,0.60621,0.2503,0.02691,0.02855,0.77972,11.69384,19.21957
