"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2020_Q2",28.0579365079365,"Up",186778000,-154624000,32154000,-31690000,-31690000,464000,-4266000,-4704000,365000,-3802000,-3802000,1169000,-2633000,-2633000,530000,-2103000,-2103000,28108000,28108000,131541000,131541000,118738000,8043000,8043000,286430000,54240000,436322000,117621000,230702000,23850000,490562000,776992000,91880000,78733000,643000,12504000,8611000,100491000,344940000,58000,58000,344998000,445489000,312902000,-18006000,-1655000,293241000,38262000,331503000,776992000,-2633000,5470000,1047000,-72490000,-68606000,-4646000,-4646000,73390000,-169000,74223000,971000,971000,-135000,836000,5934000,353551000,-72371000,0.17215,0.00248,-0.01126,-0.00634,-0.00271,34.41322,2.85031,1.34385,0.45503,-0.09284,-0.09284,8.24554,12.94548,-3.19491,-0.00307,-0.10563,54.84378,701.38578
"12","2020_Q3",33.301875,"Up",266982000,-224798000,42184000,-38492000,-38492000,3692000,-4953000,-5329000,324000,-1261000,-1261000,-188000.000000002,-1449000,-1449000,-27000,-1476000,-1476000,117023000,117023000,145323000,145323000,111300000,9510000,9510000,383156000,57471000,426403000,115362000,230658000,21723000,483874000,867030000,116657000,91492000,1198000,23967000,8572000,125229000,376187000,2523000,2523000,378710000,503939000,344298000,-19897000,-1774000,322627000,40464000,363091000,867030000,-1449000,5689000,2069000,19793000,26102000,-5350000,-5350000.00000001,82106000,-15159000,68116000,88868000,88868000,47000,88915000,9381000,384759000,24012000,0.158,0.01383,-0.00553000000000001,-0.00407000000000001,-0.0017,-16.26829,3.05964,1.38791,0.44377,-0.06516,-0.0651599999999999,11.78624,14.24276,1.06004,-0.00197,0.032,28.54024,72.51788
"13","2020_Q4",30.97390625,"Down",162083000,-129815000,32268000,-35562000,-35562000,-3294000,-6665000,-6427000,13000,-9959000,-9959000,-61563000,-71522000,-71522000,1272000,-70250000,-70250000,57753000,57753000,100826000,100826000,83880000,5525000,5525000,247984000,60409000,469714000,217367000,230872000,21475000,530123000,778107000,88646000,65352000,2530000,20764000,12435000,101081000,374085000,965000,965000,375050000,476131000,349552000,-82959000,-1247000,265346000,36630000,301976000,778107000,-71522000,7743000,71596000,48506000,56323000,-102458000,-102458000,-18718000,-402000,-13103000,-59238000,-59238000,-32000,-59270000,4449000,386520000,12060000,0.19908,-0.02032,-0.43342,-0.23263,-0.09028,-0.17167,2.45332,1.57672,0.49674,-3.10127,-3.10127,7.15535,11.71402,0.5324,-0.10189,0.01749,73.89683,-99.80783
"14","2021_Q1",35.4009836065574,"Up",164208000,-135626000,28582000,-32631000,-32631000,-4049000,-6243000,-6347000,-131000,-10292000,-10292000,168999.999999993,-10123000,-10123000,1297000,-8826000.00000001,-8826000.00000001,33456000,33456000,102755000,102755000,97773000,8312000,8312000,242296000,63146000,466150000,2.13e+08,231158000,21992000,529296000,771592000,88389000,68131000,903000,19355000,12678000,101067000,422718000,1397000,1397000,424115000,525182000,319671000,-98558000,-686000,220427000,25983000,246410000,771592000,-10123000,8581000,1893000,-18771000,-18420000,-5568000.00000001,-5568000,-1275000,-283000,-472000,-24460000,-24460000,163000,-24297000,4532000,435396000,-19976000,0.17406,-0.02466,-0.0537500000000001,-0.03582,-0.01144,2.26331,2.39738,2.13133,0.56428,-0.38963,-0.38963,7.24916,9.73102,-0.88186,-0.01292,-0.02924,88.68932,-99.26896
"15","2021_Q2",39.8957142857143,"Up",254347000,-206548000,47799000,-40672000,-40672000,7127000,-4666000,-4870000,204000,2461000,2461000,-75000,2386000,2386000,-353000,2033000,2033000,11064000,11064000,175186000,175186000,130523000,9150000,9150000,325923000,68783000,457798000,204589000,231202000,22007000,526581000,852504000,120779000,101033000,538000,19208000,11903000,132682000,461881000,1253000,1253000,463134000,595816000,345415000,-96525000,-5e+05,248390000,8298000,256688000,852504000,2386000,12351000,2297000,-74387000,-57353000,-8325000,-8325000,37391000,-802000,43169000,-22509000,-22509000,117000,-22392000,19478000,473784000,-63159000,0.18793,0.02802,0.00799,0.00792,0.00238,-31.0669,2.45642,2.32117,0.55576,0.08975,0.08975,11.22846,10.96548,-2.78823,0.00278,-0.08632,23.75603,64.92493
"16","2021_Q3",30.126875,"Down",-253821642,206130069,-47691573,40588186,40588186,-7103387,4654130,4857475,-203345,-2449257,-2454710,75130,-2379580,-2379580,352639,-2026941,-2026941,27163000,27163000,159800000,159800000,118389000,11893000,11893000,317245000,72225000,453785000,200006000,231367000,22412000,526010000,843255000,84601000,61653000,3798000,19150000,14574000,99175000,472738000,1718000,1718000,474456000,573631000,358535000,-92499000,-126000,265910000,3714000,269624000,843255000,-2379580,-12330595,-2286643,74303622,57306804,8307048,8307048,-37338501,794716,-43111197,22502655,22502655,-116948,22385707,-19433982,487312000,63101558,0.18789,0.02799,0.00798999999999999,-0.00752,-0.0024,-31.13142,3.19884,2.12752,0.57789,-0.0695,-0.0692,-8.70325,9.11775,2.16368,-0.00267,0.08318,-23.67755,-64.77882
"17","2021_Q4",23.38234375,"Down",210534000,-168462000,42072000,-45252000,-45252000,-3180000,-4831000,-6168000,1337000,-8011000,-8011000,-317000,-8328000,-8328000,426000,-7902000,-7902000,63174000,63174000,124270000,124270000,108144000,7157000,7157000,302745000,74346000,449467000,195310000,231083000,23074000,523813000,826558000,91626000,62510000,5108000,24008000,13388000,105014000,456641000,1712000,1712000,458353000,563367000,361865000,-100401000,-825000,260639000,2552000,263191000,826558000,-1914420,28915595,11578643,-28068622,10511196,-19504048,-19504048,33621501,-7417716,38808197,29815345,29815345,-52,29815293,25735595,470029000,-21520075,0.19983,-0.0151,-0.03753,-0.03002,-0.00956,2.72337,2.8829,2.14053,0.56866,-0.27095,-0.26978,7.21897,8.93701,-0.7379,-0.01075,-0.02928,15.80904,-127.94182
"18","2022_Q1",21.0383870967742,"Down",721468642,-577255069,144213573,-125185186,-125185186,19028387,-18090130,-18515475,584345,938257.000000002,-4509290,-3552130,-8061420,-8061420,-9639,-8071059,-8071059,79406000,79406000,113947000,113947000,96440000,8896000,8896000,298689000,76613000,444285000,190662000,231110000,22513000,520898000,819587000,83252000,55057000,3811000,24384000,14850000,98102000,450963000,15302000,15302000,466265000,564367000,368035000,-114525000,-684000,252826000,2394000,255220000,819587000,-14475000,10364000,5829000,11584000,13302000,-6616000,-6616000,9897000,-1238000,9468000,16154000,16154000,-13000,16141000,29392387,465813000,37912517,0.19989,0.02637,-0.01119,-0.03162,-0.00985,-4.69734,3.04468,2.2113,0.56835,-0.27675,-0.27556,24.73833,8.66911,1.29998,-0.01096,0.0514900000000002,13.1465,20.30687
"19","2022_Q2",18.3433870967742,"Down",275695000,-218060000,57635000,-48236000,-48236000,9399000,-6118000,-6121000,3000,3281000,3281000,-121000,3160000,3160000,-29000,3131000,3131000,51104000,51104000,179058000,179058000,167714000,10148000,10148000,408024000,78194000,438216000,186111000,230973000,21132000,516410000,924434000,158957000,128913000,5099000,24945000,14458000,173415000,489409000,451000,451000,489860000,663275000,371427000,-111394000,-1136000,258897000,2262000,261159000,924434000,3160000,8966000,4287000,-61793000,-45380000,-5678000,-5678000,23451000,-688000,22863000,-28195000,-28195000,-107000,-28302000,18365000,503867000,-48985000,0.20905,0.03409,0.01136,0.01199,0.00339,-15.64516,2.35288,2.53974,0.54505,0.10736,0.1069,9.45326,8.87728,-1.67964,0.00409,-0.06399,24.65358,48.1714
"20","2022_Q3",13.4853125,"Down",-275167291,217651900,-57515391,48137169,48137169,-9378222,6105784,6108580,-2796,-3272438,-3272438,120276,-3152162,-3152162,28925,-3123237,-3123237,5396,5396,168831,168831,160064,9337,9337,343628,76691,434716,181566,230594,22556,511406.99999994,855035,104388.99999997,81093,1386.99999999907,21909,14780.0000000019,119169,467993.00000006,431,431,468424,587593,374086,-106762,-2203,265120.99999997,2320,267441,855034,-3152162,-8948340,-4280286,61695404,45314616,5669974,5669974,-23450544,687135,-22863294,28121296,28121296,106694,28227990,-18326562,482773,48918540,0.20902,0.03408,0.01135,-11.67823,-3.65276,-15.66277,2.88354,2.19709,0.56462,-0.10709,-0.10663,-9.43517,0.00909000000000049,1.67736,-4.16073,65.16859,-0.026050000000005,-0.0508999999999986
