"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q1",20.6713114754098,"Down",73368000,-23285000,50083000,-28163000,-7994000,-20169000,21920000,-9342000,-9280000,17000,12578000,-171000,12407000,12015000,12015000,-13247000,-1232000,-3532000,13366000,13366000,5226000,5226000,18592000,2104875000,2275233000,-170358000,143263000,54170000,2248138000,2266730000,24459000,24459000,12687000,12687000,37146000,958097000,958097000,995243000,430464000,1271487000,2266730000,12015000,20169000,2527000,-5295000,29416000,-186878000,-186878000,-186878000,-2650000,-192165000,-113689000,-15958000,160800000,-1949000,-1949000,-1949000,42089000,958097000,0.68263,0.29877,-0.04814,-0.00278,-0.00156,0.50051,0.78274,0.42268,-0.07713,-0.07713,1.60224,0.00576,22.44603,43.09904
"12","2018_Q2",22.7040625,"Up",76493000,-25226000,51267000,-29674000,-8306000,-21368000,21593000,-9771000,-9635000,-84000,11822000,294000,12116000,11973000,11973000,-1513000,10460000,7872000,15262000,15262000,4872000,4872000,20134000,2223046000,2411453000,-188407000,148729000,58637000,2371775000,2391909000,24079000,24079000,13542000,13542000,37621000,1069600000,1069600000,1107221000,455393000,1284688000,2391909000,11973000,21368000,2001000,-1483000,33859000,-104402000,-104402000,-104402000,-341999.999999999,-105105000,104788000,-15071000,73030000,1784000,1784000,1784000,42961000,1069600000,0.67022,0.28229,0.10291,0.00613,0.00329,0.53518,0.86186,0.44717,0.1565,0.07877,1.52077,0.01043,24.54175,48.82777
"13","2018_Q3",23.8422222222222,"Up",79723000,-25184000,54539000,-30849000,-8460000,-22389000,23690000,-10372000,-10472000,0,13318000,-233000,13085000,13041000,13041000,-7150000,5891000,3304000,16419000,16419000,8855000,8855000,25274000,2268390000,2475217000,-206827000,166891000,78166000,2435281000,2460555000,26983000,26983000,13546000,13546000,40529000,1149789000,1149789000,1190318000,449072000,1270237000,2460555000,13041000,22389000,2627000,2369000,40426000,-68127000,-68127000,-68127000,-17944000,-82841000,81295000,-16301000,47752000,5337000,5337000,5337000,46079000,1149789000,0.68411,0.29715,0.04144,0.0026,0.00134,0.6236,0.93708,0.46729,0.06544,0.0327,1.57908,0.00849,24.59624,47.84171
"14","2018_Q4",22.6515873015873,"Down",85382000,-26552000,58830000,-31317000,-8848000,-22469000,27513000,-10261000,-10656000,153000,17252000,-141000,17111000,16829000,16829000,-12435000,4394000,1806000,15045000,15045000,6207000,6207000,21252000,2357980000,2584066000,-226086000,336186000,85417000,2694166000,2715418000,36036000,36036000,15787000,15787000,51823000,1229241000,1229241000,1281064000,483834000,1434354000,2715418000,16829000,22469000,2528000,7552000,49378000,-106450000,-106450000,-106450000,-2888000,-272590000,79422000,-16690000,219433000,-3779000,-3779000,-3779000,49982000,1229241000,0.68902,0.32223,0.02115,0.00126,0.00067,0.41009,0.89313,0.45269,0.03238,0.0346,1.53066,0.00781,24.29267,44.13172
"15","2019_Q1",23.6893442622951,"Up",89298000,-26913000,62385000,-33527000,-10310000,-22921000,28858000,-13834000,-11961000,-160000,15024000,-192000,14832000,14483000,14483000,-21119000,-6636000,-9223000,13181000,13181000,4442000,4442000,17623000,2391462000,2637723000,-246261000,320178000,75053000,2711640000,2729263000,33130000,33130000,15732000,15732000,48862000,1278102000,1278102000,1326964000,485460000,1402299000,2729263000,14483000,22921000,7e+06,-6271000,38133000,-54150000,-54150000,-54150000,21174000,-53953000,556995000,-524903000,12434000,-3386000,-3386000,-3386000,51779000,1278102000,0.69862,0.32317,-0.10328,-0.00658,-0.00338,0.36067,0.94628,0.4683,-0.16294,-0.16294,1.57756,0.00387,24.42923,43.83259
"16","2019_Q2",25.2746031746032,"Up",90572000,-26457000,64115000,-35115000,-10380000,-24349000,2.9e+07,-15411000,-13211000,-98000,13589000,-157000,13432000,12940000,12940000,-5529000,7411000,4823000,5038867.31306562,5038867.31306562,3679311.10982461,3679311.10982461,8718178.42289023,2554777296.76433,2822178790.43056,-267401493.666231,302390714.891784,75032611.7214452,2857168011.65611,2865886190.079,32749002.3440773,32749002.7434695,27922660.086533,15812114.9190226,60671662.4306102,1362185730.13929,1362185730.13929,1422857392.5699,511895807.557265,1443028797.5091,2865886190.079,12940000,24349000,6955000,2154000,46398000,-143912000,-143912000,-143912000,206000,-143706000,136722000,-16755999.9999999,100368000,3060000,3060000,3060000,53349000,0,0.70789,0.32019,0.05325,-0.00753863306412998,-0.00388890172604629,0.228791720269676,0.98340612503653,0.475589451430277,0.08513,0.08513,1.59866,0.00351543022562786,25.1454676096674,45.3906817777073
"17","2019_Q3",27.6159375,"Up",95419000,-27190000,68229000,-36999000,-10813000,-25829000,31230000,-15762000,-13947000,-169000,15468000,2509000,17977000,17733000,17733000,-25389000,-7656000,-10913000,15255000,15255000,5308000,5308000,20563000,2725663000,3015549000,-289886000,315629000,82334000,3041292000,3061855000,53054000,53054000,40370000,16218000,93424000,1469647000,1469647000,1563071000,541208000,1498784000,3061855000,17733000,25829000,3970000,-455000,47077000,-174738000,-174738000,-174738000,811000,-174367000,362278000,-326692000,127620000,330000,330000,330000,57059000,1469647000,0.71505,0.32729,-0.11437,-0.00728,-0.00356,0.2201,1.04289,0.47999,-0.18964,-0.18964,1.65811,0.00381,25.48927,46.57035
"18","2019_Q4",29.5559375,"Up",101337000,-28988000,72349000,-39637000,-11271000,-27598000,32712000,-15654000,-14432000,-8000,17058000,-321000,16737000,16514000,16514000,-25374000,-8860000,-12132000,44749000,44749000,8921000,8921000,53670000,2741903000,3055597000,-313694000,315224000,86778000,3057127000,3110797000,78849000,78849000,40806000,16029000,119655000,1533936000,1533936000,1653591000,541504000,1457206000,3110797000,16514000,27598000,6379000,6115000,56606000,-46473000,-46473000,-46473000,4.65661287307739e-10,-46298000,-237316000,279714000,20145000,30453000,30453000,30453000,60310000,1533936000,0.71394,0.3228,-0.11972,-0.00833,-0.0039,0.44854,1.13477,0.4931,-0.20458,-0.20458,1.7088,0.00338,24.69221,45.52418
"19","2020_Q1",29.5332258064516,"Down",100568000,-27712000,72856000,-38949000,-11566000,-27343000,33907000,-14155000,-14874000,727000,19752000,-534000,19218000,18826000,18826000,-5738000,13088000,9815000,20558000,20558000,6982000,6982000,27540000,2753897000,3091719000,-337822000,302808000,88747000,3056705000,3084245000,37966000,37966000,60131000,15523000,98097000,1534047000,1534047000,1632144000,532471000,1452101000,3084245000,18826000,27343000,4806000,-4405000,46570000,-27429000,-27429000,-27429000,6088000,-28659000,-1312000,-19671000,-43841000,-25930000,-25930000,-25930000,61250000,1534047000,0.72445,0.33715,0.0976,0.00676,0.00318,0.28074,1.12399,0.49738,0.16544,0.16544,1.69515,0.01094,24.71002,44.63648
"20","2020_Q2",25.8168253968254,"Down",104222000,-30592000,73630000,-40588000,-11094000,-29105000,33042000,-16160000,-15628000,-192000,16882000,-833000,16049000,15763000,15763000,-9115000,6648000,3375000,18689000,18689000,7064000,7064000,25753000,2951322000,3314849000,-363527000,301798000,88301000,3253120000,3278873000,40127000,40127000,126022000,16076000,166149000,1731669000,1731669000,1897818000,457573000,1381055000,3278873000,15763000,29105000,4979000,837999.999999998,50685000,-215047000,-215047000,-215047000,6342498.54387783,-211112000,197421000,-19812999.9999999,158837000,-1589999.99999999,-1589999.99999999,-1589999.99999999,62147000,1731669000,0.70647,0.31703,0.03238,0.00244,0.00103,0.155,1.37418,0.52813,0.05644,0.05644,1.7429,0.00848,27.56336,51.8425
"21","2020_Q3",29.225,"Up",104417000,-30257000,74160000,-40100000,-10329000,-29309000,34060000,-15778000,-15513000,-317000,18282000,-252000,18030000,17787000,17787000,-7365000,10422000,7148000,17271000,17271000,8535000,8535000,25806000,2964626000,3354454000,-389828000,294618000,84504000,3259244000,3285050000,42641000,42641000,132120000,15850000,174761000,1741544000,1741544000,1916305000,451176000,1368745000,3285050000,17787000,29309000,4947000,2955000,54998000,-32992000,-32992000,-32992000,1687598.74082215,-32786000,9668000,-17677000,-21992000,220000,220000,220000,63369000,1741544000,0.71023,0.32619,0.06846,0.00522,0.00218,0.14766,1.40005,0.53014,0.10479,0.10479,1.53082,0.01063,27.21004,50.62457
"22","2020_Q4",31.721875,"Up",109474000,-31546000,77928000,-40230000,-10818000,-28933000,37698000,-15345000,-15262000,-120000,22353000,-596000,21757000,21411000,21411000,-7924000,13487000,10212000,16779000,16779000,7184000,7184000,23963000,2964995000,3381418000,-416423000,291958000,85674000,3256953000,3280916000,51280000,51280000,127533000,15858000,178813000,1741703000,1741703000,1920516000,445171000,1360400000,3280916000,21411000,28933000,5600000,6018000,61962000,-24344000,-24344000,-24344000,-549999.999999993,-24600000,-195999.99999997,-17890000,-39003000,-1641000,-1641000,-1641000,66631000,1741703000,0.71184,0.34436,0.09328,0.00751,0.00311,0.13401,1.41173,0.53086,0.14817,0.14817,1.5884,0.01193,25.88771,45.75638
"23","2021_Q1",35.3152459016393,"Up",114109000,-31091000,83018000,-40704000,-11399000,-29827000,42314000,-16258000,-16192000,-582000,26056000,-743000,25313000,24517000,24517000,-6465000,18052000,14777000,18723000,18723000,5474000,5474000,24197000,3195569000,3639192000,-443623000,293811000,91278000,3489380000,3513577000,47043000,47043000,119088000,16414000,166131000,1916971000,1916971000,2083102000,461518000,1430475000,3513577000,24517000,29827000,5276000,-6611000,53009000,-240885000,-240885000,-240885000,957000,-241185000,176460000,-21198000,188612000,436000,436000,436000,72141000,1916971000,0.72753,0.37082,0.1295,0.01033,0.00421,0.14565,1.45623,0.54559,0.21336,0.21262,1.64757,0.01264,26.31303,44.86099
"24","2021_Q2",42.8414285714286,"Up",122992000,-34604000,88388000,-44059000,-11238000,-32424000,44329000,-16206000,-16792000,-173000,28123000,-292000,27831000,27635000,27635000,-6797000,20838000,17563000,19513000,19513000,5590000,5590000,25103000,3334602000,3807621000,-473019000,291931000,92654000,3626533000,3651636000,42347000,42347000,94899000,18286000,137246000,1932770000,1932770000,2070016000,496969000,1581620000,3651636000,27635000,32424000,5171000,-1160000,64070000,-146870000,-146870000,-146870000,-2530000,-149400000,15436000,-23120000,86439000,1109000,1109000,1109000,76753000,1932770000,0.71865,0.36042,0.1428,0.0111,0.00481,0.18291,1.30879,0.52929,0.24463,0.14257,1.71312,0.01305,24.92746,43.16039
"25","2021_Q3",51.933125,"Up",138246000,-36654000,101592000,-48811000,-12450000,-36051000,52781000,-16313000,-17339000,-148000,36468000,-118000,36350000,35675000,35675000,-6957000,28718000,25442000,22410000,22410000,5678000,5678000,28088000,3572518000,4077016000,-504498000,290640000,95073000,3863158000,3891246000,48058000,48058000,97089000,19072000,145147000,2058573000,2058573000,2203720000,520225000,1687526000,3891246000,35675000,36051000,5698000,2765000,80189000,-250166000,-250166000,-250166000,1430000,-248736000,125491000,-24769000,171712000,3165000,3165000,3165000,88832000,2058573000,0.73486,0.38179,0.18403,0.01508,0.00654,0.19351,1.30589,0.52903,0.35438,0.20653,1.92559,0.01552,22.9215,38.57758
"26","2021_Q4",58.65953125,"Up",150843000,-39465000,111378000,-52989000,-13012000,-38983000,58389000,-16703000,-18144000,-241000,41686000,-512000,41174000,40730000,40730000,-10506000,30224000,26948000,69246000,69246000,6253000,6253000,75499000,4133049000,4670821000,-537772000,312686000,120671000,4445735000,4521234000,62562000,62562000,92523000,20189000,155085000,2128485000,2128485000,2283570000,628815000,2237664000,4521234000,40730000,38983000,5698000,8981000,94392000,-569072000,-268074120.613709,-268074120.613709,-18577000,-587649000,71465000,-28159000,540885000,47628000,47628000,47628000,97372000,2128485000,0.73837,0.38708,0.17865,0.01204,0.00596,0.48682,1.02052,0.47078,0.31242,0.19245,1.74876,0.01527,21.14816,35.26758
"27","2022_Q1",58.865,"Up",173590000,-44542000,129048000,-66307000,-14301000,-50854000,62741000,-18452000,-19787000,-344000,44289000,-1019000,43270000,42895000,42895000,-17422000,25473000,22196000,25013000,25013000,5295000,5295000,30308000,5219471000,5798188000,-578717000,312815000,124628000,5532286000,5562594000,59262000,59262000,79946000,22208000,139208000,2940931000,2940931000,3080139000,707226000,2482455000,5562594000,42895000,50854000,5971000,-7022000,92698000,-1028277000,-172827585.845088,-172827585.845088,18877000,-1012265000,813939000,-33576000,873839000,-45728000,-45728000,-45728000,113595000,2940931000,0.74341,0.36143,0.12786,0.00894,0.00399,0.21772,1.24076,0.5287,0.25732,0.15851,2.01247,0.01222,25.66942,46.47548
"28","2022_Q2",52.5525806451613,"Down",187184000,-49358000,137826000,-72508000,-13966000,-58072000,65318000,-21265000,-22647000,-112000,44053000,1581000,45634000,44786000,44786000,-19558000,25228000,21949000,26616000,26616000,4652000,4652000,31268000,5268038000,5892406000,-624368000,322105000,137558000,5590143000,5621411000,60678000,60678000,50938000,23366000,111616000,2999751000,2999751000,3111367000,763064000,2510044000,5621411000,44786000,58072000,3922000,3286000,110066000,-83681000.0000001,-83681000,-83681000,-6000000.00000001,-83515000,58914999.9999999,-35205000,-25278999.9999999,1272000,1272000,1272000,123390000,2999751000,0.73631,0.34895,0.11726,0.00874,0.0039,0.28014,1.23957,0.53363,0.24452,0.24452,2.08531,0.01287,24.09543,45.51785
"29","2022_Q3",49.83578125,"Down",198890000,-53188000,145702000,-73118000,-14702000,-57891000,72584000,-22747000,-24448000,-261000,49837000,-682000,49155000,48425000,48425000,-23387000,25038000,21656000,32345000,32345000,5129000,5129000,37474000,5344491000,6016699000,-672208000,377076000,143001000,5721567000,5759041000,68166000,68166000,47269000,23711000,115435000,3142293000,3142293000,3257728000,752538000,2501313000,5759041000,48425000,57891000,6287000,4374000,116977000,-112151000,-112151000,-112151000,4075000,-161411000,143922000,-39171000,50903000,6469000,6469000,6469000,130475000,3142293000,0.73258,0.36495,0.10888,0.00866,0.00376,0.32463,1.30241,0.54563,0.23657,0.23657,2.17269,0.01338,23.83559,42.84619
