"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"19","2014_Q4",76.72875,"Up",1.7218e+10,-7.995e+09,9.223e+09,-6.376e+09,-6.354e+09,2.847e+09,-1.92e+08,-1.92e+08,2.655e+09,2.655e+09,-6.37e+08,2.018e+09,2.018e+09,-1e+07,2.008e+09,2.008e+09,1.2906e+10,7.282e+09,5.624e+09,8.376e+09,3.784e+09,1.524e+09,1.524e+09,2.659e+10,1.7929e+10,3.5947e+10,1.55e+10,1.6225e+10,1.946e+09,2.276e+09,5.3876e+10,8.0466e+10,1.3591e+10,1.3591e+10,9.253e+09,2.2844e+10,2.3489e+10,1.0946e+10,5.87e+09,5.076e+09,3.4435e+10,5.7279e+10,4.053e+09,2.5e+07,4.028e+09,4.8764e+10,-6.146e+09,2.3071e+10,1.16e+08,2.3187e+10,8.0466e+10,2.018e+09,6.32e+08,9.7e+07,1.274e+09,4.021e+09,-6.01e+08,1.8e+07,-6.19e+08,1.3e+07,-1.928e+09,-2.516e+09,-9.93e+08,6e+07,-8.28e+08,1.8e+08,-1.008e+09,-1.1e+07,-1.772e+09,-2.67e+08,-2.67e+08,-5.8e+07,-3.25e+08,3.479e+09,3.2742e+10,4.789e+09,0.53566,0.16535,0.11662,0.0866,0.02495,2.38496,1.16398,2.47031,0.4069,1.33245,1.31759,11.42535,15.40013,3.17784,0.65893,7,0.04487,0.07161,0.49452,5.70164,6.96733
"20","2015_Q1",77.9467213114754,"Up",1.9948e+10,-9.718e+09,1.023e+10,-8.199e+09,-8.172e+09,2.031e+09,-2.5e+08,-2.5e+08,1.781e+09,1.781e+09,-4.55e+08,1.326e+09,1.326e+09,-1.5e+07,1.311e+09,1.311e+09,8.726e+09,6.134e+09,2.592e+09,6.651e+09,3.143e+09,2.143e+09,2.143e+09,2.0663e+10,1.7244e+10,3.2602e+10,1.4088e+10,1.4965e+10,2.689e+09,8.6e+08,4.9846e+10,7.0509e+10,1.3016e+10,1.3016e+10,5.076e+09,1.8092e+10,2.3821e+10,1.1048e+10,5.304e+09,5.744e+09,3.4869e+10,5.2961e+10,4.14e+09,2.5e+07,4.115e+09,4.9092e+10,-1.0669e+10,1.7438e+10,1.1e+08,1.7548e+10,7.0509e+10,1.326e+09,8.31e+08,5.9e+07,1.597e+09,3.813e+09,-1.264e+09,5.5e+07,-1.319e+09,1e+07,2.995e+09,1.741e+09,-9.85e+08,-3.648e+09,-1.611e+09,1.94e+08,-1.805e+09,7e+06,-6.237e+09,-6.83e+08,-6.83e+08,-4.65e+08,-1.148e+09,2.862e+09,2.8897e+10,3.65e+09,0.51283,0.10181,0.06572,0.07471,0.01859,2.78413,1.14211,3.01806,0.40983,0.87928,0.86706,13.37894,11.7894,2.44802,0.66063,5,0.03994,0.06349,0.75133,7.04787,9.93156
"21","2015_Q2",77.517619047619,"Down",1.2217e+10,-5.503e+09,6.714e+09,-4.917e+09,-4.901e+09,1.797e+09,-1.96e+08,-1.96e+08,1.601e+09,1.601e+09,-3.7e+08,1.231e+09,1.231e+09,-1e+07,1.221e+09,1.221e+09,8.495e+09,6.41e+09,2.085e+09,6.963e+09,3.462e+09,2.002e+09,2.002e+09,2.0922e+10,1.6678e+10,3.2025e+10,1.3758e+10,1.4681e+10,2.626e+09,9.6e+08,4.8703e+10,6.9625e+10,1.2165e+10,1.2165e+10,7.962e+09,2.0127e+10,2.2403e+10,1.1106e+10,5.224e+09,5.882e+09,3.3509e+10,5.3636e+10,4.154e+09,2.5e+07,4.129e+09,4.9335e+10,-1.1566e+10,1.5869e+10,1.2e+08,1.5989e+10,6.9625e+10,1.231e+09,4.96e+08,2.9e+07,-1.486e+09,2.7e+08,-2.59e+08,1.1e+07,-2.7e+08,5.9e+07,5.2e+08,3.2e+08,-9.78e+08,1.685e+09,-9.53e+08,1.71e+08,-1.124e+09,3.6e+07,-2.1e+08,3.8e+08,3.8e+08,-1.04e+08,2.76e+08,2.293e+09,3.0365e+10,9.18e+08,0.54956,0.14709,0.09994,0.07637,0.01754,0.75184,1.0395,3.35456,0.43612,0.82278,0.81238,8.23248,10.78841,0.6186,0.65903,6,0.03827,0.01598,0.80098,9.53772,12.17028
"22","2015_Q3",77.738125,"Up",1.5923e+10,-7.251e+09,8.672e+09,-5.772e+09,-5.753e+09,2.9e+09,-2.03e+08,-2.03e+08,2.697e+09,2.697e+09,-7.03e+08,1.994e+09,1.994e+09,-1.4e+07,1.98e+09,1.98e+09,9.579e+09,7.562e+09,2.017e+09,7.826e+09,3.931e+09,1.733e+09,1.733e+09,2.3069e+10,1.6736e+10,3.2457e+10,1.4031e+10,1.4912e+10,2.626e+09,8.88e+08,4.9193e+10,7.2262e+10,1.3163e+10,1.3163e+10,8.383e+09,2.1546e+10,2.3075e+10,1.1177e+10,5.269e+09,5.908e+09,3.4252e+10,5.5798e+10,3.998e+09,2.5e+07,3.973e+09,5.0268e+10,-1.1101e+10,1.6332e+10,1.32e+08,1.6464e+10,7.2262e+10,1.994e+09,5.79e+08,1.31e+08,-2.13e+08,2.491e+09,-5.47e+08,1.5e+07,-5.62e+08,-1000000.00000001,7e+07,-4.78e+08,-9.95e+08,9.95e+08,-9.27e+08,7.9e+07,-1.006e+09,3.8e+07,-888999999.999999,1.124e+09,1.124e+09,2.8e+07,1.152e+09,3.479e+09,3.1458e+10,3.422e+09,0.54462,0.18213,0.12435,0.12026,0.0274,1.72828,1.07069,3.38909,0.43533,1.34146,1.32797,10.78794,11.16125,2.31843,0.67412,6,0.05034,0.0579,0.50253,6.28888,7.54448
"23","2015_Q4",82.16,"Up",1.6331e+10,-7.49e+09,8.841e+09,-6.066e+09,-6.048e+09,2.775e+09,-2.23e+08,-2.23e+08,2.552e+09,1.193e+09,-6.5e+08,5.43e+08,5.43e+08,-1e+07,5.33e+08,5.33e+08,1.0679e+10,8.698e+09,1.981e+09,7.666e+09,3.124e+09,1.345e+09,1.345e+09,2.2814e+10,1.6131e+10,3.0957e+10,1.3393e+10,1.4407e+10,2.285e+09,8.72e+08,4.7088e+10,6.9902e+10,1.3546e+10,1.3546e+10,5.525e+09,1.9071e+10,2.6318e+10,1.0934e+10,5.019e+09,5.915e+09,3.7252e+10,5.6323e+10,4.045e+09,2.4e+07,4.021e+09,4.9767e+10,-1.2514e+10,1.3461e+10,1.18e+08,1.3579e+10,6.9902e+10,5.43e+08,5.69e+08,1.706e+09,1.196e+09,4.014e+09,-5.94e+08,3.7e+07,-6.31e+08,-7e+06,-5.47e+08,-1.148e+09,-1.035e+09,3.86e+08,-9.92e+08,7.7e+07,-1.069e+09,-1.8e+07,-1.659e+09,1.207e+09,1.207e+09,-7.1e+07,1.136e+09,3.344e+09,3.1843e+10,4.596e+09,0.54136,0.16992,0.03264,0.03925,0.00762,8.62289,1.19627,4.1478,0.45554,0.36382,0.35965,11.14744,9.28601,3.1372,0.70648,6,0.02782,0.08155,1.94184,6.32895,7.62667
"24","2016_Q1",81.9370491803279,"Down",1.8585e+10,-8.487e+09,1.0098e+10,-7.858e+09,-7.911e+09,2.24e+09,-2.89e+08,-2.89e+08,1.951e+09,1.951e+09,-2.18e+08,1.733e+09,1.733e+09,-1.5e+07,1.718e+09,1.718e+09,1.2009e+10,9.096e+09,2.913e+09,6.437e+09,2.72e+09,1.865e+09,1.865e+09,2.3031e+10,1.6317e+10,3.0319e+10,1.3081e+10,1.4177e+10,2.311e+09,7.5e+08,4.6636e+10,6.9667e+10,1.3507e+10,1.3507e+10,4.071e+09,1.7578e+10,2.9213e+10,1.0846e+10,4.959e+09,5.887e+09,4.0059e+10,5.7637e+10,4.1e+09,2.4e+07,4.076e+09,5.0472e+10,-1.3319e+10,1.1923e+10,1.07e+08,1.203e+10,6.9667e+10,1.733e+09,7.72e+08,2.23e+08,1.361e+09,4.089e+09,-1.272e+09,2.3e+07,-1.295e+09,-6.1e+07,-9.3e+08,-2.263e+09,-1.032e+09,1.566e+09,-1.624e+09,1.77e+08,-1.801e+09,-2.64e+08,-1.354e+09,4.72e+08,4.72e+08,-7.4e+07,3.98e+08,3.012e+09,3.3284e+10,3.319e+09,0.54334,0.12053,0.09244,0.14281,0.02466,1.9319,1.31022,4.79111,0.47776,1.18401,1.1735,12.80841,8.18884,2.28739,0.71123,7,0.04897,0.0591,0.6007,7.06341,9.49777
"25","2016_Q2",86.20171875,"Up",1.1862e+10,-5.151e+09,6.711e+09,-5.092e+09,-5.078e+09,1.619e+09,-2.32e+08,-2.32e+08,1.387e+09,1.387e+09,-4.42e+08,9.45e+08,9.45e+08,-1.4e+07,9.31e+08,9.31e+08,1.2144e+10,8.124e+09,4.02e+09,6.707e+09,3.219e+09,1.896e+09,1.896e+09,2.3966e+10,1.6105e+10,2.9948e+10,1.3049e+10,1.4132e+10,1.935e+09,8.32e+08,4.6053e+10,7.0019e+10,1.2824e+10,1.2824e+10,4.018e+09,1.6842e+10,3.1068e+10,1.0878e+10,5.067e+09,5.811e+09,4.1946e+10,5.8788e+10,3.93e+09,2.4e+07,3.906e+09,5.0383e+10,-1.3569e+10,1.1111e+10,1.2e+08,1.1231e+10,7.0019e+10,9.45e+08,4.81e+08,4.28e+08,-1.549e+09,3.05e+08,-3.64e+08,2.5e+07,-3.89e+08,5.5e+07,-1.103e+09,-1.412e+09,-1.038e+09,1.752e+09,-4.54e+08,1.65e+08,-6.19e+08,-1.03e+08,1.57e+08,-9.5e+08,-9.5e+08,-2.2e+07,-9.72e+08,2.1e+09,3.5086e+10,6.29e+08,0.56576,0.13649,0.07849,0.0829,0.0133,0.67562,1.42299,5.23444,0.50109,0.64385,0.63811,8.20332,7.78492,0.43499,0.71784,6,0.03443,0.011,1.11493,10.92476,14.17048
"26","2016_Q3",90.668125,"Up",1.5395e+10,-6.83e+09,8.565e+09,-5.601e+09,-5.584e+09,2.964e+09,-2.33e+08,-2.33e+08,2.731e+09,2.731e+09,-7.18e+08,2.013e+09,2.013e+09,-8e+06,2.005e+09,2.005e+09,1.3379e+10,9.646e+09,3.733e+09,7.495e+09,3.487e+09,1.517e+09,1.517e+09,2.5878e+10,1.6219e+10,3.0614e+10,1.3347e+10,1.4398e+10,2.002e+09,8.67e+08,4.6833e+10,7.2711e+10,1.3685e+10,1.3685e+10,4.774e+09,1.8459e+10,3.0847e+10,1.1029e+10,5.156e+09,5.873e+09,4.1876e+10,6.0335e+10,3.964e+09,2.4e+07,3.94e+09,5.1295e+10,-1.2813e+10,1.2248e+10,1.28e+08,1.2376e+10,7.2711e+10,2.013e+09,5.63e+08,1.68e+08,5.8e+07,2.802e+09,-5.08e+08,2.2e+07,-5.3e+08,1.6e+07,2.96e+08,-1.96e+08,-1.022e+09,5.16e+08,-5.82e+08,1.28e+08,-7.1e+08,-4999999.99999999,-1.093e+09,1.513e+09,1.513e+09,8999999.99999999,1.522e+09,3.527e+09,3.5621e+10,3.795e+09,0.55635,0.19253,0.13024,0.16201,0.02757,1.89277,1.40192,4.87516,0.4899,1.3885,1.37612,10.66136,8.5838,2.62812,0.70776,8,0.05128,0.06429,0.50973,6.30621,7.50405
"27","2016_Q4",88.7480952380952,"Down",1.6027e+10,-7.284e+09,8.743e+09,-5.922e+09,-5.904e+09,2.821e+09,-2.17e+08,-2.17e+08,2.604e+09,2.604e+09,-6e+08,2.004e+09,2.004e+09,-1.2e+07,1.992e+09,1.992e+09,1.478e+10,1.0256e+10,4.524e+09,7.745e+09,3.12e+09,1.454e+09,1.454e+09,2.7099e+10,1.6305e+10,3.0493e+10,1.3281e+10,1.4394e+10,1.975e+09,8.43e+08,4.6798e+10,7.3897e+10,1.4305e+10,1.4305e+10,6.284e+09,2.0589e+10,2.9322e+10,1.1268e+10,5.18e+09,6.088e+09,4.059e+10,6.1179e+10,4.025e+09,2.4e+07,4.001e+09,5.22e+10,-1.2829e+10,1.2602e+10,1.16e+08,1.2718e+10,7.3897e+10,2.004e+09,5.67e+08,2.77e+08,8.69e+08,3.717e+09,-6.35e+08,1.2e+07,-6.47e+08,-1.1e+07,-7.77e+08,-1.423e+09,-1.084e+09,7.1e+07,-6.28e+08,1.22e+08,-7.5e+08,-3.8e+07,-1.679e+09,6.15e+08,6.15e+08,-5e+06,6.1e+08,3.388e+09,3.5606e+10,4.222e+09,0.54552,0.17602,0.12429,0.15663,0.02696,2.11948,1.31619,4.81043,0.48183,1.38429,1.3719,11.1376,8.72898,2.93398,0.7533,8,0.05162,0.07085,0.54418,6.14699,7.38249
"28","2017_Q1",91.6153225806452,"Up",1.9515e+10,-8.957e+09,1.0558e+10,-8.158e+09,-8.207e+09,2.4e+09,-5.5e+08,-5.5e+08,1.85e+09,1.831e+09,-4.14e+08,1.417e+09,1.417e+09,-1.6e+07,1.401e+09,1.401e+09,1.6125e+10,9.158e+09,6.967e+09,6.694e+09,2.723e+09,9.08e+08,9.08e+08,2.645e+10,1.6591e+10,3.0449e+10,1.3433e+10,1.443e+10,1.95e+09,6.36e+08,4.704e+10,7.349e+10,1.4243e+10,1.4243e+10,6.892e+09,2.1135e+10,3.0053e+10,1.1103e+10,4.434e+09,6.669e+09,4.1156e+10,6.2291e+10,4.115e+09,2.4e+07,4.091e+09,5.2518e+10,-1.3919e+10,1.1095e+10,1.04e+08,1.1199e+10,7.349e+10,1.417e+09,7.57e+08,7.7e+07,1.588e+09,3.839e+09,-1.434e+09,4e+07,-1.474e+09,-1.87e+08,-2.498e+09,-4.119e+09,-1.083e+09,1.407e+09,-8.71e+08,5e+07,-9.21e+08,-4.9e+07,-5.96e+08,-8.76e+08,-8.76e+08,-2.34e+08,-1.11e+09,3.157e+09,3.6945e+10,3.725e+09,0.54102,0.12298,0.07179,0.1251,0.01906,2.65882,1.25148,5.56219,0.50272,0.98178,0.97292,13.67554,7.74632,2.61037,0.75893,6,0.04193,0.06287,0.77302,6.59487,8.675
"29","2017_Q2",98.6198412698413,"Up",1.2049e+10,-5.29e+09,6.759e+09,-4.896e+09,-4.896e+09,1.863e+09,-2.12e+08,-2.12e+08,1.651e+09,1.721e+09,-3.92e+08,1.329e+09,1.329e+09,-1.1e+07,1.318e+09,1.318e+09,1.5989e+10,9.528e+09,6.461e+09,6.848e+09,3.282e+09,1.031e+09,1.031e+09,2.715e+10,1.6649e+10,3.0823e+10,1.3597e+10,1.4584e+10,2.003e+09,6.39e+08,4.7472e+10,7.4622e+10,1.3067e+10,1.3067e+10,8.577e+09,2.1644e+10,3.0081e+10,1.1214e+10,4.521e+09,6.693e+09,4.1295e+10,6.2939e+10,3.881e+09,2.4e+07,3.857e+09,5.2756e+10,-1.3416e+10,1.1569e+10,1.14e+08,1.1683e+10,7.4622e+10,1.329e+09,4.77e+08,1.86e+08,-2.185e+09,-1.93e+08,-3.05e+08,1.2e+07,-3.17e+08,5e+06,5.69e+08,2.69e+08,-1.098e+09,1.672e+09,-1.99e+08,2.45e+08,-4.44e+08,-1.18e+08,2.57e+08,3.33e+08,3.33e+08,4.3e+07,3.76e+08,2.34e+09,3.8658e+10,2.42e+08,0.56096,0.15462,0.10939,0.11281,0.01766,0.18361,1.25439,5.38723,0.51805,0.92297,0.91528,8.43768,8.20868,0.16947,0.76891,4,0.03925,0.00393,0.83308,9.68761,12.16801
"30","2017_Q3",99.9842857142857,"Up",1.571e+10,-7.059e+09,8.651e+09,-5.732e+09,-5.732e+09,2.919e+09,-2.16e+08,-2.16e+08,2.703e+09,2.774e+09,-6.56e+08,2.118e+09,2.118e+09,-1.3e+07,2.105e+09,2.105e+09,1.716e+10,1.0282e+10,6.878e+09,7.543e+09,3.612e+09,9.33e+08,9.33e+08,2.9248e+10,1.6742e+10,3.0953e+10,1.3728e+10,1.4655e+10,1.962e+09,6.08e+08,4.7695e+10,7.6943e+10,1.3834e+10,1.3834e+10,8.279e+09,2.2113e+10,3.1205e+10,1.1095e+10,4.429e+09,6.666e+09,4.23e+10,6.4413e+10,3.937e+09,2.4e+07,3.913e+09,5.3706e+10,-1.3174e+10,1.2404e+10,1.26e+08,1.253e+10,7.6943e+10,2.118e+09,5.54e+08,84000000.0000001,-311999999.999999,2.444e+09,-5.43e+08,1.8e+07,-5.61e+08,9.8e+07,-3.95e+08,-839999999.999999,-1.077e+09,6.72e+08,-4.27e+08,7.1e+07,-4.98e+08,-7e+06,-8.39e+08,7.65e+08,7.65e+08,-7000000.00000006,7.58e+08,3.473e+09,3.9484e+10,3.274e+09,0.55067,0.18581,0.13399,0.168,0.02736,1.55534,1.32266,5.1407,0.51316,1.47409,1.45978,11.0014,8.65756,2.29272,0.7542,5,0.05042,0.05188,0.51164,6.42787,7.64782
"31","2017_Q4",99.5269841269841,"Down",1.624e+10,-7.368e+09,8.872e+09,-5.948e+09,-5.948e+09,2.924e+09,-2.17e+08,-2.17e+08,2.707e+09,2.776e+09,-6.2e+08,2.156e+09,2.156e+09,-1.2e+07,2.144e+09,2.144e+09,1.8278e+10,1.0243e+10,8.035e+09,7.923e+09,3.251e+09,7.45e+08,7.45e+08,3.0197e+10,1.696e+10,3.1306e+10,1.3835e+10,1.475e+10,1.95e+09,7.71e+08,4.8266e+10,7.8463e+10,1.4641e+10,1.4641e+10,7.717e+09,2.2358e+10,3.1452e+10,1.1242e+10,4.419e+09,6.823e+09,4.2694e+10,6.5052e+10,3.968e+09,2.4e+07,3.944e+09,5.4698e+10,-1.2875e+10,1.3295e+10,1.16e+08,1.3411e+10,7.8463e+10,2.156e+09,5.73e+08,1.78e+08,9.29e+08,3.836e+09,-5.44e+08,5.2e+07,-5.96e+08,-5e+06,-1.158e+09,-1.707e+09,-1.149e+09,-5.63e+08,-4.42e+08,8e+07,-5.22e+08,-3.9e+07,-2.193e+09,-6.4e+07,-6.4e+07,4e+07,-2.4e+07,3.497e+09,3.9169e+10,4.502e+09,0.54631,0.18005,0.13202,0.15987,0.02732,2.09981,1.35061,4.85064,0.4992,1.50456,1.49096,11.39649,9.30105,3.1593,0.80632,7,0.0516,0.07054,0.53591,5.97398,7.14466
"32","2018_Q1",99.8119672131148,"Up",1.9526e+10,-9.079e+09,1.0447e+10,-7.877e+09,-7.877e+09,2.57e+09,-2.62e+08,-2.62e+08,2.308e+09,2.331e+09,-3.026e+09,-6.95e+08,-6.95e+08,-1.5e+07,-7.1e+08,-7.1e+08,1.951e+10,1.061e+10,8.9e+09,7.024e+09,2.947e+09,1.546e+09,1.546e+09,3.1027e+10,1.724e+10,3.1537e+10,1.3838e+10,1.4744e+10,2.042e+09,9.13e+08,4.8777e+10,7.9804e+10,1.5017e+10,1.5017e+10,5.485e+09,2.0502e+10,3.3796e+10,1.4525e+10,3.242e+09,1.1283e+10,4.8321e+10,6.8823e+10,4.02e+09,2.4e+07,3.996e+09,5.2839e+10,-1.3057e+10,1.0889e+10,9.2e+07,1.0981e+10,7.9804e+10,-6.95e+08,7.65e+08,3.097e+09,7.76e+08,3.943e+09,-1.397e+09,9.8e+07,-1.495e+09,1.08e+08,-8.36e+08,-2.125e+09,-1.148e+09,2.69e+08,-4.7e+08,6.6e+07,-5.36e+08,-6.2e+07,-1.411e+09,4.07e+08,4.07e+08,-2.9e+07,3.78e+08,3.335e+09,3.9281e+10,5.74e+09,0.53503,0.13162,-0.03636,-0.06466,-0.0089,-8.08451,1.51336,6.26746,0.49222,-0.50035,-0.49581,13.76039,7.64482,4.0451,0.80902,4,0.00676,0.0886,-1.6169,5.92834,7.693
"33","2018_Q2",91.37609375,"Down",1.2562e+10,-5.655e+09,6.907e+09,-5.1e+09,-5.1e+09,1.807e+09,-2.25e+08,-2.25e+08,1.582e+09,1.657e+09,-3.04e+08,1.353e+09,1.353e+09,-1e+07,1.343e+09,1.343e+09,2.061e+10,1.3443e+10,7.167e+09,7.171e+09,3.335e+09,1.931e+09,1.931e+09,3.3047e+10,1.7141e+10,3.1699e+10,1.3843e+10,1.4795e+10,2.115e+09,9.46e+08,4.884e+10,8.1887e+10,1.4285e+10,1.4285e+10,1.16e+10,2.5885e+10,3.1931e+10,1.3086e+10,3.231e+09,9.855e+09,4.5017e+10,7.0902e+10,3.89e+09,2.4e+07,3.866e+09,5.2726e+10,-1.2717e+10,1.0883e+10,1.02e+08,1.0985e+10,8.1887e+10,1.353e+09,4.96e+08,-1.372e+09,-1.786e+09,-1.309e+09,-3.43e+08,9e+06,-3.52e+08,6e+06,1.733e+09,1.396e+09,-1.16e+09,4.29e+09,-3.68e+08,1.25e+08,-4.93e+08,-8e+07,2.682e+09,2.769e+09,2.769e+09,4.9e+07,2.818e+09,2.303e+09,4.3531e+10,4.78e+08,0.54983,0.14385,0.10691,0.12226,0.0164,0.35592,1.27669,6.45444,0.5316,0.94577,0.93916,8.84648,7.66408,0.33662,0.8169,4,0.03703,0.00707,0.86374,9.95267,12.68456
"34","2018_Q3",101.023333333333,"Up",1.609e+10,-7.263e+09,8.827e+09,-5.799e+09,-5.799e+09,3.028e+09,-2.1e+08,-2.1e+08,2.818e+09,2.9e+09,-1.07e+09,1.83e+09,1.83e+09,-1e+07,1.82e+09,1.82e+09,1.8129e+10,1.3858e+10,4.271e+09,7.841e+09,3.491e+09,9.09e+08,9.09e+08,3.037e+10,1.6762e+10,3.1599e+10,1.3681e+10,1.454e+10,2.401e+09,9.77e+08,4.8361e+10,7.8731e+10,1.4603e+10,1.4603e+10,9.955e+09,2.4558e+10,3.0638e+10,1.3314e+10,3.346e+09,9.968e+09,4.3952e+10,6.851e+10,3.939e+09,2.4e+07,3.915e+09,5.3223e+10,-1.358e+10,1.0111e+10,1.1e+08,1.0221e+10,7.8731e+10,1.83e+09,5.74e+08,-2.11e+08,2.03e+08,2.396e+09,-5.59e+08,3.4e+07,-5.93e+08,8.6e+07,2.904e+09,2.431e+09,-1.145e+09,-2.718e+09,-4.71e+08,2e+07,-4.91e+08,-6000000.00000003,-4.34e+09,4.87e+08,4.87e+08,-6.8e+07,4.19e+08,3.602e+09,4.0593e+10,4.316e+09,0.5486,0.18819,0.11311,0.17806,0.02312,2.37143,1.23666,6.70287,0.51559,1.28531,1.2763,11.36299,7.14054,3.04802,0.80862,5,0.04624,0.0673,0.62912,6.23654,7.41876
"35","2018_Q4",101.406349206349,"Up",1.6485e+10,-7.527e+09,8.958e+09,-6.114e+09,-6.114e+09,2.844e+09,-2.21e+08,-2.21e+08,2.623e+09,2.697e+09,-1.88e+08,2.509e+09,2.509e+09,-1.1e+07,2.498e+09,2.498e+09,1.3898e+10,1.1991e+10,1.907e+09,7.975e+09,3.142e+09,8.27e+08,8.27e+08,2.5842e+10,1.6541e+10,3.1249e+10,1.3466e+10,1.4332e+10,2.394e+09,1.057e+09,4.779e+10,7.3632e+10,1.523e+10,1.523e+10,4.474e+09,1.9704e+10,3.0643e+10,1.2896e+10,3.358e+09,9.538e+09,4.3539e+10,6.3243e+10,3.963e+09,2.4e+07,3.939e+09,5.4404e+10,-1.4253e+10,1.0286e+10,1.03e+08,1.0389e+10,7.3632e+10,2.509e+09,5.66e+08,-4.4e+08,1.01e+09,3.645e+09,-5.57e+08,7.6e+07,-6.33e+08,-5.1e+07,2.379e+09,1.771e+09,-1.316e+09,-5.477e+09,-3.88e+08,7e+07,-4.58e+08,-3.2e+07,-7.213e+09,-1.797e+09,-1.797e+09,-5.4e+07,-1.851e+09,3.41e+09,3.5117e+10,4.051e+09,0.5434,0.17252,0.15153,0.24045,0.03393,1.6217,1.31151,6.0875,0.47693,1.76537,1.75298,11.65018,7.26926,2.8629,0.93004,6,0.06531,0.06936,0.52682,6.22258,7.46097
"36","2019_Q1",103.386721311475,"Up",1.9524e+10,-8.936e+09,1.0588e+10,-8.157e+09,-8.157e+09,2.431e+09,-5.63e+08,-5.63e+08,1.868e+09,1.935e+09,4.932e+09,6.867e+09,6.867e+09,-1.3e+07,6.854e+09,6.854e+09,8.993e+09,8.721e+09,2.72e+08,7.142e+09,3.128e+09,2.63e+09,6.33e+08,2.1893e+10,1.7589e+10,3.8166e+10,1.5825e+10,1.4808e+10,2.409e+09,7.6e+08,5.5755e+10,7.7648e+10,1.8112e+10,1.8112e+10,4.026e+09,2.2138e+10,2.8295e+10,1.2613e+10,3.499e+09,9.114e+09,4.0908e+10,6.3046e+10,3.976e+09,2.3e+07,3.953e+09,5.9947e+10,-1.5119e+10,1.4518e+10,8.4e+07,1.4602e+10,7.7648e+10,6.867e+09,7.63e+08,-4.031e+09,1.084e+09,4.683e+09,-1.689e+09,1.5e+07,-1.704e+09,-1.032e+09,-1.2635e+10,-1.034e+09,-1.309e+09,-1.16e+08,-4.92e+08,6.6e+07,-5.58e+08,-2.981e+09,-4.898e+09,-1.249e+09,-1.249e+09,-2.5e+07,-1.274e+09,3.194e+09,3.2321e+10,-2.343e+09,0.54231,0.12451,0.35106,0.46939,0.08827,-0.34184,0.98893,4.31763,0.41625,4.86444,4.83016,13.85664,10.30376,-1.66288,0.92903,6,0.13711,-0.03935,0.19098,7.30369,9.59605
