"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2020_Q2",53.4926984126984,"Down",62000,-75324000,-23936000,-51388000,-75262000,2455000,2455000,-72807000,-72807000,-72807000,-72807000,-72807000,-72807000,691500000,229652000,11979000,11979000,703479000,6693000,29448000,732927000,43571000,11337000,32234000,45072000,15595000,15595000,15595000,60667000,1232283000,-560786000,672260000,672260000,732927000,-72807000,460000,5990000,-14013000,-80370000,-669000,-1690000,191744000,191744000,191392000,109332000,109332000,109332000,-74802000,0,-0.1083,-0.09934,15.60789,0.09024,0,-1.35917,-1.35917,0.00116,12.54979,-0.10585,9.24441,9.1879
"12","2020_Q3",48.9878125,"Down",7090000,-76014000,-29933000,-46081000,-68932000,1691000,1691000,-67241000,-67241000,-67241000,-67241000,-67241000,-67241000,610336000,155446000,13977000,13977000,633086000,9567000,53219000,686305000,49915000,12582000,37333000,51339000,15282000,15282000,15282000,66621000,1247719000,-628027000,619684000,619684000,686305000,-67241000,484000,10665000,-4752000,-60844000,-2984000,-17751000,4689000,4689000,4389000,-74206000,-74206000,-74206000,-68448000,0,-0.10851,-0.09798,12.33148,0.10751,0,-1.20245,-1.20245,0.12679,11.08159,-0.1059,8.91678,8.85418
"13","2020_Q4",59.274375,"Up",15449000,-79356000,-30143000,-49213000,-63997000,296000,296000,-63701000,-63701000,-63701000,-63701000,-63701000,-63701000,545325000,111154000,9723000,9723000,571458000,9925000,88210000,659668000,59178000,10237000,48941000,61188000,29394000,29394000,29394000,90582000,1260775000,-691728000,569086000,569086000,659668000,-63701000,666000,10867000,2827000,-49341000,-1226000,1821000,3228000,3228000,3228000,-44292000,-44292000,-44292000,-63331000,0,-0.11194,-0.09657,9.33938,0.15917,0,-1.12939,-1.12939,0.2739,10.08968,-0.10644,8.61071,8.5211
"14","2021_Q1",46.5590163934426,"Down",19486000,-82358000,-30070000,-52288000,-62999000,259000,259000,-62740000,-62740000,-62740000,-62740000,-62740000,-62740000,551930000,135897000,12489000,12489000,584031000,9583000,58401000,642432000,67535000,12308000,55227000,69992000,28764000,28764000,28764000,98756000,1298133000,-754468000,543676000,543676000,642432000,-62740000,695000,10838000,2086000,-49121000,-437000,46072000,27955000,27955000,27792000,24743000,24743000,24743000,-62304000,0,-0.1154,-0.09766,8.34425,0.18164,0,-1.09621,-1.09621,0.34046,9.49924,-0.1096,8.85866,8.76093
"15","2021_Q2",38.7179365079365,"Down",25156000,-86428000,-30747000,-55681000,-61494000,196000,196000,-61298000,-61298000,-61298000,-61298000,-61298000,-61298000,502175000,201648000,15546000,15546000,546632000,9633000,48614000,595246000,61249000,11905000,49344000,63789000,28444000,28444000,28444000,92233000,1318736000,-815766000,503013000,503013000,595246000,-61298000,732000,12317000,-19433000,-67682000,-637000,123908000,9524000,9524000,9524000,65750000,65750000,65751000,-60762000,0,-0.12186,-0.10298,8.56938,0.18336,0,-1.06149,-1.06149,0.43562,8.71061,-0.11534,8.26462,8.16624
"16","2021_Q3",31.91484375,"Down",23573000,-92812000,-32828000,-59984000,-70514000,81000,81000,-70433000,-70433000,-70433000,-70433000,-70433000,-70433000,395352000,90947000,14977000,14977000,437143000,9588000,103423000,540566000,63450000,14022000,49428000,66054000,27856000,27856000,27856000,93910000,1332829000,-886199000,446656000,446656000,540566000,-70433000,743000,13695000,4028000,-51967000,-432000,-60453000,1722000,1722000,1682000,-110738000,-110738000,-110701000,-69771000,0,-0.15769,-0.13029,6.61796,0.21025,0,-1.21968,-1.21968,0.40821,7.73468,-0.14843,5.66642,5.60672
"17","2021_Q4",18.805625,"Down",23220000,-101971000,-35527000,-66444000,-79668000,-170000,-170000,-79838000,-79838000,-79838000,-79838000,-79838000,-79838000,342270000,53189000,17722000,17722000,385294000,10820000,98124000,483418000,73127000,13502000,59625000,75789000,27172000,27172000,27172000,102961000,1346329000,-966037000,380457000,380457000,483418000,-79838000,759000,17191000,7889000,-53999000,-2010000,14441000,1706000,1706000,1706000,-37852000,-37852000,-37890000,-78909000,0,-0.20985,-0.16515,5.08377,0.27062,0,-1.37397,-1.37397,0.3996,6.54746,-0.19586,4.33753,4.2962
"18","2022_Q1",8.505,"Down",24199000,-112082000,-37151000,-74931000,-88401000,5999.99999999994,5999.99999999994,-88395000,-88395000,-88395000,-88395000,-88395000,-88395000,285634000,87063000,18660000,18660000,339014000,8610000,90470000,429484000,93903000,13130000,80773000,96773000,27991000,27991000,27991000,124764000,1359101000,-1054432000,304720000,304720000,429484000,-88395000,780000,12103000,8336000,-67176000,1109000,98952000,1978000,1978000,1978000,33754000,33754000,33754000,-87621000,0,-0.29009,-0.20582,3.50319,0.40944,0,-1.52123,-1.52123,0.41645,5.24406,-0.26568,3.25988,3.23112
"19","2022_Q2",11.0372580645161,"Up",29223000,-75733000,-28321000,-47412000,-46892000,398618.057037941,398618.618082791,-46892000,-46892000,-46892000,-46892000,-46892000,-46892000,256553000,95332000,20504000,20504000,319835000,7821000,65629000,385464000,83739000,17801000,65938000,86670000,27229000,27229000,27229000,113899000,1373452000,-1101324000,271565000,271565000,385464000,-46892000,783000,15477000,-20720000,-51352000,3744501.85961173,59652000,83000,83000,83000,8383000,8383000,8269000,-46109000,0,-0.17267,-0.12165,3.69026,0.41942,0,-0.80699,-0.80699,0.50291,4.67348,-0.15694,5.56405,5.47115
"20","2022_Q3",15.6934375,"Up",32494000,-74483000,-29625000,-44858000,-43788000,727000,727000,-43061000,-43061000,-43061000,-43061000,-43061000,-43061000,383847000,109698000,17944000,17944000,448531000,7353000,58506000,507037000,71443000,16229000,55214000,74545000,27481000,27481000,27481000,102026000,1550664000,-1144385000,405011000,405011000,507037000,-43061000,820000,13955000,-17238000,-45524000,-287000,-104194000,164646000,164646000,164224000,14506000,14506000,14366000,-42968000,0,-0.10632,-0.08493,6.01692,0.25191,0,-0.59696,-0.59696,0.45047,5.61475,-0.09956,8.93332,8.76603
