"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","derivative_hedging_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital"
"11","2016_Q3",26.63421875,"Down",-249198000,-402628000,-186079000,-1109000,-197362000,-18078000,-869929000,-62111000,-62595000,-932040000,-19944000,-951984000,376494000,-575490000,-575490000,-596244000,-596244000,71606000,71606000,569927000,429920000,140007000,669784000,11097870000,13075660000,-1977790000,1791126000,1673907000,117219000,12888996000,13558780000,412426000,211106000,201320000,157006000,154280000,569432000,4244014000,1144435000,1063331000,75925000,5388449000,5957881000,5025890000,1207512000,6233402000,7600899000,13558780000,-575490000,197982000,646264000,-30218000,238538000,-755000,-473265000,-519064000,-4.6e+08,-23692000,268907000,-11619000,-11619000,-11619000,-671947000,4244014000,-1079414000,3.49091,2.39265,-0.07844,-0.04397,1.81036,1.17623,0.78384,0.31301,-2.11595,-2.11595,-0.88435,22.12105,-3.83062,-0.0459
"12","2016_Q4",25.6666666666667,"Down",1116503000,-388649000,-172188000,-1166000,-199113000,-16182000,479085000,-58212000,-59755000,420873000,-11753000,409120000,-140924000,268196000,268196000,238255000,238255000,59462000,59462000,617497000,417605000,199892000,695471000,11837216000,14014009000,-2176793000,2096566000,2015090000,81476000,13933782000,14629253000,417467000,172293000,245174000,194437000,191327000,611904000,4759904000,1277163000,1215240000,61883000,6037067000,6648971000,5134981000,1445767000,6580748000,7980282000,14629253000,268196000,199741000,-158273000,17327000,326991000,-450999.99999997,-935857000,-936308000,5.25e+08,-10237000,599578000,-9739000,-9739000,-9739000,678826000,4759904000,836626000,0.42909,0.21339,0.02986,0.01629,3.51147000000001,1.13657,0.83317,0.32537,0.77611,0.77611,3.637,21.43671,2.7253,0.017
"13","2017_Q1",24.4829032258065,"Down",58581000,-474105000,-186180000,-3573000,-221816000,-62536000,-611459000,-69460000,-67918000,-680919000,-37506000,-718425000,265621000,-452804000,-452804000,-485772000,-485772000,29682000,29682000,341295000,73022000,268273000,402587000,12026747000,14390525000,-2363778000,1757917000,1731063000,26854000,13852963000,14255550000,432430000,38627000,393803000,384958000,181323000,817388000,4703973000,1005611000,950217000,55160000,5709584000,6526972000,5302630000,959995000,6262625000,7728578000,14255550000,-452804000,222443000,634779000,-68859000,335559000,-977735000,512220000,-420471000,-5e+07,-27007000,98010000,13098000,13098000,13098000,-389016000,4703973000,-1701231000,-10.43784,-8.29231,-0.06285,-0.03408,3.50212,0.49253,0.84452,0.32997,-1.54725,-1.54725,0.18659,19.94727,-5.41864,-0.03615
"14","2017_Q2",21.4569841269841,"Down",1195579000,-384957000,-154691000,-2107000,-202729000,-25430000,528242000,-64439000,-66670000,463803000,-26899000,436904000,-131346000,305558000,305558000,268396000,268396000,36874000,36874000,466824000,237086000,229738000,503698000,12305299000,14871658000,-2566359000,1849239000,1811435000,37804000,14384956000,14888654000,454294000,37706000,416588000,269142000,214865000,723436000,4775302000,1135964000,1081563000,54299000,5911266000,6634702000,6410308000,1228391000,7638699000,8253952000,14888654000,305558000,203366000,-212322000,97337000,393939000,-590000,-527994000,-688473000,69999999.9999999,192924000,262924000,-31610000,-31610000,-31610000,731608000,4775302000,959701000,0.441830000000001,0.224490000000001,0.03252,0.01803,3.57569,0.69626,0.80382,0.32073,0.85218,0.84998,3.79604,24.25338,3.04711,0.01895
"15","2017_Q3",20.1444444444444,"Down",790389000,-367708000,-141520000,-1804000,-201182000,-23202000,138942000,-64959000,-68582000,73983000,-15199000,58784000,-18819000,39965000,39965000,-5132000,-5132000,16494000,16494000,679199000,452005000,227194000,735883000,12809845000,15577203000,-2767358000,1636796000,1600165000,36631000,14706338000,15442221000,469919000,51567000,418352000,223141000,219862000,693060000,5291973000,1154326000,1100382000,53772000,6446299000,7139359000,6438201000,1223259000,7661460000,8302862000,15442221000,39965000,201831000,8998000,2853000,253647000,-3818000,-673776000,-709069000,5.15e+08,-19388000,495612000,40190000,40190000,40190000,340773000,5291973000,358627000,0.17579,-0.00649,-0.00062,-0.00033,-69.88055,1.06179,0.85987,0.3427,-0.01627,-0.01624,2.50596,24.29094,1.13704,-0.00035
"16","2017_Q4",19.1773015873016,"Down",647880000,-373307000,-141087000,-1599000,-206968000,-23653000,-31052000,-63026000,-70059000,-94077999.9999999,-4.1e+07,-135078000,45078000,-90000000.0000001,-90000000.0000001,-135063000,-135063000,43854000,43854000,543405000,299796000,243609000,610953000,13035198000,16008742000,-2973544000,915221000,876293000,38928000,14238261000,14849214000,477153000,47457000,429696000,240523000,236238000,717676000,4510521000,1233755000,1180564000,52764000,5744276000,6461952000,6567475000,1088196000,7655671000,8387262000,14849214000,-9e+07,207626000,897697000,29899000,1045222000,-4853000.00000006,-520500000,-550765000,-7.83e+08,272047000,-510953000,-16496000,-16496000,-16496000,176574000,4510521000,156542000,-0.0479300000000001,-0.20847,-0.0161,-0.0091,-1.15903,0.85129,0.77045,0.30375,-0.42814,-0.42665,2.05372,24.26774,0.49622,-0.00956
"17","2018_Q1",19.3804918032787,"Up",1021726000,-419174000,-180179000,-3028000,-213731000,-22236000,289600000,-56083000,-63390000,233517000,-104041000,129476000,400138000,529614000,529614000,486869000,486869000,34896000,34896000,769750000,460685000,309065000,833087000,13235553000,16417724000,-3182171000,1192850000,841257000,48291000,14428403000,15261490000,715824000,62982000,652842000,46272000,17796000,762096000,4800090000,823168000,779645000,43316000,5623258000,6385354000,6574116000,1575065000,8149181000,8876136000,15261490000,529614000,214397000,-376474000,-54054000,313483000,-728849000,-1250000,-513323000,2.88e+08,-83413000,204587000,4747000,4747000,4747000,503997000,4800090000,-679044000,0.28344,0.47652,0.05485,0.0319,-1.39472,1.09315,0.71938,0.31452,1.54131,1.53726,3.23455,25.79843,-2.1497,0.03358
"18","2018_Q2",19.6234375,"Up",1028101000,-830381000,-255769000,-1885000,-228244000,-344483000,197720000,-56564000,-64426000,141156000,-51226000,89930000,-9120000,80809999.9999999,80810000.0000001,14832999.9999999,14832999.9999999,26692000,26692000,750189000,459892000,290297000,800034000,13493748000,16903846000,-3410098000,807599000,760562000,47037000,14622815000,15422849000,495838000,73221000,422617000,294015000,252108000,789853000,4876706000,835192000,788765000,46427000,5711898000,6501751000,6591247000,1589898000,8181145000,8921098000,15422849000,80810000,228934000,175716000,56089000,541549000,-145810000,-400370000,-563569000,7.5e+07,-58268000,16732000,-5288000,-5288000,-5288000,426654000,4876706000,346053000,0.19232,0.0144299999999999,0.00165999999999999,0.000959999999999999,23.32994,1.01289,0.72881,0.3162,0.04687,0.0468,3.24864,25.85117,1.09347,0.00101
"19","2018_Q3",19.3649206349206,"Down",989454000,-878469000,-275107000,-1471000,-238050000,-363841000,110985000,-60085000,-69349000,50900000,-143748000,-92848000,25573000,-67275000,-67275000,-136385000,-136385000,35676000,35676000,748646000,420842000,327804000,834930000,13681151000,17329061000,-3647910000,815696000,763592000,52104000,14855677000,15690607000,535306000,96477000,438829000,253427000,222766000,788733000,5288344000,810619000,763192000,47427000,6098963000,6887696000,6600708000,1453513000,8054221000,8802911000,15690607000,-67275000,238750000,163719000,-37803000,297391000,-152306000,-417564000,-608778000,4.1e+08,-71158000,338842000,27455000,27455000,27455000,349735000,5288344000,134053000,0.11217,-0.13784,-0.01549,-0.00869,-0.9829,1.05857,0.78243,0.33704,-0.43024,-0.43084,3.12136,25.40804,0.42289,-0.00915
"20","2018_Q4",14.7838095238095,"Down",1076574000,-848767000,-211624000,-666000,-243186000,-393291000,227807000,-63823000,-74528000,163984000,-223003000,-59019000,-18953000,-77972000,-77972000,-154419000,-154419000,46604000,46604000,860028000,493354000,366674000,906632000,13784419000,17675253000,-3890834000,718591000,672768000,45823000,14895903000,15802535000,549156000,91940000,457216000,264715000,254259000,813871000,5487004000,830508000,782145000,48363000,6317512000,7131383000,6614519000,1299094000,7913613000,8671152000,15802535000,-77972000,243897000,257586000,-2053000,421458000,-175084000,-479205000,-597992000,1.97e+08,-71074000,125926000,-50608000,-50608000,-50608000,471704000,5487004000,313520000,0.2116,-0.14344,-0.01781,-0.00977,-2.03032,1.11398,0.82243,0.34722,-0.487,-0.487,3.39523,24.95747,0.98876,-0.0103
"21","2019_Q1",9.44704918032787,"Down",951416000,-948190000,-183899000,-936000,-262985000,-500370000,3226000,-65991000,-78440000,-62765000,-49856000,-112621000,131357000,18736000,18736000,-121546000,-121546000,51073000,51073000,755540000,245263000,510277000,806613000,12856097000,17009822000,-4153725000,1856754000,362169000,1060943000,14712851000,15519464000,842186000,66289000,775897000,11354000,10822000,853540000,5461688000,716759000,650788000,65971000,6178447000,7031987000,6488260000,1177548000,7665808000,8487477000,15519464000,18736000,263703000,580806000,-41656000,821589000,-151114000,-292796000,-580385000,-21621000,-90499000,-241204000,0,0,0,266929000,5461688000,-57198000,0.00339,-0.12775,-0.01432,-0.00783,0.47059,0.94502,0.82851,0.35193,-0.38759,-0.38759,3.03391,24.44501,-0.1824,-0.00829
"22","2019_Q2",7.2115873015873,"Down",1037407000,-973552000,-231286000,-126000.000000007,-240201000,-501939000,63855000,-57869000,-71950000,5986000.00000003,1308480000,1314466000,-288710000,1025756000,1025756000,978763000,978763000,48979000,48979000,495917000,122425000,373492000,544896000,10971350000,14844236000,-3872886000,3782872000,313909000,3468963000,16743834000,17288730000,543783000,48096000,495687000,722998000,719104000,1266781000,3475950000,4253201000,1171866000,3081335000,7729151000,8995932000,6136487000,2156311000,8292798000,8292798000,17288730000,1025756000,241177000,-836994000,109065000,539004000,-78830000,-397578000,-204817000,3.8e+08,-94655000,285345000,619532000,0,0,305032000,3475950000,623977000,0.06155,0.94347,0.11803,0.05661,0.637519999999999,0.43014,1.08479,0.20105,3.17066,3.16969,3.36063,26.86414,2.02134,0.06109
"23","2019_Q3",4.0746875,"Down",1299664000,-453505000,-179921000,-314000,-242302000,-30968000,238468000,-40579000,-54164000,197889000,-138472000,59417000,-17249000,42168000,42168000,42168000,42168000,49994000,49994000,663055000,346894000,316161000,713049000,10915402000,15030589000,-4115187000,3735226000,369548000,3365678000,16617831000,17330880000,502008000,44758000,457250000,719099000,718825000,1221107000,3602379000,4167694000,1188975000,2978719000,7770073000,8991180000,6141221000,2198479000,8339700000,8339700000,17330880000,42168000,243220000,-99194000,31910000,218104000,-28869000,-311900000,-340769000,1.25e+08,-2335000,122665000,0,0,0,481688000,3602379000,501978000,0.18348,0.03245,0.00506,0.00243,11.90424,0.58394,1.07812,0.20786,0.13644,0.1363,4.20516,26.98373,1.62419,0.00262
"24","2019_Q4",2.5525,"Down",1118881000,-1054501000,-144139000,-604068000,-241503000,-64791000,64380000,-165613000,-47754000,-101233000,-1050258000,-1151491000,272627000,-878864000,-878864000,-878864000,-878864000,29207000,29207000,700293000,411774000,288519000,729500000,9914749000,13051516000,-3136767000,3656716000,405180000,3251536000,15390788000,16120288000,525659000,32496000,493163000,645509000,645509000,1171168000,3703828000,3798594000,916031000,2882563000,7502422000,8673590000,6127083000,1319615000,7446698000,7446698000,16120288000,-878864000,242430000,848497000,-13653000,198410000,-8855000,-270886000,-279741000,1e+08,-744999.999999985,81331000,0,-3.72529029846191e-09,-3.72529029846191e-09,306810000,3703828000,11675000,0.05754,-0.78548,-0.11802,-0.05452,-0.01328,0.62288,1.16476,0.22976,-2.8556,-2.85555,3.63546,24.19574,0.03793,-0.05879
"25","2020_Q1",1.67161290322581,"Down",952738000,712155000,-173164000,603624000,-190861000,472556000,-19783000,-107266000,-54243000,-127049000,-462589000,-589638000,107442000,-482196000,-482196000,-482196000,-482196000,171419000,171419000,751466000,422849000,328617000,922885000,9978739000,13306368000,-3327629000,4295945000,333174000,2907594000,14274684000,15197569000,513231000,14498000,498733000,526908000,520187000,1040139000,3758868000,3427819000,781987000,2642313000,7186687000,8226826000,6133324000,837419000,6970743000,6970743000,15197569000,-482196000,191802000,505094000,-91780000,122920000,-25084000,-291079000,-291143000,85908000,3163000,68223000,-1e+08,-1e+08,-1e+08,172019000,3758868000,-52287000,-0.02076,-0.50612,-0.06917,-0.03173,0.10844,0.88727,1.18019,0.24733,-1.60693,-1.60913,3.17502,23.23016,-0.17425,-0.03406
"26","2020_Q2",2.62015873015873,"Up",1317105000,-350080000,-124494000,-210000.000000238,-199677000,-25699000,352757000,-181157000,-53102000,171600000,-620395000,-448795000,109985000,-338810000,-338810000,-338810000,-338810000,91944000,91944000,1028077000,816444000,211633000,1120021000,9994740000,13522046000,-3527306000,3119039000,284461000,2834578000,13405768000,14525789000,494247000,37909000,456338000,477627000,477627000,971874000,3707787000,3253588000,672002000,2581371000,6961375000,7933249000,6093931000,498609000,6592540000,6592540000,14525789000,-338810000,200781000,330979000,7727000.00000001,200677000,-11128000,-175553000,-186681000,29165000,-470999.999999985,-13996000,0,1.49011611938477e-08,1.49011611938477e-08,553538000,3707787000,440152000,0.26783,-0.25724,-0.05139,-0.02332,-1.29911,1.15243,1.20337,0.25526,-1.19204,-1.19204,4.63399,23.19463,1.54859,-0.025
"27","2020_Q3",3.168125,"Up",484911000,-410456000,-151456000,-231000,-214035000,-44734000,-557390000,-31583000,-51811000,-588973000,-16499000,-605472000,142404000,-463068000,-463068000,-463304000,-463304000,57013000,57013000,785264000,521459000,263805000,842277000,9937130000,13345229000,-3408099000,2684778000,103514000,2581264000,12901713000,13743990000,449499000,36736000,412763000,414741000,411089000,864240000,3518076000,2928695000,529598000,2396539000,6446771000,7311011000,6100851000,35305000,6136156000,6432979000,13743990000,-463068000,215146000,370195000,-6310000,115963000,-11778000,-251149000,-262927000,-151706000,299423000,146964000,0,0,0,-342244000,3518076000,-502736000,-1.14947,-0.95544,-0.07202,-0.03371,1.08511,0.97459,1.13649,0.25597,-1.72627,-1.72627,1.80677,22.86326,-1.87319,-0.03597
"28","2020_Q4",4.1025,"Up",380591000,-446332000,-160220000,-454000.00000003,-238418000,-47240000,-722356000,-23624000,-48043000,-745980000,23356000.0000001,-722624000,168778000,-553846000,-553846000,-535613000,-535613000,88062000,88062000,433720000,83057000,350663000,521782000,9834558000,13493934000,-3659376000,2993399000,44070000,2676403000,12827957000,13349739000,481298000,55173000,426125000,721543000,402952000,1202841000,3158225000,3004792000,381233000,2474337000,6163017000,7365858000,6168435000,-500308000,5668127000,5983881000,13349739000,-553846000,239533000,570491000,-80308000,175870000,206257000,-140712000,65545000,-214930000,-26485000,-241415000,-3.72529029846191e-09,0,0,-482823000,3158225000,-525652000,-1.89798,-1.40732,-0.08951,-0.04012,0.9814,0.43379,1.23095,0.23658,-1.99517,-1.99517,1.41771,21.11388,-1.95806,-0.04409
"29","2021_Q1",8.47229508196721,"Up",4475712000,-776183000,-478288000,-188000,-209740000,-87967000,3056912000,373576000,352828000,3430488000,813623000,4244111000,-818649000,3425462000,3425462000,3399979000,3399979000,28457000,28457000,545682000,105130000,440552000,574139000,9646938000,13516054000,-3869116000,2929768000,47293000,2627393000,12576706000,13150845000,638229000,26728000,611501000,344825000,268326000,983054000,3001593000,3075927000,412252000,2408479000,6077520000,7060574000,6198183000,-430478000,5767705000,6090271000,13150845000,95313000,209831000,-31858000,-30156000,243130000,-14953000,-131045000,-145998000,-129048000,31916000,-97132000,0,0,0,-38774148.0015727,3001593000,14350303.1611588,-0.635983108794487,-0.514077006050079,-0.0282225477709856,-0.0119017782557024,-10.7552153825641,0.58404,1.15932,0.22824,-0.655953836845149,-0.656337962722989,3.47435364790177,21.46802,-0.0491669495515488,-0.0127545043624465
"30","2021_Q2",11.7385714285714,"Up",1204198000,-445093000,-206151000,-218999.999999998,-194026000,-44697000,129481000,-24048999.9999999,-42743000,105432000,-119482000,-14050000.0000019,2945999.99999988,-11104000,-11104000,-15499000.000001,-15499000.000001,86657000,86657000,499650000,41356000,458294000,586307000,9567977000,13558437000,-3990460000,2846098000,43240000,2561700000,12414075000,13000382000,478599000,41990000,436609000,889424000,552652000,1368023000,2568686000,2835724000,395244000,2341536000,5404410000,6772433000,6320664000,-445977000,5874687000,6227949000,13000382000,-11104000,194814000,319534000,60487000,563731000,-18027000,-104948000,-122975000,-394777000,-45979000,-440756000,3.72529029846191e-09,-1.86264514923096e-09,-1.86264514923096e-09,324295000,2568686000,363809000,0.10752,-0.0128700000000002,-0.00249000000000001,-0.00118999999999998,-23.47306,0.42858,1.08743,0.19759,-0.05223,-0.0522299999999996,4.05801,19.79702,1.22599,-0.00133
